Gene	WIPF1 correlation p value Aronow data	WIPF1 correlation p value Ayers data	WIPF1 correlation p value Staub data	Cox regression Wald test p value Wang data	Cox regression Wald test p value Phillips data
C1QB	4.44E-16	6.73E-07	0.000996188	0.017639339	0.015604317
C4orf19	9.37E-10	9.63E-09	0.146425568	0.000221886	0.003624161
CASP10	3.58E-09	4.03E-08	0.221953367	0.683615439	5.03E-07
CCL16	8.44E-15	9.04E-10	0.000302133	0.004162984	0.000964867
CCRK	2.40E-07	7.16E-09	0.180313869	0.000827575	0.015627951
CDC14A	4.13E-08	1.38E-07	0.848887114	0.000149534	0.003279285
CHRDL1	1.22E-09	1.17E-07	0.002095603	0.00134223	0.005831059
CHRNA4	5.29E-08	9.09E-07	0.026625433	0.000190585	0.034687437
CLDN16	8.26E-07	1.91E-07	0.894766912	0.98760428	0.14721719
CNIH4	2.22E-16	2.94E-10	0.448405791	0.332275243	4.99E-05
CNKSR1	5.91E-14	5.62E-14	0.795790927	0.054188336	0.000874055
COMP	4.01E-12	1.52E-08	0.014715794	3.95E-05	0.001120984
CORO2B	1.55E-09	7.33E-08	0.213961977	0.018173182	0.187440283
COX7C	1.55E-09	7.01E-10	0.066138427	0.023480653	0.002813276
CPNE1	5.76E-08	3.29E-10	0.048318008	0.005598123	0.000748995
CRISPLD2	2.67E-10	1.47E-06	0.86754642	0.017703962	0.009631465
CTSL	5.69E-11	1.15E-07	0.082854542	9.05E-05	0.019171158
CYLC1	9.27E-12	1.91E-06	0.000533205	0.00115868	0.238329633
CYP2E1	4.10E-09	5.48E-07	0.01320082	0.052350117	0.0058278
DAAM2	1.86E-09	4.20E-08	0.137673968	3.01E-06	0.075480074
DDN	1.64E-14	3.38E-07	0.098265768	0.390123514	8.30E-05
DDX50	3.69E-07	3.60E-09	1.35E-08	0.000563326	0.007084704
DDX6	8.40E-08	5.71E-07	0.010288129	8.03E-05	0.002767918
DECR2	4.89E-12	4.55E-07	8.30E-07	0.000896733	0.000146183
DEDD	7.73E-12	4.91E-08	6.10E-11	0.001480268	0.027441597
DGCR9	1.05E-09	4.00E-09	0.050585878	0.027020863	0.057270239
DIP2A	2.32E-11	2.75E-08	0.052592367	0.00074538	0.014906139
DLK1	9.26E-12	1.97E-06	0.179633965	0.001273573	0.217128659
DTX4	4.00E-09	3.28E-07	0.000726497	0.772744418	5.25E-05
EEF1G	1.84E-11	5.31E-08	0.013054713	0.524048324	0.008721933
EFHD2	3.97E-08	2.55E-06	0.003424672	0.204588128	0.024178646
FGL1	5.62E-07	3.01E-06	0.409957775	0.470282444	0.501636396
GPR75	1.07E-09	3.15E-07	0.186706545	0.008261454	0.001623289
GTPBP2	4.64E-12	3.01E-10	1.26E-05	1.55E-05	0.016262564
HOXC4	2.09E-08	1.08E-09	0.120510365	0.112498527	7.63E-05
HSPA14	1.18E-12	2.92E-06	0.00184416	0.608644721	0.006074555
IPW	9.49E-10	2.44E-07	1.64E-05	0.002379532	0.036934685
IVL	9.56E-08	2.01E-06	0.824615571	0.151371704	0.279415024
KCNQ4	1.94E-07	1.86E-06	0.470377626	0.035899386	0.00045577
KIAA0913	4.44E-16	1.09E-08	0.105772007	0.079289205	0.29941774
KLF2	6.38E-12	8.36E-11	0.316146288	0.052458059	0.007743612
MADCAM1	1.39E-08	2.19E-06	0.001160703	0.388967196	0.012232759
MINA	0	6.98E-06	8.23E-05	0.096490234	0.005600166
MOBKL2B	8.13E-12	4.70E-06	0.005860168	0.160824408	0.902588276
MRPL16	1.48E-09	9.52E-10	0.000857816	0.136310781	0.04486501
MRPS11	6.97E-13	7.65E-07	0.820802104	0.00770273	5.26E-05
MS4A1	1.66E-12	1.49E-08	0.259783073	0.337488961	0.111595426
MS4A12	1.36E-13	2.77E-10	0.000201873	0.463603279	0.001020492
MS4A6A	6.11E-13	2.20E-09	0.010251566	0.947468063	0.002512326
NF1	1.31E-14	2.16E-07	0.006942857	0.35143952	0.061494217
NIP7	1.92E-09	2.03E-08	0.00709392	0.46026623	0.844556518
NLK	0	3.29E-09	6.99E-05	0.007856538	0.035194739
NOLC1	6.32E-13	7.43E-09	0.578554459	0.004256267	0.000757998
NOS1	1.41E-07	4.74E-06	0.786632627	0.005370623	0.049570225
NT5E	3.61E-12	4.34E-09	0.000104741	5.92E-06	0.004185458
PAPSS2	1.33E-08	1.63E-06	0.134357306	0.018051019	0.005631621
PCNT	2.11E-08	3.21E-06	0.864437813	0.96307131	0.004260294
PECR	5.01E-09	3.53E-10	0.034248379	0.483574032	0.048122488
PEX13	1.10E-07	2.59E-06	0.091734014	0.101053774	0.021557744
PGM1	3.93E-07	3.17E-07	0.004954726	0.404081654	0.873077333
PHB2	1.59E-08	5.75E-07	0.213681553	0.826783522	0.700881119
PLA2G2E	1.99E-11	9.69E-06	0.000635288	0.224353859	0.001037313
PODNL1	6.18E-11	1.18E-09	0.013569974	0.003229114	0.005901306
REEP2	4.44E-16	3.14E-06	0.546782158	0.202449493	0.189129497
RPS27L	3.46E-10	3.18E-06	0.022002156	0.463381108	0.479326546
SCHIP1	1.03E-07	2.10E-08	0.011891322	0.000702072	0.004385992
SCN10A	2.25E-09	3.74E-07	0.991327011	0.781387114	0.006281005
SCUBE2	4.93E-08	4.20E-06	0.001936149	0.000752397	0.002487073
SH2B1	1.29E-11	2.68E-08	1.28E-06	0.005987594	0.00612842
SLC24A1	1.06E-09	5.12E-08	0.004704682	2.26E-05	0.000191779
SLC25A10	9.19E-11	1.92E-06	0.151917366	0.027923511	0.021890949
SLC39A7	1.17E-07	4.49E-06	0.000172486	0.003573016	9.01E-05
SMARCD3	2.30E-08	4.03E-06	0.866571298	0.00046966	0.005432573
SPBC25	1.28E-11	5.89E-06	2.90E-05	0.001478611	0.002392699
SUPT4H1	6.38E-09	5.93E-08	0.042240145	0.012665585	0.002638667
TACC3	1.32E-12	1.17E-06	0.248042844	0.04338418	0.006829272
TFG	8.13E-09	1.44E-06	0.470925205	0.000179435	0.010595537
THBD	1.02E-14	1.78E-06	0.00380614	0.001793091	0.000801372
TMBIM1	2.22E-16	5.39E-06	0.098748914	0.66609025	0.12804787
TNRC5	2.22E-16	3.15E-07	0.096549552	0.026150709	0.048711488
TPPP	4.31E-07	5.03E-06	0.671837323	0.123767668	0.146709058
TXNIP	8.99E-08	1.85E-07	0.000914851	0.285061981	0.124980247
UBE2E3	1.55E-15	1.31E-07	0.000593561	0.000407931	0.032776905
WHSC2	2.69E-08	1.38E-06	0.025622835	0.27779325	0.007973949
WISP1	7.64E-09	2.25E-08	0.032502018	0.55233473	0.26639046
ZNF230	1.60E-09	3.87E-09	1.90E-09	0.000636876	0.001026715
ZNF434	3.77E-15	1.18E-07	0.523473982	0.000500439	0.305114136
WIPF1	-	-	-	6.92E-06	0.077984135
