GO category	p-value (GO)	GeneSymbol	Common Name	EntrezID	Fold Change	p-value
metabolism	9.06E-03	NPR1	natriuretic peptide receptor A/guanylate cyclase A (atrionatriuretic peptide receptor A)	4881	-1.86	0.0318
metabolism	9.06E-03	CFLAR	CASP8 and FADD-like apoptosis regulator	8837	-1.85	0.0299
metabolism	9.06E-03	SCYL1	SCY1-like 1 (S. cerevisiae)	57410	-1.84	0.018
metabolism	9.06E-03	CTDP1	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1	9150	-1.82	0.0335
metabolism	9.06E-03	DDR1	discoidin domain receptor family, member 1	780	-1.82	0.0308
metabolism	9.06E-03	ACSS1	acyl-CoA synthetase short-chain family member 1	84532	-1.82	0.0355
metabolism	9.06E-03	CASP2	caspase 2, apoptosis-related cysteine peptidase (neural precursor cell expressed, developmentally down-regulated 2)	835	-1.81	0.0459
metabolism	9.06E-03	AP1B1	adaptor-related protein complex 1, beta 1 subunit	162	-1.8	0.0323
metabolism	9.06E-03	STK11	serine/threonine kinase 11	6794	-1.8	0.0316
metabolism	9.06E-03	EP400	E1A binding protein p400	57634	-1.8	0.0492
mitochondrion	1.28E-02	DLST	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)	1743	-2.8	0.0275
mitochondrion	1.28E-02	DLSTP	dihydrolipoamide S-succinyltransferase pseudogene (E2 component of 2-oxo-glutarate complex)	1744	-2.53	0.0444
mitochondrion	1.28E-02	PANK2	pantothenate kinase 2 (Hallervorden-Spatz syndrome)	80025	-2.37	0.0188
mitochondrion	1.28E-02	COX18	COX18 cytochrome c oxidase assembly homolog (S. cerevisiae)	285521	-2.26	0.0365
mitochondrion	1.28E-02	SLC25A25	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 25	114789	-2.07	0.0258
mitochondrion	1.28E-02	CYCS	cytochrome c, somatic	54205	-2.01	0.0257
mitochondrion	1.28E-02	TXNRD2	thioredoxin reductase 2	10587	-1.91	0.0237
mitochondrion	1.28E-02	ACSS1	acyl-CoA synthetase short-chain family member 1	84532	-1.82	0.0355
clathrin coat of trans-Golgi network vesicle	5.70E-05	AP1S1	adaptor-related protein complex 1, sigma 1 subunit	1174	-2.22	0.0193
clathrin coat of trans-Golgi network vesicle	5.70E-05	AP2B1	adaptor-related protein complex 2, beta 1 subunit	163	-2.21	0.0104
clathrin coat of trans-Golgi network vesicle	5.70E-05	AP1S1	adaptor-related protein complex 1, sigma 1 subunit	1174	-1.88	0.0297
clathrin coat of trans-Golgi network vesicle	5.70E-05	AP1B1	adaptor-related protein complex 1, beta 1 subunit	162	-1.8	0.0323
