GeneSymbol	Common Name	EntrezID	Fold Change	P-value
Dkk3	dickkopf homolog 3 (Xenopus laevis)	50781	-2.07	0.004
Ubr1	ubiquitin protein ligase E3 component n-recognin 1	22222	-2.06	0.0055
BC002199	cDNA sequence BC002199	211556	-2.05	0.02
Sfrs8	splicing factor, arginine/serine-rich 8	231769	-2.05	0.0089
Krba1	KRAB-A domain containing 1	77827	-2.04	0.0021
Mesdc2	mesoderm development candiate 2	67943	-2.04	0.0056
Zfp319	zinc finger protein 319	79233	-2.04	0.0017
Kif23	kinesin family member 23	71819	-2.03	0.0055
Tmco3	transmembrane and coiled-coil domains 3	234076	-2.02	0.0109
Igfbp3	insulin-like growth factor binding protein 3	16009	-2.02	0.007
Gbp4	guanylate nucleotide binding protein 4	17472	-2.02	0.0211
Yes1	Yamaguchi sarcoma viral (v-yes) oncogene homolog 1	22612	-2.02	0.0316
C1s	complement component 1, s subcomponent	50908	-2.02	0.0044
Tmepai	transmembrane, prostate androgen induced RNA	65112	-2.02	0.0049
Casp4	caspase 4, apoptosis-related cysteine peptidase	12363	-2.01	0.0261
Golph4	golgi phosphoprotein 4	73124	-2.01	0.0086
Abtb2	ankyrin repeat and BTB (POZ) domain containing 2	99382	-2	0.0039
Nup153	nucleoporin 153	218210	-2	0.0372
Gbp3	guanylate nucleotide binding protein 3	55932	-2	0.0038
Akp2	alkaline phosphatase 2, liver	11647	-1.98	0.0046
Mycbpap	Mycbp associated protein	104601	-1.98	0.03
Klf3	Kruppel-like factor 3 (basic)	16599	-1.98	0.0022
Sh3tc1	SH3 domain and tetratricopeptide repeats 1	231147	-1.97	0.0029
Adrbk1	adrenergic receptor kinase, beta 1	110355	-1.97	0.0023
Thumpd2	THUMP domain containing 2	72167	-1.96	0.0486
Abi3bp	ABI gene family, member 3 (NESH) binding protein	320712	-1.96	0.0063
Ccdc64	coiled-coil domain containing 64	75665	-1.96	0.0039
Ctnnd1	catenin (cadherin associated protein), delta 1	12388	-1.96	0.0061
Tnfsf10	tumor necrosis factor (ligand) superfamily, member 10	22035	-1.96	0.0234
Spata5	spermatogenesis associated 5	57815	-1.96	0.0302
9930021J17Rik	RIKEN cDNA 9930021J17 gene	229488	-1.96	0.0068
Rufy1	RUN and FYVE domain containing 1	216724	-1.95	0.0065
Rnmt	RNA (guanine-7-) methyltransferase	67897	-1.95	0.0074
Rasgrp3	RAS, guanyl releasing protein 3	240168	-1.95	0.01
Gga3	golgi associated, gamma adaptin ear containing, ARF binding protein 3	260302	-1.94	0.0034
Kcnj8	potassium inwardly-rectifying channel, subfamily J, member 8	16523	-1.93	0.0052
Tcf15	transcription factor 15	21407	-1.93	0.0148
Ncf4	neutrophil cytosolic factor 4	17972	-1.92	0.0062
Chrdl1	chordin-like 1	83453	-1.92	0.002
Mllt1	myeloid/lymphoid or mixed lineage-leukemia translocation to 1 homolog (Drosophila)	64144	-1.92	0.0404
2010317E24Rik	RIKEN cDNA 2010317E24 gene	72080	-1.92	0.0051
Foxred1	FAD-dependent oxidoreductase domain containing 1	235169	-1.92	0.0029
Fbn1	fibrillin 1	14118	-1.91	0.0039
E430002G05Rik	RIKEN cDNA E430002G05 gene	210622	-1.91	0.0053
Zfp236	zinc finger protein 236	329002	-1.91	0.0024
Hsp90ab1	heat shock protein 90kDa alpha (cytosolic), class B member 1	15516	-1.9	0.0227
Mafb	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)	16658	-1.9	0.0056
Msh6	mutS homolog 6 (E. coli)	17688	-1.9	0.0269
1110037F02Rik	RIKEN cDNA 1110037F02 gene	66185	-1.9	0.0431
Pold3	polymerase (DNA-directed), delta 3, accessory subunit	67967	-1.9	0.0277
Clec11a	C-type lectin domain family 11, member a	20256	-1.89	0.0056
Anp32e	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	66471	-1.89	0.0072
Pex14	peroxisomal biogenesis factor 14	56273	-1.89	0.0424
5830443L24Rik	RIKEN cDNA 5830443L24 gene	76074	-1.89	0.0056
Zcchc6	zinc finger, CCHC domain containing 6	214290	-1.88	0.0072
Znrf1	zinc and ring finger 1	170737	-1.87	0.0079
4833428C12Rik	RIKEN cDNA 4833428C12 gene	399589	-1.87	0.0098
Meox1	mesenchyme homeobox 1	17285	-1.87	0.0044
Slit2	slit homolog 2 (Drosophila)	20563	-1.87	0.0411
Fn1	fibronectin 1	14268	-1.86	0.0171
D11Ertd497e	DNA segment, Chr 11, ERATO Doi 497, expressed	52626	-1.86	0.0025
Angpt2	angiopoietin 2	11601	-1.86	0.0023
Armcx3	armadillo repeat containing, X-linked 3	71703	-1.86	0.025
Rab30	RAB30, member RAS oncogene family	75985	-1.86	0.039
Hsd17b12	hydroxysteroid (17-beta) dehydrogenase 12	56348	-1.86	0.0279
Lta4h	leukotriene A4 hydrolase	16993	-1.85	0.0158
Txnip	thioredoxin interacting protein	56338	-1.85	0.0061
Prdm8	PR domain containing 8	77630	-1.85	0.006
Fcrla	Fc receptor-like A	98752	-1.85	0.005
Itga6	integrin alpha 6	16403	-1.84	0.0196
Atp6v0a2	ATPase, H+ transporting, lysosomal V0 subunit A2	21871	-1.84	0.0198
9130005N14Rik	RIKEN cDNA 9130005N14 gene	68303	-1.84	0.008
Nckap1l	NCK associated protein 1 like	105855	-1.84	0.0352
Fkbp10	FK506 binding protein 10	14230	-1.84	0.0024
Nfkb1	nuclear factor of kappa light chain gene enhancer in B-cells 1, p105	18033	-1.84	0.0259
Rhou	ras homolog gene family, member U	69581	-1.84	0.0173
Aldh9a1	aldehyde dehydrogenase 9, subfamily A1	56752	-1.83	0.0122
Mrpl44	mitochondrial ribosomal protein L44	69163	-1.83	0.0093
Nbr1	neighbor of Brca1 gene 1	17966	-1.83	0.0096
Tgtp	T-cell specific GTPase	21822	-1.82	0.004
Rkhd3	ring finger and KH domain containing 3	108797	-1.82	0.0074
D930005D10Rik	RIKEN cDNA D930005D10 gene	231858	-1.82	0.0101
Cdh11	cadherin 11	12552	-1.82	0.0027
Copg	coatomer protein complex, subunit gamma	54161	-1.82	0.0084
H2afx	H2A histone family, member X	15270	-1.82	0.0219
C1qdc2	C1q domain containing 2	67389	-1.82	0.0119
Trim47	tripartite motif protein 47	217333	-1.82	0.003
C1qtnf5	C1q and tumor necrosis factor related protein 5	235312	-1.82	0.0065
9030224M15Rik	RIKEN cDNA 9030224M15 gene	327747	-1.82	0.0131
Aif1	allograft inflammatory factor 1	11629	-1.81	0.0294
Pik3cd	phosphatidylinositol 3-kinase catalytic delta polypeptide	18707	-1.81	0.0031
Rev3l	REV3-like, catalytic subunit of DNA polymerase zeta RAD54 like (S. cerevisiae)	19714	-1.81	0.0095
Parp8	poly (ADP-ribose) polymerase family, member 8	52552	-1.81	0.0159
Suz12	suppressor of zeste 12 homolog (Drosophila)	52615	-1.81	0.0166
Gvin1	GTPase, very large interferon inducible 1	74558	-1.81	0.0178
Atbf1	AT motif binding factor 1	11906	-1.81	0.0069
Myo5a	myosin Va	17918	-1.81	0.0252
Rbmx	RNA binding motif protein, X chromosome	19655	-1.81	0.015
Crsp7	cofactor required for Sp1 transcriptional activation, subunit 7	70625	-1.81	0.0036
D930015E06Rik	RIKEN cDNA D930015E06 gene	229473	-1.81	0.0099
Azin1	antizyme inhibitor 1	54375	-1.81	0.016
Krt23	keratin 23	94179	-1.81	0.0424
C330016O10Rik	RIKEN cDNA C330016O10 gene	212706	-1.81	0.0066
