Drug	Symbol	Name	Biological process	Molecular function	Cellular component	Locus	ID
MMC	CXorf12	Chromosome X open reading frame 12	?	—	—	Xq28	8269
MMC	KNSL1	Kinesin-like 1	Mitosis	Microtubule motor	Kinesin, spindle	10q24.1	3832
MMC	PPP3CA	Calcineurin A alpha	Signalling	Phosphatase	—	4q21-q24	5530
MMC	ZFP36L1	Zinc finger protein 36 C3H type-like 1	Growth ?	Transcription factor	Nucleus	14q22-q24	677
ADM	CPA3	Carboxypeptidase A3	Proteolysis	Secretory granule metalloexopeptidase	—	3q21-q25	1359
ADM	CPZ	Carboxypeptidase Z	Proteolysis	Metallocarboxypeptidase	—	4p16.1	8532
ADM	SLC17A2	Solute carrier family 17 member 2	Sodium transport, phosphate metabolism	Sodium phosphate symporter	Membrane	6p21.3	10246
ADM	TOP2B	Topoisomerase II beta	DNA topology	DNA topoisomerase	Nucleus	3p24	7155
EpiADM	BTD	Biotinidase	Biotin metabolism, differentiation, development	Biotin carboxylase	—	3p25	686
EpiADM	CA1	Carbonic anhydrase 1	Respiration, acid-base balance, aqueous humor	Carbonate dehydratase	Cytoplasm	8q13-q22.1	759
EpiADM	CD164	Sialomucin	Adhesion, immunity, proliferation inhibition	Adhesion of CD34 cells	Membrane	6q21	8763
EpiADM	CDC6	Cell division cycle 6	DNA replication inhibition, proliferation inhibition	Nucleotide binding	Nucleus, Cytoplasm	17q21.3	990
EpiADM	CHL1	Cell adhesion molecule (homolog of L1)	Adhesion, signalling	—	Membrane	—	—
EpiADM	CPA3	Carboxypeptidase A3	Proteolysis	Secretory granule metalloexopeptidase	—	3q21-q25	1359
EpiADM	CPZ	Carboxypeptidase Z	Proteolysis	Metallocarboxypeptidase	—	4p16.1	8532
EpiADM	CX3CR1	Chemokine (C-X3-C) receptor 1	Chemotaxis, defense, adhesion	Chemokine receptor	Membrane	3p21.3	1524
EpiADM	FOLR1	Folate receptor 1	Folate transport, endocytosis	Tumor antigen, GPI-anchored receptor	Membrane	11q13.3-q14.1	2348
EpiADM	KIFAP3	Kinesin-associated protein 3	Signalling, chromosome assembly	Linker ?	Endoplasmic reticulum	1q23.2	22920
EpiADM	MKI67	Antigen identified by Ki-67	Cell cycle, proliferation	—	Nucleus	10q25-qter	4288
EpiADM	NQO2	NAD(P)H dehydrogenase quinone 2	Electron transport	NADPH dehydrogenase	—	6pter-q12	4835
EpiADM	RBBP4	Retinoblastoma binding protein 4	Proliferation inhibition	Repressor of transcription	Nucleus	1p34.3	5928
EpiADM	SLC17A2	Solute carrier family 17 member 2	Sodium transport, phosphate metabolism	Sodium phosphate symporter	Membrane	6p21.3	10246
EpiADM	TFAP2C	Transcription factor AP-2 	Oncogenesis, signalling, transcription	Transcription factor	—	20q13.2	7022
EpiADM	TOP2B	Topoisomerase II 	DNA topology	DNA topoisomerase	Nucleus	3p24	7155
EpiADM	TRGalpha	T-cell receptor locus	Immunity	T-cell receptor	—	7p15-p14	6965
MIT	ACLY	ATP citrate lyase	ATP, citrate, CoA metabolism	ATP-citrate (pro-S)-lyase	Citrate lyase	17q12-q21	47
MIT	DUSP5	Dual specificity phosphatase 5	Heat shock response	Protein tyrosine phosphatase	—	10q25	1847
MIT	PSMC6	Proteasome 26S subunit ATPase 6	Proteolysis	Proteasome ATPase	26S proteasome	12q15	5706
MIT	TAP1	Transporter 1 ATP-binding cassette sub-family B	Defense, peptide transport	ABC transporter	Membrane	6p21.3	6890
