Gene Title	Gene Symbol	logFc	T	P.Value	adj.P.Val	B
adenosine monophosphate deaminase 2 (isoform L)	AMPD2	-0.394	-4.407	0.001	0.477	-0.516
mannosidase, alpha, class 2B, member 1	MAN2B1	-0.687	-4.400	0.001	0.477	-0.525
suppressor of cytokine signaling 3	SOCS3	-0.922	-4.388	0.001	0.477	-0.541
G protein-coupled receptor kinase 6	GRK6	-0.420	-4.311	0.001	0.477	-0.645
c-src tyrosine kinase	CSK	-0.415	-4.297	0.001	0.477	-0.665
heme oxygenase (decycling) 1	HMOX1	-0.647	-4.288	0.001	0.477	-0.677
histone cluster 1, H3b	HIST1H3B	-0.510	-4.283	0.001	0.477	-0.684
T-cell activation RhoGTPase activating protein	TAGAP	-0.768	-4.259	0.001	0.477	-0.716
colony stimulating factor 1 receptor	CSF1R	-0.825	-4.249	0.001	0.477	-0.730
rhomboid 5 homolog 2 (Drosophila)	RHBDF2	-0.508	-4.218	0.001	0.477	-0.772
minichromosome maintenance complex component 5	MCM5	-0.374	-4.204	0.001	0.477	-0.791
TBC1 domain family, member 9 (with GRAM domain)	TBC1D9	-0.349	-4.163	0.001	0.477	-0.848
chromosome 6 open reading frame 150	C6orf150	-0.861	-4.147	0.001	0.477	-0.870
sulfiredoxin 1 homolog (S. cerevisiae)	SRXN1	-0.434	-4.130	0.001	0.477	-0.894
chromosome 17 open reading frame 62	C17orf62	-0.409	-4.102	0.001	0.477	-0.932
family with sequence similarity 111, member B	FAM111B	-0.654	-4.094	0.001	0.477	-0.944
actin related protein 2/3 complex, subunit 1B, 41kDa /// actin related protein 2/3 complex, subunit 1A, 41kDa	ARPC1B /// ARPC1A	-0.633	-4.083	0.001	0.477	-0.958
FYVE, RhoGEP and PH domain containing 2	FGD2	-0.645	-4.077	0.001	0.477	-0.968
polo-like kinase 3 (Drosophila)	PLK3	-0.460	-4.068	0.001	0.477	-0.980
chromosome 10 open reading frame 55 /// plasminogen activator, urokinase	C10orf55 /// PLAU	-0.743	-4.048	0.001	0.477	-1.008
cysteinyl leukotriene receptor 2	CYSLTR2	-0.795	-4.044	0.001	0.477	-1.014
intercellular adhesion molecule 3	ICAM3	-0.617	-4.036	0.001	0.477	-1.025
signal transducer and activator of transcription 5A	STAT5A	-0.414	-4.023	0.001	0.477	-1.042
protein kinase, AMP-activated, beta 2 non-catalytic subunit	PRKAB2	0.328	4.015	0.001	0.477	-1.055
solute carrier family 15, member 3	SLC15A3	-0.898	-4.014	0.001	0.477	-1.056
platelet-activating factor receptor	PTAFR	-0.517	-4.010	0.001	0.477	-1.061
glucose-6-phosphate dehydrogenase	G6PD	-0.474	-4.010	0.001	0.477	-1.061
hematopoietic cell-specific Lyn substrate 1	HCLS1	-0.831	-4.009	0.001	0.477	-1.063
lymphocyte antigen 96	LY96	-0.984	-3.998	0.001	0.477	-1.077
zinc finger, DHHC-type containing 18	ZDHHC18	-0.487	-3.987	0.001	0.477	-1.094
zinc finger protein 507	ZNF507	0.375	3.980	0.001	0.477	-1.103
hematological and neurological expressed 1	HN1	-0.470	-3.977	0.001	0.477	-1.107
acid phosphatase 2, lysosomal	ACP2	-0.575	-3.967	0.001	0.477	-1.121
spleen focus forming virus (SFFV) proviral integration oncogene spi1	SPI1	-0.622	-3.963	0.001	0.477	-1.127
ethylmalonic encephalopathy 1	ETHE1	-0.376	-3.959	0.001	0.477	-1.133
CKLF-like MARVEL transmembrane domain containing 7	CMTM7	-0.401	-3.952	0.001	0.477	-1.142
family with sequence similarity 26, member F	FAM26F	-0.422	-3.950	0.001	0.477	-1.146
KIAA1539	KIAA1539	-0.314	-3.931	0.001	0.489	-1.171
chromosome 1 open reading frame 152 /// phosphodiesterase 4D interacting proteini	C1orf152 /// PDE4DIP	-0.471	-3.914	0.001	0.494	-1.197
melanoma antigen family A, 5	MAGEA5	0.279	3.913	0.001	0.494	-1.197
aspartate beta-hydroxylase domain containing 2	ASPHD2	-0.485	-3.879	0.002	0.520	-1.246
paired immunoglobin-like type 2 receptor alpha	PILRA	-0.842	-3.871	0.002	0.520	-1.257
potassium voltage-gated channel, shaker-related subfamily, beta member 2	KCNAB2	-0.619	-3.860	0.002	0.520	-1.273
interferon induced transmembrane protein 1 (9-27)	IFITM1	-0.694	-3.859	0.002	0.520	-1.274
chromosome 7 open reading frame 41	C7orf41	0.612	-3.852	0.002	0.520	-1.284
interferon regulatory factor 8	IRF8	-1.126	-3.847	0.002	0.520	-1.291
cathepsin Z	CTSZ	-0.714	-3.838	0.002	0.520	-1.304
NFAT activating protein with ITAM motif 1	NFAM1	-0.579	-3.818	0.002	0.520	-1.333
neutrophil cytosolic factor 4, 40kDa	NCF4	-0.734	-3.817	0.002	0.520	-1.334
kelch-like 23 (Drosophila) /// phosphatase, orphan 2	KLHL23 /// PHOSPHO2	0.342	3.840	0.002	0.520	-1.352
tumor necrosis factor (TNF superfamily, member 2)	TNF	-0.465	-3.798	0.002	0.520	-1.361
ras homolog gene family, member G (rho G)	RHOG	-0.454	-3.790	0.002	0.520	-1.373
interleukin 12 receptor, beta 1	IL12RB1	-0.499	-3.790	0.002	0.520	-1.373
phosphatidylinositol 4-kinase type 2 alpha	PI4K2A	-0.415	-3.780	0.002	0.520	-1.387
lectin, galactoside-binding, soluble, 9	LGALS9	-0.448	-3.779	0.002	0.520	-1.388
matrix metallopeptidase 25	MMP25	-0.366	-3.772	0.002	0.520	-1.398
EGFR-coamplified and overexpressed protein	ECOP	-0.459	-3.766	0.002	0.520	-1.406
pim-1 onocogene	PIM1	-0.404	-3.764	0.002	0.520	-1.409
sorting nexin 20	SNX20	-0.387	-3.754	0.002	0.520	-1.424
alcohol dehydrogenase, iron containing, 1	ADHFE1	0.608	3.735	0.002	0.520	-1.452
formin-like 1	FMNL1	-0.587	-3.722	0.002	0.520	-1.471
chemokine (C-X-C motif) ligand 2	CXCL2	-0.641	-3.718	0.002	0.520	-1.475
lymphocyte -specific protein 1	LSP1	-0.530	-3.704	0.002	0.520	-1.496
major histocompatibility complex, class II, DR beta 9 (pseudogene)	HLA-DRB9	-0.385	-3.696	0.002	0.520	-1.508
G protein-coupled receptor 18	GPR18	-0.526	-3.674	0.002	0.520	-1.538
chemokine (C motif) ligand 1	XCL1	-0.534	-3.663	0.002	0.520	-1.554
E2F transcription factor 3	E2F3	-0.377	-3.659	0.002	0.520	-1.560
transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	TAP1	-0.638	-3.654	0.002	0.520	-1.568
secreted and transmembrane 1	SECTM1	-0.456	-3.648	0.002	0.520	-1.577
myosin IF	MYO1F	-0.848	-3.636	0.003	0.520	-1.593
lymphocyte-specific protein 1 pseudogene /// lymphocyte-specific protein 1 pseudogene /// lymphocyte-specific protein 1	LOC654342 /// LOC645166 /// LSP1	-0.522	-3.628	0.003	0.520	-1.606
hypothetical protein LOC100127980	LOC100127980	-0.440	3.627	0.003	0.520	-1.607
protein tyrosine phosphatase, non-receptor type 6	PTPN6	-0.415	-3.624	0.003	0.520	-1.611
hypothetical LOC440993	LOC440993	0.455	3.622	0.003	0.520	-1.614
docking protein 1, 62kDa (downstream of tyrosine kinase 1)	DOK1	-0.352	-3.617	0.003	0.520	-1.621
DKFZp761E198 protein	DKFZp761E198	-0.268	-3.617	0.003	0.520	-1.621
2-5-oligoadenylate synthetase 3, 100kDa	OAS3	-0.414	-3.614	0.003	0.520	-1.625
Abelson helper integration site 1	AHI1	0.436	3.614	0.003	0.520	-1.625
methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	MTHFD2	-0.842	-3.608	0.003	0.520	-1.634
SLAM family member 8 /// chromosome 1 open reading frame 204	SLAMF8 /// C1orf204	-1.261	-3.606	0.003	0.520	-1.637
Janus kinase 3	JAK3	-0.775	-3.605	0.003	0.520	-1.638
solute carrier family 2 (facilitated glucose transporter), member 6	SLC2A6	-0.667	-3.604	0.003	0.520	-1.640
dpy-19-like 2 pseudogene 1 (C. elegans)	DPY19L2P1	-0.577	3.600	0.003	0.520	-1.646
alanyl (membrane) aminopeptidase	ANPEP	-0.825	-3.596	0.003	0.520	-1.651
interleukin 1 receptor, type II	IL1R2	-0.741	-3.595	0.003	0.520	-1.653
potassium channel tetramerisation domain containing 5	KCTD5	-0.260	-3.587	0.003	0.520	-1.664
CDC42 binding protein kinase alpha (DMPK-like)	CDC42BPA	0.405	3.586	0.003	0.520	-1.666
early growth response 2	EGR2	-0.930	-3.575	0.003	0.520	-1.683
complement component 5a receptor 1	C5AR1	-0.492	-3.573	0.003	0.520	-1.685
transmembrane protein 149	TMEM149	-0.525	-3.569	0.003	0.520	-1.692
phosphoinositide-3-kinase, catalytic, delta polypeptide	PIK3CD	-0.335	-3.564	0.003	0.520	-1.698
G protein-coupled receptor 132	GPR132	-0.525	-3.545	0.003	0.520	-1.726
phospholipase D family, member 3	PLD3	-0.529	-3.543	0.003	0.520	-1.728
fermitin family homolog 3 (Drosophila)	FERMT3	-0.962	-3.542	0.003	0.520	-1.730
FYN binding protein (FYB-120/130)	FYB	-0.995	-3.535	0.003	0.520	-1.740
neutrophil cytosolic factor 1 ///similar to Neutrophil cytosol factor 1 (NCF-1) (Neutrophil NADPH oxidase factor 1)	NCF1	-0.850	-3.533	0.003	0.520	-1.744
phospholipase B domain containing 2	PLBD2	-0.602	-3.531	0.003	0.520	-1.746
chemokine (C-X-C motif) ligand 16	CXCL16	-0.741	-3.521	0.003	0.520	-1.761
myeloid differentiation primary response gene (88)	MYD88	-0.460	-3.517	0.003	0.520	-1.767
serine/threonine kinase 17b	STK17B	-0.542	-3.516	0.003	0.520	-1.767
nuclear factor (erythroid-derived 2)-like 3	NFE2L3	-0.497	-3.510	0.003	0.520	-1.777
spleen tyrosine kinase	SYK	-0.592	-3.509	0.003	0.520	-1.778
akirin 2	AKIRIN2	-0.434	-3.508	0.003	0.520	-1.779
