Average Fold Increase	Gene Symbol	Gene Title
8.6	TNFRSF10D	tumor necrosis factor receptor superfamily, member 10d
8.6	NP25	neuronal protein
8.3	EREG	epiregulin
8.3	ENC1	ectodermal-neural cortex
8.0	NEFL	neurofilament, light polypeptide
8.0	IQGAP2	IQ motif containing GTPase activating protein 2
7.7	DRE1	DRE1 protein
7.7	SAT	spermidine/spermine N1-acetyltransferase
7.7	NDP	Norrie disease
7.5	F2RL1	coagulation factor II (thrombin) receptor-like 1
7.2	CAMK1G	calcium/calmodulin-dependent protein kinase IG
7.2	MMP3	matrix metalloproteinase 3 (stromelysin 1)
7.0	SERPINB2	serine (or cysteine) proteinase inhibitor, clade B, member 2
6.7	CXCR4	chemokine (C-X-C motif) receptor 4
6.7	BIRC3	baculoviral IAP repeat-containing 3
6.7	DUSP6	dual specificity phosphatase 6
6.3	HIST2H2AA	histone 2, H2aa
6.3	G0S2	putative lymphocyte G0/G1 switch gene
6.3	FKBP1A	FK506 binding protein 1A
6.3	SERPINB7	serine (or cysteine) proteinase inhibitor, clade B, member 7
6.1	LPXN	leupaxin
6.1	HIST1H2AE	histone 1, H2ae
6.1	PRSS2	protease, serine, 2
6.1	CLGN	calmegin
6.1	SERPIND1	serine (or cysteine) proteinase inhibitor, clade D, member 1
6.1	DPP4	dipeptidylpeptidase 4
6.1	PRSS3	protease, serine, 3
6.1	RAC2	ras-related C3 botulinum toxin substrate 2
5.9	FLRT3	fibronectin leucine rich transmembrane protein 3
5.9	KCNJ15	potassium inwardly-rectifying channel, subfamily J, member 15
5.9	TNFRSF10B	tumor necrosis factor receptor superfamily, member 10b
5.7	ESM1	endothelial cell-specific molecule 1
5.7	SGNE1	secretory granule, neuroendocrine protein 1
5.5	FLT1	fms-related tyrosine kinase 1
5.5	ANGPTL4	angiopoietin-like 4
5.3	NICE-1	NICE-1 protein
5.3	BMP2	bone morphogenetic protein 2
5.1	ARHGAP25	Rho GTPase activating protein 25
5.1	CD69	CD69 antigen
5.1	DIO2	deiodinase, iodothyronine, type II
5.1	HIST1H2BG	histone 1, H2bg
5.1	IL6	interleukin 6
5.1	HIST2H2BE	histone 2, H2be
4.9	AMPD3	adenosine monophosphate deaminase
4.9	SERPINI1	serine (or cysteine) proteinase inhibitor, clade I, member 1
4.9	INHBA	inhibin, beta A
4.9	MMP12	matrix metalloproteinase 12
4.9	ICAM1	intercellular adhesion molecule 1 (CD54)
4.8	CST2	cystatin SA
4.8	MME	membrane metallo-endopeptidase
4.6	HIST1H2AC	histone 1, H2ac
4.6	CSTA	cystatin A
4.6	GLS	glutaminase
4.4	TGM2	transglutaminase 2
4.4	SPP1	secreted phosphoprotein 1
4.4	ANK3	ankyrin 3, node of Ranvier
4.3	APLP1	amyloid beta (A4) precursor-like protein 1
4.3	GAS2L1	growth arrest-specific 2 like 1
4.3	CPM	carboxypeptidase M
4.1	HIST1H3D	histone 1, H3d
4.1	CYP3A5	cytochrome P450, family 3, subfamily A, polypeptide 5
4.1	CXCL6	chemokine (C-X-C motif) ligand 6
4.1	STC1	stanniocalcin 1
4.1	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)
4.0	SSB1	SPRY domain-containing SOCS box protein SSB-1
4.0	HPCAL1	hippocalcin-like 1
4.0	EBI2	Epstein-Barr virus induced gene 2
3.9	LGALS8	lectin, galactoside-binding, soluble, 8
3.9	LIF	leukemia inhibitory factor
3.9	PBEF1	pre-B-cell colony enhancing factor 1
3.9	LPIN1	lipin 1
3.9	SNCA	synuclein, alpha
3.9	GCH1	GTP cyclohydrolase 1
3.7	SC4MOL	sterol-C4-methyl oxidase-like
3.7	GMFG	glia maturation factor, gamma
3.7	FAH	fumarylacetoacetate hydrolase
3.7	IER3	immediate early response 3
3.7	DUSP3	dual specificity phosphatase 3
3.7	MCL1	myeloid cell leukemia sequence 1
3.6	KCNN2	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2
3.6	CD58	CD58 antigen, (lymphocyte function-associated antigen 3)
3.6	HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog
3.6	TAF13	TAF13 RNA polymerase II, TATA box binding protein (TBP)-associated factor
3.6	STEAP	six transmembrane epithelial antigen of the prostate
3.6	SH3BGR	SH3 domain binding glutamic acid-rich protein
3.6	IDS	iduronate 2-sulfatase
3.6	ALDH3A2	aldehyde dehydrogenase 3 family, member A2
3.5	DCSTAMP	DC-specific transmembrane protein
3.5	CLDN1	claudin 1
3.5	LAMB4	laminin, beta 4
3.5	PTX3	pentaxin-related gene, rapidly induced by IL-1 beta
3.5	TNFAIP3	tumor necrosis factor, alpha-induced protein 3
3.5	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta
3.4	ZNF432	zinc finger protein 432
3.4	CHRNA1	cholinergic receptor, nicotinic, alpha polypeptide 1
3.4	IGFBP5	insulin-like growth factor binding protein 5
3.4	CST3	cystatin C
3.2	PDLIM4	PDZ and LIM domain 4
3.2	GAL	galanin
3.2	NAB1	NGFI-A binding protein 1
3.2	SERPINB8	serine (or cysteine) proteinase inhibitor, clade B, member 8
3.2	CXADR	coxsackie virus and adenovirus receptor
3.2	BPGM	2,3-bisphosphoglycerate mutase
3.2	PODXL	podocalyxin-like
3.1	MAFF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F
3.1	SLC2A6	solute carrier family 2
3.1	HIST1H2BD	histone 1, H2bd
3.1	NEF3	neurofilament 3
3.1	LNK	lymphocyte adaptor protein
3.0	GALNACT-2	chondroitin sulfate GalNAcT-2
3.0	PLEK2	pleckstrin 2
3.0	CDCP1	CUB domain-containing protein 1
3.0	SQRDL	sulfide quinone reductase-like
3.0	USP12	ubiquitin specific protease 12
3.0	CDKN2A	cyclin-dependent kinase inhibitor 2A (p16,INK4A)
3.0	HDAC9	histone deacetylase 9
3.0	HK2	hexokinase 2
3.0	TRIB1	tribbles homolog 1
2.9	BNIP3L	BCL2/adenovirus E1B 19kDa interacting protein 3-like
2.9	E2IG5	growth and transformation-dependent protein
2.9	CACNA2D3	calcium channel, voltage-dependent, alpha 2/delta 3 subunit
2.9	DUSP5	dual specificity phosphatase 5
2.9	SLC9A1	solute carrier family 9, isoform 1
2.9	FGF2	fibroblast growth factor 2
2.9	EDN1	endothelin 1
2.9	STX3A	syntaxin 3A
2.9	IBRDC3	IBR domain containing 3
2.9	ATP6V1C1	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C, isoform 1
2.9	CTSK	cathepsin K
2.8	HIST3H2A	histone 3, H2a
2.8	NRIP3	nuclear receptor interacting protein 3
2.8	RALA	v-ral simian leukemia viral oncogene homolog A
2.8	PCTK2	PCTAIRE protein kinase 2
2.8	ALAS1	aminolevulinate, delta-, synthase 1
2.8	GFPT2	glutamine-fructose-6-phosphate transaminase 2
2.8	SLC31A2	solute carrier family 31 (copper transporters), member 2
2.8	QPRT	quinolinate phosphoribosyltransferase
2.8	NFKBIE	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon
2.7	GM2A	GM2 ganglioside activator
2.7	SPRED2	sprouty-related, EVH1 domain containing 2
2.7	FDFT1	farnesyl-diphosphate farnesyltransferase 1
2.7	ARHGAP6	Rho GTPase activating protein 6
2.7	TFAP2C	transcription factor AP-2 gamma
2.7	NFE2L3	nuclear factor (erythroid-derived 2)-like 3
2.7	MKLN1	muskelin 1
2.7	APOD	apolipoprotein D
2.7	MAP1LC3B	microtubule-associated protein 1 light chain 3 beta
2.7	HIST1H2BM	histone 1, H2bm
2.7	LNPEP	leucyl/cystinyl aminopeptidase
2.7	COLEC10	collectin sub-family member 10
2.7	SPRY2	sprouty homolog 2
2.7	PARG1	PTPL1-associated RhoGAP 1
2.6	PCDH9	protocadherin 9
2.6	EXOSC4	exosome component 4
2.6	ACSL5	acyl-CoA synthetase long-chain family member 5
2.6	KIF3A	kinesin family member 3A
2.6	HIST1H2BK	histone 1, H2bk
2.6	DDX10	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10
2.6	PROCR	protein C receptor, endothelial
2.6	LYPLA1	lysophospholipase I
2.6	HCLS1	hematopoietic cell-specific Lyn substrate 1
2.6	SLC20A1	solute carrier family 20, member 1
2.6	NP	nucleoside phosphorylase
2.6	JUP	junction plakoglobin
2.5	PTPRE	protein tyrosine phosphatase, receptor type, E
2.5	WIG1	p53 target zinc finger protein
2.5	C1GALT1	core 1 UDP-galactose:N-acetylgalactosamine-alpha-R beta 1,3-galactosyltransferase
2.5	RNASET2	ribonuclease T2
2.5	PTPN12	protein tyrosine phosphatase, non-receptor type 12
2.5	PLD1	phospholipase D1
2.5	PRF1	perforin 1
2.5	DOCK9	dedicator of cytokinesis 9
2.5	MOAP1	modulator of apoptosis 1
2.5	SP140	SP140 nuclear body protein
2.5	BCL2L1	BCL2-like 1
2.5	CRLF3	cytokine receptor-like factor 3
2.5	BTN2A2	butyrophilin, subfamily 2, member A2
2.5	RAB3A	RAB3A
2.5	PLK3	polo-like kinase 3
2.5	CXCL10	chemokine (C-X-C motif) ligand 10
2.5	NDST2	N-deacetylase/N-sulfotransferase
2.5	LAPTM5	Lysosomal-associated multispanning membrane protein-5
2.5	CTSB	cathepsin B
2.5	CPR8	cell cycle progression 8 protein
2.5	SLCO4A1	solute carrier organic anion transporter family, member 4A1
2.5	ZNF226	zinc finger protein 226
2.5	PHLDA1	pleckstrin homology-like domain, family A, member 1
2.5	HOP	homeodomain-only protein
2.5	CLECSF2	C-type lectin, superfamily member 2
2.5	EMR2	egf-like module containing, mucin-like, hormone receptor-like 2
2.5	APG-1	heat shock protein
2.5	ANPEP	alanyl aminopeptidase
2.5	BHLHB2	basic helix-loop-helix domain containing, class B, 2
2.5	CHST5	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 5
2.5	AIM1	absent in melanoma 1
2.5	SCO2	SCO cytochrome oxidase deficient homolog 2
2.5	PLK2	polo-like kinase 2
2.4	PI3	protease inhibitor 3, skin-derived
2.4	GALNT4	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 4 (GalNAc-T4)
2.4	ALDH8A1	aldehyde dehydrogenase 8 family, member A1
2.4	BPY2IP1	BPY2 interacting protein 1
2.4	PELI1	pellino homolog 1
2.4	TGFB1I4	transforming growth factor beta 1 induced transcript 4
2.4	ITGB5	integrin, beta 5
2.4	RAB36	RAB36, member RAS oncogene family
2.4	CORO2B	coronin, actin binding protein, 2B
2.4	SQLE	squalene epoxidase
2.4	NUMB	numb homolog
2.4	CYP1A1	cytochrome P450, family 1, subfamily A, polypeptide 1
2.4	OSMR	oncostatin M receptor
2.4	AGTR1	angiotensin II receptor, type 1
2.4	SEMA3C	sema domain, immunoglobulin domain (Ig), short basic domain, secreted,  3C
2.4	RBP1	retinol binding protein 1
2.4	FAM8A1	family with sequence similarity 8, member A1
2.4	SP100	nuclear antigen Sp100
2.4	SVIL	supervillin
2.4	MXI1	MAX interactor 1
2.3	BLZF1	basic leucine zipper nuclear factor 1
2.3	SEMA6D	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D
2.3	TM6SF1	transmembrane 6 superfamily member 1
2.3	PCIA1	cross-immune reaction antigen PCIA1
2.3	PRKCN	protein kinase C, nu
2.3	CYP51A1	cytochrome P450, family 51, subfamily A, polypeptide 1
2.3	PVR	poliovirus receptor
2.3	IVL	involucrin
2.3	LRRC15	leucine rich repeat containing 15
2.3	CASP8	caspase 8, apoptosis-related cysteine protease
2.3	PCNX	pecanex homolog
2.3	PXN	paxillin
2.3	SLC43A3	solute carrier family 43, member 3
2.3	KCNJ2	potassium inwardly-rectifying channel, subfamily J, member 2
2.3	EGR3	early growth response 3
2.3	PDZK1	PDZ domain containing 1
2.3	SNPH	syntaphilin
2.3	DOCK4	dedicator of cytokinesis 4
2.3	CA12	carbonic anhydrase XII
2.3	HMGCR	3-hydroxy-3-methylglutaryl-Coenzyme A reductase
2.2	EKI1	ethanolamine kinase
2.2	EGLN1	egl nine homolog 1
2.2	ZNF557	zinc finger protein 557
2.2	OGFRL1	opioid growth factor receptor-like 1
2.2	RAB7L1	RAB7, member RAS oncogene family-like 1
2.2	PEN2	presenilin enhancer 2
2.2	MKNK2	MAP kinase-interacting serine/threonine kinase 2
2.2	MMP14	matrix metalloproteinase 14
2.2	RRN3	RNA polymerase I transcription factor RRN3
2.2	SQSTM1	sequestosome 1
2.2	EPB41L1	erythrocyte membrane protein band 4.1-like 1
2.2	MRPS12	mitochondrial ribosomal protein S12
2.2	NEU1	sialidase 1
2.2	TNIP1	TNFAIP3 interacting protein 1
2.2	SLC14A1	solute carrier family 14, member 1
2.2	HMGCS1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1
2.2	HSD11B1	hydroxysteroid (11-beta) dehydrogenase 1
2.2	AREG	amphiregulin
2.2	NFYA	nuclear transcription factor Y, alpha
2.2	SIAT9	sialyltransferase 9
2.2	SCARB1	scavenger receptor class B, member 1
2.2	DHCR7	7-dehydrocholesterol reductase
2.1	SLC35F2	solute carrier family 35, member F2
2.1	RHBDF1	rhomboid family 1
2.1	MRS2L	MRS2-like, magnesium homeostasis factor
2.1	AP1G1	adaptor-related protein complex 1, gamma 1 subunit
2.1	COX11	COX11 homolog, cytochrome c oxidase assembly protein
2.1	PIGB	phosphatidylinositol glycan, class B
2.1	KCTD12	potassium channel tetramerisation domain containing 12
2.1	VEGF	vascular endothelial growth factor
2.1	TANK	TRAF family member-associated NFKB activator
2.1	MAPK13	mitogen-activated protein kinase 13
2.1	NCDN	neurochondrin
2.1	POLR1C	polymerase (RNA) I polypeptide C
2.1	NSDHL	NAD(P) dependent steroid dehydrogenase-like
2.1	TFPI2	tissue factor pathway inhibitor 2
2.1	ZNF354A	zinc finger protein 354A
2.1	MMP1	matrix metalloproteinase 1
2.1	HS2ST1	heparan sulfate 2-O-sulfotransferase 1
2.1	TUSC2	tumor suppressor candidate 2
2.1	MYC	v-myc myelocytomatosis viral oncogene homolog
2.1	STXBP1	syntaxin binding protein 1
2.1	ATP6V1A	ATPase, H+ transporting, V1 subunit A
2.1	PSAP	prosaposin
2.1	KCTD13	potassium channel tetramerisation domain containing 13
2.1	Bit1	Bcl-2 inhibitor of transcription
2.1	FLJ11196	acheron
2.1	RAB22A	RAB22A
2.1	PFDN2	prefoldin 2
2.1	BEX1	brain expressed, X-linked 1
2.1	FXC1	fracture callus 1 homolog
2.1	SOD2	superoxide dismutase 2
2.1	CD44	CD44 antigen
2.1	ZNF394	zinc finger protein 394
2.1	NEDD4L	neural precursor cell expressed, developmentally down-regulated 4-like
2.1	BID	BH3 interacting domain death agonist
2.1	CTAG1	cancer/testis antigen 1
2.1	SC5DL	sterol-C5-desaturase-like
2.1	GRN	granulin
2.1	STK4	serine/threonine kinase 4
2.1	HSPA4	heat shock protein 4
2.1	HIPK3	homeodomain interacting protein kinase 3
2.1	ASS	argininosuccinate synthetase
2.1	PHKA1	phosphorylase kinase, alpha 1
2.1	SLC25A20	solute carrier family 25, member 20
2.1	TUSC4	tumor suppressor candidate 4
2.1	YES1	v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1
2.1	RNMT	RNA (guanine-7-) methyltransferase
2.1	FVT1	follicular lymphoma variant translocation 1
2.1	PLEKHB2	pleckstrin homology domain containing, family B member 2
2.1	DHCR24	24-dehydrocholesterol reductase
2.1	BMP2K	BMP2 inducible kinase
2.0	ANTXR1	anthrax toxin receptor 1
2.0	UXS1	UDP-glucuronate decarboxylase 1
2.0	ACP6	lysophosphatidic acid phosphatase
2.0	SAV1	salvador homolog 1
2.0	DHX32	DEAH (Asp-Glu-Ala-His) box polypeptide 32
2.0	TRIB3	tribbles homolog 3
2.0	UBE2H	ubiquitin-conjugating enzyme E2H
2.0	CTAG2	cancer/testis antigen 2
2.0	EMS1	ems1 sequence
2.0	DCBLD2	discoidin, CUB and LCCL domain containing 2
2.0	SLC5A3	solute carrier family 5, member 3
2.0	FBXL14	F-box and leucine-rich repeat protein 14
2.0	MT	malonyl-CoA:acyl carrier protein transacylase
2.0	GNS	glucosamine (N-acetyl)-6-sulfatase
2.0	PTPRO	protein tyrosine phosphatase, receptor type, O
2.0	POSTN	periostin, osteoblast specific factor
2.0	RUNX1	runt-related transcription factor 1
2.0	HIST1H2BE	histone 1, H2be
2.0	GLRX	glutaredoxin
2.0	IL13RA2	interleukin 13 receptor, alpha 2
2.0	STAT4	signal transducer and activator of transcription 4
2.0	MTF1	metal-regulatory transcription factor 1
2.0	CCR1	chemokine (C-C motif) receptor 1
2.0	SLC26A2	solute carrier family 26, member 2
2.0	SRPX	sushi-repeat-containing protein, X-linked
2.0	IDI1	isopentenyl-diphosphate delta isomerase
2.0	PPID	peptidylprolyl isomerase D
2.0	MAD2L1BP	MAD2L1 binding protein
2.0	HIS1	HMBA-inducible
2.0	LAMC2	laminin, gamma 2
2.0	SHC1	SHC transforming protein 1
2.0	IFI30	interferon, gamma-inducible protein 30
2.0	ATP6V1B2	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B, isoform 2
