IMAGE Clone	GENES	HBL100	BT474	MCF7	MDA MB-134	Kato-III	Yusit-1	Function
72152	GRB2: Growth Factor Receptor Bound Protein 2	3.5	2	4	6.6	8.1	2.5	Cytoplasmic Substrates
142760	RAC2: ras-related C3 botulinum toxin substrate 2	3.7	0.5	3.7	16	4	2.4	Cytoplasmic Substrates
153548	SHC: SHC Transforming Proteins 46.8 kD and 51.7 kD	2.3	0.6	1.7	1.2	2.8	1.5	Cytoplasmic Substrates
195800	CDK4: Cell Division Protein Kinase 4	8.2	2.9	7.6	7.6	9.1	10.6	Cell Cycle Control Genes
232941	PCNA: Proliferating Cell Nuclear antigen	35.4	61	13.5	31.3	44.5	13.6	Cell Cycle Control Genes
205314	P53	42.5	158.3	45	93.8	130.2	91.9	Tumor Suppressor Genes
141924	E6/AP: E6 Associated Protein	4.8	6.7	2.8	7.5	5	3	Tumor Suppressor Associated Genes
115176	GADD45: Growth Arrest and DNA-Damage-Inducible Protein GADD45	42.8	23.7	8.4	57.1	19.9	12.5	Tumor Suppressor Associated Genes
179197	PHOSPHATASE 2A: Protein Phosphatase PP2A, 55 kD Regulatory Subunit, Neuronal Isoform	0.1	0.8	0.9	1.7	0	0	Phosphatases
161451	T CELL PHOSPHATASE: T-Cell Protein-Tyrosine Phosphatase	1.6	3.5	0.9	0.9	3.3	1.8	Phosphatases
214008	E-CADHERIN: Epithelial Cadherin Precursor	0.4	18.9	10.4	0.7	3.6	3.7	Adhesion Extracellular Matrix and related Genes
186132	E-SELECTIN/ELAM: E-Selectin Precursor	2.4	1.6	1.8	4.3	3.3	2.6	Adhesion Extracellular Matrix and related Genes
182431	INTEGRIN a 6: Integrin Alpha-6 Precursor	1	0.8	0.9	2	2.3	0.8	Adhesion Extracellular Matrix and related Genes
199837	LAMININ-R: Laminin Receptor	130	52.9	61.6	93.8	236.9	93.2	Adhesion Extracellular Matrix and related Genes
124340	TENASCIN: Tenascin Fibrinogen-like Protein	0.9	0.4	1.1	1.1	1.6	0.7	Adhesion Extracellular Matrix and related Genes
208118	TGFbRIII: Transforming Growth Factor Beta Receptor Type III Precursor	0.4	0	0.2	0	0.7	0.8	Proteoglycans
153854	DESMIN	0.4	0	0.7	0	0	0	Cytoskeleton Associated Genes
122743	DESMOGLEIN: Desmoglein 1 Precursor	0.1	0	0.9	0	0	0	Cytoskeleton Associated Genes
270549	ERM: Ets-Related Protein ERM	2.1	0.6	0.6	1.6	4.8	2.7	Cytoskeleton Associated Genes
124701	EZRIN	0.6	0.3	1.2	1.8	3.5	0.2	Cytoskeleton Associated Genes
193081	RADIXIN	0.6	0	1	0	0	0.3	Cytoskeleton Associated Genes
187482	TALIN: Talin (mouse)	5.2	7.2	5.7	7.3	5.4	1.9	Cytoskeleton Associated Genes
211999	TENSIN	0.5	0.3	1.2	0	0.4	0	Cytoskeleton Associated Genes
112622	CATHEPSIN B: Cathepsin B Precursor	0.5	1.5	0.9	1.9	0.5	0.4	Proteases and Protease Inhibitors
149401	CATHEPSIN D: Cathepsin D Precursor	2.6	6.9	22.5	49.4	9.6	23.5	Proteases and Protease Inhibitors
152802	PLA2: Phospholipase A2 Membrane Associated Precursor	0	3.6	0.2	0	0.8	0	Proteases and Protease Inhibitors
160149	PLAT: Tissue Plasminogen Activator Precursor	1.9	0	0.9	0	0	5.3	Proteases and Protease Inhibitors
134034	PAI1: Plasminogen Activator Inhibitor 1 Precursor, Endothelial	53.1	20.5	56.4	323.5	169.2	61.3	Proteases and Protease Inhibitors
140838	PAI2: Plasminogen Activator Inhibitor 2 Placental	0.3	0	0	0	1	0	Proteases and Protease Inhibitors
235947	STROMELYSIN-3	0	0	0	0	0	0	Proteases and Protease Inhibitors
162246	TIMP1: Metalloproteinase Inhibitor 1 Precursor	5	0.5	7	36.4	28.5	23.9	Proteases and Protease Inhibitors
131504	TIMP2: Tissue Inhibitor of Metalloproteinases 2 Precursor	3.7	1.5	2.8	10.5	8.6	6.1	Proteases and Protease Inhibitors
152782	TIMP3: Metalloproteinase Inhibitor 3 Precursor	0.2	0	0.5	0.5	1.6	0.4	Proteases and Protease Inhibitors
174388	nm23: Negative regulation of Metastase, Nucleoside Diphosphate Kinase A	6.9	10.2	10.5	11.1	23.2	5.8	Metastasis Associated Genes
120916	PHOSPHODIESTERASE I	0.1	0	0.2	0	0	1	Metastasis Associated Genes
183641	S100B: S-100 Protein, Beta	0.1	0	0.2	0	0	6.7	Metastasis Associated Genes
156720	ANGIOGENIN: Angiogenin Precursor	0.6	0.6	0.8	1.2	0.5	0.2	Angiogenesis Related Genes
156979	ENDOGLIN: Endoglin Precursor	0.6	0.3	0.4	1.1	1	0.4	Angiogenesis Related Genes
154244	ENDOTHELIN B-R: Endothelin B Receptor Precursor	0.4	0.6	2	1.4	1.2	0.6	Angiogenesis Related Genes
152992	ENDOTHELIN CONV ENZ: Endothelin Converting Enzyme 1	0.6	0.5	0.7	0.7	1.3	0.3	Angiogenesis Related Genes
121218	PF4: Platelet Factor 4 Precursor	0	0	0.1	0	1.3	0	Angiogenesis Related Genes
160963	THROMBOSPONDIN 1: Thrombospondin 1 Precursor	0.1	0	0.1	0	0	0	Angiogenesis Related Genes
231424	GSTp: Glutathione S Transferase Pi	21.1	0	0.3	0	25	12.8	Metabolism Associated Genes
159809	GLUTATHIONE PEROXYDASE	285.8	242.4	245.9	419.3	266.2	291.1	Metabolism Associated Genes
182610	MICROSOMAL GST: Microsomal Glutathione S Transferase	3.4	85.4	15.1	4.8	22.7	12.3	Metabolism Associated Genes
212366	SMRP: Multidrug Resistance-Associated Protein 1	0.2	0	0.4	0	0	0.1	Metabolism Associated Genes
125413	MUCIN 1: Mucin 1 Precursor	1.6	4.1	2.6	19.9	23.9	0.2	Breast Cancer Associated Genes
192688	GONADOLIBERIN: Gonadoliberin Precursor	6.1	3.5	3.2	2.3	4.6	1.7	Hormone Related Genes
160764	AMINOACYLASE 1	4.2	4.4	2.7	6.2	12.8	7.9	Breast Associated Genes
120649	CD2: T-Cell Surface Antigen CD2 Precursor	0	0	1.1	0	0	0	Surface Molecules
159903	CD3e: T-Cell Surface Glycoprotein CD3 Epsilon Chain Precursor	0.8	0.6	1.6	2.3	1.9	1.1	Surface Molecules
290007	CD44: CD44 Antigen, Epithelial Form Precursor	0.5	0	0.1	0	0.1	0.4	Surface Molecules
276727	CD69: Early Activation Antigen CD69	0	0	0	0	0	0	Surface Molecules
187822	LFA1: Cell Surface Adhesion Glycoproteins LFA-1	0.2	0.1	0.5	0.6	0.2	0.1	Surface Molecules
151212	TRANSFERRIN-R: Transferrin Receptor Protein	0.2	0	0.2	0	0.1	0.1	Surface Molecules
110599	P78: Putative Serine/Threonine-Protein Kinase P78	1.4	1.1	0.8	2.2	1.2	0.5	Protein Kinases
109569	PKUa: Protein Kinase U Alpha	0.7	0.3	1.3	1.2	1.1	0.7	Protein Kinases
128142	SYK: Tyrosine-Protein Kinase SYK	0.2	0.5	1	0	2.3	0.1	Protein Kinases
309943	A20: Putative DNA Binding Protein A20	2.3	0	0.3	0	0.5	1.3	Transcription Factors, Oncogenes
163031	AP2: Transcription Factor AP2	9.7	9.2	5.1	11.4	12	3.6	Transcription Factors, Oncogenes
159093	AP4: Transcription Factor AP4	0.3	0.2	1.3	0	0.2	0	Transcription Factors, Oncogenes
207378	BMYB: MYB Related Protein B	11.1	1.6	3.6	5.3	2.2	0.5	Transcription Factors, Oncogenes
248613	MYB: MYB Proto-oncogene Protein	0.6	4.5	2.2	9.7	1.6	0.5	Transcription Factors, Oncogenes
195889	BTF3: Transcription Factor BTF3	53.6	27.9	32	80.1	72.2	44.9	Transcription Factors, Oncogenes
251963	CNBP: Cellular Nucleic Acid Binding Protein	5.9	1.8	4.3	9.9	12.8	5.5	Transcription Factors, Oncogenes
153275	CRABP2: Cellular Retinoic Acid Binding Protein II	0.8	6.5	45.9	118.9	9	0.5	Transcription Factors, Oncogenes
110999	CREBP1: CAMP Response Element Binding Protein	0.4	0.2	0.7	0	0.5	0.2	Transcription Factors, Oncogenes
258584	CREM: CAMP Response Element Modulator Isoform Alpha	0.6	1	0.4	1.3	0.4	5	Transcription Factors, Oncogenes
182007	ELF1: Ets Related Transcription Factor	0.3	0	0.7	0	0	0	Transcription Factors, Oncogenes
203394	Ets Related: Ets-Related Protein 81	1.1	0.3	0.3	0	5.2	3.3	Transcription Factors, Oncogenes
198144	FLI1: ERGF Transcription Factor	1.3	0.4	0.4	0.4	0.4	0.3	Transcription Factors, Oncogenes
208717	FOS: P55-C-FOS Proto-oncogene Protein	12.8	8.8	5.8	39.1	20.3	25.8	Transcription Factors, Oncogenes
109093	GATA1: Erythroid Transcription Factor	0.3	0.1	0.3	1	0.7	0.4	Transcription Factors, Oncogenes
129757	GATA3: Trans-acting T-cell Specific Transcription Factor	0.8	3.2	26.8	80.2	0	0	Transcription Factors, Oncogenes
210731	HOXA4: Homeobox Protein HOXA4	1.6	0.4	0.5	0	0	0.2	Transcription Factors, Oncogenes
300564	HOXA5: Homeobox Protein HOXA5	0.8	0.6	2.8	3	1.3	0.3	Transcription Factors, Oncogenes
110101	ISGF3: ISGF-3 91 kDA Component=Interferon-Dependent Positive-Acting Transcription Factor	2.7	0.4	1.7	3.6	2.8	3.1	Transcription Factors, Oncogenes
153213	JUN B: Transcription Factor JUN B	10.4	6.6	3.9	11.2	5.5	2.1	Transcription Factors, Oncogenes
175421	JUN D: Transcription Factor JUN D	7.1	9.5	3.7	18.7	1.9	1.2	Transcription Factors, Oncogenes
220451	MEL18: DNA Binding Protein MEL-18	1.3	3.4	1.6	3.6	2.7	1.5	Transcription Factors, Oncogenes
130850	MXI1: MAX Interactor 1 MXI1=MAX-Interacting BHLH-ZIP Protein	10	3.6	1.8	12.9	13.4	2.2	Transcription Factors, Oncogenes
129438	MYC: MYC Proto-oncogene Protein	30.5	34.4	10.1	8.8	23.3	10.7	Transcription Factors, Oncogenes
110480	NF1A: Nuclear Factor 1 A-type	0	0	0	0	0	0	Transcription Factors, Oncogenes
246620	NFAT90: Nuclear Factor of Activating T cell Subunit p90	71.8	43.8	52.4	45.3	97.7	31.7	Transcription Factors, Oncogenes
122056	NFKB65: Transcription Factor P65	3.9	2.4	1.2	0	2.1	1.2	Transcription Factors, Oncogenes
151247	PAX3: Paired Box Protein PAX3	0.5	0.2	0.9	0	0	2.4	Transcription Factors, Oncogenes
127394	PU1: Transcription Factor PU1	3.8	1.5	2.6	5.7	4.1	4.2	Transcription Factors, Oncogenes
111461	SOX4: SOX4 Protein	2.1	13.7	2.5	39.3	5.9	1	Transcription Factors, Oncogenes
323948	SOX9: SOX9 Protein	2.1	1.7	1	0	6.4	0	Transcription Factors, Oncogenes
321329	SRF: Serum Response Factor	5.9	12.5	5.1	17.7	5.2	4	Transcription Factors, Oncogenes
301950	TREB: TREB Protein	3.4	24.5	18.3	69.8	5.6	2	Transcription Factors, Oncogenes
356763	ADENYL CYCLASE TYPE IV	0	0	0	0	0	0	Miscellaneous
160580	ANNEXIN VII	11.2	13.6	6.6	16	11.6	4.5	Miscellaneous
158892	ANNEXIN XI	10.4	11.2	4.5	10.6	47	13.7	Miscellaneous
153879	CASEIN KINASE II b: Casein Kinase 2 Beta Chain	30.1	50.9	11.3	33.9	28.7	17.6	Miscellaneous
154343	GRANZYME H: Granzyme H Precursor	0.2	0	0.1	0	0	0	Miscellaneous
182291	g ACTIN: Actin, Cytoplasmic 2	127.8	128.3	54.6	92.3	112.9	61.8	Miscellaneous
152847	GAPDH: Glyceraldehyde 3-Phosphate Deshydrogenase	259.3	358.9	291	457.2	316.3	212.6	Miscellaneous
153607	GAPDH: Glyceraldehyde 3-Phosphate Deshydrogenase	252.6	285.6	249.6	417.2	327.6	229.5	Miscellaneous
208439	NKEFB: Natural Killer Cell Enhancing Factor B	9.2	50.3	28	70.7	29	16	Miscellaneous
