Probe set	GeneSymbol	Gene Title	rank	Parametric p-value	Geom mean neg	Geom mean pos	FC neg/pos
1559101_at	FYN	FYN oncogene related to SRC, FGR, YES	227	1.09E-03	26	11.7	2.22
1566446_at	KLF12	Kruppel-like factor 12	164	7.39E-04	32.5	14.7	2.21
241751_at	OFD1	oral-facial-digital syndrome 1	152	6.84E-04	14.4	6.6	2.18
223287_s_at	FOXP1	forkhead box P1	201	9.54E-04	136.2	62.6	2.17
224837_at	FOXP1	forkhead box P1	50	1.82E-04	209.7	96.5	2.17
228370_at	SNRPN	Small nuclear ribonucleoprotein polypeptide N	23	7.84E-05	26.3	12.1	2.17
219233_s_at	GSDML	gasdermin-like	146	6.45E-04	64.5	29.8	2.16
212641_at	HIVEP2	human immunodeficiency virus type I enhancer binding protein 2	256	1.21E-03	77.1	35.8	2.15
236417_at	MFN1	Mitofusin 1	192	9.18E-04	14.2	6.6	2.15
230747_s_at	C18orf17	Chromosome 18 open reading frame 17	211	1.01E-03	28.4	13.3	2.13
214093_s_at	FUBP1	far upstream element (FUSE) binding protein 1	209	1.01E-03	129.7	61.4	2.11
238043_at	ARID1B	AT rich interactive domain 1B (SWI1-like)	299	1.40E-03	48.5	22.9	2.11
239171_at	ADD3	Adducin 3 (gamma)	169	7.66E-04	29.7	14.1	2.1
229145_at	C10orf104	chromosome 10 open reading frame 104	156	7.04E-04	156.4	74.9	2.08
227552_at	SEP01	septin 1	111	4.99E-04	193.2	93.1	2.07
229844_at		Transcribed locus	188	8.77E-04	21	10.3	2.03
226153_s_at	CNOT6L	CCR4-NOT transcription complex, subunit 6-like	401	1.98E-03	299.1	148.8	2.01
244265_at	DKFZp566H0824	Hypothetical protein DKFZp566H0824	318	1.49E-03	11.1	5.5	2.01
230529_at	HECA	headcase homolog (Drosophila)	369	1.79E-03	27.1	13.5	2
233219_at		---	108	4.79E-04	22.4	11.2	2
202741_at	PRKACB	protein kinase, cAMP-dependent, catalytic, beta	215	1.03E-03	581.8	291.7	1.99
1554456_a_at	LINS1	lines homolog 1 (Drosophila)	225	1.07E-03	55.6	28.1	1.97
209760_at	KIAA0922	KIAA0922 protein	80	3.47E-04	202.6	102.5	1.97
225768_at	NR1D2	nuclear receptor subfamily 1, group D, member 2	347	1.66E-03	31.9	16.3	1.95
228953_at	KIAA1971	similar to junction-mediating and regulatory protein p300 JMY	19	6.88E-05	42.7	22	1.94
225176_at		MSTP146 (MST146)	338	1.58E-03	336.1	176.7	1.9
224579_at	SLC38A1	Solute carrier family 38, member 1	25	8.36E-05	502.8	265.5	1.89
236367_at		---	180	8.22E-04	16.7	8.8	1.89
212672_at	ATM	ataxia telangiectasia mutated (includes complementation groups A, C and D)	147	6.57E-04	186.7	99.5	1.87
214042_s_at	RPL22	ribosomal protein L22	141	6.34E-04	957	513.8	1.86
226412_at	C6orf111	chromosome 6 open reading frame 111	275	1.29E-03	69.9	37.9	1.84
201700_at	CCND3	cyclin D3	329	1.55E-03	350.6	190.7	1.83
218870_at	ARHGAP15	Rho GTPase activating protein 15	252	1.18E-03	492.9	268.9	1.83
206241_at	KPNA5	karyopherin alpha 5 (importin alpha 6)	348	1.67E-03	11.1	6.1	1.82
239231_at		CDNA FLJ41910 fis, clone PEBLM2007834	236	1.12E-03	193.7	106.4	1.82
214790_at	SENP6	SUMO1/sentrin specific peptidase 6	120	5.49E-04	18.3	10.1	1.81
219112_at	RAPGEF6	Rap guanine nucleotide exchange factor (GEF) 6	366	1.78E-03	15.1	8.3	1.81
1560156_at		Homo sapiens, clone IMAGE:5735420, mRNA	69	2.76E-04	34.1	18.9	1.8
222306_at	MGC61571	Hypothetical protein MGC61571	193	9.18E-04	20.4	11.3	1.8
230375_at	C6orf111	chromosome 6 open reading frame 111	53	2.10E-04	20.9	11.6	1.8
235674_at		Transcribed locus, moderately similar to NP_056011.2 KIAA0922 protein [Homo sapiens]	374	1.82E-03	44.5	24.8	1.79
226312_at	AVO3	TORC2-specific protein AVO3	396	1.97E-03	160.6	90.2	1.78
226999_at	RNPC3	RNA-binding region (RNP1, RRM) containing 3	334	1.57E-03	19.5	10.9	1.78
222133_s_at	PHF20L1	PHD finger protein 20-like 1	357	1.72E-03	54.8	31.1	1.76
234785_at		---	212	1.01E-03	11.8	6.7	1.76
218802_at	FLJ20647	hypothetical protein FLJ20647	59	2.37E-04	190.3	108.5	1.75
226975_at	RNPC3	RNA-binding region (RNP1, RRM) containing 3	153	6.85E-04	58.4	34.1	1.71
230200_at	NSUN6	NOL1/NOP2/Sun domain family, member 6	234	1.12E-03	27.4	16	1.71
243819_at	GNG2	Guanine nucleotide binding protein (G protein), gamma 2	91	4.15E-04	15.1	8.8	1.71
227407_at	FLJ90013	hypothetical protein FLJ90013	18	6.30E-05	85.2	50	1.7
1558740_s_at	DUSP16	Dual specificity phosphatase 16	291	1.37E-03	28.2	16.8	1.67
210555_s_at	NFATC3	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3	137	6.24E-04	228.6	136.5	1.67
206652_at	ZMYM5	zinc finger, MYM-type 5	166	7.44E-04	12.3	7.4	1.66
212579_at	SMCHD1	structural maintenance of chromosomes flexible hinge domain containing 1	95	4.23E-04	47.5	28.5	1.66
201368_at	ZFP36L2	zinc finger protein 36, C3H type-like 2	68	2.71E-04	668	404.2	1.65
223190_s_at	MLL5	myeloid/lymphoid or mixed-lineage leukemia 5 (trithorax homolog, Drosophila)	183	8.50E-04	281.2	176.4	1.59
225508_at	KIAA1468	KIAA1468	310	1.45E-03	69.9	43.8	1.59
233664_at	ARFRP2	ADP-ribosylation factor related protein 2	160	7.19E-04	15.3	9.6	1.59
226659_at	DEF6	differentially expressed in FDCP 6 homolog (mouse)	298	1.40E-03	200.7	126.7	1.58
224664_at	C10orf104	chromosome 10 open reading frame 104	48	1.69E-04	637.6	404.2	1.57
232681_at	PSIP1	PC4 and SFRS1 interacting protein 1	353	1.70E-03	76.2	48.3	1.57
209430_at	BTAF1	BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, 170kDa (Mot1 homolog, S. cerevisiae)	269	1.27E-03	151.9	97	1.56
203286_at	RNF44	ring finger protein 44	213	1.03E-03	164	105.5	1.55
211704_s_at	SPIN2///SPIN2	spindlin family, member 2 /// spindlin family, member 2 /// spindlin-like protein 2 /// spindlin-like protein 2	247	1.17E-03	29.6	19	1.55
213042_s_at	ATP2A3	ATPase, Ca++ transporting, ubiquitous	400	1.98E-03	36.2	23.7	1.52
228125_at	ZNF397	Zinc finger protein 397	277	1.30E-03	35.6	23.3	1.52
1554465_s_at	ZNF673	zinc finger protein 673	43	1.55E-04	11.2	7.4	1.51
213483_at	PPWD1	peptidylprolyl isomerase domain and WD repeat containing 1	305	1.43E-03	154.3	102.1	1.51
225506_at	KIAA1468	KIAA1468	268	1.27E-03	93.6	61.9	1.51
223119_s_at	USP47	ubiquitin specific peptidase 47	54	2.15E-04	33.2	22.3	1.48
244429_at	LOC387872	hypothetical gene supported by BC044741	331	1.56E-03	58.1	39.4	1.47
64432_at	FLJ39616	apoptosis-related protein PNAS-1	44	1.58E-04	26.1	17.7	1.47
209486_at	SAS10	disrupter of silencing 10	103	4.57E-04	195.3	133.7	1.46
221293_s_at	DEF6	differentially expressed in FDCP 6 homolog (mouse)	280	1.32E-03	93.9	64.3	1.46
232007_at	AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)	9	3.59E-05	10.1	6.9	1.46
201152_s_at	MBNL1	muscleblind-like (Drosophila)	220	1.06E-03	1195.5	823.9	1.45
213603_s_at	RAC2	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)	257	1.22E-03	1969.4	1350.2	1.45
200888_s_at	RPL23	ribosomal protein L23	386	1.89E-03	3059.5	2134	1.43
224599_at	CGGBP1	CGG triplet repeat binding protein 1	253	1.19E-03	522.5	365.1	1.43
226862_at	MBD1	methyl-CpG binding domain protein 1	222	1.06E-03	43.3	30.2	1.43
244470_at	RNF12	Ring finger protein 12	372	1.80E-03	13.5	9.5	1.42
209539_at	ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6	60	2.40E-04	299.7	215.4	1.39
229573_at		Transcribed locus, weakly similar to NP_009083.1 zinc finger protein 195 [Homo sapiens]	289	1.37E-03	18.5	13.4	1.38
222669_s_at	SBDS	Shwachman-Bodian-Diamond syndrome	214	1.03E-03	263.1	194	1.35
200038_s_at	RPL17	ribosomal protein L17 /// ribosomal protein L17	342	1.61E-03	4607.8	3463.4	1.33
222389_s_at	WAC	WW domain containing adaptor with coiled-coil	263	1.24E-03	498	372.1	1.33
208720_s_at	RNPC2	RNA-binding region (RNP1, RRM) containing 2	208	1.01E-03	618.4	472.9	1.3
65630_at	TMEM80	transmembrane protein 80	251	1.18E-03	15.4	12.3	1.25
208757_at	TMED9	transmembrane emp24 protein transport domain containing 9	240	1.12E-03	150.6	176.8	0.85
221819_at	RAB35	RAB35, member RAS oncogene family	393	1.93E-03	83.6	97.5	0.85
32029_at	PDPK1	3-phosphoinositide dependent protein kinase-1	182	8.37E-04	25.4	30	0.84
1560883_s_at		MRNA fragment APT-L12	51	1.98E-04	10.8	12.9	0.83
200065_s_at	ARF1	ADP-ribosylation factor 1 /// ADP-ribosylation factor 1	284	1.34E-03	932.8	1120.1	0.83
208037_s_at	MADCAM1	mucosal vascular addressin cell adhesion molecule 1	370	1.79E-03	9.3	11.2	0.83
1554977_at	LOC198437	bA299N6.3	254	1.20E-03	12.5	15.2	0.82
1569679_at	CDH22	cadherin-like 22	271	1.28E-03	29.6	36	0.82
205812_s_at	TMED9	transmembrane emp24 protein transport domain containing 9	262	1.24E-03	411.3	501.6	0.82
203363_s_at	KIAA0652	KIAA0652 gene product	375	1.83E-03	51.3	63.1	0.81
1566830_at	LOC440028	hypothetical gene supported by BC040853	321	1.50E-03	10.1	12.6	0.8
1558066_s_at	TBC1D16	TBC1 domain family, member 16	4	1.57E-05	8.3	10.4	0.79
217716_s_at	SEC61A1	Sec61 alpha 1 subunit (S. cerevisiae)	75	3.02E-04	181.1	228.6	0.79
1557774_at	RAB17	RAB17, member RAS oncogene family	392	1.92E-03	9.9	12.7	0.78
217898_at	C15orf24	chromosome 15 open reading frame 24	158	7.06E-04	293.5	373.3	0.78
237607_at	ADORA2B	Adenosine A2b receptor	176	8.09E-04	9.6	12.3	0.78
1552295_a_at	SLC39A13	solute carrier family 39 (zinc transporter), member 13	109	4.82E-04	20.9	26.9	0.77
1555590_a_at	GATA1	GATA binding protein 1 (globin transcription factor 1)	283	1.33E-03	14.4	18.7	0.77
1569144_a_at	MGC59937	Similar to RIKEN cDNA 2310002J15 gene	378	1.85E-03	9.9	12.8	0.77
233378_at	RUFY1	RUN and FYVE domain containing 1	314	1.48E-03	10.6	13.6	0.77
236667_at	LOC144404	hypothetical LOC144404	131	5.95E-04	14.4	18.7	0.77
239530_at	ADD2	Adducin 2 (beta)	397	1.97E-03	9.3	12	0.77
1553222_at	OXER1	oxoeicosanoid (OXE) receptor 1	177	8.10E-04	33.3	43.8	0.76
1559995_at	LOC201191	Hypothetical protein LOC201191	142	6.35E-04	33.7	43.9	0.76
1563243_at		MRNA; cDNA DKFZp434M242 (from clone DKFZp434M242)	345	1.63E-03	12.5	16.4	0.76
233572_s_at	BCORL1	BCL6 co-repressor-like 1	132	5.97E-04	8	10.4	0.76
233983_at	TGM6	transglutaminase 6	217	1.04E-03	14.3	18.8	0.76
1553826_a_at	LOC146325	similar to hypothetical protein FLJ13841	229	1.10E-03	12.6	16.6	0.75
1562449_s_at		Homo sapiens, clone IMAGE:5170410, mRNA	143	6.40E-04	9.9	13.1	0.75
1570055_at	LOC554175	hypothetical LOC554175	82	3.59E-04	12.1	16.1	0.75
213847_at	PRPH	peripherin	149	6.63E-04	8.3	11	0.75
221407_at	CX36	connexin-36	123	5.61E-04	12	15.9	0.75
231338_at	NUT	nuclear protein in testis	389	1.90E-03	8.5	11.2	0.75
1555470_a_at	PPM1F	protein phosphatase 1F (PP2C domain containing)	313	1.47E-03	14.9	20.1	0.74
1556291_at	DKFZp564N2472	hypothetical protein DKFZp564N2472	266	1.26E-03	34.1	46	0.74
223552_at	LRRC4	leucine rich repeat containing 4	391	1.90E-03	9.4	12.7	0.74
31846_at	RHOD	ras homolog gene family, member D	47	1.65E-04	59.3	79.4	0.74
1558584_at	UBL4B	ubiquitin-like 4B	29	9.80E-05	7.8	10.6	0.73
121_at	PAX8	paired box gene 8	125	5.65E-04	23.4	32.4	0.72
1553262_a_at	UTS2R	urotensin 2 receptor	336	1.58E-03	14.6	20.3	0.71
1561243_at	FLJ38792	hypothetical protein FLJ38792	98	4.33E-04	29.3	41.7	0.7
1566956_at	OR7E104P	olfactory receptor, family 7, subfamily E, member 104 pseudogene	102	4.41E-04	39.6	56.5	0.7
219054_at	FLJ14054	hypothetical protein FLJ14054	33	1.08E-04	7.8	11	0.7
239395_at	LOC285620	hypothetical protein LOC285620	293	1.38E-03	10	14.1	0.7
38703_at	DNPEP	aspartyl aminopeptidase	258	1.22E-03	118	168.3	0.7
1555697_at	KLK4	kallikrein 4 (prostase, enamel matrix, prostate)	35	1.14E-04	12.9	18.7	0.69
218909_at	RPS6KC1	ribosomal protein S6 kinase, 52kDa, polypeptide 1	170	7.67E-04	30	43.2	0.69
219783_at	C2orf18	chromosome 2 open reading frame 18	319	1.50E-03	10.2	14.6	0.69
44654_at	G6PC3	glucose 6 phosphatase, catalytic, 3	306	1.44E-03	137.1	196.2	0.69
224794_s_at	CEECAM1	cerebral endothelial cell adhesion molecule 1	276	1.29E-03	13	19	0.68
37022_at	PRELP	proline/arginine-rich end leucine-rich repeat protein	71	2.79E-04	13.6	19.9	0.68
1556852_a_at		CDNA FLJ33171 fis, clone ADRGL2000644	28	9.13E-05	8	11.9	0.67
1556507_at		CDNA clone IMAGE:5267328	175	8.08E-04	23.8	36.6	0.65
209745_at	COQ7	coenzyme Q7 homolog, ubiquinone (yeast)	26	8.43E-05	11.2	17	0.65
202030_at	BCKDK	branched chain ketoacid dehydrogenase kinase	89	4.15E-04	56.7	87.8	0.64
230448_at	MGC15523	hypothetical protein MGC15523	281	1.33E-03	22.5	35.2	0.63
206838_at	TBX19	T-box 19	32	1.04E-04	17.3	27.6	0.62
1554429_a_at	DMWD	dystrophia myotonica-containing WD repeat motif	38	1.20E-04	22.9	37.1	0.61
1773_at	FNTB	farnesyltransferase, CAAX box, beta	349	1.68E-03	10.7	17.3	0.61
212598_at	WDFY3	WD repeat and FYVE domain containing 3	16	5.79E-05	7.5	12.2	0.61
222654_at	IMPAD1	inositol monophosphatase domain containing 1	126	5.72E-04	13.5	21.8	0.61
226120_at	TTC8	tetratricopeptide repeat domain 8	324	1.53E-03	7.6	12.4	0.61
230172_at	FAM14B	Family with sequence similarity 14, member B	144	6.41E-04	38.3	62.5	0.61
209000_s_at	SEP08	septin 8	340	1.59E-03	15.3	26.1	0.58
228500_at	THAP8	THAP domain containing 8	232	1.11E-03	15.4	26.6	0.57
1555041_a_at	NAGA	N-acetylgalactosaminidase, alpha-	304	1.43E-03	104.5	185.6	0.56
226187_at	CDS1	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1	64	2.50E-04	6.4	11.3	0.56
200782_at	ANXA5	annexin A5	317	1.49E-03	379.8	688.8	0.55
200621_at	CSRP1	cysteine and glycine-rich protein 1	286	1.34E-03	150.2	275.3	0.54
202943_s_at	NAGA	N-acetylgalactosaminidase, alpha-	210	1.01E-03	83.1	151.5	0.54
218418_s_at	ANKRD25	ankyrin repeat domain 25	363	1.76E-03	21.8	44.3	0.49
201095_at	DAP	death-associated protein	406	2.00E-03	93.8	191.8	0.48
218189_s_at	NANS	N-acetylneuraminic acid synthase (sialic acid synthase)	148	6.58E-04	121.3	248.7	0.48
203411_s_at	LMNA	lamin A/C	55	2.22E-04	90	193.7	0.46
220094_s_at	C6orf79	chromosome 6 open reading frame 79	290	1.37E-03	102.7	238.9	0.43
1554600_s_at	LMNA	lamin A/C	8	3.26E-05	51.3	123.6	0.41
212606_at	WDFY3	WD repeat and FYVE domain containing 3	238	1.12E-03	21.1	51.5	0.41
202085_at	TJP2	tight junction protein 2 (zona occludens 2)	122	5.55E-04	73.7	181.8	0.4
201403_s_at	MGST3	microsomal glutathione S-transferase 3	6	2.07E-05	240.1	615.5	0.39
209234_at	KIF1B	kinesin family member 1B	197	9.37E-04	26.4	67.1	0.39
238022_at		Hypothetical gene supported by AF275804	189	8.77E-04	6.1	21.7	0.28
203819_s_at	IMP3	IGF-II mRNA-binding protein 3	228	1.10E-03	12.3	45.7	0.26
212602_at	WDFY3	WD repeat and FYVE domain containing 3	145	6.45E-04	15.9	67.2	0.23
203820_s_at	IMP3	IGF-II mRNA-binding protein 3	24	8.06E-05	6.9	33.4	0.2
238021_s_at	LOC388279	hypothetical gene supported by AF275804	295	1.40E-03	5.9	35.9	0.16
220358_at	SNFT	Jun dimerization protein p21SNFT	57	2.33E-04	86.1	633.5	0.13
