Feature	Agilent probe	Gene symbol	Gene description	regulation in current- versus ex-smokers (bronchus)	regulation in SCC versus ex smokers (bronchus)	regulation in SCC versus current smokers (bronchus)
15798	A_24_P52882	HRK	harakiri, BCL2 interacting protein (contains only BH3 domain) (HRK), mRNA [NM_003806]	up	NA	NA
28152	A_23_P212469	ENTPD3	ectonucleoside triphosphate diphosphohydrolase 3 (ENTPD3), mRNA [NM_001248]	up	NA	NA
40925	A_23_P44993	TALDO1	transaldolase 1 (TALDO1), mRNA [NM_006755]	up	NA	NA
44239	A_23_P129903	TRIM16	tripartite motif-containing 16 (TRIM16), mRNA [NM_006470]	up	NA	NA
694	A_23_P77455	FAM96B	family with sequence similarity 96, member B (FAM96B), mRNA [NM_016062]	up	NA	down
2027	A_23_P360215	POLD4	polymerase (DNA-directed), delta 4 (POLD4), mRNA [NM_021173]	up	NA	down
7211	A_23_P169197	HSDL2	hydroxysteroid dehydrogenase like 2 (HSDL2), mRNA [NM_032303]	up	NA	down
11070	A_24_P75778	LOC392005	PREDICTED: similar to 60S ribosomal protein L7a (Surfeit locus protein 3) (LOC392005), mRNA [XR_018051]	up	NA	down
14314	A_23_P144384	GALNT7	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GALNT7), mRNA [NM_017423]	up	NA	down
14653	A_23_P128744	BDKRB1	bradykinin receptor B1 (BDKRB1), mRNA [NM_000710]	up	NA	down
16157	A_24_P933319	RAB3B	Ras-related protein Rab-3B. [Source:Uniprot/SWISSPROT;Acc:P20337] [ENST00000371655]	up	NA	down
16809	A_23_P54373	RAB27A	RAB27A, member RAS oncogene family (RAB27A), transcript variant 1, mRNA [NM_004580]	up	NA	down
16875	A_24_P680548	CN272797	CN272797 17000600009278 GRN_PREHEP cDNA 5, mRNA sequence [CN272797]	up	NA	down
16936	A_23_P133606	SLC12A2	solute carrier family 12 (sodium/potassium/chloride transporters), member 2 (SLC12A2), mRNA [NM_001046]	up	NA	down
17157	A_24_P261032	RDH10	retinol dehydrogenase 10 (all-trans) (RDH10), mRNA [NM_172037]	up	NA	down
17346	A_23_P8801	CYP3A5	cytochrome P450, family 3, subfamily A, polypeptide 5 (CYP3A5), mRNA [NM_000777]	up	NA	down
19486	A_23_P121716	ANXA3	annexin A3 (ANXA3), mRNA [NM_005139]	up	NA	down
22622	A_23_P379864	ASRGL1	asparaginase like 1, mRNA (cDNA clone IMAGE:3952485), complete cds. [BC006267]	up	NA	down
25367	A_24_P208045	EDEM3	ER degradation enhancer, mannosidase alpha-like 3 (EDEM3), mRNA [NM_025191]	up	NA	down
26007	A_23_P134663	BAALC	brain and acute leukemia, cytoplasmic (BAALC), transcript variant 1, mRNA [NM_024812]	up	NA	down
28121	A_24_P374634	STAU2	cDNA FLJ11290 fis, clone PLACE1009622, weakly similar to MATERNAL EFFECT PROTEIN STAUFEN. [AK002152]	up	NA	down
29988	A_23_P311901	ATP10B	mRNA for KIAA0715 protein, partial cds. [AB018258]	up	NA	down
31286	A_24_P306814	A_24_P306814	Unknown	up	NA	down
35294	A_23_P358917	CYP3A7	cytochrome P450, family 3, subfamily A, polypeptide 7 (CYP3A7), mRNA [NM_000765]	up	NA	down
39310	A_23_P127978	B3GNT6	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6 (core 3 synthase) (B3GNT6), mRNA [NM_138706]	up	NA	down
40447	A_24_P256018	LOC729127	cDNA FLJ35099 fis, clone PLACE6006287. [AK092418]	up	NA	down
41197	A_23_P150979	SBEM	small breast epithelial mucin (SBEM), mRNA [NM_058173]	up	NA	down
4158	A_24_P743708	ENST00000358378	Mucin-5B precursor (Mucin-5 subtype B, tracheobronchial) [ENST00000358378]	up	down	down
5895	A_32_P180265	THC2538882	Q5VT28_HUMAN (Q5VT28) Family with sequence similarity 27, member B, partial (85%) [THC2538882]	up	down	down
7237	A_23_P48897	CCPG1	cell cycle progression restoration 8 protein (CPR8) mRNA, complete cds. [AF011794]	up	down	down
7369	A_23_P106617	WFDC1	WAP four-disulfide core domain 1 (WFDC1), mRNA [NM_021197]	up	down	down
8301	A_23_P108427	THC2604598	AF154107 UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 5 {Homo sapiens} partial (25%) [THC2604598]	up	down	down
8572	A_24_P192556	TOR2A	torsin family 2, member A (TOR2A), mRNA [NM_130459]	up	down	down
9205	A_23_P358714	KIAA1324	clone DNA59770 AEPG2426 (UNQ2426) mRNA, complete cds. [AY358366]	up	down	down
10252	A_23_P215419	ICA1	islet cell autoantigen 1, 69kDa (ICA1), transcript variant 2, mRNA [NM_004968]	up	down	down
11481	A_23_P68759	TFF1	trefoil factor 1 (TFF1), mRNA [NM_003225]	up	down	down
14561	A_32_P109653	THC2669092	Unknown	up	down	down
15705	A_24_P331882	KIAA1211	mRNA; cDNA DKFZp434F117 (from clone DKFZp434F117). [AL133028]	up	down	down
19502	A_23_P160154	GALE	UDP-galactose-4-epimerase (GALE), transcript variant 1, mRNA [NM_000403]	up	down	down
19653	A_24_P322771	TFF1	trefoil factor 1 (TFF1), mRNA [NM_003225]	up	down	down
19783	A_24_P917886	ENST00000358378	Mucin-5B precursor (Mucin-5 subtype B, tracheobronchial) [ENST00000358378]	up	down	down
19982	A_23_P153301	CEACAM5	carcinoembryonic antigen-related cell adhesion molecule 5 (CEACAM5), mRNA [NM_004363]	up	down	down
20900	A_23_P64372	TCN1	transcobalamin I (vitamin B12 binding protein, R binder family) (TCN1), mRNA [NM_001062]	up	down	down
21634	A_23_P206661	NQO1	NAD(P)H dehydrogenase, quinone 1 (NQO1), transcript variant 1, mRNA [NM_000903]	up	down	down
24003	A_23_P41145	FAM3D	family with sequence similarity 3, member D (FAM3D), mRNA [NM_138805]	up	down	down
24687	A_24_P548274	MUC5AC	H.sapiens (MAR11) MUC5AC mRNA for mucin (partial). [Z34282]	up	down	down
25348	A_23_P144827	FBXL7	F-box and leucine-rich repeat protein 7 (FBXL7), mRNA [NM_012304]	up	down	down
26566	A_23_P127220	DNAJC12	DnaJ (Hsp40) homolog, subfamily C, member 12 (DNAJC12), transcript variant 1, mRNA [NM_021800]	up	down	down
26735	A_23_P48350	CLDN10	claudin 10 (CLDN10), transcript variant 1, mRNA [NM_182848]	up	down	down
34148	A_23_P207213	ALDH3A1	aldehyde dehydrogenase 3 family, memberA1 (ALDH3A1), mRNA [NM_000691]	up	down	down
34768	A_23_P36018	VSIG2	V-set and immunoglobulin domain containing 2 (VSIG2), mRNA [NM_014312]	up	down	down
37806	A_24_P146683	MSMB	microseminoprotein, beta- (MSMB), transcript variant PSP94, mRNA [NM_002443]	up	down	down
38729	A_23_P75024	MSMB	microseminoprotein, beta- (MSMB), transcript variant PSP94, mRNA [NM_002443]	up	down	down
42289	A_23_P29939	SNCA	synuclein, alpha (non A4 component of amyloid precursor) (SNCA), transcript variant NACP112, mRNA [NM_007308]	up	down	down
