Accesion #	Gene Name	PCOS/NL	p-value	Function	Specific Function
AF056085	G-protein coupled receptor 51	0.44	0.0002	Signal Transduction	G-Protein Coupled Receptors
NM_018971	G-protein coupled receptor 27	0.56	0.05	Signal Transduction	G-Protein Coupled Receptors
M81778	5-hydroxytryptamine receptor 2C	0.46	0.002	Signal Transduction	G-Protein Coupled Receptors
NM_000867	5-hydroxytryptamine receptor 2B	0.49	0.013	Signal Transduction	G-Protein Coupled Receptors
NM_000674	Adenosine A1 receptor	0.52	0.019	Signal Transduction	G-Protein Coupled Receptors
NM_000676	Adenosine A2 receptor	1.87	0.024	Signal Transduction	G-Protein Coupled Receptors
NM_000843	Glutamate receptor, metabotrophic 6	0.59	0.032	Signal Transduction	G-Protein Coupled Receptors
NM_012302	Latrophilin	1.73	0.032	Signal Transduction	G-Protein Coupled Receptors
NM_138962	Musashi homolog	1.77	0.034	Signal Transduction	G-Protein Coupled Receptors
AF213460	Ephrin Receptor (EPHA3)	0.42	0.001	Signal Transduction	Tyrosine Kinase/Phosphatase Receptor
NM_006180	Neurotrophic tyrosine kinase receptor type 2	0.57	0.034	Signal Transduction	Tyrosine Kinase/Phosphatase Receptor
BG253437	Protein tyrosine phosphatase receptor C	1.77	0.023	Signal Transduction	Tyrosine Kinase/Phosphatase Receptor
NM_013315	Transmembrane phosphatase with tensin homology	0.45	0.001	Signal Transduction	Tyrosine Kinase/Phosphatase Receptor
NM_005965	Myosin light chain kinase	0.33	0.0002	Signal Transduction	Kinases
NM_021158	Chromosome 20 ORF 97	0.44	0.001	Signal Transduction	Kinases
NM_001827	cdc28 protein kinase 2 (cdk2)	1.97	0.003	Signal Transduction	Kinases
NM_004938	Death-associated protein kinase 1	1.64	0.003	Signal Transduction	Kinases
NM_006257	Protein kinase C, theta	0.61	0.046	Signal Transduction	Kinases
NM_003600	Serine/Threonine kinase 6	1.75	0.049	Signal Transduction	Kinases
BC001416	Protein phosphatase 4, catalytic subunit	3.21	0.0004	Signal Transduction	Phosphatases
NM_004576	Protein phosphatase 2A, regulatory subunit	0.51	0.024	Signal Transduction	Phosphatases
NM_002601	Phosphodiesterase 6D, cGMP specific	1.58	0.009	Signal Transduction	Phosphatases
U78516	cAMP-GEFII	2.7	0.008	Signal Transduction	Intracellular Signaling Molecules
U96750	NOEY2, ras homolog	2.9	0.0005	Signal Transduction	Intracellular Signaling Molecules
NM_004583	RAB5C, ras oncogene	2.01	0.023	Signal Transduction	Intracellular Signaling Molecules
BE504979	Wiskott-Aldrich syndrome like	2.41	0.043	Signal Transduction	Intracellular Signaling Molecules
D31885	ARF-like 6 interacting protein (KIAA0069)	2.14	0.0002	Signal Transduction	Intracellular Signaling Molecules
S67788	Adenomatous polyposis coli	0.46	0.003	Signal Transduction	Intracellular Signaling Molecules
NM_014521	SH3-domain binding protein 4	1.58	0.008	Signal Transduction	Intracellular Signaling Molecules
NM_004844	SH3-domain binding protein 5	1.52	0.035	Signal Transduction	Intracellular Signaling Molecules
NM_002661	Phospholipase C, gamma2	0.51	0.015	Signal Transduction	Intracellular Signaling Molecules
NM_024430	Pro/ser/thr phosphatase interacting protein	0.54	0.021	Signal Transduction	Intracellular Signaling Molecules
NM_005775	Vinexin beta	0.61	0.025	Signal Transduction	Intracellular Signaling Molecules
NM_005428	vav 1 oncogene (Rho family)	0.52	0.031	Signal Transduction	Intracellular Signaling Molecules
NM_006305	Nuclear phosphoprotein 32A	1.64	0.036	Signal Transduction	Intracellular Signaling Molecules
NM_022151	Modulator of apoptosis	1.4	0.041	Signal Transduction	Intracellular Signaling Molecules
NM_014688	Related to tre (N-terminal)	1.52	0.042	Signal Transduction	Intracellular Signaling Molecules
NM_005419	STAT2	1.67	0.043	Signal Transduction	Intracellular Signaling Molecules
NM_020536	CSRP2 binding protein	1.46	0.049	Signal Transduction	Intracellular Signaling Molecules
NM_016395	Butyrate-induced transcript 1	1.69	0.026	Signal Transduction	Intracellular Signaling Molecules
AA425358	Cyclophilin-like 2	3.45	0.009	Signal Transduction	Intracellular Signaling Molecules
BG502554	cdc2-like kinase associated cyclophilin	1.83	0.007	Signal Transduction	Intracellular Signaling Molecules
NM_004748	Cell cycle progression 8	0.46	0.001	Signal Transduction	Intracellular Signaling Molecules
N90191	Cyclin B1	2.48	0.022	Signal Transduction	Intracellular Signaling Molecules
NM_006703	Nudix-type motif 3	1.82	0.024	Signal Transduction	Intracellular Signaling Molecules
NM_007283	Monoglyceride lipase	0.49	0.001	Metabolism	Fatty Acid, Lipid, and Retinol Metabolism
NM_006117	Peroxisomal D3, D2 enoyl-CoA isomerase	1.39	0.033	Metabolism	Fatty Acid, Lipid, and Retinol Metabolism
NM_024306	Fatty acid hydroxylase	0.51	0.034	Metabolism	Fatty Acid, Lipid, and Retinol Metabolism
NM_001512	Glutathione S-transferase A4	1.42	0.047	Metabolism	Fatty Acid, Lipid, and Retinol Metabolism
NM_024906	Fatty acid desaturase 1	1.96	0.014	Metabolism	Fatty Acid, Lipid, and Retinol Metabolism
NM_000382	Aldehyde dehydrogenase 3, member A2	1.57	0.039	Metabolism	Fatty Acid, Lipid, and Retinol Metabolism
NM_000692	Aldehyde dehydrogenase 1, member B1	0.58	0.01	Metabolism	Fatty Acid, Lipid, and Retinol Metabolism
U89281	Retinol dehydrogenase 2 (RoDH2)	3.29	0.0004	Metabolism	Fatty Acid, Lipid, and Retinol Metabolism
U07919	Aldehyde dehydrogenase 1, member A3 (ALDH6)	1.98	0.0003	Metabolism	Fatty Acid, Lipid, and Retinol Metabolism
NM_030821	Group XII secreted phospholipase A2	1.69	0.026	Metabolism	Fatty Acid, Lipid, and Retinol Metabolism
NM_001757	Carbonyl reductase 1	1.61	0.014	Metabolism	Fatty Acid, Lipid, and Retinol Metabolism
NM_003739	3? hydroxysteroid dehydrogenase II	1.91	0.046	Metabolism	Fatty Acid, Lipid, and Retinol Metabolism
NM_001034	Ribonuclease reductase M2	3.12	0.033	Metabolism	Nucleotide Metabolism/Synthesis
NM_006452	Phosphoribosylamine imidazole carboxylase	1.38	0.045	Metabolism	Nucleotide Metabolism/Synthesis
NM_004450	Enhancer of rudimentary homolog	1.44	0.018	Metabolism	Nucleotide Metabolism/Synthesis
NM_015169	homolog of RRS-1	1.45	0.044	Metabolism	Nucleotide Metabolism/Synthesis
NM_021822	Phorbolin-like protein MDS019	1.9	0.043	Metabolism	Nucleotide Metabolism/Synthesis
NM_006877	Guanosine monophosphate reductase	1.81	0.048	Metabolism	Nucleotide Metabolism/Synthesis
NM_001071	Thymidylate synthetase	1.49	0.05	Metabolism	Nucleotide Metabolism/Synthesis
NM_002528	Nth-like 1	1.59	0.03	Metabolism	DNA Repair
NM_007370	Replication factor C	1.56	0.032	Metabolism	DNA Replication
NM_015895	Geminin	1.44	0.038	Metabolism	DNA Replication
NM_002947	Replication protein A3	1.38	0.041	Metabolism	DNA Replication
NM_018269	SIPL protein	1.49	0.032	Metabolism	DNA Replication
NM_022717	U1-snRNP binding protein homolog (70kD)	1.59	0.018	Metabolism	RNA Processing
NM_004175	Small ribonucleoprotein D3	1.39	0.043	Metabolism	RNA Processing
NM_002515	Neuro-oncological ventral antigen 1	1.38	0.045	Metabolism	RNA Processing
NM_004500 HNRPC		1.55	0.034	Metabolism	RNA Processing
NM_001673	Asparagine synthetase	0.49	0.011	Metabolism	Amino Acid Metabolism
AL354872	Cystathionase	0.5	0.003	Metabolism	Amino Acid Metabolism
NM_000320	Quinoid dihydropteridine reductase	1.51	0.028	Metabolism	Amino Acid Metabolism
M80482	Paired basic amino acid cleavage system 4	3.21	0.0004	Metabolism	Protein Modification
NM_000062	C1-inhibitor/SERPING 1	2.04	0.008	Metabolism	Protein Modification
M25915	Clusterin	2.18	0.023	Metabolism	Protein Modification
NM_000204	I factor	2.46	0.014	Metabolism	Protein Modification
NM_018413	Chondroitin 4-sulfotransferase	2.58	0.002	Metabolism	Protein Modification
NM_018371	Chondroitin-beta4N-acetylgalactosaminyltransferase	1.93	0.046	Metabolism	Protein Modification
NM_000303	Phosphomannomutase 2	1.66	0.01	Metabolism	Protein Modification
NM_000919	Peptidylglycine alpha-amidating monooxygenase	1.6	0.024	Metabolism	Protein Modification
NM_000511	Fucosyltransferase 2	0.53	0.016	Metabolism	Protein Modification
NM_006610	Mannan binding lectin serine protease 2	0.56	0.025	Metabolism	Protein Modification
NM_002970	Spermidine/spermine acetyltransferase	1.57	0.043	Metabolism	Protein Modification
NM_005084	Phospholipase A2, group VII	0.32	0.0006	Metabolism	Protein Modification
NM_020682	Cyt19 protein	1.63	0.01	Metabolism	Protein Modification
NM_005769	Carbohydrate sulfotransferase 4	0.64	0.049	Metabolism	Protein Modification
NM_004776	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase	1.55	0.05	Metabolism	Protein Modification
U79292	Membrane metalloproteinase 16	0.52	0.048	Metabolism	Protein Modification
AI433463	Membrane metallo-endopeptidase (CALLA)	0.32	0.004	Metabolism	Protein Degradation
NM_020169	Latexin protein	2.36	0.007	Metabolism	Protein Degradation
NM_005213	Cystatin A (stefin A)	0.45	0.001	Metabolism	Protein Degradation
NM_006937	SMT3 homolog 2	1.45	0.018	Metabolism	Protein Degradation
NM_014501	Ubiquitin carrier protein	1.87	0.019	Metabolism	Protein Degradation
NM_014248	Ring-box 1	1.41	0.041	Metabolism	Protein Degradation
NM_006357	Ubiquitin-conjugating enzyme E2E 3	1.38	0.041	Metabolism	Protein Degradation
NM_006665	Heparanase	1.79	0.049	Metabolism	Protein Degradation
NM_006993	Nucleophosmin/nucleoplasmin 3	2.05	0.028	Metabolism	Protein Translation
NM_001415	Eukaryotic translation initiation factor 2, 3gamma	0.52	0.03	Metabolism	Protein Translation
NM_001414	Eukaryotic translation initiation factor 2B, 1alpha	1.36	0.05	Metabolism	Protein Translation
NM_001383	Diphthamide biosynthesis like 1	1.47	0.048	Metabolism	Protein Translation
NM_017840	Mitochondrial ribosomal protein L16	1.52	0.022	Metabolism	Protein Translation
AL566962	Putative ribosomal protein S1	1.43	0.038	Metabolism	Protein Translation
NM_031903	Mitochondrial ribosomal protein L32	1.7	0.009	Metabolism	Protein Translation
NM_018997	Mitochondrial ribosomal protein S21	1.55	0.029	Metabolism	Protein Translation
NM_003315	DnaJ (HSP40) homolog	1.42	0.024	Metabolism	Intracellular Trafficking/Chaperones
NM_012437	SNARE associated protein snappin	1.76	0.027	Metabolism	Intracellular Trafficking/Chaperones
NM_002482	Nuclear autoantigenic sperm protein	1.9	0.019	Metabolism	Intracellular Trafficking/Chaperones
NM_003003	SEC-14 like	1.64	0.029	Metabolism	Intracellular Trafficking/Chaperones
NM_003273	Transmembrane 7 superfamily member 2 (SDR family)	1.77	0.047	Metabolism	Intracellular Trafficking/Chaperones
NM_001914	Cytochrome b5	1.64	0.032	Metabolism	Cholesterol Metabolism/Steroidogenesis
BC005894	Flavin monooxygenase 2	0.45	0.008	Metabolism	Cholesterol Metabolism/Steroidogenesis
NM_002084	Glutathione peroxidase 3	2.01	0.02	Metabolism	Cholesterol Metabolism/Steroidogenesis
NM_005694	COX17 (cytochrome c oxidase assembly protein)	1.53	0.034	Metabolism	Oxidation
NM_000120	Epoxide hydrolase 1	1.61	0.034	Metabolism	Oxidation
NM_002631	Phosphogluconate dehydrogenase	1.48	0.035	Metabolism	Oxidation
NM_021075	NADH dehydrogenase flavoprotein 3	1.61	0.019	Metabolism	Oxidation
NM_024014	Homeo box A6	0.24	0.0002	Nuclear Proteins	Transcription Factors
NM_002147	Homeo box B5	0.66	0.0002	Nuclear Proteins	Transcription Factors
D87811	GATA binding protein 6	2.91	0.0006	Nuclear Proteins	Transcription Factors
NM_000474	Twist homolog	0.49	0.001	Nuclear Proteins	Transcription Factors
AI569974	Odd-skipped homolog	2.08	0.003	Nuclear Proteins	Transcription Factors
NM_006193	Paired box gene 4	0.43	0.003	Nuclear Proteins	Transcription Factors
BG285616	Sal-like 2 zinc finger protein	1.62	0.009	Nuclear Proteins	Transcription Factors
NM_004078	Cysteine and glycine rich protein	0.6	0.04	Nuclear Proteins	Transcription Factors
NM_020636	Zinc finger protein 275	1.64	0.05	Nuclear Proteins	Transcription Factors
NM_001518	General transcription factor II i (BAP135)	1.52	0.015	Nuclear Proteins	Transcription Factors
NM_004805	General transcription factor II D	0.53	0.027	Nuclear Proteins	Transcription Factors
NM_000449	Regulatory factor X	1.61	0.018	Nuclear Proteins	Transcription Factors
NM_005955	Metal regulatory transcription factor 1	0.56	0.018	Nuclear Proteins	Transcription Factors
NM_015864	Chromosome 6 ORF 32 (bHLH domain)	1.92	0.021	Nuclear Proteins	Transcription Factors
NM_025174	FLJ23040 (HMG box protein)	0.57	0.035	Nuclear Proteins	Transcription Factors
NM_018200	HMG 20A	1.43	0.048	Nuclear Proteins	Transcription Factors
NM_002763	Prospero-related homeobox 1	0.54	0.021	Nuclear Proteins	Transcription Factors
NM_002467	v-Myc	1.59	0.038	Nuclear Proteins	Transcription Factors
NM_004956	Ets variant gene	0.58	0.04	Nuclear Proteins	Transcription Factors
NM_004515	Interleukin enhancer binding factor 2	1.56	0.044	Nuclear Proteins	Transcription Factors
NM_002167	Inhibitor of DNA binding 3	3.06	0.006	Nuclear Proteins	Co-Regulators
NM_001913	CCAAT displacement protein	1.42	0.039	Nuclear Proteins	Co-Regulators
NM_005870	Sin 3 associated polypeptide (18kD)	1.66	0.031	Nuclear Proteins	Co-Regulators
NM_003496	Transformation/transcription domain-associated protein	1.59	0.012	Nuclear Proteins	Co-Regulators
NM_003594	Transcription termination factor (SWI/SNF homolog)	0.56	0.04	Nuclear Proteins	Co-Regulators
NM_004964	Histone deacetylase I	1.46	0.048	Nuclear Proteins	Co-Regulators
NM_017445	H2B histone member S	2.57	0.002	Nuclear Proteins	Chromatin-Associated Proteins
NM_080593	H2B histone member A	1.75	0.024	Nuclear Proteins	Chromatin-Associated Proteins
NM_005324	H3 histone, family 3B	1.39	0.041	Nuclear Proteins	Chromatin-Associated Proteins
NM_001615	gamma-actin	0.43	0.001	Cytoskeletal Proteins	Structural Proteins
NM_001613	?-actin 2 (smooth muscle)	0.54	0.027	Cytoskeletal Proteins	Structural Proteins
NM_005159	?-actin (cardiac muscle)	0.53	0.043	Cytoskeletal Proteins	Structural Proteins
NM_001102	?-actin 1 (skeletal muscle)	0.66	0.037	Cytoskeletal Proteins	Structural Proteins
D17408	Calponin 1	0.42	0.001	Cytoskeletal Proteins	Structural Proteins
U69263	Matrilin 2	2.77	0.014	Cytoskeletal Proteins	Structural Proteins
U02520	Collagen type IV? 3	0.42	0.0006	Cytoskeletal Proteins	Structural Proteins
Y15916	Collagen type I?1	0.43	0.0009	Cytoskeletal Proteins	Structural Proteins
NM_001855	Collagen type XV?1	0.18	0.0001	Cytoskeletal Proteins	Structural Proteins
NM_021076	Neurofilament, heavy	2.41	0.012	Cytoskeletal Proteins	Structural Proteins
AL566786	Tropomyosin 2	0.48	0.001	Cytoskeletal Proteins	Structural Proteins
NM_002476	Myosin, light polypeptide 4	0.65	0.025	Cytoskeletal Proteins	Structural Proteins
NM_012334	Myosin X	1.5	0.042	Cytoskeletal Proteins	Structural Proteins
X98507	Myosin-I beta	0.62	0.05	Cytoskeletal Proteins	Structural Proteins
NM_007054	Kinesin family member 3A	0.56	0.04	Cytoskeletal Proteins	Structural Proteins
NM_001456	Filamin A alpha	0.57	0.032	Cytoskeletal Proteins	Structural Proteins
NM_005338	Huntingtin interacting protein 1	0.63	0.04	Cytoskeletal Proteins	Structural Proteins
AF094508	Dentin phosphoryn	0.57	0.045	Cytoskeletal Proteins	Structural Proteins
NM_003981	Protein regulator of cytokinesis 1	1.77	0.046	Cytoskeletal Proteins	Structural Proteins
AW662373	RPE-spondin	2.63	0.001	Cytoskeletal Proteins	Cell Adhesion Factors
NM_004684	SPARC-like 1 (mast9, hevin)	0.48	0.002	Cytoskeletal Proteins
NM_003812	A disintegrin and metalloproteinase domain 23	0.46	0.0007	Cytoskeletal Proteins
NM_004415	Desmoplakin	0.42	0.0005	Cytoskeletal Proteins
NM_001078	VCAM1	2.22	0.019	Cytoskeletal Proteins
NM_002888	Tazarotene-induced 1 (TIG1)	3.46	0.016	Cytoskeletal Proteins
NM_001797	OB-cadherin	2.04	0.001	Cytoskeletal Proteins
NM_001257	Cadherin 13 (H-cadherin)	0.57	0.041	Cytoskeletal Proteins
NM_017675	Protocadherin LKC	0.61	0.05	Cytoskeletal Proteins
NM_003637	Integrin alpha 10	0.53	0.033	Cytoskeletal Proteins
NM_005882	Macrophage erythroblast attacher	1.48	0.033	Cytoskeletal Proteins
NM_001817	Carcinoembryonic antigen-related cell adhesion 4	0.6	0.035	Cytoskeletal Proteins
NM_000296	Polycystin 1	0.64	0.048	Cytoskeletal Proteins
NM_014220	Transmembrane 4, superfamily member 1	1.9	0.012	Cell Surface Antigens
M35252	Transmembrane 4 superfamily member 3	5.19	0.0001	Cell Surface Antigens
NM_003270	Transmembrane 4, superfamily member 6	1.6	0.024	Cell Surface Antigens
NM_005139	Annexin A3	1.82	0.046	Cell Surface Antigens
NM_016579	8D6 antigen	1.79	0.027	Cell Surface Antigens
AL559122	T-cell receptor beta	0.54	0.04	Cell Surface Antigens
X54162	Leiomodin 1	0.36	0.001	Cell Surface Antigens
NM_005786	Serologically defined colon cancer antigen 33	1.69	0.014	Cell Surface Antigens
NM_017830	Ovarian carcinoma immunoreactive antigen	1.51	0.036	Cell Surface Antigens
NM_004925	Aquaporin 3	2.1	0.05	Pumps and Channels
NM_003048	Solute carrier family 9, isoform 2	0.5	0.002	Pumps and Channels
U53347	Solute carrier family 1, member 5	0.47	0.002	Pumps and Channels
NM_007231	Solute carrier family 6, member 14	0.41	0.002	Pumps and Channels
NM_021625	Vanilloid receptor osmotically activated channel	0.49	0.002	Pumps and Channels
NM_012329	Monocyte to macrophage differentiation assoc.	2.52	0.029	Pumps and Channels
NM_006387	Calcium homeostasis ER protein	1.48	0.047	Pumps and Channels
NM_018407	Integral membrane transporter-putative	1.52	0.05	Pumps and Channels
NM_005050	ATP binding cassette D4	1.44	0.03	Pumps and Channels
NM_007275	Lung cancer candidate	2.12	0.0002	Miscellaneous
NM_015474	SAM and HD domain 1 (DKFZp564A032)	2.73	0.046	Miscellaneous
NM_016275	Selenoprotein T	1.55	0.022	Miscellaneous
NM_007281	Scrapie responsive protein 1	0.62	0.042	Miscellaneous
NM_002402	Mesoderm specific transcript homolog	1.93	0.023	Miscellaneous
NM_022375	Oculomedin	0.58	0.048	Miscellaneous
NM_003776	NLS deleted in velocardiofacial syndrome	1.5	0.05	Miscellaneous
NM_032623	Ovary specific acidic protein	1.76	0.019	Miscellaneous
AI380156	Tektin	1.64	0.036	Miscellaneous
NM_016185	Hematological and neurological expressed 1	1.49	0.049	Miscellaneous
NM_023934	Hepatitis C virus core binding protein 6	1.59	0.049	Miscellaneous
AF052115	IMAGE: 3281496	0.26	0.0003	Expressed Sequence Tags
AL080169	DKFZp434C171	3.8	0.037	Expressed Sequence Tags
AW963138	EST 375211	0.48	0.002	Expressed Sequence Tags
NM_018376	FLJ11275	0.38	3 X 10^-4	Expressed Sequence Tags
AF288391	chromosome 1 ORF 24	0.24	9 X 10^-5	Expressed Sequence Tags
Z93929	clone 272E8	0.43	0.001	Expressed Sequence Tags
AA488687	IMAGE: 843101	0.35	3 X 10^-4	Expressed Sequence Tags
AL359578	DKFZp547N163	0.48	0.004	Expressed Sequence Tags
NM_025008	FLJ13544	0.5	0.002	Expressed Sequence Tags
NM_022901	FLJ21302	0.36	0.002	Expressed Sequence Tags
NM_018470	hypothalamus protein HT009	0.45	9 X 10^-4	Expressed Sequence Tags
R33964	FLJ11022	0.2	2 X 10^-4	Expressed Sequence Tags
NM_016629	Hypothetical protein	2.73	1 X 10^-6	Expressed Sequence Tags
BE968773	DKFZp564O1262	2.97	0.002	Expressed Sequence Tags
NM_018074	FLJ10374	2.88	0.014	Expressed Sequence Tags
AA868193	IMAGE: 1408295	0.49	0.006	Expressed Sequence Tags
AI570526	IMAGE: 2164171	2.11	0.002	Expressed Sequence Tags
AI754693	HBMSC_cr28hO2	2.74	2 X 10^-4	Expressed Sequence Tags
BF449053	IMAGE: 3578969	2.21	7 X 10^-4	Expressed Sequence Tags
R62424	IMAGE: 36221	2.55	0.002	Expressed Sequence Tags
AB037810	KIAA1389	2.28	0.004	Expressed Sequence Tags
BF508344	IMAGE: 308319	2.01	0.002	Expressed Sequence Tags
NM_022901	FLJ21302	0.36	0.002	Expressed Sequence Tags
N21127	IMAGE: 265383	2.13	0.002	Expressed Sequence Tags
AA811509	IMAGE: 1334284	2.03	0.007	Expressed Sequence Tags
AW068936	HBMSC_cr38fO8	2.05	5 X 10^-4	Expressed Sequence Tags
AI97874	IMAGE: 2494982	2	0.015	Expressed Sequence Tags
N66393	IMAGE: 285443	2.73	0.004	Expressed Sequence Tags
BC005997	MGC14801	3.76	0.002	Expressed Sequence Tags
AW511222	IMAGE: 2912373	0.14	5 X 10^-5	Expressed Sequence Tags
AI758223	IMAGE: 2284015	0.38	5 X 10^-4	Expressed Sequence Tags
AU145144	FLJ11615	2.46	0.007	Expressed Sequence Tags
AI343467	FLJ11041	0.39	9 X 10^-4	Expressed Sequence Tags
AA526844	FLJ22300	0.37	6 X 10^-4	Expressed Sequence Tags
AA954994	IMAGE: 1577789	0.28	3 X 10^-4	Expressed Sequence Tags
AI739035	IMAGE: 3854028	1.7	0.009	Expressed Sequence Tags
NM_016041	CGI-101	1.56	0.017	Expressed Sequence Tags
U80761	CTG26 alternative open reading frame	0.52	0.018	Expressed Sequence Tags
NM_018009	FLJ10143	1.85	0.03	Expressed Sequence Tags
NM_024111	MGC4504	0.5	0.021	Expressed Sequence Tags
AI692203	IMAGE: 4181035	1.5	0.022	Expressed Sequence Tags
NM_023927	FLJ21313	1.77	0.022	Expressed Sequence Tags
NM_018476	Brain expressed, X-linked 1	1.56	0.022	Expressed Sequence Tags
AK024456	FLJ00048	0.51	0.022	Expressed Sequence Tags
AF052103	clone 23726	0.56	0.023	Expressed Sequence Tags
NM_018210	FLJ10769	1.5	0.024	Expressed Sequence Tags
NM_015003	KIAA0855	0.54	0.025	Expressed Sequence Tags
NM_020425	DKFZp586E1923	0.58	0.028	Expressed Sequence Tags
NM_014945	KIAA0843	1.53	0.028	Expressed Sequence Tags
AL096716	DKFZp564M1462	0.58	0.029	Expressed Sequence Tags
NM_015380	CGI-51	1.64	0.03	Expressed Sequence Tags
AP_001745	Chromosome 21 ORF 25	1.57	0.03	Expressed Sequence Tags
AA365670	EST6509	0.58	0.034	Expressed Sequence Tags
AK000787	FLJ20780	0.59	0.034	Expressed Sequence Tags
NM_030917	DKFZp586K0717	1.52	0.035	Expressed Sequence Tags
AI439416	IMAGE: 2140495	0.61	0.035	Expressed Sequence Tags
NM_020686	NPD009 protein	1.78	0.036	Expressed Sequence Tags
NM_024928	FLJ22559	1.48	0.036	Expressed Sequence Tags
U79260	MGC5149	1.46	0.039	Expressed Sequence Tags
U85992	IMAGE: 35527	0.55	0.04	Expressed Sequence Tags
NM_014165	HSPC125	1.53	0.04	Expressed Sequence Tags
NM_014876	KIAA0063	1.76	0.04	Expressed Sequence Tags
BE515346	IMAGE: 3608205	0.54	0.042	Expressed Sequence Tags
D87440	KIAA0252	1.42	0.043	Expressed Sequence Tags
NM_024121	FLJ20979	1.4	0.046	Expressed Sequence Tags
AB023212	KIAA0995	0.54	0.047	Expressed Sequence Tags
NM_015883	clone 1900	0.59	0.047	Expressed Sequence Tags
NM_014896	KIAA0894	0.62	0.048	Expressed Sequence Tags
NM_024295	MGC3067	1.53	0.049	Expressed Sequence Tags
AW963217	EST375290	1.9	0.005	Expressed Sequence Tags
NM_018091	FLJ10422	1.77	0.005	Expressed Sequence Tags
AA534817	IMAGE: 926365	1.87	0.006	Expressed Sequence Tags
AW207668	KIAA1887	1.87	0.006	Expressed Sequence Tags
AI871745	IMAGE: 2342469	1.88	0.008	Expressed Sequence Tags
AI638611	KIAA1373	1.72	0.01	Expressed Sequence Tags
NM_138417	clone BC012173	1.71	0.015	Expressed Sequence Tags
AW194999	MGC21990 IMAGE: 4397794	1.94	0.017	Expressed Sequence Tags
N22766	IMAGE: 266631	1.92	0.018	Expressed Sequence Tags
AK023679	DKFZp434I0428	1.82	0.018	Expressed Sequence Tags
AI147621	MGC27171	1.68	0.019	Expressed Sequence Tags
AU151151	FLJ13536	1.63	0.02	Expressed Sequence Tags
BF735901	MGC23968 IMAGE: 4698187	1.6	0.012	Expressed Sequence Tags
AI341165	FLJ23156	1.62	0.021	Expressed Sequence Tags
AL137294	FLJ22351	1.6	0.023	Expressed Sequence Tags
BF591534	MPMGp800CO4260Q003	1.72	0.023	Expressed Sequence Tags
AV728846	clone HTCBCB08	1.88	0.024	Expressed Sequence Tags
AL539253	IMAGE: 3456382	1.8	0.024	Expressed Sequence Tags
NM_016047	CGI-110	1.57	0.025	Expressed Sequence Tags
BG283902	IMAGE: 4519597	1.62	0.028	Expressed Sequence Tags
NM_052873	MGC16028	1.61	0.028	Expressed Sequence Tags
AI890347	FLJ22785	1.73	0.028	Expressed Sequence Tags
AI992290	MGC21689 IMAGE: 4400374	1.54	0.029	Expressed Sequence Tags
BF129093	FLJ11653	1.62	0.03	Expressed Sequence Tags
AK024460	FLJ00052	1.55	0.031	Expressed Sequence Tags
AA063608	FLJ11567	1.7	0.013	Expressed Sequence Tags
BF109140	IMAGE: 3525537	1.65	0.032	Expressed Sequence Tags
AI277652	IMAGE: 1893237	1.69	0.034	Expressed Sequence Tags
