Probe set	GeneSymbol	Gene Title	Geom mean  tissue-LAI	Geom mean  tissue-PTCL unsp	Fold difference of geom means	Parametric p-value	Geom mean cell-LAI	FC LAI cell/tissue	rank
226282_at		CDNA FLJ32401 fis, clone SKMUS2000339	53	25	2.14	8.84E-04	29	0.55	632
223842_s_at	SCARA3	scavenger receptor class A, member 3	19	9	2.13	5.84E-04	7	0.37	497
219920_s_at	GMPPB	GDP-mannose pyrophosphorylase B	159	75	2.12	4.50E-06	131	0.83	45
220234_at	CA8	carbonic anhydrase VIII	12	6	2.12	5.20E-06	11	0.91	47
218002_s_at	CXCL14	chemokine (C-X-C motif) ligand 14	265	125	2.11	1.90E-03	9	0.03	929
223666_at	SNX5	Sorting nexin 5	82	39	2.11	2.31E-04	112	1.37	322
208851_s_at	THY1	Thy-1 cell surface antigen	213	101	2.1	5.00E-07	38	0.18	17
212311_at	KIAA0746	KIAA0746 protein	234	112	2.09	7.19E-04	166	0.71	567
217826_s_at	UBE2J1	ubiquitin-conjugating enzyme E2, J1 (UBC6 homolog, yeast)	285	136	2.09	1.57E-03	151	0.53	835
226051_at	SELM	selenoprotein M	308	147	2.09	1.00E-07	22	0.07	7
228186_s_at	RSPO3	R-spondin 3 homolog (Xenopus laevis)	42	20	2.09	3.07E-05	5	0.12	118
202052_s_at	RAI14	retinoic acid induced 14	118	57	2.08	2.50E-06	10	0.08	32
203058_s_at	PAPSS2	3-phosphoadenosine 5-phosphosulfate synthase 2	59	28	2.08	2.79E-04	9	0.15	355
205755_at	ITIH3	inter-alpha (globulin) inhibitor H3	23	11	2.08	1.63E-03	7	0.3	857
217823_s_at	UBE2J1	ubiquitin-conjugating enzyme E2, J1 (UBC6 homolog, yeast)	368	176	2.08	7.48E-05	156	0.42	185
40687_at	GJA4	gap junction protein, alpha 4, 37kDa (connexin 37)	37	18	2.08	5.00E-07	9	0.24	15
212771_at	C10orf38	chromosome 10 open reading frame 38	68	33	2.07	2.02E-05	14	0.2	89
224516_s_at	CXXC5	CXXC finger 5 /// CXXC finger 5	143	69	2.07	9.00E-06	50	0.35	60
204260_at	CHGB	chromogranin B (secretogranin 1)	12	6	2.06	1.35E-04	12	1	252
217825_s_at	UBE2J1	ubiquitin-conjugating enzyme E2, J1 (UBC6 homolog, yeast)	132	65	2.05	5.72E-04	54	0.41	494
232739_at	SPIB	Spi-B transcription factor (Spi-1/PU.1 related)	44	21	2.05	3.20E-06	14	0.32	36
202177_at	GAS6	growth arrest-specific 6	71	35	2.04	1.81E-05	20	0.28	83
209487_at	RBPMS	RNA binding protein with multiple splicing	48	23	2.04	1.90E-06	5	0.11	28
213194_at	ROBO1	roundabout, axon guidance receptor, homolog 1 (Drosophila)	155	76	2.04	1.30E-04	6	0.04	246
1558176_at	IGL@;IGLC1;IGLC2;IGLV325;IGLV214;IGLJ3	immunoglobulin lambda locus /// immunoglobulin lambda constant 1 (Mcg marker) /// immunoglobulin lambda constant 2 (Kern-Oz- marker) /// immunoglobulin lambda variable 3-25 /// immunoglobulin lambda variable 2-14 /// immunoglobulin lambda joining 3	25	12	2.03	2.73E-04	23	0.93	350
203887_s_at	THBD	thrombomodulin	69	34	2.03	4.94E-05	6	0.09	153
204036_at	EDG2	endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2	111	55	2.03	1.26E-04	4	0.04	245
1554474_a_at	MOXD1	monooxygenase, DBH-like 1	24	12	2.02	9.28E-05	8	0.34	207
1559065_a_at	CLEC4G	C-type lectin superfamily 4, member G	14	7	2.02	1.60E-03	6	0.43	844
204368_at	SLCO2A1	solute carrier organic anion transporter family, member 2A1	48	24	2.02	3.34E-04	8	0.17	384
203060_s_at	PAPSS2	3-phosphoadenosine 5-phosphosulfate synthase 2	161	80	2.01	1.81E-04	7	0.04	291
213170_at	GPX7	glutathione peroxidase 7	56	28	2.01	1.05E-03	35	0.62	684
219559_at	C20orf59	chromosome 20 open reading frame 59	35	17	2.01	2.94E-05	18	0.52	115
231897_at	LTB4DH	leukotriene B4 12-hydroxydehydrogenase	47	24	2.01	9.49E-05	7	0.15	209
201195_s_at	SLC7A5	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	238	119	2	7.77E-04	192	0.81	592
219416_at	SCARA3	scavenger receptor class A, member 3	43	21	2	7.00E-07	20	0.47	21
210072_at	CCL19	chemokine (C-C motif) ligand 19	3068	1539	1.99	7.91E-04	16	0.01	596
213131_at	OLFM1	olfactomedin 1	39	20	1.99	4.26E-05	6	0.15	138
218656_s_at	LHFP	lipoma HMGIC fusion partner	141	71	1.99	3.38E-04	32	0.23	389
227749_at		Transcribed locus	118	59	1.99	2.46E-04	77	0.65	331
200998_s_at	CKAP4	cytoskeleton-associated protein 4	70	35	1.98	1.51E-04	60	0.86	271
207389_at	GP1BA	glycoprotein Ib (platelet), alpha polypeptide	145	73	1.98	1.41E-04	12	0.08	260
222449_at	TMEPAI	transmembrane, prostate androgen induced RNA	26	13	1.98	2.49E-05	9	0.34	102
202369_s_at	TRAM2	translocation associated membrane protein 2	118	60	1.97	4.63E-04	31	0.26	446
223395_at	ABI3BP	ABI gene family, member 3 (NESH) binding protein	173	87	1.97	9.36E-04	6	0.03	652
203570_at	LOXL1	lysyl oxidase-like 1	97	50	1.96	7.17E-05	5	0.05	180
203888_at	THBD	thrombomodulin	66	33	1.96	6.14E-05	14	0.21	169
211126_s_at	CSRP2	cysteine and glycine-rich protein 2	102	52	1.96	3.90E-06	15	0.15	39
212775_at	OBSL1	obscurin-like 1	12	6	1.96	5.00E-07	4	0.33	16
238559_at		CDNA clone IMAGE:5266242	16	8	1.96	1.10E-04	17	1.1	229
201185_at	HTRA1	HtrA serine peptidase 1	84	43	1.95	1.28E-05	9	0.11	69
204037_at	EDG2	endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2	135	69	1.95	4.18E-05	18	0.13	136
205326_at	RAMP3	receptor (calcitonin) activity modifying protein 3	101	52	1.95	7.72E-05	13	0.13	190
212365_at	MYO1B	myosin IB	53	27	1.95	2.91E-04	25	0.47	365
226751_at	C2orf32	chromosome 2 open reading frame 32	73	37	1.95	1.02E-04	8	0.11	221
202465_at	PCOLCE	procollagen C-endopeptidase enhancer	150	77	1.94	2.17E-05	20	0.13	93
202669_s_at	EFNB2	ephrin-B2	28	15	1.94	1.21E-04	6	0.21	243
205378_s_at	ACHE	acetylcholinesterase (YT blood group)	15	8	1.94	8.13E-05	7	0.45	193
206178_at	PLA2G5	phospholipase A2, group V	10	5	1.94	8.75E-04	6	0.58	626
210674_s_at	PCDHA9;PCDHAC2;PCDHAC1;PCDHA13;PCDHA12;PCDHA11;PCDHA10;PCDHA8;PCDHA7;PCDHA6;PCDHA5;PCDHA4;PCDHA3;PCDHA2;PCDHA1	protocadherin alpha 9 /// protocadherin alpha subfamily C, 2 /// protocadherin alpha subfamily C, 1 /// protocadherin alpha 13 /// protocadherin alpha 12 /// protocadherin alpha 11 /// protocadherin alpha 10 /// protocadherin alpha 8 /// protocadherin alpha 7 /// protocadherin alpha 6 /// protocadherin alpha 5 /// protocadherin alpha 4 /// protocadherin alpha 3 /// protocadherin alpha 2 /// protocadherin alpha 1	11	6	1.94	1.40E-04	4	0.35	255
208690_s_at	PDLIM1	PDZ and LIM domain 1 (elfin)	404	210	1.92	9.10E-06	245	0.61	61
209496_at	RARRES2	retinoic acid receptor responder (tazarotene induced) 2	278	144	1.92	4.27E-04	13	0.05	431
223159_s_at	NEK6	NIMA (never in mitosis gene a)-related kinase 6	53	28	1.92	1.01E-03	8	0.15	674
1554668_a_at	C1orf179	chromosome 1 open reading frame 179	17	9	1.9	7.21E-04	5	0.3	569
202252_at	RAB13	RAB13, member RAS oncogene family	560	295	1.9	4.11E-05	37	0.07	135
227870_at	NOPE	likely ortholog of mouse neighbor of Punc E11	14	7	1.9	3.50E-04	4	0.3	395
229802_at	WISP1	WNT1 inducible signaling pathway protein 1	15	8	1.9	1.07E-04	4	0.27	225
210184_at	ITGAX	integrin, alpha X (antigen CD11C (p150), alpha polypeptide)	158	84	1.89	4.39E-04	48	0.3	438
204687_at	DKFZP564O0823	DKFZP564O0823 protein	34	18	1.88	1.17E-04	37	1.1	236
209651_at	TGFB1I1	transforming growth factor beta 1 induced transcript 1	43	23	1.87	7.25E-04	6	0.14	572
219646_at	FLJ20186	hypothetical protein FLJ20186	74	40	1.87	5.31E-05	62	0.84	156
225288_at	COL27A1	Collagen, type XXVII, alpha 1	16	9	1.87	5.75E-04	4	0.25	496
226225_at	MCC	mutated in colorectal cancers	17	9	1.87	9.53E-05	5	0.3	212
209708_at	MOXD1	monooxygenase, DBH-like 1	18	10	1.86	6.30E-04	7	0.39	522
203414_at	MMD	monocyte to macrophage differentiation-associated	230	124	1.85	1.42E-04	43	0.19	261
213592_at	AGTRL1	angiotensin II receptor-like 1	81	43	1.85	8.00E-06	15	0.19	56
222594_s_at	SPATS2	spermatogenesis associated, serine-rich 2	35	19	1.85	1.13E-04	24	0.68	232
228003_at	RAB30	RAB30, member RAS oncogene family	31	17	1.85	5.46E-05	44	1.42	159
223299_at	SEC11L3	SEC11-like 3 (S. cerevisiae)	454	246	1.84	7.53E-04	632	1.39	583
201564_s_at	FSCN1	fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus)	107	58	1.83	1.59E-03	28	0.26	841
204038_s_at	EDG2	endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2	54	29	1.83	1.69E-04	17	0.31	283
204556_s_at	DZIP1	DAZ interacting protein 1	32	18	1.83	1.75E-05	16	0.5	80
205902_at	KCNN3	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3	16	9	1.83	3.37E-04	11	0.7	388
211564_s_at	PDLIM4	PDZ and LIM domain 4	17	9	1.83	4.38E-04	7	0.41	437
212841_s_at	PPFIBP2	PTPRF interacting protein, binding protein 2 (liprin beta 2)	96	52	1.83	6.40E-05	17	0.18	170
222996_s_at	CXXC5	CXXC finger 5	66	36	1.83	1.57E-04	27	0.41	277
224469_s_at	C14orf151	chromosome 14 open reading frame 151 /// chromosome 14 open reading frame 151	23	13	1.83	2.00E-07	17	0.74	10
223316_at	CCDC3	coiled-coil domain containing 3	69	38	1.82	1.87E-03	20	0.29	921
226063_at	VAV2	vav 2 oncogene	73	40	1.82	1.00E-07	24	0.33	6
200878_at	EPAS1	endothelial PAS domain protein 1	662	364	1.81	7.30E-05	40	0.06	182
209210_s_at	PLEKHC1	pleckstrin homology domain containing, family C (with FERM domain) member 1	86	48	1.81	1.17E-03	6	0.07	725
210534_s_at	EPPB9	B9 protein	19	10	1.81	2.91E-04	12	0.65	362
215116_s_at	DNM1	dynamin 1	17	9	1.81	1.50E-03	8	0.48	820
222753_s_at	SPCS3	signal peptidase complex subunit 3 homolog (S. cerevisiae)	217	119	1.81	8.13E-04	257	1.19	605
204879_at	PDPN	podoplanin	17	9	1.8	4.56E-05	6	0.35	145
204916_at	RAMP1	receptor (calcitonin) activity modifying protein 1	27	15	1.8	5.94E-05	9	0.33	165
207836_s_at	RBPMS	RNA binding protein with multiple splicing	40	22	1.8	3.93E-05	12	0.3	133
220975_s_at	C1QTNF1	C1q and tumor necrosis factor related protein 1 /// C1q and tumor necrosis factor related protein 1	42	23	1.8	2.87E-05	15	0.36	114
230128_at	IGLC2	Immunoglobulin lambda joining 3	16	9	1.8	1.37E-03	10	0.62	799
232011_s_at	MAP1LC3A	microtubule-associated protein 1 light chain 3 alpha	64	36	1.8	1.40E-04	19	0.3	256
200644_at	MARCKSL1	MARCKS-like 1	365	204	1.79	1.77E-04	126	0.35	290
202998_s_at	LOXL2	lysyl oxidase-like 2	45	25	1.79	2.49E-04	6	0.13	333
223595_at	AD031	AD031 protein	10	6	1.78	2.62E-05	4	0.39	108
224911_s_at	DCBLD2	discoidin, CUB and LCCL domain containing 2	18	10	1.78	4.49E-05	7	0.38	144
226408_at	TEAD2	TEA domain family member 2	27	15	1.78	8.40E-06	12	0.44	59
226932_at	SSPN	Sarcospan (Kras oncogene-associated gene)	28	16	1.78	2.18E-04	8	0.28	316
266_s_at	CD24	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	34	19	1.78	1.95E-03	6	0.17	939
206574_s_at	PTP4A3	protein tyrosine phosphatase type IVA, member 3	43	24	1.77	1.48E-03	24	0.56	816
226658_at	PDPN	podoplanin	19	11	1.77	2.65E-04	6	0.31	346
227318_at		MRNA; cDNA DKFZp547G036 (from clone DKFZp547G036)	14	8	1.77	2.91E-04	7	0.52	364
234851_at	IGLC2	Immunoglobulin lambda constant 1 (Mcg marker)	10	6	1.77	1.47E-04	8	0.78	268
203868_s_at	VCAM1	vascular cell adhesion molecule 1	677	384	1.76	1.14E-03	18	0.03	716
204017_at	KDELR3	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3	21	12	1.76	4.39E-05	8	0.38	142
218358_at	MGC11256	hypothetical protein MGC11256	409	232	1.76	5.48E-05	295	0.72	160
225177_at	RAB11FIP1	RAB11 family interacting protein 1 (class I)	122	70	1.76	1.31E-04	146	1.19	248
202598_at	S100A13	S100 calcium binding protein A13	168	96	1.75	8.20E-06	21	0.12	57
203633_at	CPT1A	carnitine palmitoyltransferase 1A (liver)	215	123	1.75	4.14E-04	173	0.8	420
204904_at	GJA4	gap junction protein, alpha 4, 37kDa (connexin 37)	145	83	1.75	2.22E-05	53	0.37	95
207522_s_at	ATP2A3	ATPase, Ca++ transporting, ubiquitous	159	91	1.75	2.16E-04	100	0.63	315
212358_at	CLIPR59	CLIP-170-related protein	52	30	1.75	9.73E-05	18	0.35	216
205935_at	FOXF1	forkhead box F1	15	9	1.74	4.56E-05	5	0.33	146
