Probeset ID	Gene Title	Gene Symbol	FDR p-value                        based on paired t-test	FoldChange                  (CD15 + vs. CD15-)
1439768_x_at	sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain	Sema4f	0.0277791	-2.03075
1420859_at	protein kinase inhibitor, alpha	Pkia	0.0277791	-2.44458
1437787_at	Leucine rich repeat transmembrane neuronal 2	Lrrtm2	0.0277791	-2.36986
1423221_at	tubulin, beta 4	Tubb4	0.0277791	-2.55105
1450842_a_at	centromere protein A	Cenpa	0.0277791	1.96388
1417414_at	septin 3	12:00 AM	0.0277791	-2.07548
1449675_at	cyclin B1, related sequence 1	Ccnb1	0.0277791	2.42489
1420081_s_at	DNA segment, Chr 2, ERATO Doi 750, expressed	D2Ertd750e	0.0277791	1.8225
1441936_x_at	RIKEN cDNA 4930447M23 gene	4930447M23Rik	0.0277791	-3.05114
1425815_a_at	hyaluronan mediated motility receptor (RHAMM)	Hmmr	0.0277791	1.87896
1417529_at	RAB33A, member of RAS oncogene family	Rab33a	0.0277791	-1.86898
1431826_a_at	BR serine/threonine kinase 2	Brsk2	0.0277791	-1.81538
1418611_at	G protein-coupled receptor 162	Gpr162	0.0277791	-2.38511
1452954_at	ubiquitin-conjugating enzyme E2C	Ube2c	0.0277791	2.06699
1416407_at	phosphoprotein enriched in astrocytes 15A	Pea15a	0.0277791	-1.93642
1424482_at	Rho guanine nucleotide exchange factor (GEF7)	Arhgef7	0.0277791	-4.27704
1417667_a_at	phosphotriesterase related	Pter	0.0277791	1.94523
1448806_at	matrix metallopeptidase 24	Mmp24	0.0277791	-2.94151
1437234_x_at	protein arginine N-methyltransferase 2	Prmt2	0.0277791	-1.85335
1455556_at	Notch gene homolog 2 (Drosophila)	Notch2	0.0277791	1.8319
1456837_at	RIKEN cDNA A830007L07 gene	A830007L07Rik	0.0277791	-1.9089
1448747_at	F-box protein 32	Fbxo32	0.0277791	-2.11001
1418921_at	cell adhesion molecule 3	Cadm3	0.0277791	-2.12489
1449272_at	cell adhesion molecule 3	Cadm3	0.0277791	-2.78818
1445181_at	echinoderm microtubule associated protein like 5	Eml5	0.0277791	-1.97815
1422252_a_at	cell division cycle 25 homolog C (S. pombe)	Cdc25c	0.0277791	1.9658
1450804_at	kinesin family member 5C	Kif5c	0.0277791	-1.8352
1435489_at	hypothetical LOC552912	LOC552912	0.0277791	-2.1688
1420505_a_at	syntaxin binding protein 1	Stxbp1	0.0277791	-2.25648
1452646_at	transformation related protein 53 inducible nuclear protein 2	Trp53inp2	0.0277791	-2.00444
1434990_at	protein phosphatase 1E (PP2C domain containing)	Ppm1e	0.0277791	-1.80862
1452894_at	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D)	Elavl4	0.0279103	-2.36959
1417115_at	mitogen activated protein kinase kinase kinase 12	Map3k12	0.0280633	-2.2645
1449307_at	dysbindin (dystrobrevin binding protein 1) domain containing 1	Dbndd1	0.0280633	-2.19199
1416076_at	cyclin B1, related sequence 1	Ccnb1	0.0280633	2.18484
1440981_at	p21 (CDKN1A)-activated kinase 7	Pak7	0.0280648	-2.29759
1439293_at	cDNA sequence BC031353	BC031353	0.0280648	-1.89799
1423671_at	delta/notch-like EGF-related receptor	Dner	0.0280648	-2.24537
1456077_x_at	cell division cycle 25 homolog C (S. pombe)	Cdc25c	0.0280648	2.06039
1426959_at	3-hydroxybutyrate dehydrogenase, type 1	Bdh1	0.0280648	-2.30039
1450920_at	cyclin B2	Ccnb2	0.0280648	2.03703
1426604_at	ribonuclease L (2, 5-oligoisoadenylate synthetase-dependent)	Rnasel	0.0280648	-4.41908
1450258_a_at	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D)	Elavl4	0.0280648	-1.99021
1434558_at	WD repeat domain 47	Wdr47	0.0280648	-1.94059
1427100_at	meteorin, glial cell differentiation regulator	Metrn	0.0280648	1.98781
1447676_x_at	S100 calcium binding protein A16	S100a16	0.0280648	-2.11582
1429761_at	reticulon 1	Rtn1	0.0280648	-2.18475
1418085_at	protein kinase C, zeta	Prkcz	0.0280648	-1.85433
1420618_at	cytoplasmic polyadenylation element binding protein 4	Cpeb4	0.0280648	-2.29557
1424278_a_at	baculoviral IAP repeat-containing 5	Birc5	0.0280648	1.87139
1420995_at	plexin A3	Plxna3	0.0280648	-1.90349
1424523_at	engulfment and cell motility 1, ced-12 homolog (C. elegans)	Elmo1	0.0280648	-2.39605
1452357_at	glycoprotein Ib, beta polypeptide /// septin 5	Gp1bb /// Sept5	0.0280648	-2.2473
1422564_at	actin-like 6B	Actl6b	0.0287893	-2.45235
1423281_at	stathmin-like 2	Stmn2	0.0289129	-3.41611
1439552_at	triple functional domain (PTPRF interacting)	Trio	0.0289129	-3.17803
1442143_at	transmembrane protein 16D (eight membrane-spanning domains)	Tmem16d	0.0289129	-2.65968
1425892_a_at	prepronociceptin	Pnoc	0.0289129	-5.6908
1420858_at	protein kinase inhibitor, alpha	Pkia	0.0289129	-2.18875
1436842_at	RIKEN cDNA B230380D07 gene	B230380D07Rik	0.0289129	-2.07648
1421312_a_at	kinesin family member C2	Kifc2	0.0289129	-1.97071
1420377_at	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2	St8sia2	0.0294666	-2.2648
1455266_at	kinesin family member 5C	Kif5c	0.0296898	-2.01016
1426766_at	RIKEN cDNA 6330403K07 gene	6330403K07Rik	0.0296898	-2.32765
1427191_at	natriuretic peptide receptor 2	Npr2	0.0296898	-2.12782
1427484_at	echinoderm microtubule associated protein like 5	Eml5	0.0296898	-1.85162
1436888_at	nescient helix loop helix 2	Nhlh2	0.0296898	-2.12829
1448443_at	serine (or cysteine) peptidase inhibitor, clade I, member 1	Serpini1	0.0296898	-2.88166
1425181_at	SH3-domain GRB2-like (endophilin) interacting protein 1	Sgip1	0.0296898	-2.27982
1422018_at	human immunodeficiency virus type I enhancer binding protein 2	Hivep2	0.0296898	-2.51797
1457316_at	microtubule-associated protein 6	Mtap6	0.0299902	-3.06981
1436912_at	calcium channel, voltage-dependent, beta 4 subunit	Cacnb4	0.0301315	-1.92397
1448342_at	mitogen activated protein kinase 10	Mapk10	0.0301315	-2.7433
1435215_at	AP1 gamma subunit binding protein 1	Ap1gbp1	0.0303651	-2.17684
1459980_x_at	RAB3A, member RAS oncogene family	Rab3a	0.0304846	-1.83524
1426412_at	neurogenic differentiation 1	Neurod1	0.030487	-2.22943
1450693_at	regulator of G-protein signaling 17	Rgs17	0.030487	-2.30685
1439031_at	junctophilin 4	Jph4	0.030582	-2.31711
1455325_at	RIKEN cDNA A230057G18 gene	A230057G18Rik	0.0307002	-2.41916
1460608_at	calcium channel, voltage-dependent, N type, alpha 1B subunit	Cacna1b	0.0307002	-1.9128
1436999_at	RIKEN cDNA 5033414K04 gene	5033414K04Rik	0.0307968	-2.23343
1460419_a_at	protein kinase C, beta 1	Prkcb1	0.0307968	-2.06099
1416846_a_at	PDZ domain containing RING finger 3	Pdzrn3	0.0308474	-5.03356
1458375_at	kelch-like 32 (Drosophila)	Klhl32	0.030885	-1.81747
1455771_at	benzodiazapine receptor associated protein 1	Bzrap1	0.030885	-3.32372
1448205_at	cyclin B1, related sequence 1	Ccnb1	0.031215	1.99673
1436244_a_at	transducin-like enhancer of split 2, homolog of Drosophila E(spl)	Tle2	0.031215	-2.66995
1453282_at	coxsackievirus and adenovirus receptor	Cxadr	0.0312694	-2.17299
1455028_at	microtubule-associated protein tau	Mapt	0.0314078	-3.40094
1433852_at	RIKEN cDNA C330002I19 gene	C330002I19Rik	0.0314078	-2.27989
1416675_s_at	phospholipase C, delta 1	Plcd1	0.0314346	-2.67263
1427604_a_at	ATPase, class II, type 9A	Atp9a	0.0314346	-2.29811
1445537_at	NA	NA	0.0314731	-1.85768
1422742_at	human immunodeficiency virus type I enhancer binding protein 1	Hivep1	0.03161	-1.82858
1425514_at	phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)	Pik3r1	0.03161	-2.25526
1416664_at	cell division cycle 20 homolog (S. cerevisiae)	Cdc20	0.03161	1.92938
1447773_x_at	RIKEN cDNA 6330409D20 gene	6330409D20Rik	0.03161	-1.91012
1417423_at	glutamate receptor, ionotropic, N-methyl D-asparate-associated protein 1 (glutam	Grina	0.03161	-1.94287
1443983_at	Sorbin and SH3 domain containing 1	Sorbs1	0.0318245	-1.82612
1436117_at	RIKEN cDNA A830010M20 gene	A830010M20Rik	0.0318245	-2.36207
1449273_at	cytoplasmic FMR1 interacting protein 2	Cyfip2	0.0318245	-2.62044
1448656_at	calcium channel, voltage-dependent, beta 3 subunit	Cacnb3	0.0318245	-1.99196
1440258_at	Potassium voltage-gated channel, subfamily Q, member 2	Kcnq2	0.0318245	-1.85844
1423478_at	protein kinase C, beta 1	Prkcb1	0.0318245	-2.1291
1423377_at	insulin-like growth factor binding protein-like 1	Igfbpl1	0.0318245	-2.19101
1435166_at	contactin 2	Cntn2	0.0318245	-2.99587
1457310_x_at	scratch homolog 2, zinc finger protein (Drosophila)	Scrt2	0.0318707	-2.1587
1455256_at	TRAF2 and NCK interacting kinase	Tnik	0.0318707	-2.50391
1424718_at	microtubule-associated protein tau	Mapt	0.0318707	-3.67142
1455231_s_at	adenomatosis polyposis coli 2	Apc2	0.0318707	-4.28565
1435287_at	adducin 2 (beta)	Add2	0.0318707	-1.91541
1433988_s_at	RIKEN cDNA C230098O21 gene	C230098O21Rik	0.0318707	-2.12265
1423172_at	N-ethylmaleimide sensitive fusion protein attachment protein beta	Napb	0.0318707	-2.20747
1415932_x_at	ATPase, class II, type 9A	Atp9a	0.0319189	-2.16902
1435295_at	dopey family member 1	Dopey1	0.0320991	-1.86224
1423915_at	olfactomedin-like 2B	Olfml2b	0.0321962	-1.93268
1430617_at	Opa interacting protein 5	Oip5	0.0321962	1.81326
1428330_at	dopey family member 2	Dopey2	0.0322052	-2.67678
1452040_a_at	cell division cycle associated 3	Cdca3	0.0323475	2.00697
1422640_at	protocadherin beta 9	Pcdhb9	0.0325845	-1.95558
1448955_s_at	Ca<2+>dependent activator protein for secretion	Cadps	0.0328763	-2.19617
1456962_at	contactin 2	Cntn2	0.0331397	-4.02809
1416098_at	synaptogyrin 3	Syngr3	0.0333652	-1.91457
1434670_at	kinesin family member 5A	Kif5a	0.0335804	-3.12146
1418105_at	stathmin-like 4	Stmn4	0.0338018	-3.67179
1448991_a_at	internexin neuronal intermediate filament protein, alpha	Ina	0.0338458	-2.0626
1435737_a_at	nuclear distribution gene E homolog 1 (A nidulans)	Nde1	0.0338458	1.84889
1435796_at	NA	NA	0.0338458	-4.62965
1452240_at	bruno-like 4, RNA binding protein (Drosophila)	Brunol4	0.0338458	-2.14295
1437621_x_at	3-phosphoglycerate dehydrogenase	Phgdh	0.0338458	1.9008
1429156_at	RIKEN cDNA 2610036L11 gene	2610036L11Rik	0.0338458	1.82693
1420980_at	p21 (CDKN1A)-activated kinase 1	Pak1	0.0338638	-1.87105
1416309_at	nucleolar and spindle associated protein 1	Nusap1	0.0339012	1.80602
1421175_at	myelin transcription factor 1-like	Myt1l	0.0340947	-4.6573
1436458_at	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A	Sema6a	0.0340947	-2.98623
1423406_at	synaptic vesicle glycoprotein 2 a	Sv2a	0.0341939	-2.83528
1421923_at	SH3-domain binding protein 5 (BTK-associated)	Sh3bp5	0.0343081	-2.05347
1421297_a_at	calcium channel, voltage-dependent, L type, alpha 1C subunit	Cacna1c	0.0344968	-2.09165
1450157_a_at	hyaluronan mediated motility receptor (RHAMM)	Hmmr	0.0346058	2.28944
1434501_at	NA	NA	0.0346153	-2.40338
1449553_at	RIKEN cDNA 2610200G18 gene	2610200G18Rik	0.0346755	-1.81939
1428347_at	cytoplasmic FMR1 interacting protein 2	Cyfip2	0.0346755	-3.06394
1439204_at	sodium channel, voltage-gated, type III, alpha	Scn3a	0.0346771	-2.05303
1436483_at	myelin transcription factor 1-like	Myt1l	0.0348083	-4.65079
1440930_a_at	scratch homolog 2, zinc finger protein (Drosophila)	Scrt2	0.0348083	-2.44079
1452851_at	trinucleotide repeat containing 4	Tnrc4	0.0348083	-1.86967
1438565_at	RIKEN cDNA A830010M20 gene	A830010M20Rik	0.0348083	-2.19306
1437855_at	microtubule-associated protein 4	Mtap4	0.0348083	-2.22505
1433884_at	synaptotagmin I	Syt1	0.0348083	-3.24594
1417445_at	NDC80 homolog, kinetochore complex component (S. cerevisiae)	Ndc80	0.0348083	1.86889
1419380_at	zinc finger protein 423	Zfp423	0.0349671	-2.08806
1429211_at	RIKEN cDNA 2900078E11 gene	2900078E11Rik	0.035031	-2.20153
1428260_at	spastic paraplegia 3A homolog (human)	Spg3a	0.0350787	-1.92367
1435043_at	phospholipase C, beta 1	Plcb1	0.0350798	-2.5921
1434575_at	erythrocyte protein band 4.1-like 1		0.0350798	-2.08609
1456130_at	hypothetical LOC553091	LOC553091	0.0350798	-2.47967
1438038_at	RIKEN cDNA 4930402H24 gene	4930402H24Rik	0.0350798	-1.99901
1427247_at	DNA segment, Chr 3, Brigham & Womens Genetics 0562 expressed	D3Bwg0562e	0.035349	-2.65845
1453416_at	growth arrest-specific 2 like 3	Gas2l3	0.035349	1.91589
1433906_at	RIKEN cDNA 4933402J24 gene	4933402J24Rik	0.035349	-2.08676
1427347_s_at	tubulin, beta 2a /// tubulin, beta 2b	Tubb2a /// Tubb2b	0.0355143	-2.22877
1424588_at	SLIT-ROBO Rho GTPase activating protein 3	Srgap3	0.0357251	-3.85741
1450960_at	insulin-like growth factor binding protein-like 1	Igfbpl1	0.0358654	-2.03646
1436205_at	Transcribed locus	NA	0.0359868	-2.17464
1419652_s_at	RIKEN cDNA 2610200G18 gene	2610200G18Rik	0.0359868	-1.84785
1439847_s_at	Kruppel-like factor 12	Klf12	0.0359868	-1.90075
1420583_a_at	RAR-related orphan receptor alpha	Rora	0.0359868	-2.11632
1417450_a_at	transforming, acidic coiled-coil containing protein 3	Tacc3	0.0359868	1.87755
1417822_at	DNA segment, Chr 17, human D6S56E 5	D17H6S56E-5	0.0359868	1.84506
1454632_at	RIKEN cDNA 6330442E10 gene	6330442E10Rik	0.0359868	-1.8602
1428379_at	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), m	Slc17a6	0.0359868	-2.13208
1437083_at	transmembrane protein 169	Tmem169	0.0360098	-2.30438
1453008_at	RIKEN cDNA 2300002D11 gene	2300002D11Rik	0.0360098	-2.07566
1430583_at	neuron-glia-CAM-related cell adhesion molecule	Nrcam	0.0360098	-2.5302
1443827_x_at	cDNA sequence BC004044	BC004044	0.0360098	-1.9145
1440589_at	Transcribed locus	NA	0.0360098	-4.55102
1436084_at	scratch homolog 1, zinc finger protein (Drosophila)	Scrt1	0.0360098	-1.82268
1417524_at	cornichon homolog 2 (Drosophila)	Cnih2	0.0360098	-2.05107
1449314_at	zinc finger protein, multitype 2	Zfpm2	0.0360858	-3.32083
1449158_at	potassium channel, subfamily K, member 2	Kcnk2	0.0360858	-3.28563
1448280_at	synaptophysin	Syp	0.0360858	-2.18829
1428285_at	RIKEN cDNA 8430427H17 gene	8430427H17Rik	0.0360858	-2.28128
1419943_s_at	cyclin B1	Ccnb1	0.0361021	2.10238
1449439_at	Kruppel-like factor 7 (ubiquitous)	Klf7	0.0363647	-1.84882
1424034_at	RAR-related orphan receptor alpha	Rora	0.0363647	-1.97853
1431087_at	SPC24, NDC80 kinetochore complex component, homolog (S. cerevisiae)	Spc24	0.0363647	1.84816
1434748_at	cytoskeleton associated protein 2	Ckap2	0.0365758	1.84959
1451200_at	kinesin family member 1B	Kif1b	0.0367336	-1.84899
1415978_at	tubulin, beta 3	Tubb3	0.0368088	-2.35004
1459522_s_at	glycogenin	Gyg	0.0370896	2.14126
1423994_at	kinesin family member 1B	Kif1b	0.0370896	-1.86108
1452981_at	contactin 1	Cntn1	0.0371005	-2.31123
1423892_at	amyloid beta (A4) precursor protein-binding, family B, member 1	Apbb1	0.0371833	-1.87378
1416702_at	serine (or cysteine) peptidase inhibitor, clade I, member 1	Serpini1	0.0371833	-1.83802
1450070_s_at	p21 (CDKN1A)-activated kinase 1	Pak1	0.0371833	-2.12433
1437996_s_at	RIKEN cDNA 1500012D20 gene	1500012D20Rik	0.0371833	-2.15059
1416134_at	amyloid beta (A4) precursor-like protein 1	Aplp1	0.0371833	-2.87217
1428374_at	glucuronyl C5-epimerase	Glce	0.0371833	-1.98688
1448788_at	Cd200 antigen	Cd200	0.0372358	-2.62034
1440699_at	NA	NA	0.0373651	-2.56098
1449060_at	kinesin family member 2C	Kif2c	0.0373651	1.87738
1426657_s_at	3-phosphoglycerate dehydrogenase	EG666422 /// EG666875 /// LOC669985 /// LOC671102 /// LOC673015 /// LOC675010 //	0.037375	2.04486
1429268_at	RIKEN cDNA 2610318N02 gene	2610318N02Rik	0.037375	1.82968
1419533_at	nescient helix loop helix 1	Nhlh1	0.0376331	-3.05488
1429520_a_at	phytoceramidase, alkaline	Phca	0.0378753	2.13741
1452779_at	RIKEN cDNA 3110006E14 gene	3110006E14Rik	0.0379363	-2.10156
1435311_s_at	F-box protein 7	Fbxo7	0.0380626	-4.46407
1434062_at	RAB GTPase activating protein 1-like	Rabgap1l	0.0381106	-2.09841
1428240_at	neurexin I	Nrxn1	0.0381106	-2.15198
1429171_a_at	on-SMC condensin I complex, subunit G	Ncapg	0.0382528	1.89722
1437195_x_at	mitogen activated protein kinase 10	Mapk10	0.0382605	-2.48681
1451458_at	transmembrane protein 2	Tmem2	0.0385104	-1.87734
1449563_at	contactin 1	Cntn1	0.0386437	-2.43728
1435722_at	glutamate receptor, ionotropic, AMPA4 (alpha 4)	Gria4	0.0388907	-1.93036
1424511_at	aurora kinase A	Aurka	0.0390863	1.94469
1453289_at	eukaryotic translation initiation factor 2C, 4	Eif2c4	0.0391673	-2.5866
1418178_at	internexin neuronal intermediate filament protein, alpha	Ina	0.0392871	-1.94524
1456061_at	GTPase, IMAP family member 8	Gimap8	0.0392871	-2.38061
1416625_at	serine (or cysteine) peptidase inhibitor, clade G, member 1	Serping1	0.0396638	-2.21089
