Number	Symbol	Centroid IBC	Centroid nIBC
139	MYO5C	-0.1794	0.0769
140	NAT1	-0.0384	0.0165
141	NEBL	-0.0186	0.008
142	NME3	-0.1437	0.0616
143	NOSTRIN	-0.169	0.0724
144	NPAL3	-0.1361	0.0583
145	NUBPL	-0.0141	0.006
146	NUDT12	-0.2257	0.0967
147	OCLN	-0.0609	0.0261
148	OVOL2	-0.0069	0.003
149	PH-4	-0.0974	0.0417
150	PITPNC1	0.0629	-0.0269
151	PLA2G12A	-0.0504	0.0216
152	PLEK	0.0325	-0.0139
153	POMGNT1	-0.0507	0.0217
154	PPP1R3C	-0.0318	0.0136
155	PRLR	-0.10975	0.047
156	PRSS1	0.04663333	-0.019966667
157	PTPRC	0.0181	-0.0078
158	PTPRF	-0.0467333	0.020033333
159	QDPR	-0.0125	0.0054
160	RALA	0.035	-0.015
161	RARRES1	0.0304	-0.013
162	RASEF	-0.1539	0.066
163	RASSF4	0.0824	-0.0353
164	REEP1	-0.3501	0.15
165	REEP6	-0.0446	0.0191
166	RERG	-0.1311	0.05615
167	RNASE4	-0.14535	0.0623
168	ROGDI	-0.0966	0.0414
169		0.0897	-0.0384
170	RPS23	-0.2503	0.1073
171	S100A8	0.3795	-0.1626
172	S100A9	0.4131	-0.1771
173	SAMSN1	0.0232	-0.0099
174	SCNN1A	-0.1094	0.0469
175	SKP1A	-0.0434	0.0186
176	SKP2	0.1522	-0.0652
177	SLC25A16	-0.2636	0.113
178	SLC39A6	-0.121275	0.051975
179	SLC44A4	-0.05595	0.02395
180	SLC7A8	-0.1076333	0.0461
181	SRG	-0.1095	0.0469
182	STC2	-0.6935	0.2972
183	SUSD3	-0.3146	0.1348
184	SYT13	-0.0899	0.0385
185	TBC1D9	-0.30815	0.13205
186	TBX3	-0.2865	0.12275
187	TCEA2	-6.00E-04	3.00E-04
188	TCEA3	-0.0791	0.0339
189	TCEAL3	-0.0299	0.0128
190	TFAP2A	-0.1036	0.0444
191	TFF3	-0.1604	0.0687
192	THOC4	0.1234	-0.0529
193	THSD4	-0.21275	0.09115
194	TMC4	-0.3202	0.1372
195	TMEM125	-0.1081	0.0463
196	TMEM30B	-0.0505	0.0216
197	TNFSF13B	0.0668	-0.0286
198	TRAC	0.0398	-0.0171
199	TRPS1	-0.098375	0.04215
200	UCP2	0.0074	-0.0032
201	VAV3	-0.1061	0.045466667
202	WDR19	-0.2184	0.0936
203	WFS1	-0.035	0.015
204	XBP1	-0.0051	0.0022
205	ZNF264	-0.0469	0.0201
