Agilent id	Unigene id	Genbank id	Gene name	Description	EHSPEL; Undifferentiated F9=Cy3 (log ratio 2^n)	F9-diff; Undifferentiated F9=Cy3 (log ratio 2^n)	E13.5 PE; Undifferentiated F9=Cy3 (log ratio 2^n)	PYS2; Undifferentiated F9=Cy3 (log ratio 2^n)	EHSPEL; NIH3T3 fibroblast=Cy3 (log ratio 2^n)	F9-diff; NIH3T3 fibroblast=Cy3 (log ratio 2^n)	E13.5 PE; NIH3T3 fibroblast=Cy3 (log ratio 2^n)	PYS2; NIH3T3 fibroblast=Cy3 (log ratio 2^n)
J0829H02-3	Mm.57225	NM_030677.1	Gpx2	Glutathione peroxidase 2	2.935	-0.153	-0.034	0.401	3.305	0.117	0.578	0.206
L0825D06-3	Mm.4870	NM_013669.1	Snap91	synaptosomal-associated protein, 91 kDa (Snap91),	2.89	1.019	-0.199	1.146	2.887	1.483	0.196	1.061
H3079H01-3	Mm.22661	AK019142.1	2810409H07Rik	similar to hypothtical proteinPTD004, probable translation factor	2.862	-0.12	0.029	0.269	2.171	-0.476	-0.461	-0.385
G0117F12-3	Mm.214593	NM_008925.1	Prkcsh	proteinkin ase C substrate 80K-H/alpha glucosidase II, beta-subunit	2.861	0.982	1.005	0.998	2.365	0.523	0.896	0.884
H3139G07-5	Mm.15479	NM_013543.1	H3139G07-5	H2-K regionexpr essed gene 6, 17-beta-HSD 8	2.799	-0.31	0.832	0.547	2.316	-0.457	0.151	0.025
H3075B03-3		AC_121824.2	AU018794	ESTs, Weakly similar to Retrovirus-related POL polyprotein	2.796	0.55	0.499	-0.525	2.749	0.271	0.069	-0.809
	Mm.1021	NM_011693.1		vascular cell adhesionmolecule 1	2.724	-0.387	1.575	0.295	2.404	-1.225	0.662	-0.134
J0460E10-3	Mm.104764	NM_011726.1	Xlr	X-linked lymphocyte-regulated (B-cell surface antigen)	2.719	0.261	1.392	1.085	2.978	0.227	1.216	1.175
C0107A07-3	Mm.29778	AK014338.1	Armet	Arginine-rich, mutated in early stage tumors	2.655	0.875	0.233	-0.102	2.268	0.583	0.089	-0.164
C0614D12-3	Mm.45637	AL359122.9	C0614D12-3	EST	2.591	-0.568	-0.308	-0.883	2.862	-0.387	-0.178	-0.411
G0110G06-3	Mm.29296	NM_024206.1	1110003H02Rik	SEC13 related gene	2.583	0.312	-0.042	0.084	2.591	0.424	0.457	0.726
J0738B12-3	Mm.39704	XM_134665.1	1810026J23Rik	1810026J23Rik	2.538	0.499	0.247	0.474	2.047	0.064	-0.006	0.168
H3145G12-3	Mm.234152	XM_151480.1	H3145G12-3	Ankyrin repeat and SOCS box-containing protein 1	2.459	0.421	0.522	1.039	2.001	-0.098	-0.536	0.274
C0640B06-3	Mm.1528	NM_008150.1	Gpc4	glypican 4	2.363	-0.927	0.795	-2.079	3.932	0.98	2.867	-0.058
L0904D09-3	Mm.40636	XM_006549.5	L0904D09-3	G protein-coupled receptor 48	2.338	-0.014	-0.358	-0.186	2.783	0.193	0.037	0.441
C0937F12-3	Mm.22224	NM_019696.1	Cpx1-pending	metallocarboxypeptidase CPX-1 (CPX-1)	2.318	0.914	-0.06	0.149	3.557	1.667	1.086	1.217
H3099C09-3	Mm.2770	S43941.1	Igf1	insulin-like growth factor 1	2.272	0.099	0.862	-0.779	2.872	-0.299	0.785	-1.116
G0109C02-3	Mm.28566	NM_020577.1	Cyt19-pending	methyltransferase Cyt19 (Cyt19-pending)	2.263	0.364	-0.667	0.98	3.484	1.171	0.507	2.066
L0029C08-3		AC_064863.5	L0029C08-3	Mouse Chromosome 18 RP23-410i12	2.243	1.2	0.61	0.293	2.557	1.19	0.62	0.603
J0823F08-3	Mm.2817	NM_008905.1	Ppfibp2	liprin beta:PTPRF interacting protein	2.209	0.737	0.677	-0.249	3.319	1.765	2.196	1.189
L0838B07-3	Mm.133122	AK004785.1	Mypt1	proteinphosphatase 1 regulatory subunit 12A	2.198	1.047	0.739	-0.283	2.02	0.702	0.602	-0.389
H3074C01-3	Mm.31038	NM_009849.1	Entpd2	ectonucleoside triphosphate diphosphohydrolase 2	2.148	0.02	0.699	0.268	2.842	0.264	1.243	-0.123
K0533E08-3	Mm.20861	AK021086.1	Lrp6	low density lipoprotein receptor-related protein 6	2.116	0.173	0.133	0.249	2.38	-0.546	0.47	0.286
H3059G11-3	Mm.2338	BC015086.1	Glns	Glutamate-ammonia ligase (glutamine s	2.096	0.647	0.723	0.486	3.134	0.769	1.308	1.3
L0601C08-3		AK011143.1	L0601C08-3	RIKEN2600002C05; hnrpD-like	2.063	-0.864	-0.543	-0.143	2.552	0.146	-0.018	0.88
L0849B10-3	Mm.6105	NM_011125.1	Pltp	phospholipid transfer protein	2.053	0.073	-0.022	-0.101	2.258	0.499	0.259	0.544
C0207F08-3	Mm.14286	NM_011663.1	U2af1-rs1	U2 SNRP auxiliar	2.029	0.961	0.463	0.767	2.613	1.542	1.389	1.609
L0929H04-3	Mm.146421	NM_024900.2	L0929H04-3	EST: Similar to Homo sapiens PHD protein Jade-1	2.026	0.506	-0.164	-0.987	3.31	1.824	1.146	0.287
