Gene	Clone	UG cluster	Fold-diff in geom means (L/AT)	t-value
CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	1001730	Hs.84298	2.02	4.441
methylene tetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase	2455118	Hs.154672	2.02	6.678
immunoglobulin kappa constant	2996770	Hs.306357	2.02	4.578
major histocompatibility complex, class II, DQ beta 1	4083705	Hs.73931	2.02	4.247
frizzled-related protein	1657792	Hs.153684	2.02	5.69
chloride intracellular channel 4	1381346	Hs.25035	1.98	8.564
SEC24 related gene family, member D (S. cerevisiae)	1511120	Hs.19822	1.98	6.556
catenin (cadherin-associated protein), alpha-like 1	2379808	Hs.58488	1.95	5.186
KIAA1324 protein	1808121	Hs.104696	1.95	4.21
proteoglycan 1, secretory granule	8995	Hs.1908	1.92	4.888
SPARC-like 1 (mast9, hevin)	3721788	Hs.75445	1.92	6.462
collagen, type VI, alpha 1	2062088	Hs.108885	1.91	8.906
chondroitin sulfate proteoglycan 2 (versican)	1623237	Hs.81800	1.9	5.817
caldesmon 1	1319608	Hs.325474	1.88	5.791
biliverdin reductase A	775330	Hs.81029	1.87	5.332
pyruvate dehydrogenase phosphatase	1819282	Hs.22265	1.87	4.345
vimentin	1522716		1.87	3.922
cathepsin K (pycnodysostosis)	1653741	Hs.83942	1.86	5.988
chromosome 1 open reading frame 34	1366978	Hs.125783	1.85	6.504
hypothetical protein FLJ20623	2917432	Hs.27337	1.85	5.423
syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)	1782172	Hs.1501	1.84	5.503
cartilage associated protein	1919944	Hs.155481	1.84	4.316
sucrase-isomaltase	2922143	Hs.2996	1.84	3.921
major histocompatibility complex, class II, DM alpha	2059338	Hs.77522	1.83	5.954
BTG family, member 2	1598617	Hs.75462	1.83	4.636
radixin	1690613	Hs.263671	1.83	5.854
catenin (cadherin-associated protein), alpha-like 1	1845256	Hs.58488	1.83	5.644
Homo sapiens cDNA FLJ34353 fis, clone FEBRA2011665	1846711	Hs.13477	1.83	7.653
transcription factor 21	1851913	Hs.78061	1.82	4.328
CUG triplet repeat, RNA binding protein 2	2056288	Hs.211610	1.82	6.591
fibromodulin	1999120	Hs.230	1.82	3.901
myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 7	1796461	Hs.239663	1.81	5.112
tropomyosin 2 (beta)	3176845	Hs.300772	1.79	3.972
gap junction protein, alpha 1, 43kDa (connexin 43)	1997703	Hs.74471	1.79	7.239
putative transmembrane protein	2372275	Hs.78776	1.78	4.227
plastin 3 (T isoform)	1402228	Hs.4114	1.78	6.017
sarcoglycan, epsilon	1707391	Hs.110708	1.77	4.16
NS1-binding protein	630045	Hs.197298	1.77	9.962
v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	2358031	Hs.81665	1.77	5.024
transcobalamin II; macrocytic anemia	1968695	Hs.84232	1.76	5.026
RNA binding motif, single stranded interacting protein 1	1686916	Hs.241567	1.76	8.248
caveolin 1, caveolae protein, 22kDa	4271973	Hs.74034	1.75	7.312
complement component 1, r subcomponent	1664320	Hs.1279	1.75	4.518
peptidylglycine alpha-amidating monooxygenase	1682642	Hs.83920	1.75	7.303
zinc finger protein 331; zinc finger protein 463	1449768	Hs.147644	1.75	7.038
matrix Gla protein	2527665	Hs.365706	1.74	5.727
KIAA0227 protein	3967402	Hs.79170	1.73	4.433
ESTs	1753040	Hs.394859	1.73	7.759
downregulated in ovarian cancer 1	1685173	Hs.15432	1.73	6.717
lipase A, lysosomal acid, cholesterol esterase (Wolman disease)	1970427	Hs.85226	1.72	5.212
transforming, acidic coiled-coil containing protein 1	1943595	Hs.173159	1.72	5.94
interferon consensus sequence binding protein 1	2922927	Hs.14453	1.7	4.964
HNK-1 sulfotransferase	965055	Hs.155553	1.7	4.249
FK506 binding protein 11, 19 kDa	2957205	Hs.24048	1.7	6.286
melanoma antigen, family D, 2	2418918	Hs.4943	1.69	5.724
macrophage myristoylated alanine-rich C kinase substrate	320332	Hs.75061	1.69	6.507
N-acetylneuraminic acid phosphate synthase; sialic acid synthase	2059153	Hs.274424	1.69	5.803
Incyte EST	1998269		1.69	5.987
lymphocyte adaptor protein	1959371	Hs.389485	1.69	6.488
SPARC-like 1 (mast9, hevin)	463219	Hs.75445	1.68	4.814
leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 5	3508771	Hs.77062	1.67	4.103
macrophage myristoylated alanine-rich C kinase substrate	2135733	Hs.75061	1.67	5.145
Incyte EST	2601553		1.67	4.905
ephrin-A3	4178495	Hs.37054	1.67	8.06
trans-activated by hepatitis C virus core protein 1	2744043	Hs.118087	1.67	3.925
hypothetical protein FLJ12666	2298788	Hs.23767	1.66	7.19
ribonuclease, RNase A family, 4	1858905	Hs.283749	1.66	5.392
transmembrane protein 9	1923490	Hs.181444	1.66	5.352
integral type I protein	1981218	Hs.179516	1.66	5.744
Homo sapiens mRNA for short form of beta II spectrin, partial	2286612	Hs.348723	1.65	7.678
laminin, beta 1	1003884	Hs.82124	1.65	7.852
Human DNA sequence from clone 742C19 on chromosome 22q12.3-13.1. Contains a pseudogene similar to Cytochrome C Oxidase Polypeptide VB and (parts of) up to four novel genes, two with homology to Phorbolin genes and one a novel Chro	1841459		1.65	5.792
EphB2	1903767	Hs.125124	1.64	4.138
topoisomerase (DNA) II beta 180kDa	1872327	Hs.75248	1.64	6.289
heat shock transcription factor 4	2660470	Hs.75486	1.63	7.777
axin 2 (conductin, axil)	2359588	Hs.127337	1.63	5.495
cyclin D2	1618422	Hs.75586	1.63	5.103
KIAA0916 protein	674014	Hs.151411	1.63	6.857
angiogenin, ribonuclease, RNase A family, 5	2263493	Hs.332764	1.61	4.499
adaptor-related protein complex 1, sigma 2 subunit	1907738	Hs.40368	1.61	6.335
platelet-derived growth factor receptor, alpha polypeptide	1705274	Hs.74615	1.61	5.139
insulin-like growth factor binding protein 3	1447903	Hs.77326	1.6	6.669
legumain	1985367	Hs.18069	1.6	7.174
ESTs, Weakly similar to ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome; Ubiquitously transcribed TPR gene on Y chromosome [Homo sapiens] [H.sapiens]	1000777	Hs.87980	1.6	5.685
RAB23, member RAS oncogene family	151026	Hs.94769	1.6	6.019
collagen, type VI, alpha 2	1554806	Hs.159263	1.6	4.517
phosphoribosyl pyrophosphate synthetase 2	2054641	Hs.2910	1.59	5.237
hypothetical protein MGC18216	2230088	Hs.104679	1.59	7.3
PC4 and SFRS1 interacting protein 2	42920	Hs.82110	1.59	5.087
nucleobindin 2	1760517	Hs.3164	1.59	4.828
glycosyltransferase AD-017	1924806	Hs.283737	1.59	7.722
hypothetical protein BC009925	1356926	Hs.9634	1.58	4.987
ESTs	1422511	Hs.15702	1.58	3.922
hypothetical protein FLJ38482	1799033	Hs.217882	1.58	5.764
platelet-derived growth factor receptor, alpha polypeptide	1643186	Hs.74615	1.58	4.89
RAB13, member RAS oncogene family	1810945	Hs.151536	1.58	4.116
protease, serine, 11 (IGF binding)	1958902	Hs.394057	1.57	4.092
ectodermal-neural cortex (with BTB-like domain)	1731061	Hs.104925	1.57	5.896
ESTs	547612	Hs.374476	1.56	4.339
phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase	40759	Hs.117950	1.56	4.364
glioma pathogenesis-related protein	477045	Hs.154762	1.56	5.164
syntaphilin	1268175	Hs.82503	1.56	5.306
zinc finger protein 145 (Kruppel-like, expressed in promyelocytic leukemia)	220924	Hs.37096	1.55	3.903
CCAAT/enhancer binding protein (C/EBP), beta	2275583	Hs.99029	1.55	6.194
ESTs	1878026	Hs.120695	1.55	6.163
EST	3438036	Hs.401096	1.55	5.611
asparaginase-like 1 protein	2009846	Hs.7331	1.54	4.923
hypothetical protein MGC12538	639847	Hs.246759	1.54	8.032
phosphofructokinase, muscle	1368173	Hs.75160	1.54	4.131
EST, Weakly similar to T13996 pol protein - fruit fly (Drosophila melanogaster) ZAM retrovirus-like element (fragment) [D.melanogaster]	3123244	Hs.159264	1.54	5.39
proteolipid protein 1 (Pelizaeus-Merzbacher disease, spastic paraplegia 2, uncomplicated)	1485846	Hs.1787	1.54	4.456
ESTs	349535	Hs.404435	1.53	5.809
hypothetical protein BC007901	2132424	Hs.10083	1.53	4.877
nuclear factor I/X (CCAAT-binding transcription factor)	5275693	Hs.35841	1.53	7.623
hypothetical protein FLJ20811	1910380	Hs.83530	1.53	8.323
heterogeneous nuclear ribonucleoprotein D-like	1906936	Hs.170311	1.53	6.265
P311 protein	1555545	Hs.142827	1.52	4.193
ESTs, Moderately similar to Z254_HUMAN Zinc finger protein 254 (Bone marrow zinc finger 5) (BMZF-5) (Hematopoietic cell derived zinc finger protein 1) (HD-ZNF1) [H.sapiens]	2453528	Hs.409038	1.52	5.639
kinesin-like 4	2760114	Hs.119324	1.52	5.183
ADP-ribosylation factor 4	65463	Hs.75290	1.52	6.361
KIAA1538 protein	1381261	Hs.35096	1.52	5.508
retinol binding protein 4, plasma	2515729	Hs.76461	1.52	4.79
mannosidase, beta A, lysosomal	1805840	Hs.115945	1.5	4.313
mal, T-cell differentiation protein	504786	Hs.80395	1.5	4.131
transmembrane 4 superfamily member tetraspan NET-6	1850531	Hs.284243	1.5	4.492
Homo sapiens, clone IMAGE:3882977, mRNA, partial cds	1997493	Hs.350268	1.5	5.192
thymopoietin	2289176	Hs.11355	1.49	4.155
olfactomedin 1	2292011	Hs.74376	1.49	5.297
glutathione S-transferase A4	2372122	Hs.169907	1.49	4.998
zinc finger protein 288	1637413	Hs.159456	1.48	4.544
TAR (HIV) RNA binding protein 1	1213641	Hs.151518	1.48	5.181
Niemann-Pick disease, type C2	3979063	Hs.119529	1.48	6.181
moesin	1733490	Hs.170328	1.48	4.573
Duffy blood group	1987335	Hs.183	1.47	6.013
interferon induced transmembrane protein 3 (1-8U)	2949427	Hs.381234	1.47	4.804
ribosomal protein L17	747335	Hs.82202	1.47	4.631
complement component 3a receptor 1	1995864	Hs.155935	1.47	6.074
guanine nucleotide binding protein 11	1988432	Hs.83381	1.47	4.955
polymerase (RNA) II (DNA directed) polypeptide G	2915535		1.46	5.114
SET binding protein 1	2903158	Hs.151717	1.46	5.691
gp25L2 protein	1979302	Hs.279929	1.46	5.533
arginine-rich, mutated in early stage tumors	1618455	Hs.75412	1.46	6.86
ubiquitin specific protease 11	1805270	Hs.171501	1.46	4.875
EST	518305	Hs.26295	1.46	7.758
ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)	1316528	Hs.177766	1.46	4.444
cyclin D1 (PRAD1: parathyroid adenomatosis 1)	2057653	Hs.82932	1.46	4.583
KIAA0830 protein	1740366	Hs.167115	1.46	6.61
chaperonin containing TCP1, subunit 2 (beta)	1483847	Hs.6456	1.46	5.135
KH domain containing, RNA binding, signal transduction associated 3	2010155	Hs.13565	1.46	5.168
ESTs, Weakly similar to hypothetical protein FLJ22184 [Homo sapiens] [H.sapiens]	1451756	Hs.23272	1.45	5.158
TED protein	2409533	Hs.87619	1.45	5.223
DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 18 (Myc-regulated)	3663385	Hs.100555	1.45	4.701
ESTs	2954670	Hs.29406	1.45	5.775
ESTs, Weakly similar to A43932 mucin 2 precursor, intestinal - human (fragments) [H.sapiens]	2874010	Hs.389698	1.45	4.626
mitochondrial ribosomal protein L3	188431	Hs.79086	1.45	5.287
inositol 1,4,5-trisphosphate 3-kinase B	1890794	Hs.78877	1.45	5.259
opiate receptor-like 1	1704169	Hs.2859	1.45	4.88
replication factor C (activator 1) 4, 37kDa	1773638	Hs.35120	1.45	5.146
coproporphyrinogen oxidase (coproporphyria, harderoporphyria)	189321	Hs.89866	1.45	4.876
glutamate receptor, ionotropic, N-methyl D-aspartate-like 1A	1996544	Hs.6283	1.45	3.952
phosphodiesterase 7A	1819039	Hs.97603	1.44	5.238
clusterin (complement lysis inhibitor, SP-40,40, sulfated glycoprotein 2, testosterone-repressed prostate message 2, apolipoprotein J)	2966620	Hs.75106	1.44	4.269
Homo sapiens, similar to CG4946 gene product, clone MGC:33910 IMAGE:5264730, mRNA, complete cds	369446	Hs.379419	1.44	7.728
polymerase (RNA) II (DNA directed) polypeptide E, 25kDa	2285269	Hs.24301	1.44	4.821
ataxia telangiectasia mutated (includes complementation groups A, C and D)	394665	Hs.194382	1.44	5.373
RAN binding protein 16	459851	Hs.172685	1.44	5.795
ESTs	2262832	Hs.179808	1.44	4.749
chromodomain protein, Y chromosome-like	1998980	Hs.16081	1.43	5.066
KIAA1813 protein	385733	Hs.25298	1.43	6.513
CD14 antigen	1988710	Hs.75627	1.43	5.574
ribosomal protein L23	4175323	Hs.234518	1.43	5.205
EST	1476214	Hs.381372	1.42	5.282
mitogen-activated protein kinase 7	1733751	Hs.3080	1.42	5.644
complement component 1, q subcomponent, receptor 1	1998804	Hs.97199	1.42	4.557
small nuclear ribonucleoprotein polypeptide E	1179	Hs.334612	1.42	4.185
dihydropyrimidinase-like 3	1403636	Hs.74566	1.42	5.011
eukaryotic translation elongation factor 1 alpha 1	2763794	Hs.181165	1.42	5.146
mutS homolog 6 (E. coli)	1926006	Hs.3248	1.41	4.169
eukaryotic translation initiation factor 3, subunit 7 zeta, 66/67kDa	2457671	Hs.55682	1.41	4.154
period homolog 2 (Drosophila)	1282617	Hs.153405	1.41	5.17
leupaxin	1595756	Hs.49587	1.41	4.705
endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2	805942	Hs.75794	1.41	8.541
branched chain aminotransferase 2, mitochondrial	2191545	Hs.101408	1.41	5.123
ESTs	2255215	Hs.96996	1.41	5.464
putative membrane protein	1926540	Hs.93832	1.41	6.977
ribosomal protein S16	2132212	Hs.80617	1.41	5.027
PTK7 protein tyrosine kinase 7	996229	Hs.90572	1.41	4.247
RAB1A, member RAS oncogene family	3143449	Hs.79507	1.41	3.949
ESTs, Moderately similar to hypothetical protein FLJ20378 [Homo sapiens] [H.sapiens]	1429211	Hs.343403	1.41	6.136
phosphatidic acid phosphatase type 2B	1445895	Hs.395853	1.41	6.17
protein phosphatase 2, regulatory subunit B (B56), epsilon isoform	1962123	Hs.173328	1.4	5.327
mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)	1688362	Hs.57301	1.4	3.864
DKFZP586G1517 protein	1425174	Hs.44155	1.4	7.427
hypothetical protein BC008647	3815422	Hs.102480	1.4	5.384
TTK protein kinase	1334255	Hs.169840	1.4	5.034
inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	707667	Hs.180919	1.4	4.262
activated RNA polymerase II transcription cofactor 4	1383545	Hs.349506	1.39	4.017
cAMP responsive element binding protein 1	2291535	Hs.79194	1.39	6.004
jumping translocation breakpoint	1861614	Hs.6396	1.39	4.768
low density lipoprotein-related protein-associated protein 1 (alpha-2-macroglobulin receptor-associated protein 1)	2745623	Hs.75140	1.39	4.2
sorbitol dehydrogenase	1856587	Hs.878	1.39	4.302
synaptogyrin 2	983008	Hs.5097	1.39	3.959
S100 calcium binding protein A13	2134356	Hs.14331	1.39	4.378
translocated promoter region (to activated MET oncogene)	1998427	Hs.169750	1.38	5.612
TGFB inducible early growth response 2	3774215	Hs.12229	1.38	4.02
G protein-coupled receptor 56	1961223	Hs.6527	1.38	4.205
hypothetical protein FLJ10900	587420	Hs.16277	1.37	5.09
ESTs, Highly similar to A46461 T-cell receptor eta chain - human (fragment) [H.sapiens]	3267423	Hs.283402	1.37	7.7
ribonuclease 6 precursor	212912	Hs.8297	1.37	4.438
EST	2061405	Hs.374342	1.37	4.593
bladder cancer associated protein	2204881	Hs.5300	1.37	4.549
mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase	4177354	Hs.121502	1.37	5.057
KIAA0790 protein	1722691	Hs.12002	1.37	4.867
signal recognition particle receptor (docking protein)	1860117	Hs.75730	1.37	4.879
thrombospondin 1	2055534	Hs.87409	1.37	4.491
v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	1998155	Hs.85146	1.36	4.339
putative dimethyladenosine transferase	1724355	Hs.125819	1.36	6.048
replication factor C (activator 1) 2, 40kDa	1655501	Hs.139226	1.36	4.497
ribosomal protein L37	2132815	Hs.337445	1.36	4.358
serum response factor (c-fos serum response element-binding transcription factor)	2059378	Hs.155321	1.36	6.173
ESTs, Weakly similar to B Chain B, Solution Structure Of Cdc42 In Complex With The Gtpase Binding Domain Of Wasp [H.sapiens]	2243733	Hs.364892	1.36	4.625
Homo sapiens mRNA for FLJ00104 protein, partial cds	1943307	Hs.383021	1.36	4.856
YY1 transcription factor	2311839	Hs.97496	1.36	6.119
oxytocin, prepro- (neurophysin I)	2005973	Hs.113216	1.36	3.895
signal recognition particle 72kDa	2346701	Hs.237825	1.36	4.151
KIAA0013 gene product	4085306	Hs.172652	1.35	4.417
zinc finger protein 302	2314964	Hs.125287	1.35	4.5
vascular endothelial growth factor B	3117190	Hs.78781	1.35	4.682
NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae)	1715	Hs.182255	1.35	4.537
small nuclear ribonucleoprotein polypeptide A	3189146	Hs.80506	1.35	4.293
hypothetical protein MGC5149	1836450	Hs.284741	1.35	4.595
nischarin	1809315	Hs.26285	1.35	5.068
Incyte EST	2821541		1.35	5.304
damage-specific DNA binding protein 2, 48kDa	1904067	Hs.77602	1.35	5.058
ESTs, Weakly similar to hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	2243954	Hs.388509	1.35	6.262
latent transforming growth factor beta binding protein 1	1313183	Hs.241257	1.35	4.882
ESTs, Weakly similar to I37356 epithelial microtubule-associated protein, 115K - human [H.sapiens]	2383065	Hs.25892	1.35	4.737
interleukin 11 receptor, alpha	1439059	Hs.64310	1.35	5.274
ESTs	3144018	Hs.104627	1.35	4.975
branched chain aminotransferase 2, mitochondrial	1501389	Hs.101408	1.35	4.106
SEC63 protein	1857856	Hs.31575	1.35	4.611
solute carrier family 23 (nucleobase transporters), member 1	1259230	Hs.82042	1.35	4.423
kidney ankyrin repeat-containing protein	3330595	Hs.383175	1.34	4.084
lipin 1	134304	Hs.81412	1.34	4.826
hypothetical protein FLJ21877	584794	Hs.16063	1.34	5.46
inositol polyphosphate-4-phosphatase, type I, 107kDa	391601	Hs.32944	1.34	7.491
hypothetical protein MGC3200	910753	Hs.9088	1.34	4.271
tubulin, gamma complex associated protein 3	518959	Hs.9884	1.34	4.862
ariadne homolog 2 (Drosophila)	1698803	Hs.241558	1.34	6.181
uridine monophosphate kinase	1959569	Hs.95734	1.34	6.177
hypothetical protein LQFBS-1	1752623	Hs.306193	1.34	3.912
COP9 constitutive photomorphogenic homolog subunit 3 (Arabidopsis)	2186124	Hs.6076	1.34	6.459
nucleoporin 54kDa	2805590	Hs.9082	1.34	5.005
ESTs, Highly similar to A27668 Sm-D ribonucleoprotein autoantigen - human [H.sapiens]	2156608	Hs.356211	1.33	5.362
hypothetical protein FLJ10450	1607304	Hs.267604	1.33	4.878
likely ortholog of mouse deleted in polyposis 1	1940201	Hs.178112	1.33	4.728
E2F transcription factor 6	14588	Hs.42287	1.33	5.981
GATA binding protein 6	1642970	Hs.50924	1.33	4.375
component of oligomeric golgi complex 2	1468607	Hs.82399	1.33	4.086
KIAA1468 protein	1807752	Hs.392785	1.33	5.547
MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)	2057948	Hs.77152	1.33	4.16
membrane-bound transcription factor protease, site 1	1816514	Hs.75890	1.33	4.43
N-acylsphingosine amidohydrolase (acid ceramidase) 1	2106441	Hs.75811	1.33	5.389
Rab9 effector p40	1295430	Hs.19012	1.32	4.108
Homo sapiens pp7052 mRNA, complete cds	1418449	Hs.380048	1.32	4.949
chromosome 1 open reading frame 9	1626947	Hs.108636	1.32	9.747
ribosomal protein L7a	2579602	Hs.99858	1.32	4.298
neutral sphingomyelinase (N-SMase) activation associated factor	1997302	Hs.78687	1.32	6.546
MDN1, midasin homolog (yeast)	1209813	Hs.76730	1.32	5.464
C2f protein	1995470	Hs.300423	1.32	6.003
hypothetical protein FLJ10287	2395381	Hs.40337	1.32	4.101
development and differentiation enhancing factor 1	2507108	Hs.10669	1.31	4.119
lamin B receptor	564104	Hs.152931	1.31	4.903
nuclear transcription factor Y, beta	2222566	Hs.84928	1.31	4.814
R3H domain (binds single-stranded nucleic acids) containing	1290568	Hs.268053	1.31	4.208
X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining; Ku autoantigen, 80kDa)	1842109	Hs.84981	1.31	4.943
cyclin-dependent kinase 2	1735760	Hs.19192	1.31	3.981
KIAA0594 protein	1263376	Hs.103283	1.31	5.4
hypothetical protein MGC4251	2366522	Hs.74266	1.31	6.766
tumor protein p53 binding protein, 1	618622	Hs.170263	1.31	4.683
pyrroline 5-carboxylate reductase isoform	1988068	Hs.274287	1.31	6.026
NGFI-A binding protein 1 (EGR1 binding protein 1)	2104696	Hs.107474	1.31	4.251
ligatin	2263634	Hs.274151	1.31	4.183
3-phosphoadenosine 5-phosphosulfate synthase 1	1841989	Hs.3833	1.31	5.307
eukaryotic translation initiation factor 2B, subunit 1 alpha, 26kDa	1617031	Hs.78592	1.3	4.651
F-box and leucine-rich repeat protein 5	1703326	Hs.396140	1.3	3.921
C2f protein	5096975	Hs.300423	1.3	3.86
acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	1994721	Hs.285013	1.3	4.206
hippocalcin-like 1	1692164	Hs.3618	1.3	4.372
seven transmembrane domain protein	1755562	Hs.9234	1.3	4.495
hypothetical protein FLJ10569	1000585	Hs.5105	1.3	4.668
protein tyrosine phosphatase, receptor type, M	1849838	Hs.154151	1.3	4.224
B lymphoma Mo-MLV insertion region (mouse)	1985881	Hs.431	1.3	4.675
hypothetical protein FLJ36090	1375185	Hs.42673	1.29	4.284
heterogeneous nuclear ribonucleoprotein C (C1/C2)	2458656	Hs.182447	1.29	3.996
U3 snoRNP-associated 55-kDa protein	2948581	Hs.153768	1.29	3.942
ESTs	2350560	Hs.39982	1.29	4.637
highly charged protein	1652341	Hs.151236	1.29	4.543
basic helix-loop-helix domain containing, class B, 3	1369268	Hs.33829	1.29	4.024
replication protein A2, 32kDa	1729876	Hs.79411	1.29	5.017
microtubule-associated protein, RP/EB family, member 2	2355543	Hs.78335	1.29	4.74
heparan sulfate (glucosamine) 3-O-sulfotransferase 1	513943	Hs.40968	1.29	3.88
hypothetical protein HSPC132	1875994	Hs.69499	1.28	3.965
TGFB inducible early growth response	1806521	Hs.82173	1.28	4.165
transducin (beta)-like 2	2112348	Hs.52515	1.28	7.277
chromodomain helicase DNA binding protein 4	1312042	Hs.74441	1.28	3.879
KIAA0766 gene product	1741582	Hs.28020	1.28	4.986
transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)	640174	Hs.101047	1.28	5.296
