Gene symbol	Gene title	Chromosome	Fold change	Change P-value	Probe Set ID
IL15	interleukin 15	4q31	2.8	0.00002	217371_s_at
MMP28	matrix metallopeptidase 28	17q11-q21.1	19.7	0.000023	219909_at
MMP10	matrix metallopeptidase 10	11q22.3	1.5	0.038415	205680_at
CEACAM1	carcinoembryonic antigen-related cell adhesion molecule 1	19q13.2	13	0.00002	209498_at
CEACAM5	carcinoembryonic antigen-related cell adhesion molecule 5	19q13.1-q13.2	194	0.000027	201884_at
CEACAM6	carcinoembryonic antigen-related cell adhesion molecule 6	19q13.2	22.6	0.00002	203757_s_at
ITGBL1	Integrin, beta-like 1	13q33	19.6	0.00004	1557079_at
ITGA2	integrin, alpha 2	5q23-q31	22.6	0.00002	227314_at
ITGA3	integrin, alpha 3	17q21.33	6.1	0.00002	201474_s_at
ITGB4	integrin, beta 4	17q25	11.3	0.000023	204990_s_at
ITGA6	integrin, alpha 6	2q31.1	3	0.000114	201656_at
ITGB1	integrin, beta 1	10p11.2	4.3	0.00002	1553530_a_at
ITGB6	integrin, beta 6	2q24.2	9.8	0.000023	208084_at
ITGB8	integrin, beta 8	7p15.3	1.7	0.00002	226189_at
ITGAV	integrin, alpha V	2q31-q32	1.5	0.00002	202351_at
CDH2	cadherin 2, type 1, N-cadherin (neuronal)	18q11.2	3.7	0.000273	203440_at
CDH3	cadherin 3, type 1, P-cadherin (placental)	16q22.1	48.5	0.00002	203256_at
PCDH1	protocadherin 1	5q32-q33	2.3	0.000389	203918_at
PCDH7	protocadherin 7	4p15	11.3	0.000273	205534_at
PCDHB14	protocadherin beta 14	5q31	3.5	0.000046	231726_at
CTNNA1	catenin (cadherin-associated protein), alpha 1, 102kDa	5q31	4.3	0.00002	1558214_s_at
CTNNAL1	catenin (cadherin-associated protein), alpha-like 1	9q31.2	3.3	0.00002	202468_s_at
CTNND1	catenin (cadherin-associated protein), delta 1	11q11	2.8	0.00002	208407_s_at
MUC4	mucin 4, cell surface associated	3q29	776	0.00004	217109_at
MUC16	mucin 16, cell surface associated	19p13.2	97	0.00002	220196_at
MUC20	mucin 20, cell surface associated	3q29	11.3	0.000052	231941_s_at
CD9	CD9 molecule	12p13.3	2.6	0.00002	201005_at
AREG	amphiregulin	4q13-q21	4.3	0.00003	205239_at
EREG	epiregulin	4q13.3	55.7	0.000114	205767_at
VEGFC	vascular endothelial growth factor C	4q34.1-q34.3	-4	0.00002	209946_at
MEMO1	Mediator of cell motility 1	2p22-p21	3	0.000189	1555522_s_at
TBK1	TANK-binding kinase 1	12q14.1	3.5	0.00002	218520_at
MIB1	mindbomb homolog 1 (Drosophila)	18q11.2	8	0.00002	224725_at
RIOK3	RIO kinase 3 (yeast)	18q11.2	4.9	0.00002	202129_s_at
EZR	ezrin	6q25.2-q26	12.1	0.0002	208621_s_at
