Parametric p-value	Permutation p-value	Geom mean of ratios in class 1 : N	Geom mean of ratios in class 2 : R	Geom mean of ratios in class 3 : T	Unique id	Description	Clone	UG cluster	Gene symbol	Map
9.00E-07	0	0.414	0.326	1.223	166348	epidermal growth factor receptor pathway substrate 8-related protein 1	1395088	Hs.28907	EPS8R1	19q13.42
9.00E-07	0	0.127	0.349	0.64	166331	Arg/Abl-interacting protein ArgBP2	1495766	Hs.379795	ARGBP2	4q35.1
9.00E-07	0	1.011	2.238	2.34	169526	transducin-like enhancer of split 2 (E(sp1) homolog, Drosophila)	1236828	Hs.332173	TLE2	19p13.3
9.00E-07	0	0.103	0.574	0.967	169644	hypothetical protein MGC27085	1256859	Hs.120277	MGC27085	3q26.31
9.00E-07	0	0.01	0.039	0.431	161792	tetraspan 1	2989680	Hs.38972	TSPAN1	1p33
1.00E-06	0	0.17	0.872	1.348	163423	Incyte EST	2279991	NA	NA	NA
1.00E-06	0	0.238	0.485	0.47	159850	Homo sapiens cDNA FLJ34315 fis, clone FEBRA2008341.	1734634	Hs.376655	NA	14
1.00E-06	0	0.3	0.757	1.002	166527	hypothetical protein FLJ13942	2041712	Hs.20537	FLJ13942	6q22.31
1.00E-06	0	0.644	1.523	3.163	167091	epidermal growth factor receptor pathway substrate 8	438438	Hs.2132	EPS8	12q23-q24
1.00E-06	0	1.325	1.701	4.492	162505	keratin 7	1962141	Hs.23881	KRT7	12q12-q13
1.00E-06	0	0.431	1.599	3.091	165457	solute carrier family 27 (fatty acid transporter), member 2	2658782	Hs.11729	SLC27A2	15q21.2
1.10E-06	0	0.081	0.357	0.991	168850	dynein, axonemal, light intermediate polypeptide 1	1998792	Hs.406050	DNALI1	1p35.1
1.20E-06	0	0.163	0.561	0.82	169048	ESTs	4003773	Hs.131511	NA	2
1.20E-06	0	0.379	0.649	0.829	163234	Incyte EST	2243769	NA	NA	NA
1.20E-06	0	0.212	0.357	2.962	160726	mucin 1, transmembrane	2957567	Hs.89603	MUC1	1q21
1.30E-06	0	0.389	0.55	1.119	163443	ESTs	2136337	Hs.110044	NA	9
1.30E-06	0	1.038	2.034	2.222	169319	calponin 1, basic, smooth muscle	2696735	Hs.21223	CNN1	19p13.2-p13.1
1.40E-06	0	0.208	0.23	0.648	160543	Rho GTPase-activating protein	2283906	Hs.111138	RICS	11q24-q25
1.40E-06	0	0.137	0.72	1.446	168057	hypothetical protein FLJ22167	2571363	Hs.6853	FLJ22167	16q22.3
1.40E-06	0	0.303	0.705	0.67	166070	kallikrein B, plasma (Fletcher factor) 1	2021730	Hs.1901	KLKB1	4q34-q35
1.40E-06	0	1.015	1.799	2.67	168487	two-pore channel 1, homolog	589453	Hs.26440	KIAA1169	12q24.21
1.50E-06	0	0.61	2.333	2.879	166320	transforming growth factor, beta receptor III (betaglycan, 300kDa)	1443766	Hs.342874	TGFBR3	1p33-p32
1.60E-06	0	0.984	0.821	1.719	159793	inositol polyphosphate-4-phosphatase, type II, 105kDa	3032739	Hs.153687	INPP4B	4q31.1
1.60E-06	0	0.207	0.463	0.721	160541	lipidosin	1996309	Hs.277543	BG1	15q23-q24
1.70E-06	0	0.5	0.688	2.521	163859	anterior gradient 2 homolog (Xenepus laevis)	1998428	Hs.413945	AGR2	7p21.3
1.70E-06	0	0.225	0.535	0.603	167754	Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 926491.	1506962	Hs.98401	NA	19
1.80E-06	0	1.742	3.49	7.177	164578	diaphorase (NADH/NADPH) (cytochrome b-5 reductase)	2637222	NA	NA	NA
1.80E-06	0	1.849	5.058	8.219	159920	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 6	1904994	Hs.41072	SERPINB6	6p25
1.80E-06	0	0.32	0.561	0.537	168531	A kinase (PRKA) anchor protein (yotiao) 9	997782	Hs.58103	AKAP9	7q21-q22
1.80E-06	0	0.229	0.598	1.079	166104	inhibin, beta B (activin AB beta polypeptide)	1504993	Hs.1735	INHBB	2cen-q13
1.90E-06	0	0.048	0.309	0.671	167328	Ras-related associated with diabetes	1538224	Hs.1027	RRAD	16q22
2.00E-06	0	0.456	1.307	1.636	166777	hypothetical protein FLJ21827	261809	Hs.334360	FLJ21827	11q23.3
2.30E-06	0	0.206	0.508	0.646	165971	histidine decarboxylase	1998060	Hs.1481	HDC	15q21-q22
2.30E-06	0	0.565	1.201	1.232	169235	numb homolog (Drosophila)	1879023	Hs.78890	NUMB	14q24.3
2.40E-06	0	1.96	1.994	4.405	165557	FK506 binding protein 1B, 12.6 kDa	1288118	Hs.77643	FKBP1B	2p24.1
2.50E-06	0	3.501	1.864	1.306	162033	kinesin family member 14	4511928	Hs.3104	KIF14	1pter-q31.3
2.50E-06	0	1.02	0.545	0.485	165593	transmembrane 7 superfamily member 1 (upregulated in kidney)	830684	Hs.15791	TM7SF1	1q42-q43
2.60E-06	0	0.317	0.636	1.071	168607	B/K protein	1922038	Hs.26971	LOC51760	16p13.11
2.60E-06	0	0.726	1.156	2.525	169159	KIAA0089 protein	1803418	Hs.82432	KIAA0089	3p22.3
2.60E-06	0	0.653	0.702	1.283	163467	hypothetical protein BC010682	1493357	Hs.4896	LOC90550	10q22.2
2.70E-06	0	0.327	0.777	0.94	160277	chromosome 14 open reading frame 79	2056424	Hs.27183	C14orf79	14q32.33
2.90E-06	0	5.987	3.491	2.185	166182	exonuclease 1	4385292	Hs.47504	EXO1	1q42-q43
3.10E-06	0	0.269	0.504	1.25	160146	myosin ID	1556011	Hs.39871	MYO1D	17q11-q12
3.10E-06	0	1.122	0.739	0.594	165206	syntaxin 6	2748585	Hs.157144	STX6	1q24.3
3.20E-06	0	1.291	0.597	0.657	160635	v-ral simian leukemia viral oncogene homolog A (ras related)	1981716	Hs.6906	RALA	7p22-p15
3.30E-06	0	0.247	0.405	1.132	160285	Meis1, myeloid ecotropic viral integration site 1 homolog (mouse)	2310087	Hs.170177	MEIS1	2p14-p13
3.40E-06	0	2.515	4.644	9.218	167401	microphthalmia-associated transcription factor	3484440	Hs.166017	MITF	3p14.1-p12.3
3.50E-06	0	0.592	1.081	1.137	164635	DKFZP586P0123 protein	1923483	Hs.376803	DKFZP586P012	11q13.3
3.60E-06	0	0.939	2.121	1.959	165730	mannose-6-phosphate receptor (cation dependent)	1489979	Hs.134084	M6PR	12p13
3.90E-06	0	0.459	0.911	0.883	164826	Homo sapiens cDNA FLJ30048 fis, clone ADRGL1000018.	2466668	Hs.238956	NA	17
3.90E-06	0	0.436	0.796	0.802	164177	Homo sapiens, Similar to hypothetical protein FLJ13639, clone IMAGE:4310637, mRNA	2372541	Hs.390401	NA	13
4.00E-06	0	0.673	1.672	1.669	163281	hypothetical protein FLJ20345	1495247	Hs.20558	FLJ20345	17q23.2
4.10E-06	0	0.253	0.569	0.685	166597	collagen, type VIII, alpha 1	3118643	Hs.114599	COL8A1	3q12-q13.1
4.10E-06	0	0.111	0.418	0.613	165478	Homo sapiens cDNA FLJ11375 fis, clone HEMBA1000411, weakly similar to ANKYRIN.	1850249	Hs.352591	NA	10
4.30E-06	0	0.055	0.536	0.443	159964	B-cell CLL/lymphoma 3	1867294	Hs.31210	BCL3	19q13.1-q13.2
4.40E-06	0	0.633	0.987	0.743	160700	phosphatidylinositol glycan, class F	1557568	Hs.426142	PIGF	2p21-p16
4.40E-06	0	0.101	0.462	0.664	165615	sperm associated antigen 8	1731716	Hs.256747	SPAG8	9p13.3
4.40E-06	0	0.348	0.813	0.634	162195	ESTs, Weakly similar to hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	777175	Hs.348501	NA	8
4.70E-06	0	0.484	1.005	0.915	169304	hypothetical protein GL012	1943427	Hs.21379	GL012	9q34.11
4.80E-06	0	0.532	0.91	1.633	165764	dihydropyrimidinase-like 3	1403636	Hs.74566	DPYSL3	5q32
4.90E-06	0	0.228	0.525	0.531	167976	ESTs, Weakly similar to ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome; Ubiquitously transcribed TPR gene on Y chromosome [Homo sapiens] [H.sapiens]	2610364	Hs.371676	NA	17
4.90E-06	0	0.308	0.659	0.488	162092	E1A binding protein p400	1967172	Hs.306094	EP400	12q24.33
4.90E-06	0	0.231	0.651	0.762	166561	hypothetical protein RP4-622L5	3223070	Hs.272299	RP4622L5	1p36.11-p34.2
5.00E-06	0	0.314	0.605	0.607	168797	hypothetical protein LOC284001	2751505	Hs.122075	LOC284001	17q25.3
5.10E-06	0	0.224	0.494	0.628	165297	ESTs	2959963	Hs.189955	NA	7
5.20E-06	0	2.086	0.535	1.864	163591	Incyte EST	1260330	NA	NA	NA
5.20E-06	0	0.502	1.699	1.535	160723	Homo sapiens clone 24790 mRNA sequence	866608	Hs.13431	NA	12
5.60E-06	0	0.435	0.635	1.059	166477	ESTs	1984918	Hs.165795	NA	14
5.70E-06	0	0.371	0.73	0.727	160326	D-aspartate oxidase	464406	Hs.174441	DDO	6q21
5.80E-06	0	0.465	3.116	2.76	162194	complement component 4A	1996090	Hs.170250	C4A	6p21.3
6.00E-06	0	0.374	2.858	2.524	163985	melanoma inhibitory activity	1911332	Hs.279651	MIA	19q13.32-q13.33
6.00E-06	0	0.202	0.7	1.318	163549	ARF protein	1697490	Hs.264509	LOC51326	17q21.31
6.00E-06	0	7.405	4.341	3.256	167168	discs, large homolog 7 (Drosophila)	1970111	Hs.77695	DLG7	14q22.1
6.20E-06	0	0.808	1.368	1.384	168378	MCM3 minichromosome maintenance deficient 3 (S.cerevisiae) associated protein	789491	Hs.168481	MCM3AP	21q22.3
6.40E-06	0	0.388	1.069	0.988	160679	TBP-interacting protein	1842689	Hs.154740	TIP120B	3p25.1
6.40E-06	0	0.841	1.545	3.578	168362	serum-inducible kinase	1255087	Hs.3838	SNK	5q12.1-q13.2
6.40E-06	0	0.13	0.312	0.243	163465	Homo sapiens mRNA; cDNA DKFZp762N156 (from clone DKFZp762N156)	695016	Hs.194397	NA	7
6.50E-06	0	0.721	0.191	0.246	161050	claudin 1	2795896	Hs.7327	CLDN1	3q28-q29
6.60E-06	0	0.059	0.255	0.467	164669	hypothetical protein FLJ10466	1336835	Hs.121073	FLJ10466	6p12.1
6.70E-06	0	1.335	2.051	3.001	168486	tropomyosin 4	1996511	Hs.250641	TPM4	19p13.1
6.80E-06	0	0.279	0.598	1.293	165213	tripartite motif-containing 2	1267176	Hs.12372	TRIM2	4q31.23
6.80E-06	0	0.185	0.529	0.75	161240	KIAA0703 gene product	2791383	Hs.6168	KIAA0703	16q23.3
6.90E-06	0	0.374	1.095	1.5	166919	axin 2 (conductin, axil)	2359588	Hs.127337	AXIN2	17q23-q24
7.10E-06	0	0.494	0.55	1.09	164019	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 4 (GalNAc-T4)	2815133	Hs.271923	GALNT4	12q21.3-q22
7.20E-06	0	1.94	1.775	8.351	169308	Homo sapiens, clone IMAGE:4471726, mRNA	899118	Hs.288660	NA	12
7.30E-06	0	0.347	0.903	0.938	162998	oxysterol binding protein-like 5	2021590	Hs.112034	OSBPL5	11p15.4
7.40E-06	0	0.293	0.883	0.995	167251	zinc finger protein 91 homolog (mouse)	2904011	Hs.46366	ZFP91	11q12
7.90E-06	0	0.572	0.623	1.64	166137	KIAA0790 protein	1722691	Hs.12002	KIAA0790	6q24.3
8.10E-06	0	0.169	0.084	0.923	160894	tumor-associated calcium signal transducer 2	1600421	Hs.23582	TACSTD2	1p32-p31
8.30E-06	0	0.237	0.613	1.162	166246	mutated in colorectal cancers	1599488	Hs.1345	MCC	5q21-q22
8.40E-06	0	0.27	0.76	1.052	168967	KIAA1244 protein	1751692	Hs.194408	KIAA1244	6q23.3
8.80E-06	0	0.157	0.757	1.546	164829	B7 protein	1215389	Hs.155586	B7	12p13
8.80E-06	0	0.374	0.551	0.866	166810	ESTs	640177	Hs.110334	NA	4
9.10E-06	0	0.519	0.902	0.844	161402	bromodomain containing 8	2634206	Hs.5464	BRD8	5q31
9.10E-06	5.00E-04	0.183	0.244	0.811	169569	spermidine/spermine N1-acetyltransferase	63038	Hs.28491	SAT	Xp22.1
9.90E-06	0	0.747	1.77	1.35	167476	Homo sapiens cDNA FLJ30301 fis, clone BRACE2003217.	1399368	Hs.285728	NA	2
1.02E-05	0	2.013	1.973	1.089	162747	thymopoietin	2289176	Hs.406660	TMPO	12q22
1.05E-05	0	0.322	0.85	2.339	168336	claudin 10	958923	Hs.26126	CLDN10	13q31-q34
1.07E-05	0	0.738	2.268	1.632	164746	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	1888940	Hs.71622	SMARCD3	7q35-q36
1.10E-05	0	0.148	0.404	0.637	159957	calcium channel, voltage-dependent, gamma subunit 3	1414565	Hs.7235	CACNG3	16p12-p13.1
1.12E-05	0	0.82	1.489	1.301	163386	bromodomain containing 8	2992892	Hs.5464	BRD8	5q31
1.13E-05	0	0.306	0.539	0.697	164511	synaptopodin	1923572	Hs.5307	KIAA1029	5q33.1
1.20E-05	0	0.5	1.016	1.267	159780	multiple PDZ domain protein	1601609	Hs.169378	MPDZ	9p24-p22
1.22E-05	0	0.267	0.302	0.757	166468	dihydropyrimidine dehydrogenase	1485479	Hs.1602	DPYD	1p22
1.23E-05	0	0.568	0.953	0.949	169563	zinc finger protein 103 homolog (mouse)	1843290	Hs.155968	ZFP103	2p11.2
1.26E-05	0	0.617	1.242	1.295	162008	growth arrest-specific 8	3687253	Hs.54877	GAS8	16q24.3
1.27E-05	0	0.57	1.142	0.768	160699	RAB28, member RAS oncogene family	1457948	Hs.404189	RAB28	4p16.1
1.27E-05	0	0.2	0.413	0.613	163235	FLJ00005 protein	1368493	Hs.367690	FLJ00005	15q22.33
1.27E-05	0	4.58	4.97	2.124	167789	syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)	1782172	Hs.1501	SDC2	8q22-q23
1.29E-05	0	0.985	0.912	2.358	163772	calpastatin	1453748	Hs.359682	CAST	5q15-q21
1.31E-05	0	0.403	0.703	0.957	162528	Homo sapiens clone 23736 mRNA sequence	962043	Hs.7888	NA	2
1.32E-05	0	0.838	1.897	1.113	168959	hypothetical protein FLJ21016	1447393	Hs.289069	FLJ21016	1q42.12
1.33E-05	0	0.49	1.516	1.321	163704	nei like 2 (E. coli)	2025662	Hs.293818	NEIL2	8
1.35E-05	0	0.67	2.049	2.178	166554	echinoderm microtubule associated protein like 1	1482116	Hs.12451	EML1	14q32
1.37E-05	0	0.361	0.574	0.666	163513	KIAA1272 protein	1540157	Hs.15978	KIAA1272	20p11.22
1.38E-05	0	0.048	0.286	0.604	162545	sperm associated antigen 6	2360811	Hs.158213	SPAG6	10p12.2
1.42E-05	0	0.445	1.479	1.417	162146	KIAA0590 gene product	1996021	Hs.111862	KIAA0590	16p13.3
1.47E-05	0	2.364	2.182	1.249	162797	TED protein	2409533	Hs.87619	TED	Xq13.1
1.49E-05	0	0.668	1.418	3.739	169417	ceruloplasmin (ferroxidase)	1982416	Hs.296634	CP	3q23-q25
1.50E-05	0	1.244	2.189	3.54	160847	microphthalmia-associated transcription factor	1749130	Hs.166017	MITF	3p14.1-p12.3
1.56E-05	0	0.153	0.871	0.955	167355	solute carrier family 26, member 4	3407861	Hs.159275	SLC26A4	7q31
1.56E-05	0	0.58	1.422	1.634	169649	KIAA0397 gene product	1001871	Hs.7416	KIAA0397	17p13.3
1.58E-05	0	1.976	0.393	1.696	163438	kallikrein 6 (neurosin, zyme)	1480159	Hs.79361	KLK6	19q13.3
1.59E-05	0	1.009	2.014	2.023	163456	phytanoyl-CoA hydroxylase (Refsum disease)	4073867	Hs.172887	PHYH	10pter-p11.2
1.60E-05	0	0.086	0.295	0.632	163509	Hermansky-Pudlak syndrome 3	604991	Hs.282804	HPS3	3q24
1.60E-05	0	0.924	1.58	2.563	164719	putative ankyrin-repeat containing protein	1689764	Hs.4996	DKFZP564D166	17q23.3
1.63E-05	0	0.536	1.168	1.336	162256	Human DNA sequence from clone 742C19 on chromosome 22q12.3-13.1. Contains a pseudogene similar to Cytochrome C Oxidase Polypeptide VB and (parts of) up to four novel genes, two with homology to Phorbolin genes and one a novel Chro	1841459	NA	NA	NA
1.66E-05	0	0.984	1.881	2.912	163651	adenylyl cyclase-associated protein 2	999366	Hs.296341	CAP2	6p22.3
1.66E-05	0	0.334	0.236	0.938	168892	LIM domain only 7	1832584	Hs.5978	LMO7	13q21.33
1.73E-05	0	1.226	0.751	0.707	168272	T cell receptor delta locus	2556177	Hs.2014	NA	14q11.2
1.76E-05	0	0.314	0.895	0.906	168367	DKFZP586A0522 protein	1965049	Hs.288771	DKFZP586A052	12q13.12
1.77E-05	0	0.019	0.016	0.309	159789	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 3	2795874	Hs.227948	SERPINB3	18q21.3
1.78E-05	0	0.67	0.99	1.192	169280	Homo sapiens cDNA FLJ39316 fis, clone OCBBF2014052.	2619	Hs.343787	NA	16
1.80E-05	0	0.478	1.393	1.197	167987	ectonucleoside triphosphate diphosphohydrolase 1	1672749	Hs.205353	ENTPD1	10q24
1.85E-05	0	0.086	0.518	0.407	160717	benzodiazapine receptor (peripheral) associated protein 1	1865225	Hs.112499	BZRAP1	17q22-q23
1.86E-05	0	0.196	0.491	0.592	164185	hypothetical protein FLJ10300	3881016	Hs.42233	FLJ10300	7q36.3
1.87E-05	0	0.094	0.324	0.38	165143	hypothetical protein FLJ20535	4044967	Hs.183362	FLJ20535	11q23.2
1.88E-05	0	0.147	0.537	0.411	167082	Homo sapiens colon cancer antigen NY-CO-45 mRNA, partial cds	275494	Hs.160881	NA	6
1.88E-05	0	0.214	0.485	0.676	164963	cystic fibrosis transmembrane conductance regulator, ATP-binding cassette (sub-family C, member 7)	1285503	Hs.426266	CFTR	7q31.2
1.89E-05	0	0.431	1.263	1.345	169138	PTH-responsive osteosarcoma B1 protein	15650	Hs.79340	B1	7p14
1.90E-05	0	0.355	1.218	1.081	168606	Duffy blood group	1987335	Hs.183	FY	1q21-q22
1.97E-05	0	0.958	2.411	2.63	168996	Bernardinelli-Seip congenital lipodystrophy 2 (seipin)	553371	Hs.293981	BSCL2	11q12-q13.5
2.01E-05	0	0.246	0.61	1.063	166877	Hypothetical 55.1 kDa protein F09G8.5 in chromosome III	2285109	Hs.125201	LOC220074	11q13.2
2.02E-05	0	0.205	0.815	0.705	166256	Homo sapiens cDNA FLJ20115 fis, clone COL05594	2716261	NA	NA	NA
2.03E-05	0	0.599	1.345	0.927	163707	PHD protein Jade-1	937508	Hs.238246	Jade1	4q26-q27
2.17E-05	0	1.616	1.824	1.022	168296	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	1994721	Hs.285013	ANP32A	15q22.3-q23
2.20E-05	0	0.507	0.815	0.864	169245	myotubular myopathy 1	1560906	Hs.75302	MTM1	Xq28
