accession	FC L/T	SI-L	SI-T	pBY	Gene Title	Gene Symbol
218625_at	4,009	347.473	86.681	0.000	neuritin 1	NRN1
202555_s_at	3,910	981.591	251.073	0.000	myosin, light polypeptide kinase	MYLK
213258_at	3,871	302.446	78.127	0.000	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)	TFPI
220037_s_at	3,834	157.132	40.981	0.001	extracellular link domain containing 1	XLKD1
220114_s_at	3,796	370.692	97.662	0.001	stabilin 2	STAB2
221748_s_at	3,785	1209.621	319.585	0.000	tensin	TNS
214974_x_at	3,738	103.616	27.722	0.008	chemokine (C-X-C motif) ligand 5	CXCL5
209656_s_at	3,695	332.462	89.982	0.000	transmembrane 4 superfamily member 10	TM4SF10
209210_s_at	3,589	387.844	108.064	0.000	pleckstrin homology domain containing, family C (with FERM domain) member 1	PLEKHC1
209047_at	3,507	1222.532	348.584	0.000	aquaporin 1 (channel-forming integral protein, 28kDa)	AQP1
202953_at	3,494	1084.349	310.363	0.000	complement component 1, q subcomponent, beta polypeptide	C1QB
205440_s_at	3,491	91.729	26.275	0.000	neuropeptide Y receptor Y1	NPY1R
206858_s_at	3,471	294.948	84.967	0.000	homeo box C6	HOXC6
203305_at	3,449	548.696	159.100	0.000	coagulation factor XIII, A1 polypeptide	F13A1
204468_s_at	3,423	354.721	103.638	0.000	tyrosine kinase with immunoglobulin and epidermal growth factor homology domains	TIE
206481_s_at	3,363	261.086	77.636	0.000	LIM domain binding 2	LDB2
202242_at	3,305	706.679	213.818	0.000	transmembrane 4 superfamily member 2	TM4SF2
219049_at	3,255	427.373	131.278	0.000	chondroitin beta1,4 N-acetylgalactosaminyltransferase	ChGn
218232_at	3,219	2441.639	758.396	0.000	complement component 1, q subcomponent, alpha polypeptide	C1QA
204731_at	3,207	183.111	57.101	0.007	transforming growth factor, beta receptor III (betaglycan, 300kDa)	TGFBR3
221529_s_at	3,119	1128.934	361.905	0.000	plasmalemma vesicle associated protein	PLVAP
212077_at	3,115	1328.088	426.352	0.000	caldesmon 1	CALD1
204359_at	3,092	502.110	162.374	0.000	fibronectin leucine rich transmembrane protein 2	FLRT2
219584_at	3,088	242.064	78.380	0.000	phospholipase A1 member A	PLA1A
207808_s_at	3,085	196.747	63.769	0.000	protein S (alpha)	PROS1
204894_s_at	3,076	142.050	46.178	0.001	amine oxidase, copper containing 3 (vascular adhesion protein 1)	AOC3
202973_x_at	3,050	375.023	122.965	0.000	family with sequence similarity 13, member A1	FAM13A1
211959_at	3,050	2489.119	816.050	0.005	insulin-like growth factor binding protein 5	IGFBP5
202609_at	3,021	195.368	64.663	0.000	epidermal growth factor receptor pathway substrate 8	EPS8
208335_s_at	3,021	1395.608	461.990	0.000	Duffy blood group	FY
218718_at	3,019	304.584	100.891	0.000	platelet derived growth factor C	PDGFC
221558_s_at	2,978	1338.683	449.556	0.000	lymphoid enhancer-binding factor 1	LEF1
204688_at	2,978	192.870	64.756	0.000	sarcoglycan, epsilon	SGCE
204677_at	2,968	197.359	66.492	0.000	cadherin 5, type 2, VE-cadherin (vascular epithelium)	CDH5
209821_at	2,964	254.035	85.716	0.000	chromosome 9 open reading frame 26 (NF-HEV)	C9orf26
204482_at	2,960	796.307	269.026	0.000	claudin 5 (transmembrane protein deleted in velocardiofacial syndrome)	CLDN5
209505_at	2,945	201.331	68.368	0.000	nuclear receptor subfamily 2, group F, member 1	NR2F1
206201_s_at	2,927	70.692	24.156	0.000	mesenchyme homeo box 2 (growth arrest-specific homeo box)	MEOX2
201212_at	2,914	1019.572	349.839	0.000	legumain	LGMN
203799_at	2,895	234.668	81.047	0.000	type I transmembrane C-type lectin receptor DCL-1	DCL-1
218901_at	2,888	222.915	77.185	0.000	phospholipid scramblase 4	PLSCR4
212950_at	2,883	210.219	72.923	0.000	G protein-coupled receptor 116	GPR116
209894_at	2,875	174.209	60.592	0.007	leptin receptor	LEPR
212298_at	2,867	291.301	101.600	0.000	neuropilin 1	NRP1
204150_at	2,857	682.206	238.762	0.000	stabilin 1	STAB1
205756_s_at	2,856	365.882	128.114	0.000	coagulation factor VIII, procoagulant component (hemophilia A)	F8
209278_s_at	2,838	123.441	43.491	0.002	tissue factor pathway inhibitor 2	TFPI2
212097_at	2,833	791.337	279.310	0.002	caveolin 1, caveolae protein, 22kDa	CAV1
210643_at	2,823	149.313	52.893	0.000	tumor necrosis factor (ligand) superfamily, member 11	TNFSF11
212099_at	2,816	1463.465	519.698	0.010	ras homolog gene family, member B	RHOB
206337_at	2,809	1314.766	468.065	0.001	chemokine (C-C motif) receptor 7	CCR7
201506_at	2,802	1462.481	521.904	0.000	transforming growth factor, beta-induced, 68kDa	TGFBI
206978_at	2,789	242.126	86.809	0.000	chemokine (C-C motif) receptor 2	CCR2
203766_s_at	2,776	421.125	151.729	0.004	leiomodin 1 (smooth muscle)	LMOD1
210986_s_at	2,771	682.704	246.416	0.005	tropomyosin 1 (alpha)	TPM1
219778_at	2,767	107.730	38.939	0.000	zinc finger protein, multitype 2	ZFPM2
202291_s_at	2,755	1025.184	372.170	0.002	matrix Gla protein	MGP
218918_at	2,753	428.584	155.686	0.000	mannosidase, alpha, class 1C, member 1	MAN1C1
202112_at	2,747	1541.212	561.046	0.000	von Willebrand factor	VWF
204897_at	2,738	541.395	197.719	0.000	prostaglandin E receptor 4 (subtype EP4)	PTGER4
208146_s_at	2,732	604.977	221.407	0.000	carboxypeptidase, vitellogenic-like	CPVL
203887_s_at	2,730	369.460	135.337	0.000	thrombomodulin	THBD
217897_at	2,727	580.510	212.901	0.000	FXYD domain containing ion transport regulator 6	FXYD6
201847_at	2,726	1881.393	690.139	0.000	lipase A, lysosomal acid, cholesterol esterase (Wolman disease)	LIPA
202075_s_at	2,714	851.794	313.830	0.000	phospholipid transfer protein	PLTP
205619_s_at	2,699	207.813	76.987	0.000	mesenchyme homeo box 1	MEOX1
213541_s_at	2,693	120.515	44.746	0.000	v-ets erythroblastosis virus E26 oncogene like (avian)	ERG
213620_s_at	2,678	1661.569	620.396	0.000	intercellular adhesion molecule 2	ICAM2
205569_at	2,673	729.314	272.868	0.004	lysosomal-associated membrane protein 3	LAMP3
201360_at	2,668	4452.095	1668.538	0.000	cystatin C (amyloid angiopathy and cerebral hemorrhage)	CST3
200986_at	2,658	1120.611	421.584	0.000	serine (or cysteine) proteinase inhibitor, clade G (C1 inhibitor), member 1, (angioedema, hereditary)	SERPING1
204134_at	2,648	348.795	131.712	0.000	phosphodiesterase 2A, cGMP-stimulated	PDE2A
212233_at	2,638	322.326	122.208	0.000	microtubule-associated protein 1B	MAP1B
204793_at	2,637	231.389	87.756	0.000	G protein-coupled receptor-associated sorting protein	GASP
209289_at	2,613	611.589	234.013	0.000	nuclear factor I/B	NFIB
217757_at	2,600	2350.100	903.855	0.000	alpha-2-macroglobulin	A2M
205229_s_at	2,583	181.318	70.197	0.005	coagulation factor C homolog, cochlin (Limulus polyphemus)	COCH
207173_x_at	2,575	275.249	106.881	0.000	cadherin 11, type 2, OB-cadherin (osteoblast)	CDH11
203632_s_at	2,569	300.041	116.787	0.000	G protein-coupled receptor, family C, group 5, member B	GPRC5B
203413_at	2,556	601.140	235.218	0.000	NEL-like 2 (chicken)	NELL2
218831_s_at	2,535	1198.699	472.815	0.000	Fc fragment of IgG, receptor, transporter, alpha	FCGRT
203910_at	2,518	319.442	126.846	0.000	PTPL1-associated RhoGAP 1	PARG1
205798_at	2,517	1639.190	651.375	0.007	interleukin 7 receptor	IL7R
206637_at	2,510	131.522	52.402	0.003	G protein-coupled receptor 105	GPR105
207389_at	2,466	528.519	214.347	0.000	glycoprotein Ib (platelet), alpha polypeptide	GP1BA
203382_s_at	2,464	1636.560	664.153	0.000	apolipoprotein E	APOE
201427_s_at	2,459	4976.683	2024.154	0.000	selenoprotein P, plasma, 1	SEPP1
204115_at	2,454	339.691	138.449	0.001	guanine nucleotide binding protein (G protein), gamma 11	GNG11
206118_at	2,433	367.869	151.221	0.000	signal transducer and activator of transcription 4	STAT4
204773_at	2,431	274.687	113.009	0.000	interleukin 11 receptor, alpha	IL11RA
212192_at	2,424	1542.736	636.419	0.000	potassium channel tetramerisation domain containing 12	KCTD12
202878_s_at	2,421	824.157	340.421	0.000	complement component 1, q subcomponent, receptor 1	C1QR1
203680_at	2,421	310.052	128.056	0.002	protein kinase, cAMP-dependent, regulatory, type II, beta	PRKAR2B
213071_at	2,406	1050.867	436.757	0.002	dermatopontin	DPT
206701_x_at	2,401	121.539	50.618	0.000	endothelin receptor type B	EDNRB
208982_at	2,397	1540.114	642.531	0.000	platelet/endothelial cell adhesion molecule (CD31 antigen)	PECAM1
205498_at	2,389	63.564	26.608	0.007	growth hormone receptor	GHR
210072_at	2,378	5005.052	2104.906	0.002	chemokine (C-C motif) ligand 19	CCL19
219528_s_at	2,371	559.659	236.044	0.000	B-cell CLL/lymphoma 11B (zinc finger protein)	BCL11B
210002_at	2,368	54.780	23.130	0.000	GATA binding protein 6	GATA6
220005_at	2,363	273.440	115.698	0.000	G protein-coupled receptor 86	GPR86
219371_s_at	2,361	1683.007	712.969	0.003	Kruppel-like factor 2 (lung)	KLF2
203685_at	2,360	399.805	169.408	0.000	B-cell CLL/lymphoma 2	BCL2
200795_at	2,354	2545.078	1081.174	0.000	SPARC-like 1 (mast9, hevin)	SPARCL1
219666_at	2,333	1004.877	430.774	0.000	membrane-spanning 4-domains, subfamily A, member 6A	MS4A6A
210762_s_at	2,328	269.785	115.893	0.001	deleted in liver cancer 1	DLC1
206682_at	2,323	202.401	87.142	0.000	C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 14 (macrophage-derived)	CLECSF14
208944_at	2,317	1967.724	849.386	0.000	transforming growth factor, beta receptor II (70/80kDa)	TGFBR2
204122_at	2,311	789.290	341.591	0.000	TYRO protein tyrosine kinase binding protein	TYROBP
219777_at	2,301	597.473	259.698	0.000	human immune associated nucleotide 2	hIAN2
202551_s_at	2,295	147.537	64.274	0.000	cysteine-rich motor neuron 1	CRIM1
202686_s_at	2,293	281.404	122.707	0.001	AXL receptor tyrosine kinase	AXL
201008_s_at	2,293	2752.945	1200.483	0.001	thioredoxin interacting protein	TXNIP
214433_s_at	2,287	306.350	133.933	0.004	selenium binding protein 1	SELENBP1
218723_s_at	2,286	629.288	275.333	0.000	response gene to complement 32	RGC32
201438_at	2,284	1659.603	726.529	0.000	collagen, type VI, alpha 3 /// collagen, type VI, alpha 3	COL6A3
210517_s_at	2,266	216.428	95.502	0.001	A kinase (PRKA) anchor protein (gravin) 12	AKAP12
211339_s_at	2,266	861.076	379.938	0.000	IL2-inducible T-cell kinase	ITK
219423_x_at	2,265	207.133	91.436	0.000	tumor necrosis factor receptor superfamily, member 25	TNFRSF25
201162_at	2,261	4042.693	1788.047	0.000	insulin-like growth factor binding protein 7	IGFBP7
210095_s_at	2,251	2014.847	895.180	0.001	insulin-like growth factor binding protein 3	IGFBP3
211005_at	2,234	645.472	288.895	0.000	linker for activation of T cells	LAT
209604_s_at	2,226	664.298	298.363	0.000	GATA binding protein 3	GATA3
203504_s_at	2,223	288.372	129.735	0.000	ATP-binding cassette, sub-family A (ABC1), member 1	ABCA1
208451_s_at	2,220	1083.468	488.017	0.001	complement component 4A	C4A
209541_at	2,218	188.821	85.133	0.000	insulin-like growth factor 1 (somatomedin C)	IGF1
202202_s_at	2,214	198.477	89.626	0.000	laminin, alpha 4	LAMA4
212195_at	2,197	1885.423	858.080	0.000	MRNA; cDNA DKFZp564F053 (from clone DKFZp564F053)	---
211964_at	2,193	1089.473	496.720	0.000	collagen, type IV, alpha 2	COL4A2
202898_at	2,192	433.234	197.626	0.004	syndecan 3 (N-syndecan)	SDC3
201809_s_at	2,184	671.969	307.615	0.000	endoglin (Osler-Rendu-Weber syndrome 1)	ENG
201565_s_at	2,179	959.418	440.305	0.000	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	ID2
209581_at	2,177	373.153	171.440	0.000	HRAS-like suppressor 3	HRASLS3
200771_at	2,176	787.520	361.970	0.000	laminin, gamma 1 (formerly LAMB2)	LAMC1
202350_s_at	2,176	243.015	111.660	0.000	matrilin 2	MATN2
201508_at	2,170	1302.251	600.103	0.002	insulin-like growth factor binding protein 4	IGFBP4
206380_s_at	2,164	400.301	184.967	0.000	properdin P factor, complement	PFC
201487_at	2,153	2132.668	990.543	0.000	cathepsin C	CTSC
212335_at	2,151	236.167	109.809	0.000	glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID)	GNS
213158_at	2,146	241.638	112.575	0.001	MRNA; cDNA DKFZp586B211 (from clone DKFZp586B211)	---
209264_s_at	2,146	375.349	174.925	0.000	transmembrane 4 superfamily member 7	TM4SF7
209840_s_at	2,137	167.712	78.473	0.008	leucine rich repeat neuronal 3	LRRN3
212419_at	2,124	432.566	203.703	0.000	chromosome 10 open reading frame 56	C10orf56
210607_at	2,119	78.825	37.202	0.000	fms-related tyrosine kinase 3 ligand	FLT3LG
209087_x_at	2,117	412.183	194.724	0.005	melanoma cell adhesion molecule	MCAM
219243_at	2,103	857.041	407.586	0.000	immunity associated protein 4	HIMAP4
219134_at	2,100	100.046	47.642	0.000	EGF, latrophilin and seven transmembrane domain containing 1	ELTD1
204232_at	2,100	921.069	438.671	0.000	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	FCER1G
221840_at	2,100	612.560	291.630	0.000	protein tyrosine phosphatase, receptor type, E	PTPRE
203474_at	2,097	165.431	78.874	0.000	IQ motif containing GTPase activating protein 2	IQGAP2
201743_at	2,093	969.046	463.078	0.001	CD14 antigen	CD14
207651_at	2,091	209.484	100.190	0.000	platelet activating receptor homolog	H963
214761_at	2,091	192.275	91.944	0.000	zinc finger protein 423	ZNF423
205883_at	2,084	139.562	66.961	0.002	zinc finger protein 145 (Kruppel-like, expressed in promyelocytic leukemia)	ZNF145
209879_at	2,079	659.609	317.198	0.000	selectin P ligand	SELPLG
201369_s_at	2,078	376.689	181.288	0.000	zinc finger protein 36, C3H type-like 2	ZFP36L2
212706_at	2,068	246.890	119.361	0.005	RAS p21 protein activator 4	RASA4
203817_at	2,065	142.614	69.072	0.000	guanylate cyclase 1, soluble, beta 3	GUCY1B3
213093_at	2,062	298.432	144.760	0.000	protein kinase C, alpha	PRKCA
218224_at	2,057	263.898	128.269	0.000	paraneoplastic antigen MA1	PNMA1
221814_at	2,055	416.769	202.815	0.000	G protein-coupled receptor 124	GPR124
211998_at	2,055	517.615	251.831	0.004	H3 histone, family 3B (H3.3B)	H3F3B
218486_at	2,051	181.522	88.519	0.000	TGFB inducible early growth response 2	TIEG2
218353_at	2,050	624.807	304.765	0.001	regulator of G-protein signalling 5	RGS5
205269_at	2,048	139.269	67.998	0.000	lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)	LCP2
217989_at	2,045	571.963	279.687	0.000	dehydrogenase/reductase (SDR family) member 8	DHRS8
222108_at	2,044	180.455	88.275	0.000	amphoterin induced gene 2	AMIGO2
203865_s_at	2,043	211.091	103.330	0.000	adenosine deaminase, RNA-specific, B1 (RED1 homolog rat)	ADARB1
210139_s_at	2,039	706.076	346.239	0.001	peripheral myelin protein 22	PMP22
218418_s_at	2,036	436.224	214.301	0.009	ankyrin repeat domain 25	ANKRD25
201328_at	2,033	374.702	184.269	0.000	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	ETS2
209568_s_at	2,031	752.429	370.384	0.000	ral guanine nucleotide dissociation stimulator-like 1	RGL1
213592_at	2,027	524.722	258.901	0.000	angiotensin II receptor-like 1	AGTRL1
202007_at	2,027	144.606	71.343	0.004	nidogen (enactin)	NID
203373_at	2,022	172.352	85.236	0.000	suppressor of cytokine signaling 2	SOCS2
213247_at	2,021	621.157	307.367	0.000	likely ortholog of mouse polydom	POLYDOM
211981_at	2,018	452.841	224.412	0.002	collagen, type IV, alpha 1	COL4A1
201061_s_at	2,015	1473.801	731.404	0.000	stomatin	STOM
205456_at	2,011	1039.615	516.906	0.000	CD3E antigen, epsilon polypeptide (TiT3 complex)	CD3E
200878_at	2,009	1915.638	953.651	0.000	endothelial PAS domain protein 1	EPAS1
