Probeset	Gene	Description	p-value
201390_s_at	CSNK2B	casein kinase 2, beta polypeptide	4.2931E-05
211992_at	WNK1	WNK lysine deficient protein kinase 1	4.54378E-05
205992_s_at	IL15	interleukin 15	4.58957E-05
200991_s_at	SNX17	sorting nexin 17	4.73166E-05
221610_s_at	STAP2	signal-transducing adaptor protein-2	4.76896E-05
201508_at	IGFBP4	insulin-like growth factor binding protein 4	4.83857E-05
219327_s_at	GPRC5C	G protein-coupled receptor, family C, group 5, member C	6.06081E-05
200985_s_at	CD59	CD59 antigen p18-20	6.20756E-05
202315_s_at	BCR	breakpoint cluster region	6.45513E-05
200627_at	TEBP	unactive progesterone receptor	6.4762E-05
201288_at	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta	6.49524E-05
205854_at	TULP3	tubby like protein 3	7.0941E-05
204369_at	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	7.12144E-05
202012_s_at	EXT2	exostoses (multiple) 2	7.25418E-05
206204_at	GRB14	growth factor receptor-bound protein 14	7.62668E-05
201980_s_at	RSU1	Ras suppressor protein 1	7.72429E-05
210105_s_at	FYN	FYN oncogene related to SRC, FGR, YES	7.73012E-05
218589_at	P2RY5	purinergic receptor P2Y, G-protein coupled, 5	8.07908E-05
202150_s_at	NEDD9	neural precursor cell expressed, developmentally down-regulated 9	8.37333E-05
212273_x_at	GNAS	GNAS complex locus	8.74661E-05
200833_s_at	RAP1B	RAP1B, member of RAS oncogene family	8.96348E-05
214724_at	DIXDC1	DIX domain containing 1	9.31294E-05
207643_s_at	TNFRSF1A	tumor necrosis factor receptor superfamily, member 1A	9.56597E-05
219020_at	FLJ14249	HS1-binding protein 3	9.74361E-05
203895_at	PLCB4	phospholipase C, beta 4	0.000101184
204336_s_at	RGS19	regulator of G-protein signalling 19	0.000106767
217792_at	SNX5	sorting nexin 5	0.000113975
210056_at	RND1	Rho family GTPase 1	0.000121576
32137_at	JAG2	jagged 2	0.000123516
205596_s_at	SMURF2	SMAD specific E3 ubiquitin protein ligase 2	0.000126851
205698_s_at	MAP2K6	mitogen-activated protein kinase kinase 6	0.000143749
218931_at	RAB17	RAB17, member RAS oncogene family	0.000144453
217763_s_at	RAB31	RAB31, member RAS oncogene family	0.000179924
214875_x_at	APLP2	amyloid beta (A4) precursor-like protein 2	0.000185475
209184_s_at	IRS2	insulin receptor substrate 2	0.000193615
204602_at	DKK1	dickkopf homolog 1 (Xenopus laevis)	0.000260573
