Functional Group	Parametric P	Fold difference of geometric means (T/N)†	Description	UniGene cluster	Gene Symbol	Map
Ion homeostasis	0.00001	0.179	Ceruloplasmin (ferroxidase)	Hs.296634	CP	3q23-q25
Ion homeostasis	0.00001	0.274	Calcium channel, voltage-dependent, beta 3 subunit	Hs.250712	CACNB3	12q13
Ion homeostasis	0.00002	0.232	Calcium channel, voltage-dependent, gamma subunit 3	Hs.7235	CACNG3	16p12-p13.1
Ion homeostasis	0.00017	0.16	Solute carrier family 26, member 4	Hs.159275	SLC26A4	7q31
Ion homeostasis	0.00017	0.285	Calcium and integrin binding 1 (calmyrin)	Hs.10803	CIB1	15q25.3-q26
Ion homeostasis	0.00025	0.129	ATPase, Class V, type 10B	Hs.109358	ATP10B	5q34
Ion homeostasis	0.00043	0.128	Lactotransferrin	Hs.105938	LTF	3q21-q23
Ion homeostasis	0.00065	0.393	Solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2	Hs.102307	SLC13A2	17p11.1-q11.1
Membrane protein/receptor	0.00005	0.096	Connective tissue growth factor	Hs.75511	CTGF	6q23.1
Membrane protein/receptor	<0.00001	0.038	Prominin-like 1 (mouse)	Hs.112360	PROML1	4p15.33
Membrane protein/receptor	0.00009	0.289	Transmembrane 4 superfamily member 6	Hs.121068	TM4SF6	Xq22
Membrane protein/receptor	0.0001	0.511	Receptor (calcitonin) activity-modifying protein 2	Hs.155106	RAMP2	17q12-q21.1
Membrane protein/receptor	0.00047	0.593	Membrane-bound transcription factor protease, site	Hs.75890	MBTPS1	16q24
Metabolism	<0.00001	0.121	Monoglyceride lipase	Hs.6721	MGLL	3q21.3
Metabolism	<0.00001	0.083	Carboxylesterase 1 (monocyte/macrophage serine esterase 1)	Hs.76688	CES1	16q13-q22.1
Metabolism	<0.00001	0.188	Cytochrome P450, family 2, subfamily J, polypeptide 2	Hs.152096	CYP2J2	1p31.3-p31.2
Metabolism	<0.00001	0.292	Iduronate 2-sulfatase (Hunter syndrome)	Hs.172458	IDS	Xq28
Metabolism	<0.00001	0.29	Galactosamine (N-acetyl)-6-sulfate sulfatase (Morquio syndrome, mucopolysaccharidosis type IVA)	Hs.159479	GALNS	16q24.3
Metabolism	0.00001	0.083	Aldehyde dehydrogenase 1 family, member A1	Hs.76392	ALDH1A1	9q21.13
Metabolism	0.00004	0.378	Carboxylesterase 2 (intestine, liver)	Hs.282975	CES2	16q21
Metabolism	0.00005	0.226	Spermidine/spermine N1-acetyltransferase	Hs.28491	SAT	Xp22.1
Metabolism	0.00045	0.147	Glutathione S-transferase A3	Hs.102484	GSTA3	6p12.1
Oncogene	0.00001	0.397	V-ral simian leukemia viral oncogene homologue B (ras related; GTP binding protein)	Hs.348024	RALB	2cen-q13
Oncogene	0.00022	0.323	Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse)	Hs.170027	MDM2	12q14.3-q15
Protease/Protease Inhibitor	<0.00001	0.023	Secretory leukocyte protease inhibitor (antileukoproteinase)	Hs.251754	SLP1	20q12
Protease/Protease Inhibitor	<0.00001	0.067	Sodium channel, nonvoltage-gated 1  alpha	Hs.446415	SCNN1A	12p13
Protease/Protease Inhibitor	<0.00001	0.225	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 6	Hs.41072	SERPINB6	6p25
Protease/Protease Inhibitor	<0.00001	0.152	Amylase,  alpha 2B; pancreatic	Hs.335493	AMY2B	1p21
Protease/Protease Inhibitor	0.00036	0.061	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 3	Hs.227948	SERPINB3	18q21.3
Protease/Protease Inhibitor	0.00074	0.096	Matrix metalloproteinase 10 (stromelysin 2)	Hs.2258	MMP10	11q22.3
Secretory protein	<0.00001	0.019	Trefoil factor 3 (intestinal)	Hs.82961	TFF3	21q22.3
Secretory protein	0.00085	0.449	Trefoil factor 1 (breast cancer, estrogen-inducible sequence expressed in)	Hs.82961	TFF3	21q22.3
Signal transduction	<0.00001	0.388	Rho-related BTB domain containing 1	Hs.15099	RHOBTB1	10q21.2
Signal transduction	<0.00001	0.212	Inhibin,  beta B (activin AB  beta polypeptide)	Hs.1735	INHBB	2cen-q13
Signal transduction	<0.00001	0.198	Arg/Abl-interacting protein ArgBP2	Hs.379795	ARGBP2	4q35.1
Signal transduction	<0.00001	0.432	Transducin-like enhancer of split 2 (E(sp1) homologue, Drosophila)	Hs.332173	TLE2	19p13.3
Signal transduction	<0.00001	0.226	Protein tyrosine phosphatase, receptor type, U	Hs.19718	PTPRU	1p35.3-p35.1
Signal transduction	<0.00001	0.072	Ras-related associated with diabetes	Hs.1027	RRAD	16q22
Signal transduction	0.00001	0.445	FK506 binding protein 1B, 12.6 kDa	Hs.77643	FKBP1B	2p24.1
Signal transduction	0.00001	0.301	Phosphodiesterase 8B	Hs.78106	PDE8B	5q13.2
Signal transduction	0.00001	0.212	Transforming growth factor,  beta receptor III (betaglycan, 300 kDa)	Hs.342874	TGFBR3	1p33-p32
Signal transduction	0.00002	0.321	Rho GTPase-activating protein	Hs.111138	RICS	11q24-q25
Signal transduction	0.00003	0.419	RAB, member of RAS oncogene family-like 4	Hs.50267	RABL4	22q13.1
Signal transduction	0.00003	0.459	Numb homologue (Drosophila)	Hs.78890	NUMB	14q24.3
Signal transduction	0.00004	0.249	Axin 2 (conductin, axil)	Hs.127337	AXIN2	17q23-q24
Signal transduction	0.00006	0.314	EphA2	Hs.171596	EPHA2	1p36
Signal transduction	0.00006	0.527	Protein kinase C, zeta	Hs.78793	PRKCZ	1p36.33-p36.2
Signal transduction	0.00007	0.307	V-erb-b2 erythroblastic leukemia viral oncogene homologue 3 (avian)	Hs.199067	ERBB3	12q13
Signal transduction	0.00008	0.253	Retinoic acid induced 3	Hs.194691	RAI3	12p13-p12.3
Signal transduction	0.0001	0.242	Serine/threonine kinase with Dbl-and pleckstrin homology domains	Hs.162189	TRAD	3q21.2
Signal transduction	0.00016	0.243	Protein tyrosine phosphatase, receptor-type, Z polypeptide 1	Hs.78867	PTPRZ1	7q31.3
Signal transduction	0.00046	0.355	Transforming growth factor  beta-stimulated protein TSC-22	Hs.114360	TSC22	13q14
Signal transduction	0.00053	0.285	Myeloid differentiation primary response gene (88)	Hs.82116	MYD88	3p22
Signal transduction	0.00072	0.183	Tumor-associated calcium signal transducer 2	Hs.23582	TACSTD2	1p32-p31
Signal transduction	0.0008	0.35	Interleukin 1 receptor, type I	Hs.82112	IL1R1	2q12
Structural protein	<0.00001	0.082	Dynein, axonemal, light intermediate polypeptide 1	Hs.406050	DNAL11	1p35.1
Structural protein	<0.00001	0.256	Keratin 7	Hs.23881	KRT7	12q12-q13
Structural protein	<0.00001	0.237	Calmin (calponin-like, transmembrane)	Hs.406099	CLMN	14q32.2
Structural protein	<0.00001	0.259	Kinesin family member 13B	Hs.15711	KIF13B	8p12
Structural protein	<0.00001	0.072	Mucin 1, transmembrane	Hs.89603	MUC1	1q21
Structural protein	<0.00001	0.241	Mucin 5, subtype B, tracheobronchial	Hs.102482	MUC5B	11p15
Structural protein	0.00002	0.369	Collagen, type VIII,  alpha 1	Hs.114599	COL8A1	3q12-q13.1
Structural protein	0.00003	0.215	Myosin ID	Hs.39871	MYO1D	17q11-q12
Structural protein	0.00022	0.145	Profilin 2	Hs.91747	PFN2	3q25.1-q25.2
Structural protein	0.00084	0.264	Tubulin,  beta polypeptide	Hs.336780	TUBB	6p21.3
Transcription factor	<0.00001	0.204	Meis1, myeloid ecotropic viral integration site 1 homologue 3 (mouse)	Hs.380923	MEIS3	17p11.2
Transcription factor	<0.00001	0.187	Zinc finger protein 204	Hs.8198	ZNF204	6p21.3
Transcription factor	<0.00001	0.116	Regulatory factor X, 2 (influences HLA class II expression)	Hs.100007	RFX2	19p13.3-p13.2
Transcription factor	<0.00001	0.218	Meis1, myeloid ecotropic viral integration site 1 homologue (mouse)	Hs.170177	MEIS1	2p14-p13
Transcription factor	<0.00001	0.569	Myeloid/lymphoid or mixed-lineage leukemia (trithorax homologue, Drosophila); translocated to, 2	Hs.114765	MLLT2	4q21
Transcription factor	<0.00001	0.241	E74-like factor 3 (ets domain transcription factor, epithelial-specific)	Hs.166096	ELF3	1q32.2
Transcription factor	0.00001	0.273	Microphthalmia-associated transcription factor	Hs.166017	MITF	3p14.1-p12.3
Transcription factor	0.00002	0.039	Forkhead box J1	Hs.93974	FOXJ1	17q22-17q25
Transcription factor	0.00007	0.124	B-cell CLL/lymphoma 3	Hs.31210	BCL3	19q13.1-q13.2
Transcription factor	0.00043	0.367	Kruppel-like factor 4 (gut)	Hs.356370	KLF4	9q31
Transcription factor	0.00051	0.151	Zinc finger protein 76 (expressed in testis)	Hs.29222	ZNF76	6p21.3-p21.2
Transcription factor	0.00089	0.349	Interferon-stimulated transcription factor 3, 48 kDa	Hs.1706	ISGF3G	14q11.2
Transcription factor	0.00091	0.375	Bone morphogenetic protein 1	Hs.1274	BMP1	8p21
Tumor suppressor	<0.00001	0.124	Retinoic acid receptor responder (tazarotene induced) 1	Hs.82547	RARRES1	3q25.32
Tumor suppressor	<0.00001	0.339	Epidermal growth factor receptor pathway substrate 8-related protein 1	Hs.28907	EPS8R1	19q13.42
Tumor suppressor	<0.00001	0.261	HRAS-like suppressor 3	Hs.37189	HRASLS3	11q12.3
Tumor suppressor	<0.00001	0.204	Mutated in colorectal cancers	Hs.1345	MCC	5q21-q22
Tumor suppressor	0.00001	0.076	Nonmetastatic cells 5, protein expressed in (nucleoside-diphosphate kinase)	Hs.72050	NME5	5q31
Tumor suppressor	0.00011	0.476	Growth arrest-specific 8	Hs.54877	GAS8	16q24.3
Tumor suppressor	0.00014	0.448	Loss of heterozygosity, 11, chromosomal region 2, gene A	Hs.152944	LOH11CR2A	11q23
