Probe Set	FC(C)	P(C)	FC(T)	P(T)	Gene Symbol	Gene ID	Unigene	Chromosome	Description
206799_at	50	0.001	82	0.02	SCGB1D2	10647	Hs.204096	11q13	secretoglobin, family 1D, member 2
219880_at	32	0.001	29	0.007	FLJ23053	64942	Hs.458412	5q35.3	hypothetical protein FLJ23053
37577_at	22	0.001	10	0.01	ARHGAP19	84986	Hs.80305	10q24.2	Rho GTPase activating protein 19
201582_at	17	0.001	7	0.009	SEC23B	10483	Hs.369373	20p11.23	Sec23 homolog B (S. cerevisiae)
206526_at	16	0.001	9	0.002	RIBC2	26150	Hs.475110	22q13.31	chromosome 22 open reading frame 11
212560_at	13	0.001	11	0.002	SORL1	6653	Hs.368592	11q23.2-q24.2	sortilin-related receptor, L(DLR class) A repeats-containing
218966_at	10	0.001	9	0.00005	MYO5C	55930	Hs.487036	15q21	myosin VC
204720_s_at	6	0.001	2	0.02	DNAJC6	9829	Hs.536063	1pTER-q31.3	DnaJ (Hsp40) homolog, subfamily C, member 6
205427_at	6	0.001	5	0.006	ZNF354A	6940	Hs.484324	5q35.3	zinc finger protein 354A
203775_at	4	0.001	9	0.001	SLC25A13	10165	Hs.489190	7q21.3	solute carrier family 25, member 13 (citrin)
218769_s_at	3	0.001	1	0.04	ANKRA2	57763	Hs.239154	5q12-q13	ankyrin repeat, family A (RFXANK-like), 2
200709_at	2	0.001	2	0.003	FKBP1A	2280	Hs.471933	20p13	FK506 binding protein 1A, 12kDa
218885_s_at	59	0.002	77	0.0003	GALNT12	79695	Hs.47099	9q31.1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12
203218_at	28	0.002	13	0.003	MAPK9	5601	Hs.484371	5q35	mitogen-activated protein kinase 9
204493_at	26	0.002	12	0.009	BID	637	Hs.474150	22q11.1	BH3 interacting domain death agonist
204079_at	23	0.002	10	0.0009	TPST2	8459	Hs.474441	22q12.1	tyrosylprotein sulfotransferase 2
219918_s_at	23	0.002	58	0.00009	ASPM	259266	Hs.121028	1q31	asp (abnormal spindle)-like, microcephaly associated (Drosophila)
221584_s_at	22	0.002	21	0.002	KCNMA1	3778	Hs.144795	10q22-q23	potassium large conductance calcium-activated channel, subfamily M, alpha member 1
205980_s_at	16	0.002	15	0.006	ARHGAP8	23779	Hs.102336	22q13.31	Rho GTPase activating protein 8
203659_s_at	14	0.002	3	0.004	RFP2	10206	Hs.436922	13q14	ret finger protein 2
214844_s_at	12	0.002	11	0.003	DOK5	55816	Hs.473133	20q13.2	docking protein 5
218009_s_at	11	0.002	74	0.00005	PRC1	9055	Hs.459362	15q26.1	protein regulator of cytokinesis 1
217196_s_at	10	0.002	7	0.0008	KIAA1078	23271	Hs.23585	1q32.1	KIAA1078 protein
203508_at	9	0.002	9	0.0005	TNFRSF1B	7133	Hs.256278	1p36.3-p36.2	tumor necrosis factor receptor superfamily, member 1B
201353_s_at	7	0.002	7	0.003	BAZ2A	11176	Hs.314263	12q24.3-qTER	bromodomain adjacent to zinc finger domain, 2A
213058_at	7	0.002	3	0.05	KIAA1043	23331	Hs.387856	22q12.1	KIAA1043 protein
211033_s_at	6	0.002	3	0.02	PEX7	5191	Hs.280932	6q21-q22.2	peroxisomal biogenesis factor 7
218857_s_at	6	0.002	4	0.0005	ASRGL1	80150	Hs.535326	11q12.3	asparaginase like 1
209972_s_at	4	0.002	8	0.0006	HRI	27102	Hs.520205	7p22	JTV1 gene
214438_at	4	0.002	5	0.04	HLX1	3142	Hs.74870	1q41-q42.1	H2.0-like homeo box 1 (Drosophila)
203932_at	3	0.002	3	0.04	HLA-DMB	3109	Hs.1162	6p21.3	major histocompatibility complex, class II, DM beta
218097_s_at	1	0.002	2	0.01	CUEDC2	79004	Hs.500874	10q24.32	CUE domain containing 2
219667_s_at	36	0.003	6	0.02	BANK1	55024	Hs.480400	4q24	B-cell scaffold protein with ankyrin repeats 1
202495_at	19	0.003	24	0.003	TBCC	6903	Hs.75064	6pTER-p12.1	tubulin-specific chaperone c
216237_s_at	19	0.003	15	0.0009	MCM5	4174	Hs.517582	22q13.1	MCM5 minichromosome maintenance deficient 5, cell division cycle 46
212306_at	17	0.003	7	0.01	CLASP2	23122	Hs.108614	3p22.3	cytoplasmic linker associated protein 2
219767_s_at	11	0.003	6	0.007	CRYZL1	9946	Hs.352671	21q21.3	crystallin, zeta (quinone reductase)-like 1
209533_s_at	7	0.003	10	0.002	PLAA	9373	Hs.27182	9p21	phospholipase A2-activating protein
210653_s_at	7	0.003	5	0.02	BCKDHB	594	Hs.436387	6q13-q15	branched chain keto acid dehydrogenase E1
222361_at	7	0.003	4	0.02	LOC286222	286222		9q34.3	similar to beta-tubulin 4Q
217955_at	6	0.003	3	0.0001	BCL2L13	23786	Hs.546359	22q11	BCL2-like 13 (apoptosis facilitator)
218462_at	6	0.003	6	0.003	RPF1	80135	Hs.481202	1p22.3	RNA processing factor 1
202439_s_at	5	0.003	5	0.01	IDS	3423	Hs.303154	Xq28	iduronate 2-sulfatase (Hunter syndrome)
212532_s_at	5	0.003	3	0.006	FLJ30656	124801	Hs.355570	17q21.31	hypothetical protein FLJ30656
205225_at	4	0.003	5	0.0008	ESR1	2099	Hs.208124	6q25.1	estrogen receptor 1
205406_s_at	4	0.003	5	0.02	SPA17	53340	Hs.286233	11q24.2	sperm autoantigenic protein 17
206566_at	3	0.003	2	0.04	SLC7A1	6541	Hs.14846	13q12-q14	solute carrier family 7, member 1
212641_at	3	0.003	2	0.02	HIVEP2	3097	Hs.510172	6q23-q24	human immunodeficiency virus type I enhancer binding protein 2
203892_at	2	0.003	23	0.0001	WFDC2	10406	Hs.2719	20q12-q13.2	WAP four-disulfide core domain 2
222139_at	83	0.004	57	0.01	KIAA1466	57612	Hs.147710	7q33	KIAA1466 protein
219132_at	55	0.004	21	0.005	PELI2	57161	Hs.105103	14q21	pellino homolog 2 (Drosophila)
39248_at	23	0.004	65	0.001	AQP3	360	Hs.234642	9p13	aquaporin 3
220302_at	19	0.004	4	0.01	MAK	4117	Hs.446125	6q22	male germ cell-associated kinase
209934_s_at	15	0.004	10	0.007	ATP2C1	27032	Hs.546361	3q22.1	ATPase, Ca++ transporting, type 2C, member 1
215102_at	14	0.004	5	0.05	LOC89231	89231	Hs.331147	7p14.3	LOC89231
204489_s_at	13	0.004	27	0.0003	CD44	960	Hs.502328	11p13	CD44 antigen (homing function and Indian blood group system)
213161_at	13	0.004	6	0.005	C9orf97	158427	Hs.494595	9q22.33	chromosome 9 open reading frame 97
221096_s_at	9	0.004	4	0.02	PRO1580	55374	Hs.546401	5q31.3	hypothetical protein PRO1580
212599_at	7	0.004	3	0.04	AUTS2	26053	Hs.21631	7q11.22-q11.23	autism susceptibility candidate 2
219277_s_at	7	0.004	29	0.001	OGDHL	55753	Hs.17860	10q11.23	oxoglutarate dehydrogenase-like
202860_at	6	0.004	9	0.005	KIAA0476	9909	Hs.6684	1p36.13-q31.3	KIAA0476
204113_at	6	0.004	22	0.003	CUGBP1	10658	Hs.530727	11p11	CUG triplet repeat, RNA binding protein 1
208979_at	5	0.004	5	0.004	NCOA6	23054	Hs.368971	20q11	nuclear receptor coactivator 6
201911_s_at	4	0.004	3	0.02	FARP1	10160	Hs.403917	13q32.2-q32.3	FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1
204308_s_at	2	0.004	3	0.0006	KIAA0329	9895	Hs.195667	14q32.33	KIAA0329
266_s_at	26	0.005	92	0.001	CD24	934	Hs.375108	6q21	CD24 antigen
219850_s_at	25	0.005	18	0.004	EHF	26298	Hs.502306	11p12	ets homologous factor
41660_at	24	0.005	18	0.007	CELSR1	9620	Hs.252387	22q13.3	cadherin, EGF LAG seven-pass G-type receptor 1
213839_at	15	0.005	29	0.0001	KIAA0500	57237	Hs.525566	14q32.2	KIAA0500 protein
201940_at	11	0.005	6	0.01	CPD	1362	Hs.446079	17p11.1-q11.2	carboxypeptidase D
221190_s_at	9	0.005	13	0.006	C18orf8	29919	Hs.529006	18q11.2	chromosome 18 open reading frame 8
202659_at	8	0.005	17	0.001	PSMB10	5699	Hs.9661	16q22.1	proteasome subunit, beta type, 10
205548_s_at	8	0.005	7	0.01	BTG3	10950	Hs.473420	21q21.1-q21.2	BTG family, member 3
209064_x_at	5	0.005	7	0.002	PAIP1	10605	Hs.482038	5p12	poly(A) binding protein interacting protein 1
220771_at	5	0.005	3	0.05	LOC51152	51152	Hs.132526	1q21.1	melanoma antigen
203848_at	4	0.005	3	0.004	AKAP8	10270	Hs.199029	19p13.1-q12	A kinase (PRKA) anchor protein 8
213925_at	3	0.005	4	0.003	DKFZp761P211	375057	Hs.116827	1q42.13	similar to hypothetical protein Y97E10AL.1
36499_at	2	0.005	2	0.009	CELSR2	1952	Hs.57652	1p21	cadherin, EGF LAG seven-pass G-type receptor 2
218305_at	2	0.005	4	0.008	IPO4	79711	Hs.411865	14q11.2	importin 4
221490_at	2	0.005	2	0.03	UBAP1	51271	Hs.268963	9p22-p21	ubiquitin associated protein 1
205584_at	38	0.006	27	0.0006	FLJ23018	79868	Hs.443061	Xq23	hypothetical protein FLJ23018
211596_s_at	31	0.006	48	0.003	LRIG1	26018	Hs.518055		leucine-rich repeats and immunoglobulin-like domains 1
213993_at	19	0.006	12	0.02	SPON1	10418	Hs.445818	11p15.2	spondin 1, extracellular matrix protein
204846_at	11	0.006	26	0.0004	CP	1356	Hs.282557	3q23-q25	ceruloplasmin (ferroxidase)
212692_s_at	9	0.006	9	0.008	LRBA	987	Hs.480938	4q31.23	LPS-responsive vesicle trafficking, beach and anchor containing
204373_s_at	8	0.006	5	0.01	CAP350	9857	Hs.413045	1p36.13-q41	centrosome-associated protein 350
220018_at	7	0.006	4	0.02	CBLL1	79872	Hs.546435	7q22.3	Cas-Br-M ecotropic retroviral transforming sequence-like 1
200771_at	6	0.006	5	0.01	LAMC1	3915	Hs.497039	1q31	laminin, gamma 1 (formerly LAMB2)
202078_at	5	0.006	5	0.007	COPS3	8533	Hs.6076	17p11.2	COP9 constitutive photomorphogenic homolog subunit 3
212543_at	4	0.006	3	0.005	AIM1	202	Hs.486074	6q21	absent in melanoma 1
214795_at	2	0.006	2	0.02	PRKCBP1	23613	Hs.446240	20q13.13	protein kinase C binding protein 1
201458_s_at	15	0.007	8	0.05	BUB3	9184	Hs.418533	10q26	BUB3 budding uninhibited by benzimidazoles 3 homolog
213355_at	15	0.007	50	0.00006	SIAT10	10402	Hs.148716	3q12.2	sialyltransferase 10 (alpha-2,3-sialyltransferase VI)
209028_s_at	9	0.007	11	0.003	SSH3BP1	10006	Hs.508148	10p11.2	abl-interactor 1
211763_s_at	8	0.007	3	0.04	UBE2B	7320	Hs.385986	5q23-q31	ubiquitin-conjugating enzyme E2B (RAD6 homolog)
219041_s_at	7	0.007	9	0.005	REPIN1	29803	Hs.521289	7q36.1	replication initiator 1
201724_s_at	6	0.007	5	0.02	GALNT1	2589	Hs.514806	18q12.1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1
201454_s_at	5	0.007	6	0.003	NPEPPS	9520	Hs.443837	17q21	aminopeptidase puromycin sensitive
213700_s_at	3	0.007	3	0.01	FLJ10803	55744	Hs.289007	15q22	pyruvate kinase, muscle
208649_s_at	2	0.007	3	0.02	VCP	7415	Hs.529782	9p13-p12	valosin-containing protein
205761_s_at	22	0.008	4	0.03	PP35	11062	Hs.97627	7q22-q31	protein similar to E.coli yhdg and R. capsulatus nifR3
215117_at	7	0.008	4	0.005	RAG2	5897	Hs.159376	11p13	recombination activating gene 2
218932_at	7	0.008	5	0.02	FLJ20729	54680	Hs.5111	1p22.3	hypothetical protein FLJ20729
220212_s_at	6	0.008	9	0.005	THADA	63892	Hs.369592	2p22.1	thyroid adenoma associated
221257_x_at	5	0.008	3	0.003	FBXO38	81545	Hs.483772	5q33.1	likely ortholog of mouse modulator of KLF7 activity
220177_s_at	2	0.008	6	0.0008	TMPRSS3	64699	Hs.208600	21q22.3	transmembrane protease, serine 3
216379_x_at	87	0.009	278	0.004	KIAA1919	91749	Hs.400572	6q22	KIAA1919
219703_at	23	0.009	11	0.01	MNS1	55329	Hs.444483	15q21.2	meiosis-specific nuclear structural protein 1
220770_s_at	16	0.009	19	0.0007	LOC63920	63920		5q34	transposon-derived Buster3 transposase-like
213923_at	12	0.009	10	0.008	RAP2B	5912	Hs.98643	3q25.2	RAP2B, member of RAS oncogene family
211682_x_at	10	0.009	7	0.02	UGT2B28	54490	Hs.137585	4q13.3	UDP glycosyltransferase 2 family, polypeptide B28
218568_at	10	0.009	15	0.004	FLJ10842	55750	Hs.260238	7q34	hypothetical protein FLJ10842
201489_at	9	0.009	12	0.005	PPIF	10105	Hs.381072	10q22-q23	peptidylprolyl isomerase F (cyclophilin F)
207547_s_at	6	0.009	16	0.02	TU3A	11170	Hs.8022	3p21.1	TU3A protein
209567_at	5	0.009	4	0.003	RRS1	23212	Hs.71827	8q12.3	RRS1 ribosome biogenesis regulator homolog
217161_x_at	4	0.009	8	0.0003	AGC1	176	Hs.2159	15q26.1	aggrecan 1
203971_at	3	0.009	7	0.0004	SLC31A1	1317	Hs.532315	9q31-q32	solute carrier family 31 (copper transporters), member 1
219174_at	99	0.01	70	0.01	CCDC2	80173	Hs.145402	9p21.1	coiled-coil domain containing 2
218819_at	64	0.01	27	0.02	DDX26	26512	Hs.439440	13q14.12-q14.2	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26
205415_s_at	27	0.01	18	0.01	MJD	4287	Hs.532632	14q24.3-q32.2	Machado-Joseph disease
218858_at	19	0.01	10	0.03	DEPDC6	64798	Hs.303788	8q24.12	DEP domain containing 6
204871_at	13	0.01	11	0.01	MTERF	7978	Hs.532216	7q21-q22	transcription termination factor, mitochondrial
203122_at	12	0.01	9	0.02	TTC15	51112	Hs.252713	2p25.3	tetratricopeptide repeat domain 15
207571_x_at	12	0.01	5	0.05	C1orf38	9473	Hs.10649	1p35.3	chromosome 1 open reading frame 38
208879_x_at	12	0.01	17	0.0003	C20orf14	24148	Hs.31334	20q13.33	chromosome 20 open reading frame 14
205443_at	11	0.01	7	0.008	SNAPC1	6617	Hs.179312	14q22	small nuclear RNA activating complex, polypeptide 1, 43kDa
207564_x_at	11	0.01	7	0.03	OGT	8473	Hs.405410	Xq13	O-linked N-acetylglucosamine (GlcNAc) transferase
218879_s_at	11	0.01	6	0.02	FLJ12998	64779	Hs.343627	16q24.1	hypothetical protein FLJ12998
219498_s_at	11	0.01	6	0.03	BCL11A	53335	Hs.370549	2p16.1	B-cell CLL/lymphoma 11A (zinc finger protein)
212070_at	10	0.01	29	0.004	GPR56	9289	Hs.513633	16q13	G protein-coupled receptor 56
214783_s_at	10	0.01	17	0.006	ANXA11	311	Hs.530291	10q23	annexin A11
212841_s_at	9	0.01	9	0.01	PPFIBP2	8495	Hs.16019	11p15.4	PTPRF interacting protein, binding protein 2
214268_s_at	9	0.01	12	0.004	MTMR4	9110	Hs.514373	17q22-q23	myotubularin related protein 4
218442_at	8	0.01	6	0.01	TTC4	7268	Hs.412482	1p31.3	tetratricopeptide repeat domain 4
219289_at	8	0.01	6	0.01	FLJ20718	55027	Hs.313917	16q12.1	hypothetical protein FLJ20718
212247_at	6	0.01	8	0.007	NUP205	23165	Hs.490238	7q33	nucleoporin 205kDa
218622_at	6	0.01	11	0.001	NUP37	79023	Hs.444276	12q23.3	nucleoporin 37kDa
203164_at	5	0.01	7	0.007	SLC33A1	9197	Hs.478031	3q25.31	solute carrier family 33 (acetyl-CoA transporter), member 1
204294_at	5	0.01	3	0.05	AMT	275	Hs.102	3p21.2-p21.1	aminomethyltransferase
208025_s_at	5	0.01	15	0.009	HMGA2	8091	Hs.505924	12q15	high mobility group AT-hook 2
209794_at	5	0.01	14	0.006	SRGAP2	9901	Hs.475364	3p25.3	SLIT-ROBO Rho GTPase activating protein 2
215338_s_at	5	0.01	8	0.0008	NKTR	4820	Hs.529509	3p23-p21	natural killer-tumor recognition sequence
219649_at	5	0.01	5	0.02	ALG6	29929	Hs.80042	1p31.3	asparagine-linked glycosylation 6 homolog
202160_at	4	0.01	3	0.02	CREBBP	1387	Hs.459759	16p13.3	CREB binding protein (Rubinstein-Taybi syndrome)
202348_s_at	4	0.01	4	0.01	DYT1	1861	Hs.534312	9q34	dystonia 1, torsion (autosomal dominant; torsin A)
205474_at	4	0.01	2	0.03	CRLF3	51379	Hs.370168	17q11.2	cytokine receptor-like factor 3
206015_s_at	4	0.01	3	0.01	FOXJ3	22887	Hs.26023	1pTER-q31.3	forkhead box J3
212591_at	4	0.01	8	0.006	KIAA0117	23029	Hs.535224	1q42.3	KIAA0117 protein
221864_at	4	0.01	3	0.04	MGC13024	93129	Hs.460617	16p11.2	hypothetical protein MGC13024
35436_at	3	0.01	8	0.0004	GOLGA2	2801	Hs.155827	9q34.13	golgi autoantigen, golgin subfamily a, 2
212114_at	3	0.01	3	0.02	LOC387869	387869	Hs.213541	12q15	LOC387869
218180_s_at	3	0.01	8	0.002	EPS8L2	64787	Hs.55016	11p15.5	EPS8-like 2
220078_at	3	0.01	3	0.03	USP31	84196	Hs.467524	1p36.12	ubiquitin specific protease 48
208270_s_at	2	0.01	2	0.04	RNPEP	6051	Hs.497391	1q32	arginyl aminopeptidase (aminopeptidase B)
212175_s_at	2	0.01	3	0.001	AK2	204	Hs.470907	1p34	adenylate kinase 2
213811_x_at	2	0.01	2	0.05	TCF3	6929	Hs.371282	1q23	pre-B-cell leukemia transcription factor 1
214501_s_at	2	0.01	3	0.004	H2AFY	9555	Hs.420272	5q31.3-q32	H2A histone family, member Y
216835_s_at	2	0.01	2	0.003	DOK1	1796	Hs.103854	2p13	docking protein 1, 62kDa
218826_at	2	0.01	2	0.03	SLC35F2	54733	Hs.524014	11q23.1	solute carrier family 35, member F2
219148_at	2	0.01	8	0.0006	TOPK	55872	Hs.104741	8p21.2	T-LAK cell-originated protein kinase
219359_at	2	0.01	6	0.0003	FLJ22635	80162	Hs.353181	11p15.5	hypothetical protein FLJ22635
213310_at	27	0.02	38	0.007	EIF2C2	27161	Hs.449415	8q24	eukaryotic translation initiation factor 2C, 2
206752_s_at	24	0.02	12	0.05	DFFB	1677	Hs.133089	1p36.3	DNA fragmentation factor, 40kDa, beta polypeptide
221883_at	24	0.02	9	0.02	PKNOX1	5316	Hs.431043	21q22.3	PBX/knotted 1 homeobox 1
201927_s_at	23	0.02	25	0.01	PKP4	8502	Hs.407580	2q23-q31	plakophilin 4
205997_at	20	0.02	37	0.000006	ADAM28	10863	Hs.528304	8p21.2	a disintegrin and metalloproteinase domain 28
208875_s_at	20	0.02	45	0.001	PAK2	5062	Hs.518530	3q29	p21 (CDKN1A)-activated kinase 2
218911_at	20	0.02	21	0.02	YEATS4	8089	Hs.4029	12q13-q15	glioma-amplified sequence-41
205120_s_at	18	0.02	37	0.003	SGCB	6443	Hs.438953	4q12	sarcoglycan, beta
213523_at	16	0.02	28	0.01	CCNE1	898	Hs.244723	19q12	cyclin E1
219251_s_at	14	0.02	10	0.04	FLJ10300	55112	Hs.389945	7q36.3	hypothetical protein FLJ10300
201330_at	11	0.02	7	0.02	RARS	5917	Hs.506215	5q35.1	arginyl-tRNA synthetase
203988_s_at	11	0.02	12	0.002	FUT8	2530	Hs.118722	14q24.3	fucosyltransferase 8 (alpha (1,6) fucosyltransferase)
214806_at	11	0.02	7	0.01	BICD1	636	Hs.505202	12p11.2-p11.1	Bicaudal D homolog 1 (Drosophila)
219266_at	10	0.02	7	0.02	ZNF350	59348	Hs.407694	19q13.41	zinc finger protein 350
219545_at	9	0.02	15	0.002	KCTD14	65987	Hs.17296	11q13.4	potassium channel tetramerisation domain containing 14
220206_at	9	0.02	18	0.004	ZMYM1	79830	Hs.471243	1p34.3	zinc finger, MYM domain containing 1
64418_at	8	0.02	5	0.01	AP1GBP1	11276	Hs.101480	17q21.1	AP1 gamma subunit binding protein 1
202267_at	8	0.02	6	0.01	LAMC2	3918	Hs.530509	1q25-q31	laminin, gamma 2
202670_at	8	0.02	5	0.01	MAP2K1	5604	Hs.145442	15q22.1-q22.33	mitogen-activated protein kinase kinase 1
203588_s_at	8	0.02	46	0.00001	TFDP2	7029	Hs.379018	3q23	transcription factor Dp-2 (E2F dimerization partner 2)
204784_s_at	8	0.02	15	0.006	MLF1	4291	Hs.85195	3q25.1	myeloid leukemia factor 1
211052_s_at	8	0.02	28	0.002	TBCD	6904	Hs.464391	17q25.3	tubulin-specific chaperone d
40273_at	7	0.02	20	0.00004	SPHK2	56848	Hs.528006	19q13.2	sphingosine kinase 2
203493_s_at	7	0.02	6	0.04	KIAA0092	9702	Hs.101014	11q21	translokin
205171_at	7	0.02	4	0.04	PTPN4	5775	Hs.469809	2q14.2	protein tyrosine phosphatase, non-receptor type 4
209623_at	7	0.02	5	0.007	MCCC2	64087	Hs.167531	5q12-q13	methylcrotonoyl-Coenzyme A carboxylase 2 (beta)
212771_at	7	0.02	11	0.01	C10orf38	221061	Hs.66762	10p13	chromosome 10 open reading frame 38
217140_s_at	7	0.02	11	0.003	VDAC1	7416	Hs.519320	5q31	voltage-dependent anion channel 1
218704_at	7	0.02	10	0.01	FLJ20315	54894	Hs.500398	17q23.2	hypothetical protein FLJ20315
219372_at	7	0.02	4	0.03	CDV1	28981	Hs.528382	12q24.13	carnitine deficiency-associated gene expressed in ventricle 1
202722_s_at	6	0.02	12	0.005	GFPT1	2673	Hs.468864	2p13	glutamine-fructose-6-phosphate transaminase 1
204069_at	6	0.02	9	0.009	MEIS1	4211	Hs.526754	2p14-p13	Meis1, myeloid ecotropic viral integration site 1 homolog
212663_at	6	0.02	5	0.004	KIAA0674	23307	Hs.522351	9q33.1	KIAA0674
212924_s_at	6	0.02	21	0.0007	LSM4	25804	Hs.515255	19p13.11	LSM4 homolog, U6 small nuclear RNA associated
204060_s_at	5	0.02	4	0.04	PRKX	5613	Hs.390788	Xp22.3	protein kinase, X-linked
215407_s_at	5	0.02	7	0.004	ASTN2	23245	Hs.546352	9q33.2	astrotactin 2
218248_at	5	0.02	4	0.01	FLJ22794	63901	Hs.150651	11q12.2	FLJ22794 protein
218263_s_at	5	0.02	3	0.05	LOC58486	58486	Hs.25726	11p15.3	transposon-derived Buster1 transposase-like protein
220028_at	5	0.02	5	0.02	ACVR2B	93	Hs.517775	3p22	activin A receptor, type IIB
221536_s_at	5	0.02	10	0.002	FLJ11301	55341	Hs.518505	3q29	hypothetical protein FLJ11301
200734_s_at	4	0.02	5	0.008	ARF3	377	Hs.119177	12q13	ADP-ribosylation factor 3
206240_s_at	4	0.02	5	0.008	ZNF136	7695	Hs.479874	19p13.2-p13.12	zinc finger protein 136 (clone pHZ-20)
213681_at	4	0.02	6	0.01	CYHR1	50626	Hs.459379	8q24.3	cysteine and histidine rich 1
218330_s_at	4	0.02	4	0.0007	NAV2	89797	Hs.502116	11p15.1	neuron navigator 2
221691_x_at	4	0.02	3	0.05	NPM1	4869	Hs.519452	17q21	anaplastic lymphoma kinase (Ki-1)
200606_at	3	0.02	3	0.02	DSP	1832	Hs.519873	6p24	desmoplakin
202200_s_at	3	0.02	4	0.03	SRPK1	6732	Hs.443861	6p21.3-p21.2	SFRS protein kinase 1
202926_at	3	0.02	3	0.005	NAG	51594	Hs.467759	2p24	neuroblastoma-amplified protein
207874_s_at	3	0.02	5	0.002	CFHL4	10877	Hs.194776	1q32	complement factor H related 3
212057_at	3	0.02	5	0.001	KIAA0182	23199	Hs.461647	16q24.1	KIAA0182 protein
212834_at	3	0.02	4	0.005	DDX52	11056	Hs.408452	17q21.1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 52
213835_x_at	3	0.02	2	0.05	GTPBP3	84705	Hs.334885	19p13.12	GTP binding protein 3 (mitochondrial)
217905_at	3	0.02	4	0.01	C10orf119	79892	Hs.124246	10q26.13	chromosome 10 open reading frame 119
218592_s_at	3	0.02	3	0.003	CECR5	27440	Hs.26890		cat eye syndrome chromosome region, candidate 5
200788_s_at	2	0.02	4	0.006	PEA15	8682	Hs.517216	1q21.1	phosphoprotein enriched in astrocytes 15
200943_at	2	0.02	2	0.04	HMGN1	3150	Hs.356285	21q22.3	high-mobility group nucleosome binding domain 1
207180_s_at	2	0.02	5	0.001	HTATIP2	10553	Hs.90753	11p15.1	HIV-1 Tat interactive protein 2, 30kDa
