Probe Set	Exp. 1  Signal Log Ratio	Exp. 2  Signal Log Ratio	Description	Gene Symbol
209459_s_at	-0.8	-1.6	NPD009	NPD009
209512_at	1.1	2.5	Similar to RIKEN cDNA 2610207I16 gene	NA
209579_s_at	0.6	1	methyl-CpG binding domain protein 4	MBD4
209583_s_at	-2.9	-1.5	brain my033 protein	MOX2
209620_s_at	1.9	0.5	ABC transporter 7 protein	hABC7
209656_s_at	-1.1	-2.4	hypothetical protein	DKFZp761J17121
209669_s_at	0.8	1.3	Similar to DKFZP564M2423 protein	NA
209699_x_at	1	0.2	dihydrodiol dehydrogenase	AKR1C2
209732_at	0.7	1.4	Similar to C-type (calcium dependent,carbohydrate-recognition domain) lectin, superfamilymember 2 (activation-induced)	CLECSF2
209771_x_at	-1.8	-1.6	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24
209773_s_at	1.4	2.3	ribonucleotide reductase M2 polypeptide	RRM2
209846_s_at	1	2	Similar to butyrophilin, subfamily 3, member A2	BTN3A2
209849_s_at	1.2	0.8	Rad51C	RAD51C
209861_s_at	1.2	2.2	eIF-2-associated p67 homolog	MNPEP
210093_s_at	0.3	1.4	Mago homolog	MAGOH
210095_s_at	0.6	2	Human growth hormone-dependent insulin-like growth factor-binding protein mRNA, complete cds.	IGFBP1
210105_s_at	-1.6	-1.8	FYN oncogene related to SRC, FGR, YES	FYN
210115_at	2.8	1.3	ribosomal protein L39	NA
210136_at	0.9	1.8	myelin basic protein	MBP
210147_at	-2.4	-2.6	mono-ADP-ribosyltransferase	htMART
210162_s_at	-1.1	-1.7	NF-ATc	NFATC1
210178_x_at	0.6	1.3	TLS-associated protein TASR	TASR1
210247_at	-1.3	-1	synapsin II	SYN2
210365_at	-1.8	-1.5	AML1a protein	AML1
210374_x_at	-1	-0.8	prostaglandin E receotor EP3 subtype 4 isoform	PTGER3
210426_x_at	0.6	2.4	RORalpha1	RORA
210479_s_at	0.6	2.5	transcription factor	RORA
210517_s_at	-1.1	-1	gravin	AKAP12
210544_s_at	1.1	0.6	aldehyde dehydrogenase 10 (fatty aldehydedehydrogenase)	ALDH3A2
210567_s_at	1.3	0.2	Similar to S-phase kinase-associated protein 2 (p45)	SKP2
210759_s_at	1.2	1.1	prosomal protein P30-33K	pros-30
210792_x_at	2.4	0.6	Siva-2	SIVA
210800_at	-1.3	-1.2	Unknown (protein for MGC:12262)	TIMM8A
210830_s_at	0.9	1.7	paraoxonase	PON2
210944_s_at	-0.9	-1.4	Similar to calpain 3, (p94)	CAPN3
210946_at	-1	-1.3	type-2 phosphatidic acid phosphatase alpha-2	PAP2-a2
211015_s_at	0.7	1.4	heat shock protein 70	hsp70
211071_s_at	-1.3	-1	ALL1-fused gene from chromosome 1q	NA
211075_s_at	1.1	1.8	integrin associated protein	NA
211276_at	-1.3	-2.4	brain my048 protein	NA
211297_s_at	1.5	2.3	protein serinethreonine kinase	CDK7
211340_s_at	-1	-1.5	MUC18 glycoprotein	MCAM
211368_s_at	1.1	0.2	Interleukin 1-beta converting enzyme isoformepsilon	IL1BCE
211445_x_at	-1.1	-0.9	FKSG17	FKSG17
211454_x_at	-1.6	-1.3	FKSG51	FKSG51
211466_at	-1.2	-1.1	nuclear factor I B3	NFIB
211600_at	-2.3	-1.5	glomerular epithelial protein 1	GLEPP1
211623_s_at	0.5	1.2	Human casein kinase II beta subunit mRNA, complete cds.	CSNK2B
211701_s_at	-1.3	-1.3	magphinin beta	TRO
211762_s_at	1.1	0.7	karyopherin alpha 2 (RAG cohort 1, importinalpha 1)	NA
211936_at	1.1	0.6	endoplasmic reticulum lumenal Ca2+ bindingprotein grp78	HSPA5
211959_at	-0.9	-1.1	Human insulin-like growth factor binding protein 5 (IGFBP5) mRNA	NA
211968_s_at	1.6	2.2	heat shock 90kD protein 1, alpha	HSPCA
211980_at	-1.9	-1.2	collagen, type IV, alpha 1	COL4A1
211985_s_at	1.1	0.8	matrix Gla protein	MGP
212007_at	1	2.4	UBX domain-containing 1	UBXDC1
212012_at	-2.1	-1.9	Melanoma associated gene	D2S448
212038_s_at	0.7	1.9	voltage-dependent anion channel 1	VDAC1
212052_s_at	-0.4	-1.2	KIAA0676 protein	KIAA0676
212096_s_at	0.7	1.1	KIAA1288 protein	KIAA1288
212190_at	-1.8	-2.5	trinucleotide repeat containing 3	TNRC3
212199_at	0.4	1.1	Human putative ribosomal protein S1 mRNA	NA
212230_at	-1.6	-1.3	Homo sapiens phosphatidic acid phosphatase type 2B (PPAP2B), mRNA	NA
212233_at	-1.6	-1.3	H.sapiens mRNA for 3UTR of unknown protein	NA
212266_s_at	0.7	1.2	splicing factor, arginineserine-rich 5	SFRS5
212353_at	-1.9	-1.3	KIAA1077 protein	KIAA1077
212397_at	0.3	1.1	hypothetical protein	DKFZp434I0812
212419_at	-1	-2	Homo sapiens mRNA; cDNA DKFZp564L0822 (from clone DKFZp564L0822)	NA
212425_at	-0.8	-1.2	secretory carrier membrane protein 1	SCAMP1
212442_s_at	0.5	1.2	Homo sapiens cDNA: FLJ21238 fis, clone COL01115	NA
212450_at	-0.7	-1	KIAA0256 protein	KIAA0256
212473_s_at	-0.9	-1.5	Homo sapiens cDNA: FLJ22463 fis, clone HRC10126	NA
212544_at	0.6	1.9	thyroid hormone receptor interactor 3	TRIP3
212613_at	1.2	2.3	butyrophilin, subfamily 3, member A2	BTN3A2
212626_x_at	0.3	1.2	heterogeneous nuclear ribonucleoprotein C (C1C2)	HNRPC
212749_s_at	0.6	1.5	DKFZP586C1620 protein	DKFZP586C1620
212761_at	-0.6	-1.2	transcription factor 7-like 2 (T-cell specific, HMG-box)	TCF7L2
212768_s_at	-4.5	-2	differentially expressed in hematopoietic lineages	GW112
212865_s_at	-1.3	-1.1	collagen, type XIV, alpha 1 (undulin)	COL14A1
212915_at	-2	-2.6	KIAA1095 protein	KIAA1095
212916_at	-0.4	-1.1	KIAA1111 protein	KIAA1111
212946_at	-1.1	-1.1	KIAA0564 protein	KIAA0564
212977_at	0.9	1.1	G protein-coupled receptor	RDC1
212980_at	-0.5	-1.7	Homo sapiens mRNA; cDNA DKFZp586J101 (from clone DKFZp586J101).	NA
213026_at	0.8	1.4	Apg12 (autophagy 12, S. cerevisiae)-like	APG12L
213106_at	-1.3	-1.5	Homo sapiens clone 23664 and 23905 mRNA sequence	NA
213169_at	-0.9	-1.3	Homo sapiens clone TUA8 Cri-du-chat region mRNA	NA
213183_s_at	-1.5	-2.1	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	CDKN1C
