GenBank number	Normalized level of expression Normal	Normalized level of expression EAE	Normalized level of expression Recovery	Name	Function
U19119	0.64	7.16	1	Interferon inducible protein (IIP) 1	Cytokines and related molecules
M21065	0.59	5.56	1	Interferon regulatory factor 1	Cytokines and related molecules
U73037	0.73	6.31	1	Interferon regulatory factor 7	Cytokines and related molecules
U15635	0.5	8.95	0.87	Interferon-gamma induced	Cytokines and related molecules
AJ007972	0.73	4.85	0.9	Interferon-gamma induced GTPase	Cytokines and related molecules
U43084	0.59	6.28	0.86	IIP with tetratricopeptide repeats 1	Cytokines and related molecules
U43085	0.3	7.06	1	IIP with tetratricopeptide repeats 2	Cytokines and related molecules
U43086	0.51	7.01	1	IIP with tetratricopeptide repeats 3	Cytokines and related molecules
AJ007971	0.63	14.77	0.73	Interferon-inducible GTPase	Cytokines and related molecules
X56602	0.71	18.88	0.83	Interferon-stimulated protein (15 kDa)	Cytokines and related molecules
M14639	0.62	4.85	1	Interleukin 1alpha	Cytokines and related molecules
M15131	0	150.45	1.24	Interleukin 1beta	Cytokines and related molecules
L32838	0.25	28.53	1	Interleukin 1 receptor antagonist	Cytokines and related molecules
X59769	0.64	7.83	0.89	Interleukin 1 receptor, type II	Cytokines and related molecules
M27960	0.35	10.43	1	Interleukin 4 receptor, alpha	Cytokines and related molecules
X54542	0	30.28	0	Interleukin 6	Cytokines and related molecules
M29697	0.37	5.16	1	Interleukin 7 receptor	Cytokines and related molecules
AJ009862	0.15	14.12	1	Transforming growth factor beta1	Cytokines and related molecules
L19932	0.73	13.73	1	Transforming growth factor induced, 68 kDa	Cytokines and related molecules
X87128	0.58	3.93	1	TNF receptor superfamily, member 1b	Cytokines and related molecules
AB016589	0	33.17	3.36	Inducible InB kinase	Signal transducers
AF019249	0	24.47	0.44	N-myc and STAT interactor	Signal transducers
M97590	0.88	4.32	0.87	Protein tyrosine phosphatase, non-receptor 1	Signal transducers
M90388	0	12.41	1	Protein tyrosine phosphatase, non-receptor 8	Signal transducers
M14343	0.02	4.39	1	Protein tyrosine phosphatase, receptor type, C	Signal transducers
U29056	0	73.86	0	Src-like adapter protein	Signal transducers
X64361	0.84	9.09	0.82	Vav oncogene	Signal transducers
Y13089	0.34	7.73	1	Caspase 11	Apoptotic proteins
Y13090	0.47	3.76	0.91	Caspase 12	Apoptotic proteins
AJ007749	0.24	3.93	1	Caspase 8	Apoptotic proteins
M12302	0	14.03	1	Granzyme B	Apoptotic proteins
J03257	0	14.08	0	Granzyme F	Apoptotic proteins
M99054	0.44	4.44	0.93	Acid phosphatase 5, tartrate resistant	Other enzymes
AF018172	0.75	4.73	0.93	Acyloxyacyl hydrolase	Other enzymes
U51805	0	106.29	1	Arginase type I	Other enzymes
AF032466	1	7.2	0.79	Arginase type II	Other enzymes
AI286861	0.66	6.98	1	ATPase, H+ transporting, lysosomal I	Other enzymes
AI842667	0.35	11.25	1	Cathepsin C	Other enzymes
U74683	0.27	5.5	1	Cathepsin C	Other enzymes
AF109905	0.55	4.12	1	Dimethylarginine dimethylaminohydrolase 2	Other enzymes
AI120844	0.14	6.55	1	Glutathione peroxidase 3	Other enzymes
L09737	0.77	3.81	0.96	GTP cyclohydrolase 1	Other enzymes
Y11666	0	13.55	0	Hexokinase 2	Other enzymes
U44389	1	4.2	0.69	Hydroxyprostaglandin dehydrogenase 15	Other enzymes
U51742	0	47.11	2.29	Inositol polyphosphate-5-phosphatase, 145 kDa	Other enzymes
M82831	0	8.59	1	Matrix metalloproteinase 12	Other enzymes
U96696	0	19.42	0	Matrix metalloproteinase 8	Other enzymes
U22033	0.38	5.86	1	Proteosome subunit, beta type 8	Other enzymes
D44456	0.2	9.29	1	Proteosome subunit, beta type 9	Other enzymes
U35374	0.78	3.68	1	Purine-nucleoside phosphorylase	Other enzymes
AW0476530.06	6.18	1	1	Ubiquitin specific protease 18	Other enzymes
D44464	0	57.14	0	Uridine phosphorylase	Other enzymes
X82786	0.29	6.37	1	Antigen identified by mAb Ki 67	Other immune-related proteins
U60020	0.58	5.8	1	ATP-binding cassette B, member 2	Other immune-related proteins
U60091	1	5.81	0.74	ATP-binding cassette B, member 3	Other immune-related proteins
Z16410	0.92	4.6	0.91	B cell translocation gene 1, anti-proliferative	Other immune-related proteins
X66084	0.31	6.33	0.84	CD44 antigen	Other immune-related proteins
X97227	0.16	3.64	1	CD53 antigen	Other immune-related proteins
U37543	0.4	5.09	1	CD6 antigen	Other immune-related proteins
X70980	0	222.52	12.26	Fc receptor, IgG, high affinity I	Other immune-related proteins
M31312	0.18	8.04	1	Fc receptor, IgG, low affinity Iib	Other immune-related proteins
M65027	0.12	8.31	1	Glycoprotein 49 A	Other immune-related proteins
U05265	0.14	7.47	1	Glycoprotein 49 B	Other immune-related proteins
X84797	0.05	13.65	1	Hematopoietic cell specific Lyn substrate 1	Other immune-related proteins
J03023	0.37	9.57	1	Hemopoietic cell kinase	Other immune-related proteins
L38281	0	88.63	0	Immunoresponsive gene 1	Other immune-related proteins
U10304	0.71	9.61	0.64	Killer cell lectin-like receptor A, member 2	Other immune-related proteins
X16834	0.02	3.77	1	Lectin, galactose binding, soluble 3	Other immune-related proteins
U20159	0.18	4.66	1	Lymphocyte cytosolic protein 2	Other immune-related proteins
AF061272	0	13.94	1	Macrophage C-type lectin	Other immune-related proteins
AI852196	0	5.77	1	TNF intracellular domain-interacting protein	Other immune-related proteins
X51397	0.87	3.62	0.9	Myeloid differentiation response gene 88	Other immune-related proteins
AB002663	0	101.14	0	Neutrophil cytosolic factor 1	Other immune-related proteins
AB002664	0.22	3.68	1	Neutrophil cytosolic factor 2	Other immune-related proteins
U59488	0.15	5.22	1	Neutrophil cytosolic factor 4	Other immune-related proteins
U96682	0	5.49	1.31	Paired-Ig-like receptor A1	Other immune-related proteins
U96684	0.14	6.68	1	Paired-Ig-like receptor A3	Other immune-related proteins
AF038149	0.4	3.67	1	Paired-Ig-like receptor B	Other immune-related proteins
AI852144	0.9	6.85	0.95	Pre-B-cell colony-enhancing factor	Other immune-related proteins
AF099972	0.79	5.53	0.89	Schlafen 1	Other immune-related proteins
AF099973	0.3	12.9	0.85	Schlafen 2	Other immune-related proteins
U60438	0	14.69	1.49	Serum amyloid A 2	Other immune-related proteins
X03505	0.01	10.53	1	Serum amyloid A 3	Other immune-related proteins
AB020808	0.45	7.77	0.87	Toll-like receptor 6	Other immune-related proteins
Z22216	0.38	5.9	1	Apolipoprotein CII	Miscellaneous
AF087644	0.45	28.73	0.96	Coagulation factor X	Miscellaneous
U18869	0.75	5.44	0.99	Disabled homolog 2	Miscellaneous
X12616	0	17.37	1.44	Feline sarcoma oncogene	Miscellaneous
AF071180	0.41	10.96	0.8	Formyl peptide receptor, related sequence 2	Miscellaneous
J04596	1	10.38	0.18	GRO1 oncogene	Miscellaneous
AJ007970	0.62	11.61	0.75	Guanylate nucleotide binding protein 2	Miscellaneous
AW0474760.75	7.56		0.73	Guanylate nucleotide binding protein 3	Miscellaneous
M96827	0.6	5.29	1	Haptoglobin	Miscellaneous
X67668	0.58	4.27	1	High mobility group box 2	Miscellaneous
D88899	0	119.67	0	Kidney-derived aspartic protease-like protein	Miscellaneous
AI891475	0.52	5.4	0.97	Leucine rich repeat interacting protein 1	Miscellaneous
X97650	0	72.48	0	Mosin IF	Miscellaneous
X83601	0.34	21.99	1	Pentaxin related gene	Miscellaneous
M33960	1	6.4	0.43	Plasminogen activator inhibitor, type I	Miscellaneous
D37837	0.51	4.16	1	Plastin 2, L	Miscellaneous
M34603	0.49	8.95	1	Proteoglycan, secretory granule	Miscellaneous
M89777	0	17.34	0	RAB3D, member RAS	Miscellaneous
U41341	0.3	3.69	1	S100 calcium binding protein A11	Miscellaneous
M64085	0.43	7.04	0.73	Serine protease inhibitor 2-1	Miscellaneous
AW230369	0.38	7.39	1	Serine protease inhibitor, Kunitz type 1	Miscellaneous
L03215	0.36	5.17	1	SFFV proviral integration 1	Miscellaneous
X62700	0.42	5.13	1	Urokinase plasminogen activator receptor	Miscellaneous
U42471	0.03	5.9	1	Wiskott–Aldrich syndrome protein	Miscellaneous
