Gene Symbol	Common Name	Entrez ID	Fold Change	P-value
ZWILCH	Zwilch, kinetochore associated, homolog (Drosophila)	55055	-3.21	0.0214
RAB26	RAB26, member RAS oncogene family	25837	-3.19	0.0114
HJURP	Holliday junction recognition protein	55355	-3.19	0.0318
MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)	4085	-3.18	0.0045
CKS1B	CDC28 protein kinase regulatory subunit 1B	1163	-3.17	0.0114
RAB3B	RAB3B, member RAS oncogene family	5865	-3.17	0.0117
GSG2	germ cell associated 2 (haspin)	83903	-3.17	0.0114
C13orf3	chromosome 13 open reading frame 3	221150	-3.17	0.0114
CCNF	cyclin F	899	-3.15	0.012
LOC126917	hypothetical protein LOC126917	126917	-3.15	0.0115
DUSP8	dual specificity phosphatase 8	1850	-3.14	0.0325
PKMYT1	protein kinase, membrane associated tyrosine/threonine 1	9088	-3.13	0.0116
AURKB	aurora kinase B	9212	-3.13	0.0116
C12orf48	chromosome 12 open reading frame 48	55010	-3.13	0.0311
DPY19L2P4	dpy-19-like 2 pseudogene 4 (C. elegans)	554208	-3.13	0.0134
RFC3	replication factor C (activator 1) 3, 38kDa	5983	-3.13	0.0134
MCM10	MCM10 minichromosome maintenance deficient 10 (S. cerevisiae)	55388	-3.13	0.0109
FAM54A	family with sequence similarity 54, member A	113115	-3.13	0.0353
RHEBL1	Ras homolog enriched in brain like 1	121268	-3.12	0.0125
EBF1	early B-cell factor 1	1879	-3.12	0.0309
UBE2S	ubiquitin-conjugating enzyme E2S	27338	-3.11	0.0116
KRT80	keratin 80	144501	-3.11	0.0117
SLC1A7	solute carrier family 1 (glutamate transporter), member 7	6512	-3.1	0.0067
TAF5L	TAF5-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa	27097	-3.09	0.0143
SYTL2	synaptotagmin-like 2	54843	-3.09	0.0089
FSD1	fibronectin type III and SPRY domain containing 1	79187	-3.09	0.0072
HSP90AB3P	heat shock protein 90kDa alpha (cytosolic), class B member 3 (pseudogene)	3327	-3.08	0.0118
INSL4	insulin-like 4 (placenta)	3641	-3.08	0.0118
EML4	echinoderm microtubule associated protein like 4	27436	-3.08	0.0118
PTHLH	parathyroid hormone-like hormone	5744	-3.07	0.012
SIM2	single-minded homolog 2 (Drosophila)	6493	-3.07	0.0119
PDLIM5	PDZ and LIM domain 5	10611	-3.07	0.0049
TMTC3	transmembrane and tetratricopeptide repeat containing 3	160418	-3.07	0.0124
DBF4B	DBF4 homolog B (S. cerevisiae)	80174	-3.07	0.0118
RECQL4	RecQ protein-like 4	9401	-3.06	0.0119
MASTL	microtubule associated serine/threonine kinase-like	84930	-3.06	0.0092
ASGR1	asialoglycoprotein receptor 1	432	-3.05	0.0119
EREG	epiregulin	2069	-3.05	0.0119
FANCD2	Fanconi anemia, complementation group D2	2177	-3.05	0.0119
TUBB2C	tubulin, beta 2C	10383	-3.05	0.0063
KIAA1957	KIAA1957	126567	-3.05	0.0121
LOXL1	lysyl oxidase-like 1	4016	-3.04	0.0146
TERT	telomerase reverse transcriptase	7015	-3.04	0.0032
C9orf58	chromosome 9 open reading frame 58	83543	-3.04	0.012
CENPN	centromere protein N	55839	-3.03	0.012
FRMD5	FERM domain containing 5	84978	-3.03	0.0123
RHOV	ras homolog gene family, member V	171177	-3.03	0.012
CENPA	centromere protein A	1058	-3.02	0.006
FLT4	fms-related tyrosine kinase 4	2324	-3.02	0.0463
POLQ	polymerase (DNA directed), theta	10721	-3.02	0.0121
DIAPH3	diaphanous homolog 3 (Drosophila)	81624	-3.02	0.012
TP53I11	tumor protein p53 inducible protein 11	9537	-3.01	0.0132
RASSF2	Ras association (RalGDS/AF-6) domain family 2	9770	-3.01	0.0121
CKAP2L	cytoskeleton associated protein 2-like	150468	-3.01	0.0121
G65686	A117 Human Homo sapiens STS cDNA		-3.01	0.0127
SLC4A7	solute carrier family 4, sodium bicarbonate cotransporter, member 7	9497	-3	0.01
KNTC2	kinetochore associated 2	10403	-3	0.0125
ACTL8	actin-like 8	81569	-3	0.0158
