Probe Set	Exp. 1  Signal Log Ratio	Exp. 2  Signal Log Ratio	Description	Gene Symbol
200920_s_at	0.6	3.5	B-cell translocation gene 1, anti-proliferative	BTG1
200927_s_at	0.4	0.9	GTPase Rab14	Rab14
200978_at	0.8	1.8	malate dehydrogenase 1, NAD (soluble)	MDH1
200993_at	1	1.2	RAN binding protein 7	RANBP7
200996_at	0.5	1.8	ARP3 (actin-related protein 3, yeast) homolog	ACTR3
201001_s_at	1.2	0.2	ubiquitin-conjugating enzyme E2 variant 1	UBE2V1
201014_s_at	1.4	2	multifunctional polypeptide similar to SAICARsynthetase and AIR carboxylase	ADE2H1
201027_s_at	1.3	0.5	translation initiation factor IF2	IF2
201030_x_at	0.6	1	lactate dehydrogenase B	LDHB
201051_at	0.8	0.7	putative human HLA class II associated protein I	PHAP1
201067_at	1	0.3	proteasome (prosome, macropain) 26S subunit, ATPase, 2	PSMC2
201068_s_at	1	1	proteasome (prosome, macropain) 26S subunit,ATPase, 2	PSMC2
201110_s_at	-2.3	-1.9	thrombospondin 1	THBS1
201112_s_at	1.1	2.1	chromosome segregation 1 (yeast homolog)-like	CSE1L
201117_s_at	-1.9	-1.3	carboxypeptidase E precursor	CPE
201144_s_at	1	0.8	eukaryotic translation initiation factor 2,subunit 1 (alpha, 35kD )	EIF2S1
201163_s_at	-2.2	-1.6	insulin-like growth factor binding protein 7	IGFBP7
201176_s_at	0.6	2.5	archain	ARCN1
201179_s_at	0.5	0.5	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3	GNAI1
201196_s_at	0.8	0.4	S-adenosylmethionine decarboxylase 1	AMD2
201198_s_at	1.2	1	proteasome (prosome, macropain) 26S subunit, non-ATPase, 1	PSMD1
201202_at	0.5	0.6	proliferating cell nuclear antigen	PCNA
201214_s_at	0.6	1.4	protein phosphatase 1, regulatory subunit 7	PPP1R7
201237_at	0.5	0.2	capping protein (actin filament) muscle Z-line, alpha 2	CAPZA2
201241_at	0.5	0.6	DEADH (Asp-Glu-Ala-AspHis) box polypeptide 1	DDX1
201258_at	0.6	2.4	ribosomal protein S16	RPS16
201263_at	0.4	1	threonyl-tRNA synthetase	TARS
201274_at	0.4	0.6	proteasome (prosome, macropain) subunit, alphatype, 5	PSMA5
201291_s_at	4.5	2.1	topoisomerase (DNA) II alpha (170kD)	TOP2A
201292_at	2	2.1	topoisomerase (DNA) II alpha (170kD)	TOP2A
201301_s_at	0.4	0.5	annexin A4	ANXA4
201303_at	0.8	0.9	KIAA0111 gene product	KIAA0111
201317_s_at	0.7	0.9	proteasome (prosome, macropain) subunit, alphatype, 2	PSMA2
201322_at	0.3	1	ATP synthase, H+ transporting, mitochondrial F1complex, beta polypeptide	ATP5B
201325_s_at	0.4	2.1	epithelial membrane protein 1	EMP1
201328_at	0.9	0.5	v-ets avian erythroblastosis virus E26 oncogene homolog 2	ETS2
201330_at	0.4	0.8	arginyl-tRNA synthetase	RARS
201358_s_at	-0.6	-1.2	coatomer protein complex, subunit beta	COPB
201416_at	-0.9	-1.2	SRY (sex determining region Y)-box 4	SOX4
201441_at	0.4	0.5	cytochrome c oxidase subunit VIb	COX6B
201444_s_at	0.6	0.8	ATPase, H+ transporting, lysosomal (vacuolarproton pump) membrane sector associated protein M8-9	APT6M8-9
201454_s_at	0.3	1.4	aminopeptidase puromycin sensitive	NPEPPS
201457_x_at	0.5	1.3	kinetochore protein BUB3	BUB3
201462_at	0.5	1.7	KIAA0193 gene product	KIAA0193
201477_s_at	1	0.3	ribonucleotide reductase M1 polypeptide	RRM1
201487_at	0.9	0.6	cathepsin C	CTSC
201502_s_at	0.4	0.2	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	NFKBIA
201506_at	1.2	1.3	transforming growth factor, beta-induced, 68kD	TGFBI
201532_at	0.8	1.8	proteasome (prosome, macropain) subunit, alphatype, 3	PSMA3
201552_at	0.3	1.9	lysosomal-associated membrane protein 1	LAMP1
201577_at	1.2	1.2	Homo sapiens non-metastatic cells 1, protein (NM23A) expressed in (NME1), mRNA. / non-metastatic cells 1 protein	NME1
201593_s_at	0.8	1.4	uncharacterized hypothalamus protein HT010	HT010
201606_s_at	1.3	0.7	nuclear phosphoprotein similar to S. cerevisiae PWP1	PWP1
201608_s_at	0.6	0.1	nuclear phosphoprotein similar to S. cerevisiae PWP1	PWP1
201659_s_at	0.9	1.1	ADP-ribosylation factor-like 1	ARL1
201663_s_at	1.4	0.2	chromosome-associated polypeptide C	CAP-C
201664_at	0.8	0.5	hypothetical protein	DKFZp434F205
201672_s_at	0.5	0.3	ubiquitin specific protease 14 (tRNA-guaninetransglycosylase)	USP14
201694_s_at	-0.8	-1.3	early growth response 1	EGR1
201725_at	1.4	1.1	D123 gene product	D123
201756_at	0.6	0.1	replication protein A2 (32kD)	RPA2
201758_at	0.3	0.9	tumor susceptibility gene 101	TSG101
201779_s_at	0.8	1.2	RING zinc finger protein RZF	RNF13
201811_x_at	-1	-1.2	SH3-domain binding protein 5 (BTK-associated)	SH3BP5
201827_at	0.7	0.9	PRO2451	SMARCD2
201831_s_at	3.1	4.4	vesicle docking protein p115	P115
201842_s_at	0.2	0.4	EGF-containing fibulin-like extracellular matrix protein 1	EFEMP1
201859_at	-1.6	-1.1	proteoglycan 1, secretory granule	PRG1
201890_at	1.1	0.7	ribonucleotide reductase M2 polypeptide	RRM2
201897_s_at	1.1	1.6	CDC28 protein kinase 1	CKS1
201903_at	0.8	0.8	ubiquinol-cytochrome c reductase core protein I	UQCRC1
201906_s_at	0.4	0.1	HYA22 protein	HYA22
201912_s_at	0.4	0.1	G1 to S phase transition 1	GSPT1
201927_s_at	0.5	4.2	plakophilin 4	PKP4
201931_at	0.8	1.9	electron transfer flavoprotein, alphapolypeptide	ETFA
201946_s_at	1.2	2.6	chaperonin containing TCP1, subunit 2 (beta)	CCT2
201947_s_at	0.9	0.3	chaperonin containing TCP1, subunit 2 (beta)	CCT2
201970_s_at	1.7	2.9	nuclear autoantigenic sperm protein(histone-binding)	NASP
201975_at	-0.7	-1	restin (Reed-Steinberg cell-expressedintermediate filament-associated protein)	RSN
201999_s_at	0.6	0.9	t-complex-associated-testis-expressed 1-like 1	TCTEL1
202028_s_at	-0.6	-1.4	ribosomal protein L38	RPL38
202040_s_at	0.5	0.1	retinoblastoma-binding protein 2	RBBP2
202042_at	0.6	0.4	histidyl tRNA synthetase	HARS
202080_s_at	0.6	0.3	KIAA1042 protein	KIAA1042
202084_s_at	0.8	0.7	SEC14 (S. cerevisiae)-like 1	SEC14L1
202107_s_at	0.8	0.4	minichromosome maintenance deficient (S.cerevisiae) 2 (mitotin)	MCM2
202113_s_at	0.9	3.1	sorting nexin 2	SNX2
202149_at	-0.7	-1.2	enhancer of filamentation 1 (cas-like docking; Crk-associated substrate related)	HEF1
202154_x_at	0.2	0.8	tubulin, beta, 4	TUBB4
202157_s_at	-1	-1.2	RNA-binding protein BRUNOL3	BRUNOL3
202168_at	0.3	0.9	TATA box binding protein (TBP)-associatedfactor, RNA polymerase II, G, 32kD	TAF2G
202174_s_at	0.4	0.5	pericentriolar material 1	PCM1
202199_s_at	-0.7	-0.6	SFRS protein kinase 1	SRPK1
202202_s_at	-0.9	-1.4	laminin, alpha 4 precursor	LAMA4
202206_at	0.5	1.6	ADP-ribosylation factor-like 7	ARL7
202209_at	1.1	0.8	Lsm3 protein	LSM3
202225_at	0.4	0.9	v-crk avian sarcoma virus CT10 oncogene homolog	CRK
202243_s_at	0.8	2.4	proteasome (prosome, macropain) subunit, betatype, 4	PSMB4
202263_at	0.4	0.3	cytochrome b5 reductase 1 (B5R.1)	LOC51706
202299_s_at	0.3	0.1	hepatitis B virus x-interacting protein	XIP
202300_at	0.5	1.9	hepatitis B virus x-interacting protein	XIP
202347_s_at	0.5	0.7	E2 ubiquitin-conjugating enzyme	LIG
202352_s_at	0.6	0.5	proteasome (prosome, macropain) 26S subunit, non-ATPase, 12	PSMD12
202378_s_at	0.9	1.7	leptin receptor gene-related protein	HSOBRGRP
202403_s_at	-1.3	-2	collagen, type I, alpha 2	COL1A2
202436_s_at	-2.2	-1.2	cytochrome P450, subfamily I (dioxin-inducible), polypeptide 1 (glaucoma 3, primary infantile)	CYP1B1
202437_s_at	-3.5	-2.7	cytochrome P450, subfamily I (dioxin-inducible),polypeptide 1	CYP1B1
202441_at	0.2	0.2	similar to Caenorhabditis elegans protein C42C1.9	KEO4
202446_s_at	0.5	0.7	phospholipid scramblase 1	PLSCR1
202487_s_at	1	0.7	purine-rich element binding protein B	PURB
202499_s_at	-0.8	-1	solute carrier family 2 (facilitated glucosetransporter), member 3	SLC2A3
202503_s_at	0.9	0.5	KIAA0101 gene product	KIAA0101
202546_at	1	3.2	vesicle-associated membrane protein 8	VAMP8
202548_s_at	0.4	0.7	PAK-interacting exchange factor beta	P85SPR
202552_s_at	-0.8	-1.3	cysteine-rich motor neuron 1	CRIM1
202554_s_at	0.6	1.3	glutathione S-transferase M3 (brain)	GSTM3
202572_s_at	-1.1	-1.2	KIAA0964 protein	KIAA0964
202589_at	1	0.4	thymidylate synthetase	TYMS
202591_s_at	0.6	1.2	single-stranded DNA-binding protein	SSBP
202594_at	0.4	0.5	MY047 protein	MY047
202596_at	1	0.2	endosulfine alpha	ENSA
202655_at	0.5	0.2	arginine-rich protein	ARMET
202659_at	0.6	0.9	proteasome (prosome, macropain) subunit, betatype, 10	PSMB10
202686_s_at	-0.8	-1.6	AXL receptor tyrosine kinase isoform 1precursor	AXL
202687_s_at	0.6	1	Apo-2 ligand	TNFSF10
202688_at	0.4	2.7	tumor necrosis factor (ligand) superfamily,member 10	TNFSF10
202697_at	0.8	0.6	cleavage and polyadenylation specific factor 5,25 kD subunit	CPSF5
202705_at	1.7	0.6	cyclin B2	CCNB2
202706_s_at	0.5	0.3	UMP synthase	UMPS
202712_s_at	1	0.8	ubiquitous mitochondrial creatine kinaseprecursor	CKMT1
202729_s_at	-0.8	-1.1	latent transforming growth factor beta bindingprotein 1 precursor	LTBP1
202737_s_at	0.5	0.4	U6 snRNA-associated Sm-like protein	LSM4
202746_at	-1.2	-0.8	integral membrane protein 2A	ITM2A
202753_at	0.5	1	KIAA0107 gene product	KIAA0107
202794_at	0.7	0.5	inositol polyphosphate-1-phosphatase	INPP1
202852_s_at	0.4	1.4	hypothetical protein FLJ11506	FLJ11506
202854_at	0.5	0.2	hypoxanthine phosphoribosyltransferase 1	HPRT1
202859_x_at	0.6	0.3	interleukin 8	IL8
202876_s_at	-0.8	-0.9	pre-B-cell leukemia transcription factor 2	PBX2
202899_s_at	0.9	1.7	splicing factor, arginineserine-rich 3	SFRS3
202900_s_at	0.9	0.8	nucleoporin 88kD	NUP88
202908_at	-1.1	-1.2	Wolfram syndrome protein	WFS1
202911_at	0.6	0.7	mutS (E. coli) homolog 6	MSH6
202923_s_at	0.7	0.1	glutamate-cysteine ligase	GCLC
202936_s_at	-1.1	-0.9	transcription factor SOX9	SOX9
202941_at	1	0.1	NADH dehydrogenase (ubiquinone) flavoprotein 2(24kD)	NDUFV2
202990_at	0.9	0.6	phosphorylase, glycogen; liver (Hers disease,glycogen storage disease type VI)	PYGL
203039_s_at	1.1	0.3	NADH dehydrogenase (ubiquinone) Fe-S protein 1(75kD) (NADH-coenzyme Q reductase)	NDUFS1
203074_at	0.8	0.7	annexin VIII	ANXA8
203098_at	0.4	0.2	hypothetical protein	DKFZp586C1622
203103_s_at	1.1	1.6	nuclear matrix protein NMP200 related tosplicing factor PRP19	NMP200
203105_s_at	1.4	0.5	dynamin 1-like protein, isoform 1	DNM1L
203126_at	0.8	1.1	inositol(myo)-1(or 4)-monophosphatase 2	IMPA2
203202_at	0.5	0.6	HIV-1 rev binding protein 2	HRB2
203203_s_at	1.1	1.4	HIV-1 rev binding protein 2	HRB2
203213_at	1.7	1.5	cell division cycle 2, G1 to S and G2 to M	CDC2
203247_s_at	0.4	0.4	zinc finger protein 24 (KOX 17)	ZNF24
203255_at	-0.3	-1.2	vitiligo-associated protein VIT-1	VIT1
203259_s_at	0.3	0.8	Similar to CGI-130 protein	LOC51020
203336_s_at	0.8	0.3	integrin cytoplasmic domain-associated protein 1	ICAP-1A
203341_at	0.4	0.6	CCAAT-box-binding transcription factor	CBF2
203345_s_at	1.3	1.7	putative DNA binding protein	M96
203358_s_at	0.8	0.2	enhancer of zeste (Drosophila) homolog 2	EZH2
203359_s_at	0.6	0.1	c-myc binding protein	MYCBP
203362_s_at	1	0.8	MAD2-like 1	MAD2L1
203405_at	0.9	0.9	Down syndrome critical region protein 2	DSCR2
203428_s_at	0.8	1.2	Homo sapiens mRNA for CIA, complete cds.	DKFZP547E2110
203455_s_at	-0.6	-0.9	spermidinespermine N1-acetyltransferase	SAT
203460_s_at	0.5	0.7	presenilin 1 isoform I-463	PSEN1
203517_at	0.3	1	metaxin 2	MTX2
203554_x_at	1.1	1	pituitary tumor-transforming protein 1	PTTG1
203560_at	0.8	1.2	gamma-glutamyl hydrolase (conjugase,folylpolygammaglutamyl hydrolase) precursor	GGH
203583_at	0.5	0.3	DKFZP564G0222 protein	DKFZP564G0222
203603_s_at	-2.2	-1.6	zinc finger homeobox 1B	ZFHX1B
203621_at	0.7	0.9	NADH dehydrogenase (ubiquinone) 1 betasubcomplex, 5 (16kD, SGDH)	NDUFB5
203637_s_at	-0.4	-1	midline 1	MID1
203697_at	-3.9	-3.2	Fritz	FRZB
203698_s_at	-2.8	-2.7	frizzled-related protein	FRZB
203706_s_at	-1.1	-1.5	frizzled 7	FZD7
203711_s_at	1.1	0.6	3-hydroxyisobutyryl-Coenzyme A hydrolase	HIBCH
203712_at	1.1	0.9	KIAA0020 gene product	KIAA0020
203721_s_at	0.5	0.9	CGI-48 protein	LOC51096
203755_at	1.6	0.5	budding uninhibited by benzimidazoles 1 (yeasthomolog), beta	BUB1B
203764_at	1.9	1.4	KIAA0008 gene product	KIAA0008
203798_s_at	1.2	0.9	visinin-like 1	VSNL1
203800_s_at	0.5	0.7	hypothetical protein LOC63931	LOC63931
203856_at	1	0.4	vaccinia related kinase 1	VRK1
203903_s_at	-1.2	-1.8	hephaestin	HEPH
203962_s_at	1	0.2	nebulette	NEBL
203964_at	0.6	0.3	N-myc and STAT interactor	NMI
204026_s_at	1.1	0.9	ZW10 interactor	ZWINT
204033_at	0.8	0.4	thyroid hormone receptor interactor 13	TRIP13
204082_at	0.6	0.8	pre-B-cell leukemia transcription factor 3	PBX3
204112_s_at	0.6	0.3	histamine N-methyltransferase	HNMT
204119_s_at	0.9	0.3	adenosine kinase short form	ADK
204135_at	-0.9	-1	downregulated in ovarian cancer 1	DOC1
204143_s_at	0.4	1.1	rTS beta protein	HSRTSBETA
204146_at	1.1	0.9	RAD51-interacting protein	PIR51
204151_x_at	0.9	0.1	aldo-keto reductase family 1, member C1(dihydrodiol dehydrogenase 1; 20-alpha(3-alpha)-hydroxysteroid dehydrogenase)	AKR1C1
204154_at	-1.4	-1.1	cysteine dioxygenase, type I	CDO1
204159_at	0.6	0.8	cyclin-dependent kinase inhibitor 2C (p18,inhibits CDK4)	CDKN2C
204162_at	2.9	1.9	highly expressed in cancer, rich in leucineheptad repeats	HEC
204170_s_at	1.1	0.7	CDC28 protein kinase 2	CKS2
204197_s_at	-1.6	-1.1	runt-related transcription factor 3	RUNX3
204237_at	-1.2	-1	CED-6 protein	CED-6
204271_s_at	-2	-1.3	endothelin receptor	NA
204273_at	-2.8	-1.3	endothelin receptor type B, isoform 1	EDNRB
204279_at	1.4	0.4	proteasome (prosome, macropain) subunit, betatype, 9 (large multifunctional protease 2)	PSMB9
204285_s_at	0.7	1.3	phorbol-12-myristate-13-acetate-induced protein 1	PMAIP1
204286_s_at	0.3	0.6	phorbol-12-myristate-13-acetate-induced protein1	PMAIP1
204305_at	0.9	0.9	mitochondrial intermediate peptidase	MIPEP
204362_at	0.8	1.1	SKAP55 homologue	SKAP-HOM
204364_s_at	0.8	2.3	hypothetical protein FLJ13110	FLJ13110
204373_s_at	0.8	0.6	KIAA0480 gene product	KIAA0480
204400_at	-0.6	-1	signal transduction protein (SH3 containing)	EFS2
204409_s_at	0.5	1.1	Homo sapiens, clone MGC:12282, mRNA, complete cds.	EIF1AY
204444_at	1.2	0.9	kinesin-like 1	KNSL1
204451_at	-0.7	-1.3	frizzled 1	FZD1
204464_s_at	-1.1	-1.4	endothelin receptor type A	EDNRA
204508_s_at	0.7	2.2	hypothetical protein FLJ20151	FLJ20151
204529_s_at	-1.8	-2.2	KIAA0808 gene product	KIAA0808
204531_s_at	1	0.1	breast cancer 1, early onset	BRCA1
204548_at	0.5	0.9	steroidogenic acute regulatory protein	STAR
204602_at	-1.3	-1.9	dickkopf (Xenopus laevis) homolog 1	DKK1
204620_s_at	-2	-1.4	chondroitin sulfate proteoglycan 2 (versican)	CSPG2
204636_at	0.4	2.2	collagen, type XVII, alpha 1	COL17A1
204682_at	-0.9	-1	latent transforming growth factor beta bindingprotein 2	LTBP2
204712_at	-6.6	-3.8	Wnt inhibitory factor-1	WIF-1
204725_s_at	1	0.5	NCK adaptor protein 1	NCK1
204766_s_at	3.7	3.3	nudix (nucleoside diphosphate linked moietyX)-type motif 1	NUDT1
204772_s_at	1	0.3	transcription termination factor, RNA polymeraseI	TTF1
204777_s_at	-2	-1.2	T-cell differentiation protein MAL, isoform a	MAL
204780_s_at	0.9	0.4	tumor necrosis factor receptor superfamily, member 6	TNFRSF6
204793_at	-0.9	-1.5	KIAA0443 gene product	KIAA0443
204808_s_at	0.6	1.4	transmembrane protein 5	TMEM5
204820_s_at	0.7	0.1	butyrophilin, subfamily 3, member A3	BTN3A3
204822_at	1.1	1.1	TTK protein kinase	TTK
204825_at	2	0.2	KIAA0175 gene product	KIAA0175
204836_at	-2	-1.9	glycine dehydrogenase (decarboxylating; glycinedecarboxylase, glycine cleavage system protein P)	GLDC
204869_at	-1.6	-1.7	proprotein convertase subtilisinkexin type 2	PCSK2
204872_at	-0.7	-1	BCE-1 protein	BCE-1
204905_s_at	0.3	0.5	eukaryotic translation elongation factor 1epsilon 1	EEF1E1
204948_s_at	-1.1	-1.9	follistatin isoform FST344 precursor	FST
204962_s_at	1.5	1.7	centromere protein A	CENPA
204976_s_at	0.7	0.2	Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1	AMMECR1
205001_s_at	1.3	1.6	dead box, Y isoform	DBY
205029_s_at	0.7	0.6	fatty acid binding protein 7, brain	FABP7
205053_at	0.9	1	primase, polypeptide 1 (49kD)	PRIM1
205061_s_at	0.7	0.6	polymyositisscleroderma autoantigen 1 (75kD)	PMSCL1
205064_at	-1.5	-1.3	small proline-rich protein 1B (cornifin)	SPRR1B
205066_s_at	-1.6	-2.1	ectonucleotide pyrophosphatasephosphodiesterase1	ENPP1
205078_at	0.5	0.8	phosphatidylinositol glycan, class F	PIGF
205170_at	-1.5	-1.4	signal transducer and activator of transcription2, 113kD	STAT2
205176_s_at	0.4	0.6	integrin beta 3 binding protein(beta3-endonexin)	ITGB3BP
205194_at	-0.9	-1.1	phosphoserine phosphatase	PSPH
205246_at	0.8	2.5	peroxisome biogenesis factor 13	PEX13
205328_at	-1.5	-0.7	claudin 10	CLDN10
205337_at	-2.5	-1.2	dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2)	DCT
205345_at	1	2.5	BRCA1 associated RING domain 1	BARD1
205372_at	-0.6	-1.3	pleiomorphic adenoma gene 1	PLAG1
205379_at	0.2	0.5	carbonyl reductase 3	CBR3
205383_s_at	-1.1	-1.5	zinc finger protein 288	ZNF288
205404_at	-2.1	-2.3	hydroxysteroid (11-beta) dehydrogenase 1	HSD11B1
205412_at	0.8	0.4	acetyl-Coenzyme A acetyltransferase 1 precursor	ACAT1
205415_s_at	0.3	1.6	Machado-Joseph disease (spinocerebellar ataxia 3, olivopontocerebellar ataxia 3, autosomal dominant, ataxin 3)	MJD
205428_s_at	-0.6	-1	calbindin 2, full length protein isoform	CALB2
205434_s_at	-0.8	-1.6	KIAA1048 protein	KIAA1048
205440_s_at	1.2	0.6	neuropeptide Y receptor Y1	NPY1R
205443_at	0.7	1.2	small nuclear RNA activating complex,polypeptide 1, 43kD	SNAPC1
205480_s_at	0.7	1.6	UDP-glucose pyrophosphorylase 2	UGP2
205489_at	-1	-1.5	crystallin, mu	CRYM
205590_at	-1.3	-2.6	RAS guanyl releasing protein 1	RASGRP1
205601_s_at	-0.8	-0.9	homeo box B5	HOXB5
205659_at	-1.6	-2.5	histone deacetylase 7B	HDAC7B-PENDING
205690_s_at	0.3	0.9	maternal G10 transcript	G10
205694_at	-2.3	-1.5	tyrosinase-related protein 1	TYRP1
205711_x_at	0.5	2.3	ATP synthase, H+ transporting, mitochondrial F1complex, gamma polypeptide 1	ATP5C1
205752_s_at	-1	-1.2	glutathione S-transferase M5	GSTM5
205794_s_at	-1.8	-1.6	neuro-oncological ventral antigen 1, isoform 1	NOVA1
205848_at	-2.1	-2.6	growth arrest-specific 2	GAS2
205891_at	0.5	1.5	adenosine A2b receptor	ADORA2B
205909_at	1.4	0.6	polymerase (DNA directed), epsilon 2	POLE2
206002_at	-2.1	-2.3	G protein-coupled receptor 64	GPR64
206140_at	-5	-4.7	LIM homeobox protein 2	LHX2
206144_at	-1.1	-1	BAI1-associated protein 1	BAIAP1
206276_at	2	0.5	lymphocyte antigen 6 complex, locus D	E48
206295_at	0.6	0.6	interleukin 18	IL-18
206302_s_at	-0.5	-1.1	nudix (nucleoside diphosphate linked moietyX)-type motif 4	NUDT4
206314_at	-0.8	-1.2	zinc finger protein	ZFP
206323_x_at	-1.2	-1.2	oligophrenin 1, Rho-GTPase acivating protein	OPHN1
206364_at	1.3	0.5	KIAA0042 gene product	KIAA0042
206377_at	-1.3	-1.2	forkhead box F2	FOXF2
206400_at	0.3	1.8	galectin 7	LGALS7
206404_at	-1	-1.7	fibroblast growth factor 9 (glia-activatingfactor)	FGF9
206421_s_at	1.8	4	serine (or cysteine) proteinase inhibitor, cladeB (ovalbumin), member 7	SERPINB7
206426_at	-1	-1.5	melan-A	MLANA
206461_x_at	0.4	0.7	metallothionein 1H	MT1H
206465_at	-2.3	-3.5	very long-chain acyl-CoA synthetase; lipidosin	KIAA0631
206542_s_at	0.7	1	SWISNF related, matrix associated, actin dependent regulator of chromatin, subfamily a,  member 2	SMARCA2
206562_s_at	1.2	1.5	casein kinase 1, alpha 1	CSNK1A1
206632_s_at	0.7	0.1	phorbolin (similar to apolipoprotein B mRNAediting protein)	DJ742C19.2
206642_at	0.7	1.4	desmoglein 1 preproprotein	DSG1
206734_at	-0.9	-1.1	jerky (mouse) homolog-like	JRKL
206766_at	-1.1	-1.4	integrin alpha 10 subunit	ITGA10
206953_s_at	-1	-1.6	latrophilin	KIAA0786
207016_s_at	-2.2	-2	RALDH2-T	RALDH2
207076_s_at	0.6	1.6	argininosuccinate synthetase	ASS
207165_at	2.1	1.6	hyaluronan-mediated motility receptor (RHAMM)	HMMR
207173_x_at	-1.8	-2.4	OB-cadherin-1	osf-4
207175_at	-1.9	-2.3	adipose most abundant gene transcript 1	APM1
207184_at	-1.1	-1.5	solute carrier family 6 (neurotransmittertransporter, GABA), member 13	SLC6A13
207291_at	1.1	0.8	transmembrane gamma-carboxyglutamic acid protein4	TMG4
207332_s_at	0.6	0.6	transferrin receptor (p90, CD71)	TFRC
207345_at	-2	-2.3	follistatin isoform FST317 precursor	FST
207369_at	-1.4	-1.8	bombesin-like receptor 3	BRS3
207431_s_at	0.7	0.2	degenerative spermatocyte	DEGS
207573_x_at	0.6	1	ATP synthase, H+ transporting, mitochondrialF1F0, subunit g	ATP5JG
207594_s_at	-1	-1.7	synaptojanin 1	SYNJ1
207654_x_at	0.6	0.6	down-regulator of transcription 1	DR1
207749_s_at	0.2	0.9	protein phosphatase 2 (formerly 2A), regulatorysubunit B (PR 72), alpha isoform and (PR 130), betaisoform	PPP2R3
207981_s_at	-0.9	-2.4	estrogen-related receptor gamma	ESRRG
208029_s_at	0.3	1.4	putative integral membrane transporter	LC27
208066_s_at	0.4	0.4	general transcription factor IIB	GTF2B
208079_s_at	2	0.3	serinethreonine kinase 6	STK6
208095_s_at	1.8	1.2	calciumcalmodulin-dependent protein kinase (CaMkinase) II gamma	CAMK2G
208216_at	-0.9	-1.2	distal-less homeobox 4	DLX4
208309_s_at	1	1.4	mucosa associated lymphoid tissue lymphomatranslocation gene 1	MALT1
