Probe set	Gene Symbol	Signature	ADC:OT Ratio	SCC:OT Ratio	LCC:OT Ratio	ADC Mean	SCC Mean	LCC Mean	ADC SD	LCC SD	SCC SD
206166_s_at	CLCA2	SCC	0.05	37.97	0.07	-0.97	3.87	-0.82	0.12	0.2	1.72
206912_at	FOXE1	SCC	0.04	38.68	0.08	-0.58	4.2	-0.35	0.43	1.03	1.85
207602_at	TMPRSS11D	SCC	0.09	19.64	0.11	-0.26	3.48	-0.29	0.4	0.16	1.61
207935_s_at	KRT13	SCC	0.01	152.16	0.02	-1.12	5.17	-1.14	0.31	0.16	2.03
208539_x_at	SPRR2B	SCC	0.06	29.75	0.08	-0.53	3.59	-0.56	0.27	0.47	1.89
208836_at	ATP1B3	SCC	0.4	3.4	0.56	-0.62	1.28	-0.41	0.67	0.63	0.49
209125_at	KRT6A	SCC	0.04	64.32	0.01	-0.96	6.83	-1.49	2.13	0.78	0.68
209126_x_at	KRT6B	SCC	0.09	25.31	0.05	-0.5	4.23	-1.07	1	0.28	0.61
209351_at	KRT14	SCC	0.01	220.32	0.01	-1.07	5.24	-0.91	0.5	0.38	2.5
209380_s_at	ABCC5	SCC	0.24	6.74	0.3	-0.23	2.56	-0.05	0.8	0.22	0.72
209800_at	KRT16	SCC	0.06	31.35	0.07	-0.51	3.5	-0.7	0.66	0.79	1.95
210020_x_at	CALML3	SCC	0.08	20.73	0.12	-0.49	4.37	-0.19	1.23	1.35	1.22
210505_at	ADH7	SCC	0.07	25.28	0.09	-0.72	3.5	-0.75	0.15	0.17	1.27
210854_x_at	SLC6A8	SCC	0.19	6.26	0.47	-0.19	2.94	0.78	0.92	0.97	0.92
211194_s_at	TP63	SCC	0.13	13.33	0.16	-0.48	2.74	-0.57	0.16	0.45	1.31
211361_s_at	SERPINB13	SCC	0.05	35.59	0.07	-0.68	3.26	-0.58	0.09	0.13	2.3
212236_x_at	KRT17	SCC	0.08	18.33	0.15	-0.71	3.88	-0.55	1.22	1.51	0.97
212702_s_at	BICD2	SCC	0.35	3.77	0.57	-0.59	1.31	-0.14	0.43	0.16	0.9
213680_at	KRT6B	SCC	0.01	124	0.03	-1.21	5.99	-0.82	0.85	1.36	1.15
213796_at	SPRR1A	SCC	0.01	232.64	0.01	-0.91	5.46	-1.12	0.54	0.17	2.53
213843_x_at	SLC6A8	SCC	0.17	6.91	0.42	-0.31	3.06	0.67	1.03	1.02	0.87
214549_x_at	SPRR1A	SCC	0.11	17.6	0.1	-0.27	2.97	-0.56	0.66	0.23	1.84
214580_x_at	KRT6A /// KRT6B /// KRT6C	SCC	0.07	35.21	0.03	-0.8	4.95	-1.17	1.4	0.33	0.31
216918_s_at	DST	SCC	0.23	7.85	0.23	-0.35	2.12	-0.64	0.36	0.32	1.33
217272_s_at	SERPINB13	SCC	0.02	91.29	0.03	-1	4.74	-0.8	0.14	0.19	1.83
217528_at	CLCA2	SCC	0.02	86.63	0.03	-1.36	4.47	-1.27	0.12	0.3	2.05
218990_s_at	SPRR3	SCC	0.03	88.82	0.01	-0.35	5.02	-1.01	1.32	0.15	2.67
221291_at	ULBP2	SCC	0.66	2.23	0.58	-0.16	0.92	-0.41	0.37	0.43	0.38
221795_at	NTRK2	SCC	0.03	59.38	0.05	-1.89	3.94	-1.36	0.53	0.73	1.18
221796_at	NTRK2	SCC	0.03	53.35	0.05	-1.76	3.59	-1.62	0.55	0.62	1.38
221854_at	PKP1	SCC	0.06	21.34	0.15	-0.7	4.8	-0.01	1.34	1.79	0.66
223832_s_at	CAPNS2	SCC	0.2	9.54	0.17	-0.34	2.27	-0.74	0.49	0.13	1.27
225464_at	FRMD6	SCC	0.34	4.49	0.43	-0.71	1.62	-0.62	0.76	0.74	0.34
226755_at	LOC642587	SCC	0.4	3.61	0.51	-0.46	1.34	-0.34	0.34	0.34	0.7
229290_at	DAPL1	SCC	0.02	78.79	0.04	-1.18	4.63	-0.81	0.48	0.72	2.02
230464_at	S1PR5	SCC	0.27	4.76	0.5	-0.66	1.76	-0.3	0.28	0.71	0.49
230769_at	DENND2C	SCC	0.3	5.3	0.36	-0.77	1.53	-0.78	0.21	0.27	0.63
231331_at	---	SCC	0.04	40.8	0.07	-0.68	4.45	-0.31	0.58	0.93	1.53
231771_at	GJB6	SCC	0.02	102.57	0.02	-0.93	5.12	-1.2	0.65	0.29	1.53
232082_x_at	SPRR3	SCC	0.02	119.71	0.02	-0.77	5.07	-0.95	0.44	0.37	2.24
232116_at	GRHL3	SCC	0.32	5.04	0.37	-0.12	2.05	-0.16	0.43	0.49	0.87
232202_at	---	SCC	0.13	11.82	0.22	-0.35	3.73	-0.1	1.24	1.6	1.03
238542_at	ULBP2	SCC	0.19	8.95	0.24	-0.58	2.66	-0.52	0.77	0.77	0.72
241418_at	LOC344887	SCC	0.05	42.39	0.05	-0.6	4.23	-0.7	1.13	0.88	2.25
244107_at	---	SCC	0.15	11.04	0.22	-0.52	2.36	-0.3	0.13	0.22	1.53
