Gene ID	Gene Identifier	ANOVA P value	B&H P value	mean 1	mean 2	mean 3	mean 4	SEM 1	SEM 2	SEM 3	SEM 4	Quality 1	Quality 2	Quality 3	Quality 4	Other ID	Gene Title	UG Cluster	LocusLink	Chromosome
CDCA3	BC002551	0.000063	0.001469638	6.917	8.208	7.178	7.271	0.092	0.191	0.137	0.024	6.917	8.208	7.178	7.271	MmugDNA.21403.1.S1_at	Cell division cycle associated 3	Hs.524216	83461	12
CDCA3	NM_031299	0.001258	0.008017237	5.993	6.973	6.237	6.262	0.024	0.211	0.151	0.040	5.993	6.973	6.237	6.262	MmugDNA.37390.1.S1_at	Cell division cycle associated 3	Hs.524216	83461	12
CDCA5	BE614410	0.000175	0.002497007	6.475	8.154	6.824	6.853	0.088	0.286	0.201	0.083	6.475	8.154	6.824	6.853	MmugDNA.4124.1.S1_at	Cell division cycle associated 5	Hs.434886	113130	11
CDK2AP1	NM_004642	0.000002	0.000289321	12.904	13.456	13.297	13.263	0.044	0.056	0.020	0.013	12.904	13.456	13.297	13.263	MmugDNA.25572.1.S1_at	CDK2-associated protein 1	Hs.433201	8099	12
CDK2AP1	NM_004642	0	0	11.712	12.649	12.341	12.295	0.026	0.088	0.024	0.024	11.712	12.649	12.341	12.295	MmugDNA.25572.1.S1_s_at	CDK2-associated protein 1	Hs.433201	8099	12
CDK4	NM_000075	0.000094	0.001788333	11.016	11.470	11.275	11.189	0.062	0.042	0.022	0.042	11.016	11.470	11.275	11.189	MmugDNA.15020.1.S1_at	Cyclin-dependent kinase 4	Hs.95577	1019	12
CDK5	NM_004935	0.000005	0.000449238	8.530	9.276	9.087	9.012	0.023	0.085	0.029	0.064	8.530	9.276	9.087	9.012	MmugDNA.16390.1.S1_at	Cyclin-dependent kinase 5	Hs.647078	1020	7
CDK6	AW274756	0.002359	0.011769926	9.361	10.719	10.421	10.603	0.241	0.215	0.244	0.114	9.361	10.719	10.421	10.603	MmugDNA.37021.1.S1_at	Cyclin-dependent kinase 6	Hs.119882	1021	7
CDK6	AW051349	0.003197	0.014223249	9.103	10.371	9.904	10.052	0.119	0.269	0.208	0.117	9.103	10.371	9.904	10.052	MmugDNA.37022.1.S1_at	Cyclin-dependent kinase 6	Hs.119882	1021	7
CDK7	L20320	0.006654	0.022860143	7.306	7.665	7.467	7.423	0.054	0.074	0.064	0.031	7.306	7.665	7.467	7.423	MmugDNA.790.1.S1_at	Cyclin-dependent kinase 7	Hs.184298	1022	5
CDKN1B	BC001971	0.000009	0.000573432	10.627	9.446	9.586	9.603	0.024	0.187	0.054	0.053	10.627	9.446	9.586	9.603	MmugDNA.23933.1.S1_at	Cyclin-dependent kinase inhibitor 1B (p27, Kip1)	Hs.238990	1027	12
CDKN1C	N33167	0.000472	0.00447505	12.438	11.364	11.522	11.694	0.158	0.153	0.111	0.098	12.438	11.364	11.522	11.694	MmugDNA.41458.1.S1_at	Cyclin-dependent kinase inhibitor 1C (p57, Kip2)	Hs.106070	1028	11
CDKN1C	R78668	0.000021	0.000857941	11.137	9.770	10.008	10.062	0.155	0.145	0.083	0.094	11.137	9.770	10.008	10.062	MmugDNA.22652.1.S1_s_at	Cyclin-dependent kinase inhibitor 1C (p57, Kip2)	Hs.106070	1028	11
CDKN2A	U38945	0.001495	0.008855652	8.587	8.603	8.320	8.322	0.048	0.040	0.056	0.055	8.587	8.603	8.320	8.322	MmugDNA.16295.1.S1_at	Cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	Hs.512599	1029	9
CDKN2B	NM_004936	0.018301	0.045325864	6.434	6.160	6.157	6.241	0.032	0.033	0.098	0.044	6.434	6.160	6.157	6.241	MmugDNA.12064.1.S1_at	Cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)	Hs.72901	1030	9
CDKN2B	AW444761	0.000653	0.005414439	6.991	5.461	5.531	5.959	0.132	0.323	0.171	0.127	6.991	5.461	5.531	5.959	MmugDNA.20899.1.S1_at	Cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)	Hs.72901	1030	9
CDT1	AF321125	0.000019	0.000818388	7.316	8.018	7.395	7.250	0.029	0.097	0.093	0.035	7.316	8.018	7.395	7.250	MmugDNA.7866.1.S1_at	Chromatin licensing and DNA replication factor 1	Hs.122908	81620	16
CENTD2	AA701643	0.001983	0.010545892	7.953	7.388	7.487	7.573	0.119	0.072	0.080	0.030	7.953	7.388	7.487	7.573	MmugDNA.5374.1.S1_at	Centaurin, delta 2	Hs.503165	116985	11
CEP110	NM_007018	0.000016	0.000741968	8.884	8.076	8.058	8.030	0.127	0.068	0.029	0.070	8.884	8.076	8.058	8.030	MmugDNA.6287.1.S1_at	Centrosomal protein 110kDa	Hs.653263	11064	9
CEP110	AA642477	0.00016	0.002386615	7.844	6.779	6.970	6.913	0.195	0.113	0.070	0.049	7.844	6.779	6.970	6.913	MmugDNA.15060.1.S1_at	Centrosomal protein 110kDa	Hs.653263	11064	9
CEP55	NM_018131	0.000207	0.002761721	4.743	6.742	4.903	5.388	0.107	0.398	0.165	0.134	4.743	6.742	4.903	5.388	MmugDNA.5873.1.S1_at	Centrosomal protein 55kDa	Hs.14559	55165	10
CHAF1A	BF000239	0.00217	0.011148575	6.728	7.124	6.884	6.794	0.044	0.101	0.025	0.027	6.728	7.124	6.884	6.794	MmugDNA.24293.1.S1_at	Chromatin assembly factor 1, subunit A (p150)	Hs.79018	10036	19
CHEK1	NM_001274	0.000214	0.002809483	5.397	7.182	6.216	6.486	0.094	0.318	0.155	0.095	5.397	7.182	6.216	6.486	MmugDNA.15754.1.S1_at	CHK1 checkpoint homolog (S. pombe)	Hs.24529	1111	11
CHFR	NM_018223	0.013978	0.037573496	9.871	10.105	9.888	10.180	0.096	0.040	0.071	0.046	9.871	10.105	9.888	10.180	MmugDNA.6808.1.S1_at	Checkpoint with forkhead and ring finger domains	Hs.656770	55743	12
CKAP2	NM_018204	0.000033	0.001041198	5.218	8.436	6.428	7.085	0.129	0.314	0.409	0.197	5.218	8.436	6.428	7.085	MmugDNA.6706.1.S1_at	Cytoskeleton associated protein 2	Hs.444028	26586	13
CKS1B	NM_001826	0.001995	0.010590121	11.138	10.762	10.951	10.914	0.037	0.074	0.039	0.045	11.138	10.762	10.951	10.914	MmugDNA.15861.1.S1_s_at	CDC28 protein kinase regulatory subunit 1B	Hs.374378	1163	1
CKS2	NM_001827	0.000002	0.000289321	7.999	10.980	10.149	10.121	0.188	0.160	0.317	0.066	7.999	10.980	10.149	10.121	MmugDNA.15862.1.S1_at	CDC28 protein kinase regulatory subunit 2	Hs.83758	1164	9
CLASP2	AL137636	0.00004	0.001145753	8.595	7.865	7.981	8.134	0.049	0.086	0.072	0.064	8.595	7.865	7.981	8.134	MmugDNA.13520.1.S1_at	Cytoplasmic linker associated protein 2	Hs.696092	23122	3
CLSPN	NM_022111	0.003576	0.015234595	4.539	4.806	4.648	4.548	0.044	0.053	0.029	0.048	4.539	4.806	4.648	4.548	MmugDNA.37957.1.S1_at	Claspin homolog (Xenopus laevis)	Hs.175613	63967	1
CREBL2	AL529409	0.000063	0.001469638	11.326	10.322	10.893	10.902	0.029	0.180	0.028	0.025	11.326	10.322	10.893	10.902	MmugDNA.33185.1.S1_at	CAMP responsive element binding protein-like 2	Hs.591156	1389	12
CREBL2	NM_001310	0.00003	0.000995714	10.474	9.276	9.787	9.862	0.014	0.200	0.023	0.041	10.474	9.276	9.787	9.862	MmugDNA.34747.1.S1_at	CAMP responsive element binding protein-like 2	Hs.591156	1389	12
CSNK2A2	NM_001896	0.006052	0.021389375	9.974	9.227	9.557	9.569	0.064	0.195	0.101	0.046	9.974	9.227	9.557	9.569	MmugDNA.34874.1.S1_at	Casein kinase 2, alpha prime polypeptide	Hs.82201	1459	16
CUL3	NM_003590	0.009608	0.029274554	9.042	8.205	8.392	8.626	0.142	0.130	0.218	0.046	9.042	8.205	8.392	8.626	MmugDNA.35562.1.S1_at	Cullin 3	Hs.372286	8452	2
CUZD1	NM_022034	0.010925	0.0318164	5.445	5.172	5.183	5.259	0.064	0.041	0.058	0.043	5.445	5.172	5.183	5.259	MmugDNA.34884.1.S1_at	CUB and zona pellucida-like domains 1	Hs.647182	50624	10
CYLD	AK024212	0.013177	0.036150307	6.571	6.154	6.267	6.294	0.124	0.075	0.032	0.029	6.571	6.154	6.267	6.294	MmugDNA.13904.1.S1_at	Cylindromatosis (turban tumor syndrome)	Hs.578973	1540	16
CYLD	AA555096	0.001919	0.010351529	10.123	9.149	9.468	9.760	0.097	0.174	0.179	0.053	10.123	9.149	9.468	9.760	MmugDNA.37486.1.S1_at	Cylindromatosis (turban tumor syndrome)	Hs.578973	1540	16
DBC1	NM_014618	0.017056	0.043119923	6.473	8.286	8.064	8.487	0.046	0.585	0.507	0.258	6.473	8.286	8.064	8.487	MmugDNA.15195.1.S1_at	Deleted in bladder cancer 1	Hs.532316	1620	9
DDIT3	BC003637	0.00309	0.013960536	9.962	9.052	9.415	9.443	0.075	0.210	0.108	0.084	9.962	9.052	9.415	9.443	MmugDNA.32495.1.S1_at	DNA-damage-inducible transcript 3	Hs.505777	1649	12
DMBT1	NM_004406	0.000006	0.000487654	7.469	12.035	10.561	10.460	0.164	0.400	0.399	0.342	7.469	12.035	10.561	10.460	MmugDNA.25527.1.S1_at	Deleted in malignant brain tumors 1	Hs.279611	1755	10
DMTF1	NM_021145	0.000162	0.002407081	11.083	10.553	10.625	10.651	0.085	0.075	0.028	0.023	11.083	10.553	10.625	10.651	MmugDNA.18584.1.S1_at	Cyclin D binding myb-like transcription factor 1	Hs.654981	9988	7
DSCC1	NM_024094	0.009115	0.028292689	4.090	4.894	4.270	4.088	0.111	0.246	0.128	0.079	4.090	4.894	4.270	4.088	MmugDNA.19989.1.S1_at	Defective in sister chromatid cohesion 1 homolog (S. cerevisiae)	Hs.315167	79075	8
DST	BC004912	0.011108	0.032190388	11.947	11.978	12.006	12.332	0.050	0.117	0.071	0.033	11.947	11.978	12.006	12.332	MmugDNA.20022.1.S1_at	Dystonin	Hs.631992	667	6
DST	BC004912	0.003787	0.015779853	12.643	12.636	12.833	13.092	0.022	0.116	0.083	0.052	12.643	12.636	12.833	13.092	MmugDNA.20022.1.S1_s_at	Dystonin	Hs.631992	667	6
DST	AI798790	0.005275	0.019573109	12.217	12.274	12.455	12.770	0.066	0.119	0.112	0.062	12.217	12.274	12.455	12.770	MmugDNA.38872.1.S1_at	Dystonin	Hs.631992	667	6
DST	BG253119	0.003575	0.015234595	11.710	11.878	12.159	12.454	0.122	0.144	0.118	0.068	11.710	11.878	12.159	12.454	MmugDNA.38871.1.S1_at	Dystonin	Hs.631992	667	6
DTYMK	AU121224	0.007721	0.025315855	4.006	3.802	3.795	3.733	0.072	0.022	0.041	0.037	4.006	3.802	3.795	3.733	MmugDNA.837.1.S1_at	Deoxythymidylate kinase (thymidylate kinase)	Hs.471873	1841	2
DUSP1	AA530892	0.004832	0.018452737	8.362	7.650	8.281	8.034	0.152	0.147	0.053	0.093	8.362	7.650	8.281	8.034	MmugDNA.24043.1.S1_at	Dual specificity phosphatase 1	Hs.171695	1843	5
E2F1	NM_005225	0.001891	0.01026307	6.541	6.970	6.624	6.655	0.023	0.103	0.051	0.039	6.541	6.970	6.624	6.655	MmugDNA.12570.1.S1_at	E2F transcription factor 1	Hs.654393	1869	20
E2F2	AL561296	0.000034	0.001056803	6.894	7.741	6.833	6.956	0.074	0.119	0.112	0.025	6.894	7.741	6.833	6.956	MmugDNA.8851.1.S1_at	E2F transcription factor 2	Hs.194333	1870	1
E2F3	AI640363	0.000957	0.00680011	6.197	6.663	6.636	6.780	0.086	0.090	0.054	0.074	6.197	6.663	6.636	6.780	MmugDNA.41656.1.S1_at	E2F transcription factor 3	Hs.269408	1871	6
E2F3	NM_001949	0.000612	0.005223233	7.394	8.232	8.070	8.290	0.129	0.094	0.146	0.097	7.394	8.232	8.070	8.290	MmugDNA.12573.1.S1_at	E2F transcription factor 3	Hs.269408	1871	6
E2F8	NM_024680	0.001747	0.009779204	4.050	4.965	4.314	4.138	0.036	0.221	0.126	0.079	4.050	4.965	4.314	4.138	MmugDNA.12490.1.S1_at	E2F transcription factor 8	Hs.523526	79733	11
EDN1	NM_001955	0.000223	0.00286229	9.643	8.693	8.945	8.636	0.096	0.132	0.103	0.139	9.643	8.693	8.945	8.636	MmugDNA.37775.1.S1_at	Endothelin 1	Hs.511899	1906	6
EGFR	U48722	0.000011	0.000626265	6.118	6.856	7.090	7.056	0.037	0.028	0.124	0.110	6.118	6.856	7.090	7.056	MmugDNA.29407.1.S1_s_at	Epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	Hs.488293	1956	7
EML4	AF177377	0.016201	0.041668106	7.318	7.655	7.540	7.466	0.076	0.065	0.069	0.027	7.318	7.655	7.540	7.466	MmugDNA.41880.1.S1_at	Echinoderm microtubule associated protein like 4	Hs.593614	27436	2
