Prediction	Gene1	ID of G1	Gene2	ID of G2	P(X1<X2|Primary)	P(X1<X2|DM)	Delta
DM	AIM1	202	PRPF4	9128	0.015	0.960	0.945
DM	SH3BGRL	6451	STC1	6781	0.015	0.960	0.945
DM	POU4F1	5457	TRA2A	29896	0.015	0.960	0.945
DM	PER1	5187	TRIO	7204	0.015	0.960	0.945
DM	PYGB	5834	USF2	7392	0.015	0.960	0.945
DM	IDH3G	3421	WSB1	26118	0.015	0.960	0.945
Primary	JARID1A	5927	AGL	178	0.938	0.000	0.938
Primary	SMURF2	64750	AGL	178	0.938	0.000	0.938
Primary	SLC7A5	8140	AGL	178	0.938	0.000	0.938
Primary	MLL	4297	AIM1	202	0.938	0.000	0.938
Primary	PPP1R3D	5509	ALDH3A2	224	0.938	0.000	0.938
Primary	PCMT1	5110	ATP5A1	498	0.938	0.000	0.938
Primary	AR	367	ATP6V1F	9296	0.938	0.000	0.938
Primary	TARS	6897	ATXN10	25814	0.938	0.000	0.938
Primary	EIF1AP1	280661	CAPNS1	826	0.938	0.000	0.938
Primary	TERF1	7013	CDH3	1001	0.938	0.000	0.938
Primary	AR	367	CIRBP	1153	0.938	0.000	0.938
Primary	FASTK	10922	CIRBP	1153	0.938	0.000	0.938
Primary	KLHL9	55958	CIRBP	1153	0.938	0.000	0.938
Primary	HNRNPC	3183	CIRBP	1153	0.938	0.000	0.938
Primary	AR	367	COMT	1312	0.938	0.000	0.938
Primary	SLC7A5	8140	CRYM	1428	0.938	0.000	0.938
Primary	HSPA1A	3303	CSRP1	1465	0.938	0.000	0.938
Primary	GBE1	2632	CST3	1471	0.938	0.000	0.938
Primary	POLG	5428	CST3	1471	0.938	0.000	0.938
Primary	NFATC2IP	84901	DDHD2	23259	0.938	0.000	0.938
Primary	AR	367	DDOST	1650	0.938	0.000	0.938
Primary	DAD1	1603	DDOST	1650	0.938	0.000	0.938
Primary	AR	367	DGCR6	8214	0.938	0.000	0.938
Primary	AR	367	EIF3G	8666	0.938	0.000	0.938
Primary	AR	367	EIF3K	27335	0.938	0.000	0.938
Primary	SEMA6A	57556	EPHX2	2053	0.938	0.000	0.938
Primary	AR	367	ERP29	10961	0.938	0.000	0.938
Primary	DIAPH1	1729	ETHE1	23474	0.938	0.000	0.938
Primary	UBE2L3	7332	ETHE1	23474	0.938	0.000	0.938
Primary	PTPN11	5781	FAM114A1	92689	0.938	0.000	0.938
Primary	CBLB	868	FBLN1	2192	0.938	0.000	0.938
Primary	AR	367	FOXA1	3169	0.938	0.000	0.938
Primary	GBE1	2632	FUCA1	2517	0.938	0.000	0.938
Primary	LRRFIP1	9208	FUCA1	2517	0.938	0.000	0.938
Primary	ERAL1	26284	FUCA1	2517	0.938	0.000	0.938
Primary	HPRT1	3251	GRHPR	9380	0.938	0.000	0.938
Primary	AR	367	HDLBP	3069	0.938	0.000	0.938
Primary	WWC1	23286	IDH3G	3421	0.938	0.000	0.938
Primary	CDC42	998	ISL1	3670	0.938	0.000	0.938
Primary	USP8	9101	ISL1	3670	0.938	0.000	0.938
Primary	PGA3	643834	ISL1	3670	0.938	0.000	0.938
Primary	PECAM1	5175	ISL1	3670	0.938	0.000	0.938
Primary	PKN2	5586	ITGA6	3655	0.938	0.000	0.938
Primary	ADRBK2	157	KLK11	11012	0.938	0.000	0.938
Primary	ATM	472	KLK11	11012	0.938	0.000	0.938
Primary	CASP6	839	KLK11	11012	0.938	0.000	0.938
Primary	RPP14	11102	KLK11	11012	0.938	0.000	0.938
Primary	PCMT1	5110	LSM14A	26065	0.938	0.000	0.938
Primary	HPRT1	3251	LSM14A	26065	0.938	0.000	0.938
Primary	EIF1AX	1964	LSM14A	26065	0.938	0.000	0.938
Primary	GRK5	2869	MAOB	4129	0.938	0.000	0.938
Primary	MED13L	23389	MAP3K7IP2	23118	0.938	0.000	0.938
Primary	PTEN	5728	MATN2	4147	0.938	0.000	0.938
Primary	TRIO	7204	MC2R	4158	0.938	0.000	0.938
Primary	EIF1AX	1964	METAP1	23173	0.938	0.000	0.938
Primary	HBA1	3039	MYL9	10398	0.938	0.000	0.938
Primary	SEC24A	10802	NAGLU	4669	0.938	0.000	0.938
Primary	HSPA1A	3303	NBL1	4681	0.938	0.000	0.938
Primary	BICD1	636	NEFH	4744	0.938	0.000	0.938
Primary	TFAP2A	7020	NEFH	4744	0.938	0.000	0.938
Primary	APBB1	322	NEFH	4744	0.938	0.000	0.938
Primary	PTK2B	2185	NEFH	4744	0.938	0.000	0.938
Primary	MSH6	2956	NEFH	4744	0.938	0.000	0.938
Primary	SEMA6A	57556	NEFH	4744	0.938	0.000	0.938
Primary	IGF1R	3480	NEFH	4744	0.938	0.000	0.938
Primary	BRD3	8019	PBXIP1	57326	0.938	0.000	0.938
Primary	SGTA	6449	PBXIP1	57326	0.938	0.000	0.938
Primary	MTF2	22823	PBXIP1	57326	0.938	0.000	0.938
Primary	ADM	133	PCP4	5121	0.938	0.000	0.938
Primary	SLC4A7	9497	PCP4	5121	0.938	0.000	0.938
Primary	VDAC1	7416	PCP4	5121	0.938	0.000	0.938
Primary	TNFAIP8	25816	PCP4	5121	0.938	0.000	0.938
Primary	RHOQ	23433	PCP4	5121	0.938	0.000	0.938
Primary	GRK5	2869	PCP4	5121	0.938	0.000	0.938
Primary	PALM2	114299	PCP4	5121	0.938	0.000	0.938
Primary	ERF	2077	PCP4	5121	0.938	0.000	0.938
Primary	FYN	2534	PCP4	5121	0.938	0.000	0.938
Primary	CCNT1	904	PCP4	5121	0.938	0.000	0.938
Primary	NFIB	4781	PCP4	5121	0.938	0.000	0.938
Primary	CBLB	868	PCP4	5121	0.938	0.000	0.938
Primary	TERF1	7013	PEX3	8504	0.938	0.000	0.938
Primary	AR	367	PFN1	5216	0.938	0.000	0.938
Primary	SFRS14	10147	PFN1	5216	0.938	0.000	0.938
Primary	AR	367	PHB2	11331	0.938	0.000	0.938
Primary	RALA	5898	PIBF1	10464	0.938	0.000	0.938
Primary	CUGBP1	10658	PSD4	23550	0.938	0.000	0.938
Primary	PKN2	5586	PSEN2	5664	0.938	0.000	0.938
Primary	MTF2	22823	PSMB10	5699	0.938	0.000	0.938
Primary	WNK1	65125	PTPRN2	5799	0.938	0.000	0.938
Primary	CDKN2D	1032	PTPRN2	5799	0.938	0.000	0.938
Primary	TYRO3	7301	PTPRN2	5799	0.938	0.000	0.938
Primary	FSCN1	6624	SH3BGRL	6451	0.938	0.000	0.938
Primary	SLC7A5	8140	SLC30A9	10463	0.938	0.000	0.938
Primary	CUGBP1	10658	SLC4A3	6508	0.938	0.000	0.938
Primary	EIF1AP1	280661	SRP14	6727	0.938	0.000	0.938
Primary	SLC7A5	8140	STX4	6810	0.938	0.000	0.938
Primary	HBD	3045	TCF21	6943	0.938	0.000	0.938
Primary	CUGBP1	10658	TERF2IP	54386	0.938	0.000	0.938
Primary	AKAP2	11217	TIPARP	25976	0.938	0.000	0.938
Primary	SGTA	6449	TMEM87A	25963	0.938	0.000	0.938
Primary	P4HA1	5033	TMEM87A	25963	0.938	0.000	0.938
Primary	AR	367	TOMM20	9804	0.938	0.000	0.938
Primary	DNAJA1	3301	TOMM20	9804	0.938	0.000	0.938
Primary	STAT3	6774	UBR4	23352	0.938	0.000	0.938
Primary	TOMM70A	9868	UBR4	23352	0.938	0.000	0.938
Primary	RHOQ	23433	VAMP3	9341	0.938	0.000	0.938
Primary	AR	367	VCP	7415	0.938	0.000	0.938
Primary	MTF2	22823	WDR42A	50717	0.938	0.000	0.938
Primary	CEBPD	1052	ZFP36	7538	0.938	0.000	0.938
Primary	HBA1	3039	ZFP36L2	678	0.938	0.000	0.938
Primary	CYHR1	50626	AGL	178	0.969	0.040	0.929
Primary	JARID1A	5927	ALDH3A2	224	0.969	0.040	0.929
Primary	RHOQ	23433	ARHGAP8	23779	0.969	0.040	0.929
Primary	PRKCI	5584	ARHGAP8	23779	0.969	0.040	0.929
Primary	RALA	5898	BNIP1	662	0.969	0.040	0.929
Primary	AR	367	C2orf24	27013	0.969	0.040	0.929
Primary	EIF4G1	1981	CIRBP	1153	0.969	0.040	0.929
Primary	KARS	3735	CIRBP	1153	0.969	0.040	0.929
Primary	ATP1B3	483	CIRBP	1153	0.969	0.040	0.929
Primary	PRKAR1A	5573	CIRBP	1153	0.969	0.040	0.929
Primary	CBX6	23466	CIRBP	1153	0.969	0.040	0.929
Primary	GNB2	2783	CIRBP	1153	0.969	0.040	0.929
Primary	SLC25A1	6576	CIRBP	1153	0.969	0.040	0.929
Primary	PDLIM5	10611	CIRBP	1153	0.969	0.040	0.929
Primary	AR	367	CLSTN1	22883	0.969	0.040	0.929
Primary	SLC7A5	8140	COL16A1	1307	0.969	0.040	0.929
Primary	PECAM1	5175	COL16A1	1307	0.969	0.040	0.929
Primary	PPAP2B	8613	CSRP1	1465	0.969	0.040	0.929
Primary	ATP1B3	483	CSRP1	1465	0.969	0.040	0.929
Primary	CKAP4	10970	CSRP1	1465	0.969	0.040	0.929
Primary	EI24	9538	CSRP1	1465	0.969	0.040	0.929
Primary	PDCD6	10016	CSRP1	1465	0.969	0.040	0.929
Primary	G3BP1	10146	DCTD	1635	0.969	0.040	0.929
Primary	UBQLN2	29978	DES	1674	0.969	0.040	0.929
Primary	ADFP	123	DES	1674	0.969	0.040	0.929
Primary	IL6ST	3572	DES	1674	0.969	0.040	0.929
Primary	RPS6KA3	6197	DES	1674	0.969	0.040	0.929
Primary	DEFA1	1667	DES	1674	0.969	0.040	0.929
Primary	F13A1	2162	DES	1674	0.969	0.040	0.929
Primary	SEC14L1	6397	DES	1674	0.969	0.040	0.929
Primary	SLC7A5	8140	DLG5	9231	0.969	0.040	0.929
Primary	EIF1AP1	280661	DSTN	11034	0.969	0.040	0.929
Primary	MTDH	92140	ETHE1	23474	0.969	0.040	0.929
Primary	RHOQ	23433	FNBP1	23048	0.969	0.040	0.929
Primary	G3BP1	10146	FUCA1	2517	0.969	0.040	0.929
Primary	SPP1	6696	GLB1L2	89944	0.969	0.040	0.929
Primary	EIF1AX	1964	GLB1L2	89944	0.969	0.040	0.929
Primary	DUSP8	1850	GOLGA8A	23015	0.969	0.040	0.929
Primary	C7orf44	55744	GRHPR	9380	0.969	0.040	0.929
Primary	HPRT1	3251	GRN	2896	0.969	0.040	0.929
Primary	GBE1	2632	HLA-J	3137	0.969	0.040	0.929
Primary	CUGBP1	10658	HNRNPD	3184	0.969	0.040	0.929
Primary	SLC7A5	8140	JARID1D	8284	0.969	0.040	0.929
Primary	RALA	5898	KLHL18	23276	0.969	0.040	0.929
Primary	CUGBP1	10658	LAMB2	3913	0.969	0.040	0.929
Primary	CUGBP1	10658	LMNA	4000	0.969	0.040	0.929
Primary	HMGN4	10473	LMOD1	25802	0.969	0.040	0.929
Primary	FYN	2534	MAOB	4129	0.969	0.040	0.929
Primary	AR	367	MXRA8	54587	0.969	0.040	0.929
Primary	ASNS	440	MYL9	10398	0.969	0.040	0.929
Primary	LY6E	4061	MYL9	10398	0.969	0.040	0.929
Primary	UBA2	10054	MYL9	10398	0.969	0.040	0.929
Primary	RAD23B	5887	MYL9	10398	0.969	0.040	0.929
Primary	H2AFY	9555	MYL9	10398	0.969	0.040	0.929
Primary	EBP	10682	MYL9	10398	0.969	0.040	0.929
Primary	PRRC1	133619	NAGLU	4669	0.969	0.040	0.929
Primary	RALA	5898	NAGLU	4669	0.969	0.040	0.929
Primary	AR	367	NBL1	4681	0.969	0.040	0.929
Primary	TERF1	7013	NEFH	4744	0.969	0.040	0.929
Primary	UBXN2B	137886	NEFH	4744	0.969	0.040	0.929
Primary	SPP1	6696	NUCB1	4924	0.969	0.040	0.929
Primary	PKN2	5586	OAT	4942	0.969	0.040	0.929
Primary	ALAS2	212	PBXIP1	57326	0.969	0.040	0.929
Primary	PKN2	5586	PCF11	51585	0.969	0.040	0.929
Primary	IVL	3713	PCP4	5121	0.969	0.040	0.929
Primary	JOSD1	9929	PCP4	5121	0.969	0.040	0.929
Primary	RDX	5962	PCP4	5121	0.969	0.040	0.929
Primary	HBD	3045	PCP4	5121	0.969	0.040	0.929
Primary	KDSR	2531	PCP4	5121	0.969	0.040	0.929
Primary	DUSP8	1850	PDLIM4	8572	0.969	0.040	0.929
Primary	STIP1	10963	PFN1	5216	0.969	0.040	0.929
Primary	HBD	3045	PLN	5350	0.969	0.040	0.929
Primary	STC1	6781	PPWD1	23398	0.969	0.040	0.929
Primary	VDAC1	7416	PRSS8	5652	0.969	0.040	0.929
Primary	LARP1	23367	PRSS8	5652	0.969	0.040	0.929
Primary	GRB2	2885	PRSS8	5652	0.969	0.040	0.929
Primary	MTF2	22823	PRSS8	5652	0.969	0.040	0.929
Primary	TUBA1B	10376	PSAP	5660	0.969	0.040	0.929
Primary	U2AF1	7307	PYGB	5834	0.969	0.040	0.929
Primary	AR	367	RNF187	149603	0.969	0.040	0.929
Primary	PKN2	5586	SCCPDH	51097	0.969	0.040	0.929
Primary	LYN	4067	SCCPDH	51097	0.969	0.040	0.929
Primary	HBD	3045	SLC12A4	6560	0.969	0.040	0.929
Primary	AR	367	SNRNP200	23020	0.969	0.040	0.929
Primary	RALA	5898	STX12	23673	0.969	0.040	0.929
Primary	DYNLL1	8655	TAGLN	6876	0.969	0.040	0.929
Primary	NXF1	10482	TPM1	7168	0.969	0.040	0.929
Primary	TP53BP1	7158	UBR4	23352	0.969	0.040	0.929
Primary	RALA	5898	UTY	7404	0.969	0.040	0.929
Primary	CBLB	868	VAMP3	9341	0.969	0.040	0.929
Primary	MED13L	23389	WDR42A	50717	0.969	0.040	0.929
Primary	FSCN1	6624	WDR7	23335	0.969	0.040	0.929
Primary	TRIO	7204	ZC3H3	23144	0.969	0.040	0.929
DM	ACTG2	72	ATP6V1A	523	0.031	0.960	0.929
DM	TPM1	7168	CBX6	23466	0.031	0.960	0.929
DM	PCP4	5121	CLDN5	7122	0.031	0.960	0.929
DM	NEFH	4744	CLDN5	7122	0.031	0.960	0.929
DM	AIM1	202	CUGBP1	10658	0.031	0.960	0.929
DM	ACTG2	72	CYR61	3491	0.031	0.960	0.929
DM	PFN1	5216	DNAJB1	3337	0.031	0.960	0.929
DM	PTGDS	5730	DNAJB2	3300	0.031	0.960	0.929
DM	ACTG2	72	DPYSL2	1808	0.031	0.960	0.929
DM	CDH3	1001	E2F3	1871	0.031	0.960	0.929
DM	AIM1	202	EIF1AX	1964	0.031	0.960	0.929
DM	PFN1	5216	EIF4H	7458	0.031	0.960	0.929
DM	ACTG2	72	FERMT2	10979	0.031	0.960	0.929
DM	PTN	5764	G0S2	50486	0.031	0.960	0.929
DM	TPM2	7169	GBE1	2632	0.031	0.960	0.929
DM	CSRP1	1465	GNB2	2783	0.031	0.960	0.929
DM	NEFH	4744	GRAMD4	23151	0.031	0.960	0.929
DM	PBX1	5087	GRAMD4	23151	0.031	0.960	0.929
DM	CD151	977	H2AFV	94239	0.031	0.960	0.929
DM	CNN1	1264	HIPK1	204851	0.031	0.960	0.929
DM	UPK3A	7380	HS3ST1	9957	0.031	0.960	0.929
DM	IGFBP2	3485	KRIT1	889	0.031	0.960	0.929
DM	HYAL2	8692	LARP1	23367	0.031	0.960	0.929
DM	POLR3D	661	LARP1	23367	0.031	0.960	0.929
DM	DCI	1632	LARP1	23367	0.031	0.960	0.929
DM	POU4F1	5457	LARP1	23367	0.031	0.960	0.929
DM	R3HCC1	203069	LARP1	23367	0.031	0.960	0.929
DM	TCF25	22980	LARP1	23367	0.031	0.960	0.929
DM	CECR7	100130418	LARP1	23367	0.031	0.960	0.929
DM	PAX8	7849	LARP1	23367	0.031	0.960	0.929
DM	ACTG2	72	LMO4	8543	0.031	0.960	0.929
DM	AIM1	202	MED13	9969	0.031	0.960	0.929
