Gene	Clone	UG cluster	Fold-diff AT/L	t-value
protein tyrosine phosphatase, receptor type, U	2941607	Hs.19718	1.29	7.556
KIAA0750 gene product	2007151	Hs.314434	1.29	4.35
Rho guanine nucleotide exchange factor (GEF) 5	1800364	Hs.334	1.29	4.823
2-5-oligoadenylate synthetase 2, 69/71kDa	3214930	Hs.264981	1.27	5.143
Incyte EST	2133481		1.26	4.932
diacylglycerol kinase, theta 110kDa	4776291	Hs.99932	1.26	4.451
zinc finger, X-linked, duplicated A	1485817	Hs.159249	1.25	6.008
Incyte EST	3606345		1.25	4.508
Incyte EST	2255234		1.25	5.323
talin 2	1414260	Hs.150443	1.23	4.814
kinesin family member 1C	660598	Hs.139648	1.23	4.447
Homo sapiens mRNA; cDNA DKFZp434B0328 (from clone DKFZp434B0328); partial cds	377842	Hs.131834	1.22	4.586
KIAA0241 protein	2754116	Hs.150275	1.22	4.457
neuronal PAS domain protein 2	2892651	Hs.321164	1.18	6.821
nucleoporin 50kDa	1597207	Hs.367697	1.18	4.908
phosphate cytidylyltransferase 2, ethanolamine	1654880	Hs.226377	1.16	4.745
KIAA0446 gene product	2778432	Hs.158286	1.14	5.197
interleukin enhancer binding factor 1	1622587		1.12	5.081
Incyte EST	88935		1.11	6.037
heparan sulfate (glucosamine) 3-O-sulfotransferase 2	3839240	Hs.115830	0.84	-4.801
faciogenital dysplasia (Aarskog-Scott syndrome)	1516838	Hs.1572	0.83	-4.335
Wolfram syndrome 1 (wolframin)	1655180	Hs.26077	0.83	-4.848
EST, Weakly similar to 2004399A chromosomal protein [Homo sapiens] [H.sapiens]	1599532	Hs.94785	0.81	-5.766
biglycan	1963963	Hs.821	0.8	-4.338
NCAG1	2149058	Hs.124673	0.8	-4.925
KIAA0445 gene product	2119925	Hs.301065	0.8	-4.568
smoothened homolog (Drosophila)	2881837	Hs.197366	0.74	-4.574
slit homolog 3 (Drosophila)	2121618	Hs.57929	0.72	-6.57
hypoxia inducible factor 3, alpha subunit	220964	Hs.284256	0.71	-5.089
neurexin 3	2304926	Hs.391946	0.68	-4.389
Homo sapiens, clone IMAGE:3899073, mRNA, partial cds	757370	Hs.42792	0.67	-9.95
chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	1736734	Hs.237356	0.65	-6.016
interleukin 11 receptor, alpha	1439059	Hs.64310	0.64	-4.713
chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	1669647	Hs.237356	0.64	-5.057
homeo box D9	2956581	Hs.236646	0.64	-4.495
chemokine (C-C motif) ligand 22	4589052	Hs.97203	0.61	-5.546
dermatopontin	1961808	Hs.80552	0.52	-5.244
guanylate cyclase 1, soluble, alpha 3	2061505	Hs.75295	0.44	-4.626
ESTs	606593	Hs.11571	0.42	-4.542
follistatin	1577614	Hs.9914	0.25	-8.434
