Parametric p-value	Fold difference of geometric means (T vs N)	Description	UG cluster	Gene symbol	Map
1.00E-07	0.124	retinoic acid receptor responder (tazarotene induced) 1	Hs.82547	RARRES1	3q25.32
6.70E-05	0.124	B-cell CLL/lymphoma 3	Hs.31210	BCL3	19q13.1-q13.2
0.0004344	0.128	lactotransferrin	Hs.105938	LTF	3q21-q23
0.0002531	0.129	ATPase, Class V, type 10B	Hs.109358	ATP10B	5q34
3.00E-06	0.136	Hermansky-Pudlak syndrome 3	Hs.282804	HPS3	3q24
1.40E-05	0.138	claudin 10	Hs.26126	CLDN10	13q31-q34
3.00E-07	0.139	solute carrier family 27 (fatty acid transporter), member 2	Hs.11729	SLC27A2	15q21.2
0.000223	0.145	profilin 2	Hs.91747	PFN2	3q25.1-q25.2
5.00E-07	0.146	likely ortholog of mouse tumor necrosis-alpha-induced adipose-related protein	Hs.44208	FLJ23153	7q21.12
0.000446	0.147	glutathione S-transferase A3	Hs.102484	GSTA3	6p12.1
0.0001045	0.148	melanoma inhibitory activity	Hs.279651	MIA	19q13.32-q13.33
8.07E-05	0.149	complement component 3	Hs.284394	C3	19p13.3-p13.2
0.0005125	0.151	zinc finger protein 76 (expressed in testis)	Hs.29222	ZNF76	6p21.3-p21.2
1.90E-06	0.152	amylase, alpha 2B; pancreatic	Hs.335493	AMY2B	1p21
2.70E-06	0.152	ribonuclease, RNase A family, 4	Hs.283749	RNASE4	14q11.1
1.56E-05	0.152	sperm associated antigen 8	Hs.256747	SPAG8	9p13.3
1.02E-05	0.153	ARF protein	Hs.264509	LOC51326	17q21.31
1.20E-06	0.158	aldehyde dehydrogenase 3 family, member B1	Hs.83155	ALDH3B1	11q13
5.17E-05	0.159	dynein, axonemal, heavy polypeptide 9	Hs.284259	DNAH9	17p12
p < 1e-07	0.16	transferrin	Hs.396489	TF	3q21
0.0001652	0.16	solute carrier family 26, member 4	Hs.159275	SLC26A4	7q31
3.99E-05	0.168	complement component 4A	Hs.170250	C4A	6p21.3
5.70E-06	0.171	coagulation factor III (thromboplastin, tissue factor)	Hs.62192	F3	1p22-p21
5.10E-06	0.179	ceruloplasmin (ferroxidase)	Hs.296634	CP	3q23-q25
1.00E-07	0.182	nei endonuclease VIII-like 1 (E. coli)	Hs.28355	NEIL1	15q22.33
5.05E-05	0.182	ectonucleotide pyrophosphatase/phosphodiesterase 3	Hs.264750	ENPP3	6q22
0.0007193	0.183	tumor-associated calcium signal transducer 2	Hs.23582	TACSTD2	1p32-p31
0.0001429	0.186	argininosuccinate synthetase	Hs.160786	ASS	9q34.1
2.00E-07	0.187	zinc finger protein 204	Hs.8198	ZNF204	6p21.3
7.00E-07	0.188	cytochrome P450, family 2, subfamily J, polypeptide 2	Hs.152096	CYP2J2	1p31.3-p31.2
0.0001697	0.189	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 5	Hs.77062	LILRB5	19q13.4
0.0001979	0.189	centrin, EF-hand protein, 2	Hs.82794	CETN2	Xq28
9.31E-05	0.197	vanin 1	Hs.12114	VNN1	6q23-q24
2.00E-06	0.198	Arg/Abl-interacting protein ArgBP2	Hs.379795	ARGBP2	4q35.1
8.50E-06	0.198	anterior gradient 2 homolog (Xenepus laevis)	Hs.413945	AGR2	7p21.3
8.70E-05	0.198	EBNA1 binding protein 2	Hs.346868	EBNA1BP2	1p35-p33
7.00E-06	0.2	flavin containing monooxygenase 2	Hs.132821	FMO2	1q23-q25
0.000255	0.203	selenoprotein P, plasma, 1	Hs.275775	SEPP1	5q31
1.00E-07	0.204	Meis1, myeloid ecotropic viral integration site 1 homolog 3 (mouse)	Hs.380923	MEIS3	17p11.2
1.00E-06	0.204	mutated in colorectal cancers	Hs.1345	MCC	5q21-q22
5.60E-06	0.204	epidermal growth factor receptor pathway substrate 8	Hs.2132	EPS8	12q23-q24
6.54E-05	0.204	ESTs	Hs.432503	NA	1
7.59E-05	0.204	nucleobindin 2	Hs.3164	NUCB2	11p15.1-p14
0.0002293	0.211	benzodiazapine receptor (peripheral) associated protein 1	Hs.112499	BZRAP1	17q22-q23
1.80E-06	0.212	inhibin, beta B (activin AB beta polypeptide)	Hs.1735	INHBB	2cen-q13
1.21E-05	0.212	transforming growth factor, beta receptor III (betaglycan, 300kDa)	Hs.342874	TGFBR3	1p33-p32
8.92E-05	0.213	UDP glycosyltransferase 1 family, polypeptide A1	Hs.278896	UGT1A1	2q37
3.16E-05	0.215	myosin ID	Hs.39871	MYO1D	17q11-q12
3.66E-05	0.216	tripartite motif-containing 2	Hs.12372	TRIM2	4q31.23
0.0001515	0.217	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1	Hs.152981	CDS1	4q21.23
1.30E-06	0.218	Meis1, myeloid ecotropic viral integration site 1 homolog (mouse)	Hs.170177	MEIS1	2p14-p13
7.87E-05	0.224	clusterin (complement lysis inhibitor, SP-40,40, sulfated glycoprotein 2, testosterone-repressed prostate message 2, apolipoprotein J)	Hs.75106	CLU	8p21-p12
5.00E-07	0.225	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 6	Hs.41072	SERPINB6	6p25
4.22E-05	0.225	protein S (alpha)	Hs.64016	PROS1	3p11-q11.2
3.30E-06	0.226	protein tyrosine phosphatase, receptor type, U	Hs.19718	PTPRU	1p35.3-p35.1
5.07E-05	0.226	spermidine/spermine N1-acetyltransferase	Hs.28491	SAT	Xp22.1
2.14E-05	0.232	calcium channel, voltage-dependent, gamma subunit 3	Hs.7235	CACNG3	16p12-p13.1
4.92E-05	0.234	oxysterol binding protein-like 6	Hs.318775	OSBPL6	2q31-q32.1
4.30E-06	0.235	serum-inducible kinase	Hs.3838	SNK	5q12.1-q13.2
2.00E-07	0.237	calmin (calponin-like, transmembrane)	Hs.406099	CLMN	14q32.2
0.0006142	0.24	actin binding LIM protein 1	Hs.158203	ABLIM1	10q25
1.60E-06	0.241	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	Hs.166096	ELF3	1q32.2
4.50E-06	0.241	mucin 5, subtype B, tracheobronchial	Hs.102482	MUC5B	11p15
9.69E-05	0.242	serine/threonine kinase with Dbl- and pleckstrin homology domains	Hs.162189	TRAD	3q21.2
0.0001639	0.243	protein tyrosine phosphatase, receptor-type, Z polypeptide 1	Hs.78867	PTPRZ1	7q31.3
3.06E-05	0.247	hypothetical protein FLJ20535	Hs.183362	FLJ20535	11q23.2
0.0001089	0.248	oxytocin receptor	Hs.2820	OXTR	3p25
3.78E-05	0.249	axin 2 (conductin, axil)	Hs.127337	AXIN2	17q23-q24
8.32E-05	0.253	retinoic acid induced 3	Hs.194691	RAI3	12p13-p12.3
p < 1e-07	0.256	keratin 7	Hs.23881	KRT7	12q12-q13
1.76E-05	0.257	KIAA1244 protein	Hs.194408	KIAA1244	6q23.3
1.40E-06	0.259	kinesin family member 13B	Hs.15711	KIF13B	8p12
3.00E-07	0.261	HRAS-like suppressor 3	Hs.37189	HRASLS3	11q12.3
0.0005251	0.263	nebulette	Hs.5025	NEBL	10p12
0.0008438	0.264	tubulin, beta polypeptide	Hs.336780	TUBB	6p21.3
3.71E-05	0.265	cytidine monophosphate-N-acetylneuraminic acid hydroxylase (CMP-N-acetylneuraminate monooxygenase)	Hs.24697	CMAH	6p21.32
0.0001682	0.268	24-dehydrocholesterol reductase	Hs.75616	DHCR24	1p33-p31.1
9.10E-06	0.273	microphthalmia-associated transcription factor	Hs.166017	MITF	3p14.1-p12.3
0.0004284	0.273	apolipoprotein L, 1	Hs.114309	APOL1	22q13.1
6.50E-06	0.274	calcium channel, voltage-dependent, beta 3 subunit	Hs.250712	CACNB3	12q13
0.0003573	0.277	KIAA1377 protein	Hs.188790	KIAA1377	11q22.1
3.00E-07	0.279	hypothetical protein FLJ21827	Hs.334360	FLJ21827	11q23.3
0.0001037	0.279	cysteine-rich protein 2	Hs.70327	CRIP2	14q32.3
2.10E-06	0.284	hypothetical protein LOC283445	Hs.234898	LOC283445	12q24.12
0.0001683	0.285	calcium and integrin binding 1 (calmyrin)	Hs.10803	CIB1	15q25.3-q26
0.0005307	0.285	myeloid differentiation primary response gene (88)	Hs.82116	MYD88	3p22
2.60E-06	0.287	lipidosin	Hs.277543	BG1	15q23-q24
7.00E-07	0.288	LIM domain only 2 (rhombotin-like 1)	Hs.184585	LMO2	11p13
8.62E-05	0.289	transmembrane 4 superfamily member 6	Hs.121068	TM4SF6	Xq22
0.0001426	0.289	KIAA0284 protein	Hs.182536	KIAA0284	14q32.33
2.70E-06	0.29	galactosamine (N-acetyl)-6-sulfate sulfatase (Morquio syndrome, mucopolysaccharidosis type IVA)	Hs.159479	GALNS	16q24.3
1.77E-05	0.29	pregnancy-zone protein	Hs.74094	PZP	12p13- p12.2
4.58E-05	0.291	Homo sapiens cDNA FLJ20115 fis, clone COL05594	NA	NA	NA
1.70E-06	0.292	iduronate 2-sulfatase (Hunter syndrome)	Hs.172458	IDS	Xq28
7.40E-05	0.293	short-chain dehydrogenase/reductase 1	Hs.17144	SDR1	1p36.1
0.0007378	0.293	claudin 7	Hs.278562	CLDN7	17p13
3.74E-05	0.294	zinc finger protein 91 homolog (mouse)	Hs.46366	ZFP91	11q12
2.00E-07	0.295	family with sequence similarity 13, member A1	Hs.177664	FAM13A1	4q22.1
3.30E-06	0.295	keratin 7	Hs.23881	KRT7	12q12-q13
1.53E-05	0.296	B/K protein	Hs.26971	LOC51760	16p13.11
8.00E-07	0.299	hypothetical protein FLJ13942	Hs.20537	FLJ13942	6q22.31
1.06E-05	0.301	phosphodiesterase 8B	Hs.78106	PDE8B	5q13.2
8.39E-05	0.303	tetraspan 2	Hs.234863	TSPAN-2	1p12
7.48E-05	0.307	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	Hs.199067	ERBB3	12q13
6.13E-05	0.308	echinoderm microtubule associated protein like 1	Hs.12451	EML1	14q32
0.000271	0.312	transcobalamin I (vitamin B12 binding protein, R binder family)	Hs.2012	TCN1	11q11-q12
0.0009395	0.312	dynein, axonemal, light polypeptide 4	Hs.182595	DNAL4	22q13.1
6.16E-05	0.314	EphA2	Hs.171596	EPHA2	1p36
3.14E-05	0.317	cystic fibrosis transmembrane conductance regulator, ATP-binding cassette (sub-family C, member 7)	Hs.426266	CFTR	7q31.2
0.0005052	0.317	CGI-43 protein	NA	NA	NA
1.60E-06	0.319	histidine decarboxylase	Hs.1481	HDC	15q21-q22
5.19E-05	0.32	PTH-responsive osteosarcoma B1 protein	Hs.79340	B1	7p14
2.26E-05	0.321	Rho GTPase-activating protein	Hs.111138	RICS	11q24-q25
0.0006524	0.321	monoamine oxidase A	Hs.183109	MAOA	Xp11.4-p11.3
0.0002195	0.323	Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse)	Hs.170027	MDM2	12q14.3-q15
1.70E-05	0.326	dihydropyrimidinase-like 3	Hs.74566	DPYSL3	5q32
1.73E-05	0.326	FLJ00005 protein	Hs.367690	FLJ00005	15q22.33
0.0001882	0.326	paraneoplastic antigen MA1	Hs.194709	PNMA1	14q24.1
0.0001697	0.328	Duffy blood group	Hs.183	FY	1q21-q22
1.30E-06	0.33	Fanconi anemia, complementation group A	NA	NA	NA
1.34E-05	0.33	hypothetical protein FLJ20375	Hs.274251	FLJ20375	9p21
0.0001764	0.333	asparaginase like 1	Hs.7331	ASRGL1	11q12.2
0.0001929	0.333	IK cytokine, down-regulator of HLA II	Hs.8024	IK	5q31.3
5.59E-05	0.335	hypothetical protein FLJ32029	Hs.26612	FLJ32029	11q13.3
5.64E-05	0.338	adenylyl cyclase-associated protein 2	Hs.296341	CAP2	6p22.3
1.00E-07	0.339	epidermal growth factor receptor pathway substrate 8-related protein 1	Hs.28907	EPS8R1	19q13.42
0.0001958	0.339	Probe hTg737 (polycystic kidney disease, autosomal recessive)	Hs.2291	TG737	13q12.1
0.0006412	0.343	carnitine deficiency-associated gene expressed in ventricle 1	Hs.333120	CDV-1	12q24.13
5.14E-05	0.344	macrophage stimulating, pseudogene 9	Hs.278657	MSTP9	1p36.13
p < 1e-07	0.347	emerin (Emery-Dreifuss muscular dystrophy)	Hs.2985	EMD	Xq28
5.07E-05	0.347	DKFZP586A0522 protein	Hs.288771	DKFZP586A052	12q13.12
0.0003466	0.347	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	Hs.274260	ABCC6	16p13.1
0.0006825	0.349	3-hydroxybutyrate dehydrogenase (heart, mitochondrial)	Hs.76893	BDH	3q29
0.0008888	0.349	interferon-stimulated transcription factor 3, gamma 48kDa	Hs.1706	ISGF3G	14q11.2
0.0008012	0.35	interleukin 1 receptor, type I	Hs.82112	IL1R1	2q12
2.42E-05	0.351	microphthalmia-associated transcription factor	Hs.166017	MITF	3p14.1-p12.3
0.0004684	0.351	putative ankyrin-repeat containing protein	Hs.4996	DKFZP564D166	17q23.3
8.48E-05	0.353	dihydropyrimidine dehydrogenase	Hs.1602	DPYD	1p22
0.0004017	0.355	synaptotagmin-like 2	Hs.92254	SYTL2	11q14
0.0004607	0.355	transforming growth factor beta-stimulated protein TSC-22	Hs.114360	TSC22	13q14
0.0002809	0.356	LIM domain only 7	Hs.5978	LMO7	13q21.33
0.0001931	0.357	sushi-repeat protein	Hs.126782	SRPUL	Xq21.33-q23
0.0009998	0.358	Homo sapiens colon cancer antigen NY-CO-45 mRNA, partial cds	Hs.160881	NA	6
3.30E-06	0.36	B-cell CLL/lymphoma 6 (zinc finger protein 51)	Hs.155024	BCL6	3q27
4.70E-05	0.361	putative ankyrin-repeat containing protein	Hs.4996	DKFZP564D166	17q23.3
1.48E-05	0.364	apolipoprotein D	Hs.75736	APOD	3q26.2-qter
3.03E-05	0.364	Bernardinelli-Seip congenital lipodystrophy 2 (seipin)	Hs.293981	BSCL2	11q12-q13.5
6.00E-07	0.365	truncated calcium binding protein	Hs.351621	LOC51149	5q35.3
0.0001505	0.367	arachidonate 15-lipoxygenase	Hs.73809	ALOX15	17p13.3
0.0004278	0.367	Kruppel-like factor 4 (gut)	Hs.356370	KLF4	9q31
0.0001075	0.368	RNA binding protein with multiple splicing	Hs.80248	RBPMS	8p12-p11
1.94E-05	0.369	collagen, type VIII, alpha 1	Hs.114599	COL8A1	3q12-q13.1
0.0006642	0.369	midline 1 (Opitz/BBB syndrome)	Hs.27695	MID1	Xp22
9.64E-05	0.37	oxysterol binding protein-like 5	Hs.112034	OSBPL5	11p15.4
8.21E-05	0.371	nei like 2 (E. coli)	Hs.293818	NEIL2	8
0.0009131	0.375	bone morphogenetic protein 1	Hs.1274	BMP1	8p21
0.0001143	0.376	EGF-containing fibulin-like extracellular matrix protein 2	Hs.6059	EFEMP2	11q13
4.29E-05	0.378	carboxylesterase 2 (intestine, liver)	Hs.282975	CES2	16q21
7.50E-06	0.38	two-pore channel 1, homolog	Hs.26440	KIAA1169	12q24.21
0.0002229	0.38	caspase 10, apoptosis-related cysteine protease	Hs.5353	CASP10	2q33-q34
0.000353	0.38	target of myb1 (chicken)	Hs.9482	TOM1	22q13.1
3.00E-07	0.388	Rho-related BTB domain containing 1	Hs.15099	RHOBTB1	10q21.2
0.0001706	0.389	aldehyde dehydrogenase 3 family, member A2	Hs.159608	ALDH3A2	17p11.2
0.0001326	0.391	insulin receptor	Hs.89695	INSR	19p13.3-p13.2
0.0001366	0.391	retinol dehydrogenase 10 (all-trans)	Hs.432987	RDH10	8q13.2
0.0008671	0.391	C-terminal binding protein 2	Hs.171391	CTBP2	10q26.2
5.50E-05	0.393	TBP-interacting protein	Hs.154740	TIP120B	3p25.1
0.0002542	0.393	calpastatin	Hs.359682	CAST	5q15-q21
0.000646	0.393	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2	Hs.102307	SLC13A2	17p11.1-
0.0006831	0.393	period homolog 3 (Drosophila)	Hs.12592	PER3	1p36.22
0.0002168	0.394	calpain 3, (p94)	Hs.293267	CAPN3	15q15.1-q21.1
6.70E-06	0.395	multiple PDZ domain protein	Hs.169378	MPDZ	9p24-p22
2.84E-05	0.395	cytochrome P450, family 4, subfamily F, polypeptide 12	Hs.180570	CYP4F12	19p13.1
0.00051	0.395	galactosylceramidase (Krabbe disease)	Hs.273	GALC	14q31
1.49E-05	0.397	v-ral simian leukemia viral oncogene homolog B (ras related; GTP binding protein)	Hs.348024	RALB	2cen-q13
0.0001103	0.398	kallikrein 10	Hs.69423	KLK10	19q13.3-q13.4
0.0001117	0.399	ectonucleoside triphosphate diphosphohydrolase 1	Hs.205353	ENTPD1	10q24
0.0004262	0.404	cyclin A1	Hs.79378	CCNA1	13q12.3-q13
p < 1e-07	0.406	galactose-4-epimerase, UDP-	Hs.76057	GALE	1p36-p35
0.0009213	0.406	prostate stem cell antigen	Hs.423634	PSCA	8q24.2
0.0001428	0.407	quiescin Q6	Hs.77266	QSCN6	1q24
1.00E-06	0.412	hypothetical protein DKFZp434M0331	Hs.48219	DKFZp434M033	12q23.2
0.0009066	0.417	cytochrome P450, family 24, subfamily A, polypeptide 1	Hs.89663	CYP24A1	20q13
9.30E-05	0.418	calpastatin	Hs.359682	CAST	5q15-q21
3.01E-05	0.419	RAB, member of RAS oncogene family-like 4	Hs.50267	RABL4	22q13.1
0.0008733	0.419	transmembrane protease, serine 2	Hs.318545	TMPRSS2	21q22.3
5.22E-05	0.422	meningioma expressed antigen 6 (coiled-coil proline-rich)	Hs.117242	MGEA6	14q
0.0001665	0.423	thyroid hormone receptor-associated protein (100 kDa)	Hs.23106	TRAP100	17q21.1
1.40E-06	0.426	complement component 5 receptor 1 (C5a ligand)	Hs.2161	C5R1	19q13.3-q13.4
3.10E-06	0.432	transducin-like enhancer of split 2 (E(sp1) homolog, Drosophila)	Hs.332173	TLE2	19p13.3
0.0006789	0.435	rTS beta protein	Hs.180433	HSRTSBETA	18p11.32
0.0002934	0.437	potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3	Hs.47584	KCNS3	2p24
5.08E-05	0.439	synaptopodin	Hs.5307	KIAA1029	5q33.1
5.60E-06	0.445	FK506 binding protein 1B, 12.6 kDa	Hs.77643	FKBP1B	2p24.1
1.17E-05	0.445	tropomyosin 4	Hs.250641	TPM4	19p13.1
0.0003825	0.446	melanoma antigen, family D, 2	Hs.4943	MAGED2	Xp11.4-p11.1
0.0004562	0.446	KIAA0014 gene product	Hs.155650	KIAA0014	8q24.3
0.0001017	0.447	meningioma expressed antigen 6 (coiled-coil proline-rich)	Hs.117242	MGEA6	14q
0.0001431	0.448	loss of heterozygosity, 11, chromosomal region 2, gene A	Hs.152944	LOH11CR2A	11q23
0.0008466	0.449	trefoil factor 1 (breast cancer, estrogen-inducible sequence expressed in)	NA	NA	NA
8.68E-05	0.45	retinitis pigmentosa GTPase regulator	Hs.153614	RPGR	Xp11.4
3.47E-05	0.452	kallikrein B, plasma (Fletcher factor) 1	Hs.1901	KLKB1	4q34-q35
0.0006569	0.452	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	Hs.71622	SMARCD3	7q35-q36
7.65E-05	0.453	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 4 (GalNAc-T4)	Hs.271923	GALNT4	12q21.3-q22
3.37E-05	0.459	numb homolog (Drosophila)	Hs.78890	NUMB	14q24.3
8.46E-05	0.459	single stranded DNA binding protein 4	Hs.324618	SSBP4	19p13.1
0.0001728	0.46	hypothetical protein FLJ20477	Hs.26994	FLJ20477	1p35.3
6.70E-06	0.467	calponin 1, basic, smooth muscle	Hs.21223	CNN1	19p13.2-p13.1
2.55E-05	0.467	paired box gene 2	Hs.155644	PAX2	10q22.1-q24.3
0.0004307	0.472	tumor protein p53 binding protein, 1	Hs.170263	TP53BP1	15q15-q21
0.0001085	0.476	growth arrest-specific 8	Hs.54877	GAS8	16q24.3
0.0008631	0.476	guanylate binding protein 1, interferon-inducible, 67kDa	Hs.62661	GBP1	1p22.2
1.34E-05	0.479	mannose-6-phosphate receptor (cation dependent)	Hs.134084	M6PR	12p13
0.0001916	0.488	ATP synthase mitochondrial F1 complex assembly factor 2	Hs.13434	ATPAF2	17
0.0005857	0.491	cyclin-dependent kinase (CDC2-like) 10	Hs.77313	CDK10	16q24
3.00E-05	0.493	angiogenin, ribonuclease, RNase A family, 5	Hs.332764	ANG	14q11.1-q11.2
2.80E-05	0.495	zinc finger protein 135 (clone pHZ-17)	Hs.374293	ZNF135	19q13.4
2.60E-06	0.498	acylphosphatase 1, erythrocyte (common) type	Hs.18573	ACYP1	14q24.3
7.79E-05	0.499	phytanoyl-CoA hydroxylase (Refsum disease)	Hs.172887	PHYH	10pter-p11.2
8.60E-05	0.504	defensin, beta 1	Hs.32949	DEFB1	8p23.2-p23.1
0.0009802	0.508	histone deacetylase 7A	Hs.275438	HDAC7A	12q13.1
7.53E-05	0.509	hypothetical protein BC010682	Hs.4896	LOC90550	10q22.2
0.0003743	0.509	argininosuccinate lyase	Hs.61258	ASL	7cen-q11.2
2.39E-05	0.51	D-aspartate oxidase	Hs.174441	DDO	6q21
0.0001004	0.511	receptor (calcitonin) activity modifying protein 2	Hs.155106	RAMP2	17q12-q21.1
6.48E-05	0.515	period homolog 2 (Drosophila)	Hs.153405	PER2	2q37.3
2.59E-05	0.517	hypothetical protein LOC284001	Hs.122075	LOC284001	17q25.3
0.0007328	0.519	regulatory factor X, 3 (influences HLA class II expression)	Hs.166019	RFX3	9p24.2
2.16E-05	0.521	DKFZP586P0123 protein	Hs.376803	DKFZP586P012	11q13.3
0.0001128	0.524	lecithin-cholesterol acyltransferase	NA	NA	NA
6.47E-05	0.527	protein kinase C, zeta	Hs.78793	PRKCZ	1p36.33-p36.2
0.0008399	0.527	P450 (cytochrome) oxidoreductase	Hs.167246	POR	7q11.2
5.53E-05	0.529	hypothetical protein GL012	Hs.21379	GL012	9q34.11
0.0004421	0.529	destrin (actin depolymerizing factor)	Hs.408576	DSTN	20p11.23
0.0006846	0.535	Homo sapiens mRNA; cDNA DKFZp762N156 (from clone DKFZp762N156)	Hs.194397	NA	7
0.0002133	0.539	nephronophthisis 4	Hs.106487	NPHP4	1p36.22
0.0001369	0.542	UDP-N-acteylglucosamine pyrophosphorylase 1	Hs.21293	UAP1	1q23.1
5.90E-06	0.544	Homo sapiens, Similar to hypothetical protein FLJ13639, clone IMAGE:4310637, mRNA	Hs.390401	NA	13
0.0002787	0.547	HLA-B associated transcript 3	Hs.274348	BAT3	6p21.3
0.0003082	0.553	ALFY	Hs.198135	ALFY	4q21.3
0.0003101	0.553	Homo sapiens cDNA FLJ30301 fis, clone BRACE2003217.	Hs.285728	NA	2
0.0001771	0.557	zinc finger protein 262	Hs.150390	ZNF262	1p32-p34
0.0001564	0.558	ADP-ribosylation factor 4-like	Hs.183153	ARF4L	17q12-q21
0.0001659	0.558	necdin homolog (mouse)	Hs.50130	NDN	15q11.2-q12
0.0001566	0.56	villin-like	Hs.103665	VILL	3p21.3
2.49E-05	0.563	enhancer of zeste homolog 1 (Drosophila)	Hs.194669	EZH1	17q21.1-q21.3
0.0008561	0.565	glucan (1,4-alpha-), branching enzyme 1 (glycogen branching enzyme, Andersen disease, glycogen storage disease type IV)	Hs.1691	GBE1	3p12.3
0.0001938	0.568	X-prolyl aminopeptidase (aminopeptidase P) 1, soluble	Hs.284202	XPNPEP1	10q25.3
1.30E-06	0.569	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 2	Hs.114765	MLLT2	4q21
0.0003055	0.572	inositol polyphosphate-4-phosphatase, type II, 105kDa	Hs.153687	INPP4B	4q31.1
0.0001715	0.575	KIAA0563 gene product	Hs.339808	KIAA0563	17q24.3
5.20E-06	0.584	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae) associated protein	Hs.168481	MCM3AP	21q22.3
3.83E-05	0.587	myotubular myopathy 1	Hs.75302	MTM1	Xq28
0.0004716	0.593	membrane-bound transcription factor protease, site 1	Hs.75890	MBTPS1	16q24
0.0007184	0.595	hydroxysteroid (17-beta) dehydrogenase 2	Hs.155109	HSD17B2	16q24.1-q24.2
1.15E-05	0.596	A kinase (PRKA) anchor protein (yotiao) 9	Hs.58103	AKAP9	7q21-q22
5.37E-05	0.599	zinc finger protein 103 homolog (mouse)	Hs.155968	ZFP103	2p11.2
0.0006073	0.599	KIAA0998 protein	Hs.131525	KIAA0998	14q24.3
0.0002037	0.602	myc-induced nuclear antigen, 53 kDa	Hs.23294	MINA53	3q12.1
0.0003112	0.602	NADPH oxidase activator 1	Hs.132883	NOXA1	NA
0.0005219	0.608	eukaryotic translation initiation factor 3, subunit 1 alpha, 35kDa	Hs.173987	EIF3S1	15q15.1
5.03E-05	0.609	CDC16 cell division cycle 16 homolog (S.cerevisiae)	Hs.1592	CDC16	13q34
0.0001812	0.614	peroxisome biogenesis factor 10	Hs.247220	PEX10	1p36.32
0.0002332	0.615	bromodomain containing 8	Hs.5464	BRD8	5q31
0.000596	0.619	ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)-like 1	Hs.77225	ADPRTL1	13q11
