Hugo ID	Name
MCM3	Minichromosome maintenance deficient (S. cerevisiae) 3
KIAA0105	KIAA0105 Wilms’ tum our 1-associating protein
M11S1	GPI-anchored protein p137
NA	Gu protein p137
SNRPG	Sm protein G
TNFSF11	TNF-related ligand TRANCE
KPNB2	transportin (TRN)
DDX9	DEAD/H (Asp-Glu-Ala-Asp/His) box polypepide 9
NA	clone A9A2BR11 (CAC)n/(GTG)n repeat-containing
CSE1L	chromosome segregation gene homolog CAS
SSRP1	High mobility group box
DNASE1L1	MUSCLE-SPECIFIC DNASE I-LIKE PRECURSOR
ADE2H1	MULTIFUNCTIONAL PROTEIN ADE2
RNPS1	RNA-binding protein clone E5.1
KIAA0097	KIAA0097
BCL7B	B cell lymphoma protein 7B
SRPK1	serine kinase
CHC1	Chromosome condensation 1
NFYA	Nuclear transcription factor Y, alpha
U2AF1	SPLICING FACTOR U2AF 35 KD SUBUNIT
H2BFL	H2B/l
CHEK1	checkpoint kinase Chk1 (CHK1)
CDC6	similar to TR:G1163108 origin recognition protein
MCM4	CDC21 HOMOLOG
MCM5	CDC46 HOMOLOG
NASP	Nuclear autoantigenic sperm protein (histone-binding)
PPP2CA	Protein phosphatase 2, catalytic subunit, alpha isoform
SERPINE2	Plasminogen activator inhibitor, type II
PCNA	Proliferating cell nuclear antigen
TLOC1	translocation protein-1
HMG1	High-mobility group (nonhistone chromosomal) protein 1
LAP18	STATHMIN
HMG17	non-histone chromosomal protein HMG-17
MGC12250	Prothymosin alpha
FBRNP	D10S102
SET	SET PROTEIN
SFRS10	putative splice factor transformer2-beta
SFRS7	9G8 splicing factor
FUS	Highly similar to TLS protein
NR4A3	mitogen induced nuclear orphan receptor
SRP46	PRE-MRNA SPLICING FACTOR SF2, P33 SUBUNIT
SFRS3	PRE-MRNA SPLICING FACTOR SRP20
RBMX	Heterogeneous nuclear ribonucleoprotein G
TUBB5	beta-tubulin gene (5-beta) with ten Alu
HMMR	Hyaluronan-mediated motility receptor (RHAMM)
NDUFV2	NADH dehydrogenase (ubiquinone) flavoprotein 2 (24kD)
CDC2	Cell division cycle 2, G1 to S and G2 to M
SOX3	SOX-3 PROTEIN
MAD2L1	mitotic feedback control protein Madp2 homolog
CCNA2	75-kD autoantigen (PM-Sc1)
CA150	putative transcription factor CA150
KIAA0101	KIAA0101
LBR	Lamin B receptor
CCNB1	Cyclin B1
KNSL2	kinesin-related protein
STK15	aurora/IPL1-related kinase
CCNB2	cyclin B2
YWHAA	Tyrosine 3-monooxygenase activation protein
MATR3	MATRIN 3
TSN	translin
RFC3	replication factor C, 38-kDa subunit
RFC3	Replication factor C (activator 1) 3 (38kD)
DNAJC3	protein kinase inhibitor p58
TFDP1	E2F-related transcription factor (DP-1)
TFDP1	E2F-related transcription factor (DP-1)
KIAA0094	KIAA0094
TARDBP	TAR DNA-binding protein-43
FOXO1A	Homolog 1 of Drosophila forkhead (rhabdomyosarcoma)
FOXO1A	Homolog 1 of Drosophila forkhead (rhabdomyosarcoma)
SSP29	silver-stainable protein SSP29 m RNA
RAD51	Replication protein A (E coli RecA homolog)
HMG2	High-mobility group (nonhistone chromosomal) protein 2
SPS	selenium donor protein (selD)
CES2	Carboxylestease 2 (liver)
NOE1	clone 23876 neuronal olfactomedin-related ER localized
ZNF22	HKR-T1
FKBP5	54 kDa progesterone receptor-associated FKBP54
FKBP5	54 kDa progesterone receptor-associated FKBP54
CUL4A	Hs-cul-4A
CUL4A	Hs-cul-4A
CLCN6	putative chloride channel
FALZ	fetal Alz-50-reactive clone 1 (FAC1)
GTF2H3	General transcription factor IIH, polypeptide 3
TRIP	hTRIP
GM2A	glucose transporter pseudogene
RBBP6	RBQ-1
DARS	ASPARTYL-TRNA SYNTHETASE
DR1	Down-regulator of transcription 1, TBP-b
ZFP161	zinc finger 5 protein
MDM4	similar to SW:MDM2_human Q00987 MDM2 protein
SOS1	guanine nucleotide exchange factor (SOS1)
UBE3A	Ubiquitin protein ligase E3A
TIA1	NUCLEOLYSIN TIA-1
MEF2A	MYOCYTE-SPECIFIC ENHANCER FACTOR 2, MEF2
EIF4A2	Eukaryotic translation initiation factor 4A (eIF-4A) isoform 2
DLG1	homolog of Drosophila discs large protein, isoform 2
FLJ13910	Weakly similar to coded for by C. elegans
KIAA0029	KIAA0029
RBBP4	RETINO BLASTOMA BINDING PROTEIN P48
DDR1	Receptor protein-tyrosine kinase EDDR1
MADH4	homozygous deletion target in pancreatic carcinoma (DPC4)
HP1-BP74	Weakly similar to contactin associated protein
FUS	fusion, derived from t(12;16) malignant liposarcoma
NA	protein immuno-reactive with anti-PTH
RPL15	ribosomal protein L10
NA	STRESS-ACTIVATED PROTEIN KINASE JNK2
NA	STRESS-ACTIVATED PROTEIN KINASE JNK2
NSEP1	dbpB-like protein
SP3	Sp3 transcription factor
HNRPU	Heterogenous nuclear riboneucloprotein U
TPP2	Tripeptidyl peptidase II
NUDT1	8-oxo-7,8-dihydroguanosine triphosphatase
lSLC20A1	leukemia virus receptor 1 (GLVR1)
SRP9	Signal recognition particle 9 kD protein
KIAA0159	KIAA0159
KIAA1233	KIAA1233 protein
GMFB	similar to gb:M86492 glia maturation factor beta
GMFB	Glia maturation factor beta
HSU15552	acidic 82 kDa protein
NA	EST
SURB7	RNA polymerase II holoenzyme component SRB7
IIDE	INSULIN-DEGRADING ENZ YME
HIF1A	MOP1
CASP7	Mch3 isoform alpha (Mch3)
MAP3K7	TGF-beta activated kinase 1a
GNG10	G protein gamma-10 subunit
GALT	Galactose-1-phosphate uridyl transferase
MRPL3	MRL3 mRNA for ribosomal protein L3 homologue
MRPL3	MRL3 mRNA for ribosomal protein L3 homologue
MRPL3	MRL3 mRNA for ribosomal protein L3 homologue
GMPS	guanosine 5-monophosphate synthase
NUP153	nuclear pore complex protein hnup153
GRIK3	Glutamate receptor, ionotropic, kainate
MTR	5-methyltetrahydrofolate-homocysteine methyltransferase
MAX	MAX protein
SNRNPA	U1 snRNP-specific protein A
SNRNPA	U1 small nuclear ribonucleoprotien A
CHAF1B	chromatin assembly factor-I p60 subunit
ABCD4	peroxisomal membrane protein 69 (PMP69)
KIAA0008	KIAA0008
HNK-1ST	HNK-1 sulfotransferase
UBCH10	cyclin-selective ubiquitin carrier protein
SAE1	activation of Sentrin/SUMO protein AOS1
GTF2F2	TRANSCRIPTION INITIATION FACTOR IIF, BETA SUBUNIT
PPP2CA	Protein phosphatase 2, catalytic subunit, alpha isoform
RANBP1	RAN binding protein 1
CD81	CD81 ANTIGEN
CYB5	Cytochrome b-5
DAXX	similar to TR:O15141 O15141 DAXX
KIAA0377	KIAA0377
APEX	APEX nuclease (multifunctional DNA repair enzyme)
KIAA0670	Weakly similar to coded for by C. elegans
PABPN1	poly(A) binding protein II (PABP2)
E2-EPF	ubiquitin carrier protein (E2-EPF)
CBX1	heterochromatin protein p25
PPGB	Protective protein for beta-galactosidase (galactosialidosis)
iKPNB1	importin beta subunit
BCAA	HYPOTHETICAL MYELOID CELL LINE PROTEIN 7
BIRC1	neuronal apoptosis inhibitory protein
SAH	SA mRNA for SA gene product
HSRTSBETA	rTS beta protein
HNRPF	HnRNP F protein
PRKCH	protein kinase C-L (PRKCL)
RBM3	putative RNA binding protein RNPL
NSMAF	FAN protein
POLE	DNA polymerase epsilon, catalytic polypetide
POLE	DNA POLYMERASE EPSILON, CATALYTIC SUBUNIT
PTB	Polypyrimidine tract binding protein (hnRNP I)
H2AFX	HISTONE H2A.X
CTBP1	CtBP
CTBP1	CtBP
MGC2721	Laminin, beta 2 (laminin S)
PYCS	Pyrroline-5-carboxylate synthetase
TNRC11	OPA-containing protein
HCFC1	HCF1 gene related
TR	aspartyl beta-hydroxylase
SNRP70	U1 snRNP 70K protein
TRAP150	thyroid hormone receptor-associated protein complex
CUGBP1	RNA-binding protein CUG-BP/hNab50 (NAB50)
ELAVL1	HuR RNA binding protein (HuR)
NAP1L4	nucleosome assembly protein 2
HLALS	class I histocompatibility antigen-like
SATB1	Special AT-rich sequence binding protein
RBM10	DXS8237E
HNRPA1	Heterogeneous nuclear ribonucleoprotein A1
DDX17	DEAD-box protein p72 (P72)
NA	EST unknown origin and sequence
NMT1	GLYCYLPEPTIDE N-TETRADECANOYLTRANSFERASE
HRMT1L2	suppressor for yeast mutant
HIP2	huntingtin interacting protein (HIP2)
NCL	NUCLEOLIN
PTMA	Prothymosin alpha
HNRPA0	heterogeneous ribonucleoprotein A0
STIP1	TRANSFORMATION-SENSITIVE PROTEIN IEF SSP
G22P1	Thyroid autoantigen 70kD (Ku antigen)
PNN	desmosome associated protein pinin / nuclear protein SDK3
SFRS5	splicing factor SRp40-1 (SRp40)
EEF1E1	p18 component of aminoacyl-tRNA synthetase complex
CHAF1B	chromatin assembly factor-I p60 subunit
KIAA0410	KIAA0410
NAP1L1	NAP (nucleosome assembly protein) mRNA
NAP1L1	NAP (nucleosome assembly protein) mRNA
MYBL2	V-myb avian myeloblastosis viral oncogene homolog-like 2
TCF12	Transcription factor 12 (HTF4, helix-loop-helix TF 4)
PRDX1	Proliferation-associated gene A
SF3A3	splicesomal protein (SAP 61)
SMARCB1	Ini1
FLJ20085	KIAA0123
RFC1	replication factor c (activator 1) 1 (145kD)
