Acc. No.	Gene	Title	D1B/MPC	P value (D1B vs MPC)	D2B/MPC	P value (D2B vs MPC)	D7B/MPC	P value (D7B vs MPC)
N81029	COL18A1	collagen, type XVIII, alpha 1	1.61	0.29	1.88	0.5	2.48	0.04
AA490172	COL1A2	collagen, type I, alpha 2	0.84	0.53	0.52	0.21	0.24	0.04
AA461456	COL5A2	collagen, type V, alpha 2	0.81	0.01	0.55	0	0.48	0.01
AA598507	COL7A1	collagen, type VII, alpha 1 (epidermolysis bullosa, dystrophic, dominant and recessive)	1.69	0.1	3.15	0.13	3.52	0.05
N94385	COMP	cartilage oligomeric matrix protein (pseudoachondroplasia, epiphyseal dysplasia 1, multiple)	1.32	0.34	1.47	0.6	2.46	0.02
AA425664	COMT	catechol-O-methyltransferase	1.76	0.26	1.92	0.37	2.69	0
AA598868	COPB	coatomer protein complex, subunit beta	0.48	0.06	0.29	0.01	0.39	0.08
T53792	COPB2	coatomer protein complex, subunit beta 2 (beta prime)	0.81	0.35	0.54	0.13	0.44	0.04
AA055585	COPEB	core promoter element binding protein	0.88	0.56	0.61	0.19	0.48	0.03
R10896	COX7A2L	cytochrome c oxidase subunit VIIa polypeptide 2 like	0.58	0.19	0.43	0.02	0.55	0.15
AA845178	CPA1	carboxypeptidase A1 (pancreatic)	1.32	0.15	1.85	0.09	2.77	0.02
AA485922	CPNE1	copine I	2.64	0.1	2.81	0.24	6.43	0.03
AA454702	CRABP1	cellular retinoic acid-binding protein 1	1.78	0.51	3.4	0.51	4.29	0.03
AA504891	CRYAB	crystallin, alpha B	5.23	0.04	4.12	0.08	3.3	0.06
R40946	CRYZ	crystallin, zeta (quinone reductase)	0.55	0.05	0.39	0.09	0.35	0.02
AA487231	CTSH	cathepsin H	1.63	0.34	2.06	0.31	2.08	0.03
R00859	CTSK	cathepsin K (pycnodysostosis)	1.33	0.49	2.52	0.15	4.21	0.01
R52654	CYC1	cytochrome c-1	0.35	0.1	0.2	0.02	0.2	0.04
R53311	CYC1	cytochrome c-1	0.46	0.02	0.44	0.06	0.31	0.03
AA447774	CYC1	cytochrome c-1	0.64	0.29	0.32	0.01	0.52	0.21
AA448157	CYP1B1	cytochrome P450, subfamily I (dioxin-inducible), polypeptide 1 (glaucoma 3, primary infantile)	1.99	0.15	2.32	0.03	5.84	0.09
H05935	CYP27A1	cytochrome P450, subfamily XXVIIA (steroid 27-hydroxylase, cerebrotendinous xanthomatosis), polypeptide 1	0.47	0.01	0.72	0.07	0.67	0.06
R89492	CYP2C9	cytochrome P450, subfamily IIC (mephenytoin 4-hydroxylase), polypeptide 9	1.57	0.67	1.34	0.01	2.85	0.05
AA448289	D123	D123 gene product	1.23	0.83	1.14	0.94	2.04	0.05
H99681	D5S346	DNA segment, single copy probe LNS-CAI/LNS-CAII (deleted in polyposis	0.72	0.28	0.79	0.43	0.46	0.04
AA455281	DAD1	defender against cell death 1	0.7	0.32	0.46	0.15	0.34	0.04
R43325	DAP3	death associated protein 3	0.41	0.15	0.28	0.04	0.41	0.1
R43325	DAP3	death associated protein 3	0.53	0.05	0.4	0.02	0.5	0.12
H10959	DBCCR1	deleted in bladder cancer chromosome region candidate 1	1.81	0.02	1.85	0.09	3.19	0.02
H16798	DDOST	dolichyl-diphosphooligosaccharide-protein glycosyltransferase	1.59	0.3	2.33	0.09	2.39	0.02
H16798	DDOST	dolichyl-diphosphooligosaccharide-protein glycosyltransferase	1.66	0.37	2.08	0.1	2.63	0.03
AA485944	DDX17	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 17 (72kD)	0.88	0.28	1.38	0.52	2.14	0.05
AA463452	DGSI	DiGeorge syndrome critical region gene DGSI	3.91	0.29	4.35	0.31	7.1	0.05
AA052960	DKC1	dyskeratosis congenita 1, dyskerin	0.6	0.04	0.49	0.05	0.62	0.11
AA504844	DKFZP434J1813	DKFZp434J1813 protein	0.49	0.05	0.43	0.09	0.49	0.06
AA679864	DLC1	deleted in liver cancer 1	0.43	0.06	0.33	0.01	0.37	0.03
AA456824	DLST	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)	1.17	0.96	2.7	0.04	0.91	0.57
AA496334	DNM1	dynamin 1	1.47	0.24	2.83	0.23	4.03	0.05
AA780897	DNM2	dynamin 2	1.43	0.38	2.17	0.06	2.44	0.05
R95732	DNMT2	DNA (cytosine-5-)-methyltransferase 2	0.43	0.04	0.45	0.13	1.02	0.73
AA775091	DSIPI	delta sleep inducing peptide, immunoreactor	6.15	0.05	6.27	0.04	7.32	0.09
AA775091	DSIPI	delta sleep inducing peptide, immunoreactor	6.15	0.05	6.27	0.04	7.32	0.09
AA159359	DTNB	dystrobrevin, beta	1.12	0.79	2.25	0.16	2.5	0.02
AA464256	DTYMK	deoxythymidylate kinase	4.46	0.21	3.66	0.05	2.84	0.14
AA630374	DUSP6	dual specificity phosphatase 6	0.39	0.05	0.22	0.01	0.18	0.02
AA630374	DUSP6	dual specificity phosphatase 6	0.39	0.05	0.22	0.01	0.18	0.02
H97140	DUSP8	dual specificity phosphatase 8	1.35	0.26	2.15	0.08	2.53	0.03
AA292226	DXS1357E	accessory proteins BAP31/BAP29	2.51	0.17	2.99	0.22	7.21	0.02
AA452149	DYRK2	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2	1.29	0.36	1.4	0.21	2.41	0.05
AA464729	E2-EPF	ubiquitin carrier protein	1.12	0.89	0.41	0.04	0.56	0.13
AA424950	E2F1	E2F transcription factor 1	1.27	0.5	1.53	0.65	2.95	0.04
N67038	EBP	emopamil-binding protein (sterol isomerase)	2.15	0.22	2.71	0.03	1.3	0.5
AA425861	ECH1	enoyl Coenzyme A hydratase 1, peroxisomal	2.71	0.04	6.3	0.12	4.85	0.29
AA419092	EDG4	endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 4	2.32	0.17	3.12	0.21	4.52	0.03
H28710	EDNRB	endothelin receptor type B	1.91	0.17	1.99	0.12	3.43	0
AA845015	ELA1	elastase 1, pancreatic	2	0.01	2.32	0.16	3.38	0.01
AA775410	EMX1	empty spiracles (Drosophila) homolog 1	1.76	0.17	2.04	0.03	3.26	0.09
AA450123	ENO2	enolase 2, (gamma, neuronal)	0.6	0.15	0.48	0.05	0.51	0.12
R62817	EPB72	erythrocyte membrane protein band 7.2 (stomatin)	2.67	0.11	2.88	0.23	7.89	0.02
W72792	EPHB2	EphB2	1.55	0.25	1.96	0.28	2.99	0.01
AA609284	EPHB6	EphB6	2.41	0.09	2.59	0.12	3.79	0.02
AA838691	EPHX1	epoxide hydrolase 1, microsomal (xenobiotic)	5.33	0.08	5.04	0.04	8.43	0.12
H15574	EPOR	erythropoietin receptor	2.19	0.05	3.52	0.15	5.39	0.1
AA490223	EPS15	epidermal growth factor receptor pathway substrate 15	1.26	0.39	1.75	0.06	2.1	0.02
R54492	ERCC2	excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)	1.52	0.3	1.92	0.04	2.09	0.01
W86216	ERF	Ets2 repressor factor	1.17	0.48	1.35	0.29	2.01	0.01
AA481554	ERPROT213-21	protein with polyglutamine repeat; calcium (ca2+) homeostasis endoplasmic reticulum protein	1.22	0.86	1.12	0.9	2.45	0.05
AA029419	EVPL	envoplakin	1.4	0.19	2.29	0.03	3.01	0.04
AA487582	EXT1	exostoses (multiple) 1	0.49	0.15	0.34	0.01	0.44	0.05
AA487582	EXT1	exostoses (multiple) 1	0.49	0.15	0.34	0.01	0.44	0.05
N98524	F10	coagulation factor X	1.12	0.71	1.84	0.34	2.68	0.05
H50323	FASN	fatty acid synthase	2.08	0.04	2.36	0.01	2.4	0
AA134871	FBLN1	fibulin 1	1.79	0.04	4.74	0.09	19.26	0
AA009609	FGF7	fibroblast growth factor 7 (keratinocyte growth factor)	0.81	0.49	1.27	0.84	2.14	0.03
AA625981	FKBP1A	FK506-binding protein 1A (12kD)	0.46	0.11	0.26	0.08	0.25	0.03
AA454563	FLJ20568	hypothetical protein FLJ20568	2.3	0.18	2.66	0.2	4.55	0.01
R92227	FLJ20624	hypothetical protein FLJ20624	1.22	0.66	1.76	0.14	2.72	0.05
H71848	FMO3	flavin containing monooxygenase 3	1.21	0.98	1.78	0.57	2.22	0
AA485748	FMOD	fibromodulin	1.3	0.4	1.48	0.03	3.05	0.02
N75581	FUBP1	far upstream element (FUSE) binding protein 1	0.53	0.15	0.43	0.02	0.49	0.05
N75581	FUBP1	far upstream element (FUSE) binding protein 1	0.53	0.15	0.43	0.02	0.49	0.05
R44982	FUS2	putative tumor suppressor	1.73	0.6	3	0.43	4.81	0.05
H57136	FXYD1	FXYD domain-containing ion transport regulator 1 (phospholemman)	2.42	0.27	3.38	0.28	4.96	0.05
T82477	FY	Duffy blood group	1.41	0.15	1.81	0.17	3.22	0.05
AA434117	G9A	ankyrin repeat-containing protein	1.81	0.09	2.26	0.26	3.43	0.03
AA444009	GAA	glucosidase, alpha; acid (Pompe disease, glycogen storage disease type II)	1.31	0.45	1.59	0.33	3.57	0.02
R45230	GABRB1	gamma-aminobutyric acid (GABA) A receptor, beta 1	1.63	0.51	1.81	0.64	2.44	0.03
AA428959	GAK	cyclin G associated kinase	1.47	0.4	2	0.24	2.11	0.05
AA857212	GALT	galactose-1-phosphate uridylyltransferase	1.61	0.05	2	0.1	3.38	0.02
H16958	GAPD	glyceraldehyde-3-phosphate dehydrogenase	1.01	0.58	0.49	0.01	0.87	0.46
AA461110	GAS6	growth arrest-specific 6	1.9	0.35	4.15	0.25	3.24	0.05
R06446	GATA1	GATA-binding protein 1 (globin transcription factor 1)	1.86	0.01	2.63	0.01	3.4	0
H72875	GATA3	GATA-binding protein 3	1.28	0.82	1.79	0.28	2.6	0.01
R28294	GCSH	glycine cleavage system protein H (aminomethyl carrier)	0.59	0.08	0.55	0.17	0.42	0.02
AA069414	GFAP	glial fibrillary acidic protein	1.73	0.08	1.91	0.17	2.54	0.02
H72018	GGT1	gamma-glutamyltransferase 1	1.22	0.07	1.72	0.05	2.08	0.01
AA487623	GJA1	gap junction protein, alpha 1, 43kD (connexin 43)	0.45	0.02	0.32	0.06	0.37	0.05
AA487623	GJA1	gap junction protein, alpha 1, 43kD (connexin 43)	0.45	0.02	0.32	0.06	0.37	0.05
AA136710	GLO1	glyoxalase I	0.41	0.05	0.31	0.04	0.39	0.11
H22653	GMFB	glia maturation factor, beta	0.5	0.07	0.49	0.04	0.44	0.05
W92431	GNAT1	guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 1	1.27	0.46	1.72	0.01	2.08	0.03
AA701652	GNLY	granulysin	1.14	0.19	2.06	0.1	2.11	0.02
AA455301	GPAA1	glycophosphatidylinositol anchor attachment 1	1.76	0.46	3.48	0.36	3.15	0.03
R66426	GPR37	G protein-coupled receptor 37 (endothelin receptor type B-like)	1.87	0.05	1.92	0.03	2.47	0
AA419229	GPR39	G protein-coupled receptor 39	2.1	0.05	1.67	0.08	2.36	0.1
AA431832	GRN	granulin	1.09	0.62	1.58	0.29	3.83	0.02
AA485646	GRSF1	G-rich RNA sequence binding factor 1	0.53	0.01	0.5	0.05	0.42	0.01
AA479196	GTF2F2	general transcription factor IIF, polypeptide 2 (30kD subunit)	0.53	0.01	0.39	0.01	0.48	0.04
AA460838	GTF2H3	general transcription factor IIH, polypeptide 3 (34kD subunit)	1.14	0.95	2.36	0.04	1.7	0.16
T50527	GYPB	glycophorin B (includes Ss blood group)	1.39	0.09	1.95	0.05	4.2	0.03
W69399	H1F0	H1 histone family, member 0	1.41	0.35	1.83	0.22	2.67	0.01
T66815	H1F2	H1 histone family, member 2	6.84	0.05	3.44	0.06	3.48	0.09
AA452933	H2AFL	H2A histone family, member L	2	0.01	1.69	0.14	1.88	0.14
AA868008	H4FG	H4 histone family, member G	0.3	0.04	0.26	0.02	0.43	0.14
AA180013	HABP2	hyaluronan-binding protein 2	1.84	0.18	2.36	0.23	3.01	0.01
R48926	HADHA	hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), alpha subunit	1.42	0.35	1.28	0.05	2.05	0.01
N59636	HBZ	hemoglobin, zeta	2.51	0.1	2.47	0.28	3.24	0.04
R55705	HCRTR1	hypocretin (orexin) receptor 1	3.05	0.22	4.89	0.23	6.24	0.04
AA127093	HDAC2	histone deacetylase 2	0.69	0.08	0.53	0.09	0.41	0.02
AA400437	HE2	sperm antigen precursor	1.55	0.01	1.88	0.06	2.37	0
AA733203	HEXA	hexosaminidase A (alpha polypeptide)	0.88	0.33	1.32	0.33	2.22	0
AA876054	HFE	hemochromatosis	1.42	0.54	1.69	0.35	2.08	0.05
AA598526	HIF1A	hypoxia-inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	0.59	0.05	0.4	0.05	0.54	0.08
AA683085	HMG1	high-mobility group (nonhistone chromosomal) protein 1	0.32	0.03	0.28	0.05	0.57	0.22
N72057	HMG17	high-mobility group (nonhistone chromosomal) protein 17	2.35	0.28	2.34	0.18	5.76	0.03
AA448261	HMGIY	high-mobility group (nonhistone chromosomal) protein isoforms I and Y	0.62	0.11	0.43	0.02	0.36	0.03
N31452	HNMT	histamine N-methyltransferase	4.03	0.31	5.57	0.36	8.46	0.05
R37286	HNRPA1	heterogeneous nuclear ribonucleoprotein A1	0.62	0.34	0.28	0.06	0.45	0.05
R37286	HNRPA1	heterogeneous nuclear ribonucleoprotein A1	0.71	0.18	0.33	0.03	0.54	0.04
W72693	HNRPAB	heterogeneous nuclear ribonucleoprotein A/B	0.42	0.09	0.3	0.01	0.51	0.19
AA610066	HOXB6	homeo box B6	1.77	0.01	1.84	0.2	2.11	0.02
AA010605	HPD	4-hydroxyphenylpyruvate dioxygenase	1.76	0.5	1.74	0.79	3.24	0
N47312	HPRT1	hypoxanthine phosphoribosyltransferase 1 (Lesch-Nyhan syndrome)	0.41	0	0.34	0.02	0.35	0.04
AA159577	HSAPOMUCN	apomucin	1.53	0.15	2.31	0.19	3.06	0.03
W51795	HSPB2	heat shock 27kD protein 2	1.79	0.27	2.33	0.1	2.66	0.02
AA521232	HSPC022	HSPC022 protein	0.36	0.13	0.28	0.07	0.23	0.04
R44334	HSPCB	heat shock 90kD protein 1, beta	0.32	0.04	0.27	0.04	0.4	0.03
R44334	HSPCB	heat shock 90kD protein 1, beta	0.33	0.03	0.28	0.03	0.46	0.04
AA447986	HSPF2	heat shock 40kD protein 2	1.86	0.04	2.72	0.12	3.46	0.04
R43753	HSU91641	alpha2,8-sialyltransferase	1.61	0.08	2.08	0.02	2.43	0.06
AA055504	HT2A	TAT-INTERACTIVE PROTEIN, 72-KD	0.47	0.03	0.47	0.1	0.59	0.07
AA482119	ID3	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein	0.44	0	0.49	0.06	0.41	0.01
AA630800	IFI30	interferon, gamma-inducible protein 30	1.26	0.62	0.98	0.76	0.36	0
AA419251	IFITM1	interferon induced transmembrane protein 1 (9-27)	3.4	0.08	4.15	0.01	5.45	0
AA465378	IGHD	immunoglobulin heavy constant delta	1.34	0.2	1.97	0.23	2.78	0.01
AA454657	IL11RA	interleukin 11 receptor, alpha	1.73	0.35	2.29	0.05	2.92	0.02
AA126200	IL1RL1	interleukin 1 receptor-like 1	1.24	0.25	2.08	0.24	2.71	0.03
R42685	IMPA2	inositol(myo)-1(or 4)-monophosphatase 2	2.61	0	2.45	0.01	3.2	0.06
R52542	IMPDH1	IMP (inosine monophosphate) dehydrogenase 1	1.16	0.87	1.4	0.61	2.06	0.02
AA005153	INADL	PDZ domain protein (Drosophila inaD-like)	1.26	0.96	2.06	0.18	2.21	0.04
N33574	ING1	inhibitor of growth family, member 1	1.39	0.26	1.92	0.12	2.19	0
H52141	INPP1	inositol polyphosphate-1-phosphatase	1.16	0.66	1.39	0.02	2.17	0.04
AA443090	IRF7	interferon regulatory factor 7	2.14	0.22	2.57	0.42	5.04	0.01
AA456704	IRS1	insulin receptor substrate 1	1.27	0.66	1.46	0.69	2.34	0.03
R46202	IRX-2A	iroquois-class homeodomain protein	1.76	0.42	2.47	0.35	3.84	0.02
H62387	ISLR	immunoglobulin superfamily containing leucine-rich repeat	2.06	0.16	2.16	0.05	1.92	0.04
AA424695	ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)	0.37	0.14	0.23	0.01	0.27	0.07
R48796	ITGAL	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)	6.02	0.3	7.61	0.31	14.87	0.05
N64384	ITGAX	integrin, alpha X (antigen CD11C (p150), alpha polypeptide)	1.71	0.42	2.39	0.12	3.86	0.03
AA463931	ITPK1	inositol 1,3,4-triphosphate 5/6 kinase	1.39	0.13	1.72	0.03	2.65	0.01
AA131585	JUND	jun D proto-oncogene	0.99	0.75	1.45	0.03	2.48	0.04
AA486220	KARS	lysyl-tRNA synthetase	0.49	0.04	0.48	0.08	0.48	0.04
H14383	KCNAB2	potassium voltage-gated channel, shaker-related subfamily, beta member 2	1.43	0.37	1.47	0.74	2.07	0.02
AA069770	KCNB1	potassium voltage-gated channel, Shab-related subfamily, member 1	1.51	0.47	1.76	0.07	2.31	0.04
