Probe Set ID	Gene Symbol	scp51/scp58Fold Change	sw480/scp58Fold Change	Gene Title
219351_at	SEDLP /// TRAPPC2 /// ZNF547	0.412596299	0.391797313	trafficking protein particle complex 2 /// spondyloepiphyseal dysplasia, late, pseudogene /// zinc finger protein 547
1554704_at	ATP8B3	0.370559659	0.492654732	ATPase, class I, type 8B, member 3
203637_s_at	MID1	0.353048995	0.287077472	midline 1 (Opitz/BBB syndrome)
204867_at	GCHFR	0.348918984	0.359871368	GTP cyclohydrolase I feedback regulator
212907_at	SLC30A1	0.34049754	0.315521509	Solute carrier family 30 (zinc transporter), member 1
236471_at	NFE2L3	0.335771553	0.294779089	nuclear factor (erythroid-derived 2)-like 3
203636_at	MID1	0.335532951	0.233607315	midline 1 (Opitz/BBB syndrome)
244841_at	SEC24A	0.32151212	0.252424764	SEC24 related gene family, member A (S. cerevisiae)
216325_x_at	RTEL1	0.318692703	0.363796251	regulator of telomere elongation helicase 1
222854_s_at	GEMIN8	0.304262761	0.373872844	gem (nuclear organelle) associated protein 8
202627_s_at	SERPINE1	0.297409986	0.394957267	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1
212094_at	PEG10	0.282258863	0.265099199	paternally expressed 10
214332_s_at	TSFM	0.251386135	0.154894113	Ts translation elongation factor, mitochondrial
222719_s_at	PDGFC	0.250243004	0.388418659	platelet derived growth factor C
201438_at	COL6A3	0.216821416	0.327574189	collagen, type VI, alpha 3
205399_at	DCLK1	0.208783309	0.404249174	doublecortin-like kinase 1
230748_at	SLC16A6	0.197242981	0.133643542	solute carrier family 16, member 6 (monocarboxylic acid transporter 7)
244163_at	SEMA3A	0.172782064	0.158865448	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A
201109_s_at	THBS1	0.171499268	0.250014731	thrombospondin 1
201110_s_at	THBS1	0.169211868	0.287075591	thrombospondin 1
216236_s_at	SLC2A14 /// SLC2A3	0.150695811	0.187068425	solute carrier family 2 (facilitated glucose transporter), member 3 /// solute carrier family 2 (facilitated glucose transporter), member 14
207038_at	SLC16A6	0.147210823	0.11427654	solute carrier family 16, member 6 (monocarboxylic acid transporter 7)
229435_at	GLIS3	0.1357404	0.365118397	GLIS family zinc finger 3
222088_s_at	SLC2A14 /// SLC2A3	0.13270099	0.145277484	solute carrier family 2 (facilitated glucose transporter), member 3 /// solute carrier family 2 (facilitated glucose transporter), member 14
206805_at	SEMA3A	0.130934547	0.141918193	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A
201108_s_at	THBS1	0.106199134	0.248965736	thrombospondin 1
229667_s_at	HOXB8	0.044705992	0.316059602	homeobox B8
