Gene symbol	Affymetrix  probesetID	Parametric  pvalue	FDR	Permutation  pvalue	Geommeanofintensities  inclass(highHIF1A)	Geommeanofintensities  inclass(lowHIF1A)	Fold change
CTPS	202613_at	0.0083513	0.091	0.0238	267.83	477.74	0.56
FN1	214701_s_at	0.007384	0.091	0.0195	274.92	555.16	0.5
IL8	202859_x_at	0.0126912	0.0911	0.0281	1,450.99	347.18	4.18
COL5A1	203325_s_at	0.0122305	0.0911	0.0325	175.36	103.63	1.69
MET	213807_x_at	0.0124218	0.0911	0.0303	237.42	434.05	0.55
FHL1	201540_at	0.0130499	0.0916	0.0216	1,861.11	1,300.92	1.43
VIM	201426_s_at	0.013832	0.095	0.0346	4,066.30	2,293.99	1.77
ENG	201809_s_at	0.0141569	0.0952	0.0281	892.31	531.63	1.68
HK2	202934_at	0.018196	0.1182	0.039	162.31	72.62	2.24
EGLN3	222847_s_at	0.0186573	0.1182	0.0303	111.1	73.43	1.51
NT5E	1553995_a_at	0.0186953	0.1182	0.0455	168.76	279.77	0.6
SPHK1	219257_s_at	0.0192831	0.1195	0.0238	88.86	71.09	1.25
SLC2A3	202498_s_at	0.0207813	0.1239	0.0368	246.02	106.33	2.31
AKAP12	210517_s_at	0.0215635	0.1239	0.0325	1,797.54	903.56	1.99
MYC	202431_s_at	0.0213379	0.1239	0.0325	1,141.82	639.47	1.79
ETS1	1555355_a_at	0.0211158	0.1239	0.0433	117.88	75.28	1.57
SERPINE1	1568765_at	0.0236938	0.1273	0.0584	528.58	191.06	2.77
COL5A1	212489_at	0.0234756	0.1273	0.0476	155.57	79.8	1.95
MMP9	203936_s_at	0.0237682	0.1273	0.0368	138.45	97.56	1.42
FHL1	210299_s_at	0.0229013	0.1273	0.039	296.81	210.96	1.41
EGFR	210984_x_at	0.0244497	0.1288	0.0281	163.83	239.25	0.68
LOXL2	202998_s_at	0.0248875	0.1289	0.0498	234.76	112.65	2.08
PKM2	201251_at	0.0255029	0.13	0.0476	301.86	198.07	1.52
SOX9	202935_s_at	0.0266924	0.1318	0.0498	433.02	160.78	2.69
NDRG1	200632_s_at	0.0264591	0.1318	0.0216	733.77	588.59	1.25
TGM2	211573_x_at	0.0271969	0.1322	0.0476	212.82	130.32	1.63
ITGA5	201389_at	0.0278701	0.1334	0.0195	421.93	328.99	1.28
EGFR	211551_at	0.03009	0.1398	0.0173	65.62	78.3	0.84
AK3	224151_s_at	0.0299612	0.1398	0.0563	921.07	1,392.76	0.66
FLT1	210287_s_at	0.0328982	0.1507	0.0238	31.68	20.55	1.54
ITPR1	211323_s_at	0.0375407	0.1695	0.0216	121.36	97.69	1.24
SERPINE1	202627_s_at	0.0383927	0.1709	0.0325	2,322.32	1,074.55	2.16
CXCR4	217028_at	0.0404781	0.1755	0.0823	802.98	317.78	2.53
CXCR4	209201_x_at	0.041359	0.1755	0.0671	493.86	224.38	2.2
KRT18	201596_x_at	0.0421039	0.1755	0.0866	9,362.24	5,908.14	1.58
TGFA	205016_at	0.042201	0.1755	0.0714	291.47	185.44	1.57
EGFR	211607_x_at	0.0410863	0.1755	0.0649	167.03	243.14	0.69
NA	226498_at	0.0437232	0.1765	0.0758	230.16	117.15	1.96
EDN1	222802_at	0.0446802	0.1765	0.0823	308.83	173.26	1.78
ITPR1	203710_at	0.044362	0.1765	0.0693	203.34	147.11	1.38
FLT1	204406_at	0.04449	0.1765	0.0433	23.81	29.28	0.81
TIMP1	201666_at	0.0462731	0.1805	0.0823	5,873.06	3,576.49	1.64
