Gene name	HU133plus2.0 probe ID	logFC	adj. p-value (FDR<0.01)	Descriptions
NUDT7	228855_at	1.658193543	3.62E-14	gb:AI927964 /DB_XREF=gi:5663928 /DB_XREF=wo92a02.x1 /CLONE=IMAGE:2462762 /FEA=EST /CNT=21 /TID=Hs.115920.0 /TIER=Stack /STK=10 /UG=Hs.115920 /UG_TITLE=ESTs
CCNA1	205899_at	2.89291088	4.68E-14	gb:NM_003914.1 /DB_XREF=gi:4502610 /GEN=CCNA1 /FEA=FLmRNA /CNT=39 /TID=Hs.79378.0 /TIER=FL+Stack /STK=23 /UG=Hs.79378 /LL=8900 /DEF=Homo sapiens cyclin A1 (CCNA1), mRNA. /PROD=cyclin A1 /FL=gb:NM_003914.1 gb:U66838.1
S100A10	200872_at	1.723441249	7.98E-14	gb:NM_002966.1 /DB_XREF=gi:4506760 /GEN=S100A10 /FEA=FLmRNA /CNT=382 /TID=Hs.119301.0 /TIER=FL+Stack /STK=181 /UG=Hs.119301 /LL=6281 /DEF=Homo sapiens S100 calcium-binding protein A10 (annexin II ligand, calpactin I, light polypeptide (p11)) (S100A10), mRNA. /PROD=S100 calcium-binding protein A10 /FL=gb:M81457.1 gb:M38591.1 gb:NM_002966.1
Unknown (234032_at)	234032_at	1.376165898	8.35E-14	gb:AF119847.1 /DB_XREF=gi:7770130 /FEA=mRNA /CNT=3 /TID=Hs.283940.0 /TIER=ConsEnd /STK=1 /UG=Hs.283940 /DEF=Homo sapiens PRO1550 mRNA, partial cds. /PROD=PRO1550
MBNL	235173_at	0.854609698	1.10E-13	gb:AA093668 /DB_XREF=gi:1639253 /DB_XREF=cl0517.seq.F /FEA=EST /CNT=21 /TID=Hs.42996.0 /TIER=ConsEnd /STK=0 /UG=Hs.42996 /UG_TITLE=ESTs
IGFBP7	201163_s_at	2.475715661	1.11E-13	gb:NM_001553.1 /DB_XREF=gi:4504618 /GEN=IGFBP7 /FEA=FLmRNA /CNT=409 /TID=Hs.119206.0 /TIER=FL+Stack /STK=157 /UG=Hs.119206 /LL=3490 /DEF=Homo sapiens insulin-like growth factor binding protein 7 (IGFBP7), mRNA. /PROD=insulin-like growth factor binding protein 7 /FL=gb:NM_001553.1 gb:L19182.1
MBNL	235879_at	1.197917647	1.11E-13	gb:AI697540 /DB_XREF=gi:4985440 /DB_XREF=we14f02.x1 /CLONE=IMAGE:2341083 /FEA=EST /CNT=7 /TID=Hs.310286.0 /TIER=ConsEnd /STK=5 /UG=Hs.310286 /UG_TITLE=ESTs
FAM78A	227002_at	1.125156839	4.55E-13	gb:BF515132 /DB_XREF=gi:11600311 /DB_XREF=UI-H-BW1-anv-f-10-0-UI.s1 /CLONE=IMAGE:3083682 /FEA=mRNA /CNT=41 /TID=Hs.143878.0 /TIER=Stack /STK=17 /UG=Hs.143878 /UG_TITLE=Homo sapiens mRNA for FLJ00024 protein, partial cds
HSCP1	218217_at	1.160329207	5.99E-13	gb:NM_021626.1 /DB_XREF=gi:11055991 /GEN=HSCP1 /FEA=FLmRNA /CNT=112 /TID=Hs.106747.0 /TIER=FL+Stack /STK=42 /UG=Hs.106747 /LL=59342 /DEF=Homo sapiens serine carboxypeptidase 1 precursor protein (HSCP1), mRNA. /PROD=serine carboxypeptidase 1 precursor protein /FL=gb:AF282618.1 gb:AF265441.1 gb:AF113214.1 gb:NM_021626.1
NKG2D	205821_at	1.652298539	9.59E-13	gb:NM_007360.1 /DB_XREF=gi:6679051 /GEN=D12S2489E /FEA=FLmRNA /CNT=24 /TID=Hs.74085.0 /TIER=FL /STK=0 /UG=Hs.74085 /LL=22914 /DEF=Homo sapiens DNA segment on chromosome 12 (unique) 2489 expressed sequence (D12S2489E), mRNA. /PROD=NKG2-D type II integral membrane protein /FL=gb:AF260135.1 gb:AF260136.1 gb:NM_007360.1
C20orf118	235529_x_at	1.660988391	1.07E-12	gb:BF437747 /DB_XREF=gi:11450215 /DB_XREF=7p75g12.x1 /CLONE=IMAGE:3651671 /FEA=EST /CNT=14 /TID=Hs.293684.0 /TIER=ConsEnd /STK=6 /UG=Hs.293684 /UG_TITLE=ESTs, Weakly similar to ALU7_HUMAN ALU SUBFAMILY SQ SEQUENCE CONTAMINATION WARNING ENTRY (H.sapiens)
METTL7A	207761_s_at	1.401316307	1.21E-12	gb:NM_014033.1 /DB_XREF=gi:13378140 /GEN=DKFZP586A0522 /FEA=FLmRNA /CNT=3 /TID=Hs.288771.0 /TIER=FL /STK=0 /UG=Hs.288771 /LL=25840 /DEF=Homo sapiens DKFZP586A0522 protein (DKFZP586A0522), mRNA. /PROD=DKFZP586A0522 protein /FL=gb:NM_014033.1
ZCCHC7	1555562_a_at	1.192352353	1.54E-12	gb:BC022434.1 /DB_XREF=gi:18490655 /TID=Hs2.27774.3 /CNT=1 /FEA=FLmRNA /TIER=FL /STK=1 /LL=84186 /UG_GENE=FLJ22611 /UG=Hs.27774 /DEF=Homo sapiens, Similar to hypothetical protein FLJ22611, clone MGC:24716 IMAGE:4277726, mRNA, complete cds. /PROD=Similar to hypothetical protein FLJ22611 /FL=gb:BC022434.1
CPEB2	226939_at	1.49657958	1.75E-12	gb:AI202327 /DB_XREF=gi:3754933 /DB_XREF=qs66a07.x1 /CLONE=IMAGE:1943028 /FEA=EST /CNT=33 /TID=Hs.44833.0 /TIER=Stack /STK=12 /UG=Hs.44833 /UG_TITLE=ESTs
GREM1	218468_s_at	2.773842337	1.85E-12	gb:AF154054.1 /DB_XREF=gi:10863087 /GEN=DRM /FEA=FLmRNA /CNT=228 /TID=Hs.40098.0 /TIER=FL+Stack /STK=20 /UG=Hs.40098 /LL=26585 /DEF=Homo sapiens DRM (DRM) mRNA, complete cds. /PROD=DRM /FL=gb:NM_013372.1 gb:AF110137.2 gb:AF045800.1 gb:AF154054.1
CD44	212063_at	1.123775805	1.97E-12	gb:BE903880 /DB_XREF=gi:10395551 /DB_XREF=601494678F1 /CLONE=IMAGE:3896970 /FEA=EST /CNT=245 /TID=Hs.323950.2 /TIER=Stack /STK=104 /UG=Hs.323950 /LL=7552 /UG_GENE=ZNF6 /UG_TITLE=zinc finger protein 6 (CMPX1)
C20orf118	1559883_s_at	1.367480064	2.41E-12	gb:AF147427.1 /DB_XREF=gi:4761778 /TID=Hs2.407312.1 /CNT=4 /FEA=mRNA /TIER=ConsEnd /STK=0 /UG=Hs.407312 /UG_TITLE=Homo sapiens full length insert cDNA clone YP80A10 /DEF=Homo sapiens full length insert cDNA clone YP80A10.
Unknown (1552665_at)	1552665_at	1.327997132	2.42E-12	gb:NM_032903.1 /DB_XREF=gi:14249673 /TID=Hs2.122655.1 /CNT=17 /FEA=FLmRNA /TIER=FL /STK=2 /LL=84989 /UG_GENE=MGC14425 /UG=Hs.122655 /UG_TITLE=hypothetical protein MGC14425 /DEF=Homo sapiens hypothetical protein MGC14425 (MGC14425), mRNA. /FL=gb:BC007866.1 gb:NM_032903.1
VAT1L	226415_at	2.903226028	2.42E-12	gb:AA156723 /DB_XREF=gi:1728337 /DB_XREF=zl18c02.s1 /CLONE=IMAGE:502274 /FEA=mRNA /CNT=54 /TID=Hs.22975.0 /TIER=Stack /STK=19 /UG=Hs.22975 /LL=57687 /UG_GENE=KIAA1576 /UG_TITLE=KIAA1576 protein
C11orf24	52164_at	0.701723316	2.88E-12	Cluster Incl. AA065185:zm50e09.s1 Homo sapiens cDNA, 3  end /clone=IMAGE-529096 /clone_end=3  /gb=AA065185 /gi=1559080 /ug=Hs.47008 /len=605
PAN3	225563_at	0.997766635	3.42E-12	gb:AI970788 /DB_XREF=gi:5767614 /DB_XREF=wr19g02.x1 /CLONE=IMAGE:2482034 /FEA=EST /CNT=75 /TID=Hs.30348.0 /TIER=Stack /STK=28 /UG=Hs.30348 /UG_TITLE=ESTs
IGFBP7	201162_at	2.640903861	3.97E-12	gb:NM_001553.1 /DB_XREF=gi:4504618 /GEN=IGFBP7 /FEA=FLmRNA /CNT=409 /TID=Hs.119206.0 /TIER=FL+Stack /STK=157 /UG=Hs.119206 /LL=3490 /DEF=Homo sapiens insulin-like growth factor binding protein 7 (IGFBP7), mRNA. /PROD=insulin-like growth factor binding protein 7 /FL=gb:NM_001553.1 gb:L19182.1
RPL33L	203781_at	1.183702192	7.00E-12	gb:NM_004891.1 /DB_XREF=gi:4759047 /GEN=C2ORF1 /FEA=FLmRNA /CNT=104 /TID=Hs.14454.0 /TIER=FL /STK=0 /UG=Hs.14454 /LL=9553 /DEF=Homo sapiens chromosome 2 open reading frame 1 (C2ORF1), mRNA. /PROD=chromosome 2 open reading frame 1 /FL=gb:NM_004891.1 gb:AF047440.1
Unknown (226789_at)	226789_at	1.320430935	8.71E-12	gb:W84421 /DB_XREF=gi:1395562 /DB_XREF=zd89g04.s1 /CLONE=IMAGE:356694 /FEA=EST /CNT=50 /TID=Hs.83992.0 /TIER=Stack /STK=19 /UG=Hs.83992 /UG_TITLE=ESTs
CORO1C	222409_at	1.295663476	1.52E-11	gb:AL162070.1 /DB_XREF=gi:7328146 /GEN=DKFZp762H186 /FEA=FLmRNA /CNT=296 /TID=Hs.17377.0 /TIER=FL /STK=0 /UG=Hs.17377 /LL=23603 /DEF=Homo sapiens mRNA; cDNA DKFZp762H186 (from clone DKFZp762H186); complete cds. /PROD=hypothetical protein /FL=gb:AL162070.1 gb:AB030656.1 gb:NM_014325.1
TECT1	218584_at	0.947469049	1.79E-11	gb:NM_024549.1 /DB_XREF=gi:13375712 /GEN=FLJ21127 /FEA=FLmRNA /CNT=90 /TID=Hs.11500.0 /TIER=FL+Stack /STK=69 /UG=Hs.11500 /LL=79600 /DEF=Homo sapiens hypothetical protein FLJ21127 (FLJ21127), mRNA. /PROD=hypothetical protein FLJ21127 /FL=gb:NM_024549.1
CKLFSF3	224733_at	0.958636382	1.82E-11	gb:AL574900 /DB_XREF=gi:12935545 /DB_XREF=AL574900 /CLONE=CS0DI041YH21 (3 prime) /FEA=EST /CNT=203 /TID=Hs.7773.4 /TIER=Stack /STK=92 /UG=Hs.7773 /LL=55482 /UG_GENE=PRO2121 /UG_TITLE=hypothetical protein PRO2121
Unknown (1555392_at)	1555392_at	1.60386068	1.83E-11	gb:AY143171.1 /DB_XREF=gi:27462055 /TID=Hs2Affx.1.259 /CNT=1 /FEA=FLmRNA /TIER=FL /STK=1 /NOTE=sequence(s) not in UniGene /DEF=Homo sapiens testin-related protein TRG mRNA, complete cds. /PROD=testin-related protein TRG /FL=gb:AY143171.1
CD72	215925_s_at	1.810496724	2.39E-11	gb:AF283777.2 /DB_XREF=gi:10281735 /FEA=mRNA /CNT=2 /TID=Hs.116481.1 /TIER=ConsEnd /STK=0 /UG=Hs.116481 /LL=971 /UG_GENE=CD72 /UG_TITLE=CD72 antigen /DEF=Homo sapiens clone TCBAP0702 mRNA sequence.
C20orf118	204502_at	1.499926812	2.49E-11	gb:NM_015474.1 /DB_XREF=gi:7661593 /GEN=DKFZP564A032 /FEA=FLmRNA /CNT=73 /TID=Hs.23889.0 /TIER=FL+Stack /STK=19 /UG=Hs.23889 /LL=25939 /DEF=Homo sapiens DKFZP564A032 protein (DKFZP564A032), mRNA. /PROD=DKFZP564A032 protein /FL=gb:AF228421.1 gb:AL050267.1 gb:AB013847.1 gb:NM_015474.1
LOC219688	1559266_s_at	1.882003671	2.57E-11	gb:AI363206 /DB_XREF=gi:4114827 /DB_XREF=qy68h02.x1 /CLONE=IMAGE:2017203 /TID=Hs2.350848.1 /CNT=5 /FEA=mRNA /TIER=ConsEnd /STK=0 /LL=219688 /UG_GENE=LOC219688 /UG=Hs.350848 /UG_TITLE=hypothetical protein LOC219688
PPAP2A	210946_at	0.8079595	3.01E-11	gb:AF014403.1 /DB_XREF=gi:3123849 /GEN=PAP2-a2 /FEA=FLmRNA /CNT=2 /TID=Hs.41569.1 /TIER=FL /STK=0 /UG=Hs.41569 /LL=8611 /DEF=Homo sapiens type-2 phosphatidic acid phosphatase alpha-2 (PAP2-a2) mRNA, complete cds. /PROD=type-2 phosphatidic acid phosphatase alpha-2 /FL=gb:AF014403.1
LOC219688	1559265_at	1.647289119	3.14E-11	gb:AI363206 /DB_XREF=gi:4114827 /DB_XREF=qy68h02.x1 /CLONE=IMAGE:2017203 /TID=Hs2.350848.1 /CNT=5 /FEA=mRNA /TIER=ConsEnd /STK=0 /LL=219688 /UG_GENE=LOC219688 /UG=Hs.350848 /UG_TITLE=hypothetical protein LOC219688
MBNL…	1558111_at	1.154555727	3.14E-11	gb:AL562860 /DB_XREF=gi:12911701 /DB_XREF=AL562860 /CLONE=CS0DC022YP14 (3 prime) /TID=Hs2.326710.1 /CNT=21 /FEA=mRNA /TIER=ConsEnd /STK=0 /UG=Hs.326710 /UG_TITLE=Homo sapiens, clone IMAGE:3935812, mRNA, partial cds
Unknown (226413_at)	226413_at	0.646134752	3.27E-11	gb:AA044705 /DB_XREF=gi:1522973 /DB_XREF=zk73g11.r1 /CLONE=IMAGE:488516 /FEA=EST /CNT=54 /TID=Hs.17872.0 /TIER=Stack /STK=20 /UG=Hs.17872 /UG_TITLE=ESTs
MBNL…	201152_s_at	0.920890371	3.53E-11	gb:N31913 /DB_XREF=gi:1152312 /DB_XREF=yy21f10.s1 /CLONE=IMAGE:271915 /FEA=FLmRNA /CNT=345 /TID=Hs.28578.0 /TIER=Stack /STK=29 /UG=Hs.28578 /LL=4154 /UG_GENE=MBNL /UG_TITLE=muscleblind (Drosophila)-like /FL=gb:NM_021038.1 gb:AB007888.1
RNASE6	213566_at	2.231902816	5.09E-11	gb:NM_005615.1 /DB_XREF=gi:5032044 /GEN=RNASE6 /FEA=FLmRNA /CNT=53 /TID=Hs.23262.0 /TIER=FL+Stack /STK=30 /UG=Hs.23262 /LL=6039 /DEF=Homo sapiens ribonuclease, RNase A family, k6 (RNASE6), mRNA. /PROD=ribonuclease, RNase A family, k6 /FL=gb:NM_005615.1
SERPINB1	213572_s_at	1.219791703	5.79E-11	gb:AI554300 /DB_XREF=gi:4486663 /DB_XREF=tq05e07.x1 /CLONE=IMAGE:2207940 /FEA=EST /CNT=26 /TID=Hs.183583.1 /TIER=Stack /STK=23 /UG=Hs.183583 /LL=1992 /UG_GENE=SERPINB1 /UG_TITLE=serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 1
CPEB2	235479_at	1.207289953	6.80E-11	gb:AI948598 /DB_XREF=gi:5740908 /DB_XREF=wq07e07.x1 /CLONE=IMAGE:2470596 /FEA=EST /CNT=15 /TID=Hs.156469.0 /TIER=ConsEnd /STK=7 /UG=Hs.156469 /UG_TITLE=ESTs, Moderately similar to KIAA0940 protein (H.sapiens)
GREM1	218469_at	2.625424931	6.83E-11	gb:NM_013372.1 /DB_XREF=gi:7019348 /GEN=CKTSF1B1 /FEA=FLmRNA /CNT=228 /TID=Hs.40098.0 /TIER=FL+Stack /STK=70 /UG=Hs.40098 /LL=26585 /DEF=Homo sapiens cysteine knot superfamily 1, BMP antagonist 1 (CKTSF1B1), mRNA. /PROD=cysteine knot superfamily 1, BMP antagonist 1 /FL=gb:NM_013372.1 gb:AF110137.2 gb:AF045800.1 gb:AF154054.1
PTRF	208789_at	0.886125075	7.16E-05	gb:BC004295.1 /DB_XREF=gi:13279151 /FEA=FLmRNA /CNT=323 /TID=Hs.29759.0 /TIER=Stack /STK=86 /UG=Hs.29759 /LL=22939 /UG_GENE=PTRF /DEF=Homo sapiens, clone IMAGE:3622356, mRNA, partial cds. /PROD=Unknown (protein for IMAGE:3622356) /FL=gb:AF312393.1
SCD	200832_s_at	1.390183259	8.65E-05	gb:AB032261.1 /DB_XREF=gi:7415720 /GEN=Scd /FEA=FLmRNA /CNT=468 /TID=Hs.119597.0 /TIER=FL+Stack /STK=95 /UG=Hs.119597 /LL=6319 /DEF=Homo sapiens Scd mRNA for stearoyl-CoA desaturase, complete cds. /PROD=stearoyl-CoA desaturase /FL=gb:AB032261.1 gb:AF097514.1 gb:NM_005063.1
CMTM7	226017_at	1.051200988	0.000235686	gb:AI708432 /DB_XREF=gi:4998208 /DB_XREF=as97c01.x1 /CLONE=IMAGE:2353536 /FEA=EST /CNT=69 /TID=Hs.85015.0 /TIER=Stack /STK=21 /UG=Hs.85015 /UG_TITLE=ESTs, Weakly similar to A4P_HUMAN INTESTINAL MEMBRANE A4 PROTEIN (H.sapiens)
TNFSF3	207339_s_at	1.42215701	0.000299884	gb:NM_002341.1 /DB_XREF=gi:4505034 /GEN=LTB /FEA=FLmRNA /CNT=8 /TID=Hs.890.0 /TIER=FL /STK=2 /UG=Hs.890 /LL=4050 /DEF=Homo sapiens lymphotoxin beta (TNF superfamily, member 3) (LTB), transcript variant 1, mRNA. /PROD=lymphotoxin-beta isoform a /FL=gb:NM_002341.1 gb:L11015.1
P2Y14	206637_at	1.36502195	0.000390702	gb:NM_014879.1 /DB_XREF=gi:7661847 /GEN=KIAA0001 /FEA=FLmRNA /CNT=12 /TID=Hs.2465.0 /TIER=FL /STK=7 /UG=Hs.2465 /LL=9934 /DEF=Homo sapiens KIAA0001 gene product; putative G-protein-coupled receptor; G protein coupled receptor for UDP-glucose (KIAA0001), mRNA. /PROD=KIAA0001 gene product; putativeG-protein-coupled receptor; G protein coupled receptor forUDP-glucose /FL=gb:D13626.1 gb:NM_014879.1
HNRPLL	225386_s_at	1.30473207	0.000390702	gb:AI559701 /DB_XREF=gi:4509906 /DB_XREF=tq51e03.x1 /CLONE=IMAGE:2212348 /FEA=mRNA /CNT=95 /TID=Hs.91684.0 /TIER=Stack /STK=28 /UG=Hs.91684 /UG_TITLE=Homo sapiens mRNA; cDNA DKFZp667I103 (from clone DKFZp667I103)
MYL4	210395_x_at	0.797261557	0.000390702	gb:AF116676.1 /DB_XREF=gi:7959850 /FEA=FLmRNA /CNT=20 /TID=Hs.298161.0 /TIER=FL /STK=0 /UG=Hs.298161 /LL=4635 /UG_GENE=MYL4 /DEF=Homo sapiens PRO1957 mRNA, complete cds. /PROD=PRO1957 /FL=gb:AF116676.1
SPEC2	224709_s_at	0.530992075	0.000390702	gb:AF131831.1 /DB_XREF=gi:4406669 /FEA=FLmRNA /CNT=181 /TID=Hs.5985.0 /TIER=Stack /STK=64 /UG=Hs.5985 /LL=56990 /UG_GENE=LOC56990 /UG_TITLE=non-kinase Cdc42 effector protein SPEC2 /DEF=Homo sapiens clone 25186 mRNA sequence. /FL=gb:NM_020240.1 gb:AF189692.1
PLEKHG4B	230671_at	1.093216829	0.000426285	gb:BF056222 /DB_XREF=gi:10810108 /DB_XREF=7j88f11.x1 /CLONE=IMAGE:3393549 /FEA=EST /CNT=12 /TID=Hs.103142.0 /TIER=Stack /STK=11 /UG=Hs.103142 /UG_TITLE=ESTs
CMTM7	235099_at	2.15475961	0.000436216	gb:AW080832 /DB_XREF=gi:6035984 /DB_XREF=xc38a12.x1 /CLONE=IMAGE:2586526 /FEA=EST /CNT=14 /TID=Hs.154986.0 /TIER=ConsEnd /STK=7 /UG=Hs.154986 /UG_TITLE=ESTs, Weakly similar to A29472 T-cell surface glycoprotein MAL, splice form a (H.sapiens)
WSB2	201760_s_at	0.696565857	0.000605921	gb:NM_018639.1 /DB_XREF=gi:8923880 /GEN=LOC55884 /FEA=FLmRNA /CNT=239 /TID=Hs.136644.0 /TIER=FL /STK=0 /UG=Hs.136644 /LL=55884 /DEF=Homo sapiens CS box-containing WD protein (LOC55884), mRNA. /PROD=CS box-containing WD protein /FL=gb:NM_018639.1 gb:AF229181.1 gb:AF163324.1
COBL	213050_at	0.964554956	0.001099439	gb:AA594937 /DB_XREF=gi:2410287 /DB_XREF=no40b03.s1 /CLONE=IMAGE:1103117 /FEA=mRNA /CNT=70 /TID=Hs.33010.0 /TIER=Stack /STK=24 /UG=Hs.33010 /LL=23242 /UG_GENE=KIAA0633 /UG_TITLE=KIAA0633 protein
WSB2	213734_at	0.634303395	0.001446517	gb:BG260658 /DB_XREF=gi:12770474 /DB_XREF=602372225F1 /CLONE=IMAGE:4480039 /FEA=EST /CNT=52 /TID=Hs.136644.1 /TIER=Stack /STK=43 /UG=Hs.136644 /LL=55884 /UG_GENE=LOC55884 /UG_TITLE=CS box-containing WD protein
Deltex homolog 1 (Drosophila)	1559618_at	1.260813821	0.001524853	gb:BQ188678 /DB_XREF=gi:20364229 /DB_XREF=UI-E-EJ1-ajx-c-13-0-UI.r1 /CLONE=UI-E-EJ1-ajx-c-13-0-UI /TID=Hs2.350909.1 /CNT=5 /FEA=mRNA /TIER=ConsEnd /STK=0 /UG=Hs.350909 /UG_TITLE=Homo sapiens cDNA FLJ30384 fis, clone BRACE2008114.
Unknown (228528_at)	228528_at	0.62742243	0.001834701	gb:AI927692 /DB_XREF=gi:5663656 /DB_XREF=wo85h01.x1 /CLONE=IMAGE:2462161 /FEA=EST /CNT=34 /TID=Hs.290825.0 /TIER=Stack /STK=30 /UG=Hs.290825 /UG_TITLE=ESTs
SPEC2	1552613_s_at	0.655077446	0.001958731	gb:NM_020240.1 /DB_XREF=gi:9910377 /GEN=SPEC2 /TID=Hs2.406704.1 /CNT=35 /FEA=FLmRNA /TIER=FL /STK=2 /LL=56990 /UG=Hs.406704 /DEF=Homo sapiens non-kinase Cdc42 effector protein SPEC2 (SPEC2), mRNA. /PROD=non-kinase Cdc42 effector protein SPEC2 /FL=gb:AF189692.1 gb:NM_020240.1
NRN1	218625_at	1.524230398	0.002040378	gb:NM_016588.1 /DB_XREF=gi:7706122 /GEN=LOC51299 /FEA=FLmRNA /CNT=106 /TID=Hs.103291.0 /TIER=FL+Stack /STK=36 /UG=Hs.103291 /LL=51299 /DEF=Homo sapiens neuritin (LOC51299), mRNA. /PROD=neuritin /FL=gb:NM_016588.1 gb:BC002683.1 gb:AF136631.1
ELFN2	1559072_a_at	1.004144111	0.002040378	gb:BC032083.1 /DB_XREF=gi:21327827 /TID=Hs2.250726.1 /CNT=7 /FEA=mRNA /TIER=ConsEnd /STK=0 /LL=114794 /UG_GENE=KIAA1904 /UG=Hs.250726 /UG_TITLE=KIAA1904 protein /DEF=Homo sapiens, clone IMAGE:4938694, mRNA.
MYL4	216054_x_at	0.613076445	0.002208751	gb:X58851 /DB_XREF=gi:34680 /FEA=DNA /CNT=2 /TID=Hs.298161.3 /TIER=ConsEnd /STK=0 /UG=Hs.298161 /LL=4635 /UG_GENE=MYL4 /UG_TITLE=myosin, light polypeptide 4, alkali; atrial, embryonic /DEF=Human MLC1emb gene for embryonic myosin alkaline light chain, promoter and exon 1
CD158K	207314_x_at	1.071722302	0.002468029	gb:NM_006737.1 /DB_XREF=gi:5803051 /GEN=KIR3DL2 /FEA=FLmRNA /CNT=13 /TID=Hs.56328.0 /TIER=FL /STK=1 /UG=Hs.56328 /LL=3812 /DEF=Homo sapiens killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2 (KIR3DL2), mRNA. /PROD=killer cell immunoglobulin-like receptor, threedomains, long cytoplasmic tail, 2 /FL=gb:L76666.1 gb:L76665.1 gb:NM_006737.1 gb:L41270.1 gb:U30272.1
CASP8	213373_s_at	0.682993768	0.003067496	gb:BF439983 /DB_XREF=gi:11452500 /DB_XREF=nac51f11.x1 /CLONE=IMAGE:3406220 /FEA=FLmRNA /CNT=41 /TID=Hs.19949.2 /TIER=Stack /STK=20 /UG=Hs.19949 /LL=841 /UG_GENE=CASP8 /UG_TITLE=caspase 8, apoptosis-related cysteine protease /FL=gb:U58143.1
WDR38	243900_at	0.501769801	0.003067496	gb:AI190548 /DB_XREF=gi:3741757 /DB_XREF=qd54b06.x1 /CLONE=IMAGE:1733267 /FEA=EST /CNT=4 /TID=Hs.143479.0 /TIER=ConsEnd /STK=3 /UG=Hs.143479 /UG_TITLE=ESTs, Weakly similar to hypothetical protein (H.sapiens)
