Affymetrix ID	Symbol	Gene Name	Gene ID	Fold difference	P-Value
229958_at	CLN8	Ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)	2055	1.8	5.75E-03
243675_at	---	Transcribed locus	---	1.8	2.94E-02
202134_s_at	WWTR1	WW domain containing transcription regulator 1	25937	1.7	1.09E-03
227046_at	SLC39A11	solute carrier family 39 (metal ion transporter), member 11	201266	1.7	3.92E-02
244397_at	---	Transcribed locus	---	1.7	1.43E-03
202132_at	WWTR1	WW domain containing transcription regulator 1	25937	1.6	2.49E-02
208438_s_at	FGR	Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog	2268	1.6	1.66E-02
212578_x_at	RPS17	ribosomal protein S17	6218	1.6	3.12E-02
221923_s_at	NPM1	nucleophosmin (nucleolar phosphoprotein B23, numatrin)	4869	1.6	4.21E-03
201201_at	CSTB	cystatin B (stefin B)	1476	1.5	2.66E-02
208698_s_at	NONO	non-POU domain containing, octamer-binding	4841	1.5	4.99E-02
224870_at	KIAA0114	LOC441015	57291	1.5	8.78E-03
226879_at	MGC15619	hypothetical protein MGC15619	84329	1.5	4.74E-03
228171_s_at	---	---	---	1.4	4.76E-02
41660_at	CELSR1	cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)	9620	1.4	3.50E-03
209504_s_at	PLEKHB1	pleckstrin homology domain containing, family B (evectins) member 1	58473	-1.6	2.17E-02
210879_s_at	RAB11FIP5	RAB11 family interacting protein 5 (class I)	26056	-1.6	1.64E-03
225855_at	EPB41L5	erythrocyte membrane protein band 4.1 like 5	57669	-1.6	1.17E-03
238893_at	LOC338758	hypothetical protein LOC338758	338758	-1.6	4.99E-03
203052_at	C2	complement component 2	717	-1.7	4.22E-02
228372_at	C10orf128	chromosome 10 open reading frame 128	170371	-1.7	1.18E-02
235494_at	---	Homo sapiens, clone IMAGE:5284125, mRNA	---	-1.7	2.26E-02
232081_at	---	EST from clone 208499, full insert	---	-1.8	1.45E-02
203476_at	TPBG	trophoblast glycoprotein	7162	-1.9	3.77E-02
1555372_at	BCL2L11	BCL2-like 11 (apoptosis facilitator)	10018	-2	6.10E-03
205660_at	OASL	2-5-oligoadenylate synthetase-like	8638	-2	3.94E-02
209879_at	SELPLG	selectin P ligand	6404	-2	4.85E-03
222326_at	PDE4B	Phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila)	5142	-2	1.87E-02
205476_at	CCL20	chemokine (C-C motif) ligand 20	6364	-2.2	4.46E-02
221030_s_at	ARHGAP24	Rho GTPase activating protein 24 /// Rho GTPase activating protein 24	83478	-2.2	7.23E-06
224970_at	NFIA	nuclear factor I/A	4774	-2.3	2.77E-02
229963_at	NGFRAP1L1	NGFRAP1-like 1	340542	-2.3	4.70E-02
242907_at	GBP2	guanylate binding protein 2, interferon-inducible	2634	-2.3	7.18E-03
1553243_at	ITIH5	inter-alpha (globulin) inhibitor H5	80760	-2.4	6.59E-07
35776_at	ITSN1	intersectin 1 (SH3 domain protein)	6453	-2.4	3.08E-03
209297_at	ITSN1	intersectin 1 (SH3 domain protein)	6453	-2.5	2.99E-02
210244_at	CAMP	cathelicidin antimicrobial peptide	820	-2.9	1.47E-03
219572_at	CADPS2	Ca2+-dependent activator protein for secretion 2	93664	-2.9	9.38E-06
213716_s_at	SECTM1	secreted and transmembrane 1	6398	-3.6	6.21E-05
235086_at	THBS1	Thrombospondin 1	7057	-3.6	4.78E-03
204621_s_at	NR4A2	nuclear receptor subfamily 4, group A, member 2	4929	-3.7	2.78E-05
209540_at	IGF1	insulin-like growth factor 1 (somatomedin C)	3479	-3.7	1.45E-02
229944_at	---	CDNA FLJ13136 fis, clone NT2RP3003139	---	-3.7	3.72E-02
202388_at	RGS2	regulator of G-protein signalling 2, 24kDa	5997	-3.9	9.53E-03
212724_at	RND3	Rho family GTPase 3	390	-3.9	1.52E-02
223422_s_at	ARHGAP24	Rho GTPase activating protein 24	83478	-3.9	9.31E-03
227803_at	ENPP5	ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative function)	59084	-3.9	5.84E-04
220327_at	FLJ38507	colon carcinoma related protein	389136	-4	2.23E-04
203708_at	PDE4B	phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila)	5142	-4.1	8.21E-05
228608_at	VGCNL1	Voltage gated channel like 1	259232	-4.2	2.88E-06
207111_at	EMR1	egf-like module containing, mucin-like, hormone receptor-like 1	2015	-4.3	1.57E-03
203917_at	CXADR	coxsackie virus and adenovirus receptor	1525	-4.5	2.82E-02
209541_at	IGF1	insulin-like growth factor 1 (somatomedin C)	3479	-4.9	2.86E-02
242836_at	---	---	---	-5.4	3.90E-02
239345_at	SLC19A3	solute carrier family 19, member 3	80704	-6.7	2.01E-03
219064_at	ITIH5	inter-alpha (globulin) inhibitor H5	80760	-7.5	1.29E-07
209795_at	CD69	CD69 antigen (p60, early T-cell activation antigen)	969	-8.5	1.12E-03
219304_s_at	PDGFD	platelet derived growth factor D	80310	-11.4	4.94E-06
227399_at	FLJ38507	Colon carcinoma related protein	389136	-13.1	1.54E-06
