Acc. no.a	Symbol	Gene name	Fold changeb	Biological processc
W38732	MLLT2	Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 2	-3.8+/-1.3	NA
W33064	TUBA1	Tubulin, alpha 1 (testis specific)	-3.6+/-1.4	NA
W39129	NUCB1	Nucleobindin 1	-3.4+/-1.1	NA
W31016	IL6	Interleukin 6 (interferon, beta 2)	-3.4+/-1.1	NA
T81285	PFKL	Phosphofructokinase, liver	-3.4+/-0.4	NA
AA042836	IRF2	Interferon regulatory factor 2	-3.3+/-1.5	NA
R02471	G6PC	Glucose-6-phosphatase, catalytic (glycogen storage disease type I, von Gierke disease)	-3.3+/-0.9	NA
Unresolved	ZFP36L1	Zinc-fingerprotein36,C3Htype-like1	-3.3+/-0.6	NA
H48784	ALDH1A1	Aldehydedehydrogenase1family,memberA1	-3.2+/-1.2	NA
BG054547	RNF141	Ring-fingerprotein141	-3.2+/-1.4	NA
H30138	THBS4	Thrombospondin4	-3.1+/-0.6	NA
R74161	PYGL	Phosphorylase,glycogen;liver	-3.1+/-0.8	NA
R67197	Thra1	Thyroidhormonereceptoralpha	-3.1+/-1.1	NA
BE738657	PBEF	Pre-B-cellcolony-enhancingfactor	-3.0+/-0.0	NA
BG675524	NCL	Nucleolin	-2.3+/-0.6	NA
