Feature	Agilent probe	Gene symbol	Gene description	up- or down-regulation in current- versus ex-smokers (bronchus)	up- or down-regulation in SCC versus current smokers (bronchus)	up- or down-regulation in SCC versus current smokers (bronchus)
28895	A_23_P156180	SLC22A4	solute carrier family 22 (organic cation transporter), member 4 (SLC22A4), mRNA [NM_003059]	down	down	down
28976	A_23_P25674	CKB	creatine kinase, brain (CKB), mRNA [NM_001823]	down	down	down
29126	A_23_P141415	MYCBPAP	MYCBP associated protein (MYCBPAP), mRNA [NM_032133]	down	down	down
29647	A_24_P3804	C6orf26	chromosome 6 open reading frame 26 (C6orf26), mRNA [NM_001039651]	down	down	down
30545	A_32_P110016	LOC730704	PREDICTED: hypothetical protein LOC730704 (LOC730704), mRNA [XM_001128267]	down	down	down
31329	A_24_P239811	UBXD5	UBX domain containing 5 (UBXD5), transcript variant 1, mRNA [NM_145345]	down	down	down
31580	A_23_P326931	TTC18	tetratricopeptide repeat domain 18 (TTC18), mRNA [NM_145170]	down	down	down
33157	A_23_P39110	RUVBL2	RuvB-like 2 (E. coli) (RUVBL2), mRNA [NM_006666]	down	down	down
33261	A_32_P14721	DNHD2	cDNA FLJ46751 fis, clone TRACH3022960, weakly  similar to Dynein beta chain, ciliary. [AK128592]	down	down	down
33414	A_23_P134225	LRRC61	leucine rich repeat containing 61 (LRRC61), mRNA [NM_023942]	down	down	down
33648	A_24_P522998	C1orf173	chromosome 1 open reading frame 173 (C1orf173), mRNA [NM_001002912]	down	down	down
34078	A_23_P129367	CCDC135	coiled-coil domain containing 135 (CCDC135), mRNA [NM_032269]	down	down	down
34228	A_23_P201400	PPOX	protoporphyrinogen oxidase (PPOX), nuclear gene encoding mitochondrial protein, mRNA [NM_000309]	down	down	down
34589	A_24_P870509	AF086261	full length insert cDNA clone ZD42A11. [AF086261]	down	down	down
34880	A_23_P308722	C2orf39	chromosome 2 open reading frame 39 (C2orf39), mRNA [NM_145038]	down	down	down
36249	A_23_P413285	KIAA1345	KIAA1345 protein (KIAA1345), mRNA [NM_001080522]	down	down	down
36415	A_23_P53176	FOLR1	folate receptor 1 (adult) (FOLR1), transcript variant 1, mRNA [NM_016725]	down	down	down
36726	A_23_P86540	ARMC3	armadillo repeat containing 3 (ARMC3), mRNA [NM_173081]	down	down	down
37003	A_23_P106835	BBS2	Bardet-Biedl syndrome 2 (BBS2), mRNA [NM_031885]	down	down	down
37063	A_23_P133245	IK	IK cytokine, down-regulator of HLA II (IK), mRNA [NM_006083]	down	down	down
37148	A_32_P81173	USP34	mRNA; cDNA DKFZp586J101 (from clone DKFZp586J101). [AL050376]	down	down	down
38152	A_23_P434900	HN1L	hematological and neurological expressed 1-like (HN1L), mRNA [NM_144570]	down	down	down
38936	A_23_P168771	KIAA1505	KIAA1505 protein (KIAA1505), mRNA [NM_020879]	down	down	down
39487	A_23_P113311	PH-4	hypoxia-inducible factor prolyl 4-hydroxylase (PH-4), transcript variant 2, mRNA [NM_017732]	down	down	down
39865	A_23_P6909	CCRL1	chemokine (C-C motif) receptor-like 1 (CCRL1), transcript variant 1, mRNA [NM_178445]	down	down	down
39958	A_23_P430800	CCDC17	coiled-coil domain containing 17 (CCDC17), mRNA [NM_152500]	down	down	down
40133	A_23_P500861	SYNE1	spectrin repeat containing, nuclear envelope 1 (SYNE1), transcript variant longest, mRNA [NM_182961]	down	down	down
40318	A_23_P354864	CCDC78	coiled-coil domain containing 78 (CCDC78), transcript variant 2, mRNA [NM_173476]	down	down	down
40381	A_23_P217088	AK1	adenylate kinase 1 (AK1), mRNA [NM_000476]	down	down	down
40443	A_23_P213518	CAST	calpastatin (CAST), transcript variant 2, mRNA [NM_173060]	down	down	down
40718	A_23_P115785	FANK1	fibronectin type III and ankyrin repeat domains 1 (FANK1), mRNA [NM_145235]	down	down	down
41014	A_23_P109636	LRIG1	leucine-rich repeats and immunoglobulin-like domains 1 (LRIG1), mRNA [NM_015541]	down	down	down
41081	A_23_P30217	SCGB3A1	secretoglobin, family 3A, member 1 (SCGB3A1), mRNA [NM_052863]	down	down	down
41203	A_23_P78958	CAPS	calcyphosine (CAPS), transcript variant 1, mRNA [NM_004058]	down	down	down
41310	A_32_P74579	GAS2L2	growth arrest-specific 2 like 2 (GAS2L2), mRNA [NM_139285]	down	down	down
41781	A_23_P501007	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1 (EFEMP1), transcript variant 1, mRNA [NM_004105]	down	down	down
41985	A_24_P204675	LOC440353	nuclear pore complex interacting protein pseudogene (LOC440353) on chromosome 16 [NR_002603]	down	down	down
42751	A_23_P90601	STEAP3	STEAP family member 3 (STEAP3), transcript variant 1, mRNA [NM_182915]	down	down	down
42861	A_32_P82845	THC2611277	NM_069973 F08G5.6 {Caenorhabditis elegans} (exp=-1; wgp=0; cg=0), partial (5%) [THC2611277]	down	down	down
43279	A_23_P426153	CCDC37	coiled-coil domain containing 37 (CCDC37), mRNA [NM_182628]	down	down	down
7459	A_23_P62868	EXOSC10	exosome component 10 (EXOSC10), transcript variant 1, mRNA [NM_001001998]	down	down	-
12496	A_32_P4581	AK130118	cDNA FLJ26608 fis, clone LVR00914. [AK130118]	down	down	-
13865	A_23_P307400	CCDC45	coiled-coil domain containing 45 (CCDC45), mRNA [NM_138363]	down	down	-
16637	A_23_P37727	CX3CL1	chemokine (C-X3-C motif) ligand 1 (CX3CL1), mRNA [NM_002996]	down	down	-
16675	A_23_P203891	NCOR2	nuclear receptor co-repressor 2 (NCOR2), transcript variant 1, mRNA [NM_006312]	down	down	-
17084	A_24_P252996	FOLR3	folate receptor 3 (gamma) (FOLR3), mRNA [NM_000804]	down	down	-
20311	A_23_P88489	CATSPER2	cation channel, sperm associated 2 (CATSPER2), transcript variant 2, mRNA [NM_172095]	down	down	-
21005	A_24_P28722	RSAD2	radical S-adenosyl methionine domain containing 2 (RSAD2), mRNA [NM_080657]	down	down	-
23088	A_23_P164958	CCDC8	coiled-coil domain containing 8 (CCDC8), mRNA [NM_032040]	down	down	-
28428	A_32_P34444	FHOD3	formin homology 2 domain containing 3 (FHOD3), mRNA [NM_025135]	down	down	-
31879	A_23_P352535	PPP1R16B	protein phosphatase 1, regulatory (inhibitor) subunit 16B (PPP1R16B), mRNA [NM_015568]	down	down	-
33741	A_23_P114423	RGN	regucalcin (senescence marker protein-30) (RGN), transcript variant 1, mRNA [NM_004683]	down	down	-
35878	A_24_P659415	LOC400590	hypothetical LOC400590, mRNA (cDNA clone MGC:70830 IMAGE:5248762), complete cds. [BC062632]	down	down	-
35960	A_23_P153692	XRCC1	X-ray repair complementing defective repair in Chinese hamster cells 1 (XRCC1), mRNA [NM_006297]	down	down	-
36926	A_23_P132294	GGA1	golgi associated, gamma adaptin ear containing, ARF binding protein 1 (GGA1), mRNA [NM_001001560]	down	down	-
39622	A_23_P48414	CCNA1	cyclin A1 (CCNA1), mRNA [NM_003914]	down	down	-
12103	A_23_P116942	LAG3	lymphocyte-activation gene 3 (LAG3), mRNA [NM_002286]	down	-	-
19856	A_23_P216501	TPM2	tropomyosin 2 (beta) (TPM2), transcript variant 2, mRNA [NM_213674]	down	-	-
24243	A_23_P91802	ECGF1	endothelial cell growth factor 1 (platelet-derived) (ECGF1), mRNA [NM_001953]	down	-	-
30175	A_23_P101806	HPN	hepsin (transmembrane protease, serine 1) (HPN), transcript variant 1, mRNA [NM_182983]	down	-	-
30876	A_23_P120594	ACSS1	acyl-CoA synthetase short-chain family member 1 (ACSS1), mRNA [NM_032501]	down	-	-
34411	A_23_P119353	RASIP1	Ras interacting protein 1 (RASIP1), mRNA [NM_017805]	down	-	-
37941	A_23_P89310	EPN2	epsin 2 (EPN2), transcript variant 2, mRNA [NM_014964]	down	-	-
39410	A_24_P372913	TCF1	transcription factor 1, hepatic; LF-B1, hepatic nuclear factor (HNF1), albumin proximal factor (TCF1), mRNA [NM_000545]	down	-	-
27733	A_23_P20566	TPM2	tropomyosin 2 (beta) (TPM2), transcript variant 2, mRNA [NM_213674]	down	-	up
35425	A_23_P158868	A_23_P158868	Unknown	down	-	up
9366	A_23_P89509	SPAG5	sperm associated antigen 5 (SPAG5), mRNA [NM_006461]	down	up	up
37125	A_32_P16323	ENST00000355077	protein expressed in prostate, ovary, testis, and placenta 14 [ENST00000355077]	down	up	up
