Gene symbol	Gene name	Reference	Fold change	P-value	NF-kB target	Color
PAK1	p21-activated protein kinase	Alizadeh et al., 2000	1.1379	0.1992	No	None
GPR54	G protein-coupled receptor 54	Ngo et al., 2006	1.1295	0.1773	No	None
TNFRSF1B / TNFR2	Tumor necrosis factor receptor superfamily, member 1B	Alizadeh et al., 2000	1.12465	0.5027	No	None
SMAD4	Mothers against DPP homolog 4 (Drosophila)	Alizadeh et al., 2000	1.1219	0.1378	No	None
CCND2	Cyclin D2	Wright et al., 2003/Shipp et al., 2002/Feuerhake et al., 2005	1.1203	0.3774	Yes	None
TSC / TSC1	Tuberous sclerosis 1,transcript variant 1	Ngo et al., 2006	1.1134	0.3267	No	None
IL10RA	Interleukin 10 receptor, alpha	Ngo et al., 2006	1.1069	0.8575	No	None
TNFA	Tumor necrosis factor (TNF superfamily, member 2)	Kalaitzidis et al., 2002	1.10012	0.5107	Yes	None
C4orf9	Gene near HD on 4p16.3 with homology to hypothetical S. pombe gene	Shipp et al., 2002/ Feuerhake et al., 2005	1.0924	0.4003	No	None
CDC37	CDC37 homolog= subunit of Hsp90	Alizadeh et al., 2000	1.0892	0.1632	No	None
FOXP1	Forkhead box P1	Wright et al., 2003	1.0868	0.1593	No	None
MAP3K14	Mitogen-activated protein kinase kinase kinase 14	Alizadeh et al., 2000	1.08184	0.1199	No	None
ETV6	Ets variant gene 6 (TEL oncogene)	Wright et al., 2003	1.0783	0.411	No	None
TBL1XR1	Transducin (beta)-like 1X-linked receptor 1	Ngo et al., 2006	1.0723	0.7527	No	None
IL10RB	Interleukin 10 receptor, beta	Alizadeh et al., 2000	1.05359	0.6652	No	None
PIM1	Pim-1 oncogene	Wright et al., 2003	1.0492	0.5809	Yes	None
GOT2	Glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)	Wright et al., 2003	1.0487	0.3483	No	None
BAK1 / BAK	BCL2-antagonist/killer 1	Alizadeh et al., 2000	1.04157	0.548	No	None
CYB5R2	Cytochrome b5 reductase b5R.2 (CYB5R2), transcript variant 1, mRNA [NM_016229]	Ngo et al., 2006	1.0392	0.9421	No	None
TRAF2	TNF receptor-associated factor 2	Kalaitzidis et al., 2002	1.0379	0.7158	Yes	None
PTPN1	Protein tyrosine phosphatase, non-receptor type 1	Wright et al., 2003/Lu et al., 2005/Ngo et al., 2006	1.0326	0.8173	No	None
PDIA2 / PDIR	Protein disulfide isomerase related protein	Alizadeh et al., 2000	1.0219	0.8606	No	None
FOXC1	Forkhead box C1	Ngo et al., 2006	1.0166	0.9743	No	None
PRKCB1	Protein kinase C, beta 1	Wright et al., 2003	1.0147	0.7838	No	None
ARHGAP24	Hypothetical protein DKFZp564B1162	Ngo et al., 2006	1.0099	0.9276	No	None
IL2RA	Interleukin 2 receptor, alpha	Shipp et al., 2002/Feuerkhake et al., 2005	1	1	Yes	None
MGST1	Microsomal glutathione S-transferase 1	Ngo et al., 2006	1	1	No	None
PDE4B	Phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila)	Ngo et al., 2006	-1.003	0.9957	No	None
pM5 / NOMO1	pM5 homology to conerved regions of the collagenase gene family	Alizadeh et al., 2000	-1.012	0.8681	No	None
MAPKAPK3	Homo sapiens mitogen-activated protein kinase-activated protein kinase 3 (MAPKAPK3), mRNA [NM_004635]	Alizadeh et al., 2000	-1.05	0.6233	No	None
ZNF406	Zinc finger protein 406 (ZNF406)	Ngo et al., 2006	-1.067	0.2468	No	None
LOC96597	Hypothetical protein LOC96597	Wright et al., 2003/Ngo et al., 2006	-1.069	0.8839	No	None
TRA1	Heat shock protein 90kDa beta (Grp94), member 1	Ngo et al., 2006	-1.077	0.7963	No	None
SLA / SLAP	Src-like-adaptor	Wright et al., 2003/Ngo et al., 2006/Alizadeh et al., 2000	-1.095	0.4899	No	None
SPIB	Spi-B transcription factor (Spi-1/PU.1 related)	Wright et al., 2003	-1.107	0.2839	No	None
A20 / TNFAIP3	Tumor necrosis factor, alpha-induced protein 3	Kalaitzidis et al., 2002	-1.109	0.2214	Yes	None
FUT8	Fucosyltransferase 8 (alpha (1,6) fucosyltransferase)	Wright et al., 2003	-1.124	0.445	No	None
IGHG1	Immunoglobulin heavy constant gamma 1 (G1m marker)	Wright et al., 2003	-1.125	0.0469	Yes	None
SH3BP5	SH3-domain binding protein 5 (BTK-associated)	Wright et al., 2003	-1.144	0.304	No	None
TCF4	Transcription factor 4	Wright et al., 2003/Ngo et al., 2006	-1.156	0.0052	No	None
STEAP	Six transmembrane epithelial antigen of the prostate	Ngo et al., 2006	-1.161	0.6864	No	None
TICAM2	Toll-like receptor adaptor molecule 2	Ngo et al., 2006	-1.176	0.0041	No	Green
MCL1	Myeloid cell differentiation protein	Alizadeh et al., 2000	-1.255	3.00E-05	No	Green
MAP2K5	Mitogen-activated protein kinase kinase 5	Alizadeh et al., 2000	-1.2641	0.0001	No	Green
RUNX1	Core binding factor alpha1b subunit=CBF	Alizadeh et al., 2000	-1.287	5.78E-06	No	Green
STAT3	Signal transducer and activator of transcription 3 (acute-phase response factor)	Shipp et al., 2002/Ngo et al., 2006/Feuerkhake et al., 2005	-1.297	0.1929	No	None
BLNK	B-cell linker	Wright et al., 2003	-1.363	0.0007	Yes	Green
SP140	SP140 nuclear body protein	Wright et al., 2003	-1.366	0.0275	No	None
IQCG	IQ motif containing G	Ngo et al., 2006	-1.367	1.00E-05	No	Green
PDE2A	3 5 cyclic AMP phosphodiesterase	Alizadeh et al., 2000	-1.399	3.00E-05	No	Green
IL16	Interleukin 16 (lymphocyte chemoattractant factor)	Wright et al., 2003	-1.488	0.0016	No	Green
EHHADH	Enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase (EHHADH), mRNA [NM_001966]	Ngo et al., 2006	-1.587	0.0136	No	None
PHACTR2	Phosphatase and actin regulator 2	Ngo et al., 2006	-1.683	4.75E-18	No	Green
MAPK4	Extracellular signal-related kinase 3	Alizadeh et al., 2000	-1.803	0.089	Yes	None
IL6	Interleukin 6 (interferon, beta 2)	Shipp et al., 2002/Feuerkhake et al., 2005	-2.006	1.05E-12	Yes	Green
C6orf105	Chromosome 6 open reading frame 105	Ngo et al., 2006	-2.628	5.56E-13	No	Green
IL7	Interleukin 7	Ngo et al., 2006	-8.263	?E-46	No	Green
FLJ34077	Weakly similar to zinc finger protein 195	Wright et al., 2003	not in array		No	None
SLC2A1	Solute carrier family 2 (facilitated glucose transporter), member 1	Shipp et al., 2002/Feuerkhake et al., 2005	not in array		No	None
KCNA3	Potassium voltage-gated channel, shaker-related subfamily, member 3	Alizadeh et al., 2000	not in array		No	None
SFRS17A	B-lymphocyte surface protein	Alizadeh et al., 2000	not in array		No	None
PTP1B	Protein tyrosine phosphatase 1B	Alizadeh et al., 2000	not in array		No	None
FLJ25559	cDNA FLJ25559 fis, clone JTH02834	Ngo et al., 2006	not in array		No	None
FLJ40837	cDNA FLJ40837 fis, clone TRACH2013495	Ngo et al., 2006	not in array		No	None
APR	mRNA for ATL-derived PMA-responsive peptide	Alizadeh et al., 2000	not in array		No	None
