Gene Name	Gene Description	Gene_Symbol [A]	GB_Gene_Name [A]	Genbank_Accession [A]	Go_Biological_Process [A]	MapLocation [A]	Average Rank	Overall Rank	11 Paired Samples Paired T-Test	11 Paired Pamples Avg Paired FC T/LN
204229_at	Homo sapiens cDNA FLJ33742 fis, clone BRAWH2019053, highly similar to Homo sapiens BNPI mRNA for brain-specific Na-dependent inorganic phosphate cotransporter	SLC17A7	NA	H40895	GO:6817 phosphate transport(experimental evidence)	19q13	91	21	1.55E-04	0.48
212617_at	KIAA0295 protein	NA	KIAA0295	AB002293.1		15q22.1	93	22	4.11E-04	2.48
221969_at	paired box gene 5 (B-cell lineage specific activator protein)	NA	NA	BF510692			81	23	1.92E-04	0.27
222066_at	erythrocyte membrane protein band 4.1-like 1	NA	NA	AA573523			84	24	0.002186	2.75
215663_at	Homo sapiens, clone IMAGE:3935812, mRNA, partial cds	NA	NA	BC005296.1			87	25	0.002997	0.78
221102_s_at	transient receptor potential cation channel, subfamily M, member 6	TRPM6	FLJ20087	NM_017662.1		9q21.13	93	26	0.001271	0.41
222285_at	immunoglobulin heavy constant gamma 3 (G3m marker)	NA	NA	AW134608			91	27	0.001717	0.33
208450_at	lectin, galactoside-binding, soluble, 2 (galectin 2)	LGALS2	LGALS2	NM_006498.1		22q13.1	82	28	0.002734	0.42
219862_s_at	nuclear prelamin A recognition factor	NA	NARF	NM_012336.1			91	29	0.001262	1.85
215970_at	Homo sapiens mRNA; cDNA DKFZp434B2115 (from clone DKFZp434B2115)	NA	NA	AL122093.1			94	30	0.005472	0.71
214199_at	surfactant, pulmonary-associated protein D	SFTPD	SFTPD	NM_003019.1	GO:6960 antimicrobial humoral response(not recorded)	10q22.2-q23.1	82	31	0.004862	4.78
205092_x_at	KIAA0997 protein	NA	KIAA0997	NM_014950.1		14q23.2	90	32	0.003029	0.45
220590_at	uncharacterized hematopoietic stem/progenitor cells protein MDS028	NA	MDS028	NM_018463.1		12pter-p13.31	82	33	0.001969	0.43
206070_s_at	EphA3	EPHA3	EPHA3	AF213459.1	GO:7165 signal transduction(predicted/computed)	3p11.2	90	34	7.60E-06	0.16
207586_at	sonic hedgehog homolog (Drosophila)	SHH	SHH	NM_000193.1	GO:7500 mesoderm determination(predicted/computed) GO:7418 ventral midline development(experimental evidence) GO:7048 oncogenesis(experimental evidence)	7q36	90	35	0.004844	0.61
211296_x_at	ubiquitin C	NA	UbC1	AB009010.1			79	36	0.004562	1.65
204714_s_at	coagulation factor V (proaccelerin, labile factor)	F5	F5	NM_000130.2	GO:7596 blood coagulation(experimental evidence)	1q23	93	37	0.003193	0.4
201170_s_at	basic helix-loop-helix domain containing, class B, 2	BHLHB2	BHLHB2	NM_003670.1		3p26	100	38	6.35E-04	2.59
212588_at	protein tyrosine phosphatase, receptor type, C	PTPRC	NA	AI809341	GO:7166 cell surface receptor linked signal transduction(predicted/computed)	1q31-q32	98	39	0.001056	0.38
206398_s_at	CD19 antigen	CD19	CD19	NM_001770.1	GO:7166 cell surface receptor linked signal transduction(predicted/computed) GO:6968 cellular defense response(experimental evidence)	16p11.2	86	40	0.005479	0.42
212976_at	T-cell activation leucine repeat-rich protein	NA	NA	D86984.1			96	41	0.00313	2.97
217752_s_at	hypothetical protein FLJ10830	NA	FLJ10830	NM_018235.1		18q22.3	87	42	0.004737	1.35
202048_s_at	chromobox homolog 6	CBX6	CBX6	NM_014292.1		22q13.1	85	43	3.09E-04	0.62
213642_at	ribosomal protein L27	NA	NA	BE312027			87	44	0.003624	0.59
210279_at	G protein-coupled receptor 18	NA	NA	AF261135.1			86	45	0.002946	0.43
208956_x_at	dUTP pyrophosphatase	DUT	DUT	U62891.1	GO:6139 nucleobase, nucleoside, nucleotide and nucleic acid metabolism(experimental evidence) GO:6260 DNA replication(predicted/computed)	15q15-q21.1	96	46	0.002097	0.72
220059_at	BCR downstream signaling 1	NA	BRDG1	NM_012108.1	GO:7165 signal transduction(experimental evidence) GO:6959 humoral defense mechanism(not recorded) GO:6944 membrane fusion(predicted/computed) GO:6886 intracellular protein traffic(predicted/computed)	4q13.2	82	47	0.004961	0.47
218807_at	vav 3 oncogene	VAV3	VAV3	NM_006113.2	GO:7264 small GTPase mediated signal transduction(experimental evidence)	1p13.1	90	48	0.004459	0.54
210249_s_at	nuclear receptor coactivator 1	NCOA1		U59302.1	GO:6350 transcription(experimental evidence)	2p23	96	49	0.001646	0.78
209774_x_at	chemokine (C-X-C motif) ligand 2	GRO2	gro-beta	M57731.1	GO:6935 chemotaxis(experimental evidence) GO:7186 G-protein linked receptor protein signalling pathway(not recorded) GO:6954 inflammatory response(experimental evidence)	4q21	98	50	0.005568	2.58
213399_x_at	ribophorin II	NA	NA	AI560720			89	51	0.005581	1.44
216091_s_at	beta-transducin repeat containing	BTRC	NA	AF101784.1	GO:7165 signal transduction(experimental evidence) GO:6511 ubiquitin-dependent protein degradation(experimental evidence)	10q24-q25	92	52	0.003766	1.7
200632_s_at	N-myc downstream regulated gene 1	NDRG1	NDRG1	NM_006096.1	GO:9412 heavy metal response(experimental evidence)	8q24	95	53	0.003235	5.19
37232_at	KIAA0586 gene product	KIAA0586	NA	AB011158		14q22.3	96	54	0.004621	0.7
213462_at	neuronal PAS domain protein 2	NA	NA	AW000928		2q11.2	86	55	0.004635	0.54
203108_at	retinoic acid induced 3	RAI3	RAI3	NM_003979.2	GO:7165 signal transduction(predicted/computed)	12p13-p12.3	95	56	0.002383	6.7
211641_x_at	gb:L06101.1 /DEF=Human IG VH-region gene, complete cds. /FEA=mRNA /GEN=IGH@ /PROD=immunoglobulin heavy chain V-region /DB_XREF=gi:185526 /FL=gb:L06101.1		IGH@	L06101.1			98	57	0.001085	0.61
206092_x_at	tumor necrosis factor receptor superfamily, member 6b, decoy	TNFRSF6B	LOC51750	NM_016434.1	GO:6916 anti-apoptosis(experimental evidence) GO:7048 oncogenesis	20q13.3	89	58	0.001003	0.72
200799_at	heat shock 70kDa protein 1A	HSPA1A	HSPA1A	NM_005345.3	GO:6402 mRNA catabolism(experimental evidence) GO:6951 heat shock response(experimental evidence)	6p21.3	87	59	0.004223	2.51
200908_s_at	ribosomal protein, large P2	NA	NA	BC005354.1			97	60	0.0012	0.64
218835_at	surfactant, pulmonary-associated protein A2	SFTPA2	SFTPA2	NM_006926.1		10q22-q23	80	61	0.004368	10.06
212969_x_at	hypothetical protein FLJ35827	NA	NA	BE222618			82	62	0.004852	0.75
214799_at	neurofascin	NA	NA	AI821777		1	94	63	0.00333	0.47
212057_at	KIAA0182 protein	NA	NA	D80004.1		16q24.1	88	64	3.91E-04	2.37
201790_s_at	7-dehydrocholesterol reductase	DHCR7	NA	AW150953	GO:6695 cholesterol biosynthesis(not recorded) GO:8203 cholesterol metabolism(experimental evidence)	11q13.2-q13.5	86	65	0.003734	5.51
209150_s_at	transmembrane 9 superfamily member 1	TM9SF1	NA	U94831.1		14	96	66	0.005097	3.02
213982_s_at	KIAA0471 gene product	NA	NA	BG107203			90	67	0.004436	0.61
216184_s_at	regulating synaptic membrane exocytosis 1	NA	NA	AF263310.1		6q12-q13	96	68	0.004245	0.55
219186_at	hypothetical protein DKFZp547O146	NA	DKFZp547O146	NM_020224.1		19p13.3	88	69	0.001988	0.64
216216_at	slit homolog 3 (Drosophila)	NA	DKFZp434N0435	AL122074.1			93	70	0.002431	0.63
214085_x_at	HIV-1 rev binding protein 2	NA	NA	AI912583			91	71	0.003603	0.51
204837_at	myotubularin related protein 9	MTMR8	DKFZp434K171	AL080178.1		8p23-p22	89	72	0.001301	0.65
216614_at	Homo sapiens mRNA; cDNA DKFZp564F212 (from clone DKFZp564F212)	NA	NA	AL049988.1			99	73	0.003459	0.49
220999_s_at	hypothetical protein PRO1331	NA	PRO1331	NM_030778.1			88	74	0.003371	0.55
208675_s_at	dolichyl-diphosphooligosaccharide-protein glycosyltransferase	DDOST	KIAA0115	D29643.1		1p36.1	95	75	0.001984	1.4
205583_s_at	hypothetical protein FLJ23018	NA	FLJ23018	NM_024810.1		xq22.3	82	76	0.001535	0.63
219672_at	erythroid associated factor	NA	LOC51327	NM_016633.1			100	77	3.71E-04	0.59
209828_s_at	interleukin 16 (lymphocyte chemoattractant factor)	IL16	NA	M90391.1	GO:6935 chemotaxis(not recorded) GO:6955 immune response(predicted/computed)	15q26.3	94	78	0.002693	0.42
221530_s_at	basic helix-loop-helix domain containing, class B, 3	BHLHB3	NA	AB044088.1		12p11.23-p12.1	95	79	0.00142	0.48
201464_x_at	v-jun sarcoma virus 17 oncogene homolog (avian)	JUN	NA	BG491844		1p32-p31	96	80	9.69E-04	3.54
220710_at	hypothetical protein FLJ11722	NA	FLJ11722	NM_024970.1		15q22.31	85	81	4.89E-05	0.35
221791_s_at	hypothetical protein HSPC016	NA	NA	BG167522		3p21.31	88	82	0.003988	0.62
205549_at	Purkinje cell protein 4	PCP4	PCP4	NM_006198.1	GO:7417 central nervous system development(predicted/computed)	21q22.2	96	83	0.003833	7.51
206637_at	G protein-coupled receptor 105	GPR105	KIAA0001	NM_014879.1		3q21-q25	98	84	0.003275	0.57
209499_x_at	tumor necrosis factor (ligand) superfamily, member 13	NA	NA	BF448647			92	85	0.005097	2.82
217568_at	ESTs, Highly similar to  human epididymis-specific 3 alpha [Homo sapiens] [H.sapiens]	NA	NA	AI696737			95	86	0.004474	4.27
212886_at	DKFZP434C171 protein	NA	DKFZp434C171	AL080169.1		5q33.1	79	87	0.004015	0.48
208913_at	golgi associated, gamma adaptin ear containing, ARF binding protein 2	GGA2	NA	NM_015044.1		16p12	92	88	0.004938	0.67
206411_s_at	v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)	ABL2	ABL2	NM_007314.1	GO:6464 protein modification(predicted/computed) GO:7165 signal transduction(predicted/computed)	1q24-q25	87	89	0.001101	3.85
214369_s_at	RAS guanyl releasing protein 2 (calcium and DAG-regulated)	NA	NA	AI688812			84	90	0.002933	0.55
209212_s_at	Kruppel-like factor 5 (intestinal)	NA	bteb2	AB030824.1			95	91	0.003309	1.78
206983_at	chemokine (C-C motif) receptor 6	NA	CCR6	NM_004367.1			86	92	0.003409	0.49
220005_at	G protein-coupled receptor 86	GPR86	GPR86	NM_023914.1		3q24	93	93	0.003386	0.53
216538_at	Homo sapiens mRNA; cDNA DKFZp566C093 (from clone DKFZp566C093)	NA	NA	AL049351.1			97	94	0.004234	0.58
202581_at	heat shock 70kDa protein 1B	HSPA1B	HSPA1B	NM_005346.2	GO:6951 heat shock response(experimental evidence)	6p21.3	98	95	2.07E-04	2.18
210356_x_at	membrane-spanning 4-domains, subfamily A, member 1	MS4A1	NA	BC002807.1	GO:8283 cell proliferation(predicted/computed) GO:7186 G-protein linked receptor protein signalling pathway(predicted/computed) GO:6959 humoral defense mechanism(predicted/computed)	11q12-q13.1	92	96	1.23E-04	0.24
220704_at	zinc finger protein, subfamily 1A, 1 (Ikaros)	NA	PRO0758	NM_018563.1			96	97	0.002282	0.39
219777_at	hypothetical protein FLJ22690	NA	FLJ22690	NM_024711.1		7q36.1	87	98	0.001578	0.38
204919_at	proline rich 4 (lacrimal)	NA	LPRP	NM_007244.1	GO:7582 physiological processes(predicted/computed) GO:7601 vision(predicted/computed)	12p13	87	99	0.001208	0.6
60794_f_at	Homo sapiens cDNA FLJ12601 fis, clone NT2RM4001414	NA	NA	AI400621			81	100	0.002707	0.68
200800_s_at	heat shock 70kDa protein 1A	HSPA1A	HSPA1A	NM_005345.3	GO:6402 mRNA catabolism(experimental evidence) GO:6951 heat shock response(experimental evidence)	6p21.3	87	101	8.26E-04	2.34
202992_at	complement component 7	C7	C7	NM_000587.1	GO:6955 immune response(not recorded) GO:9618 response to pathogenic bacteria(experimental evidence)	5p13	94	102	0.001347	0.33
212444_at	Homo sapiens cDNA: FLJ22182 fis, clone HRC00953	NA	NA	AA156240			92	103	6.97E-04	4.3
217542_at	ESTs	NA	NA	BE930512			97	104	0.005157	0.69
202977_s_at	HCF-binding transcription factor Zhangfei	NA	NA	NM_021212.1		11q14	98	105	0.00417	0.61
201278_at	Homo sapiens cDNA FLJ35517 fis, clone SPLEN2000698	DAB2	NA	N21202	GO:8283 cell proliferation(experimental evidence)	5p13	94	106	0.003335	0.68
201482_at	quiescin Q6	QSCN6	QSCN6	NM_002826.2	GO:8151 cell growth and maintenance(predicted/computed) GO:8285 negative control of cell proliferation(predicted/computed) GO:74 cell cycle control(predicted/computed)	1q24	100	107	0.004758	1.56
206724_at	chromobox homolog 4 (Pc class homolog, Drosophila)	CBX4	CBX4	NM_003655.1	GO:7001 chromosome organization and biogenesis(predicted/computed) GO:6340 negative regulation of homeotic gene (Polycomb group)(predicted/computed)	17q25.3	93	108	0.005364	0.5
209764_at	mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase	MGAT3	NA	AL022312	GO:6486 protein glycosylation(not recorded)	22q13.1	92	109	0.003035	0.43
216651_s_at	glutamate decarboxylase 2 (pancreatic islets and brain, 65kDa)	NA	GAD2	X69936.1			99	110	1.32E-04	4.83
204585_s_at	L1 cell adhesion molecule (hydrocephalus, stenosis of aqueduct of Sylvius 1, MASA (mental retardation, aphasia, shuffling gait and adducted thumbs) syndrome, spastic paraplegia 1)	L1CAM	L1CAM	NM_000425.2	GO:7155 cell adhesion(not recorded) GO:7399 neurogenesis(predicted/computed)	xq28	92	111	0.005213	0.51
205976_at	KIAA0971 protein	NA	KIAA0971	NM_014929.1		2q34	89	112	0.004557	2.94
220822_at	EST	NA	FLJ10034	NM_017973.1			90	113	0.001987	2.99
213854_at	synaptogyrin 1	SYNGR1	NA	AJ002303.1		22q13.1	90	114	0.005511	0.58
221571_at	TNF receptor-associated factor 3	NA	NA	AI721219			95	115	0.001515	0.6
206337_at	chemokine (C-C motif) receptor 7	CCR7	CCR7	NM_001838.1	GO:6935 chemotaxis(predicted/computed) GO:6960 antimicrobial humoral response(predicted/computed) GO:9406 virulence(predicted/computed) GO:6954 inflammatory response(predicted/computed) GO:7204 cytostolic calcium ion concentration elevation(experimental evidence)	17q12-q21.2	97	116	0.001649	0.4
204526_s_at	vascular Rab-GAP/TBC-containing	NA	VRP	NM_007063.1	GO:8284 positive control of cell proliferation(predicted/computed) GO:8015 circulation(predicted/computed)	2q11.1-q11.2	88	117	0.004863	1.67
37577_at	hypothetical protein MGC14258	NA	NA	U79256			91	118	0.003129	0.64
212750_at	protein phosphatase 1, regulatory (inhibitor) subunit 16B	PPP1R16B	KIAA0823	AB020630.1		20q11.23-q12	89	119	0.005079	0.5
204057_at	interferon consensus sequence binding protein 1	ICSBP1	NA	AI073984	GO:6955 immune response(predicted/computed) GO:122 repression of transcription from Pol II promoter(experimental evidence)	16q24.2	89	120	3.12E-04	0.36
203453_at	sodium channel, nonvoltage-gated 1 alpha	SCNN1A	SCNN1A	NM_001038.1	GO:6814 sodium transport(experimental evidence) GO:7588 excretion(experimental evidence)	12p13	86	121	4.51E-04	3.64
216934_at	Consensus includes gb:X81637.1 /DEF=H.sapiens clathrin light chain b gene. /FEA=mRNA /DB_XREF=gi:963046 /UG=Hs.73919 clathrin, light polypeptide (Lcb)			X81637.1			102	122	0.002017	0.5
216550_x_at	Consensus includes gb:X80821.1 /DEF=H.sapiens mRNA for ribosomal protein L18a homologue. /FEA=mRNA /PROD=ribosomal protein L18a homologue /DB_XREF=gi:527579 /UG=Hs.302177 H.sapiens mRNA for ribos ...			X80821.1			90	123	8.24E-04	0.54
215526_at	Homo sapiens mRNA; cDNA DKFZp586C2020 (from clone DKFZp586C2020)	NA	NA	AL050145.1			94	124	0.003078	0.57
222321_at	ESTs [BLAST]	NA	NA	AI911273			93	125	1.07E-04	2.45
212594_at	programmed cell death 4 (neoplastic transformation inhibitor)	NA	NA	N92498			96	126	0.002962	0.58
219667_s_at	hypothetical protein FLJ20706	NA	FLJ20706	NM_017935.1		4q23	98	127	4.28E-04	0.34
204556_s_at	zinc-finger protein DZIP1	NA	NA	AL568422		13q32.1	83	128	0.001001	0.49
210117_at	sperm associated antigen 1	SPAG1	NA	AF311312.1	GO:7338 fertilization(predicted/computed)	8q22	102	129	0.0031	5.33
204336_s_at	regulator of G-protein signalling 19	RGS19	RGS19	NM_005873.1	GO:7186 G-protein linked receptor protein signalling pathway(experimental evidence) GO:7264 small GTPase mediated signal transduction(experimental evidence)		86	130	0.002526	0.64
204054_at	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	PTEN	PTEN	NM_000314.1	GO:8283 cell proliferation(predicted/computed) GO:6470 protein dephosphorylation(experimental evidence) GO:74 cell cycle control(not recorded) GO:79 regulation of CDK activity(experimental evidence) GO:7275 developmental processes(predicted/computed)	10q23.3	97	131	0.005354	0.45
205619_s_at	mesenchyme homeo box 1	MEOX1	MEOX1	NM_004527.1	GO:7275 developmental processes(predicted/computed)	17q21	89	132	0.001695	0.37
207824_s_at	MYC-associated zinc finger protein (purine-binding transcription factor)	MAZ	MAZ	NM_002383.1	GO:6369 transcription termination from Pol II promoter(predicted/computed) GO:6367 transcription initiation from Pol II promoter(predicted/computed)	16p11.2	91	133	0.002643	0.54
219472_at	hypothetical protein MGC11266	NA	MGC11266	NM_024322.1		2p24.1	89	134	0.003011	0.68
209429_x_at	eukaryotic translation initiation factor 2B, subunit 4 delta, 67kDa	NA	NA	AF112207.1		2p23.3	83	135	0.001316	1.6
212288_at	formin binding protein 1	NA	KIAA0554	AB011126.1		9q34	96	136	9.69E-04	0.57
205544_s_at	complement component (3d/Epstein Barr virus) receptor 2	CR2	CR2	NM_001877.1		1q32	89	137	0.004895	0.42
201152_s_at	muscleblind-like (Drosophila)	MBNL	NA	NM_021038.1		3q25	87	138	6.83E-04	0.53
202202_s_at	laminin, alpha 4	LAMA4	LAMA4	NM_002290.2		6q21	96	139	0.004782	0.69
212308_at	cytoplasmic linker associated protein 2	NA	DKFZp434F075	AB014527.1			94	140	0.00295	0.54
208056_s_at	core-binding factor, runt domain, alpha subunit 2; translocated to, 3	CBFA2T3	CBFA2T3	NM_005187.2	GO:8283 cell proliferation(experimental evidence)	16q24	95	141	0.002745	0.57
205554_s_at	deoxyribonuclease I-like 3	DNASE1L3	DNASE1L3	NM_004944.1	GO:6259 DNA metabolism(predicted/computed)	3p21.1-3p14.3	79	142	0.002513	0.57
214493_s_at	PDZ domain protein (Drosophila inaD-like)	NA	INADL	NM_005799.1		1p31.2	83	143	0.002652	4.2
218353_at	MSTP032 protein	NA	MSTP032	NM_025226.1		1q23.1	97	144	7.26E-04	0.38
203595_s_at	retinoic acid- and interferon-inducible protein (58kD)	NA	NA	N47725		10q23.31	97	145	0.00535	2.23
215419_at	KIAA1086 protein	NA	KIAA1086	AB029009.1		19p13.3	84	146	0.001998	2.8
210715_s_at	serine protease inhibitor, Kunitz type, 2	SPINT2	kop	AF027205.1	GO:6928 cell motility(predicted/computed)	19q13.1	86	147	2.05E-05	1.87
201552_at	lysosomal-associated membrane protein 1	LAMP1	LAMP1	NM_005561.2		13q34	86	148	0.004553	1.97
209827_s_at	interleukin 16 (lymphocyte chemoattractant factor)	IL16	IL16	NM_004513.1	GO:6935 chemotaxis(not recorded) GO:6955 immune response(predicted/computed)	15q26.3	96	149	0.005368	0.62
218294_s_at	DKFZP564A043 protein	NUP50	NA	AF267865.1		22q13.31	84	150	0.001766	0.62
200648_s_at	glutamate-ammonia ligase (glutamine synthase)	GLUL	GLUL	NM_002065.1	GO:6542 glutamine biosynthesis(not recorded) GO:1505 neurotransmitter maintenance(not recorded)	1q31	86	151	1.27E-04	3.57
200705_s_at	eukaryotic translation elongation factor 1 beta 2	NA	EEF1B2	NM_001959.1			81	152	0.004908	0.64
212413_at	septin 6	NA	KIAA0128	D50918.1		xq24	87	153	0.004607	0.47
204642_at	endothelial differentiation, sphingolipid G-protein-coupled receptor, 1	EDG1	EDG1	NM_001400.2	GO:7186 G-protein linked receptor protein signalling pathway(experimental evidence) GO:7155 cell adhesion(experimental evidence)	1p21	97	154	0.005369	0.53
206368_at	complexin 2	CPLX2	CPLX2	NM_006650.1	GO:6944 membrane fusion(not recorded) GO:6904 non-selective vesicle docking(not recorded)	5q35.3	83	155	6.13E-04	0.38
203868_s_at	vascular cell adhesion molecule 1	VCAM1	VCAM1	NM_001078.1		1p32-p31	93	156	0.004324	0.51
209765_at	a disintegrin and metalloproteinase domain 19 (meltrin beta)	ADAM19	NA	Y13786.2		5q32-q33	89	157	0.001364	0.6
200953_s_at	cyclin D2	NA	CCND2	NM_001759.1			87	158	0.004778	0.57
211697_x_at	putatative 28 kDa protein	NA	NA	AF349314.1			96	159	0.004331	0.54
203865_s_at	adenosine deaminase, RNA-specific, B1 (RED1 homolog rat)	ADARB1	ADARB1	NM_015833.1	GO:7417 central nervous system development(predicted/computed) GO:6396 RNA processing(predicted/computed)	21q22.3	89	160	0.002941	0.56
211527_x_at	vascular endothelial growth factor	VEGF	NA	M27281.1	GO:8284 positive control of cell proliferation(experimental evidence) GO:6950 stress response(experimental evidence) GO:7156 homophilic cell adhesion(not recorded) GO:7165 signal transduction(predicted/computed)	6p12	96	161	0.001456	4.85
212827_at	immunoglobulin heavy constant mu	IGHM	NA	X17115.1		14q32.33	93	162	0.005495	0.42
216786_at	ESTs	NA	NA	AK026667.1			96	163	0.002241	0.45
207957_s_at	protein kinase C, beta 1	PRKCB1	PRKCB1	NM_002738.1	GO:7165 signal transduction(not recorded) GO:6468 protein phosphorylation(predicted/computed)	16p11.2	94	164	0.001654	0.4
205474_at	cytokine receptor-like factor 3	CRLF3	CREME9	NM_015986.1		17q11.2	95	165	0.005349	0.69
211016_x_at	heat shock 70kDa protein 4	NA	NA	BC002526.1			93	166	0.001184	0.61
214980_at	ubiquitin protein ligase E3A (human papilloma virus E6-associated protein, Angelman syndrome)	NA	NA	AF037219.1			101	167	0.00238	0.47
213861_s_at	hepatocellularcarcinoma-associated antigen HCA557a	NA	NA	N67741		12q13.2	90	168	0.001122	1.5
209995_s_at	T-cell leukemia/lymphoma 1A	TCL1A	NA	BC003574.1	GO:7275 developmental processes(predicted/computed)	14q32.1	100	169	0.003802	0.47
217418_x_at	membrane-spanning 4-domains, subfamily A, member 1	MS4A1	NA	X12530.1	GO:8283 cell proliferation(predicted/computed) GO:7186 G-protein linked receptor protein signalling pathway(predicted/computed) GO:6959 humoral defense mechanism(predicted/computed)	11q12-q13.1	90	170	7.67E-04	0.27
206697_s_at	haptoglobin	HP	HP	NM_005143.1	GO:6952 defense response(experimental evidence)	16q22.1	95	171	0.0014	2.71
35974_at	lymphoid-restricted membrane protein	LRMP	NA	U10485	GO:6903 non-selective vesicle targeting(predicted/computed) GO:6906 non-selective vesicle fusion(predicted/computed) GO:7516 hemocyte development(predicted/computed)	12p11.23	90	172	0.003796	0.34
220407_s_at	transforming growth factor, beta 2	TGFB2	TGFB2	NM_003238.1	GO:8283 cell proliferation(predicted/computed) GO:7165 signal transduction(predicted/computed) GO:7267 cell-cell signalling(experimental evidence)	1q41	93	173	4.34E-04	0.59
205654_at	complement component 4 binding protein, alpha	C4BPA	C4BPA	NM_000715.1		1q32	95	174	4.78E-05	3.18
200660_at	S100 calcium binding protein A11 (calgizzarin)	S100A11	S100A11	NM_005620.1	GO:8285 negative control of cell proliferation(predicted/computed) GO:7048 oncogenesis(predicted/computed) GO:8156 DNA replication inhibition(experimental evidence)	1q21	88	175	0.003025	1.9
218656_s_at	lipoma HMGIC fusion partner	LHFP	LHFP	NM_005780.1		13q12	88	176	0.002976	0.44
211821_x_at	glycophorin A (includes MN blood group)	NA	GPErik	U00178.1			94	177	0.003738	0.58
210827_s_at	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	NA	ESE-1	U73844.1			83	178	0.003622	2.98
214953_s_at	amyloid beta (A4) precursor protein (protease nexin-II, Alzheimer disease)	APP	NA	X06989.1	GO:8219 cell death(experimental evidence) GO:7165 signal transduction(predicted/computed) GO:6878 copper homeostasis(predicted/computed) GO:6915 apoptosis(experimental evidence)	21q21.3	90	179	0.003453	2
216397_s_at	block of proliferation 1	NA	NA	AK024840.1			90	180	0.005504	0.69
201163_s_at	insulin-like growth factor binding protein 7	IGFBP7	IGFBP7	NM_001553.1	GO:8285 negative control of cell proliferation(predicted/computed)	4q12	82	181	0.001869	0.44
