Over-expression (Z score)	Probe set	Description	Common	GeneBank
3.57	226650_at	hypothetical protein LOC90637	LOC90637	AI984061
3.566	222044_at	chromosome 20 open reading frame 67	C20orf67	AI199589
3.544	228812_at	Transcribed sequence with weak similarity to protein ref:NP_060265.1 (H.sapiens) hypothetical protein FLJ20378 [Homo sapiens]		AI652899
3.541	211999_at	H.sapiens hH3.3B gene for histone H3.3.	H3F3B	Z48950
3.519	226970_at	F-box only protein 33	FBXO33	AI690694
3.517	214683_s_at	CDC-like kinase 1	CLK1	AI251890
3.506	205281_s_at	phosphatidylinositol glycan, class A (paroxysmal nocturnal hemoglobinuria)	PIGA	NM_002641
3.488	1569136_at	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isoenzyme A	MGAT4A	BC031487
3.481	210054_at	hypothetical protein MGC4701	C4orf15	BC003648
3.47	1554036_at	zinc finger protein 450	ZBTB24	BC036731
3.466	205027_s_at	mitogen-activated protein kinase kinase kinase 8	MAP3K8	NM_005204
3.465	218319_at	pellino homolog 1 (Drosophila)	PELI1	NM_020651
3.441	1554089_s_at	Shwachman-Bodian-Diamond syndrome pseudogene	SBDS	BC010183
3.377	223394_at	SERTA domain containing 1	SERTAD1	BC002670
3.325	238893_at	Hypothetical protein LOC338758, mRNA (cDNA clone IMAGE:5299152), partial cds	LOC338758	AI377324
3.297	204243_at	rearranged L-myc fusion sequence	RLF	NM_012421
3.268	238389_s_at	Transcribed sequences		AI458208
3.239	210426_x_at	RAR-related orphan receptor A	RORA	U04897
3.183	231863_at	inhibitor of growth family, member 3	ING3	AF161419
3.181	209184_s_at	602127569F1 NIH_MGC_56 Homo sapiens cDNA clone IMAGE:4284401 5, mRNA sequence.	IRS2	BF700086
3.177	216027_at	hypothetical protein DJ971N18.2	DJ971N18.2	AI005473
3.138	218603_at	headcase homolog (Drosophila)	HECA	NM_016217
3.134	223287_s_at	forkhead box P1	FOXP1	AF146696
3.124	208810_at	DnaJ (Hsp40) homolog, subfamily B, member 6	DNAJB6	AF080569
3.08	202393_s_at	TGFB inducible early growth response	TIEG	NM_005655
3.071	224836_at		C20orf110	AL109824
3.064	212493_s_at	huntingtin interacting protein B	HYPB	AI761110
3.06	212293_at	homeodomain interacting protein kinase 1	HIPK1	BG111260
2.921	227650_at	likely ortholog of mouse heat shock protein, 70 kDa 4	HSPA14	AV757332
2.882	212508_at	modulator of apoptosis 1	MOAP1	AK024029
2.87	210281_s_at	zinc finger protein 198	ZNF198	AL136621
2.867	206374_at	dual specificity phosphatase 8	DUSP8	NM_004420
2.796	1552542_s_at	T-cell activation GTPase activating protein	TAGAP	NM_138810
2.794	202302_s_at	similar to splicing factor, arginine/serine-rich 4	FLJ11021	NM_023012
2.671	200694_s_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 24	DDX24	NM_020414
2.665	229106_at	dynein light chain 2	Dlc2	AA401429
2.632	218205_s_at	MAP kinase-interacting serine/threonine kinase 2	MKNK2	NM_017572
