Gene	Clone	UG cluster	Fold-diff L/AT	t-value
methylene tetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase	2455118	Hs.154672	2.05	6.244
Human protein tyrosine kinase t-Ror1 (Ror1) mRNA, complete cds	1538189	Hs.400925	2.04	7.639
O-linked mannose beta1,2-N-acetylglucosaminyltransferase	2006061	Hs.183860	2.04	5.277
sprouty homolog 2 (Drosophila)	1987161	Hs.18676	2.04	5.736
aldolase C, fructose-bisphosphate	1211682	Hs.155247	2.03	5.013
hypothetical protein FLJ20152	1938951	Hs.82273	2.03	5.777
integrin, alpha 5 (fibronectin receptor, alpha polypeptide)	1720114	Hs.149609	2.02	4.941
N-acetylneuraminic acid phosphate synthase; sialic acid synthase	2059153	Hs.274424	2.02	6.102
ESTs	2573505	Hs.49265	2.02	5.613
hypothetical protein DKFZp434B044	211389	Hs.262958	2.01	5.762
polymerase (RNA) II (DNA directed) polypeptide B, 140kDa	690313	Hs.119206	2	6.853
ephrin-A3	4178495	Hs.37054	2	5.008
H factor (complement)-like 1	1729543	Hs.250651	1.99	4.823
collagen, type VI, alpha 2	1554806	Hs.159263	1.98	7.271
nephronophthisis 1 (juvenile)	4256950	Hs.75474	1.98	5.621
transcription factor 21	1851913	Hs.78061	1.97	4.975
serine (or cysteine) proteinase inhibitor, clade G (C1 inhibitor), member 1, (angioedema, hereditary)	3124244	Hs.151242	1.96	6.609
EphB2	1903767	Hs.125124	1.94	4.975
ADP-ribosylation factor 4	65463	Hs.75290	1.94	6.465
peptidylglycine alpha-amidating monooxygenase	1682642	Hs.83920	1.94	11.656
parathymosin	3935034	Hs.171814	1.93	8.122
lectin, galactoside-binding, soluble, 1 (galectin 1)	2495131	Hs.227751	1.91	6.698
tenascin C (hexabrachion)	1453450	Hs.289114	1.89	6.462
fibulin 5	2060177	Hs.11494	1.89	5.864
fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)	1396249	Hs.748	1.89	7.007
melanoma antigen, family D, 2	2418918	Hs.4943	1.88	9.65
tropomyosin 2 (beta)	3176845	Hs.300772	1.88	5.095
interleukin 1 receptor, type II	1628039	Hs.25333	1.88	5.096
sucrase-isomaltase	2922143	Hs.2996	1.88	6.205
KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3	1856520	Hs.250696	1.88	7.365
calumenin	1985671	Hs.7753	1.87	10.188
hypothetical protein FLJ20623	2917432	Hs.27337	1.87	9.181
chromosome 1 open reading frame 34	1366978	Hs.125783	1.87	6.956
Homo sapiens cDNA FLJ39657 fis, clone SMINT2006078	1376909	Hs.14587	1.87	4.575
phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase	40759	Hs.117950	1.87	5.796
lymphocyte adaptor protein	1959371	Hs.389485	1.87	6.306
KIAA0830 protein	1740366	Hs.167115	1.87	6.126
retinol binding protein 4, plasma	2515729	Hs.76461	1.87	7.737
v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	1998155	Hs.85146	1.86	6.406
cyclin D1 (PRAD1: parathyroid adenomatosis 1)	2057653	Hs.82932	1.86	7.152
SPARC-like 1 (mast9, hevin)	463219	Hs.75445	1.85	6.82
immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides	1001933	Hs.76325	1.84	7.957
neogenin homolog 1 (chicken)	1732346	Hs.90408	1.84	11.194
for protein disulfide isomerase-related	2481012	Hs.76901	1.84	9.594
integral type I protein	1981218	Hs.179516	1.84	8.624
catenin (cadherin-associated protein), alpha-like 1	2379808	Hs.58488	1.84	7.145
SRY (sex determining region Y)-box 9 (campomelic dysplasia, autosomal sex-reversal)	2008351	Hs.2316	1.83	5.301
laminin, beta 1	1003884	Hs.82124	1.81	10.023
NS1-binding protein	630045	Hs.197298	1.81	6.368
caveolin 1, caveolae protein, 22kDa	4271973	Hs.74034	1.81	7.656
fibrillin 1 (Marfan syndrome)	1448051	Hs.750	1.8	5.413
tryptase beta 2	1821938	Hs.294158	1.79	7.093
leiomodin 1 (smooth muscle)	1337615	Hs.79386	1.78	5.152
non-metastatic cells 1, protein (NM23A) expressed in	2152363	Hs.118638	1.78	5.212
phosphatidic acid phosphatase type 2B	1445895	Hs.395853	1.78	5.958
ectodermal-neural cortex (with BTB-like domain)	1731061	Hs.104925	1.76	5.498
legumain	1985367	Hs.18069	1.74	5.47
EphB3	1227385	Hs.2913	1.74	5.673
thrombomodulin	2394637	Hs.2030	1.74	6.832
interferon, gamma-inducible protein 16	2508261	Hs.155530	1.74	4.939
catenin (cadherin-associated protein), alpha-like 1	1845256	Hs.58488	1.74	4.694
Homo sapiens cDNA FLJ34353 fis, clone FEBRA2011665	1846711	Hs.13477	1.73	6.695
IMP (inosine monophosphate) dehydrogenase 2	2056855	Hs.75432	1.73	5.459
CUG triplet repeat, RNA binding protein 2	2056288	Hs.211610	1.73	4.859
EST, Highly similar to NUCL_HUMAN Nucleolin (Protein C23) [H.sapiens]	1930884	Hs.397071	1.72	6.443
isocitrate dehydrogenase 2 (NADP+), mitochondrial	1813409	Hs.5337	1.72	5.274
matrix metalloproteinase 15 (membrane-inserted)	1664796	Hs.80343	1.71	6.059
protease, serine, 11 (IGF binding)	1958902	Hs.394057	1.71	7.123
period homolog 2 (Drosophila)	1282617	Hs.153405	1.71	5.292
homogentisate 1,2-dioxygenase (homogentisate oxidase)	911015	Hs.15113	1.7	5.471
mal, T-cell differentiation protein	504786	Hs.80395	1.7	4.646
protein tyrosine phosphatase, non-receptor type substrate 1	608148	Hs.156114	1.7	4.44
RNA-binding protein gene with multiple splicing	2190284	Hs.80248	1.7	5.539
hypothetical protein MGC12538	639847	Hs.246759	1.69	6.726
phosphoprotein enriched in astrocytes 15	3215205	Hs.194673	1.69	6.709
spermidine synthase	130254	Hs.76244	1.69	7.847
solute carrier family 27 (fatty acid transporter), member 3	1004734	Hs.109274	1.68	6.378
hypothetical protein BC009925	1356926	Hs.9634	1.67	7.441
ESTs	1753040	Hs.394859	1.67	8.127
interferon-related developmental regulator 2	1803926	Hs.315177	1.67	6.507
nucleobindin 2	1760517	Hs.3164	1.67	7.777
interferon induced transmembrane protein 3 (1-8U)	2949427	Hs.381234	1.66	4.958
FK506 binding protein 11, 19 kDa	2957205	Hs.24048	1.66	5.125
chromosome 9 open reading frame 19	1467308	Hs.302766	1.66	6.434
immunoglobulin heavy constant mu	2860815	Hs.300697	1.66	5.535
topoisomerase (DNA) II beta 180kDa	1872327	Hs.75248	1.66	9.404
UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2	1818251	Hs.206713	1.65	5.931
asparaginase-like 1 protein	2009846	Hs.7331	1.65	5.525
sorbitol dehydrogenase	1685528	Hs.878	1.65	9.361
cysteine-rich protein 2	2672064	Hs.70327	1.65	6.864
RAB13, member RAS oncogene family	1810945	Hs.151536	1.64	11.867
cartilage associated protein	1919944	Hs.155481	1.64	7.093
trans-activated by hepatitis C virus core protein 1	2744043	Hs.118087	1.64	5.127
heterogeneous nuclear ribonucleoprotein D-like	1906936	Hs.170311	1.64	5.448
methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase	1297179	Hs.172665	1.63	4.937
insulin-like growth factor binding protein 6	1968126	Hs.274313	1.63	4.783
phosphoribosyl pyrophosphate synthetase 2	2054641	Hs.2910	1.63	4.828
syntaphilin	1268175	Hs.82503	1.62	5.525
insulin-like growth factor binding protein 4	1999167	Hs.1516	1.62	6.343
dihydropyrimidinase-like 3	1403636	Hs.74566	1.61	5.543
CCAAT/enhancer binding protein (C/EBP), beta	2275583	Hs.99029	1.6	4.961
transmembrane 4 superfamily member 6	1701627	Hs.121068	1.6	4.555
ubiquitin specific protease 11	1805270	Hs.171501	1.6	8.196
ESTs	349535	Hs.404435	1.6	7.487
latent transforming growth factor beta binding protein 1	1313183	Hs.241257	1.59	9.298
chloride intracellular channel 4	197207	Hs.25035	1.59	6.774
cold inducible RNA binding protein	180164	Hs.119475	1.58	7.116
transcription factor 4	2654926	Hs.326198	1.58	4.99
Incyte EST	2961248		1.58	5.88
phosphofructokinase, muscle	1368173	Hs.75160	1.58	5.857
mitogen-activated protein kinase 7	1733751	Hs.3080	1.58	5.529
APEX nuclease (multifunctional DNA repair enzyme) 1	3747901	Hs.73722	1.58	4.876
complement component 1, q subcomponent, receptor 1	1998804	Hs.97199	1.58	9.156
low density lipoprotein-related protein-associated protein 1 (alpha-2-macroglobulin receptor-associated protein 1)	2745623	Hs.75140	1.58	6.397
sorbitol dehydrogenase	1856587	Hs.878	1.57	6.987
tumor differentially expressed 1	1555948	Hs.272168	1.57	4.896
eukaryotic translation elongation factor 1 alpha 1	2763794	Hs.181165	1.57	9.496
signal recognition particle receptor (docking protein)	1860117	Hs.75730	1.56	11.086
EST	2061405	Hs.374342	1.56	4.488
PTK7 protein tyrosine kinase 7	996229	Hs.90572	1.56	4.845
Homo sapiens clone 24703 beta-tubulin mRNA, complete cds	2204204	Hs.179661	1.56	5.405
KIAA1295 protein	1208611	Hs.26204	1.55	5.77
acidic (leucine-rich) nuclear phosphoprotein 32 family, member B	758008	Hs.84264	1.55	5.001
Homo sapiens mRNA for short form of beta II spectrin, partial	2286612	Hs.348723	1.54	5.237
solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	2852561	Hs.79748	1.54	6.041
MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)	986752	Hs.77152	1.54	4.586
activated leukocyte cell adhesion molecule	1793853	Hs.394584	1.54	10.013
signal sequence receptor, beta (translocon-associated protein beta)	2378569	Hs.74564	1.53	6.078
fibrinogen-like 2	1980117	Hs.351808	1.53	6.496
matrix Gla protein	2527665	Hs.365706	1.53	5.889
KIAA0601 protein	1677133	Hs.174174	1.52	5.884
dishevelled associated activator of morphogenesis 2	1653064	Hs.387175	1.52	5.725
NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae)	1960940	Hs.182255	1.52	5.329
acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	1994721	Hs.285013	1.51	4.988
synaptogyrin 2	983008	Hs.5097	1.51	7.007
early growth response 2 (Krox-20 homolog, Drosophila)	3603037	Hs.1395	1.51	6.152
CDK2-associated protein 1	902381	Hs.3436	1.51	4.996
Rho guanine nucleotide exchange factor (GEF) 10	641460	Hs.20695	1.5	7.473
activated RNA polymerase II transcription cofactor 4	1383545	Hs.349506	1.5	7.916
mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	2446132	Hs.151513	1.5	5.565
interleukin enhancer binding factor 2, 45kDa	349271	Hs.75117	1.5	5.98
EphA4	2948872	Hs.73964	1.5	4.74
mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)	1688362	Hs.57301	1.5	5.87
5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	2056149	Hs.90280	1.5	4.614
ESTs	2689691	Hs.90250	1.5	5.349
likely ortholog of mouse deleted in polyposis 1	1940201	Hs.178112	1.49	4.825
mannosidase, beta A, lysosomal	1805840	Hs.115945	1.49	6.685
reticulocalbin 2, EF-hand calcium binding domain	1251819	Hs.79088	1.49	4.882
interleukin enhancer binding factor 2, 45kDa	2472092	Hs.75117	1.49	4.65
PC4 and SFRS1 interacting protein 2	42920	Hs.82110	1.49	5.566
Homo sapiens mRNA for FLJ00116 protein, partial cds	2395831	Hs.72363	1.48	6.737
KIAA1538 protein	1381261	Hs.35096	1.48	4.486
eukaryotic translation initiation factor 3, subunit 7 zeta, 66/67kDa	2457671	Hs.55682	1.48	5.811
SKB1 homolog (S. pombe)	1704517	Hs.12912	1.48	4.989
3-phosphoadenosine 5-phosphosulfate synthase 1	1841989	Hs.3833	1.48	8.264
cathepsin K (pycnodysostosis)	1653741	Hs.83942	1.48	4.737
hypothetical protein HSPC132	1875994	Hs.69499	1.48	6.422
prostate cancer overexpressed gene 1	3543015	Hs.18910	1.47	4.761
glycosyltransferase AD-017	1924806	Hs.283737	1.47	6.359
degenerative spermatocyte homolog, lipid desaturase (Drosophila)	2828192	Hs.185973	1.47	6.61
RAN binding protein 7	2276037	Hs.330447	1.47	4.323
ret finger protein	2708651	Hs.396093	1.47	8.858
Homo sapiens polyadenylate binding protein mRNA, complete cds	1901035	Hs.401104	1.47	7.014
nucleolar and coiled-body phosphoprotein 1	1431819	Hs.75337	1.47	6.236
coproporphyrinogen oxidase (coproporphyria, harderoporphyria)	189321	Hs.89866	1.47	4.661
ATPase, Class VI, type 11B	453841	Hs.75478	1.47	6.081
hypothetical protein MGC11271	2925091	Hs.143288	1.47	4.477
KIAA0376 protein	1624192	Hs.391622	1.46	8.406
putative dimethyladenosine transferase	1724355	Hs.125819	1.46	6.559
sterile alpha motif and leucine zipper containing kinase AZK	1965257	Hs.115175	1.46	4.565
interferon regulatory factor 5	1966414	Hs.334450	1.46	5.891
galactosylceramidase (Krabbe disease)	1430428	Hs.273	1.46	4.99
acid phosphatase 5, tartrate resistant	1968372	Hs.1211	1.46	5.22
protein phosphatase 2, regulatory subunit B (B56), epsilon isoform	1962123	Hs.173328	1.46	5.557
nucleolar protein 5A (56kDa with KKE/D repeat)	1524885	Hs.296585	1.46	5.883
ubiquitin-conjugating enzyme E2C	1308478	Hs.93002	1.46	5.812
solute carrier family 35 (CMP-sialic acid transporter), member 1	1440433	Hs.82921	1.45	4.682
nuclear receptor coactivator 1	939126	Hs.74002	1.45	6.902
mutS homolog 6 (E. coli)	1926006	Hs.3248	1.45	6.357
signal recognition particle 72kDa	2346701	Hs.237825	1.45	5.569
SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	1509715		1.45	5.53
Sjogren syndrome antigen A2 (60kDa, ribonucleoprotein autoantigen SS-A/Ro)	2082026	Hs.554	1.45	7.226
MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)	1610083	Hs.179565	1.45	4.348
ribosomal protein L23	4175323	Hs.234518	1.45	5.269
KIAA1228 protein	2667106	Hs.306867	1.45	6.33
stathmin 1/oncoprotein 18	4059205	Hs.250811	1.45	5.08
nuclear factor I/X (CCAAT-binding transcription factor)	5275693	Hs.35841	1.45	7.633
Homo sapiens, Similar to RIKEN cDNA 1810037I17 gene, clone MGC:24558 IMAGE:4108498, mRNA, complete cds	2868216	Hs.392847	1.45	7.275
arginine-rich, mutated in early stage tumors	1618455	Hs.75412	1.45	6.626
membrane-bound transcription factor protease, site 1	1816514	Hs.75890	1.44	8.419
polymerase (RNA) II (DNA directed) polypeptide G	2915535		1.44	4.334
polymerase (DNA directed), alpha	1719446	Hs.267289	1.44	5.899
FK506 binding protein 1A, 12kDa	4059193	Hs.380080	1.44	5.027
CD14 antigen	1988710	Hs.75627	1.44	5.845
patched homolog (Drosophila)	2079317	Hs.159526	1.44	4.929
ribosomal protein L17	747335	Hs.82202	1.44	4.676
Niemann-Pick disease, type C2	3979063	Hs.119529	1.44	7.825
hyaluronoglucosaminidase 2	1240748	Hs.76873	1.44	4.318
splicing factor 3b, subunit 3, 130kDa	1600586	Hs.195614	1.44	5.061
small nuclear ribonucleoprotein polypeptide N	387863	Hs.48375	1.43	5.248
similar to RIKEN cDNA 1110002C08 gene	2612729	Hs.128759	1.43	4.38
bladder cancer associated protein	2204881	Hs.5300	1.43	5.191
uridine monophosphate synthetase (orotate phosphoribosyl transferase and orotidine-5-decarboxylase)	1816355	Hs.2057	1.43	6.221
3-oxoacid CoA transferase	1685342	Hs.177584	1.43	4.746
ribonuclease 6 precursor	212912	Hs.8297	1.43	4.556
ESTs	2255215	Hs.96996	1.43	6.06
ras-like protein TC10	1698889	Hs.250697	1.43	4.742
translocase of outer mitochondrial membrane 20 (yeast) homolog	664060	Hs.75187	1.43	4.808
endothelin converting enzyme 2	1295106	Hs.129801	1.43	5.858
necdin homolog (mouse)	1729724	Hs.50130	1.43	7.555
ribosomal protein S16	2132212	Hs.80617	1.43	5.21
KIAA0790 protein	1722691	Hs.12002	1.43	7.983
cyclin G1	1684890	Hs.79101	1.42	5.481
translocated promoter region (to activated MET oncogene)	1998427	Hs.169750	1.42	5.309
seven transmembrane domain protein	1755562	Hs.9234	1.42	4.533
echinoderm microtubule associated protein like 1	1482116	Hs.12451	1.42	5.061
EST, Weakly similar to S63665 titin protein - human (fragment) [H.sapiens]	542463	Hs.401092	1.42	4.872
ESTs, Weakly similar to A43932 mucin 2 precursor, intestinal - human (fragments) [H.sapiens]	2874010	Hs.389698	1.42	5.041
kinesin family member 5B	1709457	Hs.149436	1.42	5.003
myelodysplasia syndrome 1	3729391	Hs.257907	1.42	4.924
DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 18 (Myc-regulated)	3663385	Hs.100555	1.41	5.221
C2f protein	5096975	Hs.300423	1.41	4.476
mitochondrial ribosomal protein L3	188431	Hs.79086	1.41	4.451
75 kda infertility-related sperm protein [human, testis, mRNA Partial, 2427 nt]	2962332		1.41	5.933
C2f protein	1995470	Hs.300423	1.41	5.028
tankyrase 1 binding protein 1, 182kDa	1965978	Hs.9645	1.41	5.087
microtubule-associated protein, RP/EB family, member 2	2355543	Hs.78335	1.41	4.706
activin A receptor, type I	433573	Hs.150402	1.41	6.509
opiate receptor-like 1	1704169	Hs.2859	1.4	5.096
SEC63 protein	1857856	Hs.31575	1.4	5.543
neural stem cell derived neuronal survival protein	1997250	Hs.84775	1.4	7.481
signal peptidase complex (18kD)	2082035	Hs.9534	1.4	4.507
EST	1560143	Hs.401150	1.4	4.803
Wilms tumour 1-associating protein	1966446	Hs.119	1.4	5.778
death-associated protein	4108633	Hs.75189	1.4	5.562
hexosaminidase A (alpha polypeptide)	1658320	Hs.119403	1.39	5.099
N-sulfoglucosamine sulfohydrolase (sulfamidase)	1874043	Hs.31074	1.39	8.671
UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 3	1435824	Hs.321231	1.39	14.12
hypothetical protein LQFBS-1	1752623	Hs.306193	1.39	7.916
procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase, Ehlers-Danlos syndrome type VI)	1759127	Hs.75093	1.39	5.566
Incyte EST	23662		1.39	4.518
ESTs, Weakly similar to hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	1641775	Hs.9879	1.39	4.365
ESTs, Moderately similar to hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	1880426	Hs.381139	1.39	7.529
KIAA0594 protein	1263376	Hs.103283	1.38	4.483
solute carrier family 23 (nucleobase transporters), member 1	1259230	Hs.82042	1.38	5.452
ESTs, Weakly similar to hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	3099581	Hs.98484	1.38	5.234
calponin 2	1443061	Hs.169718	1.38	8.361
catechol-O-methyltransferase	605019	Hs.240013	1.38	4.408
EST	2192092	Hs.14074	1.38	9.008
bystin-like	1519431	Hs.106880	1.38	5.487
nucleolar protein 1, 120kDa	460779	Hs.15243	1.37	7.714
gem (nuclear organelle) associated protein 4	1496005	Hs.302421	1.37	5.145
heterogeneous nuclear ribonucleoprotein C (C1/C2)	2458656	Hs.182447	1.37	5.341
ESTs, Weakly similar to E54024 protein kinase (EC 2.7.1.37) cdc2-related PITSLRE alpha 2-1 - human [H.sapiens]	1962095	Hs.296141	1.37	4.35
ribosomal protein L14	3721812	Hs.738	1.37	7.083
EST, Weakly similar to T00268 hypothetical protein KIAA0597 - human (fragment) [H.sapiens]	645397	Hs.124969	1.37	5.909
RYK receptor-like tyrosine kinase	1815050	Hs.79350	1.37	4.822
axin 2 (conductin, axil)	2359588	Hs.127337	1.37	4.82
replication factor C (activator 1) 4, 37kDa	1773638	Hs.35120	1.37	4.656
tissue specific transplantation antigen P35B	1822577	Hs.264428	1.37	6.398
Rho GTPase activating protein 8	2044444	Hs.102336	1.37	4.389
zinc finger protein 24 (KOX 17)	569710	Hs.183593	1.36	4.616
polymerase (DNA directed), epsilon 3 (p17 subunit)	961082	Hs.408860	1.36	6.05
zinc finger protein	2449636	Hs.102419	1.36	5.948
DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 18 (Myc-regulated)	1648956	Hs.100555	1.36	6.615
