Average Fold Decrease	Gene Symbol	Gene Title
-5.9	ID3	inhibitor of DNA binding 3
-5.9	LIN7A	lin-7 homolog A
-5.9	LMNB1	lamin B1
-5.9	RFC4	replication factor C  4
-5.9	TM4SF10	transmembrane 4 superfamily member 10
-5.9	ZNF395	zinc finger protein 395
-5.7	LUM	lumican
-5.7	POLQ	polymerase (DNA directed), theta
-5.7	SGCD	sarcoglycan, delta
-5.7	WHSC1	Wolf-Hirschhorn syndrome candidate 1
-5.5	CCNB2	cyclin B2
-5.5	ITPR3	inositol 1,4,5-triphosphate receptor, type 3
-5.5	MDK	midkine
-5.5	RECQL4	RecQ protein-like 4
-5.5	RFC3	replication factor C 3
-5.5	TAGLN	transgelin
-5.3	MATN2	matrilin 2
-5.3	SOCS2	suppressor of cytokine signaling 2
-5.3	ACTG2	actin, gamma 2, smooth muscle, enteric
-5.3	COL5A2	collagen, type V, alpha 2
-5.3	EPAS1	endothelial PAS domain protein 1
-5.3	TCF21	transcription factor 21
-5.3	TK1	thymidine kinase 1, soluble
-5.1	KIF2C	kinesin family member 2C
-5.1	POLA	polymerase (DNA directed), alpha
-5.1	RBL1	retinoblastoma-like 1 (p107)
-5.1	RECK	reversion-inducing-cysteine-rich protein with kazal motifs
-5.1	CHL1	cell adhesion molecule with homology to L1CAM
-5.1	TPX2	TPX2, microtubule-associated protein homolog
-4.9	CSRP2	cysteine and glycine-rich protein 2
-4.9	DCL-1	type I transmembrane C-type lectin receptor DCL-1
-4.9	MCM2	MCM2 minichromosome maintenance deficient 2, mitotin
-4.9	RPS6KA2	ribosomal protein S6 kinase
-4.9	USP1	ubiquitin specific protease 1
-4.8	CCNB1	cyclin B1
-4.8	E2F1	E2F transcription factor 1
-4.8	FSHPRH1	FSH primary response 1
-4.8	ID4	inhibitor of DNA binding 4, dominant negative helix-loop-helix protein
-4.8	SPC25	kinetochore protein Spc25
-4.6	CDH2	cadherin 2, type 1, N-cadherin
-4.6	CDK10	cyclin-dependent kinase (CDC2-like) 10
-4.6	CDKN1C	cyclin-dependent kinase inhibitor 1C (p57, Kip2)
-4.6	FZD7	frizzled homolog 7
-4.6	MYH10	myosin, heavy polypeptide 10
-4.6	TRIM34	tripartite motif-containing 34
-4.4	IGF1R	insulin-like growth factor 1 receptor
-4.4	BRCA2	breast cancer 2
-4.4	CALD1	caldesmon 1
-4.4	MCM4	MCM4 minichromosome maintenance deficient 4
-4.4	NASP	nuclear autoantigenic sperm protein
-4.4	PLCB4	phospholipase C, beta 4
-4.4	PTGS1	prostaglandin-endoperoxide synthase 1
-4.3	IDN3	IDN3 protein
-4.3	KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog
-4.3	NR4A2	nuclear receptor subfamily 4, group A, member 2
-4.3	PLCB4	phospholipase C, beta 4
-4.3	PSIP1	PC4 and SFRS1 interacting protein 1
-4.3	RASSF2	Ras association (RalGDS/AF-6) domain family 2
-4.3	ADARB1	adenosine deaminase, RNA-specific, B1
-4.3	CDKN2C	cyclin-dependent kinase inhibitor 2C (p18, INK4C)
-4.3	RRM1	ribonucleotide reductase M1 polypeptide
-4.1	ATP9A	ATPase, Class II, type 9A
-4.1	BRIP1	BRCA1 interacting protein C-terminal helicase 1
-4.1	EZH2	enhancer of zeste homolog 2
-4.1	FEN1	flap structure-specific endonuclease 1
-4.1	KNTC1	kinetochore associated 1
-4.1	MATN3	matrilin 3
-4.1	PAWR	PRKC, apoptosis, WT1, regulator
-4.1	PDGFD	platelet derived growth factor D
-4.1	SNAP25	synaptosomal-associated protein
-4.1	WFDC1	WAP four-disulfide core domain 1
-4.1	ZWINT	ZW10 interactor
-4.0	CSPG2	chondroitin sulfate proteoglycan 2
-4.0	EDIL3	EGF-like repeats and discoidin I-like domains 3
-4.0	EFS	embryonal Fyn-associated substrate
-4.0	MCM7	MCM7 minichromosome maintenance deficient 7
-4.0	NETO2	neuropilin (NRP) and tolloid (TLL)-like 2
-4.0	TCEA2	transcription elongation factor A (SII), 2
-4.0	TNFSF4	tumor necrosis factor (ligand) superfamily, member 4
-4.0	TRAF5	TNF receptor-associated factor 5
-3.9	CENPA	centromere protein A
-3.9	GPR124	G protein-coupled receptor 124
-3.9	KNSL7	kinesin-like 7
-3.9	PTGER2	prostaglandin E receptor 2
-3.9	RAD51	RAD51
-3.9	EPB41L2	erythrocyte membrane protein band 4.1-like 2
-3.9	GOLPH2	golgi phosphoprotein 2
-3.9	KIF14	kinesin family member 14
-3.9	LPPR4	plasticity related gene 1
-3.9	SPAG5	sperm associated antigen 5
-3.7	ATAD2	ATPase family, AAA domain containing 2
-3.7	C1S	complement component 1, s subcomponent
-3.7	DEPDC1	DEP domain containing 1
-3.7	DLEU2	deleted in lymphocytic leukemia, 2
-3.7	FANCG	Fanconi anemia, complementation group G
-3.7	FER1L3	fer-1-like 3, myoferlin
-3.7	HGF	hepatocyte growth factor
-3.7	HSD17B2	hydroxysteroid (17-beta) dehydrogenase 2
-3.7	MYBL2	v-myb myeloblastosis viral oncogene homolog (avian)-like 2
-3.7	NR2F1	nuclear receptor subfamily 2, group F, member 1
-3.7	PLK1	polo-like kinase 1
-3.7	PTTG1	pituitary tumor-transforming 1
-3.7	RFC5	replication factor C  5
-3.7	SDC2	syndecan 2
-3.6	ACTA2	actin, alpha 2, smooth muscle, aorta
-3.6	EPS8	epidermal growth factor receptor pathway substrate 8
-3.6	H2AFY2	H2A histone family, member Y2
-3.6	ID2	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
-3.6	MAD2L1	MAD2 mitotic arrest deficient-like 1
-3.6	MCAM	melanoma cell adhesion molecule
-3.6	TNC	tenascin C
-3.5	ADAMTS5	a disintegrin-like and metalloprotease with thrombospondin type 1 motif, 5
-3.5	EXOSC8	exosome component 8
-3.5	GSTM4	glutathione S-transferase M4
-3.5	LTBP1	latent transforming growth factor beta binding protein 1
-3.5	SERPINH1	serine (or cysteine) proteinase inhibitor, clade H,  member 1
-3.5	WDR10	WD repeat domain 10
-3.4	AK5	adenylate kinase 5
-3.4	AKR1C1	aldo-keto reductase family 1, member C1
-3.4	ASF1B	ASF1 anti-silencing function 1 homolog B
-3.4	CYBRD1	cytochrome b reductase 1
-3.4	DIP13B	DIP13 beta
-3.4	DUT	dUTP pyrophosphatase
-3.4	MCM3	MCM3 minichromosome maintenance deficient 3
-3.4	NQO2	NAD(P)H dehydrogenase, quinone 2
-3.4	PDCD1LG2	programmed cell death 1 ligand 2
-3.4	PDGFRB	platelet-derived growth factor receptor, beta polypeptide
-3.4	PTTG2	pituitary tumor-transforming 2
-3.4	TRIP13	thyroid hormone receptor interactor 13
-3.2	ARHGAP11A	similar to human GTPase-activating protein
-3.2	DONSON	downstream neighbor of SON
-3.2	EWSR1	Ewing sarcoma breakpoint region 1
-3.2	SIL	TAL1 (SCL) interrupting locus
-3.2	SYNJ2	synaptojanin 2
-3.2	ZNF532	zinc finger protein 532
-3.2	NMI	N-myc (and STAT) interactor
-3.2	PBX1	pre-B-cell leukemia transcription factor 1
-3.1	AXL	AXL receptor tyrosine kinase
-3.1	BRCA1	breast cancer 1
-3.1	CDT1	DNA replication factor
-3.1	COMMD4	COMM domain containing 4
-3.1	ELN	elastin
-3.1	FGF7	fibroblast growth factor 7
-3.1	FSTL3	follistatin-like 3
-3.1	MEIS1	Meis1, myeloid ecotropic viral integration site 1 homolog
-3.1	PTPLA	protein tyrosine phosphatase-like
-3.1	SCARA3	scavenger receptor class A, member 3
-3.1	UBE2C	ubiquitin-conjugating enzyme E2C
-3.0	CASP8AP2	CASP8 associated protein 2
-3.0	CHEK1	CHK1 checkpoint homolog
-3.0	FATJ	fat-like cadherin FATJ
-3.0	GLUL	glutamate-ammonia ligase
-3.0	ITGB3BP	integrin beta 3 binding protein
-3.0	LBR	lamin B receptor
-3.0	MET	met proto-oncogene
-3.0	OSGEPL1	O-sialoglycoprotein endopeptidase-like 1
-3.0	PRIM1	primase, polypeptide 1
-3.0	RELN	reelin
-3.0	RPL39L	ribosomal protein L39-like
-3.0	SGK	serum/glucocorticoid regulated kinase-like
-3.0	SLC1A4	solute carrier family 1, member 4
-3.0	SLC23A2	solute carrier family 23, member 2
-3.0	TCF4	transcription factor 4
-2.9	APEG1	aortic preferentially expressed protein 1
-2.9	BCCIP	BRCA2 and CDKN1A interacting protein
-2.9	DPYSL3	dihydropyrimidinase-like 3
-2.9	MYLK	myosin, light polypeptide kinase
-2.9	NALP1	NACHT, leucine rich repeat and PYD containing 1
-2.9	CLU	clusterin
-2.9	KISS1	KiSS-1 metastasis-suppressor
-2.9	KLF4	Kruppel-like factor 4
-2.9	PPAP2B	phosphatidic acid phosphatase type 2B
-2.9	PXMP2	peroxisomal membrane protein 2
-2.9	SEC24D	SEC24 related gene family, member D
-2.9	TPM1	tropomyosin 1
-2.8	BTG3	BTG family, member 3
-2.8	CTSC	cathepsin C
-2.8	CYR61	cysteine-rich, angiogenic inducer, 61
-2.8	GAS6	growth arrest-specific 6
-2.8	GPSM2	G-protein signalling modulator 2
-2.8	HDAC5	histone deacetylase 5
-2.8	HMGN2	high-mobility group nucleosomal binding domain 2
-2.8	HNRPH3	heterogeneous nuclear ribonucleoprotein H3
-2.8	LOXL1	lysyl oxidase-like 1
-2.8	LTBP4	latent transforming growth factor beta binding protein 4
-2.8	POLD3	polymerase (DNA-directed), delta 3
-2.8	SCG2	secretogranin II
-2.8	SGCE	sarcoglycan, epsilon
-2.8	SGKL	serum/glucocorticoid regulated kinase-like
-2.8	XRCC4	X-ray repair complementing defective repair in Chinese hamster cells 4
-2.7	COL18A1	collagen, type XVIII, alpha 1
-2.7	HADHSC	L-3-hydroxyacyl-Coenzyme A dehydrogenase, short chain
-2.7	TTF2	transcription termination factor, RNA polymerase II
-2.7	FAM34A	family with sequence similarity 34, member A
-2.7	FGF1	fibroblast growth factor 1
-2.7	HCA112	hepatocellular carcinoma-associated antigen 112
-2.7	KDELR2	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2
-2.7	LIM	LIM protein
-2.7	NUP155	nucleoporin 155kDa
-2.7	PCNA	proliferating cell nuclear antigen
-2.7	PLCB1	phospholipase C, beta 1
-2.7	RAD54B	RAD54 homolog B
-2.7	VAMP5	vesicle-associated membrane protein 5
-2.6	ABHD3	abhydrolase domain containing 3
-2.6	AMIGO2	amphoterin induced gene 2
-2.6	APBA2	amyloid beta (A4) precursor protein-binding, family A, member 2
-2.6	ATP2A2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2
-2.6	CGI-26	CGI-26 protein
-2.6	COL16A1	collagen, type XVI, alpha 1
-2.6	CTGF	connective tissue growth factor
-2.6	DEK	DEK oncogene
-2.6	FARP1	FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1
-2.6	FBN2	fibrillin 2
-2.6	GCAT	glycine C-acetyltransferase
-2.6	GYG2	glycogenin 2
-2.6	IDH2	isocitrate dehydrogenase 2, mitochondrial
-2.6	LMO7	LIM domain only 7
-2.6	MSH6	mutS homolog 6
-2.6	NDN	necdin homolog
-2.6	ODZ3	odd Oz/Ten-m homolog 3
-2.6	RNASEH2A	ribonuclease H2
-2.6	SFPQ	splicing factor proline/glutamine rich
-2.6	SMARCA3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 3
-2.6	TES	testis derived transcript
-2.6	TMEM16A	transmembrane protein 16A
-2.6	TOCA1	transducer of Cdc42-dependent actin assembly 1
-2.6	WEE1	WEE1 homolog
-2.5	ARID5B	AT rich interactive domain 5B
-2.5	BDNF	brain-derived neurotrophic factor
-2.5	CDC7	CDC7 cell division cycle 7
-2.5	DCK	deoxycytidine kinase
-2.5	DDAH2	dimethylarginine dimethylaminohydrolase 2
-2.5	DHFR	dihydrofolate reductase
-2.5	FANCL	Fanconi anemia, complementation group L
-2.5	HNRPA3	heterogeneous nuclear ribonucleoprotein A3
-2.5	IFITM1	interferon induced transmembrane protein 1
-2.5	IGFBP3	insulin-like growth factor binding protein 3
-2.5	IL15	interleukin 15
-2.5	MMD	monocyte to macrophage differentiation-associated
-2.5	MRPL23	mitochondrial ribosomal protein L23
-2.5	ORC6L	origin recognition complex, subunit 6 homolog-like
-2.5	PRPS1	phosphoribosyl pyrophosphate synthetase 1
-2.5	RAB23	RAB23, member RAS oncogene family
-2.5	TNS	tensin
-2.5	TRA2A	transformer-2 alpha
-2.5	VIL2	villin 2
-2.5	ZFP36L2	zinc finger protein 36, C3H type-like 2
-2.5	ALMS1	Alstrom syndrome 1
-2.5	FLNC	filamin C, gamma
-2.5	LIG1	ligase I, DNA, ATP-dependent
-2.5	LMNA	lamin A/C
-2.5	MPHOSPH1	M-phase phosphoprotein 1
-2.5	SLC39A8	solute carrier family 39, member 8
-2.5	SLC7A11	solute carrier family 7, member 11
-2.5	SNX7	sorting nexin 7
-2.5	ZNF288	zinc finger protein 288
-2.5	ATP10A	ATPase, Class V, type 10A
-2.5	AUTS2	autism susceptibility candidate 2
-2.5	CKAP2	cytoskeleton associated protein 2
-2.5	DNA2L	DNA2 DNA replication helicase 2-like
-2.5	FGFR1	fibroblast growth factor receptor 1
-2.5	G6PD	glucose-6-phosphate dehydrogenase
-2.5	LOX	lysyl oxidase
-2.5	PRKCM	protein kinase C, mu
-2.5	RAPGEF2	Rap guanine nucleotide exchange factor (GEF) 2
-2.5	SOX11	SRY (sex determining region Y)-box 11
-2.5	SPARC	secreted protein, acidic, cysteine-rich
-2.5	SR140	U2-associated SR140 protein
-2.5	STMN1	stathmin 1/oncoprotein 18
-2.5	TREX2	three prime repair exonuclease 2
-2.4	ARTS-1	type 1 tumor necrosis factor receptor shedding aminopeptidase regulator
-2.4	CDC14B	CDC14 cell division cycle 14 homolog B
-2.4	CHES1	checkpoint suppressor 1
-2.4	CNAP1	chromosome condensation-related SMC-associated protein 1
-2.4	CRYAB	crystallin, alpha B
-2.4	CSPG6	chondroitin sulfate proteoglycan 6
-2.4	DGKI	diacylglycerol kinase, iota
-2.4	FLNA	filamin A, alpha
-2.4	GLI2	GLI-Kruppel family member GLI2
-2.4	HHEX	hematopoietically expressed homeobox
-2.4	HMGB1	high-mobility group box 1
-2.4	KLF2	Kruppel-like factor 2
-2.4	NR1D2	nuclear receptor subfamily 1, group D, member 2
-2.4	OXCT1	3-oxoacid CoA transferase 1
-2.4	PCNT1	pericentrin 1
-2.4	PLEKHC1	pleckstrin homology domain containing, family C member 1
-2.4	QKI	quaking homolog
-2.4	RAP140	retinoblastoma-associated protein 140
-2.4	SDC3	syndecan 3
-2.4	SKP2	S-phase kinase-associated protein 2 (p45)
-2.4	TOPBP1	topoisomerase II binding protein
-2.4	ZNF278	zinc finger protein 278
-2.3	ACAA2	acetyl-Coenzyme A acyltransferase 2
-2.3	ALCAM	activated leukocyte cell adhesion molecule
-2.3	ASK	activator of S phase kinase
-2.3	EDG2	endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2
-2.3	HMGB3	high-mobility group box 3
-2.3	ID1	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein
-2.3	IL1R1	interleukin 1 receptor, type I
-2.3	NUCB2	nucleobindin 2
-2.3	PDGFRA	platelet-derived growth factor receptor, alpha polypeptide
-2.3	PHGDH	phosphoglycerate dehydrogenase
-2.3	POLA2	polymerase (DNA-directed), alpha
-2.3	PRSS15	protease, serine, 15
-2.3	RPA3	replication protein A3
-2.3	SLC4A4	solute carrier family 4, sodium bicarbonate cotransporter, member 4
-2.3	SOX4	SRY (sex determining region Y)-box 4
-2.3	TCF3	transcription factor 3
-2.3	TGFB1I1	transforming growth factor beta 1 induced transcript 1
-2.3	TIMELESS	timeless homolog
-2.3	TLE4	transducin-like enhancer of split 4
-2.3	TMPO	thymopoietin
-2.3	USP13	ubiquitin specific protease 13
-2.2	ADAMTS1	a disintegrin-like and metalloprotease with thrombospondin type 1 motif, 1
-2.2	ALDH3B1	aldehyde dehydrogenase 3 family, member B1
-2.2	ARG2	arginase, type II
-2.2	ARHGEF10	Rho guanine nucleotide exchange factor (GEF) 10
-2.2	B4GALT4	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 4
-2.2	CDH11	cadherin 11, type 2, OB-cadherin
-2.2	COL4A1	collagen, type IV, alpha 1
-2.2	COL4A2	collagen, type IV, alpha 2
-2.2	COL5A1	collagen, type V, alpha 1
-2.2	CREB3L1	cAMP responsive element binding protein 3-like 1
-2.2	CRIM1	cysteine-rich motor neuron 1
-2.2	FBN1	fibrillin 1
-2.2	FKBP11	FK506 binding protein 11
-2.2	GADD45B	growth arrest and DNA-damage-inducible, beta
-2.2	H2AFV	H2A histone family, member V
-2.2	HEG	HEG homolog
-2.2	NPR3	natriuretic peptide receptor C/guanylate cyclase C
-2.2	PLSCR1	phospholipid scramblase 1
-2.2	STK6	serine/threonine kinase 6
-2.2	TRIM5	tripartite motif-containing 5
-2.2	U2AF1	U2(RNU2) small nuclear RNA auxiliary factor 1
-2.2	ZNF22	zinc finger protein 22
-2.1	AMOTL2	angiomotin like 2
-2.1	ANKRD28	ankyrin repeat domain 28
-2.1	ARMET	arginine-rich, mutated in early stage tumors
-2.1	ATP10D	ATPase, Class V, type 10D
-2.1	CKS1B	CDC28 protein kinase regulatory subunit 1B
-2.1	CSE1L	CSE1 chromosome segregation 1-like
-2.1	DSCR1	Down syndrome critical region gene 1
-2.1	EFEMP2	EGF-containing fibulin-like extracellular matrix protein 2
-2.1	EHD2	EH-domain containing 2
-2.1	IL11RA	interleukin 11 receptor, alpha
-2.1	MAN1C1	mannosidase, alpha, class 1C, member 1
-2.1	NEXN	nexilin
-2.1	NID	nidogen
-2.1	NJMU-R1	protein kinase Njmu-R1
-2.1	NNMT	nicotinamide N-methyltransferase
-2.1	NQO1	NAD(P)H dehydrogenase, quinone 1
-2.1	NUP107	nucleoporin 107kDa
-2.1	PDGFRL	platelet-derived growth factor receptor-like
-2.1	PRDX6	peroxiredoxin 6
-2.1	PRIM2A	primase, polypeptide 2A
-2.1	SDCCAG8	serologically defined colon cancer antigen 8
-2.1	SYNE1	spectrin repeat containing, nuclear envelope 1
-2.1	TGFB1	transforming growth factor, beta 1
-2.1	TUBGCP3	tubulin, gamma complex associated protein 3
-2.1	SEPT6	septin 6
-2.1	APRIN	androgen-induced proliferation inhibitor
-2.1	ATP2B4	ATPase, Ca++ transporting, plasma membrane 4
-2.1	CDKN1B	cyclin-dependent kinase inhibitor 1B (p27, Kip1)
-2.1	COL7A1	collagen, type VII, alpha 1
-2.1	DHRS8	dehydrogenase/reductase (SDR family) member 8
-2.1	DSP	desmoplakin
-2.1	GREM1	gremlin 1 homolog, cysteine knot superfamily
-2.1	GRSF1	G-rich RNA sequence binding factor 1
-2.1	GUSB	glucuronidase, beta
-2.1	MAGED4	melanoma antigen, family D, 4
-2.1	MRE11A	MRE11 meiotic recombination 11 homolog A
-2.1	MSH2	mutS homolog 2, colon cancer, nonpolyposis type 1
-2.1	NNT	nicotinamide nucleotide transhydrogenase
-2.1	NUP37	nucleoporin 37kDa
-2.1	NUP62	nucleoporin 62kDa
-2.1	PHF17	PHD finger protein 17
-2.1	RAB27A	RAB27A, member RAS oncogene family
-2.1	RBM12	RNA binding motif protein 12
-2.1	RBMX	RNA binding motif protein, X-linked
-2.1	SAS	sarcoma amplified sequence
-2.1	SEC31L1	SEC31-like 1
-2.1	SERPING1	serine (or cysteine) proteinase inhibitor, clade G, member 1
-2.1	SMC2L1	SMC2 structural maintenance of chromosomes 2-like 1
-2.1	TNFAIP8	tumor necrosis factor, alpha-induced protein 8
-2.1	H2AFX	H2A histone family, member X
-2.1	PRRX1	paired related homeobox 1
-2.1	SYNGR1	synaptogyrin 1
-2.0	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)
-2.0	C1QDC1	C1q domain containing 1
-2.0	CDC25B	cell division cycle 25B
-2.0	DCLRE1C	DNA cross-link repair 1C
-2.0	DNAJC9	DnaJ (Hsp40) homolog, subfamily C, member 9
-2.0	DNMT1	DNA (cytosine-5-)-methyltransferase 1
-2.0	DOCK10	dedicator of cytokinesis 10
-2.0	DUSP10	dual specificity phosphatase 10
-2.0	ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2
-2.0	FH	fumarate hydratase
-2.0	FOSL1	FOS-like antigen 1
-2.0	HNRPA1	heterogeneous nuclear ribonucleoprotein A1
-2.0	HNRPD	heterogeneous nuclear ribonucleoprotein D
-2.0	HNRPDL	heterogeneous nuclear ribonucleoprotein D-like
-2.0	HSPB1	heat shock 27kDa protein 1
-2.0	ILF3	interleukin enhancer binding factor 3
-2.0	ITGA4	integrin, alpha 4
-2.0	KCNMA1	potassium large conductance calcium-activated channel, subfamily M, alpha member 1
-2.0	KIF13A	kinesin family member 13A
-2.0	MOXD1	monooxygenase, DBH-like 1
-2.0	NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog
-2.0	PCDH16	protocadherin 16 dachsous-like
-2.0	PIR	Pirin
-2.0	PRKAR2B	protein kinase, cAMP-dependent, regulatory, type II, beta
-2.0	PYCS	pyrroline-5-carboxylate synthetase
-2.0	RERE	arginine-glutamic acid dipeptide (RE) repeats
-2.0	SALL1	sal-like 1 (Drosophila)
-2.0	SEMA3A	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, 3A
