HGNC	EnsEMBL ID	Description	Fold Difference	P-value	Corrected p-value
SF3B1	ENSG00000115524	Splicing factor 3B subunit 1 (Spliceosome-associated protein 155) (SAP 155) (SF3b155) (Pre-mRNA-splicing factor SF3b 155 kDa subunit).	1.4	1.60E-08	4.10E-04
DDX17	ENSG00000100201	Probable ATP-dependent RNA helicase DDX17 (EC 3.6.1.-) (DEAD box protein 17) (RNA-dependent helicase p72) (DEAD box protein p72).	2.7	1.60E-08	1.50E-04
PABPN1	ENSG00000100836	Polyadenylate-binding protein 2 (Poly(A)-binding protein 2) (PolyA binding protein II) (PABII) (Polyadenylate-binding nuclear protein 1) (Nuclear poly(A)-binding protein 1).	1.3	1.70E-08	4.50E-04
RBBP4	ENSG00000162521	Histone-binding protein RBBP4 (Retinoblastoma-binding protein 4) (RBBP-4) (Retinoblastoma-binding protein p48) (Chromatin assembly factor 1 subunit C) (CAF-1 subunit C) (Chromatin assembly factor I p48 subunit) (CAF-I 48 kDa subunit) (CAF-I p48).	1.4	1.80E-08	3.60E-04
RBBP4	ENSG00000055163	cytoplasmic FMR1 interacting protein 2	2.2	1.80E-08	1.90E-04
C1orf165	ENSG00000162373	NA	6.3	1.80E-08	1.60E-04
MALT1	ENSG00000172175	Mucosa-associated lymphoid tissue lymphoma translocation protein 1 (EC 3.4.22.-) (MALT lymphoma-associated translocation) (Paracaspase).	3.4	2.00E-08	5.40E-05
C11orf2	ENSG00000149823	Protein C11orf2 (Another new gene 2 protein).	2	2.10E-08	2.50E-04
PRKD2	ENSG00000105287	Serine/threonine-protein kinase D2 (EC 2.7.11.13) (nPKC-D2).	2	2.30E-08	4.00E-04
HNRPA1	ENSG00000135486	Heterogeneous nuclear ribonucleoprotein A1 (Helix-destabilizing protein) (Single-strand RNA-binding protein) (hnRNP core protein A1).	1.8	2.40E-08	2.90E-04
FOXP1	ENSG00000114861	Forkhead box protein P1.	3.7	2.70E-08	9.70E-05
CIRBP	ENSG00000099622	Cold-inducible RNA-binding protein (Glycine-rich RNA-binding protein CIRP) (A18 hnRNP).	2	2.70E-08	6.40E-04
CASP2	ENSG00000106144	Caspase-2 precursor (EC 3.4.22.-) (CASP-2) (ICH-1 protease) (ICH-1L/1S) [Contains: Caspase-2 subunit p18; Caspase-2 subunit p13; Caspase-2 subunit p12].	1.8	2.70E-08	1.50E-04
NA	ENSG00000176718	NA	3	2.80E-08	4.50E-04
QRSL1	ENSG00000130348	glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1	3.7	2.90E-08	3.60E-04
LUC7L2	ENSG00000146963	Putative RNA-binding protein Luc7-like 2.	1.3	3.00E-08	6.40E-04
SH3YL1	ENSG00000035115	SH3 domain containing, Ysc84-like 1	4.2	3.10E-08	5.20E-04
EIF3S6IP	ENSG00000100129	Eukaryotic translation initiation factor 3 subunit 6-interacting protein.	1.6	3.20E-08	1.60E-04
PLEKHF2	ENSG00000175895	phafin 2	2	3.40E-08	5.20E-04
C6orf111	ENSG00000132424	Splicing factor, arginine/serine-rich 130 (Serine-arginine-rich splicing regulatory protein 130) (SRrp130) (SR-rich protein) (SR-related protein).	2	3.50E-08	6.80E-04
TMSL8	ENSG00000158164	NB thymosin beta (Thymosin-like protein 8).	10.5	3.60E-08	6.30E-04
JMJD1C	ENSG00000171988	Probable JmjC domain-containing histone demethylation protein 2C (EC 1.14.11.-) (Jumonji domain-containing protein 1C) (Thyroid receptor-interacting protein 8) (TRIP-8).	1.9	3.80E-08	7.80E-04
ZNF512	ENSG00000198522	Zinc finger protein 512.	1.8	3.80E-08	4.50E-04
ADD3	ENSG00000148700	Gamma-adducin (Adducin-like protein 70).	2.2	3.90E-08	1.30E-04
RRS1	ENSG00000179041	Ribosome biogenesis regulatory protein homolog.	1.6	4.00E-08	8.30E-04
CD19	ENSG00000177455	B-lymphocyte antigen CD19 precursor (B-lymphocyte surface antigen B4) (Leu-12) (Differentiation antigen CD19).	18.1	4.10E-08	9.70E-05
CD180	ENSG00000134061	CD180 antigen precursor (Lymphocyte antigen 64) (Radioprotective 105 kDa protein).	4.9	4.20E-08	4.50E-04
RPL37	ENSG00000145592	60S ribosomal protein L37 (G1.16).	2.9	4.30E-08	2.70E-04
KIAA0892	ENSG00000129933	NA	1.5	4.30E-08	1.80E-04
FOXO1A	ENSG00000150907	Forkhead box protein O1A (Forkhead in rhabdomyosarcoma).	2.5	4.30E-08	1.40E-04
DEF6	ENSG00000023892	differentially expressed in FDCP 6 homolog	1.7	4.50E-08	9.70E-05
GPR18	ENSG00000125245	Probable G-protein coupled receptor 18.	3	4.60E-08	3.60E-04
NA	ENSG00000182319	NA	5.3	4.70E-08	2.60E-04
PLAG1	ENSG00000181690	pleiomorphic adenoma gene 1	4.4	4.70E-08	3.20E-05
BANK1	ENSG00000153064	B-cell scaffold protein with ankyrin repeats 1	21	5.10E-08	5.40E-05
GNB2L1	ENSG00000204628	Guanine nucleotide-binding protein subunit beta 2-like 1 (Guanine nucleotide-binding protein subunit beta-like protein 12.3) (Receptor of activated protein kinase C 1) (RACK1) (Receptor for activated C kinase).	1.4	5.20E-08	8.70E-04
GNB2L1	ENSG00000112137	Phosphatase and actin regulator 1.	9.3	5.30E-08	6.80E-04
RPL38	ENSG00000172809	60S ribosomal protein L38.	1.4	5.60E-08	3.10E-04
NA	ENSG00000180632	NA	1.7	5.70E-08	7.40E-04
TIAM2	ENSG00000146426	Putative RNA-binding protein 16 (RNA-binding motif protein 16).	1.5	6.20E-08	1.00E-03
RABGAP1L	ENSG00000152061	RAB GTPase activating protein 1-like isoform A	1.8	6.40E-08	6.10E-04
ZCCHC7	ENSG00000147905	Zinc finger CCHC domain-containing protein 7.	2.6	6.40E-08	3.10E-04
CD1C	ENSG00000158481	T-cell surface glycoprotein CD1c precursor (CD1c antigen).	13.4	6.40E-08	5.30E-04
NA	ENSG00000111913	NA	2.7	6.50E-08	2.50E-04
FBXO21	ENSG00000135108	F-box only protein 21.	1.5	6.70E-08	8.00E-04
CNOT7	ENSG00000198791	CCR4-NOT transcription complex subunit 7 (CCR4-associated factor 1) (CAF1) (BTG1-binding factor 1).	1.5	6.90E-08	2.50E-04
FCRLM1	ENSG00000132185	Fc receptor-like and mucin-like 1 precursor (Fc receptor homolog expressed in B-cells) (Fc receptor related protein X) (FcRX) (Fc receptor-like protein).	11.8	7.00E-08	2.80E-04
ICAM3	ENSG00000076662	Intercellular adhesion molecule 3 precursor (ICAM-3) (ICAM-R) (CDw50) (CD50 antigen).	2.2	7.00E-08	3.00E-04
HP1BP3	ENSG00000127483	HP1-BP74	1.5	7.10E-08	9.40E-04
HP1BP3	ENSG00000145868	F-box only protein 38 (Modulator of KLF7 activity homolog) (MoKA).	1.3	7.10E-08	9.70E-04
NA	ENSG00000175857	NA	20	7.30E-08	1.60E-04
UBE2G2	ENSG00000184787	Ubiquitin-conjugating enzyme E2 G2 (EC 6.3.2.19) (Ubiquitin-protein ligase G2) (Ubiquitin carrier protein G2).	1.4	7.30E-08	1.60E-04
EEF1G	ENSG00000186676	Elongation factor 1-gamma (EF-1-gamma) (eEF-1B gamma).	1.5	7.70E-08	1.30E-04
RASGRP2	ENSG00000068831	RAS guanyl releasing protein 2 isoform 2	5.5	8.10E-08	7.80E-04
CD79B	ENSG00000007312	B-cell antigen receptor complex-associated protein beta-chain precursor (B-cell-specific glycoprotein B29) (Immunoglobulin-associated B29 protein) (IG-beta) (CD79b antigen).	7.2	8.40E-08	9.70E-05
REV1L	ENSG00000135945	DNA repair protein REV1 (EC 2.7.7.-) (Rev1-like terminal deoxycytidyl transferase) (Alpha integrin-binding protein 80) (AIBP80).	1.7	8.60E-08	8.20E-04
NAP1L1	ENSG00000187109	Nucleosome assembly protein 1-like 1 (NAP-1-related protein) (hNRP).	1.8	9.80E-08	9.10E-04
DGKA	ENSG00000065357	Diacylglycerol kinase alpha (EC 2.7.1.107) (Diglyceride kinase alpha) (DGK-alpha) (DAG kinase alpha) (80 kDa diacylglycerol kinase).	3.6	1.20E-07	5.30E-04
ZNF573	ENSG00000189144	zinc finger protein 573	2.2	1.30E-07	6.70E-04
1-Sep	ENSG00000180096	Septin-1 (LARP) (Serologically defined breast cancer antigen NY-BR-24).	1.8	1.40E-07	9.70E-04
CD52	ENSG00000169442	CAMPATH-1 antigen precursor (Cambridge pathology 1 antigen) (Epididymal secretory protein E5) (CD52 antigen) (CDw52).	3	1.50E-07	9.70E-05
PIK3C2B	ENSG00000133056	Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing beta polypeptide (EC 2.7.1.154) (Phosphoinositide 3-Kinase-C2-beta) (PtdIns-3-kinase C2 beta) (PI3K-C2beta) (C2-PI3K).	4.6	1.50E-07	5.20E-04
ZNF238	ENSG00000179456	Zinc finger protein 238 (Transcriptional repressor RP58) (58 kDa repressor protein) (Zinc finger protein C2H2-171) (Translin-associated zinc finger protein 1) (TAZ-1) (Zinc finger and BTB domain-containing protein 18).	2.5	1.60E-07	5.80E-04
POLR3E	ENSG00000058600	DNA-directed RNA polymerases III 80 kDa polypeptide (EC 2.7.7.6) (RNA polymerase III subunit 5) (RPC5).	1.9	1.60E-07	5.20E-04
MYCBP2	ENSG00000005810	Probable ubiquitin ligase protein MYCBP2 (EC 6.3.2.-) (Myc binding protein 2) (Protein associated with Myc) (Pam/highwire/rpm-1 protein).	1.9	1.70E-07	8.70E-04
VPREB3	ENSG00000128218	Pre-B lymphocyte protein 3 precursor (VpreB3 protein) (N27C7-2).	30.5	2.00E-07	2.90E-04
EIF4B	ENSG00000063046	Eukaryotic translation initiation factor 4B (eIF-4B).	1.8	2.10E-07	4.00E-04
YTHDC1	ENSG00000083896	YTH domain-containing protein 1 (Putative splicing factor YT521).	1.6	2.10E-07	3.60E-04
IL16	ENSG00000172349	Interleukin-16 precursor (IL-16) (Lymphocyte chemoattractant factor) (LCF).	3.1	2.20E-07	7.80E-04
EPHX2	ENSG00000120915	Epoxide hydrolase 2 (EC 3.3.2.3) (Soluble epoxide hydrolase) (SEH) (Epoxide hydratase) (Cytosolic epoxide hydrolase) (CEH).	5.8	2.40E-07	9.10E-04
PRKCB1	ENSG00000166501	Protein kinase C beta type (EC 2.7.11.13) (PKC-beta) (PKC-B).	2.1	2.50E-07	6.40E-04
SKIV2L2	ENSG00000039123	Superkiller viralicidic activity 2-like 2 (EC 3.6.1.-) (ATP-dependent helicase SKIV2L2).	1.5	2.70E-07	7.70E-04
NA	ENSG00000100796	NA	1.4	2.80E-07	9.40E-04
EPB41	ENSG00000159023	Protein 4.1 (Band 4.1) (P4.1) (EPB4.1) (4.1R).	2.4	3.10E-07	4.70E-04
RALGPS2	ENSG00000116191	Ral GEF with PH domain and SH3 binding motif 2 isoform 1	7.5	3.40E-07	2.80E-04
CCDC57	ENSG00000176155	coiled-coil domain containing 57	1.7	3.50E-07	6.80E-04
NA	ENSG00000198146	NA	1.9	3.50E-07	5.80E-04
ABCB4	ENSG00000005471	Multidrug resistance protein 3 (EC 3.6.3.44) (P-glycoprotein 3).	12.8	3.50E-07	1.60E-04
	ENSG00000130076	Ig alpha-1 chain C region.	33.2	4.00E-07	9.70E-05
SCN3A	ENSG00000153253	Sodium channel protein type 3 subunit alpha (Sodium channel protein type III subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.3) (Sodium channel protein, brain III subunit alpha) (Voltage-gated sodium channel subtype III).	9.4	7.00E-07	2.70E-04
TBC1D4	ENSG00000136111	TBC1 domain family member 4 (Akt substrate of 160 kDa) (AS160).	3.1	7.20E-07	8.90E-04
HNRPM	ENSG00000099783	Heterogeneous nuclear ribonucleoprotein M (hnRNP M).	1.4	1.70E-06	4.10E-04
RPL15	ENSG00000174748	60S ribosomal protein L15.	1.7	1.80E-06	7.80E-04
AFF3	ENSG00000144218	AF4/FMR2 family member 3 (Protein LAF-4) (Lymphoid nuclear protein related to AF4).	13.8	2.00E-06	5.40E-04
KIAA0125	ENSG00000184618	NA	10.6	2.60E-06	1.50E-04
TCL1A	ENSG00000100721	T-cell leukemia/lymphoma protein 1A (P14 TCL1 protein) (TCL1 oncogene) (TCL-1 protein).	56.5	3.20E-06	9.10E-04
