Gene description	Gene symbol	Image ID	Hazard ratio	Lower 95% CIa	Upper 95% CI	P	Expression level
Cyclin-dependent kinase inhibitor 2D	CDKN2D	360750	2.7	1.3	5.8	0.007	1.0 +/- 1.3
myc proto-oncogene protein	MYC	417226	3.9	1.3	11.4	0.008	-1.1 +/- 1.3
Cyclin B1	CCNB1	1032770	3.8	1.2	11.8	0.009	-1.4 +/- 1.4
Rho GDP dissociation inhibitor (GDI) alpha	ARHGDIA	740628	3.6	1.2	10.5	0.01	-1.5 +/- 1.5
Nuclear factor I/B	NFIB	264688	3.4	1.3	9.4	0.01	2.8 +/- 2.1
Stathmin 1/oncoprotein 18	STMN1	366823	3	1.2	7.2	0.01	3.4 +/- 1.8
ets variant gene 6	ETV6	111961	2.9	1.2	6.9	0.01	1.2 +/- 1.5
SRY (sex determining region Y)-box 4	SOX4	669302	2.9	1.2	7.2	0.01	4.2 +/- 2.5
Topoisomerase (DNA) II alpha	TOP2A	50051	2.8	1.2	6.5	0.01	1.2 +/- 1.4
Nuclear factor of activated T cells	NFATC3	154655	2.8	1.3	6	0.01	1.1 +/- 1.3
Myeloid/lymphoid or mixed-lineage leukemia	MLL	705000	4.2	1.1	15.3	0.02	1.3 +/- 1.5
Gamma-aminobutyric acid A receptor, alpha 2	GABRA2	21754	3.2	1.3	7.8	0.02	-1.3 +/- 1.4
Thrombospondin 2	THBS2	240592	3	1.2	7.9	0.02	1.1 +/- 1.3
Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide	YWHAG	136970	2.8	1.1	7.1	0.02	1.2 +/- 1.4
Protein kinase, DNA-activated, catalytic polypeptide	PRKDC	267593	2.8	1.1	7.1	0.02	-1.4 +/- 1.4
Mitogen-activated protein kinase 1	MAPK1	111678	2.8	1.1	7.1	0.02	1.2 +/- 1.4
Inositol polyphosphate-5-phosphatase	INPP5D	754611	2.8	1.2	6.6	0.02	1.0 +/- 1.3
v-erb-b2 erythroblastic leukemia viral oncogene 3	ERBB3	44708	2.8	1.2	6.4	0.02	1.3 +/- 1.4
v-rel reticuloendotheliosis viral oncogene homologue	REL	704548	2.7	1.1	6.6	0.02	1.1 +/- 1.3
Retinoblastoma binding protein 1	RBBP1	490061	2.7	1.2	6.3	0.02	-3.6 +/- 1.6
Cyclin D1	CCND1	758525	2.7	1.1	6.6	0.02	1.1 +/- 1.4
Tumor necrosis factor receptor superfamily	TNFRSF11A	346544	2.6	1.1	6.1	0.02	1.0 +/- 1.4
Nuclear receptor subfamily 4, group A, member 2	NR4A2	38452	2.6	1.2	6	0.02	1.4 +/- 1.4
Dual specificity phosphatase 9	DUSP9	28678	2.6	1.1	6.2	0.02	1.1 +/- 1.4
TEA domain family member 2	TEAD2	4634096	2.9	1.1	7.7	0.03	-2.1 +/- 1.7
Tumor protein p53	TP53	924383	2.8	1.1	7.2	0.03	1.2 +/- 1.3
Tubulin, gamma 1	TUBG1	114433	2.7	1	7.1	0.03	1.3 +/- 1.4
Neural cell adhesion molecule 1	NCAM1	366842	2.7	1.1	6.9	0.03	-1.2 +/- 1.2
Cyclin H	CCNH	730411	2.6	1	6.6	0.03	1.6 +/- 1.5
Nuclear factor related to kappa B binding protein	NFRKB	131626	2.6	1.1	6	0.03	1.3 +/- 1.5
Cytochrome P450, subfamily IVA, polypeptide 11	CYP4A11	120466	3.5	1	11.8	0.04	1.2 +/- 1.6
Antigen identified by monoclonal antibody Ki-67	MKI67	108718	3	1	9.1	0.04	3.9 +/- 1.8
Kinesin family member	KIF17	1540579	2.9	1	8.5	0.04	1.0 +/- 1.3
PMS2 postmeiotic segregation increased 2	PMS2	503115	2.8	1	8.1	0.04	1.1 +/- 1.4
Cyclin-dependent kinase 8	CDK8	42880	2.6	1	6.8	0.04	1.1 +/- 1.2
