DOWN-REGULATED	TGFbeta	Twist	Gsc	Snail	siE-Cadherin
ITGB4	0.344	0.228	0.157	0.203	0.119
C6ORF105	0.341	0.33	0.142	0.309	0.196
GLS2	0.336	0.251	0.258	0.232	0.383
ANXA3	0.334	0.146	0.071	0.048	0.024
DST	0.33	0.277	0.231	0.18	0.052
ARHGAP25	0.329	0.271	0.24	0.26	0.162
DSC2	0.326	0.342	0.212	0.26	0.049
SLC6A8	0.321	0.166	0.192	0.278	0.253
LSR	0.318	0.332	0.238	0.258	0.116
CLDN1	0.316	0.222	0.241	0.186	0.228
FLJ20366	0.314	0.296	0.192	0.229	0.261
CYP4F11	0.312	0.299	0.31	0.275	0.24
CCND2	0.311	0.068	0.203	0.058	0.045
FGFR2	0.31	0.245	0.191	0.222	0.102
ABLIM1	0.305	0.267	0.155	0.112	0.071
XDH	0.3	0.283	0.164	0.291	0.156
CAMK2B	0.299	0.105	0.128	0.103	0.125
DSG3	0.297	0.22	0.377	0.179	0.037
NAIP /// OCLN	0.296	0.311	0.313	0.297	0.112
KRT17	0.295	0.125	0.017	0.142	0.113
SAA1 /// SAA2	0.295	0.15	0.143	0.15	0.049
PRRG4	0.291	0.339	0.268	0.321	0.108
ANK3	0.288	0.35	0.38	0.329	0.269
C10ORF116	0.281	0.345	2.453	0.231	0.12
TMPRSS4	0.278	0.367	0.303	0.336	0.305
CST6	0.273	0.347	0.087	0.236	0.179
NDRG1	0.272	0.288	0.09	0.175	0.123
S100A8	0.267	0.254	0.051	0.485	0.007
CORO1A	0.257	0.186	0.093	0.196	0.24
KLK5	0.256	0.133	0.045	0.251	0.029
EXPH5	0.255	0.188	0.173	0.144	0.066
IRX4	0.251	0.275	0.393	0.275	0.212
IRF6	0.25	0.261	0.243	0.223	0.059
HOOK1	0.248	0.133	0.11	0.111	0.129
ARTN	0.245	0.137	0.098	0.132	0.06
FLJ12684	0.243	0.137	0.066	0.076	0.059
SLC2A9	0.238	0.203	0.191	0.172	0.067
KLK8	0.236	0.147	0.13	0.176	0.037
TMEM40	0.235	0.169	0.118	0.135	0.112
TRIM29	0.23	0.255	0.038	0.14	0.056
HBEGF	0.228	0.126	0.072	0.13	0.22
ALDH1A3	0.226	0.192	0.071	0.099	0.01
RBM35B	0.222	0.107	0.055	0.068	0.053
MYO5C	0.221	0.184	0.205	0.165	0.164
CYP27B1	0.218	0.225	0.088	0.188	0.074
IL1B	0.209	0.144	0.17	0.138	0.031
NMU	0.208	0.185	0.052	0.074	0.033
KRT16	0.203	0.16	0.07	0.201	0.034
CDH1	0.202	0.172	0.126	0.145	0.043
JAG2	0.199	0.174	0.15	0.199	0.092
VSNL1	0.196	0.165	0.126	0.239	0.07
RLN2	0.19	0.159	0.137	0.142	0.24
CTSL2	0.19	0.302	0.068	0.268	0.094
SYK	0.187	0.149	0.154	0.154	0.134
SAA1	0.183	0.043	0.033	0.043	0.03
EPB41L4B	0.18	0.165	0.044	0.141	0.218
RNF128	0.178	0.128	0.107	0.117	0.196
ST14	0.178	0.251	0.146	0.146	0.055
LEPREL1	0.176	0.169	0.03	0.239	0.163
PI3	0.172	0.142	0.152	0.141	0.021
AP1M2	0.167	0.202	0.127	0.165	0.121
CKMT1A	0.167	0.161	0.042	0.086	0.035
CKMT1B	0.167	0.161	0.042	0.086	0.035
GRHL2	0.165	0.188	0.131	0.157	0.112
ARHGAP8	0.161	0.194	0.128	0.141	0.093
LOC553158	0.161	0.194	0.128	0.141	0.093
IGFBP2	0.159	4.097	8.924	2.879	2.742
IL18	0.159	0.121	0.096	0.085	0.126
CA9	0.158	0.109	0.067	0.091	0.152
S100A14	0.157	0.319	0.009	0.154	0.035
CA2	0.153	0.143	0.123	0.191	0.046
KRT15	0.136	0.309	0.048	0.211	0.012
EVA1	0.129	0.166	0.103	0.136	0.039
TMEM30B	0.123	0.133	0.036	0.067	0.029
S100A7	0.112	0.12	0.114	0.122	0.032
KLK7	0.109	0.113	0.089	0.183	0.008
LGALS7	0.108	0.155	0.087	0.2	0.182
FST	0.105	0.235	0.093	0.115	0.018
CXADR	0.101	0.091	0.086	0.096	0.155
SLPI	0.091	0.074	0.062	0.062	0.007
RBM35A	0.082	0.183	0.029	0.095	0.029
RAB25	0.079	0.112	0.043	0.052	0.03
UCHL1	0.071	0.044	0.037	0.049	0.472
KLK10	0.062	0.059	0.05	0.079	0.005
TACSTD1	0.062	0.171	0.009	0.015	0.013
SERPINB2	0.051	0.056	0.039	0.036	0.004
SPRR1A	0.043	0.046	0.039	0.042	0.007
FGFR3	0.04	0.056	0.028	0.071	0.032
SPRR1B	0.034	0.195	0.014	0.09	0.006
