Accession no.	Coordinate	Gene/protein name	Ratio
X03541	9 J	High affinity nerve growth factor receptor precursor ; trk-1 transforming tyrosine kinase protein; p140-TRKA; p68-trk-T3 oncoprotein	2.61
X02851	3 B	IL-1alpha precursor; haematopoietin-1	2.66
U36223	17 B	FGF-8; AIGF; HBGF8	2.67
M23452	6 N	MIP1-alpha; tonsillar lymphocyte LD78 a protein; GOS19-1 protein; PAT 464.2; SIS -b; small inducible cytokine A3 (SCYA3)	2.7
D11086	4 K	IL-2 receptor g ; cytokine receptor common gamma chain precursor; p64	2.78
U95299	21 I	Notch 4	3.15
X74979	23 J	Epithelial discoidin domain receptor 1 precursor (EDDR1; DDR1); cell adhesion kinase (CAK); TRKE; RTK6	3.25
M84747	5 E	IL-9 receptor precursor	3.36
X02812; J05114	15 F	TGF beta	3.4
X00351	1 G	Cytoplasmic beta actin	4.04
U02687	19 G	Stem cell tyrosine kinase 1 (STK1); FL cytokine receptor precursor; tyrosine-protein kinase receptor flt3; CD135 antigen	4.51
M13982	3 F	IL-4 precursor; B-cell stimulatory factor 1 (BSF-1); lymphocyte stimulatory factor 1	7.98
