RNA1	Other base	Group recurrence (n=37) Mean (range; standard deviation)	Group recurrence (n=37) Variance	Group recurrence (n=37) Median	Group no recurrence (n=40) Mean (range; standard deviation)	Group no recurrence (n=40) Variance	Group no recurrence (n=40) Median	Wilcoxon sum rank test2 W	Wilcoxon sum rank test2 P	Welchs t test3 Absolute t	Welchs t test3 Degrees of freedom	Welchs t test3 P
hsa-mir-138-1		0.96 (0.18-1.96; 0.45)	0.2	0.94	0.86 (0.12-2.64; 0.59)	0.35	0.83	1450	0.2621	0.81	72	0.4222
hsa-mir-141		1.59 (0.04-5.05; 1.08)	1.16	1.51	0.84 (0.14-5.77; 0.97)	0.94	0.51	1161	0	3.24	72	0.0011
hsa-mir-142		1.43 (0.24-4.45; 0.97)	0.93	1.17	1.08 (0.11-4.08; 0.92)	0.84	0.8	1362	0.0435	1.65	73	0.1068
hsa-mir-142		1.46 (0.26-4; 0.93)	0.86	1.2	0.97 (0.17-2.71; 0.74)	0.55	0.66	1283	0.0047	2.55	68	0.0131
hsa-mir-143		1.63 (0.14-8.08; 1.68)	2.84	1.15	0.87 (0.16-3.64; 0.74)	0.55	0.65	1311	0.0111	2.51	48	0.0109
hsa-mir-145		1.45 (0.28-6.94; 1.4)	1.96	1.1	0.88 (0.2-3.54; 0.72)	0.52	0.64	1322	0.0152	2.23	52	0.0266
hsa-mir-146a		1.37 (0.52-3.86; 0.69)	0.48	1.13	1.18 (0.29-4.72; 0.9)	0.8	0.89	1360	0.0414	1.07	72	0.2912
hsa-mir-146b		1.06 (0.79-1.64; 0.2)	0.04	1.01	1.27 (0.75-2.2; 0.28)	0.08	1.24	1921	0.0002	3.68	70	0.0004
hsa-mir-146b		1.57 (0.37-4.21; 0.91)	0.82	1.44	1.03 (0.2-3.34; 0.85)	0.72	0.72	1244	0.0013	2.71	73	0.0085
hsa-mir-147b		1.19 (0.66-4.22; 0.57)	0.33	1.11	1.16 (0.73-2.7; 0.37)	0.14	1.11	1585	0.7988	0.21	60	0.8555
hsa-mir-149		0.95 (0.57-1.28; 0.17)	0.03	0.93	1.1 (0.67-1.54; 0.23)	0.05	1.09	1822	0.0076	3.22	71	0.0022
hsa-mir-150		0.88 (0.55-1.17; 0.14)	0.02	0.89	1.04 (0.63-1.42; 0.21)	0.04	1.04	1912	0.0003	3.85	67	0.0003
hsa-mir-151		1.51 (0.7-4.16; 0.8)	0.64	1.28	1.17 (0.4-3.99; 0.83)	0.7	1.01	1298	0.0076	1.86	74	0.0691
hsa-mir-155		1.08 (0.53-1.99; 0.31)	0.09	1.03	1.24 (0.74-2.49; 0.32)	0.11	1.18	1796	0.0161	2.28	74	0.0228
hsa-mir-15a		1.46 (0.31-8.79; 1.42)	2.02	1.03	0.8 (0.16-2.33; 0.63)	0.4	0.52	1220	0.0005	2.58	48	0.0026
hsa-mir-15b		1.31 (0.21-4.5; 1.06)	1.13	1.07	0.83 (0.14-5.59; 1.04)	1.09	0.42	1260	0.0022	2	74	0.0466
hsa-mir-16-1		1.49 (0.13-6.28; 1.24)	1.53	1.24	0.78 (0.09-3.08; 0.77)	0.6	0.46	1234	0.0009	2.99	59	0.0023
hsa-mir-17		1.24 (0.24-5.56; 1.17)	1.37	0.8	0.9 (0.14-12.9; 2.03)	4.12	0.34	1210	0.0004	0.93	63	0.428
hsa-mir-181a-1		1.45 (0.48-5.17; 1.02)	1.05	1.22	0.88 (0.28-2.7; 0.54)	0.29	0.67	1224	0.0006	3	53	0.0025
hsa-mir-181a-2		0.85 (0.2-1.57; 0.35)	0.12	0.86	0.77 (0.15-1.38; 0.33)	0.11	0.8	1476	0.3918	1.03	73	0.3014
hsa-mir-181b-1		1.46 (0.66-4.67; 0.83)	0.7	1.23	1 (0.51-2.48; 0.42)	0.17	0.86	1201	0.0003	3.02	51	0.0022
hsa-mir-183		1.26 (0.5-4.79; 0.88)	0.77	0.93	0.88 (0.39-3.45; 0.56)	0.32	0.68	1265	0.0026	2.25	60	0.0238
hsa-mir-183		0.9 (0.51-1.3; 0.16)	0.02	0.89	1 (0.55-1.49; 0.21)	0.04	0.97	1770	0.0323	2.3	72	0.0242
hsa-mir-184		0.97 (0.59-1.26; 0.16)	0.03	0.97	1.11 (0.66-1.71; 0.21)	0.04	1.13	1871	0.0015	3.35	72	0.0016
hsa-mir-185		1.29 (0.77-3.42; 0.49)	0.24	1.17	1.03 (0.67-2.33; 0.34)	0.11	0.92	1262	0.0024	2.64	62	0.0075
hsa-mir-185		0.95 (0.5-1.69; 0.28)	0.08	0.93	1.11 (0.48-1.96; 0.38)	0.14	1.1	1735	0.0744	2.07	71	0.0392
hsa-mir-186		1.46 (0.77-3.12; 0.48)	0.23	1.34	1.22 (0.5-2.5; 0.49)	0.24	1.12	1354	0.0357	2.2	74	0.0276
hsa-mir-187		0.86 (0.15-1.63; 0.37)	0.14	0.83	0.8 (0.12-2.02; 0.47)	0.22	0.72	1469	0.3535	0.61	73	0.5329
hsa-mir-1908		0.96 (0.72-1.36; 0.14)	0.02	0.95	1.05 (0.73-1.47; 0.16)	0.02	1.05	1813	0.0099	2.68	74	0.0091
hsa-mir-191		1.56 (0.31-5.9; 1.1)	1.2	1.26	0.87 (0.18-4.75; 0.88)	0.77	0.52	1183	0.0001	3.03	68	0.0021
hsa-mir-193a		1.6 (0.4-7.04; 1.31)	1.72	1.19	0.91 (0.3-3.42; 0.69)	0.48	0.69	1203	0.0003	2.87	53	0.0022
hsa-mir-193a		0.94 (0.6-1.53; 0.23)	0.05	0.91	1.07 (0.58-1.53; 0.23)	0.05	1.07	1820	0.008	2.35	74	0.021
hsa-mir-193b		1.13 (0.49-3.02; 0.51)	0.26	1	1.04 (0.54-3.94; 0.61)	0.37	0.86	1403	0.1094	0.73	74	0.4852
hsa-mir-193b		1.02 (0.61-1.55; 0.24)	0.06	0.97	1.22 (0.76-2.25; 0.32)	0.11	1.25	1829	0.0061	3.06	72	0.0041
hsa-mir-194		0.96 (0.61-1.94; 0.32)	0.1	0.87	1.29 (0.49-2.77; 0.47)	0.22	1.22	1913	0.0003	3.63	68	0.0007
hsa-mir-195		1.31 (0.27-4.82; 1.03)	1.07	0.92	0.78 (0.2-2.14; 0.58)	0.34	0.52	1275	0.0037	2.71	55	0.0067
hsa-mir-195		1.03 (0.77-1.62; 0.24)	0.06	0.93	1.24 (0.67-2.39; 0.39)	0.15	1.17	1834	0.0052	2.81	65	0.0061
hsa-mir-196a		0.92 (0.53-1.67; 0.21)	0.04	0.88	0.82 (0.44-1.13; 0.16)	0.03	0.82	1353	0.0348	2.13	67	0.0307
hsa-mir-197		1 (0.45-1.49; 0.2)	0.04	1	0.94 (0.34-1.52; 0.26)	0.07	0.98	1511	0.6174	1	72	0.3258
hsa-mir-198		1.08 (0.6-2.24; 0.37)	0.14	0.98	1.11 (0.53-1.93; 0.34)	0.12	1.01	1631	0.4691	0.38	73	0.7041
hsa-mir-199a-1		1.5 (0.31-5.25; 1.3)	1.69	1.09	0.77 (0.15-3.69; 0.72)	0.52	0.48	1212	0.0004	3.03	55	0.0026
hsa-mir-199a-2		1.65 (0.28-5.43; 1.43)	2.05	1.28	0.78 (0.15-3.81; 0.78)	0.6	0.5	1212	0.0004	3.25	54	0.0013
hsa-mir-19a		1.46 (0.31-5.39; 1.07)	1.14	1.15	0.92 (0.15-6.97; 1.14)	1.29	0.62	1212	0.0004	2.16	74	0.0318
hsa-mir-19b-1		1.46 (0.28-5.73; 1.09)	1.19	1.12	0.85 (0.17-5.79; 0.97)	0.94	0.5	1198	0.0002	2.6	72	0.0081
hsa-mir-200a		1.26 (0.06-4.4; 1.04)	1.09	0.84	0.92 (0.14-11.8; 1.84)	3.39	0.4	1250	0.0016	1.01	62	0.3645
hsa-mir-200b		1.51 (0.05-4.57; 1.18)	1.39	1.13	0.96 (0.11-9.55; 1.5)	2.25	0.56	1233	0.0009	1.79	73	0.0698
hsa-mir-200b		0.88 (0.58-1.27; 0.16)	0.03	0.86	1.17 (0.65-1.76; 0.27)	0.07	1.22	2004	0	5.62	64	0
hsa-mir-200c		1.59 (0.06-4.31; 1.06)	1.11	1.48	0.93 (0.12-5.37; 0.9)	0.82	0.64	1213	0.0004	2.94	71	0.0028
hsa-mir-202		0.96 (0.16-2.01; 0.47)	0.22	1.03	1.08 (0.17-2.54; 0.55)	0.3	1.09	1653	0.343	1.03	74	0.303
hsa-mir-208a		0.93 (0.64-1.51; 0.18)	0.03	0.91	1.01 (0.66-1.33; 0.18)	0.03	0.99	1752	0.0503	1.85	74	0.066
hsa-mir-20a		1.32 (0.16-5.64; 1.16)	1.34	0.85	0.97 (0.14-13.26; 2.08)	4.32	0.38	1243	0.0012	0.92	62	0.4363
hsa-mir-20b		1.17 (0.65-2.22; 0.33)	0.11	1.05	1.03 (0.57-1.57; 0.26)	0.07	1.05	1415	0.1393	2.11	69	0.0385
hsa-mir-21		1.63 (0.06-10.13; 1.76)	3.09	1.18	0.76 (0.05-3.88; 0.85)	0.73	0.46	1211	0.0004	2.72	51	0.0027
hsa-mir-21		1.41 (0.61-4.95; 0.81)	0.66	1.21	0.85 (0.36-1.93; 0.36)	0.13	0.82	1171	0.0001	3.86	48	0
hsa-mir-214		0.96 (0.15-1.71; 0.4)	0.16	0.89	0.88 (0.18-1.82; 0.43)	0.19	0.91	1493	0.4945	0.91	74	0.369
hsa-mir-215		1.15 (0.46-8.22; 1.25)	1.57	0.94	0.87 (0.35-2.29; 0.43)	0.18	0.78	1394	0.0906	1.32	43	0.1736
hsa-mir-22		1.72 (0.19-5.13; 1.16)	1.34	1.66	0.91 (0.21-3.57; 0.68)	0.46	0.74	1211	0.0004	3.67	57	0.0004
hsa-mir-22		1.21 (0.54-2.48; 0.4)	0.16	1.15	0.95 (0.46-1.55; 0.31)	0.1	0.87	1281	0.0044	3.08	67	0.0018
hsa-mir-220b		1.05 (0.74-1.59; 0.2)	0.04	1.02	1.04 (0.62-1.5; 0.22)	0.05	1.02	1554	0.9512	0.3	74	0.7704
hsa-mir-220c		1 (0.46-2.11; 0.38)	0.14	0.86	1.26 (0.5-2.78; 0.59)	0.34	1.07	1742	0.0635	2.27	67	0.0252
hsa-mir-221		1.59 (0.36-10.79; 1.75)	3.06	1.16	0.88 (0.25-3.15; 0.64)	0.41	0.67	1187	0.0001	2.32	44	0.0038
hsa-mir-221		1.09 (0.8-1.68; 0.17)	0.03	1.11	1.16 (0.67-2; 0.29)	0.09	1.12	1626	0.501	1.26	63	0.2136
hsa-mir-222		1.69 (0.3-12.16; 1.97)	3.88	1.21	0.92 (0.26-3.09; 0.65)	0.42	0.73	1231	0.0008	2.25	43	0.0039
hsa-mir-223		1.34 (0.37-3.56; 0.75)	0.56	1.08	0.98 (0.25-4.26; 0.79)	0.63	0.7	1256	0.0019	2.06	74	0.0413
hsa-mir-23a		1.56 (0.12-5.59; 1.24)	1.54	1.12	0.83 (0.09-4.53; 0.98)	0.96	0.52	1218	0.0005	2.84	68	0.0051
hsa-mir-23b		1.48 (0.11-5.75; 1.25)	1.55	1.17	0.88 (0.09-5.7; 1.1)	1.22	0.46	1273	0.0034	2.23	72	0.0263
hsa-mir-24-1		1.59 (0.08-5.61; 1.34)	1.79	1.26	0.84 (0.06-4.28; 0.94)	0.89	0.37	1265	0.0026	2.83	64	0.0051
hsa-mir-24-1		1.18 (0.8-1.76; 0.21)	0.04	1.14	1.22 (0.77-2.23; 0.34)	0.11	1.1	1520	0.6834	0.56	66	0.5685
hsa-mir-25		1.44 (0.58-4.33; 0.76)	0.58	1.25	0.88 (0.3-3.81; 0.64)	0.41	0.76	1128	0	3.44	70	0.0004
hsa-mir-25		0.85 (0.42-1.23; 0.17)	0.03	0.82	1.01 (0.54-1.61; 0.21)	0.05	1.04	1864	0.0019	3.46	73	0.0007
hsa-mir-26a-1		1.47 (0.1-4.09; 1.04)	1.08	1.3	0.87 (0.08-3.13; 0.83)	0.69	0.5	1268	0.0029	2.79	68	0.007
hsa-mir-26b		1.5 (0.09-4.21; 1.08)	1.17	1.29	0.87 (0.08-2.83; 0.82)	0.67	0.49	1275	0.0037	2.86	66	0.0057
hsa-mir-27a		1.52 (0.16-4.26; 0.96)	0.92	1.31	0.79 (0.12-3.9; 0.77)	0.59	0.58	1166	0.0001	3.67	69	0.0005
hsa-mir-27b		1.56 (0.2-5.37; 1.12)	1.27	1.26	0.84 (0.13-4.54; 0.95)	0.9	0.45	1200	0.0002	2.99	70	0.0031
hsa-mir-296		0.99 (0.6-1.68; 0.24)	0.06	0.92	1.24 (0.72-2.09; 0.33)	0.11	1.18	1913	0.0003	3.87	70	0.0001
hsa-mir-296		1.5 (1.07-2.86; 0.44)	0.19	1.35	1.49 (0.99-2.6; 0.36)	0.13	1.44	1585	0.7988	0.08	70	0.9373
hsa-mir-297		1.12 (0.53-1.64; 0.25)	0.06	1.16	1.22 (0.7-2.01; 0.26)	0.07	1.2	1714	0.1164	1.78	74	0.0817
hsa-mir-298		1.02 (0.36-1.59; 0.25)	0.06	0.99	0.96 (0.39-1.52; 0.29)	0.08	0.95	1471	0.3642	1.03	74	0.3006
hsa-mir-299		0.96 (0.5-1.51; 0.31)	0.1	0.92	1.15 (0.48-2.57; 0.39)	0.15	1.1	1771	0.0315	2.35	73	0.0187
hsa-mir-299		0.89 (0.51-1.87; 0.3)	0.09	0.89	1.16 (0.46-1.94; 0.38)	0.14	1.12	1872	0.0015	3.47	72	0.0001
hsa-mir-29a		1.44 (0.07-7.81; 1.48)	2.2	1.14	0.78 (0.07-2.86; 0.71)	0.51	0.47	1314	0.0121	2.48	50	0.0101
hsa-mir-29b-1		1.45 (0.18-8.96; 1.58)	2.48	1.02	0.79 (0.1-3.09; 0.77)	0.59	0.44	1268	0.0029	2.28	51	0.0138
hsa-mir-29c		1.25 (0.23-3.8; 0.85)	0.73	1.07	0.85 (0.15-2.88; 0.71)	0.51	0.53	1313	0.0118	2.23	70	0.0285
hsa-mir-300		0.89 (0.5-1.27; 0.2)	0.04	0.91	1.09 (0.7-1.61; 0.22)	0.05	1.07	1913	0.0003	4.17	74	0.0001
hsa-mir-302c		0.99 (0.68-1.64; 0.22)	0.05	0.95	1.1 (0.61-2; 0.27)	0.07	1.02	1748	0.0553	1.95	74	0.0522
hsa-mir-302d		0.9 (0.55-1.18; 0.16)	0.02	0.93	1 (0.56-1.44; 0.2)	0.04	1.04	1789	0.0196	2.35	72	0.0207
hsa-mir-30a		1.42 (0.3-5.04; 0.96)	0.92	1.22	0.93 (0.17-4.74; 0.89)	0.79	0.61	1253	0.0017	2.33	73	0.0213
hsa-mir-30b		1.17 (0.06-4.15; 0.95)	0.9	0.95	0.91 (0.03-6.51; 1.37)	1.88	0.29	1314	0.0121	0.97	69	0.348
hsa-mir-30b		0.89 (0.43-1.3; 0.23)	0.05	0.87	1.1 (0.64-1.98; 0.28)	0.08	1.1	1879	0.0011	3.62	74	0.0001
hsa-mir-30c-1		1.25 (0.13-2.99; 0.82)	0.67	1.09	0.89 (0.11-4.48; 0.98)	0.96	0.42	1304	0.0091	1.77	74	0.0799
hsa-mir-30c-1		1 (0.57-1.47; 0.22)	0.05	0.96	1.27 (0.68-1.93; 0.3)	0.09	1.28	1959	0	4.6	71	0
hsa-mir-30c-2		1.08 (0.73-1.41; 0.17)	0.03	1.09	1.1 (0.78-1.71; 0.23)	0.05	1.07	1550	0.9188	0.47	72	0.6399
hsa-mir-30d		1.45 (0.49-5.37; 0.94)	0.88	1.21	1.09 (0.27-6.36; 1.16)	1.36	0.7	1241	0.0011	1.48	73	0.1519
hsa-mir-30e		1.47 (0.36-3.23; 0.77)	0.6	1.3	0.96 (0.2-3.25; 0.74)	0.55	0.68	1255	0.0019	2.96	73	0.0043
hsa-mir-32		1.04 (0.46-1.69; 0.3)	0.09	0.99	1.14 (0.62-1.89; 0.26)	0.07	1.12	1731	0.0813	1.47	72	0.1456
hsa-mir-320a		1.52 (0.44-3.41; 0.71)	0.51	1.33	1.12 (0.38-2.48; 0.47)	0.22	1.09	1291	0.0061	2.9	61	0.0043
hsa-mir-326		0.85 (0.46-1.66; 0.31)	0.1	0.78	1.04 (0.47-1.97; 0.31)	0.1	1.03	1836	0.0049	2.69	74	0.0085
hsa-mir-331		1.35 (0.5-3.37; 0.59)	0.34	1.21	0.96 (0.53-2.35; 0.39)	0.15	0.88	1202	0.0003	3.45	61	0.0006
hsa-mir-331		0.94 (0.58-1.53; 0.2)	0.04	0.94	1.04 (0.57-1.89; 0.29)	0.08	0.96	1690	0.185	1.8	69	0.0775
hsa-mir-338		1.19 (0.64-2.01; 0.35)	0.13	1.15	1.38 (0.51-3.21; 0.63)	0.39	1.31	1652	0.3482	1.65	62	0.1009
hsa-mir-339		1.38 (0.58-4.09; 0.85)	0.73	1.08	0.93 (0.47-3.2; 0.47)	0.22	0.82	1217	0.0005	2.8	55	0.0041
hsa-mir-340		1.15 (0.37-1.65; 0.29)	0.08	1.18	0.97 (0.44-1.97; 0.32)	0.1	0.94	1264	0.0025	2.65	74	0.0102
hsa-mir-340		0.91 (0.54-1.43; 0.22)	0.05	0.88	1.21 (0.65-2.54; 0.41)	0.17	1.15	1922	0.0002	3.97	60	0
hsa-mir-34a		1.28 (0.23-4.36; 0.75)	0.57	1.1	0.91 (0.25-3.18; 0.63)	0.39	0.65	1277	0.0039	2.35	70	0.0189
hsa-mir-34b		1.02 (0.21-1.56; 0.34)	0.11	1.08	0.89 (0.25-1.51; 0.38)	0.15	0.93	1403	0.1094	1.66	74	0.102
hsa-mir-34c		1.39 (0.4-8.53; 1.39)	1.94	0.96	1.1 (0.42-7.57; 1.26)	1.58	0.7	1348	0.0307	0.94	72	0.3799
hsa-mir-361		1.43 (1.05-2.44; 0.29)	0.09	1.37	1.53 (1.12-2.51; 0.3)	0.09	1.53	1722	0.0986	1.47	74	0.152
hsa-mir-361		1.25 (0.4-3.41; 0.51)	0.26	1.22	1.05 (0.43-2.21; 0.42)	0.17	1.03	1365	0.0468	1.92	69	0.0557
hsa-mir-365-1		1.45 (0.61-3.35; 0.63)	0.39	1.26	1.02 (0.5-3.79; 0.61)	0.38	0.83	1184	0.0001	3.05	74	0.0021
hsa-mir-371		0.81 (0.51-1.39; 0.19)	0.04	0.79	0.9 (0.51-1.93; 0.25)	0.06	0.87	1748	0.0553	1.8	73	0.0717
hsa-mir-374a		1.5 (0.33-5.22; 0.93)	0.87	1.18	0.84 (0.19-2.55; 0.59)	0.35	0.67	1199	0.0002	3.66	60	0
hsa-mir-374b		1.07 (0.31-1.36; 0.23)	0.05	1.13	1.12 (0.41-1.68; 0.37)	0.13	1.21	1698	0.1594	0.77	65	0.4363
hsa-mir-378		1.24 (0.61-2.24; 0.36)	0.13	1.13	1.23 (0.5-8.73; 1.25)	1.55	0.99	1310	0.0108	0.02	45	0.9987
hsa-mir-381		0.79 (0.18-1.29; 0.26)	0.07	0.86	0.81 (0.19-1.85; 0.36)	0.13	0.78	1563	0.9756	0.37	70	0.7234
hsa-mir-382		1.01 (0.59-1.5; 0.19)	0.04	1.03	1.11 (0.56-2.3; 0.32)	0.1	1.04	1682	0.2136	1.65	64	0.1053
hsa-mir-422a		1.48 (0.8-4.71; 0.67)	0.46	1.33	1.19 (0.86-2.66; 0.42)	0.18	1.02	1253	0.0017	2.22	59	0.0209
hsa-mir-423		0.98 (0.74-1.75; 0.2)	0.04	0.95	0.96 (0.67-1.51; 0.17)	0.03	0.92	1517	0.6611	0.52	70	0.605
hsa-mir-423		0.95 (0.71-1.28; 0.14)	0.02	0.94	1.09 (0.72-1.53; 0.21)	0.04	1.09	1851	0.003	3.42	68	0.0012
hsa-mir-424		1.31 (0.35-8.57; 1.32)	1.73	1.07	0.87 (0.27-2.46; 0.51)	0.26	0.71	1308	0.0102	1.92	45	0.0204
hsa-mir-451		1.28 (0.14-5.21; 1.28)	1.64	0.78	1 (0.09-12.4; 2.05)	4.19	0.35	1311	0.0111	0.72	66	0.523
hsa-mir-452		1.12 (0.6-3.98; 0.57)	0.32	1.02	1 (0.56-1.86; 0.28)	0.08	0.97	1452	0.2708	1.21	51	0.2426
hsa-mir-483		1.06 (0.38-1.86; 0.33)	0.11	0.99	1.19 (0.53-2.91; 0.53)	0.28	1.06	1622	0.5273	1.29	66	0.1938
hsa-mir-485		0.88 (0.5-1.41; 0.21)	0.04	0.84	1.02 (0.64-1.55; 0.23)	0.05	1.01	1807	0.0118	2.76	74	0.0079
hsa-mir-486		1.03 (0.64-1.58; 0.23)	0.05	0.99	1.18 (0.57-2.94; 0.43)	0.19	1.05	1732	0.0795	1.94	60	0.0547
hsa-mir-487b		0.93 (0.3-2.27; 0.41)	0.17	0.86	0.78 (0.2-2.73; 0.58)	0.33	0.54	1320	0.0144	1.37	70	0.1766
hsa-mir-488		1 (0.68-1.2; 0.12)	0.01	1.01	1.07 (0.6-1.5; 0.16)	0.03	1.06	1750	0.0527	2.02	71	0.0454
hsa-mir-490		0.93 (0.58-1.32; 0.18)	0.03	0.92	1.03 (0.73-1.69; 0.24)	0.06	0.99	1743	0.0621	2.21	70	0.0306
hsa-mir-490		0.94 (0.41-1.54; 0.27)	0.07	0.91	1.13 (0.45-1.79; 0.38)	0.15	1.2	1799	0.0148	2.59	69	0.0111
hsa-mir-491		1.11 (0.17-2.26; 0.43)	0.19	1.11	0.92 (0.2-2.22; 0.47)	0.22	0.89	1372	0.0553	1.77	74	0.0805
hsa-mir-492		0.94 (0.5-1.73; 0.25)	0.06	0.89	1.05 (0.53-2.28; 0.37)	0.13	0.94	1694	0.1719	1.57	69	0.1148
hsa-mir-494		0.79 (0.13-1.39; 0.31)	0.1	0.82	0.72 (0.13-1.31; 0.33)	0.11	0.68	1475	0.3861	1.03	74	0.3049
hsa-mir-498		0.94 (0.64-1.3; 0.17)	0.03	0.91	1.11 (0.65-1.6; 0.25)	0.06	1.1	1858	0.0024	3.44	67	0.0009
hsa-mir-500		1.22 (0.92-1.88; 0.22)	0.05	1.16	1.22 (0.85-2.96; 0.34)	0.11	1.15	1516	0.6537	0	67	0.9969
