Probe Set ID	test AP-2g siRNA	reference	FC	Pval	Gene Symbol
242138_at	7.561 (7.312 to 7.936)	8.346 (8.085 to 8.531)	-1.72	0.000195	DLX1
209343_at	8.213 (7.761 to 8.526)	9.053 (8.975 to 9.124)	-1.79	0.000195	EFHD1
202183_s_at	8.665 (8.245 to 8.935)	9.561 (9.479 to 9.616)	-1.86	0.000198	KIF22
240633_at	8.486 (7.99 to 8.697)	9.232 (9.027 to 9.457)	-1.68	0.000225	DOK7
201456_s_at	9.444 (8.995 to 9.944)	10.37 (10.32 to 10.52)	-1.9	0.000228	BUB3
201292_at	8.459 (7.905 to 9.009)	9.649 (9.556 to 9.819)	-2.28	0.000228	TOP2A
235564_at	7.89 (7.35 to 8.191)	6.881 (6.552 to 7.123)	2.01	0.000228	ZNF117
204446_s_at	7.076 (6.74 to 7.455)	6.307 (6.065 to 6.502)	1.7	0.000238	ALOX5
240572_s_at	7.58 (7.102 to 7.892)	8.434 (8.196 to 8.634)	-1.81	0.000245	LOC374443
219004_s_at	8.28 (7.796 to 8.586)	9.024 (8.893 to 9.174)	-1.68	0.000246	C21orf45
203554_x_at	9.842 (9.365 to 10.13)	10.86 (10.8 to 10.92)	-2.02	0.000254	PTTG1
219294_at	6.791 (6.204 to 7.158)	7.783 (7.628 to 8.022)	-1.99	0.000275	CENPQ
213711_at	9.347 (8.05 to 10.22)	11.35 (10.82 to 11.72)	-4.02	0.000275	KRT81
219540_at	9.34 (8.995 to 9.882)	8.577 (8.437 to 8.789)	1.7	0.000275	ZNF267
225710_at	7.003 (6.664 to 7.433)	7.746 (7.632 to 7.816)	-1.68	0.000276	---
236641_at	6.548 (5.846 to 6.814)	7.445 (7.281 to 7.773)	-1.86	0.000276	KIF14
212958_x_at	10.02 (9.609 to 10.46)	9.281 (9.16 to 9.422)	1.66	0.000276	PAM
235775_at	8.618 (8.028 to 9.151)	7.603 (7.382 to 7.815)	2.02	0.000303	TMTC2
1554614_a_at	6.939 (6.486 to 7.314)	7.644 (7.534 to 7.862)	-1.63	0.000312	PTBP2
202766_s_at	7.769 (7.419 to 8.203)	6.996 (6.865 to 7.101)	1.71	0.000314	FBN1
207695_s_at	8.671 (8.344 to 8.989)	7.883 (7.777 to 8.02)	1.73	0.000314	IGSF1
237435_at	4.966 (4.452 to 5.314)	5.857 (5.543 to 6.193)	-1.86	0.00032	---
213664_at	7.217 (6.915 to 7.499)	8.041 (7.747 to 8.326)	-1.77	0.000339	SLC1A1
206204_at	8.504 (8.066 to 8.96)	7.581 (7.484 to 7.723)	1.9	0.00034	GRB14
227452_at	8.499 (8.054 to 8.878)	7.675 (7.491 to 7.835)	1.77	0.000354	LOC146795
204141_at	10.49 (9.934 to 10.98)	9.332 (9.227 to 9.408)	2.23	0.000358	TUBB2A
218683_at	8.007 (7.551 to 8.345)	8.719 (8.568 to 8.903)	-1.64	0.000382	PTBP2
216568_x_at	8.948 (8.394 to 9.196)	9.683 (9.51 to 9.811)	-1.66	0.000383	KRT8
1555758_a_at	8.888 (8.197 to 9.375)	10.04 (9.935 to 10.21)	-2.23	0.000392	CDKN3
213154_s_at	8.891 (8.492 to 9.323)	8.146 (7.973 to 8.335)	1.68	0.000408	BICD2
221726_at	9.671 (9.11 to 9.878)	10.41 (10.32 to 10.52)	-1.67	0.000424	RPL22
203343_at	11.19 (10.57 to 11.7)	12.12 (12.08 to 12.23)	-1.9	0.000452	UGDH
225687_at	8.555 (8.072 to 8.979)	9.459 (9.372 to 9.526)	-1.87	0.000455	FAM83D
243349_at	7.98 (7.414 to 8.488)	9.037 (8.886 to 9.223)	-2.08	0.000502	KIAA1324
209714_s_at	8.856 (8.204 to 9.356)	10.02 (9.989 to 10.08)	-2.25	0.000505	CDKN3
204641_at	7.476 (6.768 to 7.883)	8.576 (8.38 to 8.739)	-2.14	0.000505	NEK2
231855_at	6.221 (5.84 to 6.607)	6.923 (6.782 to 7.085)	-1.63	0.000516	KIAA1524
224719_s_at	10.19 (9.526 to 10.61)	11.12 (11.05 to 11.22)	-1.9	0.000532	C12orf57
201897_s_at	10.49 (9.774 to 10.98)	11.49 (11.41 to 11.62)	-2	0.000532	CKS1B
202565_s_at	9.504 (8.784 to 9.866)	8.697 (8.534 to 8.797)	1.75	0.000573	SVIL
206364_at	7.565 (6.67 to 7.828)	8.521 (8.302 to 8.669)	-1.94	0.000574	KIF14
230165_at	7.223 (6.753 to 7.52)	7.978 (7.935 to 8.036)	-1.69	0.000594	SGOL2
219306_at	6.479 (6.086 to 6.953)	7.181 (6.995 to 7.442)	-1.63	0.000616	KIF15
209715_at	8.745 (8.077 to 9.186)	9.646 (9.445 to 9.799)	-1.87	0.000638	CBX5
219529_at	9.297 (8.481 to 9.622)	10.16 (10.06 to 10.27)	-1.82	0.000742	CLIC3
219032_x_at	9.28 (8.837 to 9.969)	8.306 (8.189 to 8.384)	1.96	0.000751	OPN3
207430_s_at	8.159 (7.778 to 9.072)	9.278 (8.789 to 9.636)	-2.17	0.00077	MSMB
211812_s_at	8.54 (8.072 to 8.963)	9.318 (9.187 to 9.404)	-1.72	0.000777	B3GALNT1
206115_at	8.24 (7.631 to 8.601)	9.176 (9.054 to 9.388)	-1.91	0.000777	EGR3
229964_at	5.972 (5.699 to 6.519)	6.675 (6.404 to 6.929)	-1.63	0.000792	C9orf152
203276_at	8.059 (7.463 to 8.44)	9.144 (8.703 to 9.497)	-2.12	0.000814	LMNB1
223374_s_at	8.7 (7.877 to 9.24)	9.63 (9.412 to 9.767)	-1.9	0.000946	B3GALNT1
229309_at	7.532 (6.81 to 7.994)	6.609 (6.318 to 6.943)	1.9	0.00101	---
232155_at	7.733 (7.233 to 8.145)	8.4 (8.199 to 8.616)	-1.59	0.00101	KIAA1618
227165_at	8.069 (7.546 to 8.408)	8.78 (8.717 to 8.828)	-1.64	0.00103	C13orf3
214710_s_at	9.655 (8.753 to 10.17)	10.72 (10.64 to 10.85)	-2.1	0.00112	CCNB1
209581_at	8.876 (8.301 to 9.369)	9.701 (9.41 to 10.02)	-1.77	0.00112	HRASLS3
204058_at	9.847 (9.265 to 10.18)	9.048 (8.719 to 9.246)	1.74	0.00112	ME1
211513_s_at	8.326 (7.979 to 8.853)	7.617 (7.519 to 7.779)	1.64	0.00113	OGFR
205110_s_at	9.166 (8.57 to 9.711)	8.331 (8.234 to 8.397)	1.78	0.00115	FGF13
202705_at	9.282 (8.559 to 9.641)	10.23 (10.18 to 10.28)	-1.93	0.00117	CCNB2
212281_s_at	8.886 (8.362 to 9.367)	9.684 (9.557 to 9.772)	-1.74	0.0012	TMEM97
228574_at	8.042 (7.38 to 8.293)	7.22 (6.923 to 7.498)	1.77	0.0012	TMTC2
228323_at	7.092 (6.548 to 7.437)	7.801 (7.71 to 7.976)	-1.63	0.00122	CASC5
213682_at	9.033 (8.676 to 9.518)	9.775 (9.567 to 9.944)	-1.67	0.00123	NUP50
226936_at	8.978 (8.277 to 9.316)	9.822 (9.677 to 9.943)	-1.8	0.00126	C6orf173
222039_at	7.627 (6.912 to 8.086)	8.415 (8.312 to 8.657)	-1.73	0.00126	SLC35E1
211379_x_at	9.178 (8.366 to 9.613)	10.03 (9.845 to 10.23)	-1.81	0.00131	B3GALNT1
225297_at	8.428 (8.068 to 8.681)	9.202 (8.878 to 9.446)	-1.71	0.00131	CCDC5
232278_s_at	6.773 (6.266 to 7.182)	7.514 (7.438 to 7.643)	-1.67	0.00131	DEPDC1
231894_at	7.987 (7.495 to 8.663)	8.789 (8.729 to 8.95)	-1.74	0.00131	SARS
211162_x_at	10.03 (9.726 to 10.7)	10.76 (10.45 to 10.99)	-1.65	0.00131	SCD
226980_at	7.245 (6.611 to 7.705)	8.031 (7.893 to 8.284)	-1.72	0.00147	DEPDC1B
203856_at	9.01 (8.362 to 9.362)	9.788 (9.687 to 9.871)	-1.72	0.00147	VRK1
224944_at	9.896 (9.259 to 10.23)	10.69 (10.45 to 10.83)	-1.73	0.00148	TMPO
203418_at	8.147 (7.455 to 8.563)	9.11 (9.095 to 9.122)	-1.95	0.00149	CCNA2
209366_x_at	10.63 (10.09 to 10.85)	11.34 (11.31 to 11.39)	-1.64	0.00151	CYB5A
210052_s_at	9.342 (8.769 to 9.682)	10.21 (10.13 to 10.27)	-1.82	0.00152	TPX2
235456_at	9.524 (8.796 to 9.969)	8.766 (8.515 to 8.919)	1.69	0.00156	---
204128_s_at	8.217 (7.562 to 8.693)	9.184 (9.122 to 9.265)	-1.95	0.00156	RFC3
201663_s_at	9.709 (9.003 to 10.1)	10.56 (10.49 to 10.66)	-1.8	0.00159	SMC4
208712_at	10.91 (10.02 to 11.24)	11.73 (11.55 to 11.86)	-1.77	0.00164	CCND1
210983_s_at	10.07 (9.464 to 10.49)	10.86 (10.7 to 10.96)	-1.73	0.00164	MCM7
213931_at	10.04 (9.403 to 10.6)	9.186 (8.844 to 9.435)	1.8	0.00167	ID2 /// ID2B
202336_s_at	10.26 (9.755 to 10.95)	9.498 (9.373 to 9.593)	1.69	0.00169	PAM
204727_at	6.125 (5.618 to 6.497)	6.852 (6.611 to 7.022)	-1.66	0.00169	WDHD1
202489_s_at	11.17 (10.1 to 11.84)	12.26 (12.13 to 12.36)	-2.12	0.00171	FXYD3
204962_s_at	8.353 (7.676 to 8.855)	9.268 (9.196 to 9.33)	-1.89	0.00177	CENPA
209172_s_at	6.085 (5.537 to 6.586)	6.871 (6.583 to 7.097)	-1.72	0.00177	CENPF
204235_s_at	10.13 (9.649 to 10.66)	9.336 (9.086 to 9.498)	1.73	0.00177	GULP1
219555_s_at	9.604 (9.073 to 10.06)	10.26 (10.1 to 10.4)	-1.57	0.00188	CENPN
209373_at	9.409 (8.599 to 10.22)	8.2 (7.862 to 8.43)	2.31	0.00192	MALL
238756_at	7.868 (7.177 to 8.175)	8.562 (8.425 to 8.799)	-1.62	0.00193	GAS2L3
201525_at	8.45 (7.767 to 9.156)	9.493 (9.418 to 9.564)	-2.06	0.00194	APOD
213624_at	8.221 (7.775 to 8.768)	8.885 (8.654 to 9.033)	-1.58	0.00194	SMPDL3A
204237_at	10.32 (9.706 to 10.76)	9.568 (9.238 to 9.857)	1.68	0.00195	GULP1
222699_s_at	11.02 (10.44 to 11.35)	11.69 (11.5 to 11.82)	-1.59	0.00198	PLEKHF2
237160_at	8.658 (8.203 to 9.274)	9.451 (9.054 to 9.705)	-1.73	0.00199	CCDC83
207843_x_at	10.65 (10.08 to 10.89)	11.37 (11.3 to 11.42)	-1.65	0.00206	CYB5A
201368_at	10.62 (10.27 to 10.99)	11.35 (10.98 to 11.58)	-1.66	0.00222	ZFP36L2
209408_at	8.294 (7.87 to 8.668)	8.959 (8.73 to 9.17)	-1.58	0.00226	KIF2C
201540_at	10.1 (9.658 to 10.86)	9.025 (8.842 to 9.204)	2.1	0.00235	FHL1
209774_x_at	9.339 (8.685 to 10.3)	8.033 (7.44 to 8.425)	2.47	0.00236	CXCL2
235113_at	9.479 (8.857 to 9.887)	10.17 (10.13 to 10.26)	-1.62	0.0024	PPIL5
203764_at	8.006 (7.102 to 8.462)	9.119 (9.036 to 9.278)	-2.16	0.00245	DLG7
208988_at	9.876 (9.348 to 10.27)	9.133 (8.803 to 9.385)	1.67	0.00249	FBXL11
228286_at	6.752 (6.228 to 7.174)	7.488 (7.398 to 7.565)	-1.670.00257	FLJ40869
226140_s_at	9.992 (9.439 to 10.6)	9.266 (8.96 to 9.462)	1.65	0.00257	OTUD1
205003_at	7.041 (6.224 to 7.554)	6.119 (5.912 to 6.299)	1.89	0.00283	DOCK4
201664_at	9.56 (8.673 to 10.03)	10.53 (10.37 to 10.66)	-1.96	0.00283	SMC4
1552619_a_at	7.735 (7.048 to 8.15)	8.505 (8.34 to 8.71)	-1.71	0.0029	ANLN
208808_s_at	10.53 (9.542 to 11.07)	11.48 (11.25 to 11.62)	-1.93	0.0029	HMGB2
204822_at	8.116 (7.205 to 8.612)	9.029 (8.879 to 9.155)	-1.88	0.0029	TTK
203967_at	7.419 (6.841 to 7.917)	8.161 (7.932 to 8.345)	-1.67	0.00296	CDC6
223839_s_at	8.515 (7.93 to 9.15)	9.283 (8.922 to 9.507)	-1.7	0.00305	---
204127_at	9.677 (8.883 to 10.09)	10.5 (10.35 to 10.6)	-1.77	0.00323	RFC3
210299_s_at	8.583 (8.092 to 9.366)	7.531 (7.331 to 7.67)	2.07	0.00328	FHL1
204444_at	7.437 (6.522 to 8.173)	8.555 (8.358 to 8.687)	-2.17	0.00329	KIF11
218640_s_at	10.76 (10.07 to 11.11)	11.53 (11.27 to 11.71)	-1.7	0.00337	PLEKHF2
215189_at	8.281 (7.639 to 9.058)	9.369 (8.818 to 9.72)	-2.12	0.00344	KRT86
202954_at	10.47 (9.761 to 10.89)	11.29 (11.28 to 11.31)	-1.77	0.00344	PAK3 /// UBE2C
202625_at	8.523 (8.092 to 8.839)	7.827 (7.427 to 8.153)	1.62	0.0036	LYN
203210_s_at	8.314 (7.646 to 8.713)	8.998 (8.808 to 9.122)	-1.61	0.0036	RFC5
1554696_s_at	8.314 (7.734 to 8.77)	9.065 (8.884 to 9.205)	-1.68	0.0036	TYMS
218723_s_at	7.819 (7.322 to 8.592)	7.013 (6.774 to 7.224)	1.75	0.00378	RGC32
224866_at	9.139 (8.492 to 9.542)	9.762 (9.588 to 9.951)	-1.54	0.00398	MLSTD2
235425_at	6.726 (6.038 to 7.007)	7.351 (7.216 to 7.502)	-1.54	0.00399	SGOL2
228281_at	7.619 (6.913 to 8.162)	8.412 (8.251 to 8.543)	-1.73	0.00401	FLJ25416
227350_at	6.15 (5.437 to 6.617)	6.923 (6.775 to 7.024)	-1.71	0.00402	HELLS
223381_at	7.186 (6.284 to 7.752)	8.183 (7.885 to 8.432)	-2	0.00413	CDCA1
203217_s_at	9.774 (9.372 to 10.4)	9.143 (8.984 to 9.269)	1.55	0.00422	ST3GAL5
222608_s_at	8.102 (7.15 to 8.56)	8.928 (8.851 to 9.16)	-1.77	0.00423	ANLN
203640_at	9.846 (9.137 to 10.37)	10.49 (10.36 to 10.64)	-1.56	0.00429	MBNL2
213088_s_at	9.855 (9.251 to 10.3)	10.55 (10.36 to 10.68)	-1.62	0.00433	DNAJC9
205909_at	7.992 (7.285 to 8.382)	8.714 (8.499 to 8.892)	-1.65	0.00433	POLE2
235419_at	8.137 (7.511 to 8.712)	7.438 (7.197 to 7.586)	1.62	0.00439	ERRFI1
205287_s_at	7.992 (7.222 to 8.65)	9.053 (8.661 to 9.395)	-2.09	0.00439	TFAP2C
229551_x_at	7.992 (6.785 to 8.377)	8.956 (8.844 to 9.099)	-1.95	0.0044	ZNF367
205234_at	6.419 (5.131 to 6.915)	7.575 (7.006 to 8.068)	-2.23	0.00454	SLC16A4
228242_at	7.103 (6.412 to 7.56)	7.779 (7.622 to 8.007)	-1.6	0.00462	---
1554768_a_at	8.994 (7.868 to 9.564)	10.16 (10.01 to 10.25)	-2.24	0.00487	MAD2L1
216237_s_at	8.061 (7.511 to 8.56)	8.814 (8.629 to 8.957)	-1.69	0.00487	MCM5
212112_s_at	10.04 (9.463 to 10.8)	9.24 (9.177 to 9.369)	1.74	0.00488	STX12
209104_s_at	12.05 (11.48 to 12.43)	12.69 (12.57 to 12.77)	-1.55	0.00489	NOLA2
222077_s_at	9.881 (8.945 to 10.29)	10.65 (10.48 to 10.79)	-1.71	0.00489	RACGAP1
244804_at	8.638 (7.969 to 9.376)	7.841 (7.781 to 7.902)	1.74	0.00492	SQSTM1
210028_s_at	8.28 (7.74 to 8.674)	8.897 (8.809 to 8.99)	-1.53	0.00504	ORC3L
218726_at	8.413 (7.987 to 8.816)	9.006 (8.842 to 9.174)	-1.51	0.00508	DKFZp762E1312
228640_at	6.434 (6.012 to 7.097)	5.733 (5.639 to 5.81)	1.63	0.00509	---
213008_at	8.448 (7.956 to 8.845)	9.095 (8.927 to 9.222)	-1.57	0.00509	KIAA1794
203362_s_at	9.725 (8.547 to 10.28)	10.78 (10.53 to 10.96)	-2.07	0.00511	MAD2L1
212185_x_at	10.73 (9.903 to 11.23)	11.7 (11.41 to 12.02)	-1.96	0.00511	MT2A
203887_s_at	9.088 (8.426 to 9.677)	8.343 (8.187 to 8.44)	1.68	0.00518	THBD
213092_x_at	7.752 (6.935 to 8.192)	8.507 (8.219 to 8.689)	-1.69	0.00531	DNAJC9
217996_at	10.67 (9.878 to 11.3)	9.815 (9.734 to 10.01)	1.81	0.00531	PHLDA1
230360_at	8.305 (7.581 to 8.918)	7.498 (7.306 to 7.685)	1.75	0.00541	GLDN
202859_x_at	12.27 (11.17 to 12.71)	11.37 (11.18 to 11.55)	1.87	0.00544	IL8
222848_at	7.84 (7.004 to 8.482)	8.752 (8.519 to 8.892)	-1.88	0.00545	CENPK
202095_s_at	8.124 (7.525 to 8.512)	8.744 (8.67 to 8.794)	-1.54	0.00552	BIRC5
227180_at	9.724 (9.07 to 10.26)	10.31 (10.11 to 10.51)	-1.49	0.00552	ELOVL7
205339_at	8.236 (7.663 to 8.64)	8.916 (8.815 to 8.987)	-1.6	0.00552	STIL
230964_at	6.561 (5.996 to 7.416)	7.375 (7.187 to 7.538)	-1.76	0.0057	FREM2
204092_s_at	9.833 (8.904 to 10.34)	10.72 (10.49 to 10.93)	-1.85	0.00572	AURKA
201041_s_at	9.897 (9.53 to 10.55)	9.273 (9.06 to 9.47)	1.54	0.00601	DUSP1
204146_at	7.7 (6.593 to 8.139)	8.645 (8.343 to 8.867)	-1.92	0.00601	RAD51AP1
218990_s_at	9.945 (8.748 to 11.45)	8.42 (8.122 to 8.693)	2.88	0.0061	SPRR3
203209_at	8.813 (8.157 to 9.257)	9.544 (9.263 to 9.74)	-1.66	0.00611	RFC5
207165_at	8.007 (6.969 to 8.576)	8.911 (8.557 to 9.192)	-1.87	0.00617	HMMR
225834_at	8.525 (7.379 to 9.15)	9.605 (9.269 to 9.839)	-2.11	0.00625	LOC652689
204472_at	9.72 (8.9 to 10.79)	8.344 (7.638 to 8.806)	2.6	0.00629	GEM
242560_at	7.81 (7.277 to 8.357)	8.495 (8.196 to 8.703)	-1.61	0.00635	FANCD2
219148_at	8.498 (7.161 to 9.155)	9.781 (9.713 to 9.83)	-2.43	0.00635	PBK
203022_at	8.961 (8.446 to 9.48)	9.63 (9.407 to 9.846)	-1.59	0.00635	RNASEH2A
201739_at	10.08 (9.237 to 10.65)	9.226 (9.033 to 9.372)	1.81	0.00635	SGK
216598_s_at	7.859 (7.436 to 8.239)	7.271 (7.084 to 7.475)	1.5	0.00637	CCL2
211623_s_at	10.29 (9.629 to 10.66)	10.92 (10.83 to 11.02)	-1.54	0.00642	FBL
218875_s_at	8.519 (7.817 to 9.038)	9.235 (9.042 to 9.376)	-1.64	0.00643	FBXO5
201539_s_at	8.311 (7.741 to 8.983)	7.67 (7.539 to 7.788)	1.56	0.00645	FHL1
224788_at	10.1 (9.534 to 10.6)	10.7 (10.52 to 10.83)	-1.52	0.00646	ARF6
204204_at	8.893 (8.593 to 9.692)	8.249 (8.103 to 8.34)	1.56	0.00646	SLC31A2
205286_at	9.629 (8.359 to 10.36)	10.88 (10.46 to 11.22)	-2.39	0.00646	TFAP2C
209464_at	7.5 (6.898 to 7.904)	8.101 (8.018 to 8.207)	-1.52	0.00684	AURKB
202413_s_at	9.893 (9.182 to 10.23)	10.5 (10.35 to 10.59)	-1.52	0.00691	USP1
226456_at	9.394 (8.783 to 9.79)	10.04 (9.791 to 10.28)	-1.57	0.00692	C16orf75
218883_s_at	9.625 (8.528 to 10.05)	10.55 (10.52 to 10.58)	-1.89	0.00695	MLF1IP
213226_at	8.242 (7.196 to 8.83)	9.161 (8.984 to 9.277)	-1.89	0.00702	CCNA2
227196_at	9.45 (8.357 to 10.07)	10.47 (10.25 to 10.65)	-2.03	0.00702	RHPN2
201563_at	8.6 (7.914 to 9.007)	9.234 (9.169 to 9.321)	-1.55	0.00702	SORD
228033_at	7.703 (7.208 to 8.145)	8.283 (8.148 to 8.506)	-1.49	0.00705	E2F7
218662_s_at	7.771 (7.087 to 8.266)	8.498 (8.414 to 8.569)	-1.66	0.00721	HCAP-G
212021_s_at	8.469 (7.883 to 8.93)	9.154 (9.11 to 9.193)	-1.61	0.00723	MKI67
223229_at	10.47 (9.6 to 10.9)	11.23 (11.07 to 11.39)	-1.7	0.00724	UBE2T
204240_s_at	8.283 (7.322 to 8.691)	9.105 (8.938 to 9.28)	-1.77	0.00736	SMC2
205016_at	8.893 (8.353 to 9.671)	8.062 (7.785 to 8.238)	1.78	0.0074	TGFA
205694_at	8.027 (7.167 to 8.384)	7.4 (7.246 to 7.516)	1.55	0.0074	TYRP1
236224_at	9.345 (9.017 to 9.985)	8.751 (8.591 to 8.93)	1.51	0.00751	RIT1
205394_at	7.228 (6.528 to 7.717)	7.931 (7.568 to 8.233)	-1.63	0.00752	CHEK1
204256_at	8.546 (7.872 to 8.914)	9.206 (8.948 to 9.393)	-1.58	0.00761	ELOVL6
