miRBase	Deregulated Target Genes	GenBank ID	d-value	q-value	Pearson correlation coefficient§	p-value§
hsa-mir-325	CCND2	NM_001759	4.54	0.001	-0.619	0.005
hsa-mir-326	YES1	NM_005433	1.927	0.025	-0.616	0.005
hsa-mir-327	C15orf24	NM_020154	2.573	0.007	-0.609	0.006
hsa-mir-328	FBXO33	NM_203301	2.505	0.008	-0.607	0.006
hsa-mir-329	RAP2C	NM_021183	1.979	0.023	-0.592	0.008
hsa-mir-330	SLC16A1	NM_003051	2.919	0.003	-0.582	0.009
hsa-mir-331	ARID5B	NM_032199	2.369	0.01	-0.535	0.018
hsa-mir-332	PHF1	NM_024165	2.152	0.016	-0.529	0.02
hsa-mir-333	CORO1C	NM_014325	2.318	0.012	-0.522	0.022
hsa-mir-334	PLK3	NM_004073	2.324	0.011	-0.507	0.027
hsa-mir-335	MLLT3	NM_004529	2.157	0.016	-0.478	0.039
hsa-mir-336	VPS37B	NM_024667	2.262	0.013	-0.466	0.044
hsa-mir-20a	FEM1C	NM_020177	3.031	0.003	-0.696	0.001
hsa-mir-20a	PRR15	NM_175887	2.678	0.006	-0.68	0.001
hsa-mir-20a	CFL2	NM_138638	2.985	0.003	-0.675	0.002
hsa-mir-20a	CCND2	NM_001759	4.54	0.001	-0.638	0.003
hsa-mir-20a	TWF1	NM_002822	2.036	0.02	-0.637	0.003
hsa-mir-20a	CDKN1A	NM_078467	2.265	0.013	-0.623	0.004
hsa-mir-20a	ADAM9	NM_003816	2.207	0.014	-0.622	0.004
hsa-mir-20a	PHTF2	NM_020432	1.859	0.029	-0.592	0.008
hsa-mir-20a	LDLR	NM_000527	2.941	0.003	-0.542	0.017
hsa-mir-20a	SMAD7	NM_005904	3.231	0.002	-0.519	0.023
hsa-mir-20a	FURIN	NM_002569	2.411	0.01	-0.477	0.039
hsa-mir-20a	YES1	NM_005433	1.927	0.025	-0.469	0.043
hsa-mir-20a	USP31	NM_020718	1.766	0.035	-0.46	0.048
hsa-mir-133b	SGK1	NM_005627	4.143	0.001	-0.571	0.011
hsa-mir-133b	ANKRD28	NM_015199	1.825	0.031	-0.57	0.011
hsa-mir-133b	BTBD3	NM_014962	2.541	0.007	-0.548	0.015
hsa-mir-133b	EIF4A1	NM_001416	1.862	0.029	-0.537	0.018
hsa-mir-133b	GABARAPL1	NM_031412	2.958	0.003	-0.514	0.025
hsa-mir-133b	TAGLN2	NM_003564	2.143	0.016	-0.511	0.025
hsa-mir-133b	ARFIP2	NM_012402	1.851	0.029	-0.507	0.027
hsa-mir-135b	PELI1	NM_020651	6.789	0	-0.577	0.01
hsa-mir-135b	ORMDL2	NM_014182	3.4	0.001	-0.559	0.013
hsa-mir-126	UBQLN2	NM_013444	2.161	0.016	-0.614	0.005
hsa-mir-127	PHF15	NM_015288	2.094	0.018	-0.597	0.007
hsa-mir-214	RASSF5	NM_182663	1.957	0.024	-0.724	0.0005
hsa-mir-215	PLAGL2	NM_002657	2.005	0.022	-0.626	0.004
hsa-mir-216	CDC42SE1	NM_001038707	3.063	0.003	-0.614	0.005
hsa-mir-217	FAM53C	AF251040	2.245	0.013	-0.55	0.015
hsa-mir-218	CHMP4B	NM_176812	1.928	0.025	-0.545	0.016
hsa-mir-19b	SGK1	NM_005627	4.143	0.001	-0.711	0.001
hsa-mir-19b	IGF1	NM_001111283	3.379	0.001	-0.707	0.001
hsa-mir-19b	FEM1C	NM_020177	3.031	0.003	-0.678	0.001
hsa-mir-19b	PHTF2	NM_020432	1.859	0.029	-0.639	0.003
hsa-mir-19b	CCND2	NM_001759	4.54	0.001	-0.622	0.004
hsa-mir-19b	ZER1	NM_006336	1.914	0.026	-0.543	0.016
hsa-mir-19b	RAPH1	NM_213589	2.949	0.003	-0.538	0.017
hsa-mir-19b	KRAS	NM_033360	1.997	0.022	-0.528	0.02
hsa-mir-10a	BACH2	NM_021813	1.89	0.027	-0.654	0.002
hsa-mir-10a	TMEM183B	NM_001079809	2.489	0.008	-0.55	0.015
hsa-mir-10a	KLF11	NM_003597	2.168	0.015	-0.53	0.02
hsa-mir-10a	TMEM183A	NM_138391	2.664	0.006	-0.525	0.021
hsa-mir-15a	KDSR	NM_002035	3.507	0.001	-0.686	0.001
hsa-mir-15a	CCDC6	NM_005436	2.855	0.004	-0.699	0.001
hsa-mir-15a	TRAK1	NM_001042646	3.681	0.001	-0.633	0.004
hsa-mir-15a	PI4KB	NM_002651	2.023	0.021	-0.611	0.005
hsa-mir-15a	KLHL18	NM_025010	2.08	0.018	-0.601	0.006
hsa-mir-15a	ZER1	NM_006336	1.914	0.026	-0.564	0.012
hsa-mir-15a	ARHGDIA	NM_004309	1.902	0.026	-0.534	0.019
hsa-mir-15a	YWHAH	NM_003405	2.864	0.004	-0.52	0.02
hsa-mir-15a	CPEB2	NM_182485	4.566	0.001	-0.517	0.023
hsa-mir-15a	SMAD7	NM_005904	3.231	0.002	-0.517	0.023
hsa-mir-15a	PHF15	NM_015288	2.094	0.018	-0.491	0.033
hsa-mir-15a	PIM1	NM_002648	2.834	0.004	-0.486	0.035
hsa-mir-15a	CCND2	NM_001759	4.54	0.001	-0.474	0.04
hsa-mir-15a	FAM60A	NM_021238	2.615	0.006	-0.472	0.041
hsa-mir-133a	SGK1	NM_005627	4.143	0.001	-0.575	0.01
hsa-mir-133a	EIF4A1	NM_001416	1.862	0.029	-0.548	0.015
hsa-mir-133a	RAPH1	NM_213589	2.949	0.003	-0.491	0.033
hsa-mir-133a	GABARAPL1	NM_031412	2.958	0.003	-0.484	0.036
hsa-mir-133a	RAP2C	NM_021183	1.979	0.023	-0.471	0.042
hsa-mir-133a	SEC61B	NM_006808	2.027	0.021	-0.462	0.046
hsa-mir-139	RBM9	NM_001082578	2.93	0.003	-0.588	0.008
hsa-mir-140	SOCS2	NM_003877	2.473	0.008	-0.499	0.03
hsa-mir-10b	KLF11	NM_003597	2.168	0.015	-0.593	0.007
hsa-mir-10b	RNF7	NM_014245	2.93	0.003	-0.561	0.013
hsa-mir-10b	YOD1	NM_018566	2.077	0.019	-0.49	0.033
hsa-mir-10b	TMEM183A	NM_138391	2.664	0.006	-0.48	0.038
hsa-mir-95	PRKCA	NM_002737	1.735	0.037	-0.51	0.026
hsa-mir-126	UBQLN2	NM_013444	2.161	0.016	-0.614	0.005
hsa-mir-127	PHF15	NM_015288	2.094	0.018	-0.597	0.007
hsa-mir-186	BTBD3	NM_014962	2.541	0.007	-0.702	0.001
hsa-mir-187	CDC42	NM_044472	1.975	0.023	-0.584	0.009
hsa-mir-188	UBE2B	NM_003337	1.941	0.024	-0.585	0.009
hsa-mir-189	FBXO33	NM_203301	2.505	0.008	-0.531	0.019
hsa-mir-190	MLLT3	NM_004529	2.157	0.016	-0.495	0.031
hsa-mir-191	PHTF2	NM_020432	1.859	0.029	-0.462	0.046
hsa-mir-19a	IGF1	NM_001111283	3.379	0.001	-0.693	0.001
hsa-mir-19a	FEM1C	NM_020177	3.031	0.003	-0.708	0.001
hsa-mir-19a	KRAS	NM_033360	1.997	0.022	-0.625	0.004
hsa-mir-19a	PHTF2	NM_020432	1.859	0.029	-0.634	0.004
hsa-mir-19a	CCND2	NM_001759	4.54	0.001	-0.577	0.01
hsa-mir-19a	MAPK6	NM_002748	1.936	0.025	-0.56	0.013
hsa-mir-19a	VPS37B	NM_024667	2.262	0.013	-0.552	0.014
hsa-mir-19a	PPTC7	NM_139283	2.388	0.01	-0.459	0.048
hsa-mir-19a	WEE1	NM_003390	1.967	0.023	-0.459	0.048
hsa-mir-451	SAMD4B	NM_018028	2.97	0.003	-0.474	0.04
hsa-mir-453	PIGA	NM_002641	1.734	0.037	-0.726	0.0004
hsa-mir-454	LRIG3	NM_153377	3.512	0.001	-0.656	0.002
hsa-mir-455	GNAL	NM_182978	2.146	0.016	-0.645	0.003
hsa-mir-456	ARID3B	NM_006465	2.416	0.009	-0.562	0.012
hsa-mir-457	RNF7	NM_014245	2.93	0.003	-0.543	0.016
hsa-mir-458	MAPK6	NM_002748	1.936	0.025	-0.507	0.027
hsa-mir-459	BZW2	NM_014038	2.699	0.005	-0.49	0.033
hsa-mir-460	CPEB2	NM_182485	4.566	0.001	-0.469	0.043
hsa-mir-140	PELI1	NM_020651	6.789	0	-0.781	0.000078
hsa-mir-141	HMGN3	NM_004242	2.324	0.011	-0.612	0.005
hsa-mir-142	RAB36	NM_004914	2.566	0.007	-0.591	0.008
hsa-mir-143	ADAM9	NM_003816	2.207	0.014	-0.537	0.018
hsa-mir-125a	MEF2D	NM_005920	1.866	0.029	-0.64	0.003
hsa-mir-125a	SLCO3A1	NM_013272	3.112	0.002	-0.611	0.005
hsa-mir-125a	EAF1	NM_033083	2.875	0.004	-0.567	0.011
hsa-mir-125a	MKNK2	NM_199054	2.588	0.007	-0.512	0.025
hsa-mir-125a	PHF15	NM_015288	2.094	0.018	-0.51	0.026
hsa-mir-125a	ARID3B	NM_006465	2.416	0.009	-0.497	0.03
hsa-mir-125a	IER3IP1	NM_016097	2.224	0.014	-0.475	0.04
hsa-mir-125a	GAB2	NM_080491	2.175	0.015	-0.46	0.048
hsa-mir-362	FAM53C	AF251040	2.245	0.013	-0.745	0.0002
hsa-mir-363	RNF7	NM_014245	2.93	0.003	-0.65	0.003
hsa-mir-364	RNF19B	NM_153341	2.626	0.006	-0.524	0.02
hsa-mir-365	ECOP	NM_030796	1.799	0.032	-0.456	0.05
hsa-mir-33	CPEB2	NM_182485	4.566	0.001	-0.503	0.03
hsa-mir-223	PELI1	NM_020651	6.789	0	-0.652	0.003
hsa-mir-224	DUSP10	NM_007207	4.371	0.001	-0.642	0.003
hsa-mir-225	STIM1	NM_003156	2.77	0.005	-0.558	0.01
hsa-mir-224	KDSR	NM_002035	3.507	0.001	-0.598	0.007
hsa-mir-225	ZBTB43	NM_014007	3.304	0.002	-0.456	0.05
hsa-mir-226	MAD2L1BP	NM_014628	2.396	0.01	-0.667	0.002
hsa-mir-227	KLF11	NM_003597	2.168	0.015	-0.663	0.002
hsa-mir-228	UBQLN2	NM_013444	2.161	0.016	-0.5	0.03
hsa-mir-229	YOD1	NM_018566	2.077	0.019	-0.594	0.007
hsa-mir-230	PANX1	NM_015368	1.922	0.025	-0.471	0.04
hsa-mir-221	CAMSAP1L1	NM_203459	3.239	0.002	-0.769	0.0001
hsa-mir-222	UBE2E3	NM_182678	3.09	0.002	-0.596	0.007
hsa-mir-223	PPTC7	NM_139283	2.388	0.01	-0.475	0.04
hsa-mir-30e	CFL2	NM_138638	2.985	0.003	-0.644	0.003
hsa-mir-374	GADD45A	NM_001924	7.354	0	-0.63	0.004
hsa-mir-375	PELI1	NM_020651	6.789	0	-0.643	0.003
hsa-mir-376	TMSB10	NM_021103	3.678	0.001	-0.472	0.042
hsa-mir-377	CAMSAP1L1	NM_203459	3.239	0.002	-0.571	0.01
hsa-mir-378	PIGW	NM_178517	2.539	0.007	-0.533	0.02
hsa-mir-379	MAPK6	NM_002748	1.936	0.025	-0.481	0.04
hsa-mir-381	LRIG3	NM_153377	3.512	0.001	-0.608	0.006
hsa-mir-382	RNF7	NM_014245	2.93	0.003	-0.609	0.006
hsa-mir-383	BZW2	NM_014038	2.699	0.005	-0.537	0.018
hsa-mir-384	GNAL	NM_182978	2.146	0.016	-0.647	0.003
hsa-mir-385	PLAGL2	NM_002657	2.005	0.022	-0.506	0.03
hsa-mir-386	PIGA	NM_002641	1.734	0.037	-0.687	0.001
hsa-mir-130a	CFL2	NM_138638	2.985	0.003	-0.461	0.05
hsa-mir-130a	C18orf1	NM_181481	2.669	0.006	-0.637	0.003
hsa-mir-130a	PIK3IP1	NM_052880	2.201	0.014	-0.546	0.015
hsa-mir-130a	BACH2	NM_021813	1.89	0.027	-0.487	0.034
