Cluster	Symbol	UGCluster	Clone ID	P-value	P-value
4	ABCC3	Hs.463421	208097	1,00E-07	1,00E-07
4	CDH3	Hs.461074	359051	1,00E-07	1,00E-07
4	CITED1	Hs.40403	265558	1,00E-07	1,00E-07
4	CLDN1	Hs.439060	594279	1,00E-07	1,00E-07
4	DPP4	Hs.368912	343987	1,00E-07	1,00E-07
4	DUSP5	Hs.2128	33285	1,00E-07	1,00E-07
4	NOTCH2	Hs.487360	1641901	1,00E-07	1,00E-07
4	QPCT	Hs.79033	711918	1,00E-07	1,00E-07
4	S100A4	Hs.654444	868577	1,00E-07	1,00E-07
4	SCEL	Hs.534699	668239	1,00E-07	1,00E-07
4	SLPI	Hs.517070	378813	1,00E-07	1,00E-07
4	TESC	Hs.525709	745490	1,00E-07	1,00E-07
4	TIMP1	Hs.522632	162246	1,00E-07	1,00E-07
4	MGAT3	Hs.276808	731060	1,00E-07	8,00E-07
4	MDK	Hs.82045	309009	2,00E-07	1,00E-07
4	BID	Hs.591054	128065	6,00E-07	1,00E-07
4	NRIP1	Hs.155017	38775	6,00E-07	1,00E-07
4	COL8A2	Hs.353001	486204	1,00E-06	1,00E-07
4	MRC2	Hs.7835	235882	1,60E-06	9,00E-07
4	STAT1	Hs.699271	110101	2,10E-06	1,00E-07
4	ARMCX3	Hs.592225	251452	2,40E-06	1,00E-07
4	LAMB3	Hs.497636	1103402	9,90E-06	1,00E-07
4	CD55	Hs.527653	627107	1,30E-05	1,00E-07
5	DUS4L	Hs.97627	726904	1,00E-07	1,00E-07
5	ESRRG	Hs.444225	44064	1,00E-07	1,00E-07
5	ISG20	Hs.459265	740604	1,00E-07	1,00E-07
5	ROR2	Hs.644776	1089025	1,00E-07	1,00E-07
5	S100A11	Hs.417004	143957	1,00E-07	1,00E-07
5	SEMA4D	Hs.655281	210587	1,00E-07	1,00E-07
5	CD58	Hs.34341	2103105	1,00E-07	2,00E-07
5	IRF9	Hs.1706	724588	1,10E-06	3,20E-06
5	MCOLN1	Hs.631858	726156	2,00E-06	2,00E-07
5	ITGB7	Hs.654470	1337232	1,09E-05	2,90E-06
