Gene name	Gene Symbol	GenBank Number	Median basal expression
lecithin-cholesterol acyltransferase	LCAT	M12625	447.76
Luteinizing hormone receptor	LHCGR	M63108	18856.12
lysyl oxidase	LOX	S78694	698.52
metallothionin-IIA (MT-IIA)	MT-IIA	J00271	11946.92
MLSN1	MLSN1	AF071787	797.07
MMP-1 (collagenase 1)	MMP1	XO5231	9955.06
MTR1 / TRPR3	MTR1 / TRPR3	AF177473	459.66
NAD(P) dependent steroid dehydrogenase-like	H105E3	U47105	2587.81
NAD(P)H menadione oxidoreductase 2 dioxin-inducible	NMOR2	J02888	739.25
NFATc	NFATc	U08015	2128.34
NFkB inhibtor alpha	NFKBIA (IkBa)	M69043	1196.53
NFkB inhibtor beta	NFKBIB	L40407	417.59
NFkB inhibtor-like1	NFkBIL1	X77909	338.22
NFkB related 1	NFkB1 (p105)	M58603	7189.69
NFkB related 2	NFkB2 (p49/p100)	X61499	640.21
NFkB related 3	NFkB3 (relA/p65)	L19607	743.52
nuclear receptor binding protein	NRBP	AF113249	1425.01
nuclear receptor coactivator 1	NCOA1	U40396	17143.91
nuclear receptor coactivator 2	NCOA2	X97674	14981.32
nuclear receptor coactivator 4	NCOA4	AL162047	881.89
nuclear receptor co-repressor 2	NCOR2	AF113003	488.78
nuclear receptor interacting protein 1	NRIP1	X84373	265.5
nuclear receptor subfamily 0 group B member 2	NR0B2	AF044316	12706.13
nuclear receptor subfamily 0 group B member 1	NR0B1	U31929	295.14
nuclear receptor subfamily 1 group D member 1	NR1D1	M24898	1467.51
nuclear receptor subfamily 1 group H member 4	NR1H4	U68233	350.43
nuclear receptor subfamily 1 group H member 3	NR1H3	U22662	761.27
nuclear receptor subfamily 1 group H member 2	NR1H2	U07132	573.25
nuclear receptor subfamily 1 group I member 3	NR1I3	Z30425	479.7
nuclear receptor subfamily 2 group C member 2	NR2C2	L27586	68152.55
nuclear receptor subfamily 2 group F member 1	NR2F1	X12795	2695.56
nuclear receptor subfamily 2 group C member 1	NR2C1	M29960	786.81
nuclear receptor subfamily 2 group E member 1	NR2E1	Y13276	16953.97
nuclear receptor subfamily 2 group E member 3	NR2E3	AF121129	944.66
nuclear receptor subfamily 2 group F member 6	NR2F6	X12794	14829.47
nuclear receptor subfamily 3 group C member 1	NR3C1	M10901	431.95
nuclear receptor subfamily 3 group C member 2	NR3C2	M16801	407.21
nuclear receptor subfamily 4 group A member 2	NR4A2	X75918	36769.23
nuclear receptor subfamily 4 group A member 1	NR4A1	L13740	10733.8
nuclear receptor subfamily 4 group A member 3	NR4A3	D78579	5779.9
nuclear receptor subfamily 5 group A member 1	NR5A1 (SF1)	U76388	2722.07
nuclear receptor subfamily 5 group A member 2	NR5A2	U80215	305.43
orphan nuclear receptor	PAR1	AF084645	421.63
oxysterol 7 alpha-hydroxylase	CYP7B1	AF127090	4650.04
Oxysterol 7a-hydroxylase	CYP39A1	AF237982	6972.94
Oxysterol binding protein	OSBP	M86917	1326
Oxysterol binding protein like	OSBPL1	AF323731	439.05
p53	p53	U94788	328.11
p57Kip2	P57K2	U22398	964.62
Patched	PTCH	U59464	442.47
Patched2	PTCH2	AF091501	410.57
peroxisome proliferative activated receptor delta	PPARD	LO7592	690.38
PPAR gamma coactivator 1	PPARGC1	AF106698	339.98
peroxisome proliferator activator receptor-gamma 2	PPARg2	L40904	587.63
P-glycoprotein 1	ABCB1 / PGY1	AF016535	48516.63
P-glycoprotein 3	ABCB4 / PGY3	M23234	410.64
Phospholipid transfer protein	PLTP	L26232	1833.37
Phosphomevalonate kinase	PMVK	L77213	623.01
PPAR binding protein	PPARBP	Y13467	352.99
PPAR gamma angiopoetin related protein	PGAR	AF153606	873.73
progesterone binding protein		Y12711	868.37
progesterone membrane binding protein	PMBP	AJ002030	362.84
Progesterone receptor	PGR	M15716	519.61
prostaglandin I2 (prostacyclin) synthase	PTGIS	D38145	866.36
RAR-related orphan receptor 3	RORC	U16997	325.64
retinoic acid receptor alpha	RARa	AF088895	1016.26
retinoic acid receptor beta 4	RARb4	AF157483	313.45
retinoic acid receptor gamma	RARg	M38258	2679.03
Retinoid X receptor beta	RXRB	AL031228	967.64
Retinoid X receptor gamma	RXRG	U38480	680.32
Retinoid X receptor alpha	RXRA	NM_002957	308.63
Retinoid-related orphan receptor alpha1	RORalpha1	U04897	482.83
Retinoid-related orphan receptor B	RORB	Y08639	329.26
RoDH 3alpha epimerase/steroid dehydrogenase	RODH	U89281	10941.89
serine/threonine kinase 19	STK19	L26260	3376.8
sex hormone-binding globulin	SHBG	X16349	523.38
site-1protease subtilisin-like sterol-regulated cleaves sterol regulatory element binding proteins	S1P	D42053	726.05
Smoothened	SMOH	AH007453	8472.7
Sonic Hedgehog	SHH	L38518	333.64
Squalene epoxidase	SQLE	D78130	14531.17
SREBP cleavage activating protein	SCAP	D78130	1134.43
Steroid 11beta-hydroxylase 2 (aldo synth)	CYP11B2	X54741	7530.58
steroid 17-alpha-hydroxylase	CYP17	M14564	250.25
Steroid 27-hydroxylase	CYP27A1	M62401	333.91
steroid 5-beta-reductase	AKR1D1	Z28339	7681.88
steroid dehydrogenase homolog	LOC51144	AF078850	570.55
Steroid sulfatase	STS	M16505	1234.18
steroidogenic acute regulatory protein	STAR	U17280	474.08
steroidogenic acute regulatory protein related	MLN64	D38255	387.71
Sterol 12-alpha-hydroxylase	CYP8B1	AF090320	319.36
Sterol carrier protein	SCP2	M75884	803.66
sterol esterase	LIPA	M74775	26642.91
Sterol O-acyltransferase	SOAT1	L21934	810.52
Sterol-C4-methyl oxidase-like	SC4MOL	U02031	1660
Sterol-C5-desaturase	SC5DL	U60205	445.72
sulfotransferase family cytosolic 1A phenol-preferring member 2	SULT1A2	U34804	4577.52
Thyroid hormone receptor alpha2	THRA2	J03239	23314.26
Thyroid hormone receptor beta	THRB	X047707	8931.48
TM7SF2	TM7SF2	AF023676	1065.36
TRPC7	TRPC7	AB001535	401.85
tumour necrosis factor	TNF	M10988	406.83
unactive progesterone receptor 23 kD	P23	L24804	953.86
very low-density lipoprotein receptor	VDLR	S73849	8277.48
Vitamin D 24-hydroxylase	CYP24	L13286	272.84
Vitamin D receptor	VDR	JO3258	356.03
