GenBank	Description	Time (hr)	Mean ratio	Function
AA045013	G protein alpha -inhibiting activity polypeptide 2	2, 6	0.66, 0.61	Signal transduction
R25530	GABA A receptor, Alpha 1	2	1.09	Signal transduction
R35346	GABA A receptor, Alpha 5	2	1.12	Signal transduction
H63532	GABA A receptor, epsilon subunit	2	0.67	Signal transduction
AA053124	Heparin -binding EGF -like growth factor	2	2.4	Signal transduction
AA084517	HSP40 homolog	2	0.55	Signal transduction
AA046719	Insulin -induced gene 1; INSIG1	2, 4	1.64, 2.11	Signal transduction
AA007569	Insulin induced gene -1; INSIG1	2	1.97	Signal transduction
R39575	Interleukin 1 receptor, type II	4	3.02	Signal transduction
W47225	Interleukin 1, beta	2, 4	2.21, 1.97	Signal transduction
H43839	Latent transforming growth factor beta binding protein 2	24	0.6	Signal transduction
AA055059	MacMarcks	24	0.58	Signal transduction
AA034481	Mannose -6 -phosphate receptor	2	0.69	Signal transduction
R59864	MAP kinase phosphatase 3; DUSP6	2	2.18	Signal transduction
AA055467	Ornithine decarboxylase 1	2	1.39	Signal transduction
R15351	Protein kinase C binding protein	2	0.67	Signal transduction
AA005215	Protein kinase C delta	2	1.41	Signal transduction
H84974	Protein kinase, cAMP -dependent, regulatory, type II, beta	6, 24	1.70, 2.28	Signal transduction
N50894	Protein tyrosine phosphatase, receptor type, Z polypeptide 1	6	1.71	Signal transduction
AA047066	PTEN -induced putative kinase 1	6	0.59	Signal transduction
N23875	Serine / threonine protein kinase 4; Krs2	4, 6	1.93, 1.75	Signal transduction
N77456	Serum / glucocorticoid – regulated kinase; SGK	2, 6	0.58, 0.56	Signal transduction
N56944	Thioredoxin reductase I	2, 6	0.70, 0.56	Signal transduction
AA187644	Thioredoxin reductase I	6	0.58	Signal transduction
H51007	Tyrosine phosphatase ( IA 2 / PTP )	24	1.92	Signal transduction
R07707	Tyrosine phosphatase nonreceptor -type, 1	2, 4, 6, 24	1.96, 2.54, 1.92, 1.83	Signal transduction
AA053973	Ubiquitin conjugating enzyme ( E2B )	6	0.55	Signal transduction
AA100382	Amyloid beta ( A4 ) precursor protein	2, 6	1.03, 1.17	Extracellular matrix
H44575	BPAG1 ( plectin )	2, 4, 6	0.62, 0.52, 0.51	Extracellular matrix
R54968	Collagen, type XVI, alpha 1	2, 4, 6, 24	1.68, 2.34, 2.13, 2.03	Extracellular matrix
AA159273	Collagen, type VII, alpha	6	0.53	Extracellular matrix
AA069027	Integrin, alpha 2 ( CD49B, alpha 2 subunit of VLA 2 receptor )	6	0.52	Extracellular matrix
AA001432	Laminin alpha 3 ( LamA3 )	24	0.49	Extracellular matrix
AA076664	Laminin, beta 3 ( nicein ( 125 kDa ), kalinin ( 140 kDa )	24	0.63	Extracellular matrix
AA055478	Laminin, alpha 4	4	2.5	Extracellular matrix
AA055637	S100A2	6	0.59	Extracellular matrix
AA040600	AMP -activated protein kinase, gamma 1 subunit	6, 24	0.59, 0.28	Metabolism
AA054748	Aldehyde dehydrogenase 6	24	0.38	Metabolism
W79785	Aldehyde dehydrogenase 8	24	2.57	Metabolism
T62755	Apolipoprotein A 1 precursor; APOA1	4	0.54	Metabolism
R63185	Apolipoprotein E receptor 2	4, 6	2.20, 1.60	Metabolism
	Corticosteroid binding globulin	24	1.7	Metabolism
AA418907	Cytochrome P450 IA1	4	0.43	Metabolism
N98684	Cytochrome c oxidase subunit VIc	24	0.61	Metabolism
AA040872	Cytochrome P450 IB1 ( dioxin inducible )	4, 6	0.44, 0.54	Metabolism
H05935	Cytochrome P450, subfamily XXVII A	2, 4, 6	1.72, 1.24, 1.28	Metabolism
AA574223	Glutathione reductase	2	1.15	Metabolism
H65189	Glycogen synthase kinase -3beta; GSK3B	4	2.28	Metabolism
AA004597	Heat shock protein 70 related protein	6	1.7	Metabolism
AA043817	Leptin receptor	2, 24	1.48, 0.54	Metabolism
T74249	Leptin receptor	6	0.6	Metabolism
T68228	Low density lipoprotein receptor -related protein 6	2	1.69	Metabolism
AA037443	Metallothionein 2A	6	0.55	Metabolism
W73203	Metallothionein 1e gene ( MT 1e )	6	0.56	Metabolism
H77597	Metallothionein 1H	6	0.6	Metabolism
N77931	N -acetylglucosaminidase, alpha ( Sanfilippo disease IIIB )	6	0.55	Metabolism
H25860	NAD( P )H dehydrogenase	24	1.68	Metabolism
AA025552	NADPH flavin reductase	6	0.6	Metabolism
AA046316	Phospholipid hydroperoxide; glutathione peroxidase 4	2, 6	0.68, 0.50	Metabolism
H84974	Protein kinase, cAMP dependent, regulatory, type II, beta	4	2.52	Metabolism
H25590	Serum amyloid protein precursor	4, 24	0.53, 0.56	Metabolism
W45418	S -adenosylmethionine decarboxylase	4	1.86	Metabolism
H11561	Thioredoxin reductase 1	4, 6	0.6, 0.52	Metabolism
	EST	2	1.26	EST and others
T90376	EST	2, 6	1.61, 1.09	EST and others
W73510	EST	4	0.49	EST and others
AA058510	EST	4	0.55	EST and others
R10161	EST	4	2.09	EST and others
AA010416	EST	4, 24	0.64, 0.57	EST and others
AA039870	EST	6	2.13	EST and others
W84634	EST	4	1.91	EST and others
H79617	Est	2, 4, 6	0.69, 0.55, 0.53	EST and others
R83223	EST	4	1.32	EST and others
AA058704	EST similar to MAP kinase phosphatase I	6	0.62	EST and others
R97218	EST similar to TVHUME	2, 4	1.09, 1.35	EST and others
R39317	EST similar to tyrosine kinase receptor, ephrin B3	2	1.62	EST and others
	EST, clone ID 530030	6	1.33	EST and others
H98630	EST, hypothetical protein FLJ20287	6	1.69	EST and others
T66824	EST, similar to complement C3b / C4b receptor -like precursor	6	1.67	EST and others
AA081098	EST, similar to GA binding protein beta 2 chain	2	1.05	EST and others
H73129	EST, similar to p300 / CBP	4	3.26	EST and others
W85846	EST, similar to IL1 receptor accessory protein precursor	2, 6	1.83, 2.00	EST and others
W24201	ESTs similar to ROS1 oncogene	6	1.7	EST and others
R01478	ESTs, moderately similar to I78855 serine / threonine – specific protein kinase	4, 24	2.12, 1.94	EST and others
	Histone deacetylase 3	2	1.68	EST and others
N47581	Imprinted in Prader -Willi syndrome	2	1.17	EST and others
AA044722	Signal sequence receptor, beta	2	1.54	EST and others
R79560	Tight junction protein 1 ( zona occludens 1 )	2, 4	1.52, 1.44	EST and others
AA035626	Vacuolar sorting protein 33B	6	0.61	EST and others
