Probe Set ID	Gene Symbol	Gene Name	Chromosomal location	SNR	Upregulated in
214053_at	ERBB4	v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)	2q33.3-q34	-0.5	nonMBC
219304_s_at	PDGFD	platelet derived growth factor D	11q22.3	-0.5	nonMBC
206070_s_at	EPHA3	EPH receptor A3	3p11.2	-0.5	nonMBC
208370_s_at	RCAN1	regulator of calcineurin 1	21q22.1-q22.2|21q22.12	-0.5	nonMBC
203813_s_at	SLIT3	slit homolog 3 (Drosophila)	5q35	-0.5	nonMBC
1554127_s_at	MSRB3	methionine sulfoxide reductase B3	12q14.3	-0.5	nonMBC
235569_at	VPS37D	vacuolar protein sorting 37 homolog D (S. cerevisiae)	7q11.23	-0.51	nonMBC
220765_s_at	LIMS2	LIM and senescent cell antigen-like domains 2	2q14.3	-0.51	nonMBC
226726_at	MBOAT2	membrane bound O-acyltransferase domain containing 2	2p25.1	-0.51	nonMBC
222436_s_at	VPS24	vacuolar protein sorting 24 homolog (S. cerevisiae)	2p24.3-p24.1	-0.51	nonMBC
204922_at	C11orf80	chromosome 11 open reading frame 80	11q13.1	-0.51	nonMBC
201655_s_at	HSPG2	heparan sulfate proteoglycan 2	1p36.1-p34	-0.51	nonMBC
207292_s_at	MAPK7	mitogen-activated protein kinase 7	17p11.2	-0.51	nonMBC
223340_at	ATL1	atlastin GTPase 1	14q22.1	-0.51	nonMBC
243463_s_at	RIT1	Ras-like without CAAX 1	1q22	-0.51	nonMBC
225627_s_at	CACHD1	cache domain containing 1	1p31.3	-0.51	nonMBC
224597_at	LOC647979	hypothetical protein LOC647979	-	-0.51	nonMBC
1552658_a_at	NAV3	neuron navigator 3	12q14.3	-0.51	nonMBC
200675_at	CD81	CD81 molecule	11p15.5	-0.51	nonMBC
212372_at	MYH10	myosin, heavy chain 10, non-muscle	17p13	-0.51	nonMBC
56197_at	PLSCR3	phospholipid scramblase 3	17p13.1	-0.51	nonMBC
203935_at	ACVR1	activin A receptor, type I	2q23-q24	-0.51	nonMBC
226380_at	PTPN21	protein tyrosine phosphatase, non-receptor type 21	14q31.3	-0.51	nonMBC
225165_at	PPP1R1B	protein phosphatase 1, regulatory (inhibitor) subunit 1B	17q12	-0.52	nonMBC
218941_at	FBXW2	F-box and WD repeat domain containing 2	9q34	-0.52	nonMBC
208661_s_at	TTC3	tetratricopeptide repeat domain 3	21q22.2	-0.52	nonMBC
225825_at	C20orf194	chromosome 20 open reading frame 194	20p13	-0.52	nonMBC
209360_s_at	RUNX1	runt-related transcription factor 1	21q22.3	-0.52	nonMBC
213313_at	RABGAP1	RAB GTPase activating protein 1	9q33.2	-0.52	nonMBC
201125_s_at	ITGB5	integrin, beta 5	3q21.2	-0.52	nonMBC
203036_s_at	MTSS1	metastasis suppressor 1	8p22	-0.52	nonMBC
201261_x_at	BGN	biglycan	Xq28	-0.53	nonMBC
214469_at	HIST1H2AE	histone cluster 1, H2ae	6p22.2-p21.1	-0.53	nonMBC
209070_s_at	RGS5	regulator of G-protein signaling 5	1q23.1	-0.53	nonMBC
204776_at	THBS4	thrombospondin 4	5q13	-0.53	nonMBC
226065_at	PRICKLE1	prickle homolog 1 (Drosophila)	12q12	-0.53	nonMBC
228158_at	LOC645166	similar to lymphocyte-specific protein 1	1q21.1	-0.53	nonMBC
202143_s_at	COPS8	COP9 constitutive photomorphogenic homolog subunit 8 (Arabidopsis)	2q37.3	-0.53	nonMBC
217744_s_at	PERP	PERP, TP53 apoptosis effector	6q24	-0.53	nonMBC
201522_x_at	SNRPN	small nuclear ribonucleoprotein polypeptide N	15q11.2	-0.53	nonMBC
213103_at	STARD13	StAR-related lipid transfer (START) domain containing 13	13q12-q13	-0.53	nonMBC
235301_at	KIAA1324L	KIAA1324-like	7q21.12	-0.53	nonMBC
216235_s_at	EDNRA	endothelin receptor type A	4q31.23	-0.54	nonMBC
214066_x_at	NPR2	natriuretic peptide receptor B/guanylate cyclase B (atrionatriuretic peptide receptor B)	9p21-p12	-0.54	nonMBC
226188_at	HSPC159	galectin-related protein	2p14	-0.54	nonMBC
201065_s_at	GTF2I	general transcription factor II, i	7q11.23	-0.54	nonMBC
225484_at	TSGA14	testis specific, 14	7q32	-0.54	nonMBC
226905_at	FAM101B	family with sequence similarity 101, member B	17p13	-0.54	nonMBC
213746_s_at	FLNA	filamin A, alpha (actin binding protein 280)	Xq28	-0.54	nonMBC
228228_at	DACT3	dapper, antagonist of beta-catenin, homolog 3 (Xenopus laevis)	19q13.32	-0.54	nonMBC
212506_at	PICALM	phosphatidylinositol binding clathrin assembly protein	11q14	-0.55	nonMBC
202363_at	SPOCK1	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 1	5q31	-0.55	nonMBC
226292_at	CAPN5	calpain 5	11q14	-0.55	nonMBC
206758_at	EDN2	endothelin 2	1p34	-0.55	nonMBC
213422_s_at	MXRA8	matrix-remodelling associated 8	1p36.33	-0.55	nonMBC
203894_at	TUBG2	tubulin, gamma 2	17q21	-0.55	nonMBC
220244_at	LOH3CR2A	loss of heterozygosity, 3, chromosomal region 2, gene A	3p25.3	-0.55	nonMBC
209948_at	KCNMB1	potassium large conductance calcium-activated channel, subfamily M, beta member 1	5q34	-0.55	nonMBC
209030_s_at	CADM1	cell adhesion molecule 1	11q23.2	-0.56	nonMBC
201148_s_at	TIMP3	TIMP metallopeptidase inhibitor 3	22q12.1-q13.2|22q12.3	-0.56	nonMBC
209047_at	AQP1	aquaporin 1 (Colton blood group)	7p14	-0.56	nonMBC
209651_at	TGFB1I1	transforming growth factor beta 1 induced transcript 1	16p11.2	-0.56	nonMBC
230822_at	TMEM61	transmembrane protein 61	1p32.3	-0.56	nonMBC
