Entrez ID	Name	Title	group	Bild probe	Brooks probe	MCF7-oncogene probe
1786	DNMT1	DNA (cytosine-5-)-methyltransferase 1	ER-_HR	201697_s_at	276547	201697_s_at
3801	KIFC3	kinesin family member C3	ER-_HR	1559759_at	753038	209661_at
3934	LCN2	lipocalin 2 (oncogene 24p3)	ER-_HR	212531_at	741497	212531_at
29083	HSPC135	HSPC135 protein	ER-_HR	221046_s_at	1486071	221046_s_at
5241	PGR	progesterone receptor	ER+_HS	208305_at	2161427	208305_at
1363	CPE	carboxypeptidase E	ER+_HS	201117_s_at	40558	201116_s_at
27134	TJP3	tight junction protein 3 (zona occludens 3)	ER+_HS	35148_at	741919	213412_at
10140	TOB1	transducer of ERBB2, 1	ER+_HS	228834_at	361611	202704_at
388	RHOB	ras homolog gene family, member B	ER+_HS	212099_at	1492448	212099_at
25800	SLC39A6	solute carrier family 39 (zinc transporter), member 6	ER+_HS	1555460_a_at	52933	202089_s_at
367	AR	androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)	ER+_HS	211621_at	2250839	211110_s_at
5349	FXYD3	FXYD domain containing ion transport regulator 3	ER+_HS	202489_s_at	588460	202489_s_at
10229	COQ7	coenzyme Q7 homolog, ubiquinone (yeast)	ER+_HS	210820_x_at	2062396	209745_at
2065	ERBB3	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	ER+_HS	202454_s_at	1160531	202454_s_at
1154	CISH	cytokine inducible SH2-containing protein	ER+_HS	223377_x_at	771058	221223_x_at
414	ARSD	arylsulfatase D	ER+_HS	225286_at	549139	206831_s_at
780	DDR1	discoidin domain receptor family, member 1	ER+_HS	207169_x_at	182288	207169_x_at
2804	GOLGB1	golgi autoantigen, golgin subfamily b, macrogolgin (with transmembrane signal), 1	ER+_HS	201057_s_at	840524	201057_s_at
7494	XBP1	X-box binding protein 1	ER+_HS	200670_at	417867	200670_at
3169	FOXA1	forkhead box A1	ER+_HS	237086_at	84786	204667_at
7644	ZNF91	zinc finger protein 91 (HPF7, HTF10)	ER+_HS	206059_at	2455403	206059_at
11201	POLI	polymerase (DNA directed) iota	ER+_HS	219317_at	502297	219317_at
1153	CIRBP	cold inducible RNA binding protein	ER+_HS	200810_s_at	1493383	200811_at
6509	SLC1A4	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4	ER+_HS	209610_s_at	898227	209611_s_at
51478	HSD17B7	hydroxysteroid (17-beta) dehydrogenase 7	ER+_HS	220081_x_at	247901	220081_x_at
51361	HOOK1	hook homolog 1 (Drosophila)	ER+_HS	225792_at	845454	219976_at
23199	KIAA0182	KIAA0182 protein	ER+_HS	212057_at	1655729	212057_at
27075	TM4SF13	tetraspanin 13	ER+_HS	217979_at	416374	217979_at
55930	MYO5C	myosin VC	ER+_HS	218966_at	665405	218966_at
56654	NPDC1	neural proliferation, differentiation and control, 1	ER+_HS	218086_at	2017597	218086_at
3382	ICA1	islet cell autoantigen 1, 69kDa	ER+_HS	210547_x_at	824659	210547_x_at
23247	KIAA0556	KIAA0556 protein	ER+_HS	213185_at	1569902	213185_at
8349	HIST2H2BE	histone 2, H2be	ER+_HS	202708_s_at	813149	202708_s_at
2746	GLUD1	glutamate dehydrogenase 1	ER+_HS	200946_x_at	450327	200946_x_at
