Gene	Clone	UG cluster	Fold-diff L/AT	t-value
fibromodulin	1999120	Hs.230	2.06	6.412
complement component 1, r subcomponent	1664320	Hs.1279	2.04	7.51
syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)	1782172	Hs.1501	2.04	8.059
protein S (alpha)	2592991	Hs.64016	2.04	3.69
methylene tetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase	2455118	Hs.154672	2.03	9.157
KIAA1324 protein	1808121	Hs.104696	2.03	6.895
chloride intracellular channel 4	1381346	Hs.25035	2.01	10.699
tubulin, gamma complex associated protein 2	1666907	Hs.13386	2.01	7.027
Homo sapiens, clone MGC:26991 IMAGE:4826722, mRNA, complete cds	2223118	Hs.194609	2.01	4.762
caldesmon 1	1319608	Hs.325474	2	8.599
plasminogen activator, tissue	1900031	Hs.274404	1.99	5.907
major histocompatibility complex, class II, DP alpha 1	1994472	Hs.914	1.98	9.621
calponin 1, basic, smooth muscle	2696735	Hs.21223	1.98	4.237
KIAA0703 gene product	2791383	Hs.6168	1.98	5.691
SPARC-like 1 (mast9, hevin)	3721788	Hs.75445	1.98	6.409
neurotrophic tyrosine kinase, receptor, type 2	1643991	Hs.374634	1.98	5.765
EGF-like repeats and discoidin I-like domains 3	1479416	Hs.374626	1.95	4.036
downregulated in ovarian cancer 1	1685173	Hs.15432	1.94	8.223
BTG family, member 2	1598617	Hs.75462	1.94	6.97
pyruvate dehydrogenase phosphatase	1819282	Hs.22265	1.94	6.876
macrophage myristoylated alanine-rich C kinase substrate	2135733	Hs.75061	1.93	7.745
pim-2 oncogene	1694190	Hs.80205	1.93	8.19
Human DNA sequence from clone 742C19 on chromosome 22q12.3-13.1. Contains a pseudogene similar to Cytochrome C Oxidase Polypeptide VB and (parts of) up to four novel genes, two with homology to Phorbolin genes and one a novel Chro	1841459		1.93	6.135
interferon, gamma-inducible protein 16	2508261	Hs.155530	1.91	9.109
catenin (cadherin-associated protein), alpha-like 1	2379808	Hs.58488	1.91	5.909
major histocompatibility complex, class II, DP beta 1	692827	Hs.814	1.91	7.221
macrophage myristoylated alanine-rich C kinase substrate	320332	Hs.75061	1.91	7.58
ribonuclease, RNase A family, 4	1858905	Hs.283749	1.9	9.088
nicotinamide N-methyltransferase	604856	Hs.76669	1.89	3.883
integrin, beta 7	514726	Hs.1741	1.89	3.65
collagen, type I, alpha 1	782235	Hs.172928	1.89	6.794
Incyte EST	2237234		1.89	4.05
transcription factor 21	1851913	Hs.78061	1.88	6.356
major histocompatibility complex, class II, DR beta 3	5184747	Hs.308026	1.87	5.276
hypothetical protein DKFZp434B044	211389	Hs.262958	1.86	4.02
midkine (neurite growth-promoting factor 2)	940845	Hs.82045	1.86	6.527
platelet-derived growth factor receptor, alpha polypeptide	1705274	Hs.74615	1.86	6.025
sucrase-isomaltase	2922143	Hs.2996	1.86	9.256
chromosome 1 open reading frame 34	1366978	Hs.125783	1.86	8.503
hypothetical protein FLJ20623	2917432	Hs.27337	1.86	8.043
cyclin D2	1618422	Hs.75586	1.86	9.842
RNA binding motif, single stranded interacting protein 1	1686916	Hs.241567	1.86	4.814
transforming, acidic coiled-coil containing protein 1	1943595	Hs.173159	1.85	9.356
v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	2600080	Hs.169487	1.85	7.638
EphA2	1958394	Hs.171596	1.85	5.53
major histocompatibility complex, class II, DR beta 3	2683564	Hs.308026	1.85	5.567
proteoglycan 1, secretory granule	8995	Hs.1908	1.85	7.589
angiogenin, ribonuclease, RNase A family, 5	2263493	Hs.332764	1.85	3.92
NSE1	2128170	Hs.260855	1.84	4.277
integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	682741	Hs.87149	1.84	4.736
carboxypeptidase A3 (mast cell)	1707656	Hs.646	1.83	6.205
parathymosin	3935034	Hs.171814	1.83	3.887
tropomyosin 2 (beta)	3176845	Hs.300772	1.83	4.692
myosin, light polypeptide kinase	1720149	Hs.211582	1.83	5.948
peptidylglycine alpha-amidating monooxygenase	1682642	Hs.83920	1.82	11.474
N-acetylneuraminic acid phosphate synthase; sialic acid synthase	2059153	Hs.274424	1.81	8.277
major histocompatibility complex, class II, DR alpha	162769	Hs.76807	1.81	4.18
CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	1001730	Hs.84298	1.8	4.874
nidogen (enactin)	2175008	Hs.348994	1.8	4.751
catenin (cadherin-associated protein), alpha-like 1	1845256	Hs.58488	1.8	7.398
Homo sapiens cDNA FLJ34353 fis, clone FEBRA2011665	1846711	Hs.13477	1.79	8.294
ephrin-A3	4178495	Hs.37054	1.79	10.167
mucin 1, transmembrane	2957567	Hs.89603	1.79	8.775
CUG triplet repeat, RNA binding protein 2	2056288	Hs.211610	1.79	6.591
NS1-binding protein	630045	Hs.197298	1.78	10.386
major histocompatibility complex, class II, DR beta 3	2105963	Hs.308026	1.78	6.575
fibrillin 1 (Marfan syndrome)	1448051	Hs.750	1.78	3.852
transcobalamin II; macrocytic anemia	1968695	Hs.84232	1.78	11.834
caveolin 1, caveolae protein, 22kDa	4271973	Hs.74034	1.78	5.89
granulysin	1878545	Hs.105806	1.77	3.834
melanoma antigen, family D, 2	2418918	Hs.4943	1.76	9.146
ESTs	2573505	Hs.49265	1.76	6.037
cartilage associated protein	1919944	Hs.155481	1.76	6.24
lymphocyte adaptor protein	1959371	Hs.389485	1.76	9.034
fibulin 5	2060177	Hs.11494	1.75	3.886
SPARC-like 1 (mast9, hevin)	463219	Hs.75445	1.75	7.46
plasminogen activator, urokinase	2056158	Hs.77274	1.74	4.251
EphB2	1903767	Hs.125124	1.74	6.175
latrophilin 1	2370921	Hs.24212	1.74	3.82
myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 7	1796461	Hs.239663	1.74	6.607
collagen, type VI, alpha 2	1554806	Hs.159263	1.73	7.227
integral type I protein	1981218	Hs.179516	1.73	8.993
nidogen 2 (osteonidogen)	1905276	Hs.82733	1.73	4.031
wingless-type MMTV integration site family, member 5B	2367733	Hs.306051	1.72	4.973
mitogen inducible 2	1466649	Hs.75260	1.72	6.989
radixin	1690613	Hs.263671	1.72	3.931
ESTs	2689691	Hs.90250	1.72	5.125
laminin, beta 1	1003884	Hs.82124	1.71	11.782
ESTs	1753040	Hs.394859	1.71	10.828
cathepsin K (pycnodysostosis)	1653741	Hs.83942	1.71	7.277
hypothetical protein FLJ20366	1755193	Hs.8358	1.7	4.191
transmembrane 4 superfamily member tetraspan NET-6	1850531	Hs.284243	1.7	7.682
Human protein tyrosine kinase t-Ror1 (Ror1) mRNA, complete cds	1538189	Hs.400925	1.7	3.833
Incyte EST	1998269		1.69	4.167
chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	1736734	Hs.237356	1.69	6.515
sulfatase FP	2107214	Hs.70823	1.69	8.191
major histocompatibility complex, class II, DQ beta 1	4083705	Hs.73931	1.69	4.184
FK506 binding protein 11, 19 kDa	2957205	Hs.24048	1.69	7.278
insulin-like growth factor binding protein 3	1447903	Hs.77326	1.69	3.734
immunoglobulin heavy constant mu	2860815	Hs.300697	1.68	5.542
frizzled homolog 1 (Drosophila)	1690530	Hs.94234	1.67	6.021
platelet-derived growth factor receptor, alpha polypeptide	1643186	Hs.74615	1.67	3.933
sarcoglycan, epsilon	1707391	Hs.110708	1.67	6.783
plastin 3 (T isoform)	1402228	Hs.4114	1.67	4.508
interferon consensus sequence binding protein 1	2922927	Hs.14453	1.67	6.782
tumor necrosis factor receptor superfamily, member 6	2205246	Hs.82359	1.67	4.242
ADP-ribosylation factor 4	65463	Hs.75290	1.67	4.975
phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase	40759	Hs.117950	1.67	4.716
cytochrome P450, subfamily IIJ (arachidonic acid epoxygenase) polypeptide 2	1597231	Hs.152096	1.67	8.645
low density lipoprotein receptor (familial hypercholesterolemia)	1986809	Hs.213289	1.66	4.747
trans-activated by hepatitis C virus core protein 1	2744043	Hs.118087	1.66	5.765
matrix Gla protein	2527665	Hs.365706	1.66	7.638
legumain	1985367	Hs.18069	1.65	5.682
protein tyrosine phosphatase, non-receptor type substrate 1	608148	Hs.156114	1.65	4.809
HNK-1 sulfotransferase	965055	Hs.155553	1.65	4.291
DKFZP586B0923 protein	1336305	Hs.172854	1.65	9.044
topoisomerase (DNA) II beta 180kDa	1872327	Hs.75248	1.64	7.798
retinol binding protein 4, plasma	2515729	Hs.76461	1.64	8.076
ectodermal-neural cortex (with BTB-like domain)	1731061	Hs.104925	1.64	4.751
putative transmembrane protein	2372275	Hs.78776	1.64	7.438
thrombospondin 1	2055534	Hs.87409	1.64	9.581
calumenin	1985671	Hs.7753	1.63	6.265
O-linked mannose beta1,2-N-acetylglucosaminyltransferase	2006061	Hs.183860	1.62	6.585
protease, serine, 11 (IGF binding)	1958902	Hs.394057	1.62	4.722
slit homolog 2 (Drosophila)	1675369	Hs.29802	1.62	7.729
EphB3	1227385	Hs.2913	1.62	6.415
major histocompatibility complex, class II, DQ beta 1	1735273	Hs.73931	1.62	4.984
nucleobindin 2	1760517	Hs.3164	1.62	7.543
actin, alpha 2, smooth muscle, aorta	2102320	Hs.195851	1.62	3.731
Incyte EST	2601553		1.62	3.842
hypothetical protein BC009925	1356926	Hs.9634	1.62	5.6
cadherin 19, type 2	2902570	Hs.129887	1.62	4.408
for protein disulfide isomerase-related	2481012	Hs.76901	1.61	9.353
lectin, galactoside-binding, soluble, 1 (galectin 1)	2495131	Hs.227751	1.61	8.505
Homo sapiens mRNA for short form of beta II spectrin, partial	2286612	Hs.348723	1.61	7.161
KIAA0830 protein	1740366	Hs.167115	1.61	6.197
cyclin D1 (PRAD1: parathyroid adenomatosis 1)	2057653	Hs.82932	1.61	4.914
phosphoribosyl pyrophosphate synthetase 2	2054641	Hs.2910	1.61	7.491
RAB13, member RAS oncogene family	1810945	Hs.151536	1.6	6.776
hypothetical protein MGC12538	639847	Hs.246759	1.6	10.476
tenascin C (hexabrachion)	1453450	Hs.289114	1.59	4.248
asparaginase-like 1 protein	2009846	Hs.7331	1.59	7.193
interleukin 1 receptor, type II	1628039	Hs.25333	1.59	5.927
Rho GDP dissociation inhibitor (GDI) beta	3040452	Hs.83656	1.58	5.125
MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)	1723834	Hs.57101	1.58	6.095
syntaphilin	1268175	Hs.82503	1.58	7.597
solute carrier family 27 (fatty acid transporter), member 3	1004734	Hs.109274	1.58	3.852
mal, T-cell differentiation protein	504786	Hs.80395	1.58	5.871
EST, Highly similar to NUCL_HUMAN Nucleolin (Protein C23) [H.sapiens]	1930884	Hs.397071	1.57	5.556
CCAAT/enhancer binding protein (C/EBP), beta	2275583	Hs.99029	1.57	8.042
heterogeneous nuclear ribonucleoprotein D-like	1906936	Hs.170311	1.57	8.385
biliverdin reductase A	775330	Hs.81029	1.57	5.044
adaptor-related protein complex 1, sigma 2 subunit	1907738	Hs.40368	1.57	7.155
hypothetical protein FLJ38482	1799033	Hs.217882	1.56	8.714
SRY (sex determining region Y)-box 9 (campomelic dysplasia, autosomal sex-reversal)	2008351	Hs.2316	1.56	5.739
ESTs	349535	Hs.404435	1.56	7.279
phosphofructokinase, muscle	1368173	Hs.75160	1.55	6.035
lipase A, lysosomal acid, cholesterol esterase (Wolman disease)	1970427	Hs.85226	1.55	7.058
PC4 and SFRS1 interacting protein 2	42920	Hs.82110	1.55	5.676
non-metastatic cells 1, protein (NM23A) expressed in	2152363	Hs.118638	1.55	4.132
homolog of yeast ribosome biogenesis regulatory protein RRS1	1693574	Hs.71827	1.55	6.284
glycosyltransferase AD-017	1924806	Hs.283737	1.54	8.094
interferon induced transmembrane protein 3 (1-8U)	2949427	Hs.381234	1.54	6.263
neogenin homolog 1 (chicken)	1732346	Hs.90408	1.54	6.702
phosphatidic acid phosphatase type 2B	1445895	Hs.395853	1.54	6.855
zinc finger protein 331; zinc finger protein 463	1449768	Hs.147644	1.54	9.95
integrin, alpha 5 (fibronectin receptor, alpha polypeptide)	1720114	Hs.149609	1.53	4.718
major histocompatibility complex, class II, DM alpha	2059338	Hs.77522	1.53	3.965
Incyte EST	1996771		1.53	6.845
v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	1998155	Hs.85146	1.53	5.728
ESTs, Weakly similar to ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome; Ubiquitously transcribed TPR gene on Y chromosome [Homo sapiens] [H.sapiens]	1000777	Hs.87980	1.53	6.167
ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)	1316528	Hs.177766	1.53	3.654
axin 2 (conductin, axil)	2359588	Hs.127337	1.52	7.202
hypothetical protein FLJ12666	2298788	Hs.23767	1.52	7.21
RNA-binding protein gene with multiple splicing	2190284	Hs.80248	1.52	6.582
moesin	1733490	Hs.170328	1.52	4.877
EST, Weakly similar to T13996 pol protein - fruit fly (Drosophila melanogaster) ZAM retrovirus-like element (fragment) [D.melanogaster]	3123244	Hs.159264	1.52	7.278
KIAA0916 protein	674014	Hs.151411	1.52	6.882
period homolog 2 (Drosophila)	1282617	Hs.153405	1.52	6.234
guanine nucleotide binding protein 11	1988432	Hs.83381	1.51	7.849
ubiquitin specific protease 11	1805270	Hs.171501	1.51	5.37
stathmin 1/oncoprotein 18	4059205	Hs.250811	1.51	5.391
KIAA1538 protein	1381261	Hs.35096	1.5	5.493
gelsolin (amyloidosis, Finnish type)	238278	Hs.290070	1.5	3.784
v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	2358031	Hs.81665	1.5	4.498
ESTs	2886942	Hs.87113	1.5	6.549
proteolipid protein 1 (Pelizaeus-Merzbacher disease, spastic paraplegia 2, uncomplicated)	1485846	Hs.1787	1.5	5.902
nuclear factor I/X (CCAAT-binding transcription factor)	5275693	Hs.35841	1.5	4.511
mannosidase, beta A, lysosomal	1805840	Hs.115945	1.5	4.895
nephronophthisis 1 (juvenile)	4256950	Hs.75474	1.5	7.19
ARF protein	1697490	Hs.264509	1.5	10.393
dihydropyrimidinase-like 3	1403636	Hs.74566	1.49	7.311
thymopoietin	2289176	Hs.11355	1.49	5.825
transcription factor 4	2654926	Hs.326198	1.48	5.878
hypothetical protein MGC18216	2230088	Hs.104679	1.48	5.084
mitogen-activated protein kinase 7	1733751	Hs.3080	1.48	7.622
polymerase (DNA directed), delta 2, regulatory subunit 50kDa	2056172	Hs.74598	1.48	4.005
DKFZP586G1517 protein	1425174	Hs.44155	1.48	7.865
Duffy blood group	1987335	Hs.183	1.48	8.818
cadherin 11, type 2, OB-cadherin (osteoblast)	434771	Hs.75929	1.48	4.651
complement component 1, q subcomponent, receptor 1	1998804	Hs.97199	1.48	6.91
hypothetical protein FLJ20811	1910380	Hs.83530	1.47	9.001
eukaryotic translation elongation factor 1 alpha 1	2763794	Hs.181165	1.47	8.441
polymerase (RNA) II (DNA directed) polypeptide E, 25kDa	2285269	Hs.24301	1.47	6.444
hypothetical protein FLJ20986	1657705	Hs.324507	1.47	4.696
PTK7 protein tyrosine kinase 7	996229	Hs.90572	1.47	6.287
Niemann-Pick disease, type C2	3979063	Hs.119529	1.47	8.814
TED protein	2409533	Hs.87619	1.46	6.405
ribosomal protein L17	747335	Hs.82202	1.46	6.766
small nuclear ribonucleoprotein polypeptide E	1179	Hs.334612	1.46	6.733
sorbitol dehydrogenase	1856587	Hs.878	1.46	6.998
coproporphyrinogen oxidase (coproporphyria, harderoporphyria)	189321	Hs.89866	1.46	6.431
low density lipoprotein-related protein-associated protein 1 (alpha-2-macroglobulin receptor-associated protein 1)	2745623	Hs.75140	1.46	5.763
P311 protein	1555545	Hs.142827	1.45	9.461
polymerase (RNA) II (DNA directed) polypeptide G	2915535		1.45	7.109
EST	3438036	Hs.401096	1.45	7.314
arginine-rich, mutated in early stage tumors	1618455	Hs.75412	1.45	3.922
methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase	1297179	Hs.172665	1.45	4.56
Homo sapiens, similar to CG4946 gene product, clone MGC:33910 IMAGE:5264730, mRNA, complete cds	369446	Hs.379419	1.45	6.439
chaperonin containing TCP1, subunit 2 (beta)	1483847	Hs.6456	1.45	6.466
RAB23, member RAS oncogene family	151026	Hs.94769	1.45	6.776
ESTs, Moderately similar to Z254_HUMAN Zinc finger protein 254 (Bone marrow zinc finger 5) (BMZF-5) (Hematopoietic cell derived zinc finger protein 1) (HD-ZNF1) [H.sapiens]	2453528	Hs.409038	1.45	5.786
gp25L2 protein	1979302	Hs.279929	1.45	6.95
polycystic kidney disease 2 (autosomal dominant)	1651294	Hs.82001	1.45	5.063
signal recognition particle receptor (docking protein)	1860117	Hs.75730	1.44	6.278
small nuclear ribonucleoprotein polypeptide N	387863	Hs.48375	1.44	6.105
ESTs, Weakly similar to hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	3099581	Hs.98484	1.44	6.97
inositol 1,4,5-trisphosphate 3-kinase B	1890794	Hs.78877	1.44	8.121
EST	2061405	Hs.374342	1.44	6.543
heat shock transcription factor 4	2660470	Hs.75486	1.44	6.395
ESTs, Weakly similar to A43932 mucin 2 precursor, intestinal - human (fragments) [H.sapiens]	2874010	Hs.389698	1.44	6.381
ribosomal protein L23	4175323	Hs.234518	1.44	5.06
latent transforming growth factor beta binding protein 1	1313183	Hs.241257	1.44	5.257
mitochondrial ribosomal protein L3	188431	Hs.79086	1.44	8.35
mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)	1688362	Hs.57301	1.44	7.32
synaptogyrin 2	983008	Hs.5097	1.43	6.398
opiate receptor-like 1	1704169	Hs.2859	1.43	4.408
metallothionein 1L	2513883	Hs.380778	1.43	7.597
eukaryotic translation initiation factor 3, subunit 7 zeta, 66/67kDa	2457671	Hs.55682	1.43	5.364
DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 18 (Myc-regulated)	3663385	Hs.100555	1.43	5.294
CD14 antigen	1988710	Hs.75627	1.43	7.747
glia maturation factor, gamma	409089	Hs.5210	1.43	6.409
activated RNA polymerase II transcription cofactor 4	1383545	Hs.349506	1.43	3.692
IMP (inosine monophosphate) dehydrogenase 2	2056855	Hs.75432	1.43	6.668
ESTs	1878026	Hs.120695	1.43	4.305
acidic (leucine-rich) nuclear phosphoprotein 32 family, member B	758008	Hs.84264	1.43	6.79
N-acylsphingosine amidohydrolase (acid ceramidase) 1	2106441	Hs.75811	1.43	6.454
protein phosphatase 2, regulatory subunit B (B56), epsilon isoform	1962123	Hs.173328	1.43	6.744
mutS homolog 6 (E. coli)	1926006	Hs.3248	1.43	7.82
kinesin-like 4	2760114	Hs.119324	1.42	6.834
replication factor C (activator 1) 4, 37kDa	1773638	Hs.35120	1.42	4.817
abl-interactor 2	1399368	Hs.343575	1.42	4.686
ESTs	2255215	Hs.96996	1.42	7.106
ribosomal protein S16	2132212	Hs.80617	1.42	4.046
hypothetical protein FLJ10407	2839021	Hs.30738	1.42	5.967
APEX nuclease (multifunctional DNA repair enzyme) 1	3747901	Hs.73722	1.42	7.926
FK506 binding protein 9, 63 kDa	4710131	Hs.302749	1.41	4.353
reticulocalbin 2, EF-hand calcium binding domain	1251819	Hs.79088	1.41	4.828
ribosomal protein S20	2739076	Hs.8102	1.41	3.821
formin-binding protein 17	1889364	Hs.408992	1.41	7.181
ESTs, Weakly similar to B Chain B, Solution Structure Of Cdc42 In Complex With The Gtpase Binding Domain Of Wasp [H.sapiens]	2243733	Hs.364892	1.41	4.967
putative membrane protein	1926540	Hs.93832	1.41	5.412
glutamate receptor, ionotropic, N-methyl D-aspartate-like 1A	1996544	Hs.6283	1.41	5.16
uridine monophosphate kinase	1959569	Hs.95734	1.41	5.703
EST, Weakly similar to S63665 titin protein - human (fragment) [H.sapiens]	542463	Hs.401092	1.41	7.169
Homo sapiens, clone IMAGE:3882977, mRNA, partial cds	1997493	Hs.350268	1.4	5.306
KH domain containing, RNA binding, signal transduction associated 3	2010155	Hs.13565	1.4	4.572
sorbitol dehydrogenase	1685528	Hs.878	1.4	7.752
ATPase, Class VI, type 11B	453841	Hs.75478	1.4	6.876
SET binding protein 1	2903158	Hs.151717	1.4	5.424
ras-like protein TC10	1698889	Hs.250697	1.4	8.665
glioma pathogenesis-related protein	477045	Hs.154762	1.4	3.732
flap structure-specific endonuclease 1	2050085	Hs.4756	1.4	5.84
nucleophosmin (nucleolar phosphoprotein B23, numatrin)	4163444	Hs.9614	1.4	3.718
hypothetical protein FLJ21016	1447393	Hs.289069	1.4	6.284
Homo sapiens polyadenylate binding protein mRNA, complete cds	1901035	Hs.401104	1.4	5.058
75 kda infertility-related sperm protein [human, testis, mRNA Partial, 2427 nt]	3974014		1.4	8.735
KIAA1813 protein	385733	Hs.25298	1.4	6.206
clusterin (complement lysis inhibitor, SP-40,40, sulfated glycoprotein 2, testosterone-repressed prostate message 2, apolipoprotein J)	2966620	Hs.75106	1.4	6.029
RAN binding protein 16	459851	Hs.172685	1.4	5.93
translocated promoter region (to activated MET oncogene)	1998427	Hs.169750	1.4	6.749
CDC26 subunit of anaphase promoting complex	1424755	Hs.3991	1.4	4.01
small nuclear ribonucleoprotein D2 polypeptide 16.5kDa	2061030	Hs.53125	1.4	5.249
putative dimethyladenosine transferase	1724355	Hs.125819	1.4	4.91
bladder cancer associated protein	2204881	Hs.5300	1.39	6.314
signal recognition particle 72kDa	2346701	Hs.237825	1.39	6.347
KIAA0790 protein	1722691	Hs.12002	1.39	7.45
EST	1560143	Hs.401150	1.39	3.658
ribonuclease 6 precursor	212912	Hs.8297	1.39	6.695
MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)	986752	Hs.77152	1.39	3.661
olfactomedin 1	2292011	Hs.74376	1.39	4.962
likely ortholog of mouse deleted in polyposis 1	1940201	Hs.178112	1.39	4.675
F-box and leucine-rich repeat protein 5	1703326	Hs.396140	1.39	7.661
serum response factor (c-fos serum response element-binding transcription factor)	2059378	Hs.155321	1.39	6.394
