Gene	Clone	UG cluster	Fold-diff L/AT	t-value
frizzled-related protein	1657792	Hs.153684	2.14	9.956
KIAA0703 gene product	2791383	Hs.6168	2.14	6.144
collagen, type VI, alpha 1	2062088	Hs.108885	2.13	11.189
syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)	1782172	Hs.1501	2.13	7.926
chloride intracellular channel 4	1381346	Hs.25035	2.13	11.1
downregulated in ovarian cancer 1	1685173	Hs.15432	2.11	8.702
tubulin, gamma complex associated protein 2	1666907	Hs.13386	2.11	6.657
parathymosin	3935034	Hs.171814	2.11	5.564
plasminogen activator, tissue	1900031	Hs.274404	2.1	5.458
EGF-like repeats and discoidin I-like domains 3	1479416	Hs.374626	2.1	3.943
ribonuclease, RNase A family, 4	1858905	Hs.283749	2.09	11.077
defensin, alpha 4, corticostatin	174705	Hs.2582	2.08	9.313
pim-2 oncogene	1694190	Hs.80205	2.08	7.444
Human DNA sequence from clone 742C19 on chromosome 22q12.3-13.1. Contains a pseudogene similar to Cytochrome C Oxidase Polypeptide VB and (parts of) up to four novel genes, two with homology to Phorbolin genes and one a novel Chro	1841459		2.08	6.844
BTG family, member 2	1598617	Hs.75462	2.08	8.216
macrophage myristoylated alanine-rich C kinase substrate	2135733	Hs.75061	2.07	9.774
chromosome 1 open reading frame 24	608361	Hs.349071	2.07	6.405
latrophilin 1	2370921	Hs.24212	2.05	5.31
serine (or cysteine) proteinase inhibitor, clade G (C1 inhibitor), member 1, (angioedema, hereditary)	3124244	Hs.151242	2.05	11.692
hypothetical protein DKFZp434B044	211389	Hs.262958	2.04	6.032
fibromodulin	1999120	Hs.230	2.04	5.252
plasminogen activator, urokinase	2056158	Hs.77274	2.03	4.487
SPARC-like 1 (mast9, hevin)	3721788	Hs.75445	2.03	10.211
proteoglycan 1, secretory granule	8995	Hs.1908	2.02	5.721
calponin 1, basic, smooth muscle	2696735	Hs.21223	2.02	5.317
transforming, acidic coiled-coil containing protein 1	1943595	Hs.173159	2.01	13.421
crystallin, alpha B	3016305	Hs.1940	2.01	7.487
protein tyrosine phosphatase, non-receptor type substrate 1	608148	Hs.156114	2.01	9.19
sulfatase FP	2107214	Hs.70823	2.01	9.753
caldesmon 1	1319608	Hs.325474	2	8.183
interferon, gamma-inducible protein 16	2508261	Hs.155530	2	8.287
H factor (complement)-like 1	1729543	Hs.250651	2	6.401
transcobalamin II; macrocytic anemia	1968695	Hs.84232	1.99	7.251
mucin 1, transmembrane	2957567	Hs.89603	1.98	7.549
transcription factor 21	1851913	Hs.78061	1.98	7.555
EphA2	1958394	Hs.171596	1.96	3.886
macrophage myristoylated alanine-rich C kinase substrate	320332	Hs.75061	1.96	9.74
catenin (cadherin-associated protein), alpha-like 1	2379808	Hs.58488	1.96	10.668
ephrin-A3	4178495	Hs.37054	1.96	8.489
RNA binding motif, single stranded interacting protein 1	1686916	Hs.241567	1.95	9.836
neurotrophic tyrosine kinase, receptor, type 2	1643991	Hs.374634	1.95	4.102
cyclin D2	1618422	Hs.75586	1.95	8.888
AXL receptor tyrosine kinase	2058242	Hs.83341	1.94	4.902
major histocompatibility complex, class II, DP alpha 1	1994472	Hs.914	1.94	5.014
ESTs	2573505	Hs.49265	1.93	7.91
chromosome 1 open reading frame 34	1366978	Hs.125783	1.93	8.713
myosin, light polypeptide kinase	1720149	Hs.211582	1.93	6.647
angiogenin, ribonuclease, RNase A family, 5	2263493	Hs.332764	1.92	7.327
collagen, type I, alpha 1	782235	Hs.172928	1.92	5.751
peptidylglycine alpha-amidating monooxygenase	1682642	Hs.83920	1.91	14.1
major histocompatibility complex, class II, DP beta 1	692827	Hs.814	1.9	5.145
platelet-derived growth factor receptor, alpha polypeptide	1705274	Hs.74615	1.9	5.542
melanoma antigen, family D, 2	2418918	Hs.4943	1.9	11.299
fibrillin 1 (Marfan syndrome)	1448051	Hs.750	1.9	8.217
wingless-type MMTV integration site family, member 5B	2367733	Hs.306051	1.89	4.375
lymphocyte adaptor protein	1959371	Hs.389485	1.89	9.366
Incyte EST	2237234		1.88	4.143
mitogen inducible 2	1466649	Hs.75260	1.88	5.041
slit homolog 2 (Drosophila)	1675369	Hs.29802	1.87	5.898
catenin (cadherin-associated protein), alpha-like 1	1845256	Hs.58488	1.87	7.976
mitogen-activated protein kinase 7	1659231	Hs.3080	1.87	4.018
CUG triplet repeat, RNA binding protein 2	2056288	Hs.211610	1.87	8.756
NS1-binding protein	630045	Hs.197298	1.86	10.27
sucrase-isomaltase	2922143	Hs.2996	1.86	6.744
platelet-derived growth factor receptor, alpha polypeptide	1643186	Hs.74615	1.85	6.568
transgelin	4049957	Hs.75777	1.85	4.018
homogentisate 1,2-dioxygenase (homogentisate oxidase)	911015	Hs.15113	1.84	4.025
major histocompatibility complex, class II, DR beta 3	5184747	Hs.308026	1.84	4.225
radixin	1690613	Hs.263671	1.84	6.831
fibulin 5	2060177	Hs.11494	1.84	6.789
v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	2600080	Hs.169487	1.83	6.342
sarcoglycan, epsilon	1707391	Hs.110708	1.83	4.754
collagen, type VI, alpha 2	1554806	Hs.159263	1.83	9.214
ESTs	2689691	Hs.90250	1.82	4.392
Homo sapiens cDNA FLJ34353 fis, clone FEBRA2011665	1846711	Hs.13477	1.82	9.467
integral type I protein	1981218	Hs.179516	1.81	9.543
major histocompatibility complex, class II, DR beta 3	2683564	Hs.308026	1.81	4.411
hypothetical protein FLJ20623	2917432	Hs.27337	1.81	10.558
transmembrane 4 superfamily member tetraspan NET-6	1850531	Hs.284243	1.81	10.241
CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	1001730	Hs.84298	1.8	4.562
N-acetylneuraminic acid phosphate synthase; sialic acid synthase	2059153	Hs.274424	1.8	7.541
cadherin 19, type 2	2902570	Hs.129887	1.8	5.33
EphB2	1903767	Hs.125124	1.79	6.739
retinol binding protein 4, plasma	2515729	Hs.76461	1.78	10.914
caveolin 1, caveolae protein, 22kDa	4271973	Hs.74034	1.78	10.341
SPARC-like 1 (mast9, hevin)	463219	Hs.75445	1.78	7.877
tropomyosin 2 (beta)	3176845	Hs.300772	1.78	4.812
calumenin	1985671	Hs.7753	1.78	9.583
nidogen (enactin)	2175008	Hs.348994	1.78	3.782
Incyte EST	1998269		1.77	7.146
EphB3	1227385	Hs.2913	1.77	6.427
matrix Gla protein	2527665	Hs.365706	1.77	8.484
plastin 3 (T isoform)	1402228	Hs.4114	1.77	9.448
tryptase beta 2	1821938	Hs.294158	1.76	5.285
trans-activated by hepatitis C virus core protein 1	2744043	Hs.118087	1.76	9.404
cytochrome P450, subfamily IIJ (arachidonic acid epoxygenase) polypeptide 2	1597231	Hs.152096	1.76	3.994
cathepsin K (pycnodysostosis)	1653741	Hs.83942	1.75	7.266
tenascin C (hexabrachion)	1453450	Hs.289114	1.75	5.923
ADP-ribosylation factor 4	65463	Hs.75290	1.75	9.144
topoisomerase (DNA) II beta 180kDa	1872327	Hs.75248	1.75	13.868
immunoglobulin heavy constant mu	2860815	Hs.300697	1.74	5.679
tripartite motif-containing 29	1968413	Hs.82237	1.74	4.565
low density lipoprotein receptor (familial hypercholesterolemia)	1986809	Hs.213289	1.74	4.054
ESTs	1753040	Hs.394859	1.74	11.757
laminin, beta 1	1003884	Hs.82124	1.73	12.595
integral membrane protein 2A	1833174	Hs.17109	1.73	4.659
ESTs, Moderately similar to hypothetical protein FLJ21617; erythroid differentiation-related factor 1 [Homo sapiens] [H.sapiens]	2494560	Hs.47094	1.73	3.831
interferon consensus sequence binding protein 1	2922927	Hs.14453	1.72	5.562
hypothetical protein MGC3101	2877413	Hs.301394	1.72	6.72
hypothetical protein FLJ90798	1961581	Hs.28264	1.72	10.304
tumor necrosis factor receptor superfamily, member 6	2205246	Hs.82359	1.72	4.357
DKFZP586B0923 protein	1336305	Hs.172854	1.72	4.439
RAB13, member RAS oncogene family	1810945	Hs.151536	1.71	9.837
protease, serine, 11 (IGF binding)	1958902	Hs.394057	1.71	7.637
major histocompatibility complex, class II, DR beta 3	2105963	Hs.308026	1.71	4.272
legumain	1985367	Hs.18069	1.7	9.968
calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma	1940195	Hs.153406	1.7	4.362
FK506 binding protein 11, 19 kDa	2957205	Hs.24048	1.69	6.833
KIAA0830 protein	1740366	Hs.167115	1.69	8.208
integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	682741	Hs.87149	1.69	3.997
cartilage associated protein	1919944	Hs.155481	1.68	10.822
for protein disulfide isomerase-related	2481012	Hs.76901	1.68	7.659
thrombospondin 1	2055534	Hs.87409	1.68	7.038
lectin, galactoside-binding, soluble, 1 (galectin 1)	2495131	Hs.227751	1.68	4.132
nucleobindin 2	1760517	Hs.3164	1.68	8.114
O-linked mannose beta1,2-N-acetylglucosaminyltransferase	2006061	Hs.183860	1.67	4.769
fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)	1396249	Hs.748	1.67	4.268
RNA-binding protein gene with multiple splicing	2190284	Hs.80248	1.66	7.207
myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 7	1796461	Hs.239663	1.66	4.948
hypothetical protein BC009925	1356926	Hs.9634	1.66	9.955
Homo sapiens mRNA for short form of beta II spectrin, partial	2286612	Hs.348723	1.66	9.351
Incyte EST	1996771		1.66	4.362
cyclin D1 (PRAD1: parathyroid adenomatosis 1)	2057653	Hs.82932	1.65	7.523
asparaginase-like 1 protein	2009846	Hs.7331	1.65	6.872
integrin, alpha 5 (fibronectin receptor, alpha polypeptide)	1720114	Hs.149609	1.65	5.006
solute carrier family 27 (fatty acid transporter), member 3	1004734	Hs.109274	1.65	8.679
ectodermal-neural cortex (with BTB-like domain)	1731061	Hs.104925	1.64	7.879
insulin-like growth factor binding protein 3	1447903	Hs.77326	1.64	4.739
PC4 and SFRS1 interacting protein 2	42920	Hs.82110	1.64	9.825
hypothetical protein FLJ38482	1799033	Hs.217882	1.64	7.908
v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	1998155	Hs.85146	1.63	8.069
thrombomodulin	2394637	Hs.2030	1.63	3.874
phosphoribosyl pyrophosphate synthetase 2	2054641	Hs.2910	1.63	6.544
spinal cord-derived growth factor-B	2269821	Hs.112885	1.63	4.189
cadherin 11, type 2, OB-cadherin (osteoblast)	434771	Hs.75929	1.62	5.551
gelsolin (amyloidosis, Finnish type)	238278	Hs.290070	1.62	6.439
hypothetical protein MGC12538	639847	Hs.246759	1.61	9.169
neogenin homolog 1 (chicken)	1732346	Hs.90408	1.61	6.94
SRY (sex determining region Y)-box 9 (campomelic dysplasia, autosomal sex-reversal)	2008351	Hs.2316	1.6	6.029
phosphatidic acid phosphatase type 2B	1445895	Hs.395853	1.6	8.193
phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase	40759	Hs.117950	1.6	5.871
glycosyltransferase AD-017	1924806	Hs.283737	1.6	11.281
MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)	1723834	Hs.57101	1.6	5.318
stathmin-like 2	2153242	Hs.90005	1.6	3.856
heterogeneous nuclear ribonucleoprotein D-like	1906936	Hs.170311	1.6	7.859
syntaphilin	1268175	Hs.82503	1.6	6.301
nephronophthisis 1 (juvenile)	4256950	Hs.75474	1.59	4.361
lipase A, lysosomal acid, cholesterol esterase (Wolman disease)	1970427	Hs.85226	1.59	5.618
mal, T-cell differentiation protein	504786	Hs.80395	1.59	6.132
interleukin 1 receptor, type II	1628039	Hs.25333	1.59	5.677
ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)	1316528	Hs.177766	1.59	6.796
interferon induced transmembrane protein 3 (1-8U)	2949427	Hs.381234	1.59	6.83
CCAAT/enhancer binding protein (C/EBP), beta	2275583	Hs.99029	1.59	7.529
Rho guanine nucleotide exchange factor (GEF) 10	641460	Hs.20695	1.59	11.895
ubiquitin specific protease 11	1805270	Hs.171501	1.59	8.553
ESTs	349535	Hs.404435	1.58	8.708
solute carrier family 29 (nucleoside transporters), member 1	2594080	Hs.25450	1.58	5.228
EST, Weakly similar to T13996 pol protein - fruit fly (Drosophila melanogaster) ZAM retrovirus-like element (fragment) [D.melanogaster]	3123244	Hs.159264	1.58	6.809
DKFZP586G1517 protein	1425174	Hs.44155	1.58	5.416
hypothetical protein FLJ20986	1657705	Hs.324507	1.58	4.569
EST, Highly similar to NUCL_HUMAN Nucleolin (Protein C23) [H.sapiens]	1930884	Hs.397071	1.57	6.657
ESTs	2886942	Hs.87113	1.57	6.045
frizzled homolog 1 (Drosophila)	1690530	Hs.94234	1.57	4.126
polycystic kidney disease 2 (autosomal dominant)	1651294	Hs.82001	1.57	9.731
phosphofructokinase, muscle	1368173	Hs.75160	1.57	7.009
mannosidase, beta A, lysosomal	1805840	Hs.115945	1.57	9.47
period homolog 2 (Drosophila)	1282617	Hs.153405	1.57	6.425
degenerative spermatocyte homolog, lipid desaturase (Drosophila)	2060369	Hs.185973	1.57	7.186
ESTs, Weakly similar to ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome; Ubiquitously transcribed TPR gene on Y chromosome [Homo sapiens] [H.sapiens]	1000777	Hs.87980	1.56	4.841
zinc finger protein 331; zinc finger protein 463	1449768	Hs.147644	1.56	5.646
ESTs, Weakly similar to CA28_HUMAN Collagen alpha 2(VIII) chain (Endothelial collagen) [H.sapiens]	1603191	Hs.127824	1.56	3.789
KIAA1754 protein	2286568	Hs.28501	1.56	6.578
hematopoietic cell-specific Lyn substrate 1	1985656	Hs.14601	1.56	3.771
EST, Weakly similar to S63665 titin protein - human (fragment) [H.sapiens]	542463	Hs.401092	1.56	6.511
dihydropyrimidinase-like 3	1403636	Hs.74566	1.56	6.904
non-metastatic cells 1, protein (NM23A) expressed in	2152363	Hs.118638	1.56	5.42
abl-interactor 2	1399368	Hs.343575	1.55	7.997
thymopoietin	2289176	Hs.11355	1.55	7.294
HNK-1 sulfotransferase	965055	Hs.155553	1.55	4.098
Incyte EST	2601553		1.54	5.17
complement component 1, q subcomponent, receptor 1	1998804	Hs.97199	1.54	8.482
Spi-B transcription factor (Spi-1/PU.1 related)	1561204	Hs.192861	1.54	4.311
PTK7 protein tyrosine kinase 7	996229	Hs.90572	1.54	5.939
proteolipid protein 1 (Pelizaeus-Merzbacher disease, spastic paraplegia 2, uncomplicated)	1485846	Hs.1787	1.54	5.858
polymerase (DNA directed), delta 2, regulatory subunit 50kDa	2056172	Hs.74598	1.54	6.144
small nuclear ribonucleoprotein polypeptide N	387863	Hs.48375	1.53	6.92
adaptor-related protein complex 1, sigma 2 subunit	1907738	Hs.40368	1.53	5.782
RAB23, member RAS oncogene family	151026	Hs.94769	1.53	7.604
stathmin 1/oncoprotein 18	4059205	Hs.250811	1.53	6.108
moesin	1733490	Hs.170328	1.53	5.516
guanine nucleotide binding protein 11	1988432	Hs.83381	1.52	4.513
KIAA0916 protein	674014	Hs.151411	1.52	6.262
acidic (leucine-rich) nuclear phosphoprotein 32 family, member B	758008	Hs.84264	1.52	7.916
Niemann-Pick disease, type C2	3979063	Hs.119529	1.52	11.969
armadillo repeat protein ALEX2	1844691	Hs.48924	1.52	7.645
mutS homolog 6 (E. coli)	1926006	Hs.3248	1.52	8.948
aldo-keto reductase family 1, member B1 (aldose reductase)	1901073	Hs.75313	1.52	6.663
polymerase (RNA) II (DNA directed) polypeptide E, 25kDa	2285269	Hs.24301	1.52	5.753
KIAA1538 protein	1381261	Hs.35096	1.52	7.578
mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)	1688362	Hs.57301	1.51	8.325
ribosomal protein L17	747335	Hs.82202	1.51	7.91
eukaryotic translation elongation factor 1 alpha 1	2763794	Hs.181165	1.51	11.099
hypothetical protein MGC18216	2230088	Hs.104679	1.51	9.08
ADP-ribosylation factor-like 7	3115514	Hs.111554	1.5	4.229
mitogen-activated protein kinase 7	1733751	Hs.3080	1.5	6.745
methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase	1297179	Hs.172665	1.5	5.912
P311 protein	1555545	Hs.142827	1.5	8.737
GTP binding protein overexpressed in skeletal muscle	450618	Hs.79022	1.5	4.552
immunoglobulin superfamily containing leucine-rich repeat	1968921	Hs.102171	1.5	4.097
N-acylsphingosine amidohydrolase (acid ceramidase) 1	2106441	Hs.75811	1.5	4.913
hypothetical protein FLJ20811	1910380	Hs.83530	1.5	8.982
axin 2 (conductin, axil)	2359588	Hs.127337	1.5	6.36
KIAA1295 protein	1208611	Hs.26204	1.49	6.314
microphthalmia-associated transcription factor	3484440	Hs.166017	1.49	5.9
gp25L2 protein	1979302	Hs.279929	1.49	8.927
glutamate receptor, ionotropic, N-methyl D-aspartate-like 1A	1996544	Hs.6283	1.49	4.079
transcription factor 4	2654926	Hs.326198	1.49	3.896
ESTs, Weakly similar to A43932 mucin 2 precursor, intestinal - human (fragments) [H.sapiens]	2874010	Hs.389698	1.49	8.729
Duffy blood group	1987335	Hs.183	1.49	6.145
coproporphyrinogen oxidase (coproporphyria, harderoporphyria)	189321	Hs.89866	1.49	6.374
latent transforming growth factor beta binding protein 1	1313183	Hs.241257	1.49	7.264
sorbitol dehydrogenase	1856587	Hs.878	1.48	7.905
chaperonin containing TCP1, subunit 2 (beta)	1483847	Hs.6456	1.48	6.878
synaptogyrin 2	983008	Hs.5097	1.48	6.618
polymerase (RNA) II (DNA directed) polypeptide G	2915535		1.48	7.056
arginine-rich, mutated in early stage tumors	1618455	Hs.75412	1.48	9.6
DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 18 (Myc-regulated)	3663385	Hs.100555	1.48	6.914
small nuclear ribonucleoprotein D2 polypeptide 16.5kDa	2061030	Hs.53125	1.48	5.188
ubiquitin-conjugating enzyme E2C	1308478	Hs.93002	1.48	7.496
metallothionein 1L	2513883	Hs.380778	1.48	4.585
APEX nuclease (multifunctional DNA repair enzyme) 1	3747901	Hs.73722	1.48	5.494
small nuclear ribonucleoprotein polypeptide E	1179	Hs.334612	1.48	5.473
chloride intracellular channel 4	197207	Hs.25035	1.48	5.855
Homo sapiens unknown mRNA	1213932	Hs.367982	1.48	5.327
CDK2-associated protein 1	902381	Hs.3436	1.47	7.27
putative transmembrane protein	2372275	Hs.78776	1.47	3.928
ESTs	544601	Hs.16450	1.47	4.386
ribosomal protein S20	2739076	Hs.8102	1.47	5.691
low density lipoprotein-related protein-associated protein 1 (alpha-2-macroglobulin receptor-associated protein 1)	2745623	Hs.75140	1.47	5.943
formin-binding protein 17	1889364	Hs.408992	1.47	5.665
EST, Weakly similar to 2004399A chromosomal protein [Homo sapiens] [H.sapiens]	1599532	Hs.94785	1.47	5.463
ribosomal protein S16	2132212	Hs.80617	1.47	7.546
TED protein	2409533	Hs.87619	1.47	6.054
hypothetical protein FLJ12666	2298788	Hs.23767	1.47	5.519
nucleolar protein 5A (56kDa with KKE/D repeat)	1524885	Hs.296585	1.47	7.153
Homo sapiens, similar to CG4946 gene product, clone MGC:33910 IMAGE:5264730, mRNA, complete cds	369446	Hs.379419	1.47	5.936
EST	3438036	Hs.401096	1.47	6.004
activated leukocyte cell adhesion molecule	1793853	Hs.394584	1.47	4.008
protein kinase, cAMP-dependent, regulatory, type II, beta	1968465	Hs.77439	1.46	3.788
ribosomal protein L23	4175323	Hs.234518	1.46	8.77
mitochondrial ribosomal protein L3	188431	Hs.79086	1.46	8.522
CD14 antigen	1988710	Hs.75627	1.46	7.024
reticulocalbin 2, EF-hand calcium binding domain	1251819	Hs.79088	1.46	6.546
nuclear factor I/X (CCAAT-binding transcription factor)	5275693	Hs.35841	1.46	9.916
Homo sapiens polyadenylate binding protein mRNA, complete cds	1901035	Hs.401104	1.46	6.509
ESTs, Moderately similar to Z254_HUMAN Zinc finger protein 254 (Bone marrow zinc finger 5) (BMZF-5) (Hematopoietic cell derived zinc finger protein 1) (HD-ZNF1) [H.sapiens]	2453528	Hs.409038	1.46	8.216
glycyl-tRNA synthetase	2057601	Hs.293885	1.46	6.216
protein phosphatase 2, regulatory subunit B (B56), epsilon isoform	1962123	Hs.173328	1.46	8.837
NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae)	1960940	Hs.182255	1.46	7.148
prostate cancer overexpressed gene 1	3543015	Hs.18910	1.46	5.749
opiate receptor-like 1	1704169	Hs.2859	1.46	6.939
signal recognition particle receptor (docking protein)	1860117	Hs.75730	1.45	8.719
paraoxonase 3	1605789	Hs.296259	1.45	6.009
uridine monophosphate kinase	1959569	Hs.95734	1.45	6.779
IMP (inosine monophosphate) dehydrogenase 2	2056855	Hs.75432	1.45	4.652
ribosomal protein S21	2791515	Hs.1948	1.45	5.237
replication factor C (activator 1) 4, 37kDa	1773638	Hs.35120	1.45	6.719
signal recognition particle 72kDa	2346701	Hs.237825	1.44	8.602
ATPase, Class VI, type 11B	453841	Hs.75478	1.44	10.014
RAB1A, member RAS oncogene family	3143449	Hs.79507	1.44	6.611
FK506 binding protein 9, 63 kDa	4710131	Hs.302749	1.44	5.223
hypothetical protein FLJ10407	2839021	Hs.30738	1.44	4.271
nucleophosmin (nucleolar phosphoprotein B23, numatrin)	4163444	Hs.9614	1.44	5.342
branched chain aminotransferase 2, mitochondrial	2191545	Hs.101408	1.44	7.757
ESTs	2255215	Hs.96996	1.44	7.504
ESTs, Weakly similar to B Chain B, Solution Structure Of Cdc42 In Complex With The Gtpase Binding Domain Of Wasp [H.sapiens]	2243733	Hs.364892	1.44	4.74
eukaryotic translation initiation factor 3, subunit 7 zeta, 66/67kDa	2457671	Hs.55682	1.44	7.875
flap structure-specific endonuclease 1	2050085	Hs.4756	1.44	4.805
spermidine synthase	130254	Hs.76244	1.44	4.097
sorbitol dehydrogenase	1685528	Hs.878	1.44	5.15
transmembrane 4 superfamily member 6	1701627	Hs.121068	1.44	6.244
EST	1560143	Hs.401150	1.44	5.408
isocitrate dehydrogenase 2 (NADP+), mitochondrial	1813409	Hs.5337	1.44	4.678
