Affymetrix Probe Set	P value - T-Test	T-Test_Change Direction	P value - MW-Test	MW_Change Direction
39995_s_at	0.038	Up	0.043	Up
41666_at	0.038	Down	0.025	Down
38506_at	0.038	Down	0.036	Down
794_at	0.039	Up	0.03	Up
41313_at	0.039	Down	0.043	Down
658_at	0.04	Up	0.036	Up
37707_i_at	0.04	Down	0.02	Down
37282_at	0.04	Down	0.043	Down
35786_at	0.041	Down	0.043	Down
32083_at	0.042	Up	0.014	Up
33948_at	0.042	Up	0.017	Up
38322_at	0.042	Down	0.03	Down
659_g_at	0.043	Up	0.025	Up
205_g_at	0.043	Up	0.02	Up
32606_at	0.043	Up	0.006	Up
31383_at	0.044	Up	0.025	Up
572_at	0.044	Up	0.036	Up
37830_at	0.044	Up	0.025	Up
33029_at	0.044	Up	0.017	Up
32638_s_at	0.045	Up	0.017	Up
35050_at	0.045	Up	0.017	Up
40113_at	0.045	Up	0.017	Up
31862_at	0.045	Up	0.03	Up
213_at	0.045	Down	0.043	Down
1435_f_at	0.046	Up	0.03	Up
1977_s_at	0.046	Up	0.036	Up
39092_at	0.046	Up	0.043	Up
31600_s_at	0.046	Up	0.025	Up
1234_at	0.047	Up	0.011	Up
34307_at	0.047	Down	0.03	Down
135_g_at	0.048	Up	0.036	Up
1650_g_at	0.048	Down	0.043	Down
988_at	0.048	Down	0.03	Down
37784_at	0.049	Up	0.036	Up
40200_at	0.049	Down	0.043	Down
40522_at	0.049	Down	0.036	Down
510_g_at	0.049	Down	0.036	Down
