Order	Probeset ID	Gene Title	Gene Symbol	Coefficient in CD15+ Signature
58	1424300_at	gem (nuclear organelle) associated protein 6	Gemin6	0.014145
59	1427921_s_at	RIKEN cDNA 2310061C15 gene	2310061C15Rik	0.014128
60	1427953_at	cDNA sequence BC025462	BC025462	0.01521
61	1424328_s_at	RIKEN cDNA 3200002M19 gene	3200002M19Rik	0.013406
62	1436707_x_at	non-SMC condensin I complex, subunit H	Ncaph	0.013077
63	1452597_at	RIKEN cDNA 2310061C15 gene	2310061C15Rik	0.01299
64	1423624_at	Fanconi anemia, complementation group L	Fancl	0.014238
65	1428892_at	peptidylprolyl isomerase (cyclophilin)-like 1	Ppil1	0.013155
66	1434936_at	HIRA interacting protein 3	Hirip3	0.012707
67	1432372_a_at	sepiapterin reductase	Spr	0.013527
68	1429294_at	thyroid hormone receptor interactor 13	Trip13	0.013188
69	1451884_a_at	LSM2 homolog, U6 small nuclear RNA associated (S. cerevisiae)	Lsm2	0.012871
70	1431506_s_at	peptidyl prolyl isomerase H /// similar to peptidyl prolyl isomerase H /// simil	EG665989	0.012083
71	1423124_x_at	RAD54 like (S. cerevisiae)	Rad54l	0.013495
72	1424080_at	decapping enzyme, scavenger	Dcps	0.012757
73	1426492_at	tyrosyl-DNA phosphodiesterase 1	Tdp1	0.012722
74	1416707_a_at	polyamine-modulated factor 1	Pmf1	0.011977
75	1423819_s_at	ADP-ribosylation factor-like 6 interacting protein 1	Arl6ip1	0.01127
76	1452534_a_at	high mobility group box 2 /// similar to High mobility group protein 2 (HMG-2)	Hmgb2	0.010168
77	1452598_at	GINS complex subunit 1 (Psf1 homolog)	Gins1	0.011238
78	1449116_a_at	deoxythymidylate kinase	Dtymk	0.011745
79	1417139_at	DSN1, MIND kinetochore complex component, homolog (S. cerevisiae)	Dsn1	0.012233
80	1434365_a_at	cDNA sequence BC055324	BC055324	0.012223
81	1427506_at	peptidylprolyl isomerase (cyclophilin) like 5	Ppil5	0.012373
82	1451131_at	ADP-ribosylation factor-like 6 interacting protein 1	Arl6ip1	0.011026
83	1430214_a_at	RIKEN cDNA 2610020H08 gene	2610020H08Rik	0.01106
84	1437552_at	RIKEN cDNA 2410127L17 gene /// similar to RIKEN cDNA 2410127L17 /// predicted ge	2410127L17Rik	0.010292
85	1419433_at	nth (endonuclease III)-like 1 (E.coli)	Nthl1	0.011074
86	1453314_x_at	RIKEN cDNA 2610039C10 gene	2610039C10Rik	0.010208
87	1448586_at	heat shock protein 14	Hspa14	0.010825
88	1453045_at	RIKEN cDNA 4921537D05 gene	4921537D05Rik	0.010171
89	1427382_a_at	suppressor of variegation 3-9 homolog 1 (Drosophila)	Suv39h1	0.009932
90	1451044_at	survivor of motor neuron protein interacting protein 1	Sip1	0.010733
91	1452917_at	replication factor C (activator 1) 5	Rfc5	0.009974
92	1418439_at	DNA segment, Chr 10, ERATO Doi 322, expressed	D10Ertd322e	0.009721
93	1453001_at	ribonuclease H2, subunit B	Rnaseh2b	0.009824
94	1424327_at	RIKEN cDNA 3200002M19 gene	3200002M19Rik	0.009181
95	1420638_at	phosphoribosyl pyrophosphate synthetase 2	Prps2	0.010535
96	1448633_at	PRP31 pre-mRNA processing factor 31 homolog (yeast)	Prpf31	0.009523
97	1416698_a_at	CDC28 protein kinase 1b	Cks1b	0.008963
98	1448623_at	transmembrane protein 123	Tmem123	0.008437
99	1448315_a_at	pyrroline-5-carboxylate reductase family, member 2	Pycr2	0.009296
100	1419452_at	ubiquitin carboxyl-terminal esterase L5	Uchl5	0.009953
101	1420984_at	phosphatidylcholine transfer protein	Pctp	0.008038
102	1418942_at	intraflagellar transport 74 homolog (Chlamydomonas)	Ift74	0.00898
103	1430021_a_at	SUMO1 activating enzyme subunit 1	Sae1	0.009296
104	1436349_at	RIKEN cDNA 2700094K13 gene	2700094K13Rik	0.008106
105	1423682_a_at	cell division cycle associated 4	Cdca4	0.0093
106	1428672_at	small nuclear ribonucleoprotein polypeptide F	Snrpf	0.008279
107	1423077_at	sorting nexin 9	Snx9	0.009744
108	1423060_at	proliferation-associated 2G4	Pa2g4	0.008308
109	1416336_s_at	small nuclear ribonucleoprotein D1	Snrpd1	0.007881
110	1456013_x_at	solute carrier family 35, member A4	Slc35a4	0.008844
111	1435372_a_at	proliferation-associated 2G4	Pa2g4	0.007492
112	1450694_at	FK506 binding protein 2	Fkbp2	0.007894
113	1450705_at	RD RNA-binding protein	Rdbp	0.008082
114	1457638_x_at	replication factor C (activator 1) 2	Rfc2	0.00834
115	1454618_at	NA	NA	0.008062
116	1433777_at	l(3)mbt-like 2 (Drosophila)	L3mbtl2	0.008565
117	1417503_at	replication factor C (activator 1) 2	Rfc2	0.008095
118	1440983_at	Tetratricopeptide repeat domain 15	Ttc15	0.007989
119	1449448_at	mediator of RNA polymerase II transcription, subunit 9 homolog (yeast)	Med9	0.007992
120	1429325_at	WD repeat domain 51B	Wdr51b	0.008476
121	1434544_at	bolA-like 2 (E. coli)	Bola2	0.007355
122	1428264_at	WD repeat domain 57 (U5 snRNP specific)	Wdr57	0.007853
123	1438071_at	postmeiotic segregation increased 1 (S. cerevisiae)	Pms1	0.007702
124	1424717_at	MIS12 homolog (yeast)	Mis12	0.008394
125	1443838_x_at	fatty acid desaturase 2	Fads2	0.007625
126	1422844_a_at	WD repeat domain 77	Wdr77	0.007203
127	1424149_at	non-SMC element 2 homolog (MMS21, S. cerevisiae)	Nsmce2	0.00676
128	1454032_at	neuropilin (NRP) and tolloid (TLL)-like 2	Neto2	0.008292
129	1424643_at	Treacher Collins Franceschetti syndrome 1, homolog	Tcof1	0.007179
130	1456674_at	RIKEN cDNA E130016E03 gene	E130016E03Rik	0.007807
131	1416073_a_at	nucleoporin 85	Nup85	0.006943
132	1430536_a_at	enhancer of rudimentary homolog (Drosophila)	Erh	0.006002
133	1426790_at	structure specific recognition protein 1	Ssrp1	0.006063
134	1432441_at	RIKEN cDNA 4933413J09 gene	4933413J09Rik	0.006106
135	1437193_s_at	small nuclear ribonucleoprotein B	Snrpb	0.006076
136	1422971_at	GCN5 general control of amino acid synthesis-like 2 (yeast)	Gcn5l2	0.006722
137	1425830_a_at	RIKEN cDNA 2810452K22 gene /// similar to cyclin-dependent kinase 2-interacting	2810452K22Rik /// LOC640972	0.005898
138	1437194_x_at	RIKEN cDNA 1200011O22 gene	1200011O22Rik	0.003785
139	1452780_at	general transcription factor IIIC, polypeptide 2, beta	Gtf3c2	0.00476
140	1422593_at	adaptor-related protein complex 3, sigma 1 subunit	Ap3s1	-0.005251
141	1455002_at	protein tyrosine phosphatase 4a1	Ptp4a1	-0.004414
142	1426763_at	ornithine decarboxylase antizyme 2	Oaz2	-0.006478
143	1415671_at	ATPase, H+ transporting, lysosomal V0 subunit D1	Atp6v0d1	-0.007411
144	1452155_a_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17	Ddx17	-0.007825
145	1450634_at	ATPase, H+ transporting, lysosomal V1 subunit A	Atp6v1a	-0.007091
146	1428473_at	protein phosphatase 3, catalytic subunit, beta isoform	Ppp3cb	-0.007618
147	1416392_a_at	ATPase, H+ transporting, lysosomal V0 subunit C	Atp6v0c	-0.007142
148	1433463_at	RIKEN cDNA 0610010K06 gene	0610010K06Rik	-0.007221
149	1438925_x_at	ATPase, H+ transporting, lysosomal V0 subunit C	Atp6v0c	-0.008359
150	1433931_at	RIKEN cDNA C030046I01 gene	C030046I01Rik	-0.007239
151	1418850_at	enhancer of polycomb homolog 1 (Drosophila)	Epc1	-0.008583
152	1452446_a_at	RIKEN cDNA 2010008E23 gene	2010008E23Rik	-0.008772
153	1435900_at	zinc finger and BTB domain containing 43	Zbtb43	-0.007512
154	1433464_at	importin 13	Ipo13	-0.007758
155	1448305_at	RAB6, member RAS oncogene family	Rab6	-0.009567
156	1415922_s_at	MARCKS-like 1	Marcksl1	-0.00969
157	1424674_at	solute carrier family 39 (metal ion transporter), member 6	Slc39a6	-0.009751
158	1415747_s_at	RIO kinase 3 (yeast)	Riok3	-0.009318
159	1437013_x_at	ATPase, H+ transporting, lysosomal V0 subunit B	Atp6v0b	-0.009436
160	1451154_a_at	CUG triplet repeat, RNA binding protein 2	Cugbp2	-0.011158
161	1422429_at	ring finger protein 14	Rnf14	-0.009664
162	1454834_at	nuclear factor I/B	Nfib	-0.010382
163	1423895_a_at	CUG triplet repeat, RNA binding protein 2	Cugbp2	-0.010536
164	1435113_x_at	stathmin-like 3	Stmn3	-0.011176
165	1427680_a_at	nuclear factor I/B	Nfib	-0.01114
166	1434397_at	zinc finger, DHHC domain containing 17	Zdhhc17	-0.009403
167	1455502_at	MAP-kinase activating death domain	Madd	-0.010092
168	1427917_s_at	single-stranded DNA binding protein 3	Ssbp3	-0.011303
169	1439477_at	ubiquitin-conjugating enzyme E2B, RAD6 homology (S. cerevisiae)	Ube2b	-0.010361
170	1416769_s_at	ATPase, H+ transporting, lysosomal V0 subunit B	Atp6v0b	-0.011647
171	1450069_a_at	CUG triplet repeat, RNA binding protein 2	Cugbp2	-0.011704
172	1440106_at	Transcription factor 4	Tcf4	-0.011929
173	1417965_at	pleckstrin homology domain containing, family A (phosphoinositide binding specif	Plekha1	-0.010349
174	1436220_at	zinc finger protein 287	Zfp287	-0.010854
175	1455732_at	RIKEN cDNA 1700025G04 gene	1700025G04Rik	-0.01133
176	1415928_a_at	microtubule-associated protein 1 light chain 3 beta	Map1lc3b	-0.013428
177	1442006_at	Transcribed locus	NA	-0.012081
178	1436431_at	RIKEN cDNA 1700025G04 gene	1700025G04Rik	-0.011295
179	1452921_at	RIKEN cDNA B130050I23 gene	B130050I23Rik	-0.011627
180	1418151_at	myotubularin related protein 4	Mtmr4	-0.012315
181	1437927_at	discs, large homolog 2 (Drosophila)	Dlg2	-0.012691
182	1428346_at	TRAF type zinc finger domain containing 1	Trafd1	-0.012765
183	1428572_at	brain abundant, membrane attached signal protein 1	Basp1	-0.015065
184	1448361_at	tetratricopeptide repeat domain 3	Ttc3	-0.015855
185	1424239_at	RIKEN cDNA 2310066E14 gene	2310066E14Rik	-0.012298
186	1437705_at	zinc fingr protein 551	Zfp551	-0.01422
187	1433925_at	dynein, cytoplasmic 1 light intermediate chain 2	Dync1li2	-0.014073
188	1421847_at	WD repeat and SOCS box-containing 2	Wsb2	-0.014305
189	1439168_at	calcium/calmodulin-dependent protein kinase II, delta	Camk2d	-0.01561
190	1459874_s_at	myotubularin related protein 4	Mtmr4	-0.015482
191	1420834_at	vesicle-associated membrane protein 2	Vamp2	-0.015013
192	1431046_at	RIKEN cDNA 2410127E16 gene	2410127E16Rik	-0.014446
193	1435207_at	DIX domain containing 1	Dixdc1	-0.015727
194	1449380_at	protein kinase C and casein kinase substrate in neurons 1	Pacsin1	-0.014048
195	1456610_at	jumonji domain containing 3	Jmjd3	-0.015185
196	1433509_s_at	receptor accessory protein 1	Reep1	-0.015195
197	1450946_at	neural retina leucine zipper gene	Nrl	-0.01632
198	1450436_s_at	DnaJ (Hsp40) homolog, subfamily B, member 5	Dnajb5	-0.015392
199	1456464_x_at	NA	NA	-0.016593
200	1429314_at	synaptotagmin XI	Syt11	-0.016728
201	1457135_at	FAT tumor suppressor homolog 2 (Drosophila)	Fat2	-0.015207
202	1415986_at	chloride channel 4-2	Clcn4-2	-0.017191
203	1426811_at	protein phosphatase 2, regulatory subunit B (B56), beta isoform	Ppp2r5b	-0.015787
204	1416844_at	protein arginine N-methyltransferase 2	Prmt2	-0.016956
205	1451070_at	guanosine diphosphate (GDP) dissociation inhibitor 1	Gdi1	-0.018277
206	1451484_a_at	synapsin I	Syn1	-0.016814
207	1423055_at	neuron specific gene family member 1	Nsg1	-0.018185
208	1436033_at	cDNA sequence BC031353	BC031353	-0.01583
209	1429269_at	cDNA sequence BC068157	BC068157	-0.018243
210	1417885_at	microtubule-associated protein tau	Mapt	-0.018392
211	1434990_at	protein phosphatase 1E (PP2C domain containing)	Ppm1e	-0.018199
212	1435866_s_at	histone cluster 3, H2a	Hist3h2a	-0.018293
213	1455176_a_at	synaptotagmin XI	Syt11	-0.020269
214	1451728_at	WD repeat domain 13	Wdr13	-0.018904
215	1434026_at	Atpase, class I, type 8B, member 2	Atp8b2	-0.017948
216	1436841_at	RIKEN cDNA B230380D07 gene	B230380D07Rik	-0.018313
217	1437234_x_at	protein arginine N-methyltransferase 2	Prmt2	-0.019653
218	1420980_at	p21 (CDKN1A)-activated kinase 1	Pak1	-0.018592
219	1439293_at	cDNA sequence BC031353	BC031353	-0.017486
220	1420995_at	plexin A3	Plxna3	-0.019315
221	1436912_at	calcium channel, voltage-dependent, beta 4 subunit	Cacnb4	-0.020751
222	1434558_at	WD repeat domain 47	Wdr47	-0.021057
223	1417423_at	glutamate receptor, ionotropic, N-methyl D-asparate-associated protein 1 (glutam	Grina	-0.020195
224	1435543_at	adenomatosis polyposis coli	Apc	-0.022133
225	1424034_at	RAR-related orphan receptor alpha	Rora	-0.018754
226	1455266_at	kinesin family member 5C	Kif5c	-0.022524
227	1438780_at	NA	NA	-0.020992
228	1460556_at	NA	NA	-0.021543
229	1419137_at	SH3/ankyrin domain gene 3	Shank3	-0.020427
230	1436842_at	RIKEN cDNA B230380D07 gene	B230380D07Rik	-0.022873
231	1448432_at	phospholipase C, delta 1	Plcd1	-0.021273
232	1434575_at	erythrocyte protein band 4.1-like 1		-0.020547
233	1460121_at	RIKEN cDNA 9630010G10 gene	9630010G10Rik	-0.024138
234	1452779_at	RIKEN cDNA 3110006E14 gene	3110006E14Rik	-0.022216
235	1420583_a_at	RAR-related orphan receptor alpha	Rora	-0.023093
236	1450070_s_at	p21 (CDKN1A)-activated kinase 1	Pak1	-0.02267
237	1433451_at	cyclin-dependent kinase 5, regulatory subunit (p35) 1	Cdk5r1	-0.025198
238	1415932_x_at	ATPase, class II, type 9A	Atp9a	-0.024204
239	1436729_at	actin filament associated protein 1	Afap1	-0.024286
240	1436205_at	Transcribed locus	NA	-0.024051
241	1435215_at	AP1 gamma subunit binding protein 1	Ap1gbp1	-0.02412
242	1460720_at	transient receptor potential cation channel, subfamily C, member 4 associated pr	Trpc4ap	-0.025419
243	1429761_at	reticulon 1	Rtn1	-0.025709
244	1420858_at	protein kinase inhibitor, alpha	Pkia	-0.024289
245	1427143_at	jumonji, AT rich interactive domain 1B (Rbp2 like)	Jarid1b	-0.024479
246	1435123_at	RIKEN cDNA C030014M07 gene	C030014M07Rik	-0.023721
247	1449429_at	FK506 binding protein 1b	Fkbp1b	-0.024029
248	1423671_at	delta/notch-like EGF-related receptor	Dner	-0.024745
249	1420505_a_at	syntaxin binding protein 1	Stxbp1	-0.024999
250	1417115_at	mitogen activated protein kinase kinase kinase 12	Map3k12	-0.025006
251	1419044_at	contactin associated protein-like 4	Cntnap4	-0.026144
252	1417005_at	kinesin light chain 1	Klc1	-0.02623
253	1428285_at	RIKEN cDNA 8430427H17 gene	8430427H17Rik	-0.026604
254	1420618_at	cytoplasmic polyadenylation element binding protein 4	Cpeb4	-0.025473
255	1440981_at	p21 (CDKN1A)-activated kinase 7	Pak7	-0.026293
256	1426959_at	3-hydroxybutyrate dehydrogenase, type 1	Bdh1	-0.023609
257	1436297_a_at	glutamate receptor, ionotropic, N-methyl D-asparate-associated protein 1 (glutam	Grina	-0.025235
258	1455021_at	gamma-aminobutyric acid (GABA-B) receptor, 1	Gabbr1	-0.026224
259	1428864_at	RIKEN cDNA 5530400B01 gene	5530400B01Rik	-0.024331
260	1451595_a_at	potassium voltage-gated channel, subfamily Q, member 2	Kcnq2	-0.025647
261	1435453_at	RIKEN cDNA A930011O12 gene	A930011O12Rik	-0.026574
262	1456061_at	GTPase, IMAP family member 8	Gimap8	-0.027607
263	1418714_at	dual specificity phosphatase 8	Dusp8	-0.025805
264	1418611_at	G protein-coupled receptor 162	Gpr162	-0.025999
265	1418139_at	doublecortin	Dcx	-0.028767
266	1455256_at	TRAF2 and NCK interacting kinase /// region containing TRAF2 and NCK interacting	Tnik	-0.029499
267	1456261_at	SH3-domain kinase binding protein 1	Sh3kbp1	-0.029083
268	1416313_at	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); tran	Mllt11	-0.029905
269	1455847_at	p21 (CDKN1A)-activated kinase 7	Pak7	-0.03019
270	1430579_at	TRAF2 and NCK interacting kinase /// region containing TRAF2 and NCK interacting	Tnik	-0.029049
271	1424220_a_at	porcupine homolog (Drosophila)	Porcn	-0.029831
272	1416675_s_at	phospholipase C, delta 1	Plcd1	-0.028786
273	1438789_s_at	dihydropyrimidinase-like 3	Dpysl3	-0.029484
274	1439500_at	secernin 1	Scrn1	-0.028973
275	1455447_at	RIKEN cDNA D430019H16 gene	D430019H16Rik	-0.031734
276	1448342_at	mitogen activated protein kinase 10	Mapk10	-0.031679
277	1449202_at	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cyt	Sema4g	-0.031975
278	1423406_at	synaptic vesicle glycoprotein 2 a	Sv2a	-0.03144
279	1448806_at	matrix metallopeptidase 24	Mmp24	-0.03258
280	1424719_a_at	microtubule-associated protein tau	Mapt	-0.032828
281	1424150_at	glycerophosphodiester phosphodiesterase domain containing 5	Gdpd5	-0.033505
282	1435199_at	adenomatosis polyposis coli 2	Apc2	-0.0378
283	1439552_at	triple functional domain (PTPRF interacting)	Trio	-0.035334
284	1433596_at	DnaJ (Hsp40) homolog, subfamily C, member 6	Dnajc6	-0.036794
285	1433884_at	synaptotagmin I	Syt1	-0.036766
286	1449158_at	potassium channel, subfamily K, member 2	Kcnk2	-0.037579
287	1455028_at	microtubule-associated protein tau	Mapt	-0.037871
288	1428284_at	RIKEN cDNA 8430427H17 gene	8430427H17Rik	-0.039107
289	1424718_at	microtubule-associated protein tau	Mapt	-0.039025
290	1418105_at	stathmin-like 4	Stmn4	-0.04161
291	1415885_at	chromogranin B	Chgb	-0.040947
292	1424588_at	SLIT-ROBO Rho GTPase activating protein 3	Srgap3	-0.041966
293	1424482_at	Rho guanine nucleotide exchange factor (GEF7)	Arhgef7	-0.046834
294	1455231_s_at	adenomatosis polyposis coli 2	Apc2	-0.045225
295	1426615_s_at	N-myc downstream regulated gene 4	Ndrg4	-0.046652
296	1436188_a_at	N-myc downstream regulated gene 4	Ndrg4	-0.047731
297	1454613_at	dihydropyrimidinase-like 3	Dpysl3	-0.050149
298	1439566_at	GPRIN family member 3	Gprin3	-0.053513
299	1427123_s_at	coatomer protein complex, subunit gamma 2, antisense 2	Copg2as2	-0.05482
300	1450435_at	L1 cell adhesion molecule	L1cam	-0.057909
