Symbol	Locus Link Gene Name	Variation
TFF3	trefoil factor 3 (intestinal)	Down-Regulated
TNFRSF11B	tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	Down-Regulated
XLKD1	extracellular link domain containing 1	Down-Regulated
ZFPM2	zinc finger protein, multitype 2	Down-Regulated
A2BP1	ataxin 2-binding protein 1	Up-Regulated
ABCC3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	Up-Regulated
ACAA1	acetyl-Coenzyme A acyltransferase 1(peroxisomal 3-oxoacyl-Coenzyme A thiolase)	Up-Regulated
AK002016	Homo sapiens cDNA FLJ11154 fis, clone PLACE1006932.	Up-Regulated
AK3L1	adenylate kinase 3 like 1	Up-Regulated
AMID	apoptosis-inducing factor (AIF)-homologous mitochondrion-associated inducer of death	Up-Regulated
AMIGO2	amphoterin induced gene 2	Up-Regulated
ANGPTL4	angiopoietin-like 4	Up-Regulated
AQP7	aquaporin 7	Up-Regulated
ATP10B	ATPase, Class V, type 10B	Up-Regulated
BBC3	BCL2 binding component 3	Up-Regulated
CA12	carbonic anhydrase XII	Up-Regulated
CHIA	eosinophil chemotactic cytokine	Up-Regulated
CKMT1	creatine kinase, mitochondrial 1 (ubiquitous)	Up-Regulated
CLDN1	claudin 1	Up-Regulated
clone IMAGE:5274294	type I collagen preproprotein; Collagen I, alpha-1 polypeptide; osteogenesis imperfecta type IV; collagen of skin, tendon and bone, alpha-1 chain	Up-Regulated
D2S448	Melanoma associated gene	Up-Regulated
DGAT2	diacylglycerol O-acyltransferase homolog 2	Up-Regulated
DLEC1	deleted in lung and esophageal cancer 1	Up-Regulated
DNASE1L2	deoxyribonuclease I-like 2	Up-Regulated
DPP4	dipeptidylpeptidase IV (CD26, adenosine deaminase complexing protein 2)	Up-Regulated
ECM1	extracellular matrix protein 1	Up-Regulated
EDIL3	EGF-like repeats and discoidin I-like domains 3	Up-Regulated
ENO3	enolase 3, (beta, muscle)	Up-Regulated
EPB41L3	erythrocyte membrane protein band 4.1-like 3	Up-Regulated
ESM1	endothelial cell-specific molecule 1	Up-Regulated
FBN1	fibrillin 1 (Marfan syndrome)	Up-Regulated
FBP1	fructose-1,6-bisphosphatase 1	Up-Regulated
FGD3	FGD1 family, member 3	Up-Regulated
FLJ10829	dudulin 2 (Interim)	Up-Regulated
FLJ20489	NA	Up-Regulated
FLJ23454	NA	Up-Regulated
FTHFD	formyltetrahydrofolate dehydrogenase	Up-Regulated
GADD45G	growth arrest and DNA-damage-inducible, gamma	Up-Regulated
GDF5	growth differentiation factor 5 (cartilage-derived morphogenetic protein-1)	Up-Regulated
GPR64	G protein-coupled receptor 64	Up-Regulated
HBP17	heparin-binding growth factor binding protein (Interim)	Up-Regulated
HIST1H1C	H1 histone family, member 2	Up-Regulated
JFC1	NADPH oxidase-related, C2 domain-containing protein (Interim)	Up-Regulated
KIAA0746	KIAA0746 protein	Up-Regulated
KIAA0937	KIAA0937 protein	Up-Regulated
KIAA1039	KIAA1039 protein	Up-Regulated
KIAA1511	KIAA1511 protein	Up-Regulated
KIF5C	kinesin family member 5C	Up-Regulated
LOC220963	hypothetical protein LOC220963	Up-Regulated
LRP4	low density lipoprotein receptor-related protein 4	Up-Regulated
MGC24039	hypothetical protein MGC24039	Up-Regulated
MME	membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)	Up-Regulated
MST1R	macrophage stimulating 1 receptor (c-met-related tyrosine kinase)	Up-Regulated
MT1H	metallothionein 1H	Up-Regulated
MYCL1	v-myc myelocytomatosis viral oncogene homolog 1, lung carcinoma derived (avian)	Up-Regulated
NELL2	NEL-like 2 (chicken)	Up-Regulated
NFE2L3	nuclear factor (erythroid-derived 2)-like 3	Up-Regulated
NMB	neuromedin B	Up-Regulated
NPC2	Niemann-Pick disease, type C2	Up-Regulated
NRCAM	neuronal cell adhesion molecule	Up-Regulated
NRG1	neuregulin 1	Up-Regulated
PAPLN	PAPLN: papilin, proteoglycan-like sulphated glycoprotein	Up-Regulated
PIWIL1	piwi-like 1 (Drosophila)	Up-Regulated
PLAB	prostate differentiation factor (Interim)	Up-Regulated
PPARG	peroxisome proliferative activated receptor, gamma	Up-Regulated
PTTG2	pituitary tumor-transforming 2	Up-Regulated
RAB15?	Homo sapiens, clone IMAGE:4817835, mRNA, partial cds /cds=(1,636)	Up-Regulated
RDC1	G protein-coupled receptor (Interim)	Up-Regulated
SIAT9	sialyltransferase 9 (GM3 synthase)	Up-Regulated
NA	similar to SFQP	Up-Regulated
SLC19A1	solute carrier family 19 (folate transporter), member 1	Up-Regulated
TGFA	transforming growth factor, alpha	Up-Regulated
TNFRSF21	tumor necrosis factor receptor superfamily, member 21	Up-Regulated
TRPV6	transient receptor potential cation channel, subfamily V, member 6	Up-Regulated
UNC5H2	transmembrane receptor Unc5H2	Up-Regulated
WIG1	p53 target zinc finger protein	Up-Regulated
XK	Kell blood group precursor (McLeod phenotype)	Up-Regulated
