Gene Description	Gene symbol	Entrez gene ID	p value	Fold change
Cyclin E2	CCNE2	9134	2·99×10–¹?	2·472
Nephronectin	NPNT	255 743	4·96×10–¹?	2·45258
Anillin, actin binding protein (scraps homologue, Drosophila)	ANLN	54 443	5·73×10–¹?	2·41905
ATPase family, AAA domain containing 2	ATAD2	29 028	2·39×10–¹¹	2·41177
Cell division cycle 2, G1 to S and G2 to M	CDC2	983	1·04×10–¹²	2·4078
Protein regulator of cytokinesis 1	PRC1	9055	1·01×10–¹?	2·39965
Cyclin A2	CCNA2	890	2·88×10–?	2·3904
CDC28 protein kinase regulatory subunit 1B	CKS1B	1163	3·75×10–¹?	2·38746
Kinetochore associated 2	NDC80	10 403	2·25×10–¹¹	2·3485
Chemokine (C-X-C motif) ligand 9	CXCL9	4283	7·69×10–?	2·33862
Family with sequence similarity 33, member A	FAM33A	348 235	5·90×10–¹¹	2·28448
Interferon-induced protein with tetratricopeptide repeats 1	IFIT1	3434	7·68×10–?	2·27967
Meiotic nuclear divisions 1 homologue (Saccharomyces cerevisiae)	MND1	84 057	1·93×10–?	2·26161
MLF1 interacting protein	MLF1IP	79 682	8·69×10–¹³	2·25951
Cyclin-dependent kinase inhibitor 3	CDKN3	1033	2·91×10–¹³	2·25405
Carcinoembryonic antigen-related cell adhesion molecule 5	CEACAM5	1048	1·76×10–?	2·24929
Nuclear VCP-like	NVL	4931	4·44×10–¹?	2·23273
Stathmin 1/oncoprotein 18	STMN1	3925	3·07×10–?	2·23071
Stearoyl-CoA desaturase (delta-9-desaturase)	SCD	6319	3·19×10–?	2·20355
RALBP1 associated Eps domain containing 2	REPS2	9185	7·72×10–?	2·19515
Histone H4/o	HIST2H4B	554 313	2·58×10–?	2·14783
Spindle pole body component 25 homologue (S cerevisiae)	SPC25	57 405	4·00×10–¹²	2·14572
Hypoxia-inducible protein 2	HIG2	29 923	3·26×10–?	2·13916
Shugoshin-like 1 (Schizosaccharomyces pombe)	SGOL1	151 648	3·41×10–¹¹	2·12847
Chromosome 6 open reading frame 173	C6orf173	387 103	9·21×10–?	2·12165
Kinesin family member 4A	KIF4A	24 137	2·79×10–¹?	2·08914
Sulphatase 1	SULF1	23 213	1·17×10–?	2·08452
Kinesin family member 18A	KIF18A	81 930	1·83×10–¹¹	2·07891
Kinesin family member 20A	KIF20A	10 112	6·69×10–¹¹	2·07668
BUB1 budding uninhibited by benzimidazoles 1 homologue (yeast)	BUB1	699	4·42×10–¹³	2·07281
Centromere protein E, 312 kDa	CENPE	1062	2·55×10–¹?	2·06929
GINS complex subunit 1 (Psf1 homologue)	GINS1	9837	7·69×10–¹¹	2·06132
Chromosome 6 open reading frame 129	C6orf129	154 467	5·38×10–?	2·05949
Complement factor B	CFB	629	2·34×10–?	2·05904
Bone morphogenetic protein receptor, type IB	BMPR1B	658	5·30×10–?	2·0581
Interferon induced transmembrane protein 1 (9-27)	IFITM1	8519	1·05×10–?	2·04484
Kinesin family member 14	KIF14	9928	8·38×10–¹?	2·04018
Interferon-induced protein 44-like	IFI44L	10 964	1·85×10–?	2·03602
CDC28 protein kinase regulatory subunit 2	CKS2	1164	1·55×10–¹²	2·03421
Ubiquitin-conjugating enzyme E2C	UBE2C	11 065	1·99×10–¹?	2·03307
Tuftelin 1	TUFT1	7286	2·65×10–¹³	2·03091
NIMA (never in mitosis gene a)-related kinase 2	NEK2	4751	2·83×10–¹?	2·02965
Cell division cycle associated 1	NUF2	83 540	3·83×10–¹³	2·01824
Ribosomal RNA processing 15 homologue	RRP15	51 018	2·17×10–?	2·01691
Chromosome 8 open reading frame 38	C8orf38	137 682	1·79×10–¹³	2·01346
