Gene Symbol	Name
NLRP2	NLR family, pyrin domain containing 2
PPIF	Peptidylprolyl isomerase F (cyclophilin F)
PRAME	Preferentially expressed antigen in melanoma
PRKACB	Protein kinase, cAMP-dependent, catalytic, beta
REPS2	RALBP1 associated Eps domain containing 2
SQLE	Squalene epoxidase
TFAP2B	Transcription factor AP-2 beta (activating enhancer binding protein 2 beta)
TFF3	Trefoil factor 3 (intestinal)
TRPS1	Trichorhinophalangeal syndrome I
ASF1A	ASF1 anti-silencing function 1 homolog A (S. cerevisiae)
BLVRA	Biliverdin reductase A
BTG3	BTG family, member 3
CCNE1	Cyclin E1
CSDA	Cold shock domain protein A
CTPS	CTP synthase
FOXC1	Forkhead box C1
GSTM3	Glutathione S-transferase M3 (brain)
IGBP1	Immunoglobulin (CD79A) binding protein 1
KIAA1370	KIAA1370
RABEP1	Rabaptin, RAB GTPase binding effector protein 1
S100A11	S100 calcium binding protein A11
TCEAL1	Transcription elongation factor A (SII)-like 1
TP53BP2	Tumor protein p53 binding protein, 2
AMFR	Autocrine motility factor receptor
ATOX1	ATX1 antioxidant protein 1 homolog (yeast)
B3GNT5	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5
BEX2	Brain expressed X-linked 2
CBR1	Carbonyl reductase 1
CD59	CD59 molecule, complement regulatory protein
CDC123	Cell division cycle 123 homolog (S. cerevisiae)
CLIP4	CAP-GLY domain containing linker protein family, member 4
CNIH4	Cornichon homolog 4 (Drosophila)
EIF4G3	Eukaryotic translation initiation factor 4 gamma, 3
EXT2	Exostoses (multiple) 2
FKBP11	FK506 binding protein 11, 19 kDa
FLJ21062	Hypothetical protein FLJ21062
GARS	Glycyl-tRNA synthetase
GSTP1	Glutathione S-transferase pi
H1F0	H1 histone family, member 0
HIST1H1C	Histone cluster 1, H1c
KDELR2	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2
KIT	V-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog
MCM3	Minichromosome maintenance complex component 3
MFGE8	Milk fat globule-EGF factor 8 protein
MYST3	MYST histone acetyltransferase (monocytic leukemia) 3
NPEPPS	Aminopeptidase puromycin sensitive
PAPSS2	3-phosphoadenosine 5-phosphosulfate synthase 2
PLOD1	Procollagen-lysine 1, 2-oxoglutarate 5-dioxygenase 1
PTPRN2	Protein tyrosine phosphatase, receptor type, N polypeptide 2
RAD52	RAD52 homolog (S. cerevisiae)
SGCE	Sarcoglycan, epsilon
SSFA2	Sperm specific antigen 2
STK24	Serine/threonine kinase 24 (STE20 homolog, yeast)
TGFBR3	Transforming growth factor, beta receptor III
WWP1	WW domain containing E3 ubiquitin protein ligase 1
LSM1	LSM1 homolog, U6 small nuclear RNA associated (S. cerevisiae)
SOX9	SRY (sex determining region Y)-box 9 (campomelic dysplasia, autosomal sex-reversal)
TFF1	Trefoil factor 1
TOB1	Transducer of ERBB2, 1
TMEM45B	Transmembrane protein 45B
C5orf13	Chromosome 5 open reading frame 13
PECI	Peroxisomal D3,D2-enoyl-CoA isomerase
PTPRT	Protein tyrosine phosphatase, receptor type, T
ST6GALNAC2	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2
SYNGR1	Synaptogyrin 1
VAV3	Vav 3 oncogene
EPHX2	Epoxide hydrolase 2, cytoplasmic
FBP1	Fructose-1,6-bisphosphatase 1
HEXIM1	Hexamethylene bis-acetamide inducible 1
ATP5G1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)
ATPIF1	ATPase inhibitory factor 1
C6orf108	Chromosome 6 open reading frame 108
CDKN2D	Cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)
PDCD4	Programmed cell death 4 (neoplastic transformation inhibitor)
POLR2F	Polymerase (RNA) II (DNA directed) polypeptide F
VGLL1	Vestigial like 1 (Drosophila)
GPR160	G protein-coupled receptor 160
LRIG1	Leucine-rich repeats and immunoglobulin-like domains 1
MYBL2	V-myb myeloblastosis viral oncogene homolog (avian)-like 2
ARNT2	Aryl-hydrocarbon receptor nuclear translocator 2
BMP7	Bone morphogenetic protein 7 (osteogenic protein 1)
BSPRY	B-box and SPRY domain containing
CAPN6	Calpain 6
CLNS1A	Chloride channel, nucleotide-sensitive, 1A
DUSP6	Dual specificity phosphatase 6
FAM49B	Family with sequence similarity 49, member B
FOLR1	Folate receptor 1 (adult)
HMGB3	High-mobility group box 3
IFITM1	Interferon induced transmembrane protein 1 (9-27)
IGJ	Immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides
ISG15	ISG15 ubiquitin-like modifier
ITGB4	Integrin, beta 4
LAMA3	Laminin, alpha 3
MAOA	Monoamine oxidase A
MRAS	Muscle RAS oncogene homolog
MYO6	Myosin VI
NEBL	Nebulette
NFIA	Nuclear factor I/A
PKIB	Protein kinase (cAMP-dependent, catalytic) inhibitor beta
PPFIA1	Protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1
PTPRF	Protein tyrosine phosphatase, receptor type, F
STAT1	Signal transducer and activator of transcription 1, 91kDa
SYT17	Synaptotagmin XVII
TFRC	Transferrin receptor (p90, CD71)
TNNI2	Troponin I type 2 (skeletal, fast)
TRAF4	TNF receptor-associated factor 4
WWP2	WW domain containing E3 ubiquitin protein ligase 2
ABCC3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3
ACTR3B	ARP3 actin-related protein 3 homolog B (yeast)
AGR2	Anterior gradient homolog 2 (Xenopus laevis)
ANLN	Anillin, actin binding protein
AR	Androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)
AURKA	Aurora kinase A
BAG1	BCL2-associated athanogene
BUB1	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)
C10orf38	Chromosome 10 open reading frame 38
C17orf37	Chromosome 17 open reading frame 37
CAPN13	Calpain 13
CDC6	Cell division cycle 6 homolog (S. cerevisiae)
CELSR1	Cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)
CENPA	Centromere protein A
CENPF	Centromere protein F, 350/400ka (mitosin)
CKS2	CDC28 protein kinase regulatory subunit 2
CLDN4	Claudin 4
CTSL2	Cathepsin L2
CXXC5	CXXC finger 5
DNAJC12	DnaJ (Hsp40) homolog, subfamily C, member 12
DNALI1	Dynein, axonemal, light intermediate chain 1
ELOVL5	ELOVL family member 5, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)
EPN3	Epsin 3
EXO1	Exonuclease 1
FAM54A	Family with sequence similarity 54, member A
FZD7	Frizzled homolog 7 (Drosophila)
GALNT7	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7)
GPSM2	G-protein signalling modulator 2 (AGS3-like, C. elegans)
GTPBP4	GTP binding protein 4
HSPA14	Heat shock 70kDa protein 14
KIAA1324	KIAA1324
KRT18	Keratin 18
LOC400451	Hypothetical gene supported by AK075564; BC060873
MIA	Melanoma inhibitory activity
MYB	V-myb myeloblastosis viral oncogene homolog (avian)
NTN4	Netrin 4
OGFRL1	Opioid growth factor receptor-like 1
PCNA	Proliferating cell nuclear antigen
PHGDH	Phosphoglycerate dehydrogenase
PRC1	Protein regulator of cytokinesis 1
PTTG1	Pituitary tumor-transforming 1
RACGAP1	Rac GTPase activating protein 1
REEP6	Receptor accessory protein 6
RRM2	Ribonucleotide reductase M2 polypeptide
S100A9	S100 calcium binding protein A9
SFRP1	Secreted frizzled-related protein 1
TK1	Thymidine kinase 1, soluble
TMEM25	Transmembrane protein 25
TOP2A	Topoisomerase (DNA) II alpha 170kDa
TSPAN13	Tetraspanin 13
TYMS	Thymidylate synthetase
AADACL1	Arylacetamide deacetylase-like 1
ABAT	4-aminobutyrate aminotransferase
ABCC11	ATP-binding cassette, sub-family C (CFTR/MRP), member 11
ACAT1	Acetyl-Coenzyme A acetyltransferase 1 (acetoacetyl Coenzyme A thiolase)
ACOT1	Acyl-CoA thioesterase 1
ACOT7	Acyl-CoA thioesterase 7
ACSS1	Acyl-CoA synthetase short-chain family member 1
ACTA1	Actin, alpha 1, skeletal muscle
ACTB	Actin, beta
ACTL8	Actin-like 8
ADAM33	ADAM metallopeptidase domain 33
ADAMDEC1	ADAM-like, decysin 1
ADPRHL1	ADP-ribosylhydrolase like 1
ADRA2C	Adrenergic, alpha-2C-, receptor
AGR3	Anterior gradient homolog 3 (Xenopus laevis)
AGT	Angiotensinogen (serpin peptidase inhibitor, clade A, member 8)
AHNAK	AHNAK nucleoprotein
AHR	Aryl hydrocarbon receptor
AIFM1	Apoptosis-inducing factor, mitochondrion-associated, 1
AIM1	Absent in melanoma 1
AK2	Adenylate kinase 2
AK3	Adenylate kinase 3
AK5	Adenylate kinase 5
AKAP1	A kinase (PRKA) anchor protein 1
AKR1A1	Aldo-keto reductase family 1, member A1 (aldehyde reductase)
AKR7A3	Aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase)
ALG5	Asparagine-linked glycosylation 5 homolog (S. cerevisiae, dolichyl-phosphate beta-glucosyltransferase)
ALG8	Asparagine-linked glycosylation 8 homolog (S. cerevisiae, alpha-1,3-glucosyltransferase)
AMPD2	Adenosine monophosphate deaminase 2 (isoform L)
AMZ2	Archaemetzincins-2
ANAPC11	APC11 anaphase promoting complex subunit 11 homolog (yeast)
ANKRD22	Ankyrin repeat domain 22
ANXA3	Annexin A3
AP4M1	Adaptor-related protein complex 4, mu 1 subunit
APBB2	Amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)
APITD1	Apoptosis-inducing, TAF9-like domain 1
APOBEC3B	Apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B
AREG	Amphiregulin (schwannoma-derived growth factor)
ARF1	ADP-ribosylation factor 1
ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta
ARL6IP1	ADP-ribosylation factor-like 6 interacting protein 1
ARL6IP2	ADP-ribosylation factor-like 6 interacting protein 2
ARMCX2	Armadillo repeat containing, X-linked 2
ARPC1B	Actin related protein 2/3 complex, subunit 1B, 41kDa
ARPC5L	Actin related protein 2/3 complex, subunit 5-like
ASB9	Ankyrin repeat and SOCS box-containing 9
ASH2L	Ash2 (absent, small, or homeotic)-like (Drosophila)
ASPHD1	Aspartate beta-hydroxylase domain containing 1
ASPM	Asp (abnormal spindle) homolog, microcephaly associated (Drosophila)
ASS1	Argininosuccinate synthetase 1
ATAD2	ATPase family, AAA domain containing 2
ATAD4	ATPase family, AAA domain containing 4
ATAD5	ATPase family, AAA domain containing 5
ATF5	Activating transcription factor 5
ATP2B1	ATPase, Ca++ transporting, plasma membrane 1
ATP2C2	ATPase, Ca++ transporting, type 2C, member 2
ATP5O	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (oligomycin sensitivity conferring protein)
ATP6AP1	ATPase, H+ transporting, lysosomal accessory protein 1
ATP6V0A4	ATPase, H+ transporting, lysosomal V0 subunit a4
ATP6V1B2	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2
ATXN10	Ataxin 10
BACE2	Beta-site APP-cleaving enzyme 2
BAG4	BCL2-associated athanogene 4
BAHCC1	BAH domain and coiled-coil containing 1
BAI2	Brain-specific angiogenesis inhibitor 2
BAMBI	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)
BCAS1	Breast carcinoma amplified sequence 1
BCL2L14	BCL2-like 14 (apoptosis facilitator)
BEST4	Bestrophin 4
BEX1	Brain expressed, X-linked 1
BFSP1	Beaded filament structural protein 1, filensin
BIK	BCL2-interacting killer (apoptosis-inducing)
BIRC2	Baculoviral IAP repeat-containing 2
BIVM	Basic, immunoglobulin-like variable motif containing
BOC	Boc homolog (mouse)
BRCA1	Breast cancer 1, early onset
BRF2	BRF2, subunit of RNA polymerase III transcription initiation factor, BRF1-like
BRI3	Brain protein I3
BRI3BP	BRI3 binding protein
BSDC1	BSD domain containing 1
BTF3	Basic transcription factor 3
BTN2A2	Butyrophilin, subfamily 2, member A2
BUB3	BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast)
BUD13	BUD13 homolog (S. cerevisiae)
BXDC1	Brix domain containing 1
BZW1	Basic leucine zipper and W2 domains 1
C10orf116	Chromosome 10 open reading frame 116
C10orf18	Chromosome 10 open reading frame 18
C10orf4	Chromosome 10 open reading frame 4
C10orf82	Chromosome 10 open reading frame 82
C11orf24	Chromosome 11 open reading frame 24
C12orf24	Chromosome 12 open reading frame 24
C12orf35	Chromosome 12 open reading frame 35
C12orf62	Chromosome 12 open reading frame 62
C13orf23	Chromosome 13 open reading frame 23
C14orf94	Chromosome 14 open reading frame 94
C15orf48	Chromosome 15 open reading frame 48
C16orf48	Chromosome 16 open reading frame 48
C16orf53	Chromosome 16 open reading frame 53
C16orf61	Chromosome 16 open reading frame 61
C16orf77	Chromosome 16 open reading frame 77
C18orf1	Chromosome 18 open reading frame 1
C19orf10	Chromosome 19 open reading frame 10
C19orf57	Chromosome 19 open reading frame 57
C1orf106	Chromosome 1 open reading frame 106
C1orf107	Chromosome 1 open reading frame 107
C1orf112	Chromosome 1 open reading frame 112
C1orf121	Chromosome 1 open reading frame 121
C1orf34	Chromosome 1 open reading frame 34
C20orf103	Chromosome 20 open reading frame 103
C20orf149	Chromosome 20 open reading frame 149
C20orf23	Chromosome 20 open reading frame 23
C20orf3	Chromosome 20 open reading frame 3
C20orf43	Chromosome 20 open reading frame 43
C21orf45	Chromosome 21 open reading frame 45
C3orf18	Chromosome 3 open reading frame 18
C3orf26	Chromosome 3 open reading frame 26
C3orf41	Chromosome 3 open reading frame 41
C3orf52	Chromosome 3 open reading frame 52
C3orf60	Chromosome 3 open reading frame 60
C4A	Complement component 4A (Rodgers blood group)
C4orf19	Chromosome 4 open reading frame 19
C4orf32	Chromosome 4 open reading frame 32
C4orf34	Chromosome 4 open reading frame 34
C5orf26	Chromosome 5 open reading frame 26
C5orf30	Chromosome 5 open reading frame 30
C6orf166	Chromosome 6 open reading frame 166
C6orf192	Chromosome 6 open reading frame 192
C6orf211	Chromosome 6 open reading frame 211
C6orf49	Chromosome 6 open reading frame 49
C7orf24	Chromosome 7 open reading frame 24
C7orf48	Chromosome 7 open reading frame 48
C8orf32	Chromosome 8 open reading frame 32
C8orf33	Chromosome 8 open reading frame 33
C8orf34	Chromosome 8 open reading frame 34
C8orf40	Chromosome 8 open reading frame 40
C8orf44	Chromosome 8 open reading frame 44
C9orf58	Chromosome 9 open reading frame 58
C9orf86	Chromosome 9 open reading frame 86
C9orf9	Chromosome 9 open reading frame 9
CA8	Carbonic anhydrase VIII
CACNA1G	Calcium channel, voltage-dependent, T type, alpha 1G subunit
CALB1	Calbindin 1, 28kDa
CALCA	Calcitonin/calcitonin-related polypeptide, alpha
CALCOCO2	Calcium binding and coiled-coil domain 2
CALML4	Calmodulin-like 4
CALML5	Calmodulin-like 5
CAND2	Cullin-associated and neddylation-dissociated 2 (putative)
CAP2	CAP, adenylate cyclase-associated protein, 2 (yeast)
CARD14	Caspase recruitment domain family, member 14
CARTPT	CART prepropeptide
CASP1	Caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)
CASP3	Caspase 3, apoptosis-related cysteine peptidase
CASP7	Caspase 7, apoptosis-related cysteine peptidase
CBLN4	Cerebellin 4 precursor
CBR3	Carbonyl reductase 3
CBR4	Carbonyl reductase 4
CCDC43	Coiled-coil domain containing 43
CCDC72	Coiled-coil domain containing 72
CCDC73	Coiled-coil domain containing 73
CCDC77	Coiled-coil domain containing 77
CCDC88B	Coiled-coil domain containing 88B
CCDC91	Coiled-coil domain containing 91
CCL24	Chemokine (C-C motif) ligand 24
CCNB2	Cyclin B2
CCNH	Cyclin H
CD38	CD38 molecule
CD3D	CD3d molecule, delta (CD3-TCR complex)
CD4	CD4 molecule
CD58	CD58 molecule
CDC2	Cell division cycle 2, G1 to S and G2 to M
CDCA5	Cell division cycle associated 5
CDCA7	Cell division cycle associated 7
CDK2	Cyclin-dependent kinase 2
CDKN2A	Cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)
CDKN3	Cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)
CDT1	Chromatin licensing and DNA replication factor 1
CDV3	CDV3 homolog (mouse)
CEBPG	CCAAT/enhancer binding protein (C/EBP), gamma
CENPE	Centromere protein E, 312kDa
CENPM	Centromere protein M
CENPN	Centromere protein N
CENTG3	Centaurin, gamma 3
CEP350	Centrosomal protein 350kDa
CEP68	Centrosomal protein 68kDa
CES2	Carboxylesterase 2 (intestine, liver)
CETN3	Centrin, EF-hand protein, 3 (CDC31 homolog, yeast)
CGA	Glycoprotein hormones, alpha polypeptide
CGB1	Chorionic gonadotropin, beta polypeptide 1
CGN	Cingulin
CGNL1	Cingulin-like 1
CHAF1B	Chromatin assembly factor 1, subunit B (p60)
CHCHD2	Coiled-coil-helix-coiled-coil-helix domain containing 2
CHCHD5	Coiled-coil-helix-coiled-coil-helix domain containing 5
CHI3L1	Chitinase 3-like 1 (cartilage glycoprotein-39)
CHKA	Choline kinase alpha
CHMP2B	Chromatin modifying protein 2B
CHODL	Chondrolectin
CHRDL2	Chordin-like 2
CHST2	Carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2
CHURC1	Churchill domain containing 1
CIR	CBF1 interacting corepressor
CIRBP	Cold inducible RNA binding protein
CITED4	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4
CKLF	Chemokine-like factor
CKMT1A	Creatine kinase, mitochondrial 1A
CLDN23	Claudin 23
CLDN3	Claudin 3
CLDN8	Claudin 8
CLGN	Calmegin
CLIC6	Chloride intracellular channel 6
CLTC	Clathrin, heavy chain (Hc)
CLU	Clusterin
CMAS	Cytidine monophosphate N-acetylneuraminic acid synthetase
CMTM6	CKLF-like MARVEL transmembrane domain containing 6
CMTM7	CKLF-like MARVEL transmembrane domain containing 7
CNIH	Cornichon homolog (Drosophila)
CNKSR3	CNKSR family member 3
CNOT10	CCR4-NOT transcription complex, subunit 10
CNOT2	CCR4-NOT transcription complex, subunit 2
CNOT7	CCR4-NOT transcription complex, subunit 7
CNP	2,3-cyclic nucleotide 3 phosphodiesterase
CNTNAP2	Contactin associated protein-like 2
COASY	Coenzyme A synthase
COL11A2	Collagen, type XI, alpha 2
COL4A5	Collagen, type IV, alpha 5 (Alport syndrome)
COL9A1	Collagen, type IX, alpha 1
COL9A3	Collagen, type IX, alpha 3
COMMD10	COMM domain containing 10
COMMD5	COMM domain containing 5
COPS7B	COP9 constitutive photomorphogenic homolog subunit 7B (Arabidopsis)
COQ2	Coenzyme Q2 homolog, prenyltransferase (yeast)
CORO6	Coronin 6
COX17	COX17 cytochrome c oxidase assembly homolog (S. cerevisiae)
COX4NB	COX4 neighbor
COX5A	Cytochrome c oxidase subunit Va
COX6A1	Cytochrome c oxidase subunit VIa polypeptide 1
COX7A2	Cytochrome c oxidase subunit VIIa polypeptide 2 (liver)
CPAMD8	C3 and PZP-like, alpha-2-macroglobulin domain containing 8
CPB1	Carboxypeptidase B1 (tissue)
CPEB3	Cytoplasmic polyadenylation element binding protein 3
CPEB4	Cytoplasmic polyadenylation element binding protein 4
CPSF3	Cleavage and polyadenylation specific factor 3, 73kDa
CREB3L4	CAMP responsive element binding protein 3-like 4
CRIP1	Cysteine-rich protein 1 (intestinal)
CRYZ	Crystallin, zeta (quinone reductase)
CSE1L	CSE1 chromosome segregation 1-like (yeast)
CSK	C-src tyrosine kinase
CSRP1	Cysteine and glycine-rich protein 1
CSRP2	Cysteine and glycine-rich protein 2
CST6	Cystatin E/M
CSTB	Cystatin B (stefin B)
CTAG2	Cancer/testis antigen 2
CTBP2	C-terminal binding protein 2
CTNNA1	Catenin (cadherin-associated protein), alpha 1, 102kDa
CTNNAL1	Catenin (cadherin-associated protein), alpha-like 1
CTNND2	Catenin (cadherin-associated protein), delta 2 (neural plakophilin-related arm-repeat protein)
CTSA	Cathepsin A
CTSS	Cathepsin S
CTTN	Cortactin
CXCL9	Chemokine (C-X-C motif) ligand 9
CXorf39	Chromosome X open reading frame 39
CXXC4	CXXC finger 4
CYB561	Cytochrome b-561
CYB5D2	Cytochrome b5 domain containing 2
CYB5R1	Cytochrome b5 reductase 1
CYC1	Cytochrome c-1
CYHR1	Cysteine/histidine-rich 1
CYP2A13	Cytochrome P450, family 2, subfamily A, polypeptide 13
CYP4X1	Cytochrome P450, family 4, subfamily X, polypeptide 1
DACH1	Dachshund homolog 1 (Drosophila)
DAP3	Death associated protein 3
DAPP1	Dual adaptor of phosphotyrosine and 3-phosphoinositides
DAZAP2	DAZ associated protein 2
DBF4	DBF4 homolog (S. cerevisiae)
DBI	Diazepam binding inhibitor (GABA receptor modulator, acyl-Coenzyme A binding protein)
DBN1	Drebrin 1
DBNDD2	Dysbindin (dystrobrevin binding protein 1) domain containing 2
DCPS	Decapping enzyme, scavenger
DCUN1D5	DCN1, defective in cullin neddylation 1, domain containing 5 (S. cerevisiae)
DDHD2	DDHD domain containing 2
DDX17	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17
DDX39	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39
DDX58	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58
DEF6	Differentially expressed in FDCP 6 homolog (mouse)
DGKI	Diacylglycerol kinase, iota
DHCR7	7-dehydrocholesterol reductase
DHRS7	Dehydrogenase/reductase (SDR family) member 7
DIRC1	Disrupted in renal carcinoma 1
DKFZp761P0423	Homolog of rat pragma of Rnd2
DLK1	Delta-like 1 homolog (Drosophila)
DLX5	Distal-less homeobox 5
DNAJA4	DnaJ (Hsp40) homolog, subfamily A, member 4
DNAJC1	DnaJ (Hsp40) homolog, subfamily C, member 1
DNAJC15	DnaJ (Hsp40) homolog, subfamily C, member 15
DNAJC19	DnaJ (Hsp40) homolog, subfamily C, member 19
DNMT1	DNA (cytosine-5-)-methyltransferase 1
DNMT3L	DNA (cytosine-5-)-methyltransferase 3-like
DQX1	DEAQ box polypeptide 1 (RNA-dependent ATPase)
DSCR1	Down syndrome critical region gene 1
DSCR1L2	Down syndrome critical region gene 1-like 2
DSP	Desmoplakin
DTL	Denticleless homolog (Drosophila)
DUSP23	Dual specificity phosphatase 23
DVL1	Dishevelled, dsh homolog 1 (Drosophila)
DYRK4	Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 4
EAF2	ELL associated factor 2
ECHDC3	Enoyl Coenzyme A hydratase domain containing 3
ECSIT	ECSIT homolog (Drosophila)
EEF1A2	Eukaryotic translation elongation factor 1 alpha 2
EFHC1	EF-hand domain (C-terminal) containing 1
EFNA4	Ephrin-A4
EFS	Embryonal Fyn-associated substrate
EFTUD2	Elongation factor Tu GTP binding domain containing 2
EIF2C2	Eukaryotic translation initiation factor 2C, 2
EIF2C4	Eukaryotic translation initiation factor 2C, 4
EIF4A3	Eukaryotic translation initiation factor 4A, isoform 3
EIF4EBP1	Eukaryotic translation initiation factor 4E binding protein 1
EIF4G1	Eukaryotic translation initiation factor 4 gamma, 1
ELAC1	ElaC homolog 1 (E. coli)
ELL2	Elongation factor, RNA polymerase II, 2
ELL3	Elongation factor RNA polymerase II-like 3
EMG1	EMG1 nucleolar protein homolog (S. cerevisiae)
EN1	Engrailed homeobox 1
ENAH	Enabled homolog (Drosophila)
ENDOD1	Endonuclease domain containing 1
ENOX1	Ecto-NOX disulfide-thiol exchanger 1
ENY2	Enhancer of yellow 2 homolog (Drosophila)
EPR1	Effector cell peptidase receptor 1
ERLIN2	ER lipid raft associated 2
ESF1	ESF1, nucleolar pre-rRNA processing protein, homolog (S. cerevisiae)
EXOSC9	Exosome component 9
EZH2	Enhancer of zeste homolog 2 (Drosophila)
F9	Coagulation factor IX (plasma thromboplastic component, Christmas disease, hemophilia B)
FA2H	Fatty acid 2-hydroxylase
FAAH2	Fatty acid amide hydrolase 2
FAM107B	Family with sequence similarity 107, member B
FAM111A	Family with sequence similarity 111, member A
FAM112B	Family with sequence similarity 112, member B
FAM117A	Family with sequence similarity 117, member A
FAM120A	Family with sequence similarity 120A
FAM129A	Family with sequence similarity 129, member A
FAM134B	Family with sequence similarity 134, member B
FAM26F	Family with sequence similarity 26, member F
FAM36A	Family with sequence similarity 36, member A
FAM3A	Family with sequence similarity 3, member A
FAM3B	Family with sequence similarity 3, member B
FAM3C	Family with sequence similarity 3, member C
FAM46C	Family with sequence similarity 46, member C
FAM55C	Family with sequence similarity 55, member C
FAM60A	Family with sequence similarity 60, member A
FAM63A	Family with sequence similarity 63, member A
FAM77C	Family with sequence similarity 77, member C
FANCA	Fanconi anemia, complementation group A
FANCE	Fanconi anemia, complementation group E
FBL	Fibrillarin
FBRS	Fibrosin
FBXL20	F-box and leucine-rich repeat protein 20
FBXO16	F-box protein 16
FBXO25	F-box protein 25
FCRL5	Fc receptor-like 5
FDXR	Ferredoxin reductase
FEM1B	Fem-1 homolog b (C. elegans)
FGF12	Fibroblast growth factor 12
FGF13	Fibroblast growth factor 13
FHOD1	Formin homology 2 domain containing 1
FLJ10292	Mago-nashi homolog 2
FLJ10324	FLJ10324 protein
FLJ10916	Hypothetical protein FLJ10916
FLJ11151	Hypothetical protein FLJ11151
FLJ13137	Hypothetical gene supported by AK125122
FLJ14668	Hypothetical protein FLJ14668
FLJ20035	Hypothetical protein FLJ20035
FLJ20273	RNA-binding protein
FLJ20323	Hypothetical protein FLJ20323
FLJ22222	Hypothetical protein FLJ22222
FLJ38359	Hypothetical protein FLJ38359
FOXD1	Forkhead box D1
FOXP1	Forkhead box P1
