GO category	p-value(GO)	Gene Symbol	Common Name	Entrez ID	Fold Change	p-value
DNA metabolism	1.06E-05	CDC6	CDC6 cell division cycle 6 homolog (S. cerevisiae)	990	-3.4	0.0106
DNA metabolism	1.06E-05	POLE	polymerase (DNA directed), epsilon	5426	-3.4	0.0133
DNA metabolism	1.06E-05	MCM7	MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)	4176	-3.33	0.0108
DNA metabolism	1.06E-05	GSG2	germ cell associated 2 (haspin)	83903	-3.17	0.0114
DNA metabolism	1.06E-05	RFC3	replication factor C (activator 1) 3, 38kDa	5983	-3.13	0.0134
DNA metabolism	1.06E-05	RECQL4	RecQ protein-like 4	9401	-3.06	0.0119
DNA metabolism	1.06E-05	EREG	epiregulin	2069	-3.05	0.0119
DNA metabolism	1.06E-05	FANCD2	Fanconi anemia, complementation group D2	2177	-3.05	0.0119
DNA metabolism	1.06E-05	TERT	telomerase reverse transcriptase	7015	-3.04	0.0032
DNA metabolism	1.06E-05	CENPA	centromere protein A	1058	-3.02	0.006
DNA metabolism	1.06E-05	POLQ	polymerase (DNA directed), theta	10721	-3.02	0.0121
mitosis	3.16E-08	UBE2C	ubiquitin-conjugating enzyme E2C	11065	-3.75	0.0097
mitosis	3.16E-08	CDC25A	cell division cycle 25A	993	-3.68	0.0087
mitosis	3.16E-08	ASPM	asp (abnormal spindle) homolog, microcephaly associated (Drosophila)	259266	-3.56	0.0103
mitosis	3.16E-08	CDC6	CDC6 cell division cycle 6 homolog (S. cerevisiae)	990	-3.4	0.0106
mitosis	3.16E-08	BUB1B	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	701	-3.32	0.0057
mitosis	3.16E-08	MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)	4085	-3.18	0.0045
mitosis	3.16E-08	CCNF	cyclin F	899	-3.15	0.012
mitosis	3.16E-08	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1	9088	-3.13	0.0116
mitosis	3.16E-08	AURKB	aurora kinase B	9212	-3.13	0.0116
mitosis	3.16E-08	EML4	echinoderm microtubule associated protein like 4	27436	-3.08	0.0118
mitosis	3.16E-08	EREG	epiregulin	2069	-3.05	0.0119
mitosis	3.16E-08	KNTC2	kinetochore associated 2	10403	-3	0.0125
cytoskeleton organization and biogenesis	8.62E-04	DIAPH3	diaphanous homolog 3 (Drosophila)	81624	-5.41	0.0081
cytoskeleton organization and biogenesis	8.62E-04	DIAPH3	diaphanous homolog 3 (Drosophila)	81624	-4.46	0.0036
cytoskeleton organization and biogenesis	8.62E-04	KIF24	kinesin family member 24	55265	-4.08	0.0098
cytoskeleton organization and biogenesis	8.62E-04	UBE2C	ubiquitin-conjugating enzyme E2C	11065	-3.75	0.0097
cytoskeleton organization and biogenesis	8.62E-04	TMSL8	thymosin-like 8	11013	-3.37	0.0121
cytoskeleton organization and biogenesis	8.62E-04	BUB1B	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	701	-3.32	0.0057
cytoskeleton organization and biogenesis	8.62E-04	GTSE1	G-2 and S-phase expressed 1	51512	-3.23	0.01
cytoskeleton organization and biogenesis	8.62E-04	VIL1	villin 1	7429	-3.21	0.0114
cytoskeleton organization and biogenesis	8.62E-04	EML4	echinoderm microtubule associated protein like 4	27436	-3.08	0.0118
cytoskeleton organization and biogenesis	8.62E-04	TUBB2C	tubulin, beta 2C	10383	-3.05	0.0063
cytoskeleton organization and biogenesis	8.62E-04	DIAPH3	diaphanous homolog 3 (Drosophila)	81624	-3.02	0.012
cytoskeleton organization and biogenesis	8.62E-04	KNTC2	kinetochore associated 2	10403	-3	0.0125
