Probeset ID	RefSeq Transcript ID(GenBank Accession)	Gene Symbol	Gene Title	Signal Log Ratio	control siRNA_signal	nm23-H1 siRNA_Signal
222099_s_at	NM_015578	LSM14A	LSM14A, SCD6 homolog A (S. cerevisiae)	1.8	442.9	1426.7
226142_at	NM_006851	GLIPR1	GLI pathogenesis-related 1 (glioma)	1.8	288.5	647.7
226350_at	NM_001821	CHML	choroideremia-like (Rab escort protein 2)	1.8	1025.6	3337.4
226615_at	---	---	Clone 23774 mRNA sequence	1.8	149.9	504.4
227452_at	---	---	Full-length cDNA clone CS0DD005YM12 of Neuroblastoma Cot 50-normalized of Homo sapiens (human)	1.8	86.7	414
231776_at	NM_005442	EOMES	eomesodermin homolog (Xenopus laevis)	1.8	473.5	1699.2
234994_at	NM_052913	KIAA1913	KIAA1913	1.8	143.6	534.8
235706_at	NM_001005502 /// NM_001874 /// NM_198320	CPM	carboxypeptidase M	1.8	544.3	1769.2
236207_at	NM_006751	SSFA2	sperm specific antigen 2	1.8	65.7	287.9
239331_at	---	---	Transcribed locus	1.8	569	1882.6
1552978_a_at	NM_004866 /// NM_052822	SCAMP1	secretory carrier membrane protein 1	1.7	315.4	942.3
1553994_at	NM_002526	NT5E	5-nucleotidase, ecto (CD73)	1.7	323.6	1188.5
1554026_a_at	NM_012334	MYO10	Myosin X	1.7	167.3	608.3
1555938_x_at	NM_003380	VIM	vimentin	1.7	83	325.1
201324_at	NM_001423	EMP1	epithelial membrane protein 1	1.7	2168.7	6594.9
202693_s_at	NM_004760	STK17A	serine/threonine kinase 17a	1.7	2721.9	8309.6
202760_s_at	NM_001004065 /// NM_007203 /// NM_147150	AKAP2 /// PALM2-AKAP2	A kinase (PRKA) anchor protein 2 /// PALM2-AKAP2 protein	1.7	1057	3547.4
203320_at	NM_005475	SH2B3	SH2B adaptor protein 3	1.7	806.3	2530.2
204604_at	NM_012395	PFTK1	PFTAIRE protein kinase 1	1.7	335.5	877.6
205324_s_at	NM_012280 /// NM_177434 /// NM_177439	FTSJ1	FtsJ homolog 1 (E. coli)	1.7	453.1	1656.8
205899_at	NM_001111045 /// NM_001111046 /// NM_001111047 /// NM_003914	CCNA1	cyclin A1	1.7	168.6	515.9
206429_at	NM_005242	F2RL1	coagulation factor II (thrombin) receptor-like 1	1.7	394.6	1288.5
206668_s_at	NM_004866 /// NM_052822	SCAMP1	secretory carrier membrane protein 1	1.7	274.7	944
208378_x_at	NM_004464 /// NM_033143	FGF5	fibroblast growth factor 5	1.7	199	838.5
209835_x_at	NM_000610 /// NM_001001389 /// NM_001001390 /// NM_001001391 /// NM_001001392	CD44	CD44 molecule (Indian blood group)	1.7	1464.8	4407.2
209882_at	NM_006912	RIT1	Ras-like without CAAX 1	1.7	312.1	1102
211668_s_at	NM_002658	PLAU	plasminogen activator, urokinase	1.7	489	1371.3
212430_at	NM_017495 /// NM_183425	RBM38	RNA binding motif protein 38	1.7	139.8	431.4
212552_at	NM_002149 /// NM_134421	HPCAL1	hippocalcin-like 1	1.7	1242	4625.3
212680_x_at	NM_138689	PPP1R14B	protein phosphatase 1, regulatory (inhibitor) subunit 14B	1.7	1483.5	4831.4
213895_at	NM_001423	EMP1	epithelial membrane protein 1	1.7	187.3	575.1
218277_s_at	NM_024612 /// XM_942276	DHX40	DEAH (Asp-Glu-Ala-His) box polypeptide 40	1.7	941.3	3217.9
219122_s_at	NM_017872	THG1L	tRNA-histidine guanylyltransferase 1-like (S. cerevisiae)	1.7	166.5	824.3
219157_at	NM_007246	KLHL2	kelch-like 2, Mayven (Drosophila)	1.7	203.1	665
221009_s_at	NM_001039667 /// NM_139314	ANGPTL4	angiopoietin-like 4	1.7	689.4	2863.4
223172_s_at	NM_001003704 /// NM_016498	MTP18	mitochondrial protein 18 kDa	1.7	488	1656.2
225182_at	NM_006134	TMEM50B	transmembrane protein 50B	1.7	688.5	2218.5
226035_at	NM_020718	USP31	ubiquitin specific peptidase 31	1.7	1290.1	4645.8
226297_at	NM_001048200 /// NM_005734	HIPK3	Homeodomain interacting protein kinase 3	1.7	600.3	1588.9
226829_at	NM_001001936 /// NM_032550	AFAP1L2	actin filament associated protein 1-like 2	1.7	98.9	292.6
228121_at	---	---	CDNA FLJ11812 fis, clone HEMBA1006364	1.7	146.6	542.8
229638_at	NM_024336	IRX3	iroquois homeobox protein 3	1.7	2366.2	4550.1
238700_at	---	---	Transcribed locus	1.7	228.7	630.4
1553995_a_at	NM_002526	NT5E	5-nucleotidase, ecto (CD73)	1.6	496.3	1500.2
1565951_s_at	NM_001821	CHML	choroideremia-like (Rab escort protein 2)	1.6	159.5	454.6
1569003_at	NM_030938	TMEM49	transmembrane protein 49	1.6	722.3	2526.8
201069_at	NM_004530	MMP2	matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)	1.6	347.8	1033.1
201465_s_at	NM_002228	JUN	jun oncogene	1.6	330.1	1042
201567_s_at	NM_002078	GOLGA4	golgi autoantigen, golgin subfamily a, 4	1.6	1463.3	4348
202935_s_at	NM_000346	SOX9	SRY (sex determining region Y)-box 9 (campomelic dysplasia, autosomal sex-reversal)	1.6	1997.7	6247.4
203349_s_at	NM_004454 /// XM_001134164	ETV5	ets variant gene 5 (ets-related molecule)	1.6	883.7	2234.2
203372_s_at	NM_003877	SOCS2	suppressor of cytokine signaling 2	1.6	118.7	400.9
204222_s_at	NM_006851	GLIPR1	GLI pathogenesis-related 1 (glioma)	1.6	259.4	1059.5
204347_at	XM_001132080 /// XM_928632	LOC645619 /// LOC731007	similar to Adenylate kinase isoenzyme 4, mitochondrial (ATP-AMP transphosphorylase) /// similar to Adenylate kinase isoenzyme 4, mitochondrial (Adenylate kinase 3-like 1) (ATP-AMP transphosphorylase)	1.6	711.2	2552.3
209803_s_at	NM_003311	PHLDA2	pleckstrin homology-like domain, family A, member 2	1.6	1573.5	5703.5
210286_s_at	NM_003615	SLC4A7	solute carrier family 4, sodium bicarbonate cotransporter, member 7	1.6	268.4	846.9
210387_at	NM_003518	HIST1H2BG	histone cluster 1, H2bg	1.6	482	1310.5
210916_s_at	NM_000610 /// NM_001001389 /// NM_001001390 /// NM_001001391 /// NM_001001392	CD44	CD44 molecule (Indian blood group)	1.6	688.8	1889.7
211603_s_at	NM_001079675 /// NM_001986	ETV4	ets variant gene 4 (E1A enhancer binding protein, E1AF)	1.6	188.1	616.1
212472_at	NM_014632	MICAL2	microtubule associated monoxygenase, calponin and LIM domain containing 2	1.6	227.7	803.5
214085_x_at	NM_006851	GLIPR1	GLI pathogenesis-related 1 (glioma)	1.6	834.1	2183.3
218451_at	NM_022842 /// NM_178181	CDCP1	CUB domain containing protein 1	1.6	766.2	1725.1
219558_at	NM_024524 /// XM_931948 /// XM_942079	ATP13A3	ATPase type 13A3	1.6	355.6	1046.4
221005_s_at	NM_030783	PTDSS2	phosphatidylserine synthase 2	1.6	114.7	335.4
221029_s_at	NM_030775 /// NM_032642	WNT5B	wingless-type MMTV integration site family, member 5B	1.6	110.6	395.7
221215_s_at	NM_020639	RIPK4	receptor-interacting serine-threonine kinase 4	1.6	1339.2	3621.8
222704_at	NM_015425	POLR1A	polymerase (RNA) I polypeptide A, 194kDa	1.6	77.4	478.3
224477_s_at	NM_032349	NUDT16L1	nudix (nucleoside diphosphate linked moiety X)-type motif 16-like 1	1.6	117.2	309.6
226651_at	NM_004272	HOMER1	homer homolog 1 (Drosophila)	1.6	372.9	967.7
227897_at	NM_002886	RAP2B	RAP2B, member of RAS oncogene family	1.6	3434.5	10253.3
228992_at	NM_025205	MED28	Mediator of RNA polymerase II transcription, subunit 28 homolog (S. cerevisiae)	1.6	521.5	1647.4
230112_at	NM_020814	12:00 AM	membrane-associated ring finger (C3HC4) 4	1.6	810.6	1514
232231_at	NM_001015051 /// NM_001024630 /// NM_004348	RUNX2	runt-related transcription factor 2	1.6	360	1138.1
236316_at	NM_001040020 /// NM_014888	FAM3C	family with sequence similarity 3, member C	1.6	209.7	606.7
238909_at	NM_002966	S100A10	S100 calcium binding protein A10	1.6	228.3	806.4
239798_at	---	---	Transcribed locus	1.6	258.1	734.7
1552656_s_at	NM_175866	UHMK1	U2AF homology motif (UHM) kinase 1	1.5	306.3	876.5
1555832_s_at	NM_001008490 /// NM_001300	KLF6	Kruppel-like factor 6	1.5	1636	4993.3
1558365_at	---	---	CDNA FLJ31366 fis, clone NB9N41000142	1.5	220.7	637.9
201042_at	NM_004613 /// NM_198951	TGM2	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)	1.5	423.6	1077.1
201697_s_at	NM_001379	DNMT1	DNA (cytosine-5-)-methyltransferase 1	1.5	1892.2	5855.7
201952_at	NM_001627	ALCAM	activated leukocyte cell adhesion molecule	1.5	723.7	1949.2
202076_at	NM_001166	BIRC2	baculoviral IAP repeat-containing 2	1.5	4357.9	12142.1
202759_s_at	NM_001004065 /// NM_007203 /// NM_147150	AKAP2 /// PALM2-AKAP2	A kinase (PRKA) anchor protein 2 /// PALM2-AKAP2 protein	1.5	772.1	2019.1
202936_s_at	NM_000346	SOX9	SRY (sex determining region Y)-box 9 (campomelic dysplasia, autosomal sex-reversal)	1.5	943.2	2774.4
202949_s_at	NM_001039492 /// NM_001450 /// NM_201555 /// NM_201557	FHL2	four and a half LIM domains 2	1.5	1831.9	5446.7
204490_s_at	NM_000610 /// NM_001001389 /// NM_001001390 /// NM_001001391 /// NM_001001392	CD44	CD44 molecule (Indian blood group)	1.5	1747.9	5275.6
205479_s_at	NM_002658	PLAU	plasminogen activator, urokinase	1.5	1121.5	3022.3
208960_s_at	NM_001008490 /// NM_001300	KLF6	Kruppel-like factor 6	1.5	346.4	991
209787_s_at	NM_006353	HMGN4	high mobility group nucleosomal binding domain 4	1.5	1637.4	5990.6
210311_at	NM_004464 /// NM_033143	FGF5	fibroblast growth factor 5	1.5	160.3	615.8
213506_at	NM_005242	F2RL1	coagulation factor II (thrombin) receptor-like 1	1.5	2144.8	6747
214595_at	NM_002237 /// NM_172318	KCNG1	potassium voltage-gated channel, subfamily G, member 1	1.5	257	789.6
214772_at	NM_012194 /// NM_152314 /// XM_039515 /// XM_941447	C11orf41	chromosome 11 open reading frame 41	1.5	290.6	328.7
220918_at	---	C21orf96	chromosome 21 open reading frame 96	1.5	171.9	410
222979_s_at	NM_033161	SURF4	surfeit 4	1.5	714.9	2067.8
224669_at	NM_033542	SYS1	SYS1 Golgi-localized integral membrane protein homolog (S. cerevisiae)	1.5	313.1	703.7
225079_at	NM_001424	EMP2	epithelial membrane protein 2	1.5	323.9	575.8
225163_at	NM_018027	FRMD4A	FERM domain containing 4A	1.5	503.7	1537.4
225459_at	NM_130847	AMOTL1	angiomotin like 1	1.5	175.9	435.9
226136_at	NM_006851	GLIPR1	GLI pathogenesis-related 1 (glioma)	1.5	321.9	878.5
226372_at	NM_018413	CHST11	Carbohydrate (chondroitin 4) sulfotransferase 11	1.5	144.1	395.1
227342_s_at	NM_138768	MYEOV	myeloma overexpressed gene (in a subset of t(11;14) positive multiple myelomas)	1.5	251.1	737.2
228188_at	---	---	---	1.5	255.9	571.4
228802_at	NM_194272	RBPMS2	RNA binding protein with multiple splicing 2	1.5	304.9	960.6
228902_at	NM_005085	---	---	1.5	97.7	365.8
229092_at	---	---	Full length insert cDNA clone YX37E06	1.5	154.3	434.5
230102_at	NM_004454 /// XM_001134164	ETV5	Ets variant gene 5 (ets-related molecule)	1.5	1006.7	2396.9
230333_at	---	---	Transcribed locus	1.5	2310.2	6658.3
236034_at	---	---	Transcribed locus	1.5	69.7	302.4
236037_at	XM_928403 /// XM_941101	LOC202451	hypothetical protein LOC202451	1.5	76.2	270.2
236170_x_at	NM_022373	HERPUD2	HERPUD family member 2	1.5	121.4	336.8
241534_at	---	---	Homo sapiens, clone IMAGE:4698842, mRNA	1.5	102.5	341.7
242629_at	---	---	CDNA FLJ34848 fis, clone NT2NE2011684, weakly similar to H.sapiens mRNA for plakophilin 2a and b	1.5	217.2	556.8
243357_at	NM_173808	NEGR1	neuronal growth regulator 1	1.5	223.3	609.2
243403_x_at	NM_001005502 /// NM_001874 /// NM_198320	CPM	carboxypeptidase M	1.5	125.3	378
37433_at	NM_004671 /// NM_173206 /// XM_001129747	PIAS2	protein inhibitor of activated STAT, 2	1.5	182.9	516.7
59697_at	NM_198686	RAB15	RAB15, member RAS onocogene family	1.5	241	576.2
1554020_at	NM_001003398 /// NM_001714	BICD1	bicaudal D homolog 1 (Drosophila)	1.4	449.5	1166.8
1554614_a_at	NM_021190	PTBP2	polypyrimidine tract binding protein 2	1.4	288	506
1556361_s_at	NM_030816	ANKRD13C	ankyrin repeat domain 13C	1.4	116.2	362.5
1558117_s_at	NM_020718	USP31	ubiquitin specific peptidase 31	1.4	239.8	634.8
1560089_at	XM_379668 /// XM_934501 /// XM_945746 /// XM_945747	LOC286208	hypothetical protein LOC286208	1.4	83	265.9
1562664_at	---	LOC286009	hypothetical protein LOC286009	1.4	916.7	1371.7
1567224_at	NM_003483 /// NM_003484	HMGA2	high mobility group AT-hook 2	1.4	287.3	773.5
200808_s_at	NM_001010972 /// NM_003461	ZYX	zyxin	1.4	387.1	1055
201363_s_at	NM_006469 /// NM_016389	IVNS1ABP	influenza virus NS1A binding protein	1.4	115.5	259
201631_s_at	NM_003897 /// NM_052815	IER3	immediate early response 3	1.4	1638.3	4147.4
201848_s_at	NM_004052	BNIP3	BCL2/adenovirus E1B 19kDa interacting protein 3	1.4	2648.8	7885.6
201849_at	NM_004052	BNIP3	BCL2/adenovirus E1B 19kDa interacting protein 3	1.4	5970.6	13734.4
201889_at	NM_001040020 /// NM_014888	FAM3C	family with sequence similarity 3, member C	1.4	7284.4	19065.3
202431_s_at	NM_002467 /// XM_001129520	MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	1.4	1255.5	3369.9
202932_at	NM_005433	YES1	v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1	1.4	2953.3	7841
202934_at	NM_000189	HK2	hexokinase 2	1.4	861.5	1626.6
202962_at	NM_015254	KIF13B	kinesin family member 13B	1.4	72.3	296
203455_s_at	NM_002970	SAT1	spermidine/spermine N1-acetyltransferase 1	1.4	3572.5	7642.2
203725_at	NM_001924	GADD45A	growth arrest and DNA-damage-inducible, alpha	1.4	1962.5	4971.6
203821_at	NM_001945	HBEGF	heparin-binding EGF-like growth factor	1.4	172.6	516.7
203845_at	NM_003884 /// XM_001130666	PCAF	p300/CBP-associated factor	1.4	950.9	2359.8
204559_s_at	NM_016199	LSM7	LSM7 homolog, U6 small nuclear RNA associated (S. cerevisiae)	1.4	2438.1	7578.5
